년도,월,나이,보령시,웅천읍,주포면,오천면,오천면어항출장소,오천면원산도출장소,천북면,청소면,청라면,남포면,주산면,미산면,성주면,주교면,대천1동,대천2동,대천3동,대천4동,대천5동,원산도출장소
2020,8,20,"3,966",154,45,53,47,,91,64,113,160,41,36,72,179,702,335,872,779,199,24
2020,8,30,"4,405",141,42,46,55,,86,57,85,123,46,40,68,163,732,348,"1,164",961,226,22
2020,8,40,"6,372",261,64,94,74,,143,83,148,213,81,37,104,276,"1,134",554,"1,438","1,346",288,34
2020,8,50,"8,075",516,122,147,138,,276,186,321,436,171,121,204,440,"1,215",552,"1,312","1,234",595,89
2020,8,60,"8,547",730,181,248,180,,388,289,429,551,276,193,281,542,"1,059",512,898,953,713,124
2020,8,70,"6,250",569,145,189,90,,298,286,361,466,297,200,211,382,683,378,525,573,498,99
2020,8,80,"4,049",396,91,137,87,,265,257,284,343,237,145,111,268,335,206,269,302,236,80
2020,8,90,701,80,20,28,12,,39,40,45,79,45,33,14,48,44,25,35,51,47,16
2020,8,100,48,1,0,1,1,,1,1,4,7,1,0,5,2,7,3,3,8,3,0
2020,9,총,"49,534","3,070",780,"1,029",755,,"1,729","1,331","1,949","2,559","1,254",853,"1,147","2,563","7,198","3,500","8,301","7,852","3,136",528
2020,9,0,"3,106",72,19,29,29,,62,25,59,57,12,27,30,97,538,265,854,778,136,17
2020,9,10,"4,029",161,53,62,46,,90,43,98,137,46,23,52,164,734,317,934,842,200,27
2020,9,20,"3,954",152,45,51,45,,88,64,116,156,40,35,72,176,704,332,879,775,200,24
2020,9,30,"4,393",138,41,46,55,,82,55,85,119,46,39,68,164,739,356,"1,155",963,220,22
2020,9,40,"6,338",258,64,86,74,,140,83,150,208,79,36,103,274,"1,121",552,"1,441","1,346",289,34
2020,9,50,"8,069",510,121,152,138,,278,187,318,424,174,122,200,441,"1,224",554,"1,300","1,243",597,86
2020,9,60,"8,574",736,182,245,176,,385,292,429,562,271,193,283,543,"1,064",511,905,967,707,123
2020,9,70,"6,261",567,147,190,91,,295,286,364,463,304,201,208,385,681,376,524,575,503,101
2020,9,80,"4,053",394,90,139,88,,267,255,278,344,236,146,112,267,339,209,271,306,234,78
2020,9,90,709,81,18,28,12,,41,40,48,82,45,31,14,50,47,25,35,49,47,16
2020,9,100,48,1,0,1,1,,1,1,4,7,1,0,5,2,7,3,3,8,3,0
2020,10,총,"49,486","3,054",783,"1,028",758,,"1,728","1,328","1,951","2,556","1,258",854,"1,142","2,549","7,185","3,490","8,279","7,887","3,130",526
2020,10,0,"3,085",72,21,28,29,,63,26,56,57,12,27,29,97,538,261,845,776,132,16
2020,10,10,"4,014",158,53,63,46,,90,43,98,134,43,23,51,163,732,317,931,844,199,26
2020,10,20,"3,938",144,44,51,44,,88,64,114,151,43,34,73,174,703,330,877,780,199,25
2020,10,30,"4,369",139,41,47,54,,81,54,88,117,45,39,65,160,731,350,"1,151",962,223,22
2020,10,40,"6,309",251,66,83,74,,137,80,150,209,79,34,100,273,"1,113",549,"1,437","1,352",288,34
2020,10,50,"8,085",515,120,154,138,,275,187,319,426,174,123,198,441,"1,220",555,"1,295","1,261",598,86
2020,10,60,"8,600",733,178,247,180,,391,294,427,563,273,196,286,541,"1,069",516,907,977,701,121
2020,10,70,"6,262",569,151,186,92,,296,285,368,464,305,200,210,380,683,372,521,574,503,103
2020,10,80,"4,059",390,90,139,87,,265,251,279,345,236,147,112,269,341,213,274,308,235,78
2020,10,90,715,82,19,29,13,,41,42,48,83,47,31,13,49,48,24,37,45,49,15
2020,10,100,50,1,0,1,1,,1,2,4,7,1,0,5,2,7,3,4,8,3,0
2020,11,총,"49,435","3,052",784,"1,025",754,,"1,726","1,325","1,934","2,551","1,255",850,"1,146","2,531","7,168","3,483","8,268","7,940","3,121",522
2020,11,0,"3,066",70,21,28,30,,63,27,54,56,12,27,32,96,531,254,833,788,129,15
2020,11,10,"4,015",159,53,60,46,,88,42,98,134,42,22,50,160,732,324,936,844,198,27
2020,11,20,"3,919",145,45,56,43,,89,62,107,150,45,34,71,170,696,327,876,786,193,24
2020,11,30,"4,361",136,41,49,51,,84,51,86,116,43,39,68,155,725,348,"1,143",982,221,23
2020,11,40,"6,296",251,66,82,75,,131,82,149,210,76,33,102,276,"1,109",546,"1,442","1,349",285,32
2020,11,50,"8,058",508,120,155,139,,274,185,315,421,179,121,197,433,"1,217",556,"1,282","1,273",597,86
2020,11,60,"8,651",737,180,246,177,,392,294,431,569,273,194,286,543,"1,078",520,920,983,708,120
2020,11,70,"6,255",570,150,184,94,,299,286,367,463,306,200,207,377,682,370,521,574,502,103
2020,11,80,"4,035",391,89,134,86,,262,251,275,343,230,148,115,269,340,210,273,305,237,77
2020,11,90,728,84,19,30,12,,43,43,47,82,48,32,14,50,51,25,37,48,48,15
2020,11,100,51,1,0,1,1,,1,2,5,7,1,0,4,2,7,3,5,8,3,0
2020,12,총,"49,422","3,050",785,"1,023",753,,"1,718","1,321","1,935","2,543","1,252",835,"1,150","2,520","7,175","3,479","8,295","7,946","3,119",523
2020,12,0,"3,052",67,21,27,30,,62,27,54,58,12,26,32,94,528,252,831,788,128,15
2020,12,10,"3,989",157,50,60,46,,88,40,99,131,43,21,51,154,725,322,931,845,197,29
2020,12,20,"3,930",142,49,56,40,,85,63,104,147,47,32,69,173,703,325,894,781,195,25
2020,12,30,"4,340",136,41,47,51,,80,49,84,115,41,35,69,153,728,349,"1,143",979,217,23
2020,12,40,"6,295",250,67,83,77,,134,85,149,206,75,33,105,272,"1,106",546,"1,439","1,352",284,32
2020,12,50,"8,043",504,119,154,138,,272,180,315,422,176,118,198,431,"1,215",556,"1,291","1,281",590,83
2020,12,60,"8,679",745,179,248,177,,391,298,432,569,272,196,286,547,"1,081",519,925,979,716,119
2020,12,70,"6,260",572,149,182,95,,295,284,369,463,304,198,207,374,694,371,523,578,499,103
2020,12,80,"4,052",391,91,134,86,,265,251,278,344,230,145,115,269,340,211,276,306,241,79
2020,12,90,730,85,19,31,12,,45,42,46,81,51,31,14,51,48,25,36,49,49,15
2020,12,100,52,1,0,1,1,,1,2,5,7,1,0,4,2,7,3,6,8,3,0
2021,1,총,"49,307","3,044",788,"1,027",755,,"1,702","1,324","1,937","2,535","1,244",830,"1,148","2,509","7,144","3,473","8,255","7,970","3,103",519
2021,1,0,"3,016",64,23,29,30,,62,26,55,57,11,22,32,93,517,241,815,796,128,15
2021,1,10,"3,972",155,53,59,47,,84,39,99,130,41,22,51,153,717,330,929,844,191,28
2021,1,20,"3,916",136,48,57,39,,87,63,103,145,43,29,70,170,708,324,893,787,190,24
2021,1,30,"4,294",137,40,46,54,,76,49,85,111,40,37,69,154,715,345,"1,122",979,213,22
2021,1,40,"6,281",245,67,83,75,,136,87,147,204,74,32,105,269,"1,100",544,"1,445","1,353",282,33
2021,1,50,"7,965",498,119,155,137,,264,176,307,419,175,115,194,425,"1,207",558,"1,272","1,277",583,84
2021,1,60,"8,782",759,179,252,180,,389,302,440,571,278,200,285,552,"1,091",524,946,994,721,119
2021,1,70,"6,236",572,147,182,94,,293,285,369,465,297,197,211,373,693,370,514,573,501,100
2021,1,80,"4,059",392,93,133,86,,263,253,279,345,232,144,114,268,340,210,278,309,241,79
2021,1,90,733,85,19,30,12,,47,42,48,81,52,32,13,50,49,24,36,50,48,15
2021,1,100,53,1,0,1,1,,1,2,5,7,1,0,4,2,7,3,5,8,5,0
2021,2,총,"49,174","3,032",794,"1,024",757,,"1,686","1,324","1,939","2,538","1,246",829,"1,148","2,506","7,103","3,461","8,242","7,947","3,081",517
2021,2,0,"2,978",61,23,27,29,,60,25,55,57,11,24,32,94,512,237,811,782,123,15
2021,2,10,"3,948",150,51,59,48,,81,39,100,131,42,22,50,149,711,330,929,846,183,27
2021,2,20,"3,882",135,52,55,41,,86,63,106,147,43,28,70,172,697,320,876,779,188,24
2021,2,30,"4,218",135,39,43,55,,75,50,85,112,40,37,67,150,712,338,"1,091",961,206,22
2021,2,40,"6,291",240,69,85,76,,130,83,148,200,72,33,106,272,"1,094",538,"1,461","1,369",283,32
2021,2,50,"7,950",500,117,156,133,,256,182,311,417,175,114,190,421,"1,199",558,"1,282","1,276",580,83
2021,2,60,"8,811",759,183,253,181,,394,299,435,577,281,196,291,556,"1,084",529,957,993,723,120
2021,2,70,"6,230",575,148,180,95,,290,283,371,462,294,201,209,368,698,373,514,572,499,98
2021,2,80,"4,064",391,92,134,86,,266,257,272,344,231,140,116,271,340,210,280,308,244,82
2021,2,90,749,85,20,31,12,,47,41,50,84,56,34,13,51,50,25,36,53,47,14
2021,2,100,53,1,0,1,1,,1,2,6,7,1,0,4,2,6,3,5,8,5,0
2021,3,총,"48,905","3,004",790,"1,025",763,,"1,679","1,305","1,921","2,536","1,239",825,"1,117","2,488","7,069","3,423","8,212","7,925","3,069",515
2021,3,0,"2,958",58,23,27,31,,59,23,56,58,12,24,32,94,505,233,809,773,125,16
2021,3,10,"3,914",148,49,55,49,,78,39,96,132,43,21,47,151,708,325,926,844,176,27
2021,3,20,"3,866",131,50,60,43,,84,59,103,145,44,28,71,167,696,328,878,773,183,23
2021,3,30,"4,191",136,41,43,51,,73,52,85,110,41,36,64,148,708,332,"1,081",965,204,21
2021,3,40,"6,219",234,65,84,80,,131,79,143,198,69,33,103,262,"1,100",528,"1,437","1,364",277,32
2021,3,50,"7,866",494,118,154,130,,255,175,304,415,164,111,179,414,"1,176",550,"1,296","1,269",584,78
2021,3,60,"8,855",760,183,257,183,,394,301,433,580,289,197,286,558,"1,097",526,961,"1,001",726,123
2021,3,70,"6,188",566,149,181,97,,289,278,372,460,289,199,206,369,692,368,503,572,500,98
2021,3,80,"4,065",392,92,133,85,,267,255,273,344,230,143,116,274,337,208,279,308,246,83
2021,3,90,747,85,20,30,13,,48,44,50,86,57,33,12,50,48,24,40,50,43,14
2021,3,100,36,0,0,1,1,,1,0,6,8,1,0,1,1,2,1,2,6,5,0
2021,4,총,"48,866","3,006",788,"1,028",759,,"1,682","1,301","1,932","2,542","1,237",824,"1,116","2,484","7,037","3,434","8,203","7,911","3,067",515
2021,4,0,"2,939",59,21,27,30,,57,21,55,58,12,25,31,93,497,239,794,776,128,16
2021,4,10,"3,909",150,50,54,46,,77,41,97,130,45,21,47,150,703,323,928,843,177,27
2021,4,20,"3,846",127,51,59,44,,86,57,103,145,43,27,73,166,685,327,879,766,185,23
2021,4,30,"4,194",137,42,44,52,,74,49,86,114,42,35,61,150,709,338,"1,081",951,209,20
2021,4,40,"6,202",232,63,85,79,,126,80,145,198,69,34,105,262,"1,094",523,"1,437","1,360",277,33
2021,4,50,"7,817",488,118,155,129,,258,177,304,416,162,110,178,408,"1,167",551,"1,283","1,262",573,78
2021,4,60,"8,923",765,183,258,185,,396,301,440,587,289,201,287,559,"1,098",528,972,"1,012",738,124
2021,4,70,"6,168",566,148,179,96,,289,277,373,452,288,196,207,370,695,372,501,573,487,99
2021,4,80,"4,083",394,93,135,83,,271,253,274,351,230,142,114,276,338,206,286,312,244,81
2021,4,90,748,88,19,31,14,,47,45,49,83,56,33,12,49,49,26,40,49,44,14
2021,4,100,37,0,0,1,1,,1,0,6,8,1,0,1,1,2,1,2,7,5,0
2021,5,총,"48,791","3,001",786,"1,024",756,,"1,677","1,296","1,927","2,542","1,233",821,"1,115","2,472","7,041","3,434","8,200","7,911","3,042",513
2021,5,0,"2,915",59,20,26,30,,57,23,56,58,12,24,30,91,486,238,791,770,129,15
2021,5,10,"3,914",150,49,53,44,,76,41,93,126,45,21,46,152,704,326,932,851,177,28
2021,5,20,"3,830",126,49,60,44,,87,56,103,147,42,26,74,162,691,326,873,761,180,23
2021,5,30,"4,171",139,43,41,51,,73,48,84,110,43,36,63,147,711,333,"1,071",951,206,21
2021,5,40,"6,156",225,63,85,81,,123,80,146,197,68,35,102,257,"1,086",521,"1,444","1,347",263,33
2021,5,50,"7,779",487,114,153,125,,253,176,301,414,159,107,173,406,"1,165",552,"1,277","1,274",566,77
2021,5,60,"8,960",767,186,261,188,,402,299,444,591,288,201,290,560,"1,109",530,970,"1,015",738,121
2021,5,70,"6,188",568,149,177,95,,287,277,371,455,290,197,210,373,700,369,512,571,488,99
2021,5,80,"4,104",396,94,136,82,,273,254,274,352,232,142,114,276,338,211,288,314,246,82
2021,5,90,738,84,19,31,15,,45,42,49,83,53,32,12,47,50,27,40,51,44,14
2021,5,100,36,0,0,1,1,,1,0,6,9,1,0,1,1,1,1,2,6,5,0
2021,6,총,"48,758","3,000",787,"1,024",755,,"1,677","1,296","1,928","2,552","1,234",825,"1,110","2,459","7,027","3,425","8,198","7,907","3,040",514
2021,6,0,"2,896",61,20,27,31,,55,23,57,63,11,20,29,88,480,234,788,767,127,15
2021,6,10,"3,916",148,47,52,45,,77,41,92,125,46,23,46,152,701,329,934,854,177,27
2021,6,20,"3,813",125,49,61,44,,87,57,106,147,39,27,72,160,692,318,863,762,180,24
2021,6,30,"4,150",141,42,39,49,,74,49,82,110,44,36,64,146,707,336,"1,071",935,204,21
2021,6,40,"6,150",226,64,85,82,,123,79,148,200,69,35,100,256,"1,084",513,"1,435","1,353",265,33
2021,6,50,"7,741",483,114,153,124,,253,171,300,410,158,109,172,407,"1,154",548,"1,276","1,275",558,76
2021,6,60,"9,010",765,187,263,188,,406,302,444,598,290,202,290,557,"1,114",537,982,"1,020",744,121
2021,6,70,"6,186",568,152,176,94,,286,277,366,456,289,197,208,370,703,370,516,570,488,100
2021,6,80,"4,123",398,92,137,83,,270,254,278,351,234,144,116,275,341,212,291,315,249,83
2021,6,90,738,85,20,30,14,,45,43,49,83,53,32,12,47,50,27,40,50,44,14
2021,6,100,35,0,0,1,1,,1,0,6,9,1,0,1,1,1,1,2,6,4,0
2021,7,총,"48,711","2,995",787,"1,024",759,,"1,671","1,293","1,929","2,553","1,225",830,"1,105","2,460","7,009","3,407","8,200","7,910","3,044",510
2021,7,0,"2,865",58,20,27,31,,53,22,54,61,11,20,30,86,482,227,780,761,127,15
2021,7,10,"3,928",149,47,52,47,,76,43,95,123,43,24,46,150,695,332,945,854,182,25
2021,7,20,"3,795",124,48,60,45,,85,58,104,149,39,30,70,158,687,312,853,766,185,22
2021,7,30,"4,143",140,43,41,48,,74,48,81,107,42,35,63,146,702,332,"1,076",943,201,21
2021,7,40,"6,102",226,62,83,82,,122,78,148,198,66,35,97,258,"1,075",505,"1,437","1,335",262,33
2021,7,50,"7,734",480,113,154,125,,252,169,306,412,160,105,169,404,"1,155",549,"1,270","1,279",556,76
2021,7,60,"9,042",772,187,266,190,,410,299,440,601,290,205,291,564,"1,111",539,985,"1,026",746,120
2021,7,70,"6,187",564,154,175,94,,284,280,367,458,286,198,207,371,710,367,514,573,487,98
2021,7,80,"4,151",397,94,137,82,,270,253,279,354,235,146,119,276,340,215,299,319,251,85
2021,7,90,729,85,19,28,14,,44,43,49,81,52,32,12,46,51,28,39,48,43,15
2021,7,100,35,0,0,1,1,,1,0,6,9,1,0,1,1,1,1,2,6,4,0
2021,8,총,"48,618","2,991",785,"1,020",755,,"1,665","1,292","1,924","2,547","1,220",828,"1,105","2,443","7,025","3,395","8,183","7,891","3,036",513
2021,8,0,"2,849",56,20,27,32,,53,21,52,60,10,20,30,84,490,227,766,757,130,14
2021,8,10,"3,923",147,45,52,46,,75,43,96,123,41,22,47,152,696,331,946,858,176,27
2021,8,20,"3,768",123,49,58,43,,83,59,102,147,42,31,69,153,677,310,855,762,183,22
2021,8,30,"4,122",137,43,41,46,,71,45,83,104,40,35,64,147,717,335,"1,065",926,201,22
2021,8,40,"6,062",226,59,81,83,,120,79,147,195,65,34,97,252,"1,067",495,"1,433","1,335",262,32
2021,8,50,"7,732",477,113,153,124,,249,168,302,414,158,107,166,401,"1,158",552,"1,272","1,286",555,77
2021,8,60,"9,046",775,189,267,188,,413,299,438,603,292,200,290,565,"1,116",537,989,"1,023",742,120
2021,8,70,"6,195",560,154,176,94,,283,282,371,459,287,200,209,367,710,369,516,572,488,98
2021,8,80,"4,159",403,94,135,83,,272,252,277,354,232,148,119,274,342,213,302,320,253,86
2021,8,90,728,87,19,29,15,,45,44,50,80,52,31,13,47,51,25,37,46,42,15
2021,8,100,34,0,0,1,1,,1,0,6,8,1,0,1,1,1,1,2,6,4,0
2021,9,총,"48,596","2,984",784,"1,025",753,,"1,665","1,290","1,919","2,546","1,216",828,"1,105","2,448","7,006","3,399","8,209","7,872","3,033",514
2021,9,0,"2,821",57,20,26,30,,53,20,50,59,10,20,30,83,483,223,764,750,129,14
2021,9,10,"3,915",146,45,53,47,,76,40,91,125,40,22,45,154,691,331,951,854,177,27
2021,9,20,"3,745",118,47,59,43,,83,60,102,143,45,31,68,154,667,308,862,756,176,23
2021,9,30,"4,115",138,45,44,42,,71,44,83,105,38,35,63,144,721,332,"1,068",917,202,23
2021,9,40,"6,055",221,58,80,85,,121,81,145,194,61,33,98,254,"1,061",494,"1,437","1,340",260,32
2021,9,50,"7,731",479,113,153,123,,247,166,299,411,160,104,169,403,"1,165",548,"1,276","1,287",552,76
2021,9,60,"9,068",772,188,267,189,,412,298,443,605,294,202,289,567,"1,115",544,992,"1,022",749,120
2021,9,70,"6,195",560,154,177,96,,285,281,372,457,283,199,208,369,703,376,519,574,484,98
2021,9,80,"4,174",403,95,135,82,,266,255,278,356,233,151,121,271,348,216,301,320,257,86
2021,9,90,743,90,19,30,15,,50,45,50,83,51,31,13,48,51,26,37,46,43,15
2021,9,100,34,0,0,1,1,,1,0,6,8,1,0,1,1,1,1,2,6,4,0
2021,10,총,"48,539","2,986",783,"1,022",751,,"1,653","1,292","1,915","2,551","1,209",831,"1,102","2,448","7,018","3,369","8,201","7,860","3,036",512
2021,10,0,"2,801",58,21,25,31,,51,22,48,63,10,21,29,84,489,211,758,740,126,14
2021,10,10,"3,908",145,44,54,47,,74,41,92,124,39,23,43,152,687,329,952,856,179,27
2021,10,20,"3,738",117,46,60,42,,83,60,101,145,41,32,70,156,671,308,853,747,183,23
2021,10,30,"4,092",141,44,44,43,,68,44,83,109,37,35,62,142,721,326,"1,055",917,199,22
2021,10,40,"6,053",221,60,79,84,,119,81,145,195,60,35,94,251,"1,067",484,"1,442","1,341",263,32
