년도,월,나이,강원도,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
2020,2,40,"110,407","21,638","29,167","16,062","7,045","3,087","6,350","4,089","3,926","2,346","2,162","2,474","2,126","2,734","1,272","1,186","1,742","1,384","1,617"
2020,2,50,"131,562","23,544","29,895","18,405","7,615","3,559","7,711","5,499","6,232","4,239","3,426","3,868","3,301","3,493","1,828","1,715","2,555","2,307","2,370"
2020,2,60,"113,970","18,457","21,297","16,656","6,776","3,823","6,106","5,347","6,210","4,566","3,691","4,042","3,368","3,279","1,651","1,492","2,181","2,419","2,609"
2020,2,70,"75,123","11,962","12,087","10,712","4,409","2,700","3,792","4,038","3,889","2,928","2,669","2,708","2,497","2,676","1,395","1,180","1,454","2,027","2,000"
2020,2,80,"44,394","7,071","7,513","6,111","2,314","1,280","2,032","2,565","2,748","1,986","1,646","1,636","1,390","1,354",829,728,930,"1,161","1,100"
2020,2,90,"8,105","1,381","1,307","1,227",370,197,450,436,426,371,236,265,262,268,140,107,162,254,246
2020,2,100,548,61,82,72,20,34,20,36,32,18,34,28,25,32,8,10,9,13,14
2020,3,총,"764,594","142,711","176,775","107,478","44,532","21,462","41,291","32,597","33,490","22,617","18,828","20,393","17,810","21,659","11,313","10,495","14,448","13,083","13,612"
2020,3,0,"52,906","10,784","14,118","6,751","3,304","1,346","2,934","1,970","1,945","1,065",811,984,880,"1,660",931,903,"1,220",636,664
2020,3,10,"67,583","13,290","17,507","9,421","4,277","1,870","3,668","2,520","2,612","1,694","1,383","1,431","1,281","1,900",893,982,"1,129",798,927
2020,3,20,"78,843","17,325","21,183","11,392","3,881","1,622","3,870","3,268","2,655","1,728","1,441","1,453","1,237","2,088","1,172","1,036","1,400","1,114",978
2020,3,30,"80,679","17,094","22,392","10,570","4,495","1,939","4,347","2,840","2,830","1,683","1,314","1,506","1,439","2,171","1,197","1,158","1,660",958,"1,086"
2020,3,40,"109,995","21,552","29,100","16,009","7,032","3,087","6,304","4,066","3,893","2,334","2,153","2,455","2,119","2,721","1,261","1,185","1,739","1,385","1,600"
2020,3,50,"131,175","23,494","29,895","18,375","7,593","3,546","7,700","5,463","6,188","4,199","3,389","3,835","3,282","3,472","1,831","1,713","2,532","2,309","2,359"
2020,3,60,"114,981","18,673","21,534","16,785","6,816","3,819","6,168","5,373","6,272","4,606","3,733","4,082","3,406","3,302","1,652","1,495","2,214","2,421","2,630"
2020,3,70,"75,049","11,937","12,090","10,705","4,408","2,701","3,794","4,046","3,869","2,917","2,671","2,703","2,487","2,677","1,395","1,174","1,451","2,023","2,001"
2020,3,80,"44,610","7,107","7,542","6,144","2,329","1,299","2,028","2,573","2,769","1,991","1,657","1,649","1,393","1,364",828,733,933,"1,167","1,104"
2020,3,90,"8,218","1,392","1,333","1,252",377,198,458,442,424,381,242,265,261,272,145,107,161,259,249
2020,3,100,555,63,81,74,20,35,20,36,33,19,34,30,25,32,8,9,9,13,14
2020,4,총,"764,312","142,625","176,954","107,398","44,535","21,395","41,320","32,485","33,494","22,563","18,760","20,364","17,804","21,617","11,309","10,574","14,479","13,033","13,603"
2020,4,0,"52,767","10,739","14,113","6,714","3,294","1,339","2,921","1,968","1,937","1,065",811,989,878,"1,648",931,900,"1,228",626,666
2020,4,10,"67,354","13,210","17,476","9,361","4,274","1,873","3,667","2,489","2,593","1,684","1,376","1,413","1,278","1,896",893,"1,048","1,112",790,921
2020,4,20,"78,541","17,270","21,164","11,377","3,856","1,590","3,865","3,213","2,652","1,702","1,419","1,439","1,236","2,081","1,165","1,031","1,408","1,102",971
2020,4,30,"80,540","17,102","22,406","10,505","4,476","1,928","4,336","2,833","2,827","1,673","1,302","1,500","1,423","2,168","1,197","1,155","1,659",959,"1,091"
2020,4,40,"109,750","21,485","29,076","15,979","7,043","3,075","6,304","4,050","3,892","2,312","2,125","2,444","2,107","2,693","1,260","1,198","1,756","1,364","1,587"
2020,4,50,"131,017","23,490","29,914","18,379","7,579","3,528","7,697","5,440","6,165","4,179","3,386","3,825","3,269","3,459","1,820","1,711","2,527","2,299","2,350"
2020,4,60,"115,670","18,797","21,713","16,844","6,862","3,830","6,195","5,381","6,316","4,652","3,734","4,099","3,432","3,321","1,675","1,512","2,234","2,431","2,642"
2020,4,70,"74,960","11,909","12,088","10,722","4,407","2,696","3,801","4,042","3,868","2,908","2,667","2,706","2,489","2,673","1,380","1,165","1,440","2,007","1,992"
2020,4,80,"44,875","7,153","7,580","6,183","2,339","1,302","2,054","2,590","2,786","1,989","1,663","1,653","1,400","1,372",834,738,938,"1,183","1,118"
2020,4,90,"8,277","1,407","1,342","1,258",385,199,460,442,426,380,242,267,265,273,146,107,168,259,251
2020,4,100,561,63,82,76,20,35,20,37,32,19,35,29,27,33,8,9,9,13,14
2020,5,총,"764,716","142,562","177,278","107,325","44,597","21,407","41,356","32,444","33,542","22,577","18,763","20,403","17,801","21,609","11,321","10,576","14,497","13,011","13,647"
2020,5,0,"52,674","10,694","14,142","6,688","3,299","1,326","2,902","1,962","1,933","1,066",807,989,865,"1,655",931,894,"1,229",625,667
2020,5,10,"67,087","13,154","17,436","9,302","4,258","1,881","3,667","2,474","2,573","1,675","1,365","1,403","1,277","1,881",890,"1,046","1,108",784,913
2020,5,20,"78,590","17,251","21,180","11,377","3,873","1,589","3,865","3,216","2,683","1,691","1,426","1,448","1,235","2,082","1,163","1,039","1,405","1,093",974
2020,5,30,"80,428","17,020","22,445","10,479","4,470","1,917","4,342","2,812","2,840","1,678","1,298","1,497","1,418","2,163","1,205","1,155","1,640",956,"1,093"
2020,5,40,"109,630","21,489","29,066","15,919","7,053","3,073","6,298","4,045","3,879","2,300","2,115","2,446","2,101","2,675","1,252","1,185","1,771","1,360","1,603"
2020,5,50,"131,029","23,482","30,001","18,387","7,578","3,525","7,690","5,394","6,169","4,174","3,380","3,831","3,261","3,460","1,826","1,711","2,522","2,288","2,350"
2020,5,60,"116,321","18,906","21,869","16,896","6,894","3,841","6,230","5,406","6,354","4,684","3,752","4,119","3,455","3,339","1,679","1,528","2,256","2,444","2,669"
2020,5,70,"74,981","11,893","12,080","10,752","4,403","2,710","3,808","4,050","3,864","2,909","2,662","2,710","2,491","2,667","1,382","1,164","1,443","2,006","1,987"
2020,5,80,"45,094","7,199","7,628","6,192","2,359","1,308","2,064","2,603","2,783","1,996","1,681","1,665","1,404","1,381",834,738,945,"1,186","1,128"
2020,5,90,"8,318","1,413","1,350","1,256",390,201,469,445,432,385,242,265,266,273,151,107,169,256,248
2020,5,100,564,61,81,77,20,36,21,37,32,19,35,30,28,33,8,9,9,13,15
2020,6,총,"764,957","142,565","177,389","107,270","44,622","21,364","41,476","32,424","33,546","22,655","18,786","20,400","17,810","21,586","11,345","10,543","14,502","13,002","13,672"
2020,6,0,"52,554","10,687","14,070","6,668","3,289","1,316","2,927","1,964","1,931","1,064",801,984,865,"1,657",929,883,"1,228",627,664
2020,6,10,"66,907","13,084","17,436","9,247","4,239","1,876","3,649","2,456","2,547","1,733","1,386","1,402","1,264","1,867",892,"1,047","1,103",772,907
2020,6,20,"78,615","17,272","21,192","11,359","3,847","1,589","3,904","3,224","2,712","1,687","1,412","1,438","1,242","2,069","1,178","1,031","1,392","1,084",983
2020,6,30,"80,254","16,988","22,386","10,454","4,475","1,904","4,336","2,784","2,841","1,665","1,305","1,488","1,413","2,162","1,190","1,164","1,646",960,"1,093"
2020,6,40,"109,565","21,460","29,085","15,902","7,057","3,063","6,297","4,042","3,864","2,284","2,117","2,453","2,094","2,673","1,263","1,173","1,775","1,365","1,598"
2020,6,50,"130,693","23,441","29,995","18,325","7,564","3,492","7,673","5,371","6,128","4,177","3,360","3,815","3,252","3,444","1,827","1,689","2,504","2,282","2,354"
2020,6,60,"117,242","19,047","22,058","17,025","6,949","3,869","6,308","5,430","6,415","4,718","3,778","4,143","3,486","3,353","1,688","1,538","2,284","2,449","2,704"
2020,6,70,"75,036","11,871","12,083","10,762","4,428","2,698","3,826","4,065","3,862","2,926","2,666","2,710","2,495","2,669","1,382","1,165","1,443","2,007","1,978"
2020,6,80,"45,139","7,229","7,646","6,188","2,358","1,316","2,069","2,598","2,773","1,993","1,676","1,671","1,407","1,381",838,735,944,"1,188","1,129"
2020,6,90,"8,380","1,426","1,356","1,262",395,205,466,452,440,387,249,266,263,277,150,110,174,255,247
2020,6,100,572,60,82,78,21,36,21,38,33,21,36,30,29,34,8,8,9,13,15
2020,7,총,"765,181","142,615","177,649","107,279","44,634","21,294","41,543","32,411","33,563","22,623","18,770","20,378","17,783","21,578","11,332","10,520","14,504","13,005","13,700"
2020,7,0,"52,423","10,668","14,053","6,664","3,270","1,303","2,920","1,947","1,922","1,058",801,982,856,"1,661",919,876,"1,228",629,666
2020,7,10,"66,780","13,045","17,410","9,185","4,230","1,867","3,655","2,490","2,547","1,739","1,387","1,392","1,259","1,857",887,"1,045","1,113",769,903
2020,7,20,"78,585","17,276","21,194","11,347","3,860","1,573","3,913","3,225","2,738","1,674","1,408","1,428","1,242","2,065","1,172","1,026","1,372","1,084",988
2020,7,30,"79,970","16,950","22,384","10,406","4,460","1,876","4,309","2,746","2,824","1,657","1,295","1,473","1,386","2,148","1,185","1,163","1,654",957,"1,097"
2020,7,40,"109,496","21,440","29,091","15,926","7,036","3,058","6,293","4,037","3,855","2,279","2,115","2,444","2,091","2,669","1,257","1,169","1,771","1,360","1,605"
2020,7,50,"130,691","23,472","30,047","18,331","7,553","3,480","7,688","5,380","6,104","4,156","3,346","3,807","3,237","3,439","1,834","1,683","2,496","2,286","2,352"
2020,7,60,"117,814","19,117","22,244","17,071","7,006","3,877","6,362","5,442","6,442","4,737","3,780","4,159","3,509","3,371","1,696","1,541","2,292","2,458","2,710"
2020,7,70,"75,082","11,882","12,106","10,789","4,432","2,698","3,830","4,060","3,865","2,922","2,666","2,711","2,497","2,668","1,376","1,163","1,440","2,002","1,975"
2020,7,80,"45,341","7,281","7,679","6,213","2,364","1,319","2,081","2,584","2,793","1,990","1,684","1,678","1,413","1,391",845,738,953,"1,194","1,141"
2020,7,90,"8,424","1,421","1,359","1,268",402,207,471,462,440,390,252,274,264,275,153,108,176,254,248
2020,7,100,575,63,82,79,21,36,21,38,33,21,36,30,29,34,8,8,9,12,15
2020,8,총,"765,576","142,768","177,812","107,284","44,661","21,231","41,601","32,440","33,554","22,626","18,750","20,392","17,771","21,553","11,362","10,513","14,545","13,005","13,708"
2020,8,0,"52,265","10,630","14,007","6,642","3,275","1,287","2,927","1,935","1,907","1,048",798,971,851,"1,662",924,870,"1,231",636,664
2020,8,10,"66,659","13,030","17,393","9,142","4,232","1,853","3,639","2,529","2,532","1,728","1,372","1,403","1,255","1,854",887,"1,037","1,111",767,895
2020,8,20,"78,633","17,330","21,220","11,350","3,860","1,566","3,912","3,247","2,732","1,675","1,402","1,421","1,234","2,057","1,170","1,039","1,371","1,068",979
2020,8,30,"79,718","16,929","22,343","10,370","4,409","1,857","4,318","2,724","2,801","1,643","1,291","1,465","1,373","2,140","1,190","1,153","1,662",960,"1,090"
2020,8,40,"109,463","21,441","29,085","15,883","7,044","3,048","6,307","4,040","3,852","2,282","2,104","2,448","2,096","2,659","1,260","1,170","1,773","1,363","1,608"
2020,8,50,"130,618","23,491","30,080","18,333","7,546","3,460","7,672","5,358","6,096","4,170","3,331","3,801","3,223","3,425","1,831","1,677","2,492","2,269","2,363"
2020,8,60,"118,570","19,245","22,395","17,182","7,062","3,880","6,424","5,471","6,482","4,752","3,812","4,180","3,516","3,383","1,711","1,552","2,328","2,473","2,722"
2020,8,70,"75,068","11,859","12,108","10,806","4,431","2,714","3,824","4,049","3,864","2,924","2,667","2,714","2,505","2,659","1,375","1,156","1,425","2,008","1,980"
2020,8,80,"45,499","7,318","7,726","6,219","2,374","1,320","2,084","2,583","2,803","1,992","1,684","1,683","1,417","1,400",850,744,965,"1,193","1,144"
2020,8,90,"8,503","1,430","1,373","1,278",407,210,473,466,452,390,253,276,271,280,156,107,178,255,248
2020,8,100,580,65,82,79,21,36,21,38,33,22,36,30,30,34,8,8,9,13,15
2020,9,총,"765,780","142,828","177,972","107,351","44,669","21,196","41,629","32,394","33,559","22,659","18,711","20,385","17,754","21,532","11,397","10,501","14,531","12,972","13,740"
2020,9,0,"52,088","10,613","13,966","6,607","3,271","1,276","2,912","1,918","1,893","1,050",797,963,850,"1,655",916,866,"1,231",637,667
2020,9,10,"66,498","13,000","17,360","9,123","4,223","1,850","3,634","2,530","2,531","1,724","1,359","1,389","1,243","1,851",897,"1,026","1,104",760,894
2020,9,20,"78,620","17,349","21,240","11,341","3,875","1,562","3,898","3,240","2,727","1,665","1,398","1,429","1,233","2,048","1,183","1,044","1,360","1,048",980
2020,9,30,"79,420","16,893","22,278","10,323","4,369","1,836","4,308","2,693","2,801","1,641","1,279","1,444","1,363","2,135","1,195","1,152","1,660",956,"1,094"
2020,9,40,"109,454","21,437","29,122","15,874","7,052","3,039","6,302","4,044","3,842","2,280","2,098","2,441","2,103","2,660","1,258","1,164","1,768","1,353","1,617"
2020,9,50,"130,552","23,470","30,123","18,364","7,545","3,458","7,693","5,318","6,073","4,170","3,311","3,804","3,196","3,407","1,826","1,678","2,489","2,262","2,365"
2020,9,60,"119,226","19,343","22,560","17,265","7,086","3,875","6,467","5,509","6,528","4,783","3,823","4,202","3,533","3,402","1,725","1,556","2,348","2,491","2,730"
2020,9,70,"75,010","11,852","12,085","10,832","4,434","2,727","3,821","4,040","3,860","2,920","2,667","2,704","2,503","2,647","1,373","1,156","1,412","2,000","1,977"
2020,9,80,"45,720","7,366","7,768","6,240","2,378","1,326","2,087","2,594","2,814","2,013","1,688","1,693","1,427","1,412",854,742,971,"1,194","1,153"
2020,9,90,"8,610","1,438","1,389","1,303",415,210,487,470,456,391,254,285,273,282,162,109,180,258,248
2020,9,100,582,67,81,79,21,37,20,38,34,22,37,31,30,33,8,8,8,13,15
2020,10,총,"766,157","143,000","178,186","107,406","44,679","21,184","41,651","32,336","33,555","22,667","18,710","20,384","17,747","21,488","11,394","10,483","14,569","12,969","13,749"
2020,10,0,"51,906","10,608","13,926","6,580","3,253","1,271","2,904","1,894","1,893","1,037",794,961,841,"1,662",903,854,"1,229",633,663
2020,10,10,"66,370","12,982","17,350","9,088","4,226","1,843","3,626","2,521","2,519","1,728","1,359","1,384","1,243","1,836",893,"1,036","1,109",747,880
2020,10,20,"78,715","17,371","21,254","11,353","3,868","1,580","3,923","3,247","2,721","1,662","1,402","1,431","1,229","2,047","1,185","1,032","1,371","1,056",983
2020,10,30,"79,050","16,828","22,218","10,298","4,343","1,819","4,266","2,657","2,781","1,630","1,259","1,431","1,369","2,112","1,188","1,148","1,660",959,"1,084"
2020,10,40,"109,468","21,472","29,129","15,864","7,052","3,023","6,316","4,030","3,847","2,287","2,104","2,445","2,090","2,653","1,256","1,168","1,768","1,347","1,617"
2020,10,50,"130,510","23,499","30,199","18,340","7,552","3,459","7,687","5,303","6,064","4,138","3,295","3,790","3,181","3,400","1,826","1,662","2,496","2,248","2,371"
2020,10,60,"119,938","19,464","22,742","17,381","7,116","3,882","6,504","5,532","6,554","4,831","3,837","4,223","3,546","3,403","1,743","1,563","2,358","2,505","2,754"
2020,10,70,"74,948","11,835","12,081","10,841","4,434","2,715","3,824","4,042","3,867","2,911","2,663","2,690","2,504","2,643","1,358","1,151","1,413","2,004","1,972"
2020,10,80,"46,014","7,433","7,813","6,277","2,396","1,343","2,096","2,603","2,819","2,025","1,702","1,709","1,437","1,418",871,750,968,"1,197","1,157"
2020,10,90,"8,648","1,439","1,390","1,303",418,211,486,469,455,396,259,289,277,281,163,111,188,260,253
2020,10,100,590,69,84,81,21,38,19,38,35,22,36,31,30,33,8,8,9,13,15
2020,11,총,"766,295","143,116","178,304","107,463","44,630","21,115","41,705","32,303","33,555","22,675","18,713","20,359","17,738","21,471","11,380","10,483","14,579","12,974","13,732"
2020,11,0,"51,731","10,568","13,902","6,551","3,237","1,253","2,905","1,896","1,883","1,022",787,951,844,"1,655",901,848,"1,234",635,659
2020,11,10,"66,198","12,958","17,340","9,057","4,215","1,835","3,619","2,501","2,517","1,706","1,359","1,383","1,235","1,837",892,"1,027","1,106",744,867
2020,11,20,"78,742","17,430","21,205","11,374","3,871","1,573","3,934","3,244","2,714","1,677","1,406","1,431","1,221","2,047","1,171","1,037","1,366","1,043",998
2020,11,30,"78,911","16,773","22,252","10,275","4,312","1,800","4,268","2,653","2,762","1,639","1,263","1,425","1,363","2,097","1,183","1,138","1,666",970,"1,072"
2020,11,40,"109,377","21,496","29,087","15,887","7,029","3,013","6,305","4,013","3,854","2,269","2,094","2,441","2,084","2,653","1,255","1,170","1,768","1,347","1,612"
2020,11,50,"130,366","23,496","30,227","18,293","7,560","3,452","7,685","5,278","6,055","4,114","3,306","3,768","3,181","3,384","1,815","1,668","2,485","2,226","2,373"
2020,11,60,"120,628","19,582","22,906","17,482","7,144","3,883","6,556","5,560","6,584","4,884","3,845","4,238","3,564","3,419","1,759","1,570","2,375","2,526","2,751"
2020,11,70,"74,887","11,832","12,075","10,863","4,423","2,712","3,829","4,026","3,869","2,902","2,649","2,681","2,501","2,643","1,349","1,154","1,406","2,005","1,968"
2020,11,80,"46,176","7,467","7,826","6,293","2,398","1,341","2,098","2,625","2,819","2,042","1,712","1,721","1,442","1,422",881,749,977,"1,203","1,160"
2020,11,90,"8,689","1,446","1,400","1,307",420,215,487,469,462,398,256,290,273,282,166,114,187,261,256
2020,11,100,590,68,84,81,21,38,19,38,36,22,36,30,30,32,8,8,9,14,16
2020,12,총,"766,335","143,189","178,437","107,527","44,602","21,079","41,700","32,232","33,579","22,650","18,676","20,360","17,696","21,483","11,385","10,449","14,610","12,955","13,726"
2020,12,0,"51,568","10,553","13,878","6,522","3,211","1,236","2,878","1,899","1,889","1,025",788,948,843,"1,659",892,841,"1,226",622,658
2020,12,10,"65,953","12,950","17,290","9,016","4,228","1,837","3,615","2,469","2,507","1,667","1,333","1,370","1,222","1,830",892,"1,012","1,105",742,868
2020,12,20,"78,710","17,415","21,295","11,396","3,859","1,565","3,924","3,194","2,690","1,663","1,393","1,423","1,212","2,057","1,172","1,039","1,375","1,044",994
2020,12,30,"78,926","16,767","22,286","10,283","4,292","1,791","4,271","2,652","2,772","1,632","1,262","1,434","1,354","2,104","1,179","1,132","1,673",967,"1,075"
2020,12,40,"109,102","21,484","28,996","15,884","6,989","3,002","6,271","4,013","3,840","2,267","2,079","2,431","2,077","2,651","1,257","1,160","1,765","1,346","1,590"
2020,12,50,"130,154","23,428","30,269","18,265","7,565","3,436","7,684","5,250","6,043","4,115","3,293","3,757","3,160","3,370","1,788","1,660","2,477","2,218","2,376"
2020,12,60,"121,424","19,743","23,032","17,569","7,186","3,896","6,610","5,590","6,639","4,918","3,867","4,273","3,584","3,436","1,798","1,577","2,404","2,538","2,764"
2020,12,70,"74,729","11,807","12,050","10,859","4,428","2,715","3,827","4,008","3,869","2,896","2,643","2,661","2,492","2,631","1,341","1,147","1,402","1,998","1,955"
2020,12,80,"46,465","7,524","7,858","6,335","2,409","1,345","2,111","2,648","2,828","2,042","1,726","1,742","1,450","1,431",892,762,985,"1,204","1,173"
2020,12,90,"8,706","1,448","1,400","1,318",413,218,490,470,466,400,256,290,272,280,166,110,190,262,257
2020,12,100,598,70,83,80,22,38,19,39,36,25,36,31,30,34,8,9,8,14,16
2021,1,총,"765,969","143,159","178,702","107,613","44,502","21,029","41,712","32,110","33,517","22,629","18,630","20,311","17,656","21,412","11,320","10,402","14,604","12,925","13,736"
2021,1,0,"51,324","10,471","13,852","6,499","3,191","1,215","2,857","1,885","1,873","1,020",779,946,833,"1,662",887,835,"1,229",621,669
2021,1,10,"65,662","12,960","17,302","8,999","4,192","1,830","3,601","2,444","2,483","1,641","1,307","1,358","1,224","1,807",868,983,"1,086",730,847
2021,1,20,"78,441","17,345","21,325","11,377","3,853","1,560","3,918","3,124","2,687","1,647","1,381","1,393","1,193","2,047","1,155","1,029","1,376","1,035",996
2021,1,30,"78,689","16,727","22,277","10,276","4,247","1,772","4,268","2,635","2,736","1,627","1,258","1,424","1,347","2,087","1,178","1,122","1,667",961,"1,080"
2021,1,40,"108,879","21,474","28,985","15,858","6,955","2,983","6,247","3,996","3,830","2,273","2,069","2,412","2,066","2,629","1,237","1,156","1,766","1,347","1,596"
2021,1,50,"129,791","23,367","30,260","18,229","7,536","3,429","7,679","5,233","6,023","4,080","3,266","3,739","3,147","3,350","1,777","1,654","2,471","2,202","2,349"
2021,1,60,"122,320","19,901","23,231","17,710","7,236","3,909","6,679","5,621","6,668","4,965","3,896","4,294","3,601","3,454","1,803","1,587","2,425","2,553","2,787"
2021,1,70,"74,740","11,809","12,061","10,888","4,434","2,717","3,830","3,995","3,881","2,882","2,646","2,675","2,484","2,620","1,332","1,153","1,393","1,986","1,954"
2021,1,80,"46,721","7,569","7,916","6,370","2,412","1,357","2,119","2,662","2,826","2,063","1,737","1,743","1,458","1,439",904,761,989,"1,212","1,184"
2021,1,90,"8,802","1,466","1,413","1,327",422,218,496,473,475,405,255,296,274,283,170,113,193,264,259
2021,1,100,600,70,80,80,24,39,18,42,35,26,36,31,29,34,9,9,9,14,15
2021,2,총,"765,689","143,385","178,926","107,527","44,465","20,925","41,657","32,010","33,477","22,637","18,555","20,245","17,633","21,309","11,275","10,375","14,589","12,963","13,736"
2021,2,0,"51,143","10,461","13,817","6,465","3,180","1,192","2,844","1,868","1,879","1,014",772,930,835,"1,656",883,834,"1,215",632,666
2021,2,10,"65,462","12,970","17,298","8,961","4,177","1,817","3,566","2,438","2,448","1,637","1,289","1,356","1,216","1,792",862,967,"1,095",732,841
2021,2,20,"78,060","17,388","21,274","11,277","3,832","1,552","3,918","3,072","2,677","1,645","1,355","1,366","1,183","1,974","1,144","1,028","1,362","1,022",991
2021,2,30,"78,358","16,706","22,262","10,223","4,219","1,715","4,249","2,597","2,721","1,629","1,249","1,400","1,332","2,094","1,167","1,126","1,643",963,"1,063"
2021,2,40,"108,685","21,464","28,967","15,802","6,933","2,979","6,220","3,981","3,819","2,260","2,060","2,408","2,056","2,620","1,222","1,154","1,773","1,359","1,608"
2021,2,50,"129,523","23,357","30,309","18,224","7,531","3,406","7,641","5,219","5,997","4,070","3,238","3,713","3,124","3,323","1,772","1,634","2,443","2,182","2,340"
2021,2,60,"123,277","20,072","23,451","17,865","7,279","3,926","6,740","5,636","6,713","4,995","3,911","4,313","3,626","3,476","1,812","1,602","2,468","2,582","2,810"
2021,2,70,"74,591","11,772","12,048","10,873","4,423","2,720","3,829","4,005","3,861","2,868","2,632","2,675","2,496","2,613","1,320","1,146","1,399","1,976","1,935"
2021,2,80,"47,113","7,658","7,984","6,413","2,441","1,360","2,135","2,678","2,840","2,091","1,759","1,753","1,462","1,442",911,760,989,"1,232","1,205"
2021,2,90,"8,877","1,467","1,435","1,346",426,220,495,475,485,401,256,301,274,285,172,115,193,269,262
2021,2,100,600,70,81,78,24,38,20,41,37,27,34,30,29,34,10,9,9,14,15
2021,3,총,"763,151","142,908","178,621","107,345","44,262","20,851","41,477","31,827","33,370","22,587","18,563","20,061","17,283","21,208","11,193","10,424","14,475","12,973","13,723"
2021,3,0,"50,911","10,427","13,773","6,423","3,164","1,187","2,838","1,858","1,855",997,777,923,829,"1,646",878,839,"1,209",630,658
2021,3,10,"65,344","12,886","17,207","8,930","4,156","1,805","3,533","2,436","2,497","1,705","1,338","1,336","1,203","1,776",863,"1,022","1,083",727,841
2021,3,20,"77,772","17,382","21,202","11,278","3,799","1,536","3,900","3,092","2,660","1,627","1,328","1,359","1,158","1,963","1,136","1,022","1,356","1,001",973
2021,3,30,"78,011","16,664","22,251","10,156","4,188","1,706","4,220","2,572","2,702","1,614","1,244","1,378","1,307","2,076","1,155","1,120","1,629",968,"1,061"
2021,3,40,"108,051","21,315","28,848","15,787","6,887","2,967","6,158","3,950","3,777","2,239","2,042","2,375","2,008","2,607","1,207","1,155","1,761","1,358","1,610"
2021,3,50,"128,552","23,254","30,185","18,097","7,498","3,366","7,584","5,123","5,899","4,039","3,225","3,665","3,047","3,299","1,747","1,631","2,392","2,177","2,324"
2021,3,60,"123,925","20,136","23,668","17,972","7,302","3,955","6,786","5,646","6,791","5,002","3,936","4,310","3,573","3,494","1,814","1,612","2,488","2,607","2,833"
2021,3,70,"74,131","11,697","11,979","10,846","4,388","2,712","3,826","3,968","3,826","2,850","2,624","2,639","2,444","2,600","1,310","1,132","1,376","1,974","1,940"
2021,3,80,"47,287","7,667","8,030","6,438","2,455","1,378","2,133","2,684","2,847","2,092","1,776","1,766","1,449","1,455",903,764,992,"1,248","1,210"
2021,3,90,"8,798","1,436","1,427","1,353",416,225,487,474,486,400,256,298,255,280,173,118,186,268,260
2021,3,100,369,44,51,65,9,14,12,24,30,22,17,12,10,12,7,9,3,15,13
