년도,월,나이,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020,4,100,20,6,0,2,3,4,2,0,3
2020,5,총,"25,851","10,963","1,284","1,522","2,576","2,729","2,310","1,494","2,973"
2020,5,0,"1,183",689,40,54,57,124,73,54,92
2020,5,10,"1,928","1,115",70,72,156,181,114,64,156
2020,5,20,"2,030","1,078",80,84,159,196,120,107,206
2020,5,30,"1,749",924,60,74,120,182,145,97,147
2020,5,40,"3,041","1,503",147,157,254,346,177,168,289
2020,5,50,"4,705","1,954",248,278,586,456,387,228,568
2020,5,60,"4,500","1,638",262,286,519,491,445,274,585
2020,5,70,"3,884","1,247",207,306,388,420,474,290,552
2020,5,80,"2,463",703,150,189,282,287,325,183,344
2020,5,90,348,107,20,20,52,42,48,28,31
2020,5,100,20,5,0,2,3,4,2,1,3
2020,6,총,"25,826","10,931","1,284","1,535","2,585","2,729","2,298","1,491","2,973"
2020,6,0,"1,191",700,40,53,58,123,72,51,94
2020,6,10,"1,928","1,108",70,74,158,182,111,63,162
2020,6,20,"2,007","1,070",78,85,156,194,118,104,202
2020,6,30,"1,724",914,61,74,118,177,142,94,144
2020,6,40,"3,020","1,486",147,152,259,349,173,168,286
2020,6,50,"4,679","1,940",248,282,578,453,384,230,564
2020,6,60,"4,539","1,651",264,292,529,493,451,271,588
2020,6,70,"3,905","1,247",207,309,389,428,473,296,556
2020,6,80,"2,462",703,149,191,284,284,324,185,342
2020,6,90,350,107,20,20,53,42,48,28,32
2020,6,100,21,5,0,3,3,4,2,1,3
2020,7,총,"25,766","10,877","1,282","1,531","2,585","2,724","2,296","1,495","2,976"
2020,7,0,"1,180",695,41,50,58,125,70,51,90
2020,7,10,"1,914","1,093",70,74,162,182,109,62,162
2020,7,20,"2,000","1,068",76,86,154,191,118,104,203
2020,7,30,"1,715",910,56,74,118,177,140,94,146
2020,7,40,"2,994","1,470",151,152,252,345,170,169,285
2020,7,50,"4,648","1,929",244,280,566,449,384,232,564
2020,7,60,"4,553","1,652",265,293,542,495,449,267,590
2020,7,70,"3,913","1,243",209,308,390,433,478,298,554
2020,7,80,"2,471",705,149,191,286,281,326,189,344
2020,7,90,358,108,21,20,54,42,50,28,35
2020,7,100,20,4,0,3,3,4,2,1,3
2020,8,총,"25,696","10,829","1,282","1,544","2,571","2,713","2,293","1,487","2,977"
2020,8,0,"1,173",696,44,50,56,119,68,51,89
2020,8,10,"1,887","1,076",70,75,154,180,109,61,162
2020,8,20,"1,988","1,056",74,86,158,188,118,104,204
2020,8,30,"1,693",893,55,76,118,178,136,90,147
2020,8,40,"2,977","1,459",148,152,251,343,172,170,282
2020,8,50,"4,627","1,927",242,285,553,446,386,231,557
2020,8,60,"4,586","1,657",268,296,552,501,448,267,597
2020,8,70,"3,904","1,245",211,309,391,425,472,294,557
2020,8,80,"2,474",707,149,192,282,286,329,189,340
2020,8,90,367,109,21,20,53,43,53,29,39
2020,8,100,20,4,0,3,3,4,2,1,3
2020,9,총,"25,650","10,831","1,273","1,537","2,569","2,706","2,279","1,478","2,977"
2020,9,0,"1,168",703,45,49,55,113,65,50,88
2020,9,10,"1,871","1,069",68,73,153,181,108,61,158
2020,9,20,"1,971","1,050",69,85,159,188,115,103,202
2020,9,30,"1,685",893,55,77,115,177,132,89,147
2020,9,40,"2,948","1,449",147,151,246,338,171,169,277
2020,9,50,"4,624","1,942",238,281,550,451,380,225,557
2020,9,60,"4,614","1,658",270,294,560,503,453,269,607
2020,9,70,"3,897","1,244",211,309,393,422,467,294,557
2020,9,80,"2,478",709,148,194,282,286,331,186,342
2020,9,90,372,109,21,21,53,43,55,31,39
2020,9,100,22,5,1,3,3,4,2,1,3
2020,10,총,"25,578","10,800","1,265","1,530","2,585","2,695","2,268","1,472","2,963"
2020,10,0,"1,156",703,40,48,56,114,62,49,84
2020,10,10,"1,845","1,048",70,72,154,175,109,62,155
2020,10,20,"1,958","1,051",69,84,158,187,110,101,198
2020,10,30,"1,667",868,54,77,120,176,134,88,150
2020,10,40,"2,931","1,443",146,150,254,332,170,165,271
2020,10,50,"4,600","1,945",235,275,544,449,375,226,551
2020,10,60,"4,640","1,669",270,298,570,504,450,270,609
2020,10,70,"3,898","1,247",210,308,392,423,468,289,561
2020,10,80,"2,484",714,148,193,281,286,333,188,341
2020,10,90,377,107,22,22,53,45,55,33,40
2020,10,100,22,5,1,3,3,4,2,1,3
2020,11,총,"25,577","10,788","1,280","1,533","2,568","2,691","2,278","1,480","2,959"
2020,11,0,"1,159",702,43,49,55,111,63,50,86
2020,11,10,"1,843","1,044",73,72,154,177,110,63,150
2020,11,20,"1,953","1,047",70,83,155,186,112,103,197
2020,11,30,"1,675",879,54,77,119,167,141,88,150
2020,11,40,"2,895","1,423",140,145,246,338,174,165,264
2020,11,50,"4,602","1,930",244,278,544,450,369,230,557
2020,11,60,"4,662","1,680",276,297,568,505,458,269,609
2020,11,70,"3,904","1,257",209,312,391,420,462,291,562
2020,11,80,"2,485",711,147,194,282,289,332,189,341
2020,11,90,377,110,23,23,51,44,55,31,40
2020,11,100,22,5,1,3,3,4,2,1,3
2020,12,총,"25,719","10,845","1,305","1,546","2,561","2,702","2,286","1,487","2,987"
2020,12,0,"1,141",696,44,47,50,111,60,48,85
2020,12,10,"1,858","1,047",78,72,154,180,109,64,154
2020,12,20,"1,985","1,056",77,85,156,187,113,108,203
2020,12,30,"1,686",880,58,76,119,168,143,90,152
2020,12,40,"2,926","1,447",143,155,238,336,176,162,269
2020,12,50,"4,624","1,933",249,279,541,449,377,230,566
2020,12,60,"4,704","1,689",275,300,575,516,462,275,612
2020,12,70,"3,900","1,270",207,310,389,422,457,288,557
2020,12,80,"2,496",714,151,195,284,286,332,189,345
2020,12,90,377,108,22,24,52,43,55,32,41
2020,12,100,22,5,1,3,3,4,2,1,3
2021,1,총,"25,573","10,810","1,288","1,528","2,536","2,686","2,286","1,477","2,962"
2021,1,0,"1,140",694,42,48,52,111,60,48,85
2021,1,10,"1,828","1,042",70,68,143,180,111,59,155
2021,1,20,"1,945","1,034",74,83,145,191,109,110,199
2021,1,30,"1,657",869,54,74,114,158,146,92,150
2021,1,40,"2,890","1,444",138,146,234,337,174,153,264
2021,1,50,"4,577","1,921",248,280,534,444,372,229,549
2021,1,60,"4,743","1,712",280,299,586,512,467,278,609
2021,1,70,"3,895","1,268",205,308,389,421,457,286,561
2021,1,80,"2,495",710,154,194,282,286,334,189,346
2021,1,90,380,111,22,25,54,40,54,33,41
2021,1,100,23,5,1,3,3,6,2,0,3
2021,2,총,"25,505","10,822","1,281","1,502","2,524","2,660","2,281","1,470","2,965"
2021,2,0,"1,128",690,41,48,51,111,57,42,88
2021,2,10,"1,806","1,038",68,67,139,174,104,59,157
2021,2,20,"1,924","1,035",73,78,142,184,114,105,193
2021,2,30,"1,650",867,54,69,115,157,144,92,152
2021,2,40,"2,861","1,440",132,139,227,329,175,155,264
2021,2,50,"4,564","1,922",247,276,529,440,371,227,552
2021,2,60,"4,753","1,721",279,295,594,511,465,279,609
2021,2,70,"3,891","1,273",209,309,390,417,454,286,553
2021,2,80,"2,521",719,153,194,281,291,338,191,354
2021,2,90,383,112,23,24,53,39,57,34,41
2021,2,100,24,5,2,3,3,7,2,0,2
2021,3,총,"25,437","10,763","1,279","1,503","2,515","2,648","2,280","1,470","2,979"
2021,3,0,"1,117",681,40,49,53,108,58,41,87
2021,3,10,"1,792","1,031",68,67,142,173,99,60,152
2021,3,20,"1,910","1,023",72,74,137,181,120,104,199
2021,3,30,"1,637",859,55,70,108,152,147,95,151
2021,3,40,"2,835","1,430",130,143,219,331,170,152,260
2021,3,50,"4,542","1,898",249,278,523,445,369,220,560
2021,3,60,"4,775","1,730",273,295,600,505,459,289,624
2021,3,70,"3,875","1,272",212,308,390,413,452,282,546
2021,3,80,"2,546",719,155,194,286,295,346,195,356
2021,3,90,389,117,23,23,54,39,58,32,43
2021,3,100,19,3,2,2,3,6,2,0,1
2021,4,총,"25,400","10,740","1,275","1,501","2,524","2,637","2,278","1,466","2,979"
2021,4,0,"1,105",673,40,49,52,104,59,42,86
2021,4,10,"1,786","1,031",67,66,140,174,99,57,152
2021,4,20,"1,904","1,017",73,78,137,180,118,103,198
2021,4,30,"1,624",853,53,70,109,151,142,97,149
2021,4,40,"2,818","1,429",126,141,218,325,171,152,256
2021,4,50,"4,528","1,887",248,279,524,444,367,217,562
2021,4,60,"4,812","1,741",273,294,615,512,462,291,624
2021,4,70,"3,845","1,264",214,305,384,410,447,278,543
2021,4,80,"2,570",723,155,195,290,292,354,197,364
2021,4,90,389,118,25,22,52,39,57,32,44
2021,4,100,19,4,1,2,3,6,2,0,1
2021,5,총,"25,287","10,714","1,270","1,492","2,513","2,616","2,272","1,458","2,952"
2021,5,0,"1,092",665,40,47,48,106,58,42,86
2021,5,10,"1,774","1,028",64,67,144,169,98,54,150
2021,5,20,"1,898","1,009",78,78,135,177,117,106,198
2021,5,30,"1,596",845,51,70,105,152,138,95,140
2021,5,40,"2,779","1,406",126,137,219,317,170,153,251
2021,5,50,"4,529","1,905",247,280,517,443,363,212,562
2021,5,60,"4,807","1,748",272,295,610,511,465,288,618
2021,5,70,"3,827","1,262",214,301,385,404,449,277,535
2021,5,80,"2,576",725,152,193,294,291,356,198,367
2021,5,90,393,117,25,23,54,41,56,33,44
2021,5,100,16,4,1,1,2,5,2,0,1
2021,6,총,"25,255","10,666","1,274","1,489","2,522","2,627","2,274","1,464","2,939"
2021,6,0,"1,076",645,40,45,49,106,60,43,88
2021,6,10,"1,778","1,015",67,67,151,173,97,56,152
2021,6,20,"1,900","1,005",82,82,135,180,119,104,193
2021,6,30,"1,583",834,49,70,104,153,138,95,140
2021,6,40,"2,764","1,402",127,135,217,308,172,152,251
2021,6,50,"4,524","1,900",246,281,517,446,362,215,557
2021,6,60,"4,817","1,746",268,296,614,519,466,290,618
2021,6,70,"3,818","1,266",214,298,381,404,449,273,533
2021,6,80,"2,585",728,155,191,299,291,355,203,363
2021,6,90,394,121,25,23,53,42,54,33,43
2021,6,100,16,4,1,1,2,5,2,0,1
2021,7,총,"25,181","10,647","1,266","1,491","2,505","2,636","2,259","1,448","2,929"
2021,7,0,"1,048",634,39,44,48,105,57,38,83
2021,7,10,"1,769","1,020",64,66,145,172,97,54,151
2021,7,20,"1,885",994,82,83,131,187,114,100,194
2021,7,30,"1,553",815,48,69,103,149,134,93,142
2021,7,40,"2,752","1,402",125,137,214,307,172,150,245
2021,7,50,"4,514","1,899",247,278,520,451,353,213,553
2021,7,60,"4,828","1,746",269,301,613,521,470,287,621
2021,7,70,"3,817","1,273",212,292,383,406,448,275,528
2021,7,80,"2,604",735,153,197,296,291,358,206,368
2021,7,90,395,124,26,23,51,42,54,32,43
2021,7,100,16,5,1,1,1,5,2,0,1
2021,8,총,"25,161","10,616","1,266","1,489","2,506","2,638","2,272","1,442","2,932"
2021,8,0,"1,054",625,38,43,56,103,65,39,85
2021,8,10,"1,781","1,026",64,66,142,173,100,53,157
2021,8,20,"1,866",975,83,80,135,193,114,98,188
2021,8,30,"1,549",815,46,68,104,150,134,94,138
2021,8,40,"2,725","1,384",122,139,214,306,174,146,240
2021,8,50,"4,519","1,900",253,282,510,449,352,215,558
2021,8,60,"4,826","1,753",265,299,613,519,469,285,623
2021,8,70,"3,812","1,276",213,292,378,409,447,271,526
2021,8,80,"2,613",733,154,196,303,288,361,207,371
2021,8,90,400,124,27,23,50,43,54,34,45
2021,8,100,16,5,1,1,1,5,2,0,1
2021,9,총,"25,095","10,561","1,270","1,492","2,510","2,632","2,259","1,435","2,936"
2021,9,0,"1,048",615,41,46,56,103,63,37,87
2021,9,10,"1,776","1,022",62,66,143,172,103,53,155
2021,9,20,"1,830",961,84,81,137,187,105,92,183
2021,9,30,"1,532",802,47,68,106,145,129,93,142
2021,9,40,"2,705","1,369",120,138,213,308,172,146,239
2021,9,50,"4,504","1,893",253,285,506,447,350,213,557
2021,9,60,"4,856","1,759",269,298,615,523,476,286,630
2021,9,70,"3,790","1,267",209,290,373,411,445,273,522
2021,9,80,"2,641",745,158,196,309,289,360,208,376
2021,9,90,399,123,26,24,52,42,54,34,44
2021,9,100,14,5,1,0,0,5,2,0,1
2021,10,총,"25,121","10,635","1,261","1,497","2,510","2,613","2,243","1,435","2,927"
2021,10,0,"1,036",624,37,44,53,97,62,37,82
2021,10,10,"1,780","1,026",62,67,142,175,102,51,155
2021,10,20,"1,835",969,82,80,136,187,102,95,184
2021,10,30,"1,525",808,47,72,104,136,127,92,139
2021,10,40,"2,695","1,373",117,138,218,298,168,141,242
2021,10,50,"4,531","1,912",254,286,503,452,353,216,555
2021,10,60,"4,854","1,763",262,301,620,519,476,288,625
2021,10,70,"3,795","1,276",212,289,373,411,441,271,522
2021,10,80,"2,655",752,161,196,309,290,358,211,378
2021,10,90,401,127,26,24,52,43,52,33,44
2021,10,100,14,5,1,0,0,5,2,0,1
2021,11,총,"25,175","10,683","1,266","1,491","2,509","2,612","2,245","1,429","2,940"
2021,11,0,"1,037",629,38,42,52,95,62,34,85
2021,11,10,"1,769","1,022",60,67,141,173,102,49,155
2021,11,20,"1,864",993,84,80,139,188,102,96,182
2021,11,30,"1,517",805,46,73,100,139,123,87,144
2021,11,40,"2,693","1,372",116,134,221,300,169,142,239
2021,11,50,"4,543","1,928",251,281,504,447,356,218,558
2021,11,60,"4,885","1,773",271,306,617,523,479,288,628
2021,11,70,"3,798","1,279",207,287,377,408,442,272,526
2021,11,80,"2,662",753,167,198,308,291,357,209,379
2021,11,90,393,124,25,23,50,43,51,34,43
2021,11,100,14,5,1,0,0,5,2,0,1
2021,12,총,"25,235","10,730","1,268","1,491","2,513","2,614","2,243","1,432","2,944"
2021,12,0,"1,024",633,35,38,46,93,61,34,84
2021,12,10,"1,774","1,031",62,67,139,172,101,47,155
2021,12,20,"1,882","1,000",84,82,143,188,104,96,185
2021,12,30,"1,506",805,42,73,98,143,118,85,142
2021,12,40,"2,707","1,379",117,134,222,300,171,141,243
2021,12,50,"4,555","1,929",253,278,510,453,353,224,555
2021,12,60,"4,910","1,787",272,314,617,522,484,286,628
2021,12,70,"3,781","1,274",208,282,380,403,436,275,523
2021,12,80,"2,685",764,169,199,308,289,360,212,384
2021,12,90,398,123,25,24,50,47,53,32,44
2021,12,100,13,5,1,0,0,4,2,0,1
