년도,월,나이,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020,3,50,"23,034",332,378,334,273,264,490,337,318,247,435,266,190,556,583,504,270,"1,058","1,522",651,476,263,"4,053","1,214","2,121","2,778","1,746","1,375"
2020,3,60,"17,817",351,315,316,314,303,535,341,336,260,397,303,240,547,610,546,317,823,"1,199",639,515,256,"2,104","1,039","1,560","1,596","1,140",915
2020,3,70,"9,834",253,174,183,193,175,361,215,214,181,181,246,195,375,481,407,270,518,637,424,269,159,943,496,694,719,456,415
2020,3,80,"3,330",110,80,107,73,91,170,83,78,80,58,82,48,136,140,163,70,173,174,130,79,72,273,140,256,237,113,114
2020,3,90,293,9,4,8,13,14,21,1,12,9,4,12,5,12,10,14,7,8,12,10,3,8,25,11,23,18,12,8
2020,3,100,34,2,0,0,0,2,1,0,0,1,2,1,3,4,1,2,0,1,0,2,1,1,2,1,0,2,5,0
2020,4,총,"135,704","1,670","2,449","1,794","1,377","1,322","2,571","1,566","1,511","1,171","1,999","1,579","1,189","2,964","3,717","2,894","1,509","6,557","10,826","3,862","2,793","1,523","27,792","6,604","11,780","16,515","9,235","6,935"
2020,4,0,"11,153",50,304,95,39,45,83,41,41,36,59,73,61,121,210,97,47,601,"1,232",206,173,77,"3,592",386,922,"1,454",697,411
2020,4,10,"14,151",76,185,196,68,53,142,92,81,54,112,71,68,225,335,175,51,591,"1,066",277,258,153,"4,005",672,"1,516","2,263",870,496
2020,4,20,"16,181",152,233,143,139,113,207,170,161,83,217,151,89,288,458,365,113,765,"1,279",414,329,199,"3,461",940,"1,624","2,270","1,027",791
2020,4,30,"16,604",132,356,119,90,102,213,107,101,73,186,143,124,288,346,241,143,928,"1,884",468,306,143,"3,877",781,"1,155","1,970","1,308","1,020"
2020,4,40,"23,123",200,420,295,173,158,347,179,165,150,353,232,165,414,544,376,221,"1,078","1,797",627,379,194,"5,421",924,"1,894","3,167","1,859","1,391"
2020,4,50,"23,045",335,381,329,276,266,490,332,315,239,429,264,189,550,578,504,269,"1,062","1,542",665,476,259,"4,058","1,208","2,122","2,804","1,733","1,370"
2020,4,60,"17,880",348,312,315,309,300,533,342,341,265,403,303,237,549,610,550,316,828,"1,194",637,517,254,"2,131","1,040","1,570","1,607","1,152",917
2020,4,70,"9,889",256,174,186,197,178,366,218,212,181,178,247,199,376,483,406,273,521,640,427,271,161,948,501,696,721,460,413
2020,4,80,"3,347",110,79,107,73,91,167,84,82,80,56,81,49,137,142,164,69,174,180,128,79,74,272,141,258,239,113,118
2020,4,90,296,9,5,9,13,14,22,1,12,9,4,13,5,12,10,14,6,8,12,11,4,8,24,11,23,18,11,8
2020,4,100,35,2,0,0,0,2,1,0,0,1,2,1,3,4,1,2,1,1,0,2,1,1,3,0,0,2,5,0
2020,5,총,"135,674","1,667","2,444","1,794","1,375","1,322","2,564","1,552","1,496","1,167","1,992","1,567","1,192","2,947","3,712","2,885","1,496","6,561","11,028","3,859","2,773","1,516","27,803","6,589","11,705","16,512","9,240","6,916"
2020,5,0,"11,112",50,307,94,36,45,87,39,41,32,58,70,61,121,209,96,47,607,"1,256",205,170,76,"3,572",373,910,"1,450",688,412
2020,5,10,"14,120",72,183,199,65,53,142,90,79,57,111,73,70,221,332,175,51,599,"1,088",275,257,152,"4,016",673,"1,490","2,244",865,488
2020,5,20,"16,183",158,230,140,141,111,204,169,155,82,214,150,89,285,461,360,107,765,"1,307",417,324,193,"3,481",936,"1,623","2,277","1,016",788
2020,5,30,"16,537",130,359,116,89,101,213,105,99,72,186,136,124,287,334,244,140,919,"1,938",456,304,150,"3,863",766,"1,127","1,959","1,304","1,016"
2020,5,40,"23,082",195,416,300,174,159,344,175,163,148,350,237,163,413,542,373,225,"1,068","1,836",634,374,191,"5,409",928,"1,881","3,154","1,857","1,373"
2020,5,50,"23,068",342,379,326,276,269,487,332,311,241,424,259,187,540,585,504,265,"1,068","1,564",665,477,257,"4,049","1,209","2,104","2,821","1,750","1,377"
2020,5,60,"17,922",344,312,312,313,297,530,344,341,265,401,301,240,549,610,547,311,825,"1,200",633,515,252,"2,158","1,045","1,580","1,615","1,168",914
2020,5,70,"9,957",253,174,190,195,180,366,213,212,182,186,247,202,379,482,408,274,526,644,432,270,163,957,508,705,730,460,419
2020,5,80,"3,359",112,79,108,72,91,168,84,83,78,56,80,49,137,146,162,70,175,182,129,77,74,271,140,259,242,114,121
2020,5,90,298,9,5,9,14,14,22,1,12,9,4,13,4,11,10,14,5,8,13,11,4,7,24,11,26,17,13,8
2020,5,100,36,2,0,0,0,2,1,0,0,1,2,1,3,4,1,2,1,1,0,2,1,1,3,0,0,3,5,0
2020,6,총,"135,579","1,667","2,422","1,790","1,379","1,315","2,552","1,560","1,491","1,168","1,982","1,560","1,191","2,922","3,697","2,868","1,481","6,562","11,255","3,842","2,778","1,505","27,764","6,566","11,656","16,508","9,252","6,846"
2020,6,0,"11,060",47,309,93,36,44,83,39,40,33,56,70,60,121,206,94,43,609,"1,287",204,165,77,"3,551",365,905,"1,450",676,397
2020,6,10,"14,093",68,177,194,65,53,142,90,75,55,109,72,70,222,327,175,53,596,"1,117",271,253,150,"4,017",658,"1,477","2,241",871,495
2020,6,20,"16,185",163,225,143,141,111,201,169,156,84,212,146,86,282,460,357,106,764,"1,327",415,335,193,"3,494",934,"1,615","2,274","1,017",775
2020,6,30,"16,475",130,357,115,89,100,214,103,100,72,181,134,125,282,327,239,139,912,"1,999",461,296,150,"3,826",764,"1,121","1,954","1,301",984
2020,6,40,"23,046",197,414,296,172,160,336,178,163,145,349,231,160,409,542,365,219,"1,069","1,878",630,379,187,"5,379",927,"1,875","3,160","1,852","1,374"
2020,6,50,"23,003",343,368,330,272,265,482,335,310,241,425,265,189,535,590,504,262,"1,069","1,581",655,477,255,"4,062","1,197","2,084","2,797","1,753","1,357"
2020,6,60,"18,018",344,316,312,320,295,533,345,342,266,400,302,240,545,607,549,310,827,"1,220",628,522,251,"2,163","1,057","1,593","1,630","1,184",917
2020,6,70,"10,012",251,173,189,198,180,369,217,210,182,188,245,205,378,484,406,274,532,648,436,271,162,974,513,705,738,466,418
2020,6,80,"3,350",113,79,109,71,91,169,83,84,80,56,81,49,134,143,163,67,175,186,128,76,72,270,140,254,242,114,121
2020,6,90,301,9,4,9,15,14,22,1,11,9,4,13,4,10,10,14,7,8,12,12,3,7,25,11,27,19,13,8
2020,6,100,36,2,0,0,0,2,1,0,0,1,2,1,3,4,1,2,1,1,0,2,1,1,3,0,0,3,5,0
2020,7,총,"135,497","1,663","2,415","1,784","1,373","1,316","2,547","1,548","1,488","1,162","1,987","1,555","1,173","2,876","3,662","2,845","2,042","6,532","11,256","3,800","2,823","1,507","27,684","6,512","11,623","16,399","9,176","6,749"
2020,7,0,"11,001",48,304,94,34,42,82,39,41,31,58,69,57,115,198,93,111,598,"1,283",211,157,77,"3,529",358,899,"1,428",657,388
2020,7,10,"14,037",63,177,194,65,54,144,87,73,54,106,70,68,218,328,169,94,589,"1,122",258,252,149,"4,016",649,"1,459","2,234",861,484
2020,7,20,"16,189",161,222,142,137,107,198,164,153,83,209,147,79,281,463,354,190,761,"1,329",406,359,194,"3,485",924,"1,615","2,258","1,005",763
2020,7,30,"16,417",132,351,114,89,104,208,102,103,72,186,131,115,264,317,235,302,907,"1,981",449,315,148,"3,792",747,"1,105","1,910","1,278",960
2020,7,40,"23,010",199,416,292,169,163,337,177,165,142,346,227,162,402,529,357,310,"1,057","1,884",622,378,191,"5,362",930,"1,864","3,139","1,841","1,349"
2020,7,50,"22,978",340,370,333,278,265,477,331,305,239,429,270,189,530,577,497,317,"1,078","1,578",646,482,248,"4,057","1,187","2,086","2,786","1,745","1,338"
2020,7,60,"18,060",342,319,307,318,293,538,344,340,266,400,297,240,541,611,550,344,818,"1,229",625,523,255,"2,177","1,055","1,594","1,635","1,183",916
2020,7,70,"10,086",254,174,188,198,180,370,220,212,184,189,248,206,374,484,412,292,540,650,438,276,162,969,512,715,745,473,421
2020,7,80,"3,380",113,78,111,72,91,170,83,85,81,58,82,50,138,144,162,73,175,188,130,77,75,268,140,258,242,114,122
2020,7,90,302,9,4,9,13,15,22,1,11,9,4,13,4,8,10,14,8,8,12,13,3,7,26,10,28,19,14,8
2020,7,100,37,2,0,0,0,2,1,0,0,1,2,1,3,5,1,2,1,1,0,2,1,1,3,0,0,3,5,0
2020,8,총,"135,367","1,643","2,411","1,774","1,366","1,306","2,531","1,544","1,486","1,161","1,980","1,557","1,174","2,865","3,642","2,843","2,171","6,488","11,293","3,806","2,809","1,505","27,661","6,486","11,609","16,376","9,158","6,722"
2020,8,0,"10,939",46,299,93,35,42,78,39,42,30,61,70,56,119,193,94,122,588,"1,286",212,153,78,"3,505",358,901,"1,408",648,383
2020,8,10,"13,990",60,181,189,64,54,141,85,69,55,103,71,69,211,321,167,107,588,"1,119",255,251,148,"4,026",645,"1,457","2,211",863,480
2020,8,20,"16,161",159,220,143,137,102,197,162,154,83,205,148,78,281,466,347,210,752,"1,333",405,359,190,"3,455",914,"1,613","2,283","1,006",759
2020,8,30,"16,315",127,351,111,86,101,200,103,101,72,186,128,116,260,308,237,334,895,"1,982",451,313,149,"3,779",741,"1,093","1,891","1,252",948
2020,8,40,"22,967",200,415,287,170,162,329,174,162,141,345,231,157,396,524,357,325,"1,042","1,893",626,375,190,"5,372",919,"1,866","3,129","1,843","1,337"
2020,8,50,"22,977",333,371,336,276,265,476,330,307,238,425,266,189,529,574,498,337,"1,082","1,589",640,477,245,"4,055","1,180","2,081","2,787","1,751","1,340"
2020,8,60,"18,161",342,319,308,316,294,542,346,339,261,402,298,246,546,617,548,353,814,"1,240",631,523,256,"2,194","1,061","1,601","1,656","1,183",925
2020,8,70,"10,115",254,175,188,198,178,374,221,216,190,190,248,205,371,484,414,296,543,651,438,276,165,970,517,711,747,477,418
2020,8,80,"3,398",112,76,111,72,91,172,83,85,80,57,83,51,140,144,165,77,174,185,133,78,76,276,139,256,242,116,124
2020,8,90,307,8,4,8,12,15,21,1,11,10,4,13,4,7,10,14,9,9,15,13,3,7,26,12,30,19,14,8
2020,8,100,37,2,0,0,0,2,1,0,0,1,2,1,3,5,1,2,1,1,0,2,1,1,3,0,0,3,5,0
2020,9,총,"135,421","1,636","2,396","1,768","1,359","1,308","2,502","1,544","1,475","1,163","1,974","1,557","1,172","2,808","3,616","2,820","2,241","6,461","11,290","3,788","3,361","1,496","27,556","6,447","11,577","16,273","9,172","6,661"
2020,9,0,"10,879",47,294,90,35,42,75,38,42,30,58,69,59,105,189,91,127,586,"1,287",211,204,78,"3,481",351,886,"1,383",650,371
2020,9,10,"13,954",61,178,188,61,55,140,87,66,57,105,73,68,207,314,168,112,586,"1,121",254,299,146,"4,018",633,"1,444","2,192",850,471
2020,9,20,"16,209",158,218,141,136,103,190,161,151,83,206,149,78,273,469,344,220,748,"1,335",403,459,185,"3,435",907,"1,617","2,275","1,019",746
2020,9,30,"16,238",126,350,111,87,101,195,104,98,71,183,125,110,244,299,230,354,885,"1,969",447,398,146,"3,723",733,"1,092","1,867","1,255",935
2020,9,40,"22,951",196,409,285,169,161,320,176,161,139,340,227,158,388,522,355,339,"1,046","1,896",611,467,190,"5,365",905,"1,859","3,108","1,837","1,322"
2020,9,50,"23,006",332,371,334,270,266,473,324,299,237,425,271,188,517,573,488,340,"1,061","1,596",635,575,242,"4,059","1,188","2,079","2,771","1,759","1,333"
2020,9,60,"18,262",337,319,311,319,294,541,347,346,265,404,299,243,551,608,551,359,817,"1,235",637,587,255,"2,199","1,060","1,595","1,670","1,189",924
2020,9,70,"10,175",255,176,189,198,180,375,223,216,190,193,247,208,372,483,408,301,547,653,440,289,167,972,519,716,749,481,428
2020,9,80,"3,398",112,77,111,72,89,172,82,85,80,54,83,54,138,148,169,78,174,183,135,79,78,276,139,257,235,115,123
2020,9,90,312,10,4,8,12,15,20,2,11,10,4,13,4,8,10,14,10,10,15,13,3,7,25,12,32,20,12,8
2020,9,100,37,2,0,0,0,2,1,0,0,1,2,1,2,5,1,2,1,1,0,2,1,2,3,0,0,3,5,0
2020,10,총,"135,376","1,635","2,396","1,760","1,358","1,306","2,494","1,553","1,469","1,166","1,962","1,556","1,168","2,779","3,588","2,806","2,263","6,459","11,275","3,757","3,701","1,487","27,511","6,403","11,534","16,214","9,155","6,621"
2020,10,0,"10,787",44,292,85,34,42,74,38,47,29,57,71,58,102,189,88,128,586,"1,280",206,233,78,"3,454",345,865,"1,368",630,364
2020,10,10,"13,946",60,182,193,62,55,137,88,65,56,103,72,65,202,306,171,116,585,"1,118",253,325,146,"4,015",625,"1,453","2,181",853,459
2020,10,20,"16,223",164,218,144,135,102,190,162,148,84,203,149,77,270,470,344,222,746,"1,330",398,520,183,"3,431",900,"1,611","2,263","1,021",738
2020,10,30,"16,123",124,345,110,89,101,194,106,95,71,180,124,106,235,291,228,361,880,"1,968",444,471,147,"3,668",717,"1,076","1,842","1,234",916
2020,10,40,"22,885",192,409,276,165,160,319,175,159,141,336,231,160,382,511,347,337,"1,043","1,881",603,510,190,"5,380",889,"1,846","3,088","1,832","1,323"
2020,10,50,"23,076",335,373,337,268,264,469,330,297,238,421,269,187,513,576,484,346,"1,058","1,601",630,639,237,"4,077","1,184","2,078","2,777","1,760","1,328"
2020,10,60,"18,339",341,324,308,321,292,540,345,342,266,401,296,240,555,602,549,362,826,"1,242",635,621,255,"2,205","1,069","1,593","1,676","1,206",927
2020,10,70,"10,225",253,175,189,200,184,378,225,220,190,201,247,211,369,485,408,301,545,656,437,296,166,975,523,722,753,483,433
2020,10,80,"3,415",109,75,109,72,88,172,82,83,78,54,85,58,139,147,171,78,179,184,135,82,76,277,139,258,241,119,125
2020,10,90,320,11,3,9,12,16,20,2,13,12,4,12,4,7,10,14,11,10,15,14,3,7,26,12,32,22,11,8
2020,10,100,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
2020,11,총,"135,332","1,644","2,400","1,757","1,353","1,294","2,485","1,548","1,473","1,159","1,946","1,554","1,174","2,769","3,591","2,782","2,262","6,455","11,315","3,758","3,845","1,479","27,506","6,375","11,512","16,159","9,147","6,590"
2020,11,0,"10,726",44,294,84,33,41,74,34,47,30,53,69,59,98,191,84,129,581,"1,289",202,244,78,"3,438",343,859,"1,354",615,359
2020,11,10,"13,881",58,181,191,64,54,138,86,64,54,101,72,69,201,303,168,113,584,"1,122",258,332,142,"3,998",616,"1,451","2,154",850,457
2020,11,20,"16,254",168,218,145,136,101,193,163,153,83,197,152,77,270,466,343,216,749,"1,336",391,552,184,"3,434",900,"1,608","2,262","1,024",733
2020,11,30,"16,060",122,350,110,88,97,192,107,96,70,184,122,103,237,291,219,365,873,"1,970",435,494,144,"3,666",703,"1,069","1,824","1,226",903
2020,11,40,"22,864",192,408,277,161,161,316,174,156,143,328,229,160,381,515,338,335,"1,038","1,897",609,531,187,"5,379",888,"1,839","3,071","1,830","1,321"
2020,11,50,"23,075",338,374,335,263,251,467,330,299,233,413,268,191,506,573,486,353,"1,065","1,596",631,662,236,"4,077","1,187","2,069","2,784","1,771","1,317"
2020,11,60,"18,420",346,320,310,326,299,537,342,340,267,409,299,240,549,607,545,362,831,"1,248",640,642,257,"2,220","1,066","1,597","1,678","1,210",933
2020,11,70,"10,271",254,178,190,199,182,379,228,221,189,198,245,210,374,486,416,299,542,661,438,303,165,986,520,729,765,480,434
2020,11,80,"3,417",108,74,106,71,90,167,82,84,77,56,86,59,140,148,168,77,180,180,137,81,77,278,140,259,242,124,126
2020,11,90,327,12,3,9,12,16,21,2,13,12,5,12,4,8,10,13,12,11,16,15,3,7,27,12,32,22,11,7
2020,11,100,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
2020,12,총,"135,332","1,645","2,399","1,761","1,358","1,297","2,494","1,548","1,469","1,166","1,922","1,548","1,175","2,755","3,587","2,787","2,270","6,445","11,303","3,765","3,895","1,477","27,573","6,341","11,521","16,148","9,121","6,562"
2020,12,0,"10,663",42,293,86,33,42,74,35,46,31,47,66,58,96,192,80,132,572,"1,276",200,245,79,"3,445",341,852,"1,348",601,351
2020,12,10,"13,842",60,183,191,61,51,135,85,67,55,102,73,69,202,302,169,110,582,"1,114",266,340,141,"3,986",607,"1,451","2,160",837,443
2020,12,20,"16,311",169,210,144,137,104,194,162,154,86,194,157,80,268,467,344,218,746,"1,339",391,563,184,"3,443",899,"1,610","2,280","1,038",730
2020,12,30,"16,031",124,357,108,88,102,194,109,94,69,178,118,102,239,292,224,368,871,"1,970",432,497,142,"3,667",695,"1,067","1,808","1,213",903
2020,12,40,"22,797",192,403,279,160,156,316,172,156,144,320,222,160,382,503,336,334,"1,034","1,909",611,531,186,"5,385",879,"1,845","3,055","1,816","1,311"
2020,12,50,"23,039",331,377,329,261,249,463,325,298,230,409,267,193,495,579,487,354,"1,058","1,578",632,676,236,"4,096","1,180","2,064","2,773","1,774","1,325"
2020,12,60,"18,521",348,317,315,332,301,546,348,336,270,408,302,236,546,607,543,370,841,"1,255",640,650,255,"2,249","1,069","1,609","1,683","1,215",930
2020,12,70,"10,316",258,182,194,201,184,382,227,219,190,199,245,213,373,484,419,294,544,665,440,307,168,994,518,731,767,485,433
2020,12,80,"3,444",106,74,106,73,91,167,83,86,78,58,85,58,141,150,170,77,185,181,137,82,77,278,141,258,250,124,128
2020,12,90,331,13,3,9,12,15,22,2,13,12,5,13,4,8,10,13,12,11,16,14,3,7,27,12,34,21,12,8
2020,12,100,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
2021,1,총,"135,311","1,630","2,403","1,751","1,357","1,291","2,478","1,552","1,473","1,164","1,918","1,549","1,166","2,737","3,578","2,788","2,267","6,448","11,331","3,765","3,962","1,473","27,611","6,315","11,496","16,114","9,134","6,560"
2021,1,0,"10,551",41,290,89,33,43,72,34,44,30,48,65,59,93,188,82,130,565,"1,277",200,246,79,"3,407",333,828,"1,335",594,346
2021,1,10,"13,823",60,183,186,61,48,133,83,71,55,97,72,67,192,300,169,111,584,"1,119",266,341,139,"4,017",605,"1,448","2,140",836,440
2021,1,20,"16,315",164,210,145,136,101,190,163,157,85,194,158,77,264,468,343,213,740,"1,345",389,579,187,"3,460",902,"1,615","2,271","1,041",718
2021,1,30,"15,915",117,356,110,89,98,193,112,95,69,177,117,99,235,294,222,364,879,"1,956",425,509,140,"3,622",682,"1,054","1,797","1,208",896
2021,1,40,"22,806",196,405,271,154,163,313,167,154,141,322,220,157,383,501,338,338,"1,022","1,922",617,535,185,"5,389",877,"1,845","3,049","1,826","1,316"
2021,1,50,"23,054",325,375,328,265,244,457,325,298,229,410,270,194,489,575,485,353,"1,064","1,587",632,680,233,"4,132","1,174","2,061","2,777","1,768","1,324"
2021,1,60,"18,624",348,322,312,336,304,550,354,332,271,406,303,234,553,605,545,374,843,"1,255",639,674,255,"2,272","1,066","1,616","1,688","1,225",942
2021,1,70,"10,381",258,186,195,199,182,380,227,221,192,199,246,214,372,483,421,295,551,673,444,309,167,"1,001",520,738,778,489,441
2021,1,80,"3,470",106,73,106,72,92,167,84,88,79,58,85,59,143,152,168,76,187,181,137,85,79,281,144,257,254,129,128
2021,1,90,335,13,3,9,12,14,22,3,13,12,5,13,4,8,11,13,12,12,16,14,3,7,27,12,34,22,12,9
2021,1,100,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
2021,2,총,"135,263","1,629","2,410","1,753","1,359","1,288","2,479","1,549","1,473","1,162","1,922","1,540","1,164","2,725","3,572","2,766","2,261","6,440","11,328","3,759","3,986","1,464","27,699","6,289","11,482","16,080","9,153","6,531"
2021,2,0,"10,505",41,291,91,36,45,73,34,45,30,48,64,58,94,188,79,132,563,"1,281",198,241,79,"3,418",317,811,"1,320",583,345
2021,2,10,"13,779",62,186,183,60,49,133,82,69,55,94,73,69,195,301,166,110,579,"1,112",264,347,135,"4,019",607,"1,431","2,123",833,442
2021,2,20,"16,296",160,214,146,138,96,192,163,156,83,190,152,75,258,470,335,211,733,"1,329",385,580,187,"3,495",902,"1,613","2,269","1,056",708
2021,2,30,"15,824",117,357,108,92,98,191,114,90,70,177,113,93,233,291,220,361,871,"1,964",427,513,134,"3,605",677,"1,049","1,787","1,199",873
2021,2,40,"22,766",193,403,276,151,158,310,164,156,137,316,218,160,381,496,336,338,"1,034","1,922",615,543,186,"5,402",869,"1,829","3,032","1,831","1,310"
2021,2,50,"23,083",336,373,325,265,240,453,323,297,229,421,270,196,485,575,477,351,"1,054","1,585",635,684,230,"4,163","1,167","2,071","2,784","1,776","1,318"
2021,2,60,"18,719",339,326,311,333,310,552,356,337,270,408,302,231,552,606,549,372,851,"1,256",643,683,251,"2,285","1,072","1,638","1,699","1,234",953
2021,2,70,"10,422",255,183,196,199,184,385,228,221,196,202,249,216,372,481,417,296,553,682,443,307,173,997,521,750,783,490,443
2021,2,80,"3,490",111,74,108,73,92,167,80,90,79,59,84,60,140,154,172,77,187,181,133,84,79,284,145,256,258,133,130
2021,2,90,342,13,3,9,12,14,22,5,12,12,5,15,4,10,9,13,12,14,16,14,3,8,28,12,34,22,12,9
2021,2,100,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
