년도,월,나이,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020,4,40,"39,585","1,828","2,681","2,019",463,231,369,"4,500","4,251","1,942","5,954","4,340","3,426","2,564","5,017"
2020,4,50,"31,192","2,380","2,237","2,158",836,515,759,"4,711","2,377","2,093","4,439","2,366","1,951","1,559","2,811"
2020,4,60,"23,294","1,848","1,934","1,911",820,561,754,"2,767","1,625","1,347","3,017","1,775","1,463","1,478","1,994"
2020,4,70,"13,055","1,080",950,"1,101",529,319,557,"1,773",903,791,"1,675",937,677,798,965
2020,4,80,"6,192",656,447,521,296,227,339,884,397,371,741,400,260,280,373
2020,4,90,"1,079",88,86,123,57,55,44,138,64,69,112,65,48,47,83
2020,4,100,51,2,9,5,2,4,4,13,0,4,6,1,0,1,0
2020,5,총,"222,814","12,382","15,702","13,285","4,086","2,503","3,762","25,812","20,215","11,473","31,602","21,070","20,291","15,428","25,203"
2020,5,0,"25,592",843,"1,693","1,149",161,73,120,"1,958","2,653",804,"3,537","3,017","3,256","2,450","3,878"
2020,5,10,"22,383","1,069","1,505","1,154",254,138,215,"2,808","2,724","1,035","3,468","2,568","1,758","1,220","2,467"
2020,5,20,"23,424","1,318","1,526","1,310",336,200,334,"3,234","1,942","1,498","3,699","1,812","2,502","1,385","2,328"
2020,5,30,"36,380","1,275","2,504","1,706",326,180,279,"2,917","3,240","1,507","4,930","3,759","4,922","3,609","5,226"
2020,5,40,"39,741","1,820","2,730","2,051",459,229,366,"4,509","4,274","1,937","5,976","4,346","3,443","2,572","5,029"
2020,5,50,"31,364","2,376","2,274","2,208",838,516,747,"4,752","2,393","2,089","4,429","2,383","1,957","1,576","2,826"
2020,5,60,"23,431","1,850","1,961","1,948",822,560,759,"2,799","1,621","1,363","3,021","1,771","1,471","1,477","2,008"
2020,5,70,"13,166","1,086",963,"1,105",533,321,555,"1,796",907,793,"1,682",950,680,814,981
2020,5,80,"6,206",656,451,524,299,226,338,895,399,373,743,393,255,277,377
2020,5,90,"1,076",87,86,125,56,56,45,132,62,70,111,70,46,47,83
2020,5,100,51,2,9,5,2,4,4,12,0,4,6,1,1,1,0
2020,6,총,"223,898","12,394","15,917","13,403","4,092","2,499","3,764","26,029","20,309","11,493","31,715","21,044","20,392","15,523","25,324"
2020,6,0,"25,650",843,"1,719","1,168",158,72,118,"1,993","2,654",804,"3,540","2,989","3,256","2,455","3,881"
2020,6,10,"22,468","1,071","1,522","1,158",260,141,215,"2,802","2,735","1,029","3,472","2,587","1,767","1,231","2,478"
2020,6,20,"23,583","1,315","1,551","1,326",336,198,333,"3,266","1,973","1,500","3,722","1,803","2,514","1,399","2,347"
2020,6,30,"36,468","1,277","2,549","1,722",331,174,277,"2,945","3,229","1,497","4,947","3,744","4,923","3,613","5,240"
2020,6,40,"39,973","1,798","2,767","2,065",460,234,366,"4,543","4,295","1,931","5,985","4,374","3,483","2,608","5,064"
2020,6,50,"31,448","2,381","2,305","2,229",832,510,747,"4,786","2,388","2,102","4,433","2,356","1,965","1,580","2,834"
2020,6,60,"23,717","1,867","1,992","1,968",827,564,760,"2,849","1,670","1,378","3,059","1,770","1,493","1,487","2,033"
2020,6,70,"13,238","1,094",959,"1,111",534,320,560,"1,806",904,798,"1,696",957,689,821,989
2020,6,80,"6,230",660,454,532,298,226,338,896,400,379,744,390,256,279,378
2020,6,90,"1,073",86,90,119,54,56,46,132,61,71,111,73,45,49,80
2020,6,100,50,2,9,5,2,4,4,11,0,4,6,1,1,1,0
2020,7,총,"225,240","12,382","15,957","13,456","4,093","2,500","3,763","27,125","20,307","11,478","31,682","20,997","20,653","15,568","25,279"
2020,7,0,"25,751",837,"1,720","1,173",157,73,120,"2,200","2,636",789,"3,530","2,965","3,255","2,460","3,836"
2020,7,10,"22,574","1,065","1,527","1,164",258,136,208,"2,877","2,754","1,035","3,453","2,586","1,794","1,235","2,482"
2020,7,20,"23,733","1,308","1,549","1,332",340,201,333,"3,345","1,967","1,498","3,729","1,800","2,566","1,404","2,361"
2020,7,30,"36,668","1,280","2,553","1,725",324,174,277,"3,285","3,197","1,479","4,918","3,701","4,976","3,609","5,170"
2020,7,40,"40,296","1,793","2,777","2,070",460,231,361,"4,703","4,322","1,936","5,974","4,399","3,545","2,628","5,097"
2020,7,50,"31,578","2,375","2,298","2,223",829,513,743,"4,896","2,394","2,100","4,458","2,353","1,990","1,573","2,833"
2020,7,60,"23,900","1,873","2,011","1,983",834,566,774,"2,937","1,668","1,383","3,051","1,769","1,509","1,494","2,048"
2020,7,70,"13,347","1,105",959,"1,125",531,320,560,"1,825",915,803,"1,707",965,702,834,996
2020,7,80,"6,258",656,461,537,304,223,338,911,396,380,742,388,267,278,377
2020,7,90,"1,082",88,91,119,54,59,45,136,58,69,113,71,48,52,79
2020,7,100,53,2,11,5,2,4,4,10,0,6,7,0,1,1,0
2020,8,총,"228,583","12,350","17,964","13,507","4,070","2,482","3,754","29,377","20,228","11,360","31,386","20,874","20,683","15,485","25,063"
2020,8,0,"26,285",828,"2,143","1,184",152,78,122,"2,669","2,595",768,"3,445","2,914","3,203","2,435","3,749"
2020,8,10,"22,786","1,056","1,678","1,167",253,131,203,"3,025","2,754","1,020","3,416","2,561","1,807","1,238","2,477"
2020,8,20,"24,170","1,312","1,721","1,348",347,198,333,"3,531","1,961","1,483","3,743","1,813","2,615","1,397","2,368"
2020,8,30,"37,316","1,262","3,098","1,709",315,174,271,"3,834","3,173","1,447","4,818","3,619","4,956","3,545","5,095"
2020,8,40,"40,918","1,783","3,139","2,077",456,229,355,"5,128","4,278","1,902","5,904","4,407","3,566","2,636","5,058"
2020,8,50,"31,944","2,366","2,489","2,226",831,504,743,"5,110","2,420","2,088","4,427","2,358","1,998","1,567","2,817"
2020,8,60,"24,245","1,886","2,132","1,994",831,563,781,"3,115","1,667","1,392","3,051","1,772","1,512","1,497","2,052"
2020,8,70,"13,449","1,107",980,"1,136",525,322,560,"1,869",925,801,"1,714",968,710,836,996
2020,8,80,"6,328",659,477,540,306,221,338,946,399,385,747,387,265,283,375
2020,8,90,"1,088",89,96,121,52,58,44,140,55,68,114,75,50,50,76
2020,8,100,54,2,11,5,2,4,4,10,1,6,7,0,1,1,0
2020,9,총,"231,234","12,367","19,416","13,490","4,042","2,479","3,740","30,572","20,152","11,311","31,418","20,882","20,760","15,546","25,059"
2020,9,0,"26,563",829,"2,398","1,163",148,76,121,"2,895","2,547",758,"3,405","2,884","3,197","2,420","3,722"
2020,9,10,"22,978","1,066","1,775","1,170",252,130,202,"3,105","2,740","1,017","3,400","2,579","1,818","1,253","2,471"
2020,9,20,"24,473","1,299","1,858","1,347",344,196,329,"3,632","1,964","1,483","3,771","1,834","2,647","1,396","2,373"
2020,9,30,"37,834","1,263","3,488","1,688",312,167,269,"4,142","3,139","1,429","4,832","3,593","4,937","3,529","5,046"
2020,9,40,"41,421","1,786","3,393","2,075",450,228,352,"5,349","4,267","1,889","5,894","4,395","3,590","2,667","5,086"
2020,9,50,"32,245","2,358","2,655","2,230",812,506,741,"5,234","2,427","2,072","4,449","2,358","2,013","1,583","2,807"
2020,9,60,"24,608","1,900","2,252","2,016",835,569,789,"3,200","1,682","1,396","3,067","1,792","1,519","1,510","2,081"
2020,9,70,"13,561","1,112","1,001","1,128",529,318,551,"1,911",924,799,"1,719",985,719,847,"1,018"
2020,9,80,"6,380",657,483,545,302,225,334,950,406,393,759,390,269,291,376
2020,9,90,"1,117",95,102,123,56,60,48,144,55,69,115,72,50,49,79
2020,9,100,54,2,11,5,2,4,4,10,1,6,7,0,1,1,0
2020,10,총,"232,967","12,392","20,127","13,557","4,054","2,487","3,735","31,156","20,144","11,306","31,472","20,900","20,848","15,615","25,174"
2020,10,0,"26,718",823,"2,496","1,166",152,78,121,"2,983","2,539",754,"3,391","2,869","3,195","2,421","3,730"
2020,10,10,"23,092","1,067","1,839","1,179",253,129,200,"3,137","2,742",998,"3,392","2,555","1,821","1,283","2,497"
2020,10,20,"24,678","1,300","1,926","1,344",345,201,325,"3,665","1,956","1,492","3,797","1,850","2,683","1,411","2,383"
2020,10,30,"38,129","1,260","3,667","1,701",308,166,267,"4,297","3,130","1,418","4,833","3,595","4,941","3,507","5,039"
2020,10,40,"41,750","1,790","3,532","2,077",447,220,346,"5,450","4,276","1,858","5,911","4,404","3,613","2,715","5,111"
2020,10,50,"32,472","2,353","2,720","2,250",815,510,740,"5,308","2,434","2,086","4,456","2,364","2,023","1,574","2,839"
2020,10,60,"24,857","1,924","2,330","2,031",839,574,795,"3,260","1,670","1,415","3,086","1,794","1,528","1,512","2,099"
2020,10,70,"13,653","1,113","1,017","1,137",535,320,551,"1,934",934,807,"1,723",996,722,845,"1,019"
2020,10,80,"6,443",661,487,545,304,225,338,967,405,402,761,402,271,296,379
2020,10,90,"1,122",99,101,122,54,60,48,147,57,69,116,71,50,50,78
2020,10,100,53,2,12,5,2,4,4,8,1,7,6,0,1,1,0
2020,11,총,"234,110","12,425","20,480","13,617","4,069","2,493","3,730","31,368","20,172","11,342","31,584","20,889","20,986","15,699","25,256"
2020,11,0,"26,756",817,"2,527","1,169",153,77,122,"3,011","2,538",751,"3,396","2,842","3,207","2,423","3,723"
2020,11,10,"23,228","1,062","1,884","1,183",254,129,199,"3,155","2,742",995,"3,389","2,567","1,840","1,307","2,522"
2020,11,20,"24,826","1,313","1,956","1,350",349,207,323,"3,694","1,957","1,489","3,842","1,852","2,684","1,429","2,381"
2020,11,30,"38,287","1,278","3,726","1,704",308,173,267,"4,341","3,120","1,423","4,853","3,568","4,969","3,509","5,048"
2020,11,40,"42,048","1,785","3,626","2,090",451,221,337,"5,484","4,288","1,857","5,916","4,436","3,653","2,760","5,144"
2020,11,50,"32,524","2,343","2,761","2,256",803,505,740,"5,318","2,446","2,090","4,461","2,355","2,036","1,562","2,848"
2020,11,60,"25,093","1,951","2,370","2,043",850,577,804,"3,312","1,683","1,438","3,095","1,795","1,549","1,515","2,111"
2020,11,70,"13,699","1,108","1,030","1,145",538,318,543,"1,933",935,820,"1,735",999,726,844,"1,025"
2020,11,80,"6,463",664,485,550,307,223,342,967,403,399,774,403,269,297,380
2020,11,90,"1,132",102,103,122,54,59,49,145,59,73,117,71,52,52,74
2020,11,100,54,2,12,5,2,4,4,8,1,7,6,1,1,1,0
2020,12,총,"236,463","12,451","22,223","13,639","4,072","2,485","3,734","31,456","20,170","11,358","31,652","20,879","20,992","16,064","25,288"
2020,12,0,"27,092",818,"2,866","1,167",148,79,123,"3,025","2,534",746,"3,375","2,813","3,167","2,501","3,730"
2020,12,10,"23,413","1,065","2,023","1,191",248,126,199,"3,150","2,735",991,"3,396","2,571","1,840","1,343","2,535"
2020,12,20,"25,142","1,310","2,103","1,351",346,206,323,"3,704","1,956","1,504","3,915","1,860","2,736","1,455","2,373"
2020,12,30,"38,824","1,272","4,237","1,701",312,167,266,"4,368","3,089","1,399","4,839","3,589","4,938","3,574","5,073"
2020,12,40,"42,426","1,783","3,953","2,098",453,223,333,"5,499","4,285","1,851","5,913","4,417","3,647","2,837","5,134"
2020,12,50,"32,725","2,351","2,898","2,255",797,501,744,"5,304","2,455","2,105","4,481","2,348","2,032","1,597","2,857"
2020,12,60,"25,367","1,962","2,476","2,058",862,576,809,"3,345","1,715","1,450","3,096","1,793","1,577","1,544","2,104"
2020,12,70,"13,761","1,112","1,052","1,129",540,320,542,"1,945",940,826,"1,731","1,009",735,850,"1,030"
2020,12,80,"6,503",671,497,561,307,222,340,962,396,407,783,407,266,303,381
2020,12,90,"1,156",105,106,123,57,61,51,146,64,72,117,71,53,59,71
2020,12,100,54,2,12,5,2,4,4,8,1,7,6,1,1,1,0
2021,1,총,"238,167","12,424","22,960","13,708","4,082","2,485","3,725","31,483","20,136","11,402","31,770","20,844","21,097","16,719","25,332"
2021,1,0,"27,187",810,"2,974","1,161",146,78,120,"3,025","2,508",752,"3,344","2,809","3,166","2,580","3,714"
2021,1,10,"23,588","1,045","2,099","1,211",247,127,199,"3,140","2,729",997,"3,417","2,558","1,849","1,420","2,550"
2021,1,20,"25,380","1,295","2,156","1,364",340,206,323,"3,721","1,964","1,506","3,990","1,845","2,790","1,503","2,377"
2021,1,30,"39,027","1,269","4,400","1,705",319,164,263,"4,374","3,063","1,398","4,826","3,546","4,922","3,720","5,058"
2021,1,40,"42,743","1,775","4,137","2,091",454,223,332,"5,498","4,265","1,851","5,910","4,410","3,682","2,954","5,161"
2021,1,50,"32,934","2,355","2,957","2,265",796,497,736,"5,280","2,484","2,114","4,500","2,367","2,031","1,686","2,866"
2021,1,60,"25,689","1,967","2,545","2,080",873,578,814,"3,382","1,722","1,464","3,134","1,817","1,591","1,608","2,114"
2021,1,70,"13,820","1,122","1,068","1,129",539,326,542,"1,943",936,828,"1,737","1,004",742,872,"1,032"
2021,1,80,"6,573",676,509,573,303,221,340,966,398,414,788,415,269,314,387
2021,1,90,"1,171",107,104,124,63,61,51,147,66,71,118,71,54,61,73
2021,1,100,55,3,11,5,2,4,5,7,1,7,6,2,1,1,0
2021,2,총,"239,214","12,467","23,346","13,740","4,090","2,483","3,723","31,494","20,133","11,387","31,834","20,863","21,190","17,138","25,326"
2021,2,0,"27,230",808,"3,032","1,154",151,77,118,"3,034","2,493",745,"3,329","2,778","3,159","2,646","3,706"
2021,2,10,"23,702","1,041","2,153","1,212",249,124,197,"3,135","2,727",988,"3,424","2,569","1,864","1,459","2,560"
2021,2,20,"25,466","1,302","2,167","1,354",339,206,322,"3,712","1,958","1,502","4,025","1,869","2,812","1,527","2,371"
2021,2,30,"39,061","1,281","4,462","1,709",319,165,260,"4,362","3,038","1,385","4,814","3,524","4,939","3,789","5,014"
2021,2,40,"43,042","1,772","4,252","2,101",449,227,334,"5,497","4,273","1,839","5,926","4,432","3,699","3,059","5,182"
2021,2,50,"33,079","2,368","2,989","2,273",795,493,726,"5,262","2,498","2,129","4,513","2,386","2,047","1,734","2,866"
2021,2,60,"25,899","1,984","2,583","2,086",881,583,821,"3,426","1,736","1,472","3,138","1,818","1,597","1,653","2,121"
2021,2,70,"13,823","1,110","1,075","1,140",536,323,544,"1,931",940,827,"1,738",989,746,886,"1,038"
2021,2,80,"6,670",688,517,580,308,219,343,979,401,425,802,423,273,320,392
2021,2,90,"1,187",110,105,126,61,62,53,149,68,68,119,73,53,64,76
2021,2,100,55,3,11,5,2,4,5,7,1,7,6,2,1,1,0
2021,3,총,"239,761","12,502","23,531","13,691","4,057","2,468","3,719","31,431","20,034","11,355","31,803","20,998","21,469","17,348","25,355"
2021,3,0,"27,231",809,"3,070","1,152",150,74,123,"3,020","2,465",736,"3,315","2,764","3,198","2,652","3,703"
2021,3,10,"23,710","1,047","2,144","1,212",240,124,197,"3,131","2,705",985,"3,407","2,578","1,888","1,488","2,564"
2021,3,20,"25,652","1,312","2,203","1,343",341,198,318,"3,708","1,958","1,493","4,039","1,929","2,880","1,552","2,378"
2021,3,30,"39,065","1,278","4,522","1,715",309,168,262,"4,329","2,999","1,370","4,810","3,544","4,963","3,823","4,973"
2021,3,40,"43,166","1,765","4,278","2,096",449,227,330,"5,494","4,269","1,842","5,913","4,431","3,765","3,096","5,211"
2021,3,50,"33,068","2,372","2,993","2,252",782,485,722,"5,260","2,496","2,119","4,488","2,413","2,058","1,757","2,871"
2021,3,60,"26,097","1,997","2,612","2,089",886,587,819,"3,425","1,722","1,486","3,172","1,836","1,626","1,693","2,147"
2021,3,70,"13,852","1,117","1,077","1,130",524,320,544,"1,931",950,825,"1,729","1,004",756,907,"1,038"
2021,3,80,"6,683",687,516,581,310,221,344,982,400,423,807,424,278,316,394
2021,3,90,"1,198",115,109,119,65,61,56,148,69,70,118,73,56,63,76
2021,3,100,39,3,7,2,1,3,4,3,1,6,5,2,1,1,0
2021,4,총,"240,480","12,651","23,698","13,732","4,054","2,477","3,707","31,328","20,051","11,355","31,788","21,072","21,704","17,490","25,373"
2021,4,0,"27,167",801,"3,082","1,159",148,76,125,"2,993","2,456",722,"3,302","2,744","3,219","2,658","3,682"
2021,4,10,"23,826","1,042","2,168","1,211",238,124,198,"3,131","2,712",985,"3,404","2,606","1,918","1,503","2,586"
2021,4,20,"25,695","1,312","2,193","1,348",339,201,321,"3,679","1,971","1,492","4,035","1,947","2,908","1,579","2,370"
2021,4,30,"39,047","1,280","4,547","1,716",305,167,267,"4,312","2,989","1,347","4,814","3,527","5,008","3,837","4,931"
2021,4,40,"43,408","1,793","4,334","2,103",458,224,322,"5,493","4,256","1,857","5,900","4,454","3,829","3,131","5,254"
2021,4,50,"33,138","2,393","3,007","2,251",774,488,709,"5,224","2,512","2,119","4,500","2,426","2,080","1,778","2,877"
2021,4,60,"26,336","2,069","2,655","2,102",886,586,820,"3,455","1,733","1,496","3,179","1,849","1,641","1,708","2,157"
2021,4,70,"13,901","1,156","1,081","1,137",520,320,545,"1,911",952,830,"1,722","1,015",761,908,"1,043"
2021,4,80,"6,717",685,515,581,316,227,342,981,402,429,808,425,285,325,396
2021,4,90,"1,206",117,109,122,69,61,55,145,67,72,119,77,54,62,77
2021,4,100,39,3,7,2,1,3,3,4,1,6,5,2,1,1,0
2021,5,총,"240,933","12,767","23,830","13,712","4,041","2,467","3,733","31,254","20,043","11,358","31,763","21,075","21,871","17,636","25,383"
2021,5,0,"27,070",802,"3,092","1,146",146,76,124,"2,991","2,432",714,"3,287","2,729","3,224","2,661","3,646"
2021,5,10,"23,888","1,051","2,180","1,208",236,126,199,"3,120","2,730",980,"3,398","2,599","1,940","1,529","2,592"
2021,5,20,"25,729","1,331","2,197","1,354",335,202,322,"3,653","1,964","1,491","4,048","1,953","2,934","1,572","2,373"
2021,5,30,"38,950","1,295","4,553","1,701",303,165,267,"4,286","2,964","1,358","4,761","3,518","5,014","3,876","4,889"
2021,5,40,"43,518","1,777","4,383","2,098",459,227,330,"5,477","4,255","1,843","5,886","4,463","3,875","3,164","5,281"
2021,5,50,"33,286","2,414","3,016","2,258",768,481,710,"5,216","2,523","2,131","4,522","2,431","2,099","1,812","2,905"
2021,5,60,"26,527","2,111","2,682","2,097",893,580,828,"3,472","1,750","1,509","3,203","1,852","1,664","1,715","2,171"
2021,5,70,"13,928","1,172","1,091","1,140",514,319,548,"1,896",951,823,"1,720","1,022",774,913,"1,045"
2021,5,80,"6,780",691,519,585,315,226,343,992,407,432,813,429,293,330,405
2021,5,90,"1,214",119,110,122,70,62,58,147,66,71,120,77,53,63,76
2021,5,100,43,4,7,3,2,3,4,4,1,6,5,2,1,1,0
2021,6,총,"241,506","12,952","23,910","13,715","4,041","2,466","3,735","31,172","20,039","11,355","31,786","21,122","22,006","17,758","25,449"
2021,6,0,"27,015",821,"3,088","1,150",145,75,126,"2,969","2,412",714,"3,270","2,705","3,219","2,668","3,653"
2021,6,10,"23,991","1,053","2,192","1,209",238,129,195,"3,100","2,727",979,"3,416","2,619","1,968","1,556","2,610"
2021,6,20,"25,728","1,365","2,204","1,336",334,199,315,"3,632","1,982","1,480","4,030","1,958","2,955","1,577","2,361"
2021,6,30,"38,916","1,335","4,547","1,698",301,164,272,"4,279","2,935","1,364","4,752","3,494","5,028","3,876","4,871"
2021,6,40,"43,706","1,787","4,421","2,100",452,230,333,"5,465","4,267","1,838","5,896","4,480","3,915","3,207","5,315"
2021,6,50,"33,277","2,428","3,016","2,239",768,475,703,"5,196","2,523","2,126","4,535","2,449","2,099","1,816","2,904"
2021,6,60,"26,818","2,155","2,708","2,119",898,587,837,"3,498","1,772","1,517","3,224","1,877","1,688","1,735","2,203"
2021,6,70,"13,965","1,186","1,095","1,141",509,316,547,"1,895",942,828,"1,729","1,030",782,921,"1,044"
2021,6,80,"6,823",699,519,596,324,226,345,984,413,432,808,430,299,339,409
2021,6,90,"1,223",118,113,123,70,62,58,151,65,71,121,78,52,62,79
2021,6,100,44,5,7,4,2,3,4,3,1,6,5,2,1,1,0
2021,7,총,"241,988","13,160","23,993","13,752","4,038","2,460","3,736","31,132","20,005","11,347","31,788","21,144","22,173","17,813","25,447"
2021,7,0,"26,923",834,"3,084","1,144",144,74,126,"2,951","2,377",704,"3,233","2,707","3,235","2,664","3,646"
2021,7,10,"24,072","1,071","2,209","1,211",236,127,190,"3,106","2,729",983,"3,421","2,619","1,994","1,567","2,609"
2021,7,20,"25,743","1,382","2,199","1,329",340,196,315,"3,609","1,991","1,480","4,035","1,964","2,977","1,570","2,356"
2021,7,30,"38,840","1,359","4,533","1,716",300,163,272,"4,272","2,917","1,357","4,739","3,476","5,007","3,875","4,854"
2021,7,40,"43,828","1,837","4,468","2,110",446,227,336,"5,434","4,240","1,832","5,878","4,504","3,973","3,231","5,312"
2021,7,50,"33,413","2,464","3,032","2,240",767,471,697,"5,208","2,539","2,118","4,561","2,449","2,125","1,826","2,916"
2021,7,60,"26,980","2,191","2,734","2,130",899,590,841,"3,499","1,789","1,525","3,240","1,877","1,707","1,746","2,212"
2021,7,70,"14,042","1,188","1,100","1,140",505,318,551,"1,901",947,837,"1,738","1,034",798,930,"1,055"
2021,7,80,"6,847",703,516,600,329,227,344,994,406,434,811,431,303,343,406
2021,7,90,"1,256",126,112,128,70,63,60,155,69,71,127,81,53,60,81
2021,7,100,44,5,6,4,2,4,4,3,1,6,5,2,1,1,0
2021,8,총,"242,429","13,331","24,053","13,739","4,054","2,464","3,724","31,084","20,023","11,367","31,765","21,126","22,342","17,869","25,488"
2021,8,0,"26,843",846,"3,080","1,145",143,72,127,"2,937","2,367",702,"3,210","2,687","3,240","2,653","3,634"
2021,8,10,"24,169","1,071","2,234","1,206",236,125,191,"3,103","2,737",982,"3,430","2,621","2,019","1,584","2,630"
2021,8,20,"25,698","1,423","2,183","1,321",339,193,306,"3,601","1,985","1,482","4,011","1,952","3,003","1,551","2,348"
2021,8,30,"38,777","1,393","4,522","1,707",304,163,275,"4,252","2,887","1,361","4,710","3,450","5,043","3,888","4,822"
2021,8,40,"43,978","1,857","4,496","2,107",452,228,339,"5,420","4,249","1,837","5,886","4,513","4,008","3,255","5,331"
2021,8,50,"33,545","2,477","3,044","2,239",764,473,694,"5,208","2,564","2,117","4,573","2,474","2,142","1,839","2,937"
2021,8,60,"27,149","2,227","2,756","2,152",903,594,838,"3,510","1,806","1,530","3,261","1,870","1,715","1,757","2,230"
2021,8,70,"14,073","1,193","1,107","1,131",511,319,548,"1,906",943,845,"1,734","1,037",806,936,"1,057"
2021,8,80,"6,894",709,514,601,327,230,343,990,415,434,817,441,309,347,417
2021,8,90,"1,261",130,112,126,73,63,59,154,69,72,128,79,56,58,82
2021,8,100,42,5,5,4,2,4,4,3,1,5,5,2,1,1,0
2021,9,총,"242,630","13,420","24,068","13,726","4,065","2,461","3,741","31,054","20,013","11,345","31,693","21,126","22,510","17,949","25,459"
2021,9,0,"26,738",852,"3,070","1,140",143,71,128,"2,920","2,348",702,"3,164","2,676","3,228","2,670","3,626"
2021,9,10,"24,266","1,078","2,254","1,205",236,125,191,"3,106","2,750",973,"3,431","2,624","2,059","1,595","2,639"
2021,9,20,"25,648","1,438","2,178","1,319",344,191,303,"3,587","1,976","1,472","3,985","1,946","3,026","1,548","2,335"
2021,9,30,"38,617","1,390","4,487","1,703",306,167,286,"4,232","2,869","1,350","4,686","3,402","5,072","3,888","4,779"
2021,9,40,"44,061","1,865","4,514","2,103",446,228,334,"5,410","4,245","1,838","5,860","4,531","4,052","3,281","5,354"
2021,9,50,"33,649","2,487","3,047","2,238",769,464,702,"5,236","2,584","2,116","4,581","2,492","2,160","1,839","2,934"
2021,9,60,"27,293","2,254","2,774","2,155",901,600,841,"3,510","1,805","1,538","3,283","1,887","1,736","1,767","2,242"
2021,9,70,"14,101","1,202","1,110","1,127",515,318,550,"1,903",947,837,"1,746","1,043",809,940,"1,054"
2021,9,80,"6,944",718,517,608,330,230,340,992,419,443,822,441,310,358,416
2021,9,90,"1,273",131,113,123,73,63,62,156,69,71,131,82,57,62,80
2021,9,100,40,5,4,5,2,4,4,2,1,5,4,2,1,1,0
2021,10,총,"242,710","13,465","24,061","13,758","4,067","2,463","3,739","31,033","19,990","11,340","31,653","21,125","22,560","18,006","25,450"
2021,10,0,"26,568",851,"3,075","1,133",142,70,125,"2,907","2,328",697,"3,120","2,666","3,203","2,659","3,592"
2021,10,10,"24,335","1,083","2,250","1,201",229,126,189,"3,104","2,748",978,"3,428","2,632","2,089","1,606","2,672"
2021,10,20,"25,555","1,437","2,161","1,318",345,191,303,"3,567","1,962","1,454","3,976","1,953","3,019","1,550","2,319"
2021,10,30,"38,512","1,394","4,476","1,718",310,166,290,"4,209","2,855","1,346","4,667","3,375","5,070","3,882","4,754"
2021,10,40,"44,145","1,869","4,540","2,113",449,225,327,"5,400","4,236","1,834","5,851","4,546","4,078","3,309","5,368"
2021,10,50,"33,726","2,490","3,029","2,231",773,465,695,"5,253","2,596","2,126","4,602","2,495","2,186","1,849","2,936"
2021,10,60,"27,422","2,283","2,787","2,173",898,598,855,"3,532","1,816","1,540","3,296","1,882","1,736","1,774","2,252"
