년도,월,나이,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020,7,40,"33,062","5,555","6,552","3,851","2,484","3,994","2,695","3,805","4,126"
2020,7,50,"35,882","4,263","7,330","4,149","3,284","3,921","3,905","5,067","3,963"
2020,7,60,"23,674","3,190","4,127","2,482","2,497","2,611","2,799","3,652","2,316"
2020,7,70,"11,619","1,428","2,055","1,334","1,300","1,205","1,358","1,735","1,204"
2020,7,80,"4,746",403,966,558,536,534,513,723,513
2020,7,90,676,71,131,73,84,68,75,101,73
2020,7,100,78,4,6,7,25,5,9,14,8
2020,8,총,"197,889","31,601","38,557","22,525","16,429","22,457","18,530","25,690","22,100"
2020,8,0,"15,600","4,699","2,880","1,699",781,"1,651",792,"1,404","1,694"
2020,8,10,"18,372","2,244","4,134","2,287","1,114","2,816","1,321","2,148","2,308"
2020,8,20,"27,331","3,399","5,655","3,240","2,226","3,082","2,876","3,825","3,028"
2020,8,30,"26,757","6,294","4,729","2,843","2,061","2,565","2,213","3,213","2,839"
2020,8,40,"33,028","5,591","6,517","3,838","2,499","3,976","2,686","3,788","4,133"
2020,8,50,"35,840","4,262","7,320","4,148","3,274","3,930","3,872","5,072","3,962"
2020,8,60,"23,798","3,195","4,155","2,500","2,519","2,625","2,814","3,668","2,322"
2020,8,70,"11,627","1,428","2,061","1,327","1,302","1,208","1,355","1,730","1,216"
2020,8,80,"4,784",413,969,561,543,532,519,729,518
2020,8,90,673,72,131,75,85,67,73,98,72
2020,8,100,79,4,6,7,25,5,9,15,8
2020,9,총,"197,974","31,533","38,344","23,249","16,377","22,441","18,407","25,614","22,009"
2020,9,0,"15,543","4,670","2,835","1,781",766,"1,656",789,"1,375","1,671"
2020,9,10,"18,342","2,250","4,090","2,363","1,116","2,801","1,299","2,137","2,286"
2020,9,20,"27,307","3,385","5,621","3,328","2,213","3,077","2,839","3,826","3,018"
2020,9,30,"26,658","6,215","4,673","3,009","2,031","2,554","2,181","3,193","2,802"
2020,9,40,"33,055","5,638","6,471","3,940","2,506","3,962","2,661","3,773","4,104"
2020,9,50,"35,877","4,248","7,277","4,267","3,263","3,947","3,863","5,051","3,961"
2020,9,60,"23,943","3,212","4,193","2,563","2,513","2,628","2,809","3,685","2,340"
2020,9,70,"11,655","1,421","2,073","1,343","1,313","1,205","1,354","1,721","1,225"
2020,9,80,"4,837",419,972,571,547,534,529,741,524
2020,9,90,675,70,133,77,83,72,74,97,69
2020,9,100,82,5,6,7,26,5,9,15,9
2020,10,총,"197,781","31,483","38,249","23,506","16,336","22,420","18,241","25,609","21,937"
2020,10,0,"15,387","4,653","2,785","1,784",744,"1,649",759,"1,347","1,666"
2020,10,10,"18,300","2,235","4,067","2,393","1,107","2,806","1,283","2,121","2,288"
2020,10,20,"27,263","3,367","5,618","3,358","2,208","3,064","2,827","3,822","2,999"
2020,10,30,"26,540","6,147","4,663","3,052","2,020","2,553","2,154","3,185","2,766"
2020,10,40,"32,997","5,682","6,427","3,994","2,504","3,941","2,615","3,764","4,070"
2020,10,50,"35,825","4,231","7,264","4,298","3,254","3,931","3,821","5,069","3,957"
2020,10,60,"24,168","3,249","4,228","2,604","2,523","2,665","2,817","3,726","2,356"
2020,10,70,"11,683","1,421","2,079","1,364","1,314","1,202","1,352","1,719","1,232"
2020,10,80,"4,857",425,972,575,555,530,528,745,527
2020,10,90,680,68,140,77,81,74,76,96,68
2020,10,100,81,5,6,7,26,5,9,15,8
2020,11,총,"197,608","31,516","38,237","23,519","16,349","22,375","18,104","25,571","21,937"
2020,11,0,"15,268","4,640","2,768","1,767",739,"1,637",745,"1,331","1,641"
2020,11,10,"18,235","2,254","4,049","2,398","1,101","2,783","1,257","2,105","2,288"
2020,11,20,"27,280","3,365","5,632","3,365","2,218","3,069","2,802","3,818","3,011"
2020,11,30,"26,422","6,115","4,631","3,037","2,035","2,536","2,137","3,175","2,756"
2020,11,40,"32,926","5,716","6,429","3,989","2,479","3,917","2,596","3,745","4,055"
2020,11,50,"35,820","4,238","7,257","4,305","3,248","3,942","3,789","5,064","3,977"
2020,11,60,"24,277","3,259","4,255","2,621","2,546","2,669","2,823","3,736","2,368"
2020,11,70,"11,731","1,431","2,094","1,365","1,316","1,216","1,341","1,735","1,233"
2020,11,80,"4,880",424,974,588,559,528,528,750,529
2020,11,90,688,70,142,77,82,73,76,97,71
2020,11,100,81,4,6,7,26,5,10,15,8
2020,12,총,"197,454","31,453","38,224","23,541","16,392","22,359","17,998","25,609","21,878"
2020,12,0,"15,199","4,625","2,760","1,764",741,"1,624",738,"1,330","1,617"
2020,12,10,"18,151","2,246","4,017","2,391","1,093","2,779","1,245","2,115","2,265"
2020,12,20,"27,281","3,338","5,642","3,371","2,236","3,073","2,784","3,816","3,021"
2020,12,30,"26,372","6,078","4,630","3,047","2,034","2,530","2,120","3,187","2,746"
2020,12,40,"32,845","5,732","6,409","3,983","2,486","3,886","2,593","3,740","4,016"
2020,12,50,"35,772","4,231","7,273","4,308","3,249","3,948","3,727","5,056","3,980"
2020,12,60,"24,423","3,279","4,267","2,642","2,555","2,690","2,845","3,760","2,385"
2020,12,70,"11,744","1,431","2,095","1,364","1,328","1,213","1,338","1,742","1,233"
2020,12,80,"4,889",418,985,586,558,537,522,749,534
2020,12,90,696,71,140,77,86,73,76,99,74
2020,12,100,82,4,6,8,26,6,10,15,7
2021,1,총,"197,217","31,443","38,139","23,531","16,387","22,314","17,877","25,671","21,855"
2021,1,0,"15,049","4,587","2,724","1,757",728,"1,599",733,"1,325","1,596"
2021,1,10,"18,093","2,273","3,992","2,373","1,086","2,766","1,227","2,115","2,261"
2021,1,20,"27,239","3,323","5,648","3,373","2,236","3,057","2,748","3,818","3,036"
2021,1,30,"26,228","6,021","4,585","3,044","2,027","2,517","2,114","3,199","2,721"
2021,1,40,"32,722","5,753","6,385","3,950","2,471","3,871","2,567","3,732","3,993"
2021,1,50,"35,771","4,247","7,275","4,328","3,237","3,943","3,696","5,066","3,979"
2021,1,60,"24,672","3,308","4,304","2,663","2,595","2,723","2,852","3,810","2,417"
2021,1,70,"11,757","1,441","2,094","1,367","1,333","1,219","1,328","1,742","1,233"
2021,1,80,"4,899",414,987,592,564,537,524,747,534
2021,1,90,704,73,139,76,83,76,78,102,77
2021,1,100,83,3,6,8,27,6,10,15,8
2021,2,총,"196,685","31,357","37,985","23,480","16,361","22,213","17,786","25,702","21,801"
2021,2,0,"14,918","4,546","2,688","1,752",723,"1,575",726,"1,332","1,576"
2021,2,10,"17,952","2,277","3,932","2,356","1,081","2,733","1,207","2,117","2,249"
2021,2,20,"27,129","3,309","5,627","3,363","2,216","3,039","2,743","3,800","3,032"
2021,2,30,"26,044","5,936","4,573","3,014","2,023","2,494","2,090","3,200","2,714"
2021,2,40,"32,582","5,791","6,304","3,948","2,474","3,826","2,550","3,725","3,964"
2021,2,50,"35,698","4,253","7,260","4,315","3,220","3,949","3,669","5,066","3,966"
2021,2,60,"24,888","3,315","4,375","2,692","2,620","2,744","2,867","3,838","2,437"
2021,2,70,"11,759","1,439","2,088","1,372","1,317","1,238","1,321","1,744","1,240"
2021,2,80,"4,936",416,993,585,579,536,526,762,539
2021,2,90,695,72,139,75,81,73,77,103,75
2021,2,100,84,3,6,8,27,6,10,15,9
2021,3,총,"195,804","31,223","37,930","23,303","16,362","22,115","17,505","25,639","21,727"
2021,3,0,"14,752","4,506","2,665","1,713",723,"1,549",712,"1,324","1,560"
2021,3,10,"17,891","2,299","3,926","2,371","1,072","2,700","1,181","2,102","2,240"
2021,3,20,"27,042","3,296","5,604","3,338","2,207","3,041","2,723","3,794","3,039"
2021,3,30,"25,820","5,853","4,562","2,976","2,023","2,473","2,059","3,195","2,679"
2021,3,40,"32,428","5,826","6,288","3,923","2,475","3,802","2,501","3,678","3,935"
2021,3,50,"35,485","4,201","7,236","4,269","3,193","3,943","3,605","5,063","3,975"
2021,3,60,"25,049","3,332","4,419","2,717","2,648","2,756","2,855","3,868","2,454"
2021,3,70,"11,667","1,428","2,095","1,342","1,322","1,230","1,278","1,742","1,230"
2021,3,80,"4,949",416,989,584,589,545,518,770,538
2021,3,90,667,66,140,68,83,71,70,97,72
2021,3,100,54,0,6,2,27,5,3,6,5
2021,4,총,"195,324","31,135","37,888","23,307","16,366","22,010","17,304","25,598","21,716"
2021,4,0,"14,674","4,484","2,646","1,717",714,"1,534",707,"1,323","1,549"
2021,4,10,"17,799","2,300","3,903","2,363","1,069","2,670","1,162","2,093","2,239"
2021,4,20,"26,947","3,281","5,599","3,329","2,201","3,030","2,680","3,793","3,034"
2021,4,30,"25,635","5,792","4,529","2,969","2,012","2,451","2,036","3,181","2,665"
2021,4,40,"32,331","5,845","6,261","3,922","2,478","3,785","2,475","3,666","3,899"
2021,4,50,"35,364","4,169","7,225","4,251","3,199","3,917","3,566","5,041","3,996"
2021,4,60,"25,252","3,362","4,473","2,752","2,680","2,780","2,833","3,887","2,485"
2021,4,70,"11,629","1,430","2,098","1,343","1,315","1,227","1,256","1,727","1,233"
2021,4,80,"4,982",407,"1,007",593,588,545,520,783,539
2021,4,90,659,65,141,66,83,67,67,98,72
2021,4,100,52,0,6,2,27,4,2,6,5
2021,5,총,"194,838","31,103","37,889","23,310","16,440","22,050","16,761","25,593","21,692"
2021,5,0,"14,596","4,472","2,628","1,711",721,"1,531",694,"1,310","1,529"
2021,5,10,"17,702","2,305","3,879","2,359","1,073","2,658","1,129","2,062","2,237"
2021,5,20,"26,837","3,264","5,583","3,330","2,211","3,040","2,600","3,780","3,029"
2021,5,30,"25,524","5,749","4,556","2,979","2,016","2,459","1,964","3,165","2,636"
2021,5,40,"32,192","5,866","6,210","3,897","2,486","3,783","2,400","3,648","3,902"
2021,5,50,"35,243","4,157","7,245","4,261","3,198","3,902","3,449","5,051","3,980"
2021,5,60,"25,367","3,388","4,524","2,762","2,704","2,816","2,727","3,934","2,512"
2021,5,70,"11,644","1,427","2,102","1,343","1,322","1,237","1,224","1,750","1,239"
2021,5,80,"5,024",410,"1,016",600,597,552,511,788,550
2021,5,90,655,65,140,66,82,68,61,100,73
2021,5,100,54,0,6,2,30,4,2,5,5
2021,6,총,"194,389","31,073","37,853","23,323","16,466","22,096","16,206","25,656","21,716"
2021,6,0,"14,533","4,442","2,634","1,708",712,"1,529",679,"1,302","1,527"
2021,6,10,"17,639","2,327","3,844","2,358","1,076","2,649","1,097","2,045","2,243"
2021,6,20,"26,721","3,249","5,582","3,338","2,216","3,051","2,469","3,795","3,021"
2021,6,30,"25,425","5,687","4,544","2,983","2,013","2,459","1,921","3,170","2,648"
2021,6,40,"32,130","5,914","6,191","3,900","2,500","3,776","2,312","3,641","3,896"
2021,6,50,"35,038","4,135","7,214","4,251","3,181","3,908","3,324","5,039","3,986"
2021,6,60,"25,547","3,407","4,587","2,781","2,729","2,852","2,653","4,002","2,536"
2021,6,70,"11,610","1,435","2,087","1,343","1,324","1,238","1,193","1,761","1,229"
2021,6,80,"5,028",412,"1,018",596,604,559,495,793,551
2021,6,90,666,65,146,63,82,71,61,103,75
2021,6,100,52,0,6,2,29,4,2,5,4
2021,7,총,"193,954","31,043","37,845","23,303","16,479","22,062","15,754","25,724","21,744"
2021,7,0,"14,468","4,440","2,592","1,699",720,"1,508",688,"1,298","1,523"
2021,7,10,"17,571","2,327","3,859","2,344","1,069","2,651","1,072","2,030","2,219"
2021,7,20,"26,563","3,235","5,549","3,328","2,219","3,035","2,373","3,793","3,031"
2021,7,30,"25,347","5,650","4,525","2,974","2,002","2,463","1,906","3,181","2,646"
2021,7,40,"32,008","5,939","6,191","3,866","2,501","3,757","2,245","3,629","3,880"
2021,7,50,"35,006","4,123","7,216","4,267","3,183","3,923","3,220","5,057","4,017"
2021,7,60,"25,634","3,417","4,629","2,809","2,746","2,853","2,577","4,043","2,560"
2021,7,70,"11,594","1,433","2,102","1,354","1,320","1,240","1,132","1,785","1,228"
2021,7,80,"5,039",413,"1,027",600,607,558,478,795,561
2021,7,90,671,65,149,60,82,70,61,108,76
2021,7,100,53,1,6,2,30,4,2,5,3
2021,8,총,"193,662","30,994","37,736","23,336","16,476","21,944","15,710","25,657","21,809"
2021,8,0,"14,394","4,413","2,569","1,688",719,"1,478",741,"1,280","1,506"
2021,8,10,"17,511","2,353","3,833","2,322","1,056","2,628","1,070","2,023","2,226"
2021,8,20,"26,445","3,215","5,503","3,357","2,217","3,007","2,353","3,752","3,041"
2021,8,30,"25,268","5,565","4,514","3,000","2,003","2,451","1,933","3,152","2,650"
2021,8,40,"31,942","5,975","6,135","3,854","2,484","3,731","2,267","3,618","3,878"
2021,8,50,"34,933","4,115","7,223","4,253","3,170","3,911","3,178","5,037","4,046"
2021,8,60,"25,786","3,443","4,667","2,838","2,777","2,866","2,532","4,082","2,581"
2021,8,70,"11,558","1,428","2,100","1,357","1,320","1,235","1,097","1,789","1,232"
2021,8,80,"5,091",418,"1,036",600,616,564,477,811,569
2021,8,90,681,68,150,65,84,69,60,108,77
2021,8,100,53,1,6,2,30,4,2,5,3
2021,9,총,"193,410","30,943","37,641","23,348","16,375","21,893","15,634","25,484","22,092"
2021,9,0,"14,321","4,401","2,557","1,677",702,"1,464",754,"1,256","1,510"
2021,9,10,"17,462","2,354","3,818","2,317","1,056","2,613","1,072","2,006","2,226"
2021,9,20,"26,327","3,188","5,467","3,365","2,175","2,989","2,320","3,717","3,106"
2021,9,30,"25,296","5,498","4,502","3,006","2,008","2,449","1,959","3,123","2,751"
2021,9,40,"31,811","6,013","6,067","3,864","2,459","3,699","2,258","3,583","3,868"
2021,9,50,"34,932","4,123","7,240","4,245","3,176","3,925","3,134","5,018","4,071"
2021,9,60,"25,878","3,454","4,700","2,845","2,770","2,876","2,526","4,087","2,620"
2021,9,70,"11,531","1,423","2,088","1,358","1,299","1,237","1,089","1,774","1,263"
2021,9,80,"5,122",421,"1,044",602,620,571,460,811,593
2021,9,90,678,67,152,67,81,66,60,104,81
2021,9,100,52,1,6,2,29,4,2,5,3
2021,10,총,"193,014","30,880","37,579","23,321","16,363","21,854","15,634","25,316","22,067"
2021,10,0,"14,191","4,362","2,534","1,661",691,"1,466",758,"1,231","1,488"
2021,10,10,"17,429","2,377","3,803","2,313","1,057","2,612","1,077","1,984","2,206"
2021,10,20,"26,161","3,145","5,444","3,353","2,162","2,958","2,319","3,689","3,091"
2021,10,30,"25,263","5,445","4,510","2,988","2,036","2,453","1,964","3,093","2,774"
2021,10,40,"31,682","6,034","6,025","3,855","2,431","3,682","2,253","3,547","3,855"
2021,10,50,"34,889","4,125","7,244","4,253","3,175","3,914","3,133","4,986","4,059"
2021,10,60,"25,976","3,469","4,711","2,865","2,788","2,895","2,517","4,094","2,637"
2021,10,70,"11,553","1,441","2,096","1,355","1,292","1,229","1,097","1,779","1,264"
2021,10,80,"5,149",414,"1,051",611,624,574,457,809,609
2021,10,90,669,66,155,65,78,67,57,100,81
2021,10,100,52,2,6,2,29,4,2,4,3
2021,11,총,"192,461","30,739","37,422","23,315","16,326","21,822","15,582","25,219","22,036"
2021,11,0,"14,094","4,324","2,517","1,651",683,"1,471",739,"1,232","1,477"
2021,11,10,"17,346","2,387","3,744","2,317","1,049","2,599","1,074","1,982","2,194"
2021,11,20,"26,044","3,100","5,417","3,332","2,150","2,967","2,318","3,669","3,091"
2021,11,30,"25,203","5,363","4,524","3,007","2,044","2,447","1,972","3,064","2,782"
2021,11,40,"31,472","6,043","5,957","3,863","2,410","3,653","2,223","3,524","3,799"
2021,11,50,"34,848","4,109","7,233","4,250","3,187","3,914","3,113","4,972","4,070"
2021,11,60,"26,020","3,475","4,728","2,861","2,773","2,900","2,538","4,089","2,656"
2021,11,70,"11,548","1,452","2,084","1,354","1,298","1,223","1,093","1,778","1,266"
2021,11,80,"5,165",419,"1,051",614,624,576,455,808,618
2021,11,90,671,65,161,65,80,68,56,96,80
2021,11,100,50,2,6,1,28,4,1,5,3
2021,12,총,"191,948","30,653","37,266","23,258","16,260","21,817","15,617","25,158","21,919"
2021,12,0,"13,946","4,267","2,487","1,623",680,"1,469",749,"1,232","1,439"
2021,12,10,"17,311","2,410","3,738","2,302","1,039","2,578","1,076","1,978","2,190"
2021,12,20,"25,915","3,087","5,367","3,334","2,146","2,969","2,318","3,632","3,062"
2021,12,30,"25,118","5,299","4,519","2,993","2,046","2,438","2,000","3,060","2,763"
2021,12,40,"31,306","6,064","5,890","3,829","2,403","3,644","2,202","3,505","3,769"
2021,12,50,"34,889","4,117","7,239","4,262","3,194","3,938","3,108","4,968","4,063"
2021,12,60,"26,034","3,465","4,723","2,872","2,751","2,899","2,559","4,099","2,666"
2021,12,70,"11,548","1,455","2,080","1,356","1,296","1,233","1,090","1,768","1,270"
2021,12,80,"5,201",422,"1,067",622,623,576,456,819,616
2021,12,90,662,65,155,64,79,69,58,94,78
2021,12,100,18,2,1,1,3,4,1,3,3
