년도,월,나이,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021,10,30,"17,636","1,255","1,703","1,062","1,976","2,520","1,082","1,500",717,875,588,"1,592","1,629","1,137"
2021,10,40,"19,879","1,058","1,784","1,401","2,431","2,990","1,070","2,427",660,768,792,"1,179","2,040","1,279"
2021,10,50,"24,873","1,472","2,425","2,082","3,421","3,727","1,533","2,654",987,"1,042",925,"1,146","2,045","1,414"
2021,10,60,"23,806","1,539","2,364","1,842","3,512","2,953","1,304","1,647","1,138","1,173",995,"1,352","2,183","1,804"
2021,10,70,"10,167",666,981,744,"1,547",915,532,786,599,523,551,607,967,749
2021,10,80,"3,009",187,275,208,596,200,167,298,207,152,155,137,230,197
2021,10,90,208,16,9,8,48,13,15,27,20,11,8,2,18,13
2021,10,100,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021,11,총,"140,023","8,069","12,957","10,156","18,381","20,452","8,349","14,563","5,504","6,010","5,277","8,184","13,019","9,102"
2021,11,0,"9,496",427,685,420,"1,014","1,996",633,"1,248",182,221,214,733,"1,114",609
2021,11,10,"11,716",371,885,761,"1,523","2,250",694,"1,976",262,292,328,523,"1,180",671
2021,11,20,"19,164","1,069","1,839","1,618","2,311","2,903","1,304","1,999",744,925,724,881,"1,599","1,248"
2021,11,30,"17,638","1,255","1,699","1,062","1,978","2,497","1,088","1,503",726,885,586,"1,606","1,626","1,127"
2021,11,40,"19,862","1,071","1,786","1,393","2,419","2,984","1,063","2,419",660,772,789,"1,184","2,046","1,276"
2021,11,50,"24,822","1,468","2,414","2,091","3,405","3,712","1,546","2,651",971,"1,050",920,"1,147","2,036","1,411"
2021,11,60,"23,896","1,542","2,378","1,838","3,534","2,979","1,308","1,653","1,134","1,176","1,002","1,359","2,200","1,793"
2021,11,70,"10,172",658,978,753,"1,553",914,529,788,595,528,551,610,962,753
2021,11,80,"3,045",191,282,212,595,205,168,299,209,150,155,138,239,202
2021,11,90,210,16,11,8,49,12,15,27,21,11,8,3,17,12
2021,11,100,2,1,0,0,0,0,1,0,0,0,0,0,0,0
2021,12,총,"139,795","8,116","12,934","10,142","18,342","20,378","8,349","14,538","5,488","5,974","5,266","8,182","13,007","9,079"
2021,12,0,"9,420",429,675,415,"1,003","1,983",633,"1,235",174,217,209,727,"1,115",605
2021,12,10,"11,687",369,890,759,"1,523","2,240",689,"1,975",262,285,327,530,"1,168",670
2021,12,20,"19,066","1,096","1,823","1,605","2,301","2,861","1,307","2,006",736,914,723,874,"1,585","1,235"
2021,12,30,"17,618","1,267","1,694","1,056","1,973","2,502","1,085","1,503",717,881,587,"1,600","1,631","1,122"
2021,12,40,"19,832","1,071","1,778","1,398","2,406","2,973","1,071","2,402",669,772,787,"1,181","2,045","1,279"
2021,12,50,"24,734","1,466","2,397","2,092","3,394","3,688","1,533","2,649",969,"1,043",913,"1,152","2,041","1,397"
