년도,월,나이,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021,8,100,0,0,0,0,0,0,0,0,0,0,0
2021,9,총,"22,155","6,837","3,339","1,999","1,537",995,621,"1,227","1,571","2,262","1,767"
2021,9,0,930,423,108,61,49,25,18,35,47,99,65
2021,9,10,"1,204",699,105,64,42,19,23,47,40,106,59
2021,9,20,"1,915",798,278,125,88,63,36,102,114,176,135
2021,9,30,"1,707",663,271,150,94,72,35,67,88,153,114
2021,9,40,"2,698","1,061",400,210,131,104,60,141,175,247,169
2021,9,50,"4,472","1,271",712,447,305,202,129,246,300,480,380
2021,9,60,"5,173","1,104",856,568,453,279,160,296,445,544,468
2021,9,70,"2,768",564,451,261,234,146,105,190,256,307,254
2021,9,80,"1,176",233,144,105,124,79,51,94,92,141,113
2021,9,90,112,21,14,8,17,6,4,9,14,9,10
2021,9,100,0,0,0,0,0,0,0,0,0,0,0
2021,10,총,"22,174","6,855","3,339","2,002","1,547",991,624,"1,228","1,575","2,259","1,754"
2021,10,0,922,414,107,59,50,26,18,35,47,103,63
2021,10,10,"1,206",703,105,64,44,17,21,45,41,107,59
2021,10,20,"1,924",805,279,128,88,62,38,105,115,174,130
2021,10,30,"1,702",663,269,145,94,71,37,68,88,152,115
2021,10,40,"2,693","1,061",398,210,129,107,61,136,176,245,170
2021,10,50,"4,475","1,272",709,451,305,203,129,251,300,477,378
2021,10,60,"5,187","1,108",863,569,459,278,161,295,444,544,466
2021,10,70,"2,767",571,448,263,238,141,104,190,256,306,250
2021,10,80,"1,187",236,147,105,123,79,51,95,94,143,114
2021,10,90,110,22,13,8,17,7,4,8,14,8,9
2021,10,100,1,0,1,0,0,0,0,0,0,0,0
2021,11,총,"22,166","6,840","3,343","2,000","1,546",999,624,"1,225","1,574","2,257","1,758"
2021,11,0,919,415,106,59,48,28,18,36,47,99,63
2021,11,10,"1,204",699,105,61,45,18,22,45,41,107,61
2021,11,20,"1,914",807,277,124,88,61,38,104,113,175,127
2021,11,30,"1,687",655,267,145,92,71,37,67,89,151,113
2021,11,40,"2,666","1,043",397,203,129,108,61,133,175,244,173
2021,11,50,"4,492","1,286",711,458,300,206,128,248,302,478,375
2021,11,60,"5,205","1,107",868,574,465,276,161,300,440,543,471
2021,11,70,"2,779",570,451,261,238,145,105,187,259,309,254
2021,11,80,"1,185",235,146,105,124,79,50,95,94,144,113
2021,11,90,114,23,14,10,17,7,4,10,14,7,8
2021,11,100,1,0,1,0,0,0,0,0,0,0,0
2021,12,총,"22,216","6,856","3,337","1,998","1,568","1,000",627,"1,230","1,571","2,261","1,768"
2021,12,0,918,417,107,58,50,26,18,36,47,95,64
2021,12,10,"1,194",698,100,59,47,16,20,45,40,109,60
2021,12,20,"1,920",809,273,121,92,63,38,103,112,178,131
2021,12,30,"1,708",672,266,145,91,72,38,70,92,147,115
2021,12,40,"2,670","1,033",398,204,133,107,63,134,173,249,176
2021,12,50,"4,486","1,283",708,456,307,207,126,250,299,479,371
2021,12,60,"5,231","1,115",875,578,469,276,164,303,438,542,471
2021,12,70,"2,788",571,448,263,237,148,105,186,261,313,256
2021,12,80,"1,189",237,147,104,125,78,51,93,95,143,116
2021,12,90,110,21,14,10,16,7,4,10,14,6,8
2021,12,100,2,0,1,0,1,0,0,0,0,0,0
