년도,월,나이,김해시,진영읍,주촌면,진례면,한림면,생림면,상동면,대동면,동상동,회현동,부원동,내외동,북부동,칠산서부동,활천동,삼안동,불암동,장유1동,장유2동,장유3동
2020,6,10,"29,653","2,836",627,159,149,60,77,96,360,269,319,"3,869","5,066",342,"1,859","1,564",404,"3,932","2,533","5,132"
2020,6,20,"31,663","2,439","1,124",258,244,128,119,186,583,511,678,"5,755","4,983",580,"2,907","2,554",477,"3,124","2,013","3,000"
2020,6,30,"34,767","4,416","1,965",244,216,104,99,182,554,605,570,"4,054","4,935",427,"2,097","1,390",395,"3,552","2,430","6,532"
2020,6,40,"49,935","4,933","1,335",323,274,140,137,262,698,596,722,"6,604","8,222",626,"3,332","2,698",657,"6,201","4,049","8,126"
2020,6,50,"46,378","3,968","1,327",651,728,384,316,551,"1,013",914,"1,043","8,137","7,040",936,"4,329","3,780",754,"4,193","2,728","3,586"
2020,6,60,"27,341","2,832",589,603,823,423,355,802,756,773,763,"3,469","3,488",708,"2,442","2,081",526,"2,288","1,451","2,169"
2020,6,70,"14,741","1,431",242,428,550,317,190,503,412,495,379,"1,923","1,743",407,"1,265","1,114",273,"1,307",783,979
2020,6,80,"7,685",790,195,241,423,196,96,298,213,215,167,"1,037",904,212,590,583,123,637,352,413
2020,6,90,"1,089",127,23,52,60,25,26,51,32,30,25,132,121,28,72,71,15,80,49,70
2020,6,100,55,7,0,1,1,1,2,1,2,4,5,6,6,1,6,3,3,4,0,2
2020,7,총,"268,173","27,017","8,826","3,053","3,544","1,807","1,452","3,023","4,903","4,730","4,961","37,325","40,186","4,545","20,221","16,622","3,889","28,109","18,319","35,641"
2020,7,0,"24,835","3,243","1,370",98,94,26,34,97,283,311,284,"2,383","3,714",277,"1,337",816,271,"2,789","1,920","5,488"
2020,7,10,"29,596","2,833",626,158,149,59,75,94,360,270,316,"3,851","5,049",339,"1,853","1,541",404,"3,922","2,541","5,156"
2020,7,20,"31,625","2,443","1,113",256,238,129,118,182,584,509,674,"5,744","4,968",580,"2,908","2,557",471,"3,125","2,012","3,014"
2020,7,30,"34,594","4,402","1,970",247,219,103,100,182,554,605,567,"4,047","4,876",419,"2,089","1,382",387,"3,536","2,397","6,512"
2020,7,40,"49,923","4,942","1,351",316,268,138,140,258,694,604,721,"6,556","8,212",633,"3,327","2,680",655,"6,185","4,056","8,187"
2020,7,50,"46,443","3,963","1,332",644,725,386,314,550,"1,001",906,"1,045","8,153","7,062",932,"4,315","3,780",752,"4,221","2,743","3,619"
2020,7,60,"27,507","2,843",598,610,817,425,355,805,767,775,770,"3,479","3,519",713,"2,445","2,094",535,"2,300","1,462","2,195"
2020,7,70,"14,791","1,431",246,427,550,317,188,501,412,498,387,"1,926","1,756",409,"1,268","1,110",274,"1,314",789,988
2020,7,80,"7,715",781,195,244,423,199,100,301,217,218,166,"1,045",903,214,603,587,123,636,349,411
2020,7,90,"1,090",129,25,52,60,24,26,52,29,30,26,135,121,28,70,72,14,78,50,69
2020,7,100,54,7,0,1,1,1,2,1,2,4,5,6,6,1,6,3,3,3,0,2
2020,8,총,"268,175","27,041","8,871","3,044","3,537","1,797","1,458","3,011","4,901","4,722","4,940","37,219","40,165","4,547","20,186","16,588","3,872","28,233","18,266","35,777"
2020,8,0,"24,719","3,216","1,384",95,96,27,36,96,284,310,279,"2,355","3,687",274,"1,330",799,269,"2,803","1,898","5,481"
2020,8,10,"29,567","2,845",620,159,148,59,73,95,357,268,319,"3,834","5,037",334,"1,848","1,539",404,"3,929","2,529","5,170"
2020,8,20,"31,607","2,448","1,109",251,239,127,117,181,581,506,669,"5,709","4,975",575,"2,905","2,556",463,"3,157","2,011","3,028"
2020,8,30,"34,461","4,388","1,980",247,217,97,98,183,560,604,565,"4,012","4,845",429,"2,070","1,367",380,"3,547","2,362","6,510"
2020,8,40,"49,855","4,950","1,355",310,264,137,138,257,694,602,715,"6,534","8,208",629,"3,308","2,661",655,"6,179","4,047","8,212"
2020,8,50,"46,529","3,977","1,326",639,712,384,317,545,"1,001",896,"1,043","8,145","7,075",930,"4,320","3,771",751,"4,262","2,762","3,673"
2020,8,60,"27,739","2,874",628,618,823,426,362,799,766,786,769,"3,515","3,549",718,"2,454","2,114",538,"2,318","1,461","2,221"
2020,8,70,"14,813","1,422",248,427,555,314,187,502,409,502,385,"1,920","1,768",413,"1,268","1,113",271,"1,316",792,"1,001"
2020,8,80,"7,724",786,195,242,423,199,101,297,217,212,166,"1,051",898,216,606,591,124,638,353,409
2020,8,90,"1,105",127,26,55,59,26,26,55,30,32,25,138,117,28,71,74,14,81,51,70
2020,8,100,56,8,0,1,1,1,3,1,2,4,5,6,6,1,6,3,3,3,0,2
2020,9,총,"268,140","27,092","8,895","3,029","3,528","1,794","1,465","3,004","4,885","4,708","4,930","37,155","40,137","4,547","20,157","16,570","3,856","28,317","18,228","35,843"
2020,9,0,"24,579","3,202","1,393",94,95,27,34,99,283,303,277,"2,329","3,651",273,"1,323",805,261,"2,789","1,874","5,467"
2020,9,10,"29,536","2,863",620,157,144,59,75,95,356,271,322,"3,791","5,037",338,"1,847","1,522",401,"3,928","2,527","5,183"
2020,9,20,"31,566","2,437","1,100",243,240,124,119,175,584,503,662,"5,714","4,976",574,"2,887","2,549",464,"3,180","2,006","3,029"
2020,9,30,"34,212","4,361","1,978",242,218,98,97,182,553,597,556,"3,978","4,809",428,"2,054","1,356",374,"3,528","2,317","6,486"
2020,9,40,"49,803","4,978","1,368",311,263,136,142,259,687,603,709,"6,499","8,165",623,"3,282","2,634",650,"6,202","4,041","8,251"
2020,9,50,"46,699","3,984","1,333",640,704,381,314,540,998,891,"1,052","8,175","7,109",928,"4,342","3,797",749,"4,287","2,776","3,699"
2020,9,60,"27,967","2,910",635,618,822,427,362,798,771,789,767,"3,552","3,586",724,"2,471","2,120",544,"2,354","1,477","2,240"
2020,9,70,"14,839","1,430",245,423,551,314,192,501,405,500,387,"1,918","1,786",413,"1,270","1,114",272,"1,321",802,995
2020,9,80,"7,760",795,195,242,429,201,101,299,214,213,169,"1,055",887,217,606,596,124,645,353,419
2020,9,90,"1,121",123,28,58,61,26,26,55,32,34,24,137,125,28,70,73,14,80,55,72
2020,9,100,58,9,0,1,1,1,3,1,2,4,5,7,6,1,5,4,3,3,0,2
2020,10,총,"268,125","27,109","8,915","3,024","3,518","1,784","1,456","2,997","4,862","4,675","4,929","37,127","40,165","4,551","20,135","16,511","3,864","28,348","18,256","35,899"
2020,10,0,"24,393","3,185","1,400",99,93,26,33,96,278,304,270,"2,310","3,627",273,"1,306",798,263,"2,752","1,855","5,425"
2020,10,10,"29,500","2,868",615,152,147,59,71,96,350,266,319,"3,765","5,011",337,"1,853","1,514",398,"3,945","2,523","5,211"
2020,10,20,"31,610","2,431","1,100",242,233,121,122,176,589,497,669,"5,722","5,022",575,"2,870","2,530",470,"3,198","2,018","3,025"
2020,10,30,"34,022","4,337","1,970",244,212,98,94,182,545,593,554,"3,991","4,770",429,"2,038","1,347",373,"3,499","2,291","6,455"
2020,10,40,"49,732","4,996","1,377",305,266,137,138,250,681,601,708,"6,425","8,173",621,"3,264","2,614",645,"6,202","4,040","8,289"
2020,10,50,"46,888","4,004","1,341",639,697,376,316,538,991,878,"1,056","8,217","7,137",929,"4,347","3,791",751,"4,318","2,815","3,747"
2020,10,60,"28,153","2,922",642,618,826,426,363,796,775,790,769,"3,570","3,610",730,"2,503","2,130",549,"2,374","1,500","2,260"
2020,10,70,"14,844","1,431",247,425,548,314,191,506,408,499,386,"1,921","1,789",412,"1,264","1,110",274,"1,322",802,995
2020,10,80,"7,791",803,195,242,432,200,99,300,209,207,170,"1,065",888,214,613,604,124,653,354,419
2020,10,90,"1,131",123,28,57,63,26,26,56,32,36,23,134,131,30,72,69,14,82,58,71
2020,10,100,61,9,0,1,1,1,3,1,4,4,5,7,7,1,5,4,3,3,0,2
2020,11,총,"268,051","27,106","8,919","3,010","3,511","1,788","1,445","2,961","4,858","4,660","4,913","37,058","40,175","4,554","20,123","16,455","3,860","28,408","18,233","36,014"
2020,11,0,"24,250","3,162","1,389",98,93,24,33,89,277,300,275,"2,283","3,601",274,"1,288",798,259,"2,738","1,853","5,416"
2020,11,10,"29,476","2,877",616,151,139,59,70,95,355,265,314,"3,753","5,008",336,"1,850","1,495",398,"3,949","2,511","5,235"
2020,11,20,"31,549","2,434","1,096",237,228,122,119,168,585,496,655,"5,692","5,012",576,"2,884","2,527",466,"3,197","2,016","3,039"
2020,11,30,"33,833","4,305","1,971",240,213,98,92,176,550,584,546,"3,970","4,747",428,"2,025","1,322",375,"3,507","2,250","6,434"
2020,11,40,"49,649","5,012","1,375",304,267,139,134,246,674,595,700,"6,382","8,177",614,"3,227","2,584",636,"6,200","4,052","8,331"
2020,11,50,"47,049","3,987","1,346",640,698,372,310,533,987,872,"1,066","8,260","7,162",935,"4,364","3,788",761,"4,368","2,828","3,772"
2020,11,60,"28,331","2,958",653,614,822,432,368,785,778,797,769,"3,595","3,637",736,"2,524","2,148",547,"2,376","1,503","2,289"
2020,11,70,"14,887","1,433",249,426,550,319,188,513,410,501,388,"1,913","1,799",412,"1,263","1,108",276,"1,332",809,998
2020,11,80,"7,833",806,197,242,438,196,102,297,205,210,171,"1,075",893,213,621,612,125,654,352,424
2020,11,90,"1,132",122,27,57,62,26,26,57,33,36,24,128,133,29,72,69,14,84,59,74
2020,11,100,62,10,0,1,1,1,3,2,4,4,5,7,6,1,5,4,3,3,0,2
2020,12,총,"268,025","27,127","8,914","2,994","3,490","1,796","1,453","2,959","4,863","4,660","4,894","37,034","40,261","4,541","20,047","16,394","3,829","28,374","18,216","36,179"
2020,12,0,"24,171","3,156","1,387",97,91,31,34,88,281,295,274,"2,265","3,600",272,"1,272",781,253,"2,724","1,844","5,426"
2020,12,10,"29,412","2,890",620,148,129,61,68,98,352,267,310,"3,742","5,001",338,"1,845","1,468",389,"3,941","2,496","5,249"
2020,12,20,"31,470","2,420","1,086",230,225,118,117,166,596,501,649,"5,661","5,019",559,"2,855","2,526",462,"3,188","1,998","3,094"
2020,12,30,"33,685","4,283","1,946",243,209,103,92,174,546,579,547,"3,950","4,732",435,"2,019","1,313",374,"3,465","2,270","6,405"
2020,12,40,"49,523","5,031","1,387",302,261,141,132,245,677,596,692,"6,340","8,178",605,"3,179","2,553",625,"6,185","4,020","8,374"
2020,12,50,"47,145","3,995","1,353",627,696,366,314,522,980,872,"1,062","8,284","7,187",934,"4,362","3,793",763,"4,386","2,828","3,821"
2020,12,60,"28,591","2,983",658,624,828,436,374,796,781,798,772,"3,645","3,682",742,"2,543","2,162",548,"2,399","1,529","2,291"
2020,12,70,"14,948","1,438",245,423,552,317,186,508,407,499,385,"1,925","1,825",415,"1,274","1,108",273,"1,334",815,"1,019"
2020,12,80,"7,883",801,206,239,435,198,107,302,204,211,176,"1,085",899,212,617,617,124,663,358,429
2020,12,90,"1,135",120,26,60,63,24,26,58,35,38,22,130,132,28,76,69,15,86,58,69
2020,12,100,62,10,0,1,1,1,3,2,4,4,5,7,6,1,5,4,3,3,0,2
2021,1,총,"268,043","27,084","8,936","3,001","3,474","1,799","1,446","2,946","4,853","4,640","4,895","37,042","40,286","4,546","19,972","16,335","3,817","28,467","18,183","36,321"
2021,1,0,"24,000","3,142","1,394",99,91,28,33,86,272,289,282,"2,256","3,575",260,"1,253",776,250,"2,683","1,836","5,395"
2021,1,10,"29,358","2,887",619,146,131,60,66,99,352,268,307,"3,723","4,980",350,"1,828","1,451",382,"3,931","2,486","5,292"
2021,1,20,"31,407","2,399","1,066",223,219,116,113,165,599,490,644,"5,637","5,027",574,"2,825","2,507",467,"3,225","1,986","3,125"
2021,1,30,"33,540","4,262","1,956",245,210,104,88,169,548,574,556,"3,964","4,715",421,"2,012","1,291",361,"3,455","2,252","6,357"
2021,1,40,"49,449","5,000","1,402",300,255,139,127,246,674,591,677,"6,325","8,160",609,"3,162","2,536",622,"6,189","4,019","8,416"
2021,1,50,"47,290","4,007","1,353",634,690,368,316,517,974,873,"1,054","8,285","7,231",918,"4,351","3,772",774,"4,445","2,839","3,889"
2021,1,60,"28,869","3,013",672,629,835,439,377,795,782,802,786,"3,692","3,711",751,"2,565","2,200",545,"2,435","1,522","2,318"
2021,1,70,"14,980","1,442",245,417,544,318,186,508,409,494,385,"1,928","1,834",423,"1,272","1,111",273,"1,346",822,"1,023"
2021,1,80,"7,937",798,203,244,433,201,111,303,204,218,176,"1,095",909,209,623,617,124,672,361,436
2021,1,90,"1,148",124,26,63,65,25,25,56,35,37,22,129,138,30,76,70,16,83,60,68
2021,1,100,65,10,0,1,1,1,4,2,4,4,6,8,6,1,5,4,3,3,0,2
2021,2,총,"268,056","27,119","8,936","2,980","3,459","1,789","1,432","2,945","4,829","4,638","4,878","37,045","40,223","4,549","19,919","16,305","3,809","28,555","18,141","36,505"
2021,2,0,"23,895","3,124","1,390",99,86,28,33,84,268,288,275,"2,256","3,545",261,"1,230",770,249,"2,686","1,807","5,416"
2021,2,10,"29,279","2,904",616,143,131,58,64,99,351,268,304,"3,691","4,944",349,"1,823","1,452",376,"3,918","2,484","5,304"
2021,2,20,"31,341","2,400","1,058",215,215,116,109,163,596,478,641,"5,639","5,000",573,"2,801","2,515",464,"3,233","1,970","3,155"
2021,2,30,"33,329","4,211","1,952",244,211,102,82,168,543,585,547,"3,958","4,670",413,"2,000","1,286",359,"3,438","2,221","6,339"
2021,2,40,"49,411","5,029","1,403",298,252,137,123,246,669,593,667,"6,288","8,146",620,"3,139","2,511",615,"6,189","4,021","8,465"
2021,2,50,"47,452","4,022","1,364",630,679,365,319,508,965,865,"1,058","8,299","7,283",905,"4,356","3,750",781,"4,511","2,864","3,928"
2021,2,60,"29,110","3,042",677,631,841,435,373,804,786,807,794,"3,749","3,733",762,"2,580","2,215",546,"2,461","1,529","2,345"
2021,2,70,"14,980","1,441",248,407,538,316,188,506,406,491,383,"1,907","1,834",426,"1,280","1,115",274,"1,350",829,"1,041"
2021,2,80,"8,020",806,202,251,438,205,113,306,204,219,178,"1,122",921,209,631,615,126,680,354,440
2021,2,90,"1,174",130,26,61,67,26,24,59,37,39,25,129,141,30,74,72,16,86,62,70
2021,2,100,65,10,0,1,1,1,4,2,4,5,6,7,6,1,5,4,3,3,0,2
2021,3,총,"267,282","27,000","8,930","2,941","3,399","1,780","1,411","2,893","4,767","4,594","4,824","36,962","40,185","4,511","19,803","16,254","3,784","28,562","18,089","36,593"
2021,3,0,"23,715","3,106","1,386",97,84,31,32,85,270,287,268,"2,226","3,531",264,"1,218",754,245,"2,669","1,790","5,372"
2021,3,10,"29,187","2,905",612,140,125,57,65,94,348,265,301,"3,665","4,944",345,"1,815","1,447",374,"3,902","2,462","5,321"
2021,3,20,"31,202","2,380","1,060",214,216,119,104,157,587,472,644,"5,594","4,982",560,"2,766","2,516",455,"3,249","1,959","3,168"
2021,3,30,"33,217","4,180","1,954",239,203,99,78,161,533,584,538,"3,982","4,673",405,"1,966","1,292",357,"3,445","2,205","6,323"
2021,3,40,"49,168","5,024","1,410",290,246,133,116,235,659,579,662,"6,235","8,088",620,"3,125","2,474",611,"6,168","4,002","8,491"
2021,3,50,"47,338","4,001","1,355",612,659,366,316,499,956,855,"1,045","8,297","7,294",895,"4,319","3,730",772,"4,522","2,876","3,969"
2021,3,60,"29,307","3,044",676,635,837,436,373,793,785,797,793,"3,785","3,763",772,"2,620","2,239",547,"2,496","1,543","2,373"
2021,3,70,"14,933","1,435",251,401,529,309,188,506,400,491,377,"1,912","1,841",411,"1,263","1,111",277,"1,342",831,"1,058"
2021,3,80,"8,022",797,201,250,434,204,112,301,198,218,172,"1,132",926,211,635,620,127,680,360,444
2021,3,90,"1,155",125,25,63,66,26,24,61,31,41,22,127,137,27,76,69,16,86,61,72
2021,3,100,38,3,0,0,0,0,3,1,0,5,2,7,6,1,0,2,3,3,0,2
2021,4,총,"267,207","27,016","8,911","2,937","3,382","1,770","1,403","2,876","4,748","4,577","4,799","36,971","40,163","4,498","19,817","16,208","3,776","28,615","18,063","36,677"
2021,4,0,"23,585","3,100","1,382",95,84,30,31,82,266,284,264,"2,229","3,509",258,"1,204",749,242,"2,667","1,773","5,336"
2021,4,10,"29,175","2,925",615,140,118,57,66,95,352,262,300,"3,633","4,950",341,"1,818","1,430",376,"3,892","2,465","5,340"
2021,4,20,"31,111","2,365","1,043",211,210,115,104,154,573,463,628,"5,609","4,951",553,"2,751","2,514",451,"3,255","1,955","3,206"
2021,4,30,"33,089","4,148","1,945",240,203,94,77,155,531,579,536,"3,975","4,679",401,"1,972","1,284",355,"3,448","2,189","6,278"
2021,4,40,"49,144","5,046","1,416",284,242,135,117,233,661,577,659,"6,189","8,046",620,"3,122","2,459",604,"6,192","4,009","8,533"
2021,4,50,"47,358","4,001","1,351",607,657,361,316,496,941,849,"1,038","8,326","7,326",901,"4,313","3,719",773,"4,520","2,871","3,992"
2021,4,60,"29,521","3,068",680,640,842,439,368,795,793,803,794,"3,825","3,778",768,"2,653","2,246",556,"2,513","1,550","2,410"
2021,4,70,"14,961","1,433",251,403,529,308,186,504,400,499,379,"1,917","1,854",414,"1,266","1,107",275,"1,349",828,"1,059"
2021,4,80,"8,052",798,200,253,430,205,111,301,199,216,177,"1,134",930,214,641,624,124,686,360,449
2021,4,90,"1,171",129,28,64,66,26,24,60,32,40,22,127,134,27,77,74,17,89,63,72
2021,4,100,40,3,0,0,1,0,3,1,0,5,2,7,6,1,0,2,3,4,0,2
2021,5,총,"267,083","27,002","8,920","2,918","3,384","1,771","1,414","2,846","4,763","4,574","4,806","36,985","40,157","4,499","19,755","16,158","3,764","28,630","18,046","36,691"
2021,5,0,"23,391","3,054","1,380",91,90,31,29,79,260,286,267,"2,219","3,491",254,"1,191",738,240,"2,641","1,752","5,298"
2021,5,10,"29,168","2,953",610,140,130,56,67,95,349,260,298,"3,602","4,933",344,"1,810","1,418",376,"3,884","2,472","5,371"
2021,5,20,"31,087","2,354","1,048",206,206,112,109,149,579,463,628,"5,621","4,930",551,"2,747","2,504",443,"3,270","1,962","3,205"
2021,5,30,"32,937","4,120","1,948",232,199,96,77,152,534,578,533,"3,985","4,659",401,"1,954","1,274",350,"3,441","2,173","6,231"
2021,5,40,"48,977","5,056","1,408",284,242,137,117,226,660,572,659,"6,140","8,025",612,"3,100","2,437",606,"6,158","3,988","8,550"
2021,5,50,"47,489","3,993","1,358",600,652,358,317,492,938,844,"1,041","8,341","7,357",900,"4,312","3,730",769,"4,558","2,899","4,030"
2021,5,60,"29,745","3,099",692,642,840,444,373,789,805,804,797,"3,890","3,821",782,"2,649","2,246",558,"2,547","1,549","2,418"
2021,5,70,"14,973","1,435",252,402,533,305,185,497,404,504,379,"1,915","1,854",413,"1,273","1,111",275,"1,350",825,"1,061"
2021,5,80,"8,092",804,193,257,424,205,111,306,200,218,180,"1,134",949,215,641,624,127,686,364,454
2021,5,90,"1,183",131,31,63,67,27,26,60,34,40,22,131,131,26,78,75,17,91,62,71
2021,5,100,41,3,0,1,1,0,3,1,0,5,2,7,7,1,0,1,3,4,0,2
