년도,월,나이,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020,7,40,"1,325","1,012",96,34,183
2020,7,50,"1,886","1,343",197,94,252
2020,7,60,"1,745","1,202",173,102,268
2020,7,70,"1,031",662,112,86,171
2020,7,80,494,278,76,32,108
2020,7,90,78,36,7,17,18
2020,7,100,11,11,0,0,0
2020,8,총,"9,211","6,525",866,461,"1,359"
2020,8,0,417,308,40,17,52
2020,8,10,472,376,38,15,43
2020,8,20,831,611,72,27,121
2020,8,30,916,685,56,38,137
2020,8,40,"1,316","1,007",95,35,179
2020,8,50,"1,883","1,339",196,93,255
2020,8,60,"1,757","1,206",173,102,276
2020,8,70,"1,038",669,113,86,170
2020,8,80,493,279,76,32,106
2020,8,90,77,34,7,16,20
2020,8,100,11,11,0,0,0
2020,9,총,"9,191","6,519",867,455,"1,350"
2020,9,0,416,306,41,17,52
2020,9,10,474,379,38,15,42
2020,9,20,832,616,70,27,119
2020,9,30,900,675,58,34,133
2020,9,40,"1,315","1,005",97,34,179
2020,9,50,"1,869","1,329",194,93,253
2020,9,60,"1,763","1,212",172,101,278
2020,9,70,"1,038",670,113,87,168
2020,9,80,498,281,77,32,108
2020,9,90,75,35,7,15,18
2020,9,100,11,11,0,0,0
2020,10,총,"9,200","6,526",875,454,"1,345"
2020,10,0,408,301,41,17,49
2020,10,10,471,378,36,15,42
2020,10,20,853,622,84,26,121
2020,10,30,889,670,57,34,128
2020,10,40,"1,307",996,99,33,179
2020,10,50,"1,878","1,341",192,92,253
2020,10,60,"1,769","1,219",169,104,277
2020,10,70,"1,040",670,115,87,168
2020,10,80,497,281,76,30,110
2020,10,90,76,36,6,16,18
2020,10,100,12,12,0,0,0
2020,11,총,"9,128","6,478",879,444,"1,327"
2020,11,0,399,295,41,16,47
2020,11,10,468,377,36,15,40
2020,11,20,836,610,86,25,115
2020,11,30,868,651,57,32,128
2020,11,40,"1,297",994,100,32,171
2020,11,50,"1,873","1,344",191,88,250
2020,11,60,"1,759","1,211",170,101,277
2020,11,70,"1,044",670,115,89,170
2020,11,80,494,279,76,30,109
2020,11,90,78,35,7,16,20
2020,11,100,12,12,0,0,0
2020,12,총,"9,077","6,434",878,444,"1,321"
2020,12,0,392,288,41,16,47
2020,12,10,463,372,36,15,40
2020,12,20,833,609,83,25,116
2020,12,30,852,640,60,31,121
2020,12,40,"1,290",987,101,32,170
2020,12,50,"1,848","1,327",186,88,247
2020,12,60,"1,766","1,212",172,101,281
2020,12,70,"1,045",671,116,90,168
2020,12,80,498,282,75,30,111
2020,12,90,78,34,8,16,20
2020,12,100,12,12,0,0,0
2021,1,총,"9,035","6,397",879,443,"1,316"
2021,1,0,388,286,40,15,47
2021,1,10,454,363,36,15,40
2021,1,20,826,606,81,23,116
2021,1,30,845,641,59,31,114
2021,1,40,"1,287",981,101,31,174
2021,1,50,"1,830","1,309",189,89,243
2021,1,60,"1,767","1,210",174,101,282
2021,1,70,"1,050",674,116,92,168
2021,1,80,497,281,75,30,111
2021,1,90,79,34,8,16,21
2021,1,100,12,12,0,0,0
2021,2,총,"9,050","6,412",881,440,"1,317"
2021,2,0,394,288,42,15,49
2021,2,10,446,353,37,14,42
2021,2,20,826,608,83,20,115
2021,2,30,857,653,62,32,110
2021,2,40,"1,278",972,98,31,177
2021,2,50,"1,826","1,308",186,88,244
2021,2,60,"1,778","1,222",175,102,279
2021,2,70,"1,049",676,115,91,167
2021,2,80,501,282,75,30,114
2021,2,90,83,38,8,17,20
2021,2,100,12,12,0,0,0
2021,3,총,"9,019","6,386",872,437,"1,324"
2021,3,0,392,289,38,14,51
2021,3,10,452,354,39,16,43
2021,3,20,808,590,80,20,118
2021,3,30,855,652,62,32,109
2021,3,40,"1,257",953,97,30,177
2021,3,50,"1,817","1,306",183,86,242
2021,3,60,"1,778","1,224",172,101,281
2021,3,70,"1,057",684,115,89,169
2021,3,80,509,284,78,32,115
2021,3,90,80,36,8,17,19
2021,3,100,14,14,0,0,0
2021,4,총,"9,035","6,419",868,434,"1,314"
2021,4,0,392,293,37,14,48
2021,4,10,445,349,38,17,41
2021,4,20,824,610,77,21,116
2021,4,30,851,652,62,32,105
2021,4,40,"1,256",954,97,27,178
2021,4,50,"1,811","1,304",183,86,238
2021,4,60,"1,789","1,232",175,100,282
2021,4,70,"1,059",685,116,87,171
2021,4,80,513,288,76,34,115
2021,4,90,81,38,7,16,20
2021,4,100,14,14,0,0,0
2021,5,총,"9,032","6,410",871,431,"1,320"
2021,5,0,391,292,37,13,49
2021,5,10,448,350,38,18,42
2021,5,20,820,606,77,22,115
2021,5,30,850,651,62,30,107
2021,5,40,"1,253",949,98,29,177
2021,5,50,"1,802","1,299",179,84,240
2021,5,60,"1,797","1,237",179,98,283
2021,5,70,"1,061",686,117,86,172
2021,5,80,512,285,77,35,115
2021,5,90,84,41,7,16,20
2021,5,100,14,14,0,0,0
2021,6,총,"8,990","6,352",873,439,"1,326"
2021,6,0,399,296,37,17,49
2021,6,10,450,349,39,19,43
2021,6,20,809,598,76,22,113
2021,6,30,853,650,63,34,106
2021,6,40,"1,260",948,98,30,184
2021,6,50,"1,793","1,292",180,83,238
2021,6,60,"1,783","1,224",180,97,282
2021,6,70,"1,053",677,117,84,175
2021,6,80,504,277,76,35,116
2021,6,90,83,38,7,18,20
2021,6,100,3,3,0,0,0
2021,7,총,"9,019","6,370",879,442,"1,328"
2021,7,0,395,290,37,18,50
2021,7,10,452,350,39,19,44
2021,7,20,831,616,76,22,117
2021,7,30,849,645,66,36,102
2021,7,40,"1,261",949,96,33,183
2021,7,50,"1,782","1,283",179,83,237
2021,7,60,"1,802","1,239",185,94,284
2021,7,70,"1,057",680,116,86,175
2021,7,80,504,276,78,34,116
2021,7,90,83,39,7,17,20
2021,7,100,3,3,0,0,0
2021,8,총,"8,976","6,363",878,437,"1,298"
2021,8,0,383,280,39,15,49
2021,8,10,453,357,40,18,38
2021,8,20,833,626,69,23,115
2021,8,30,827,634,66,32,95
2021,8,40,"1,248",941,100,34,173
2021,8,50,"1,788","1,288",178,83,239
2021,8,60,"1,797","1,239",185,95,278
2021,8,70,"1,059",680,117,87,175
2021,8,80,502,276,77,34,115
2021,8,90,83,39,7,16,21
2021,8,100,3,3,0,0,0
2021,9,총,"8,887","6,312",875,427,"1,273"
2021,9,0,383,285,40,13,45
2021,9,10,448,351,40,18,39
2021,9,20,821,622,66,24,109
2021,9,30,801,619,65,28,89
2021,9,40,"1,237",932,101,35,169
2021,9,50,"1,764","1,266",178,82,238
2021,9,60,"1,798","1,242",184,92,280
2021,9,70,"1,051",672,117,87,175
2021,9,80,500,280,77,34,109
2021,9,90,81,40,7,14,20
2021,9,100,3,3,0,0,0
2021,10,총,"8,894","6,309",886,433,"1,266"
2021,10,0,381,284,40,13,44
2021,10,10,453,352,43,18,40
2021,10,20,810,612,67,24,107
2021,10,30,809,627,64,27,91
2021,10,40,"1,220",917,100,35,168
2021,10,50,"1,780","1,276",182,86,236
2021,10,60,"1,809","1,246",188,96,279
2021,10,70,"1,048",675,117,83,173
2021,10,80,498,275,78,36,109
2021,10,90,83,42,7,15,19
2021,10,100,3,3,0,0,0
2021,11,총,"8,888","6,290",893,433,"1,272"
2021,11,0,378,277,45,13,43
2021,11,10,453,352,41,19,41
2021,11,20,810,612,66,22,110
2021,11,30,806,622,68,27,89
2021,11,40,"1,214",907,101,34,172
2021,11,50,"1,776","1,270",183,86,237
2021,11,60,"1,814","1,250",190,97,277
2021,11,70,"1,055",680,115,84,176
2021,11,80,500,277,78,36,109
2021,11,90,80,41,6,15,18
2021,11,100,2,2,0,0,0
2021,12,총,"8,867","6,278",881,443,"1,265"
2021,12,0,377,273,46,15,43
2021,12,10,453,354,39,19,41
2021,12,20,812,611,65,24,112
2021,12,30,780,601,66,28,85
2021,12,40,"1,213",903,103,32,175
2021,12,50,"1,783","1,287",177,89,230
2021,12,60,"1,818","1,250",190,99,279
2021,12,70,"1,049",682,110,83,174
2021,12,80,501,276,79,37,109
2021,12,90,79,39,6,17,17
2021,12,100,2,2,0,0,0
