년도,월,나이,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면,강원도 홍천군 영귀미면
2021,5,40,"3,751","2,597",137,64,57,137,132,222,141,148,116,
2021,5,50,"5,819","2,830",345,205,222,363,350,459,356,363,326,
2021,5,60,"6,902","2,604",622,343,349,491,541,598,493,464,397,
2021,5,70,"3,810","1,433",337,216,180,244,313,347,286,257,197,
2021,5,80,"2,854",927,296,161,161,207,236,301,193,227,145,
2021,5,90,489,160,57,42,20,32,30,54,39,33,22,
2021,5,100,29,16,3,1,1,3,2,0,2,1,0,
2021,6,총,"33,277","16,985","2,169","1,221","1,135","1,813",0,"2,901","1,789","1,856","1,483","1,925"
2021,6,0,"1,813","1,252",58,19,15,58,0,193,48,61,54,55
2021,6,10,"2,480","1,672",73,52,36,89,0,265,60,90,71,72
2021,6,20,"2,619","1,734",122,60,48,98,0,199,89,111,69,89
2021,6,30,"2,670","1,752",119,53,41,98,0,260,72,100,85,90
2021,6,40,"3,752","2,593",138,64,55,138,0,230,140,147,114,133
2021,6,50,"5,789","2,821",335,206,228,358,0,447,358,360,325,351
2021,6,60,"6,968","2,629",629,346,349,490,0,606,500,468,401,550
2021,6,70,"3,784","1,424",337,216,179,236,0,347,287,255,194,309
2021,6,80,"2,883",934,298,162,162,213,0,300,193,231,147,243
2021,6,90,491,159,57,42,21,32,0,54,40,32,23,31
2021,6,100,28,15,3,1,1,3,0,0,2,1,0,2
2021,7,총,"33,268","16,972","2,166","1,232","1,136","1,813",,"2,906","1,789","1,847","1,479","1,928"
2021,7,0,"1,809","1,247",56,19,16,58,,194,49,60,53,57
2021,7,10,"2,473","1,671",72,54,36,88,,260,61,89,71,71
2021,7,20,"2,602","1,719",119,56,44,102,,203,87,112,71,89
2021,7,30,"2,650","1,745",119,52,40,97,,257,73,94,82,91
2021,7,40,"3,741","2,584",136,64,56,137,,229,139,147,115,134
2021,7,50,"5,741","2,804",331,208,226,355,,444,354,351,319,349
2021,7,60,"7,042","2,655",637,355,354,490,,613,503,476,408,551
2021,7,70,"3,791","1,429",338,218,179,239,,349,284,254,189,312
2021,7,80,"2,901",943,299,163,164,212,,302,197,232,149,240
2021,7,90,490,160,56,42,20,32,,55,40,31,22,32
2021,7,100,28,15,3,1,1,3,,0,2,1,0,2
2021,8,총,"33,216","16,938","2,161","1,225","1,134","1,809",,"2,896","1,799","1,846","1,476","1,932"
2021,8,0,"1,797","1,232",55,19,15,59,,195,50,63,52,57
2021,8,10,"2,456","1,660",74,53,36,85,,259,61,90,69,69
2021,8,20,"2,575","1,700",113,57,42,104,,202,88,109,71,89
2021,8,30,"2,655","1,749",124,49,40,96,,255,74,97,81,90
2021,8,40,"3,731","2,579",130,65,56,136,,228,140,143,117,137
2021,8,50,"5,744","2,818",331,201,225,353,,441,357,349,317,352
2021,8,60,"7,069","2,660",641,360,354,491,,615,507,477,409,555
2021,8,70,"3,770","1,423",334,213,180,236,,344,283,255,191,311
2021,8,80,"2,902",944,300,166,165,215,,302,196,230,146,238
2021,8,90,489,158,57,41,19,31,,55,41,32,23,32
2021,8,100,28,15,2,1,2,3,,0,2,1,0,2
2021,9,총,"33,196","16,926","2,145","1,222","1,142","1,810",,"2,878","1,793","1,853","1,481","1,946"
2021,9,0,"1,779","1,230",52,18,15,58,,188,49,62,49,58
2021,9,10,"2,453","1,651",71,54,41,84,,253,61,93,73,72
2021,9,20,"2,555","1,684",112,56,43,105,,205,83,108,71,88
2021,9,30,"2,640","1,747",122,47,40,93,,247,73,100,81,90
2021,9,40,"3,718","2,563",125,67,55,135,,229,143,142,119,140
2021,9,50,"5,734","2,830",327,200,223,354,,436,352,348,314,350
2021,9,60,"7,112","2,673",644,359,358,493,,619,508,481,415,562
2021,9,70,"3,770","1,426",331,213,180,237,,345,282,253,191,312
2021,9,80,"2,915",948,302,166,168,217,,298,198,233,145,240
2021,9,90,492,159,57,41,17,31,,58,42,32,23,32
2021,9,100,28,15,2,1,2,3,,0,2,1,0,2
2021,10,총,"33,225","16,936","2,151","1,219","1,137","1,817",,"2,886","1,790","1,861","1,478","1,950"
2021,10,0,"1,763","1,213",53,17,15,56,,188,47,66,49,59
2021,10,10,"2,464","1,662",71,54,39,87,,253,62,93,71,72
2021,10,20,"2,561","1,695",111,54,41,105,,204,85,107,71,88
2021,10,30,"2,637","1,740",122,46,41,96,,250,70,99,83,90
2021,10,40,"3,708","2,554",125,64,55,134,,227,145,145,118,141
2021,10,50,"5,715","2,826",326,201,221,351,,435,351,346,312,346
2021,10,60,"7,164","2,689",648,361,360,500,,629,507,487,417,566
2021,10,70,"3,746","1,417",333,211,176,235,,339,284,249,189,313
2021,10,80,"2,940",958,303,170,171,219,,303,197,235,144,240
2021,10,90,498,167,57,39,16,31,,58,40,33,24,33
2021,10,100,29,15,2,2,2,3,,0,2,1,0,2
2021,11,총,"33,236","16,967","2,139","1,223","1,142","1,813",,"2,877","1,790","1,865","1,468","1,952"
2021,11,0,"1,743","1,200",50,18,15,55,,185,46,66,48,60
2021,11,10,"2,470","1,672",72,52,39,89,,253,59,92,71,71
2021,11,20,"2,571","1,702",111,57,41,104,,203,88,110,68,87
2021,11,30,"2,629","1,737",120,44,42,94,,250,68,99,80,95
2021,11,40,"3,701","2,551",124,64,56,132,,223,145,148,120,138
2021,11,50,"5,718","2,845",324,199,221,347,,432,350,346,308,346
2021,11,60,"7,192","2,701",645,365,361,506,,632,510,487,419,566
2021,11,70,"3,733","1,418",330,212,176,233,,336,283,247,187,311
2021,11,80,"2,945",959,304,170,170,218,,305,200,236,143,240
2021,11,90,504,166,57,40,19,32,,58,39,33,24,36
2021,11,100,30,16,2,2,2,3,,0,2,1,0,2
2021,12,총,"33,181","16,920","2,114","1,222","1,140","1,813",,"2,885","1,800","1,855","1,471","1,961"
2021,12,0,"1,724","1,190",42,17,14,54,,190,47,61,51,58
2021,12,10,"2,459","1,672",67,51,37,87,,251,58,91,72,73
2021,12,20,"2,557","1,693",108,56,41,103,,206,88,108,67,87
2021,12,30,"2,606","1,718",115,44,44,93,,250,70,99,78,95
2021,12,40,"3,712","2,552",124,66,57,134,,224,148,147,121,139
2021,12,50,"5,686","2,825",321,200,221,347,,434,346,346,302,344
2021,12,60,"7,233","2,721",650,364,359,508,,633,512,487,425,574
2021,12,70,"3,703","1,404",323,213,175,231,,331,285,241,188,312
2021,12,80,"2,981",973,306,172,171,221,,309,205,242,142,240
2021,12,90,500,166,56,37,19,32,,57,39,32,25,37
2021,12,100,20,6,2,2,2,3,,0,2,1,0,2
