년도,월,나이,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021,2,20,814,401,15,25,33,16,60,61,72,75,21,35
2021,2,30,833,448,10,24,36,29,37,59,44,95,32,19
2021,2,40,"1,143",573,25,43,57,32,64,69,52,141,40,47
2021,2,50,"1,965",746,83,98,111,70,154,122,141,234,95,111
2021,2,60,"2,313",773,114,100,148,91,201,171,181,290,99,145
2021,2,70,"2,048",681,82,102,124,70,164,170,202,198,80,175
2021,2,80,"1,701",549,63,86,136,70,146,145,152,155,73,126
2021,2,90,280,79,10,18,22,3,35,22,23,30,15,23
2021,2,100,18,6,1,0,2,0,2,2,2,2,1,0
2021,3,총,"12,499","5,009",423,556,728,419,948,885,925,"1,372",502,732
2021,3,0,635,345,8,26,30,19,39,33,25,68,27,15
2021,3,10,775,405,11,39,39,23,39,38,40,92,21,28
2021,3,20,809,405,15,23,32,15,60,56,71,76,20,36
2021,3,30,831,444,10,25,36,28,38,59,42,95,33,21
2021,3,40,"1,120",567,24,43,54,27,70,69,49,134,38,45
2021,3,50,"1,943",745,82,91,110,71,153,116,142,231,93,109
2021,3,60,"2,338",781,117,104,143,92,203,176,177,288,105,152
2021,3,70,"2,049",682,82,101,126,72,165,168,202,200,76,175
2021,3,80,"1,701",548,62,86,136,69,144,146,153,155,74,128
2021,3,90,286,82,11,18,22,3,35,24,23,31,14,23
2021,3,100,12,5,1,0,0,0,2,0,1,2,1,0
2021,4,총,"12,488","5,002",422,560,724,413,950,886,922,"1,375",501,733
2021,4,0,631,342,8,25,29,19,38,34,26,67,28,15
2021,4,10,772,403,11,39,39,23,40,37,38,94,21,27
2021,4,20,817,410,15,24,32,15,60,58,71,76,19,37
2021,4,30,815,432,8,25,34,27,37,57,41,97,35,22
2021,4,40,"1,113",566,26,42,52,25,71,69,50,130,38,44
2021,4,50,"1,937",750,79,92,111,68,153,114,140,231,90,109
2021,4,60,"2,358",786,119,108,143,92,205,179,179,287,106,154
2021,4,70,"2,042",679,82,102,127,71,165,165,201,204,74,172
2021,4,80,"1,702",545,62,84,136,70,144,148,151,156,76,130
2021,4,90,289,84,11,19,21,3,35,25,24,31,13,23
2021,4,100,12,5,1,0,0,0,2,0,1,2,1,0
2021,5,총,"12,485","4,992",421,564,723,420,948,880,921,"1,377",504,735
2021,5,0,631,343,9,24,29,19,37,35,26,67,27,15
2021,5,10,767,402,11,41,38,23,39,35,37,93,21,27
2021,5,20,814,409,16,24,32,16,61,57,69,75,19,36
2021,5,30,815,428,8,25,35,30,36,55,43,99,34,22
2021,5,40,"1,100",552,25,44,51,24,73,66,50,130,40,45
2021,5,50,"1,937",746,78,92,113,71,155,112,137,232,90,111
2021,5,60,"2,358",788,117,109,141,93,203,180,181,286,108,152
2021,5,70,"2,043",685,81,100,128,71,163,165,200,204,74,172
2021,5,80,"1,711",551,64,86,135,70,143,150,150,156,75,131
2021,5,90,297,83,11,19,21,3,36,25,27,33,15,24
2021,5,100,12,5,1,0,0,0,2,0,1,2,1,0
