년도,월,나이,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020,5,90,444,80,83,74,61,50,56,20,20
2020,5,100,18,5,1,1,5,1,0,1,4
2020,6,총,"218,673","37,632","40,063","39,312","16,428","29,965","34,903","10,129","10,241"
2020,6,0,"25,898","4,789","5,589","3,965","2,729","2,774","4,460",769,823
2020,6,10,"23,606","3,954","4,583","6,327","1,248","2,368","3,570",760,796
2020,6,20,"28,077","4,380","4,556","4,965","1,284","4,786","5,026","1,740","1,340"
2020,6,30,"35,022","6,018","6,841","4,216","3,613","4,929","6,218","1,664","1,523"
2020,6,40,"38,383","6,656","7,364","8,639","2,639","4,452","5,636","1,465","1,532"
2020,6,50,"38,469","6,298","6,284","6,953","2,178","6,403","6,302","2,082","1,969"
2020,6,60,"18,625","3,470","3,088","2,448","1,674","2,901","2,438","1,104","1,502"
2020,6,70,"7,178","1,450","1,159","1,225",656,930,822,384,552
2020,6,80,"2,951",530,515,499,343,369,375,139,181
2020,6,90,446,82,83,74,59,52,56,21,19
2020,6,100,18,5,1,1,5,1,0,1,4
2020,7,총,"218,777","37,616","40,148","39,254","16,458","29,972","34,968","10,136","10,225"
2020,7,0,"25,804","4,783","5,560","3,931","2,723","2,766","4,459",770,812
2020,7,10,"23,601","3,943","4,617","6,312","1,258","2,348","3,568",764,791
2020,7,20,"28,068","4,371","4,571","4,963","1,261","4,779","5,036","1,743","1,344"
2020,7,30,"34,891","5,970","6,836","4,188","3,614","4,923","6,195","1,659","1,506"
2020,7,40,"38,453","6,694","7,361","8,638","2,655","4,447","5,655","1,462","1,541"
2020,7,50,"38,517","6,294","6,320","6,949","2,195","6,412","6,319","2,069","1,959"
2020,7,60,"18,812","3,491","3,110","2,482","1,687","2,932","2,470","1,122","1,518"
2020,7,70,"7,218","1,457","1,176","1,226",659,935,830,387,548
2020,7,80,"2,948",526,515,490,342,375,379,138,183
2020,7,90,445,82,80,73,59,54,57,21,19
2020,7,100,20,5,2,2,5,1,0,1,4
2020,8,총,"218,765","37,597","40,226","39,167","16,506","29,907","35,060","10,101","10,201"
2020,8,0,"25,719","4,785","5,532","3,901","2,726","2,754","4,458",761,802
2020,8,10,"23,578","3,918","4,643","6,298","1,271","2,324","3,575",759,790
2020,8,20,"27,964","4,350","4,552","4,948","1,244","4,758","5,032","1,739","1,341"
2020,8,30,"34,796","5,971","6,846","4,137","3,606","4,908","6,201","1,642","1,485"
2020,8,40,"38,449","6,684","7,378","8,599","2,691","4,439","5,661","1,453","1,544"
2020,8,50,"38,595","6,291","6,361","6,981","2,192","6,389","6,366","2,059","1,956"
2020,8,60,"18,979","3,508","3,140","2,515","1,709","2,963","2,490","1,135","1,519"
2020,8,70,"7,254","1,471","1,177","1,218",659,939,842,393,555
2020,8,80,"2,971",535,519,496,343,378,377,137,186
2020,8,90,440,79,77,72,60,54,58,22,18
2020,8,100,20,5,1,2,5,1,0,1,5
2020,9,총,"218,903","37,572","40,256","39,158","16,568","29,929","35,128","10,110","10,182"
2020,9,0,"25,608","4,760","5,519","3,858","2,719","2,741","4,456",765,790
2020,9,10,"23,628","3,940","4,643","6,313","1,294","2,312","3,579",756,791
2020,9,20,"27,962","4,342","4,548","4,949","1,245","4,788","5,006","1,748","1,336"
2020,9,30,"34,679","5,942","6,817","4,073","3,594","4,922","6,223","1,632","1,476"
2020,9,40,"38,495","6,691","7,426","8,592","2,732","4,423","5,635","1,460","1,536"
2020,9,50,"38,632","6,271","6,354","7,022","2,184","6,374","6,419","2,047","1,961"
2020,9,60,"19,166","3,524","3,165","2,549","1,733","2,998","2,522","1,148","1,527"
2020,9,70,"7,301","1,486","1,188","1,226",661,937,849,395,559
2020,9,80,"2,971",532,517,500,342,379,379,136,186
2020,9,90,440,79,78,73,59,54,60,22,15
2020,9,100,21,5,1,3,5,1,0,1,5
2020,10,총,"218,949","37,526","40,295","39,131","16,575","29,932","35,266","10,095","10,129"
2020,10,0,"25,444","4,724","5,493","3,802","2,717","2,719","4,453",760,776
2020,10,10,"23,641","3,942","4,654","6,315","1,302","2,284","3,591",758,795
2020,10,20,"27,959","4,296","4,569","4,973","1,236","4,797","5,018","1,748","1,322"
2020,10,30,"34,511","5,919","6,779","4,030","3,561","4,920","6,224","1,627","1,451"
2020,10,40,"38,525","6,698","7,438","8,545","2,751","4,397","5,703","1,447","1,546"
2020,10,50,"38,719","6,270","6,370","7,085","2,194","6,396","6,405","2,049","1,950"
2020,10,60,"19,379","3,566","3,207","2,568","1,738","3,040","2,573","1,157","1,530"
2020,10,70,"7,328","1,484","1,194","1,238",668,945,852,392,555
2020,10,80,"2,974",537,513,501,345,377,385,133,183
2020,10,90,448,85,77,71,58,56,62,23,16
2020,10,100,21,5,1,3,5,1,0,1,5
2020,11,총,"218,882","37,513","40,280","39,088","16,575","29,960","35,303","10,051","10,112"
2020,11,0,"25,313","4,711","5,458","3,772","2,694","2,722","4,442",746,768
2020,11,10,"23,667","3,944","4,685","6,316","1,311","2,275","3,585",763,788
2020,11,20,"27,885","4,277","4,546","4,973","1,241","4,776","5,011","1,742","1,319"
2020,11,30,"34,316","5,918","6,722","3,982","3,520","4,928","6,195","1,618","1,433"
2020,11,40,"38,559","6,704","7,492","8,513","2,768","4,379","5,717","1,442","1,544"
2020,11,50,"38,730","6,245","6,340","7,113","2,209","6,422","6,431","2,023","1,947"
2020,11,60,"19,566","3,598","3,246","2,588","1,750","3,064","2,601","1,171","1,548"
2020,11,70,"7,387","1,484","1,203","1,253",670,953,870,393,561
2020,11,80,"2,998",542,513,504,351,385,389,131,183
2020,11,90,440,85,74,71,56,55,62,21,16
2020,11,100,21,5,1,3,5,1,0,1,5
2020,12,총,"219,014","37,470","40,329","39,096","16,634","29,904","35,440","10,063","10,078"
2020,12,0,"25,296","4,705","5,464","3,763","2,703","2,714","4,435",742,770
2020,12,10,"23,659","3,943","4,704","6,295","1,331","2,239","3,591",768,788
2020,12,20,"27,769","4,220","4,525","4,978","1,238","4,734","5,005","1,763","1,306"
2020,12,30,"34,264","5,892","6,738","3,946","3,503","4,940","6,204","1,610","1,431"
2020,12,40,"38,590","6,707","7,485","8,505","2,800","4,352","5,754","1,450","1,537"
2020,12,50,"38,708","6,243","6,335","7,135","2,197","6,410","6,448","2,007","1,933"
2020,12,60,"19,850","3,642","3,292","2,632","1,774","3,120","2,661","1,179","1,550"
2020,12,70,"7,397","1,493","1,198","1,254",679,945,889,388,551
2020,12,80,"3,022",536,515,513,349,392,392,134,191
2020,12,90,439,84,72,72,56,57,61,21,16
2020,12,100,20,5,1,3,4,1,0,1,5
2021,1,총,"219,175","37,336","40,279","39,022","16,616","29,905","35,857","10,079","10,081"
2021,1,0,"25,143","4,679","5,430","3,716","2,687","2,708","4,412",743,768
2021,1,10,"23,643","3,933","4,692","6,287","1,349","2,228","3,619",754,781
2021,1,20,"27,684","4,176","4,503","4,951","1,216","4,704","5,044","1,782","1,308"
2021,1,30,"34,144","5,819","6,701","3,896","3,481","4,948","6,254","1,606","1,439"
2021,1,40,"38,694","6,713","7,506","8,505","2,803","4,366","5,829","1,445","1,527"
2021,1,50,"38,730","6,214","6,322","7,151","2,202","6,370","6,542","1,996","1,933"
2021,1,60,"20,181","3,676","3,326","2,674","1,787","3,177","2,780","1,199","1,562"
2021,1,70,"7,462","1,499","1,206","1,251",680,957,922,395,552
2021,1,80,"3,032",539,520,515,352,387,392,136,191
2021,1,90,441,83,72,73,55,59,63,21,15
2021,1,100,21,5,1,3,4,1,0,2,5
2021,2,총,"218,774","37,269","40,166","38,892","16,565","29,838","35,927","10,065","10,052"
2021,2,0,"24,976","4,642","5,383","3,713","2,664","2,691","4,397",730,756
2021,2,10,"23,545","3,921","4,670","6,228","1,340","2,215","3,627",769,775
2021,2,20,"27,437","4,137","4,456","4,911","1,218","4,650","4,996","1,758","1,311"
2021,2,30,"33,941","5,788","6,678","3,854","3,443","4,939","6,207","1,610","1,422"
2021,2,40,"38,715","6,730","7,494","8,470","2,813","4,340","5,884","1,450","1,534"
2021,2,50,"38,745","6,202","6,331","7,171","2,182","6,358","6,586","1,993","1,922"
2021,2,60,"20,417","3,713","3,358","2,701","1,817","3,226","2,833","1,202","1,567"
2021,2,70,"7,476","1,502","1,204","1,247",679,965,937,394,548
2021,2,80,"3,058",545,521,519,350,393,396,137,197
2021,2,90,442,83,70,75,55,59,64,21,15
2021,2,100,22,6,1,3,4,2,0,1,5
2021,3,총,"218,481","37,173","40,158","38,865","16,527","29,800","35,968","9,972","10,018"
2021,3,0,"24,880","4,586","5,371","3,697","2,661","2,704","4,390",719,752
2021,3,10,"23,473","3,917","4,681","6,192","1,350","2,182","3,618",758,775
2021,3,20,"27,324","4,156","4,428","4,904","1,192","4,621","4,983","1,743","1,297"
2021,3,30,"33,801","5,746","6,678","3,860","3,410","4,940","6,163","1,585","1,419"
2021,3,40,"38,693","6,718","7,495","8,437","2,819","4,313","5,938","1,449","1,524"
2021,3,50,"38,621","6,182","6,307","7,176","2,167","6,331","6,584","1,975","1,899"
2021,3,60,"20,662","3,733","3,412","2,736","1,827","3,279","2,889","1,199","1,587"
2021,3,70,"7,511","1,513","1,202","1,258",682,972,948,390,546
2021,3,80,"3,067",541,516,527,361,393,395,134,200
2021,3,90,432,77,67,75,55,64,60,20,14
2021,3,100,17,4,1,3,3,1,0,0,5
2021,4,총,"218,410","37,139","40,148","38,808","16,527","29,770","35,999","10,000","10,019"
2021,4,0,"24,740","4,557","5,337","3,657","2,651","2,701","4,383",712,742
2021,4,10,"23,522","3,942","4,692","6,187","1,369","2,169","3,623",762,778
2021,4,20,"27,231","4,147","4,415","4,904","1,176","4,588","4,957","1,747","1,297"
2021,4,30,"33,659","5,704","6,649","3,822","3,391","4,933","6,150","1,599","1,411"
2021,4,40,"38,732","6,707","7,510","8,417","2,840","4,321","5,944","1,461","1,532"
2021,4,50,"38,581","6,169","6,303","7,180","2,165","6,310","6,605","1,966","1,883"
2021,4,60,"20,859","3,779","3,439","2,762","1,837","3,311","2,925","1,202","1,604"
2021,4,70,"7,542","1,507","1,216","1,266",677,978,952,395,551
2021,4,80,"3,083",542,518,535,361,393,397,136,201
2021,4,90,443,81,68,74,57,65,63,20,15
2021,4,100,18,4,1,4,3,1,0,0,5
2021,5,총,"218,303","37,087","40,152","38,775","16,489","29,737","36,041","10,030","9,992"
2021,5,0,"24,616","4,520","5,315","3,616","2,634","2,688","4,384",713,746
2021,5,10,"23,533","3,954","4,703","6,196","1,371","2,157","3,617",764,771
2021,5,20,"27,159","4,124","4,412","4,905","1,166","4,566","4,952","1,754","1,280"
2021,5,30,"33,526","5,678","6,622","3,783","3,363","4,925","6,143","1,618","1,394"
2021,5,40,"38,670","6,673","7,518","8,389","2,848","4,325","5,928","1,459","1,530"
2021,5,50,"38,543","6,180","6,298","7,195","2,144","6,285","6,611","1,950","1,880"
2021,5,60,"21,086","3,812","3,455","2,803","1,860","3,345","2,973","1,219","1,619"
2021,5,70,"7,611","1,521","1,237","1,270",681,985,963,401,553
2021,5,80,"3,088",538,521,538,361,396,405,129,200
2021,5,90,453,83,70,76,58,64,65,23,14
2021,5,100,18,4,1,4,3,1,0,0,5
2021,6,총,"218,131","37,059","40,159","38,756","16,464","29,646","36,060","10,007","9,980"
2021,6,0,"24,516","4,511","5,291","3,593","2,613","2,690","4,364",713,741
2021,6,10,"23,564","3,969","4,714","6,183","1,387","2,146","3,629",763,773
2021,6,20,"26,987","4,087","4,405","4,907","1,152","4,499","4,913","1,745","1,279"
2021,6,30,"33,381","5,647","6,589","3,757","3,322","4,917","6,143","1,616","1,390"
2021,6,40,"38,685","6,696","7,539","8,383","2,874","4,301","5,913","1,454","1,525"
2021,6,50,"38,481","6,138","6,311","7,208","2,133","6,256","6,632","1,936","1,867"
2021,6,60,"21,290","3,849","3,472","2,838","1,868","3,378","3,025","1,226","1,634"
2021,6,70,"7,631","1,532","1,245","1,254",691,988,966,400,555
2021,6,80,"3,118",542,522,552,364,402,409,130,197
2021,6,90,460,84,70,77,58,67,66,24,14
2021,6,100,18,4,1,4,2,2,0,0,5
2021,7,총,"218,065","37,029","40,119","38,679","16,494","29,679","36,104","9,983","9,978"
2021,7,0,"24,426","4,479","5,282","3,569","2,604","2,694","4,355",710,733
2021,7,10,"23,644","3,989","4,717","6,168","1,414","2,153","3,661",756,786
2021,7,20,"26,784","4,054","4,369","4,890","1,134","4,463","4,849","1,750","1,275"
2021,7,30,"33,234","5,629","6,541","3,695","3,304","4,951","6,117","1,607","1,390"
2021,7,40,"38,704","6,693","7,536","8,372","2,897","4,293","5,946","1,449","1,518"
2021,7,50,"38,458","6,147","6,316","7,224","2,126","6,233","6,641","1,910","1,861"
2021,7,60,"21,527","3,880","3,509","2,865","1,892","3,427","3,076","1,242","1,636"
2021,7,70,"7,666","1,526","1,247","1,261",698,993,975,405,561
2021,7,80,"3,141",544,531,551,365,405,417,130,198
2021,7,90,463,84,70,80,58,65,67,24,15
2021,7,100,18,4,1,4,2,2,0,0,5
2021,8,총,"217,920","36,971","40,159","38,569","16,506","29,640","36,158","9,964","9,953"
2021,8,0,"24,333","4,448","5,277","3,528","2,591","2,692","4,358",707,732
2021,8,10,"23,629","4,000","4,727","6,153","1,430","2,133","3,668",749,769
2021,8,20,"26,610","4,000","4,340","4,858","1,128","4,434","4,821","1,766","1,263"
2021,8,30,"33,096","5,607","6,503","3,663","3,273","4,958","6,103","1,595","1,394"
2021,8,40,"38,673","6,689","7,573","8,310","2,922","4,268","5,958","1,444","1,509"
2021,8,50,"38,497","6,170","6,326","7,259","2,121","6,217","6,664","1,889","1,851"
2021,8,60,"21,725","3,891","3,547","2,890","1,913","3,455","3,118","1,259","1,652"
2021,8,70,"7,713","1,536","1,258","1,271",699,"1,008",980,400,561
2021,8,80,"3,161",545,535,554,365,409,420,132,201
2021,8,90,465,81,72,79,62,64,68,23,16
2021,8,100,18,4,1,4,2,2,0,0,5
2021,9,총,"217,736","36,981","40,176","38,499","16,462","29,569","36,159","9,966","9,924"
2021,9,0,"24,221","4,429","5,267","3,499","2,564","2,674","4,343",717,728
2021,9,10,"23,659","4,020","4,751","6,133","1,435","2,110","3,691",749,770
2021,9,20,"26,429","3,972","4,296","4,834","1,129","4,407","4,772","1,766","1,253"
2021,9,30,"32,911","5,564","6,493","3,650","3,227","4,917","6,085","1,584","1,391"
2021,9,40,"38,691","6,708","7,597","8,270","2,946","4,246","5,970","1,446","1,508"
2021,9,50,"38,581","6,190","6,338","7,304","2,120","6,225","6,677","1,878","1,849"
2021,9,60,"21,836","3,918","3,562","2,895","1,910","3,499","3,141","1,268","1,643"
2021,9,70,"7,762","1,543","1,264","1,285",707,"1,014",986,402,561
2021,9,80,"3,165",554,536,550,358,410,424,132,201
2021,9,90,462,79,71,75,64,65,70,24,14
2021,9,100,19,4,1,4,2,2,0,0,6
2021,10,총,"217,750","36,936","40,264","38,406","16,436","29,570","36,269","9,953","9,916"
2021,10,0,"24,164","4,410","5,245","3,455","2,571","2,685","4,353",719,726
2021,10,10,"23,663","4,003","4,785","6,112","1,437","2,102","3,704",748,772
2021,10,20,"26,237","3,946","4,257","4,819","1,102","4,368","4,742","1,751","1,252"
2021,10,30,"32,829","5,530","6,494","3,629","3,200","4,942","6,068","1,589","1,377"
2021,10,40,"38,729","6,721","7,635","8,231","2,957","4,236","6,007","1,443","1,499"
2021,10,50,"38,677","6,205","6,371","7,329","2,120","6,215","6,716","1,871","1,850"
2021,10,60,"22,000","3,933","3,593","2,914","1,909","3,532","3,190","1,275","1,654"
2021,10,70,"7,790","1,552","1,262","1,293",715,"1,016",984,402,566
2021,10,80,"3,180",554,549,545,358,408,434,132,200
2021,10,90,461,78,72,75,65,63,71,23,14
2021,10,100,20,4,1,4,2,3,0,0,6
2021,11,총,"218,258","36,807","41,165","38,271","16,436","29,500","36,306","9,891","9,882"
2021,11,0,"24,088","4,369","5,342","3,415","2,561","2,653","4,324",704,720
2021,11,10,"23,735","3,984","4,888","6,094","1,442","2,089","3,721",752,765
2021,11,20,"26,201","3,912","4,339","4,797","1,095","4,352","4,750","1,719","1,237"
2021,11,30,"32,840","5,466","6,699","3,606","3,187","4,907","6,025","1,577","1,373"
2021,11,40,"38,855","6,719","7,814","8,154","2,961","4,232","6,038","1,446","1,491"
2021,11,50,"38,792","6,194","6,506","7,338","2,111","6,211","6,736","1,857","1,839"
2021,11,60,"22,204","3,967","3,661","2,942","1,930","3,554","3,207","1,281","1,662"
2021,11,70,"7,850","1,552","1,285","1,292",722,"1,029",997,403,570
2021,11,80,"3,204",560,557,555,358,404,434,132,204
2021,11,90,469,80,73,73,67,67,74,20,15
2021,11,100,20,4,1,5,2,2,0,0,6
2021,12,총,"218,735","36,757","41,750","38,117","16,403","29,520","36,399","9,883","9,906"
2021,12,0,"24,039","4,330","5,429","3,363","2,528","2,655","4,311",706,717
2021,12,10,"23,783","3,995","4,933","6,075","1,460","2,082","3,729",747,762
2021,12,20,"26,213","3,888","4,395","4,786","1,077","4,343","4,754","1,724","1,246"
2021,12,30,"32,810","5,419","6,811","3,552","3,162","4,898","6,007","1,578","1,383"
2021,12,40,"39,009","6,737","7,934","8,107","2,984","4,239","6,077","1,448","1,483"
2021,12,50,"38,898","6,189","6,609","7,347","2,110","6,201","6,745","1,842","1,855"
2021,12,60,"22,365","3,974","3,708","2,962","1,932","3,584","3,256","1,283","1,666"
2021,12,70,"7,904","1,573","1,293","1,285",725,"1,044","1,009",405,570
2021,12,80,"3,224",569,557,562,355,408,438,129,206
2021,12,90,473,79,80,73,68,64,72,21,16
2021,12,100,17,4,1,5,2,2,1,0,2
