년도,월,나이,정선군,정선읍,고한읍,사북읍,신동읍,신동읍함백출장소,남면,북평면,임계면,화암면,여량면
2020,9,70,"2,503",620,302,259,171,165,191,195,294,134,172
2020,9,80,"1,427",347,120,99,91,91,115,150,217,85,112
2020,9,90,273,90,19,13,10,19,18,30,38,20,16
2020,9,100,30,11,6,2,0,4,1,1,3,1,1
2020,10,총,"17,747","5,278","2,227","2,281",897,844,"1,540","1,289","1,659",774,958
2020,10,0,841,302,128,145,36,24,72,52,53,14,15
2020,10,10,"1,243",483,128,182,63,50,91,89,67,43,47
2020,10,20,"1,229",442,156,169,51,50,93,70,100,44,54
2020,10,30,"1,369",443,294,232,40,40,118,67,66,28,41
2020,10,40,"2,090",803,277,323,77,70,173,129,111,65,62
2020,10,50,"3,181",895,338,410,176,143,312,235,327,152,193
2020,10,60,"3,546",842,453,447,181,189,348,273,383,190,240
2020,10,70,"2,504",616,303,257,171,164,199,193,291,134,176
2020,10,80,"1,437",349,124,101,92,92,115,149,219,84,112
2020,10,90,277,92,20,13,10,18,18,31,39,19,17
2020,10,100,30,11,6,2,0,4,1,1,3,1,1
2020,11,총,"17,738","5,282","2,234","2,278",896,838,"1,537","1,276","1,659",778,960
2020,11,0,844,306,128,142,37,23,74,51,52,14,17
2020,11,10,"1,235",485,126,182,63,50,89,84,67,42,47
2020,11,20,"1,221",439,155,170,49,48,95,68,97,45,55
2020,11,30,"1,363",447,294,228,41,39,115,66,67,27,39
2020,11,40,"2,084",800,280,326,77,69,167,126,112,67,60
2020,11,50,"3,181",893,342,408,173,143,313,233,326,155,195
2020,11,60,"3,564",844,458,448,182,187,349,273,389,192,242
2020,11,70,"2,501",616,302,256,171,166,201,193,289,133,174
2020,11,80,"1,442",350,124,103,93,91,116,150,218,83,114
2020,11,90,273,91,19,13,10,18,17,31,39,19,16
2020,11,100,30,11,6,2,0,4,1,1,3,1,1
2020,12,총,"17,696","5,271","2,230","2,281",897,838,"1,526","1,264","1,653",771,965
2020,12,0,843,306,129,143,36,24,75,48,51,14,17
2020,12,10,"1,222",482,123,184,60,49,86,82,67,42,47
2020,12,20,"1,212",437,153,171,52,51,91,68,92,41,56
2020,12,30,"1,354",448,293,226,42,37,112,60,69,27,40
2020,12,40,"2,077",797,277,330,78,67,167,127,109,65,60
2020,12,50,"3,160",888,344,396,169,146,311,227,330,156,193
2020,12,60,"3,584",846,459,453,186,186,350,278,390,191,245
2020,12,70,"2,492",611,302,259,169,166,199,193,285,133,175
2020,12,80,"1,450",357,126,104,94,90,117,149,219,82,112
2020,12,90,272,88,18,13,11,18,17,31,38,19,19
2020,12,100,30,11,6,2,0,4,1,1,3,1,1
2021,1,총,"17,656","5,255","2,238","2,272",899,838,"1,517","1,257","1,647",774,959
2021,1,0,833,303,130,141,33,24,73,47,51,14,17
2021,1,10,"1,224",481,125,182,61,49,85,84,68,43,46
2021,1,20,"1,193",430,152,169,52,51,88,67,89,40,55
2021,1,30,"1,347",449,295,219,42,36,112,61,65,28,40
2021,1,40,"2,066",793,275,327,80,63,168,123,109,68,60
2021,1,50,"3,147",879,351,400,169,148,303,225,326,156,190
2021,1,60,"3,601",852,457,454,187,188,355,278,392,194,244
2021,1,70,"2,484",610,302,260,170,166,198,191,284,132,171
2021,1,80,"1,458",361,127,104,94,91,117,147,223,78,116
2021,1,90,274,86,18,14,11,18,17,33,38,20,19
2021,1,100,29,11,6,2,0,4,1,1,2,1,1
2021,2,총,"17,633","5,225","2,245","2,265",898,838,"1,523","1,254","1,648",778,959
2021,2,0,835,299,133,142,34,24,69,46,52,18,18
2021,2,10,"1,216",480,124,180,61,49,87,83,68,40,44
2021,2,20,"1,183",416,155,170,50,49,88,68,88,43,56
2021,2,30,"1,332",441,294,215,41,37,111,61,62,30,40
2021,2,40,"2,056",782,278,326,83,62,167,123,108,67,60
2021,2,50,"3,124",883,348,394,166,150,301,217,326,153,186
2021,2,60,"3,626",855,460,456,189,187,364,282,391,195,247
2021,2,70,"2,496",610,303,260,170,167,199,195,290,132,170
2021,2,80,"1,462",362,125,107,93,92,119,145,223,79,117
2021,2,90,274,86,19,13,11,17,17,33,38,20,20
2021,2,100,29,11,6,2,0,4,1,1,2,1,1
2021,3,총,"17,283","5,151","2,122","2,239",888,792,"1,498","1,243","1,645",759,946
2021,3,0,829,298,132,143,35,22,69,43,51,18,18
2021,3,10,"1,203",479,126,173,59,46,87,84,70,39,40
2021,3,20,"1,158",403,159,166,47,50,88,65,82,39,59
2021,3,30,"1,307",438,284,212,43,31,107,61,62,30,39
2021,3,40,"2,008",769,270,315,82,57,164,124,104,65,58
2021,3,50,"3,047",865,320,396,158,143,292,218,328,151,176
2021,3,60,"3,573",854,434,453,189,179,356,274,395,190,249
2021,3,70,"2,444",604,272,262,168,161,198,192,289,132,166
2021,3,80,"1,449",357,112,106,96,90,120,148,224,76,120
2021,3,90,255,81,13,12,11,12,16,33,38,19,20
2021,3,100,10,3,0,1,0,1,1,1,2,0,1
2021,4,총,"17,253","5,134","2,114","2,234",884,785,"1,497","1,247","1,655",763,940
2021,4,0,832,301,130,137,34,23,70,47,53,19,18
2021,4,10,"1,196",467,129,173,61,44,88,85,71,40,38
2021,4,20,"1,152",405,156,164,45,49,88,65,81,39,60
2021,4,30,"1,300",437,282,211,42,32,105,61,61,30,39
2021,4,40,"1,994",765,265,314,81,56,160,125,105,65,58
2021,4,50,"3,028",859,318,398,157,139,292,214,329,151,171
2021,4,60,"3,585",855,435,456,191,181,358,274,397,190,248
2021,4,70,"2,445",604,273,261,168,160,198,190,292,132,167
2021,4,80,"1,455",357,113,106,95,88,121,152,226,78,119
2021,4,90,256,81,13,13,10,12,16,33,38,19,21
2021,4,100,10,3,0,1,0,1,1,1,2,0,1
2021,5,총,"17,248","5,133","2,120","2,226",887,784,"1,501","1,247","1,649",763,938
2021,5,0,825,298,130,133,31,24,72,47,53,19,18
2021,5,10,"1,194",464,131,175,65,44,89,84,70,37,35
2021,5,20,"1,141",400,153,160,46,48,86,65,81,42,60
2021,5,30,"1,299",440,285,210,41,30,105,59,59,30,40
2021,5,40,"1,994",762,262,319,81,58,160,130,101,65,56
2021,5,50,"3,024",861,323,390,157,138,292,213,326,151,173
2021,5,60,"3,598",855,438,458,195,181,361,275,400,187,248
2021,5,70,"2,450",608,273,261,165,160,199,190,292,135,167
2021,5,80,"1,451",360,111,105,96,88,121,149,225,78,118
2021,5,90,262,82,14,14,10,12,15,34,40,19,22
2021,5,100,10,3,0,1,0,1,1,1,2,0,1
2021,6,총,"17,237","5,123","2,107","2,229",882,784,"1,509","1,248","1,649",763,943
2021,6,0,824,293,132,135,31,24,71,47,52,20,19
2021,6,10,"1,187",460,130,176,65,43,89,84,70,37,33
2021,6,20,"1,133",397,148,160,43,49,87,65,80,42,62
2021,6,30,"1,293",439,281,207,43,30,105,60,59,29,40
2021,6,40,"1,992",763,259,320,81,59,162,127,101,65,55
2021,6,50,"3,012",861,321,391,153,138,290,216,324,146,172
2021,6,60,"3,629",860,437,459,198,181,366,277,408,192,251
2021,6,70,"2,432",605,274,261,162,158,203,188,285,132,164
2021,6,80,"1,466",361,111,106,97,90,120,149,228,81,123
2021,6,90,259,81,14,13,9,11,15,34,40,19,23
2021,6,100,10,3,0,1,0,1,1,1,2,0,1
2021,7,총,"17,202","5,107","2,097","2,233",880,785,"1,507","1,246","1,645",761,941
2021,7,0,813,289,131,136,30,24,70,44,49,21,19
2021,7,10,"1,191",460,130,176,64,43,90,89,71,36,32
2021,7,20,"1,131",394,145,163,46,48,85,63,82,43,62
2021,7,30,"1,275",431,279,207,41,32,100,60,56,29,40
2021,7,40,"1,994",756,261,326,80,60,164,128,102,64,53
2021,7,50,"2,984",861,317,385,149,137,285,216,321,144,169
2021,7,60,"3,650",863,439,459,200,179,371,278,411,193,257
2021,7,70,"2,416",600,270,260,162,158,202,187,283,131,163
2021,7,80,"1,478",368,112,107,99,92,123,145,228,81,123
2021,7,90,260,82,13,13,9,11,16,35,40,19,22
2021,7,100,10,3,0,1,0,1,1,1,2,0,1
2021,8,총,"17,174","5,099","2,089","2,229",884,782,"1,512","1,238","1,642",759,940
2021,8,0,809,286,130,135,31,24,70,44,49,21,19
2021,8,10,"1,189",464,131,174,65,41,92,85,71,35,31
2021,8,20,"1,120",390,146,162,47,49,82,62,78,42,62
2021,8,30,"1,269",429,278,205,41,31,98,61,56,30,40
2021,8,40,"1,984",748,260,325,83,58,169,124,103,60,54
2021,8,50,"2,968",856,313,388,147,137,288,214,314,145,166
2021,8,60,"3,666",870,435,459,201,180,373,278,415,196,259
2021,8,70,"2,413",602,268,259,159,158,201,187,287,129,163
2021,8,80,"1,484",368,115,108,101,92,120,148,227,81,124
2021,8,90,262,83,13,13,9,11,18,34,40,20,21
2021,8,100,10,3,0,1,0,1,1,1,2,0,1
2021,9,총,"17,110","5,079","2,087","2,220",878,784,"1,501","1,237","1,634",750,940
2021,9,0,806,286,131,133,32,24,67,44,49,21,19
2021,9,10,"1,178",458,129,176,63,43,91,84,68,34,32
2021,9,20,"1,096",384,141,161,44,50,78,63,74,39,62
2021,9,30,"1,257",429,278,202,39,29,94,62,55,30,39
2021,9,40,"1,977",739,260,322,83,59,174,125,104,56,55
2021,9,50,"2,945",851,311,388,147,135,282,211,311,146,163
2021,9,60,"3,679",877,437,456,202,180,375,279,418,195,260
2021,9,70,"2,411",601,269,257,160,157,199,188,289,128,163
2021,9,80,"1,493",369,118,111,99,95,122,146,225,83,125
2021,9,90,259,83,13,13,9,11,18,34,39,18,21
2021,9,100,9,2,0,1,0,1,1,1,2,0,1
2021,10,총,"17,074","5,083","2,069","2,230",879,788,"1,489","1,229","1,620",745,942
2021,10,0,805,291,128,137,33,24,63,40,48,22,19
2021,10,10,"1,171",453,129,176,63,45,91,81,68,34,31
2021,10,20,"1,079",380,135,164,44,49,76,61,73,37,60
2021,10,30,"1,249",428,272,198,39,30,95,64,54,30,39
2021,10,40,"1,973",744,260,326,81,59,170,121,102,55,55
2021,10,50,"2,931",846,304,387,149,136,278,213,312,143,163
2021,10,60,"3,698",889,438,459,203,180,377,277,415,198,262
2021,10,70,"2,403",598,272,259,160,154,194,190,286,125,165
2021,10,80,"1,499",368,117,111,98,99,126,146,224,84,126
2021,10,90,259,84,14,12,9,11,18,35,38,17,21
2021,10,100,7,2,0,1,0,1,1,1,0,0,1
2021,11,총,"17,066","5,077","2,064","2,243",877,791,"1,487","1,231","1,616",745,935
2021,11,0,794,286,130,136,34,24,60,37,46,22,19
2021,11,10,"1,172",455,124,180,63,45,92,81,69,33,30
2021,11,20,"1,070",380,130,164,42,47,74,61,74,40,58
2021,11,30,"1,237",426,273,190,40,30,93,63,54,30,38
2021,11,40,"1,975",744,263,331,81,58,168,121,99,56,54
2021,11,50,"2,936",845,299,395,149,135,278,217,313,142,163
2021,11,60,"3,715",892,439,462,200,185,381,280,417,197,262
2021,11,70,"2,393",595,271,257,162,153,196,187,283,124,165
2021,11,80,"1,510",367,121,115,97,101,126,149,224,85,125
2021,11,90,257,85,14,12,9,12,18,34,37,16,20
2021,11,100,7,2,0,1,0,1,1,1,0,0,1
2021,12,총,"17,110","5,094","2,073","2,250",874,798,"1,486","1,224","1,630",741,940
2021,12,0,793,289,130,136,34,25,60,35,45,20,19
2021,12,10,"1,172",453,125,182,61,45,94,80,70,32,30
2021,12,20,"1,093",386,134,166,44,49,75,60,79,39,61
2021,12,30,"1,227",424,271,191,37,31,91,61,54,29,38
2021,12,40,"1,970",743,264,329,79,60,168,118,100,54,55
2021,12,50,"2,938",849,299,397,150,131,275,220,315,143,159
2021,12,60,"3,730",890,440,464,202,188,380,279,421,199,267
2021,12,70,"2,396",602,276,254,162,153,194,186,280,122,167
2021,12,80,"1,522",371,120,118,96,103,128,148,229,86,123
2021,12,90,262,85,14,12,9,12,20,36,37,17,20
2021,12,100,7,2,0,1,0,1,1,1,0,0,1
