년도,월,나이,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020,11,총,"93,309","7,592","6,597","7,804","14,516","5,871","13,848","10,012","5,113","7,124","14,832"
2020,11,0,"5,026",372,422,298,822,341,608,549,144,371,"1,099"
2020,11,10,"5,773",588,596,320,936,399,762,645,207,421,899
2020,11,20,"12,460",933,673,907,"1,507",554,"2,820","1,550","1,041",897,"1,578"
2020,11,30,"11,981",858,658,860,"1,710",688,"2,024","1,381",701,"1,017","2,084"
2020,11,40,"12,987","1,119","1,093",890,"1,849",829,"1,882","1,463",595,"1,082","2,185"
2020,11,50,"15,024","1,322","1,228","1,245","2,402",989,"1,960","1,493",721,"1,135","2,529"
2020,11,60,"15,782","1,189","1,041","1,658","2,812","1,095","2,013","1,465",851,"1,155","2,503"
2020,11,70,"9,408",751,560,"1,077","1,585",693,"1,188","1,004",572,654,"1,324"
2020,11,80,"4,161",387,253,476,767,232,509,409,245,344,539
2020,11,90,659,68,66,68,121,47,78,48,31,43,89
2020,11,100,48,5,7,5,5,4,4,5,5,5,3
2020,12,총,"93,321","7,584","6,603","7,782","14,554","5,840","13,865","10,002","5,081","7,202","14,808"
2020,12,0,"5,019",374,426,285,822,340,606,549,145,371,"1,101"
2020,12,10,"5,736",592,588,317,937,390,752,635,200,431,894
2020,12,20,"12,510",925,672,908,"1,513",554,"2,848","1,563","1,033",908,"1,586"
2020,12,30,"11,986",862,662,850,"1,715",679,"2,034","1,387",698,"1,026","2,073"
2020,12,40,"12,953","1,104","1,094",879,"1,865",821,"1,865","1,463",587,"1,107","2,168"
2020,12,50,"14,997","1,319","1,227","1,246","2,377",986,"1,973","1,475",709,"1,151","2,534"
2020,12,60,"15,817","1,192","1,038","1,663","2,840","1,099","2,011","1,461",866,"1,154","2,493"
2020,12,70,"9,410",756,572,"1,074","1,586",684,"1,182","1,007",569,658,"1,322"
2020,12,80,"4,189",388,251,487,771,237,516,409,237,346,547
2020,12,90,657,67,66,68,123,46,74,48,33,45,87
2020,12,100,47,5,7,5,5,4,4,5,4,5,3
2021,1,총,"93,228","7,579","6,600","7,784","14,511","5,828","13,833","10,030","5,051","7,232","14,780"
2021,1,0,"4,987",373,428,280,816,341,595,546,142,375,"1,091"
2021,1,10,"5,723",602,580,319,934,386,744,635,200,436,887
2021,1,20,"12,497",920,678,921,"1,490",548,"2,851","1,576","1,022",915,"1,576"
2021,1,30,"11,938",853,663,835,"1,690",672,"2,024","1,397",699,"1,036","2,069"
2021,1,40,"12,905","1,100","1,081",879,"1,858",821,"1,852","1,459",586,"1,117","2,152"
2021,1,50,"14,941","1,315","1,223","1,238","2,374",974,"1,963","1,475",700,"1,148","2,531"
2021,1,60,"15,899","1,200","1,048","1,676","2,851","1,104","2,029","1,461",863,"1,157","2,510"
2021,1,70,"9,408",754,571,"1,072","1,591",691,"1,178","1,012",566,656,"1,317"
2021,1,80,"4,230",392,255,490,778,243,518,416,236,344,558
2021,1,90,654,65,66,70,124,44,75,48,33,43,86
2021,1,100,46,5,7,4,5,4,4,5,4,5,3
2021,2,총,"93,191","7,608","6,586","7,769","14,477","5,808","13,864","10,021","5,026","7,273","14,759"
2021,2,0,"4,982",382,428,274,816,336,596,542,142,383,"1,083"
2021,2,10,"5,680",596,575,321,920,383,736,625,196,446,882
2021,2,20,"12,480",945,662,917,"1,478",550,"2,832","1,583","1,024",921,"1,568"
2021,2,30,"11,905",853,665,829,"1,671",665,"2,043","1,397",682,"1,032","2,068"
2021,2,40,"12,912","1,097","1,084",880,"1,869",818,"1,863","1,452",580,"1,128","2,141"
2021,2,50,"14,887","1,313","1,226","1,236","2,360",972,"1,958","1,467",688,"1,146","2,521"
2021,2,60,"15,974","1,208","1,052","1,669","2,869","1,105","2,050","1,471",865,"1,161","2,524"
2021,2,70,"9,408",750,570,"1,073","1,583",686,"1,176","1,011",576,664,"1,319"
2021,2,80,"4,251",393,253,493,785,243,526,419,236,341,562
2021,2,90,664,66,64,73,121,46,79,49,32,46,88
2021,2,100,48,5,7,4,5,4,5,5,5,5,3
2021,3,총,"92,865","7,564","6,571","7,733","14,432","5,752","13,791","9,989","4,987","7,325","14,721"
2021,3,0,"4,965",377,435,266,813,330,588,530,134,406,"1,086"
2021,3,10,"5,641",587,576,320,924,375,712,622,197,453,875
2021,3,20,"12,443",946,656,913,"1,472",540,"2,829","1,559","1,025",935,"1,568"
2021,3,30,"11,925",855,659,831,"1,657",652,"2,055","1,405",683,"1,059","2,069"
2021,3,40,"12,818","1,081","1,083",884,"1,861",806,"1,832","1,444",576,"1,123","2,128"
2021,3,50,"14,760","1,309","1,227","1,203","2,347",963,"1,944","1,460",674,"1,133","2,500"
2021,3,60,"15,984","1,207","1,047","1,677","2,873","1,107","2,051","1,478",860,"1,158","2,526"
2021,3,70,"9,386",740,571,"1,068","1,577",688,"1,166","1,012",571,674,"1,319"
2021,3,80,"4,264",395,250,495,785,242,533,425,237,344,558
2021,3,90,653,66,62,72,121,48,77,49,29,38,91
2021,3,100,26,1,5,4,2,1,4,5,1,2,1
2021,4,총,"92,956","7,561","6,582","7,716","14,419","5,745","13,822","9,979","4,971","7,407","14,754"
2021,4,0,"4,968",371,436,264,806,329,590,531,133,408,"1,100"
2021,4,10,"5,659",585,581,319,925,378,705,629,197,463,877
2021,4,20,"12,442",941,654,908,"1,462",540,"2,854","1,550","1,027",937,"1,569"
2021,4,30,"11,927",854,663,821,"1,662",646,"2,064","1,398",670,"1,075","2,074"
2021,4,40,"12,819","1,076","1,081",881,"1,870",805,"1,818","1,443",572,"1,136","2,137"
2021,4,50,"14,709","1,318","1,222","1,205","2,316",962,"1,937","1,454",668,"1,149","2,478"
2021,4,60,"16,036","1,199","1,051","1,668","2,883","1,105","2,065","1,484",864,"1,166","2,551"
2021,4,70,"9,430",752,577,"1,078","1,585",688,"1,173","1,013",571,680,"1,313"
2021,4,80,"4,278",399,250,495,783,243,535,420,241,352,560
2021,4,90,661,65,61,73,125,48,77,52,27,39,94
2021,4,100,27,1,6,4,2,1,4,5,1,2,1
2021,5,총,"92,852","7,532","6,555","7,703","14,409","5,704","13,777","9,994","4,967","7,434","14,777"
2021,5,0,"4,960",372,434,269,797,324,584,531,132,419,"1,098"
2021,5,10,"5,653",587,575,314,935,372,700,628,195,466,881
2021,5,20,"12,398",935,650,902,"1,454",535,"2,861","1,534","1,025",937,"1,565"
2021,5,30,"11,908",833,665,822,"1,675",636,"2,050","1,408",672,"1,077","2,070"
2021,5,40,"12,780","1,076","1,067",872,"1,874",802,"1,803","1,446",572,"1,138","2,130"
2021,5,50,"14,636","1,320","1,216","1,189","2,298",954,"1,919","1,450",664,"1,154","2,472"
2021,5,60,"16,084","1,198","1,051","1,674","2,875","1,105","2,069","1,503",862,"1,169","2,578"
2021,5,70,"9,440",747,581,"1,079","1,596",683,"1,168","1,017",570,680,"1,319"
2021,5,80,"4,303",395,251,503,782,243,541,420,246,353,569
2021,5,90,663,68,59,75,121,49,78,52,28,39,94
2021,5,100,27,1,6,4,2,1,4,5,1,2,1
2021,6,총,"92,806","7,519","6,539","7,702","14,387","5,678","13,758","10,002","4,945","7,500","14,776"
2021,6,0,"4,959",377,433,270,796,324,575,526,135,423,"1,100"
2021,6,10,"5,632",582,572,311,930,366,704,619,195,470,883
2021,6,20,"12,404",941,640,909,"1,451",530,"2,866","1,546","1,015",948,"1,558"
2021,6,30,"11,867",822,662,822,"1,666",630,"2,054","1,403",669,"1,072","2,067"
2021,6,40,"12,766","1,075","1,069",864,"1,883",804,"1,780","1,446",568,"1,157","2,120"
2021,6,50,"14,598","1,317","1,196","1,192","2,287",947,"1,915","1,453",657,"1,161","2,473"
2021,6,60,"16,113","1,198","1,063","1,669","2,871","1,103","2,060","1,512",861,"1,190","2,586"
2021,6,70,"9,468",741,587,"1,075","1,603",678,"1,185","1,020",570,680,"1,329"
2021,6,80,"4,305",397,248,509,779,247,533,422,246,360,564
2021,6,90,667,68,63,77,119,48,82,50,28,37,95
2021,6,100,27,1,6,4,2,1,4,5,1,2,1
2021,7,총,"92,712","7,482","6,527","7,703","14,370","5,656","13,783","10,030","4,938","7,480","14,743"
2021,7,0,"4,916",371,430,271,786,308,563,529,130,428,"1,100"
2021,7,10,"5,617",579,573,312,926,364,716,619,194,463,871
2021,7,20,"12,368",922,638,897,"1,441",525,"2,890","1,559","1,026",930,"1,540"
2021,7,30,"11,852",809,652,822,"1,661",629,"2,062","1,414",668,"1,072","2,063"
2021,7,40,"12,730","1,072","1,072",867,"1,883",804,"1,761","1,439",560,"1,157","2,115"
2021,7,50,"14,578","1,319","1,199","1,181","2,281",949,"1,920","1,458",654,"1,156","2,461"
2021,7,60,"16,162","1,204","1,062","1,679","2,883","1,104","2,064","1,512",858,"1,199","2,597"
2021,7,70,"9,463",740,587,"1,073","1,605",677,"1,185","1,018",573,676,"1,329"
2021,7,80,"4,332",395,246,518,786,250,536,426,246,358,571
2021,7,90,667,70,62,78,117,45,82,51,28,39,95
2021,7,100,27,1,6,5,1,1,4,5,1,2,1
2021,8,총,"92,775","7,491","6,508","7,692","14,353","5,622","13,839","10,032","4,986","7,505","14,747"
2021,8,0,"4,903",369,423,268,781,305,569,530,128,434,"1,096"
2021,8,10,"5,606",575,568,315,932,359,715,612,197,462,871
2021,8,20,"12,400",923,632,880,"1,423",528,"2,910","1,563","1,060",939,"1,542"
2021,8,30,"11,847",811,645,829,"1,659",617,"2,074","1,408",679,"1,060","2,065"
2021,8,40,"12,734","1,074","1,064",862,"1,886",801,"1,778","1,437",566,"1,157","2,109"
2021,8,50,"14,556","1,318","1,205","1,182","2,266",943,"1,910","1,465",647,"1,155","2,465"
2021,8,60,"16,179","1,210","1,065","1,676","2,891","1,099","2,064","1,505",858,"1,208","2,603"
2021,8,70,"9,485",739,585,"1,077","1,603",674,"1,194","1,022",578,681,"1,332"
2021,8,80,"4,366",398,255,521,795,252,535,431,244,368,567
2021,8,90,672,73,60,77,116,43,86,54,28,39,96
2021,8,100,27,1,6,5,1,1,4,5,1,2,1
2021,9,총,"92,782","7,496","6,501","7,703","14,346","5,564","13,860","10,037","4,992","7,502","14,781"
2021,9,0,"4,876",370,415,278,774,301,560,524,130,438,"1,086"
2021,9,10,"5,592",571,567,315,937,354,709,613,194,463,869
2021,9,20,"12,408",931,638,871,"1,414",525,"2,918","1,556","1,081",928,"1,546"
2021,9,30,"11,837",811,636,827,"1,648",615,"2,078","1,408",677,"1,061","2,076"
2021,9,40,"12,719","1,071","1,059",869,"1,891",779,"1,775","1,445",567,"1,158","2,105"
2021,9,50,"14,559","1,310","1,213","1,181","2,263",942,"1,914","1,471",640,"1,146","2,479"
2021,9,60,"16,204","1,214","1,062","1,675","2,895","1,087","2,077","1,506",858,"1,218","2,612"
2021,9,70,"9,507",745,589,"1,081","1,608",667,"1,197","1,023",580,682,"1,335"
2021,9,80,"4,386",399,256,528,800,250,541,433,237,369,573
2021,9,90,667,72,60,73,115,43,87,53,27,38,99
2021,9,100,27,2,6,5,1,1,4,5,1,1,1
2021,10,총,"92,670","7,475","6,456","7,689","14,345","5,527","13,868","10,012","4,991","7,506","14,801"
2021,10,0,"4,852",366,417,280,769,296,556,517,130,441,"1,080"
2021,10,10,"5,553",561,554,314,939,352,704,602,193,461,873
2021,10,20,"12,371",925,627,871,"1,407",528,"2,910","1,564","1,086",918,"1,535"
2021,10,30,"11,843",816,629,815,"1,643",609,"2,083","1,407",675,"1,065","2,101"
2021,10,40,"12,683","1,052","1,063",865,"1,894",772,"1,772","1,440",572,"1,153","2,100"
2021,10,50,"14,540","1,328","1,188","1,179","2,263",939,"1,917","1,462",636,"1,151","2,477"
2021,10,60,"16,204","1,206","1,067","1,675","2,896","1,076","2,080","1,509",853,"1,217","2,625"
2021,10,70,"9,527",747,583,"1,077","1,620",662,"1,217","1,017",583,684,"1,337"
2021,10,80,"4,402",399,259,535,800,250,536,436,236,376,575
2021,10,90,667,73,63,73,113,42,89,52,26,39,97
2021,10,100,28,2,6,5,1,1,4,6,1,1,1
2021,11,총,"92,599","7,474","6,428","7,673","14,345","5,471","13,860","10,009","5,060","7,515","14,764"
2021,11,0,"4,823",365,402,273,768,298,552,514,130,445,"1,076"
2021,11,10,"5,544",556,566,311,931,346,699,606,197,465,867
2021,11,20,"12,347",919,610,860,"1,403",522,"2,919","1,552","1,132",894,"1,536"
2021,11,30,"11,830",821,621,813,"1,653",602,"2,067","1,401",694,"1,069","2,089"
2021,11,40,"12,672","1,048","1,056",865,"1,888",764,"1,779","1,437",576,"1,155","2,104"
2021,11,50,"14,537","1,340","1,189","1,171","2,264",937,"1,915","1,468",634,"1,158","2,461"
2021,11,60,"16,182","1,199","1,075","1,679","2,890","1,065","2,079","1,509",857,"1,213","2,616"
2021,11,70,"9,553",749,582,"1,087","1,631",658,"1,214","1,025",573,693,"1,341"
2021,11,80,"4,407",400,258,533,799,238,541,439,240,382,577
2021,11,90,676,75,63,76,117,40,91,52,26,40,96
2021,11,100,28,2,6,5,1,1,4,6,1,1,1
2021,12,총,"92,486","7,477","6,426","7,639","14,326","5,433","13,835","10,012","5,063","7,508","14,767"
2021,12,0,"4,799",371,403,269,769,294,542,504,127,448,"1,072"
2021,12,10,"5,544",557,560,308,936,338,693,614,201,464,873
2021,12,20,"12,300",922,606,851,"1,385",515,"2,917","1,555","1,144",879,"1,526"
2021,12,30,"11,794",817,612,802,"1,642",595,"2,062","1,408",691,"1,076","2,089"
2021,12,40,"12,643","1,049","1,055",864,"1,882",751,"1,775","1,440",577,"1,151","2,099"
2021,12,50,"14,536","1,338","1,196","1,164","2,266",929,"1,906","1,463",640,"1,169","2,465"
2021,12,60,"16,176","1,198","1,085","1,673","2,883","1,072","2,084","1,503",845,"1,209","2,624"
2021,12,70,"9,572",754,581,"1,094","1,642",659,"1,220","1,020",572,686,"1,344"
2021,12,80,"4,422",394,260,539,801,238,540,446,239,386,579
2021,12,90,678,75,64,74,119,41,92,53,26,39,95
2021,12,100,22,2,4,1,1,1,4,6,1,1,1
