년도,월,나이,서구,검암경서동,연희동,청라1동,청라2동,청라3동,가정1동,가정2동,가정3동,석남1동,석남2동,석남3동,신현원창동,가좌1동,가좌2동,가좌3동,가좌4동,검단동,불로대곡동,원당동,당하동,오류왕길동,마전동,아라동
2020,5,0,"51,879","4,961","2,559","4,044","7,139","4,261","3,410",359,516,"1,311",800,662,"2,852",597,"1,476",735,791,"2,845","2,062","2,653","3,139","2,419","2,288",
2020,5,10,"57,103","4,505","3,688","4,409","6,203","3,537","2,133",466,799,"1,637",953,"1,342","3,087",899,"1,998","1,341",799,"3,486","2,894","3,525","3,364","2,737","3,301",
2020,5,20,"73,449","6,576","6,752","3,857","5,861","2,904","3,577","1,078","1,646","3,378","1,804","2,357","4,439","1,702","3,126","2,336","1,484","4,800","2,888","2,685","3,844","3,178","3,177",
2020,5,30,"81,457","8,701","5,111","6,076","8,556","5,010","5,138",916,"1,212","2,994","1,636","1,618","4,631","1,505","2,643","1,883","1,712","4,815","2,644","3,504","4,787","3,374","2,991",
2020,5,40,"96,058","8,573","6,547","6,495","9,940","5,437","4,514",874,"1,390","3,362","1,970","2,265","5,111","1,916","3,046","2,335","1,617","5,978","4,584","5,629","5,522","4,396","4,557",
2020,5,50,"93,305","6,823","8,849","3,948","6,553","3,588","4,690","1,631","2,330","4,822","2,825","3,237","6,126","2,567","4,092","3,443","2,046","5,808","3,861","3,444","4,429","4,423","3,770",
2020,5,60,"55,306","3,869","4,950","1,781","3,271","1,714","3,178",944,"1,376","3,340","2,207","2,100","4,107","1,692","2,777","2,717","1,594","3,266","2,108","1,739","2,049","2,600","1,927",
2020,5,70,"23,742","1,668","2,233",654,"1,134",512,"1,272",277,510,"1,431","1,023",980,"1,522",841,"1,051","1,252",618,"1,517","1,284",949,910,"1,141",963,
2020,5,80,"10,017",609,"1,088",300,431,231,512,129,245,582,416,403,556,325,463,519,258,622,595,384,413,531,405,
2020,5,90,"1,593",98,193,43,70,41,93,34,27,91,59,52,92,44,85,76,63,97,47,59,58,97,74,
2020,5,100,101,6,11,2,2,1,7,7,2,9,4,1,7,3,2,7,6,10,5,5,2,1,1,
2020,6,총,"544,136","46,318","41,842","31,542","49,173","27,952","28,499","6,699","9,995","22,950","13,622","14,965","32,473","12,135","20,726","16,644","10,988","33,158","23,000","24,610","28,508","24,887","23,450",
2020,6,0,"51,772","4,911","2,546","4,048","7,121","4,387","3,406",357,509,"1,307",783,662,"2,845",609,"1,470",723,791,"2,817","2,052","2,661","3,105","2,401","2,261",
2020,6,10,"57,065","4,476","3,676","4,382","6,205","3,603","2,139",463,797,"1,635",949,"1,318","3,090",894,"1,997","1,334",797,"3,463","2,913","3,512","3,360","2,735","3,327",
2020,6,20,"73,278","6,592","6,692","3,856","5,848","2,980","3,561","1,064","1,639","3,360","1,780","2,335","4,406","1,700","3,094","2,365","1,471","4,765","2,871","2,707","3,857","3,166","3,169",
2020,6,30,"81,308","8,621","5,090","6,041","8,575","5,186","5,101",905,"1,209","2,989","1,634","1,603","4,574","1,528","2,655","1,884","1,705","4,804","2,640","3,503","4,728","3,365","2,968",
2020,6,40,"96,152","8,595","6,514","6,515","9,918","5,571","4,522",873,"1,381","3,359","1,951","2,273","5,103","1,910","3,045","2,326","1,628","5,962","4,583","5,620","5,539","4,393","4,571",
2020,6,50,"93,185","6,830","8,792","3,941","6,559","3,669","4,690","1,629","2,306","4,801","2,804","3,206","6,121","2,555","4,070","3,424","2,041","5,776","3,878","3,464","4,452","4,400","3,777",
2020,6,60,"55,776","3,893","4,996","1,785","3,296","1,759","3,180",962,"1,375","3,369","2,224","2,121","4,141","1,729","2,785","2,727","1,608","3,308","2,122","1,751","2,064","2,642","1,939",
2020,6,70,"23,871","1,692","2,243",641,"1,146",525,"1,283",279,507,"1,450","1,023",980,"1,539",837,"1,054","1,254",622,"1,530","1,290",939,923,"1,159",955,
2020,6,80,"10,023",605,"1,092",290,431,228,518,127,243,577,410,412,550,327,467,522,259,626,597,389,416,527,410,
2020,6,90,"1,604",96,191,41,71,43,92,33,27,93,60,54,97,43,87,78,60,97,48,60,62,98,73,
2020,6,100,102,7,10,2,3,1,7,7,2,10,4,1,7,3,2,7,6,10,6,4,2,1,0,
2020,7,총,"544,147","46,295","41,713","31,568","49,055","28,853","28,403","6,696","9,975","22,890","13,583","14,912","32,433","12,096","20,689","16,633","10,988","33,102","22,978","24,632","28,443","24,829","23,381",
2020,7,0,"51,598","4,872","2,519","4,023","7,053","4,589","3,372",356,505,"1,289",768,663,"2,847",603,"1,463",708,792,"2,796","2,029","2,659","3,086","2,378","2,228",
2020,7,10,"57,019","4,480","3,657","4,402","6,230","3,663","2,141",453,797,"1,630",952,"1,303","3,081",893,"1,985","1,330",796,"3,461","2,904","3,502","3,343","2,709","3,307",
2020,7,20,"73,145","6,606","6,629","3,865","5,822","3,078","3,525","1,056","1,626","3,330","1,771","2,337","4,398","1,701","3,071","2,359","1,452","4,739","2,867","2,719","3,845","3,174","3,175",
