년도,월,나이,연수구,옥련1동,옥련2동,선학동,연수1동,연수2동,연수3동,청학동,동춘1동,동춘2동,동춘3동,송도1동,송도2동,송도3동,송도4동,송도5동
2020,9,10,"21,635","1,019","1,162",577,925,891,679,938,"1,351","1,045","1,461","2,715","3,219","3,012","2,641",
2020,9,20,"26,689","1,494","1,629","1,415","1,811","1,806","1,137","1,997","1,911","1,439","1,343","3,021","1,879","2,946","2,861",
2020,9,30,"28,052","1,227","1,259","1,350","1,606","1,723","1,207","1,773","1,965","1,318",833,"1,995","1,881","4,454","5,461",
2020,9,40,"33,266","1,578","1,681","1,328","1,926","1,524","1,092","2,012","2,031","1,408","1,571","3,034","4,002","4,896","5,183",
2020,9,50,"31,550","1,824","1,959","1,670","2,212","1,856","1,448","2,701","2,237","1,684","1,702","3,088","2,878","3,016","3,275",
2020,9,60,"19,256","1,198","1,217","1,477","1,421","1,385","1,235","1,925","1,458","1,080",977,"1,713","1,123","1,388","1,659",
2020,9,70,"7,065",576,546,578,563,501,489,786,457,349,387,581,334,468,450,
2020,9,80,"2,300",201,185,187,152,178,197,282,141,135,132,176,122,113,99,
2020,9,90,288,22,25,19,18,29,23,28,23,13,22,27,13,18,8,
2020,9,100,15,0,2,0,0,1,2,4,4,1,0,0,1,0,0,
2020,10,총,"190,662","9,850","10,467","9,060","11,127","10,620","8,010","13,131","12,751","9,186","9,228","18,222","17,968","23,890","12,232","14,920"
2020,10,0,"19,361",745,793,483,520,729,523,672,"1,202",719,798,"1,631","2,475","3,545","1,921","2,605"
2020,10,10,"21,821","1,014","1,154",574,909,896,664,933,"1,344","1,041","1,470","2,804","3,229","3,014","1,419","1,356"
2020,10,20,"26,945","1,488","1,639","1,391","1,816","1,809","1,142","1,995","1,893","1,438","1,350","3,166","1,876","2,969","1,406","1,567"
2020,10,30,"28,170","1,217","1,259","1,355","1,578","1,709","1,200","1,759","1,959","1,335",824,"1,997","1,885","4,435","2,223","3,435"
2020,10,40,"33,438","1,568","1,676","1,325","1,930","1,520","1,077","2,011","2,021","1,389","1,555","3,022","4,009","4,894","2,570","2,871"
2020,10,50,"31,714","1,811","1,955","1,665","2,202","1,860","1,448","2,711","2,233","1,671","1,710","3,100","2,878","3,024","1,629","1,817"
2020,10,60,"19,473","1,205","1,223","1,483","1,427","1,385","1,244","1,946","1,478","1,091",983,"1,722","1,138","1,395",766,987
2020,10,70,"7,110",579,553,577,569,504,493,784,452,355,383,578,337,481,232,233
2020,10,80,"2,320",200,188,190,158,177,195,286,140,132,134,175,125,115,64,41
2020,10,90,294,23,25,17,18,29,22,30,25,14,21,27,15,18,2,8
2020,10,100,16,0,2,0,0,2,2,4,4,1,0,0,1,0,0,0
2020,11,총,"191,853","9,817","10,428","9,022","11,089","10,628","7,973","13,113","12,724","9,137","9,202","18,368","18,026","23,836","12,247","16,243"
2020,11,0,"19,460",732,790,474,500,723,513,662,"1,205",715,785,"1,652","2,493","3,495","1,918","2,803"
2020,11,10,"21,930","1,002","1,159",575,902,886,661,925,"1,343","1,032","1,462","2,815","3,229","3,030","1,434","1,475"
2020,11,20,"27,036","1,483","1,628","1,389","1,801","1,827","1,147","1,996","1,871","1,429","1,352","3,173","1,878","2,976","1,402","1,684"
2020,11,30,"28,434","1,209","1,253","1,337","1,567","1,710","1,188","1,761","1,956","1,331",825,"2,038","1,878","4,438","2,203","3,740"
2020,11,40,"33,660","1,558","1,671","1,322","1,917","1,506","1,083","2,001","2,015","1,372","1,548","3,045","4,022","4,847","2,587","3,166"
