년도,월,나이,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020,5,70,"40,545","4,474","8,344","7,698","12,807","7,222"
2020,5,80,"13,514","1,896","2,766","2,543","4,095","2,214"
2020,5,90,"1,217",172,260,243,336,206
2020,5,100,53,13,9,13,13,5
2020,6,총,"720,060","49,091","146,717","104,128","215,259","204,865"
2020,6,0,"63,438","3,468","11,793","9,093","17,650","21,434"
2020,6,10,"83,285","3,779","17,063","11,680","23,304","27,459"
2020,6,20,"108,943","7,284","23,281","14,509","33,123","30,746"
2020,6,30,"96,490","6,534","19,131","13,078","29,453","28,294"
2020,6,40,"120,963","7,141","24,019","16,823","34,333","38,647"
2020,6,50,"115,915","7,619","24,301","15,821","35,409","32,765"
2020,6,60,"75,535","6,704","15,710","12,605","24,649","15,867"
2020,6,70,"40,662","4,488","8,370","7,703","12,882","7,219"
2020,6,80,"13,562","1,888","2,777","2,559","4,113","2,225"
2020,6,90,"1,214",172,263,245,330,204
2020,6,100,53,14,9,12,13,5
2020,7,총,"719,860","49,043","146,518","104,009","215,251","205,039"
2020,7,0,"63,125","3,448","11,714","9,056","17,603","21,304"
2020,7,10,"83,009","3,753","16,995","11,624","23,188","27,449"
2020,7,20,"109,019","7,289","23,267","14,510","33,129","30,824"
2020,7,30,"96,360","6,515","19,070","13,013","29,454","28,308"
2020,7,40,"120,824","7,117","23,921","16,847","34,295","38,644"
2020,7,50,"115,865","7,607","24,290","15,773","35,370","32,825"
2020,7,60,"75,917","6,749","15,791","12,632","24,763","15,982"
2020,7,70,"40,837","4,477","8,403","7,723","12,968","7,266"
2020,7,80,"13,637","1,902","2,801","2,575","4,133","2,226"
2020,7,90,"1,215",172,257,244,336,206
2020,7,100,52,14,9,12,12,5
2020,8,총,"719,601","49,005","146,398","103,846","215,168","205,184"
2020,8,0,"62,839","3,442","11,655","9,017","17,524","21,201"
2020,8,10,"82,619","3,730","16,932","11,557","23,045","27,355"
2020,8,20,"109,164","7,295","23,273","14,498","33,156","30,942"
2020,8,30,"96,131","6,499","19,006","12,948","29,393","28,285"
2020,8,40,"120,628","7,109","23,861","16,853","34,207","38,598"
2020,8,50,"115,907","7,612","24,301","15,721","35,365","32,908"
2020,8,60,"76,411","6,742","15,856","12,686","24,954","16,173"
2020,8,70,"40,917","4,468","8,444","7,711","13,022","7,272"
2020,8,80,"13,712","1,922","2,805","2,596","4,151","2,238"
2020,8,90,"1,220",171,256,247,339,207
2020,8,100,53,15,9,12,12,5
2020,9,총,"719,445","49,923","146,067","103,633","214,717","205,105"
2020,9,0,"62,495","3,591","11,549","8,933","17,420","21,002"
2020,9,10,"82,271","3,770","16,814","11,500","22,937","27,250"
2020,9,20,"109,531","7,462","23,319","14,528","33,141","31,081"
2020,9,30,"95,829","6,743","18,885","12,824","29,197","28,180"
2020,9,40,"120,401","7,210","23,748","16,811","34,100","38,532"
2020,9,50,"115,878","7,648","24,273","15,699","35,289","32,969"
2020,9,60,"76,971","6,888","15,925","12,735","25,088","16,335"
2020,9,70,"41,011","4,485","8,484","7,728","13,025","7,289"
2020,9,80,"13,782","1,939","2,807","2,611","4,172","2,253"
2020,9,90,"1,222",172,253,252,336,209
2020,9,100,54,15,10,12,12,5
2020,10,총,"718,912","50,495","145,861","103,526","214,238","204,792"
2020,10,0,"62,065","3,686","11,452","8,859","17,278","20,790"
2020,10,10,"82,004","3,794","16,743","11,499","22,830","27,138"
2020,10,20,"109,569","7,524","23,282","14,512","33,046","31,205"
2020,10,30,"95,488","6,930","18,804","12,737","29,028","27,989"
2020,10,40,"120,124","7,278","23,657","16,791","33,992","38,406"
2020,10,50,"115,928","7,703","24,295","15,667","35,203","33,060"
2020,10,60,"77,439","6,923","16,021","12,817","25,248","16,430"
2020,10,70,"41,161","4,531","8,509","7,755","13,062","7,304"
2020,10,80,"13,850","1,937","2,833","2,626","4,197","2,257"
2020,10,90,"1,229",174,255,250,342,208
2020,10,100,55,15,10,13,12,5
2020,11,총,"718,370","50,705","145,703","103,360","214,023","204,579"
2020,11,0,"61,716","3,694","11,376","8,840","17,199","20,607"
2020,11,10,"81,788","3,814","16,674","11,440","22,762","27,098"
2020,11,20,"109,568","7,539","23,329","14,476","33,006","31,218"
2020,11,30,"95,156","6,981","18,668","12,668","28,920","27,919"
2020,11,40,"119,919","7,305","23,612","16,785","33,926","38,291"
2020,11,50,"115,948","7,737","24,288","15,646","35,168","33,109"
2020,11,60,"77,787","6,953","16,079","12,855","25,350","16,550"
2020,11,70,"41,285","4,538","8,556","7,747","13,132","7,312"
2020,11,80,"13,900","1,951","2,849","2,642","4,202","2,256"
2020,11,90,"1,249",178,262,248,347,214
2020,11,100,54,15,10,13,11,5
2020,12,총,"717,348","50,810","145,374","103,257","213,611","204,296"
2020,12,0,"61,487","3,711","11,322","8,856","17,135","20,463"
2020,12,10,"81,458","3,813","16,591","11,394","22,648","27,012"
2020,12,20,"109,335","7,585","23,258","14,406","32,936","31,150"
2020,12,30,"94,869","7,000","18,548","12,658","28,847","27,816"
2020,12,40,"119,545","7,305","23,493","16,788","33,788","38,171"
2020,12,50,"115,860","7,709","24,270","15,613","35,099","33,169"
2020,12,60,"78,051","6,981","16,150","12,859","25,398","16,663"
2020,12,70,"41,434","4,544","8,577","7,792","13,169","7,352"
2020,12,80,"13,995","1,961","2,885","2,632","4,238","2,279"
2020,12,90,"1,259",185,270,246,342,216
2020,12,100,55,16,10,13,11,5
2021,1,총,"716,929","50,789","145,049","103,192","213,745","204,154"
2021,1,0,"61,027","3,702","11,179","8,831","17,014","20,301"
2021,1,10,"81,112","3,784","16,496","11,344","22,568","26,920"
2021,1,20,"109,299","7,612","23,245","14,355","32,900","31,187"
2021,1,30,"94,606","6,982","18,448","12,657","28,855","27,664"
2021,1,40,"119,313","7,270","23,385","16,765","33,830","38,063"
2021,1,50,"116,062","7,724","24,293","15,576","35,182","33,287"
2021,1,60,"78,515","6,988","16,229","12,940","25,534","16,824"
2021,1,70,"41,572","4,552","8,572","7,811","13,230","7,407"
2021,1,80,"14,099","1,975","2,924","2,653","4,269","2,278"
2021,1,90,"1,270",183,270,247,352,218
2021,1,100,54,17,8,13,11,5
2021,2,총,"716,331","50,674","144,682","103,263","213,621","204,091"
2021,2,0,"60,752","3,680","11,092","8,836","16,976","20,168"
2021,2,10,"80,788","3,763","16,374","11,349","22,479","26,823"
2021,2,20,"108,914","7,562","23,138","14,308","32,753","31,153"
2021,2,30,"94,361","6,928","18,402","12,601","28,863","27,567"
2021,2,40,"119,358","7,285","23,336","16,843","33,812","38,082"
2021,2,50,"116,085","7,706","24,269","15,593","35,139","33,378"
2021,2,60,"78,869","7,013","16,246","12,971","25,670","16,969"
2021,2,70,"41,642","4,559","8,592","7,823","13,239","7,429"
2021,2,80,"14,231","1,979","2,950","2,674","4,332","2,296"
2021,2,90,"1,277",182,275,252,347,221
2021,2,100,54,17,8,13,11,5
2021,3,총,"715,226","50,577","144,373","102,891","213,257","204,128"
2021,3,0,"60,518","3,687","11,029","8,779","16,935","20,088"
2021,3,10,"80,441","3,771","16,276","11,290","22,366","26,738"
2021,3,20,"108,861","7,544","23,145","14,259","32,704","31,209"
2021,3,30,"94,061","6,889","18,315","12,562","28,735","27,560"
2021,3,40,"118,954","7,258","23,228","16,779","33,729","37,960"
2021,3,50,"116,034","7,673","24,282","15,514","35,063","33,502"
2021,3,60,"79,138","7,003","16,276","12,965","25,783","17,111"
2021,3,70,"41,585","4,556","8,595","7,779","13,237","7,418"
2021,3,80,"14,328","1,997","2,953","2,712","4,348","2,318"
2021,3,90,"1,269",186,269,247,349,218
2021,3,100,37,13,5,5,8,6
2021,4,총,"714,834","50,783","144,117","102,854","213,032","204,048"
2021,4,0,"60,215","3,732","10,939","8,745","16,836","19,963"
2021,4,10,"80,270","3,765","16,248","11,288","22,278","26,691"
2021,4,20,"108,762","7,531","23,104","14,244","32,653","31,230"
2021,4,30,"93,897","6,978","18,213","12,491","28,718","27,497"
2021,4,40,"118,857","7,291","23,183","16,803","33,662","37,918"
2021,4,50,"116,033","7,684","24,215","15,532","35,048","33,554"
2021,4,60,"79,467","7,027","16,384","12,988","25,843","17,225"
2021,4,70,"41,574","4,572","8,571","7,764","13,261","7,406"
2021,4,80,"14,442","1,999","2,985","2,746","4,372","2,340"
2021,4,90,"1,280",190,270,248,353,219
2021,4,100,37,14,5,5,8,5
2021,5,총,"714,101","50,853","143,812","102,803","212,637","203,996"
2021,5,0,"59,943","3,744","10,868","8,707","16,750","19,874"
2021,5,10,"80,051","3,772","16,158","11,268","22,217","26,636"
2021,5,20,"108,619","7,562","23,058","14,218","32,539","31,242"
2021,5,30,"93,653","6,983","18,142","12,481","28,646","27,401"
2021,5,40,"118,291","7,330","23,050","16,741","33,428","37,742"
2021,5,50,"116,299","7,679","24,246","15,565","35,078","33,731"
2021,5,60,"79,766","7,033","16,424","13,021","25,910","17,378"
2021,5,70,"41,627","4,551","8,581","7,769","13,295","7,431"
2021,5,80,"14,545","2,002","3,009","2,780","4,415","2,339"
2021,5,90,"1,279",188,272,248,354,217
2021,5,100,28,9,4,5,5,5
2021,6,총,"713,793","50,926","143,635","102,885","212,433","203,914"
2021,6,0,"59,751","3,755","10,802","8,693","16,716","19,785"
2021,6,10,"79,838","3,766","16,082","11,289","22,157","26,544"
2021,6,20,"108,529","7,581","23,038","14,233","32,425","31,252"
2021,6,30,"93,495","6,996","18,089","12,468","28,609","27,333"
2021,6,40,"118,137","7,335","22,993","16,752","33,352","37,705"
2021,6,50,"116,153","7,669","24,194","15,554","34,962","33,774"
2021,6,60,"80,209","7,060","16,535","13,073","26,059","17,482"
2021,6,70,"41,692","4,548","8,599","7,761","13,334","7,450"
2021,6,80,"14,694","2,019","3,038","2,812","4,457","2,368"
2021,6,90,"1,267",188,261,245,357,216
2021,6,100,28,9,4,5,5,5
2021,7,총,"713,626","50,938","143,459","102,933","212,537","203,759"
2021,7,0,"59,483","3,767","10,718","8,664","16,665","19,669"
2021,7,10,"79,726","3,740","16,041","11,295","22,132","26,518"
2021,7,20,"108,441","7,604","22,964","14,206","32,479","31,188"
2021,7,30,"93,380","6,975","18,091","12,494","28,587","27,233"
2021,7,40,"117,951","7,341","22,920","16,738","33,299","37,653"
2021,7,50,"116,206","7,667","24,185","15,567","34,965","33,822"
2021,7,60,"80,573","7,084","16,570","13,123","26,206","17,590"
2021,7,70,"41,768","4,543","8,647","7,776","13,334","7,468"
2021,7,80,"14,782","2,018","3,048","2,821","4,502","2,393"
2021,7,90,"1,288",191,271,243,363,220
2021,7,100,28,8,4,6,5,5
2021,8,총,"713,286","50,981","143,271","102,881","212,410","203,743"
2021,8,0,"59,220","3,764","10,679","8,625","16,585","19,567"
2021,8,10,"79,544","3,721","15,977","11,287","22,056","26,503"
2021,8,20,"108,281","7,638","22,905","14,134","32,378","31,226"
2021,8,30,"93,241","6,972","18,057","12,460","28,600","27,152"
2021,8,40,"117,683","7,327","22,814","16,774","33,243","37,525"
2021,8,50,"116,312","7,679","24,232","15,545","34,938","33,918"
2021,8,60,"81,019","7,115","16,625","13,181","26,331","17,767"
2021,8,70,"41,790","4,539","8,639","7,787","13,365","7,460"
2021,8,80,"14,874","2,025","3,065","2,841","4,545","2,398"
2021,8,90,"1,294",193,275,241,364,221
2021,8,100,28,8,3,6,5,6
2021,9,총,"713,666","51,073","143,177","102,962","212,526","203,928"
2021,9,0,"59,052","3,777","10,627","8,600","16,529","19,519"
2021,9,10,"79,339","3,722","15,912","11,312","21,968","26,425"
2021,9,20,"108,478","7,682","22,876","14,147","32,449","31,324"
2021,9,30,"93,220","6,963","18,019","12,461","28,602","27,175"
2021,9,40,"117,564","7,334","22,836","16,775","33,202","37,417"
2021,9,50,"116,515","7,681","24,193","15,588","34,974","34,079"
2021,9,60,"81,341","7,119","16,707","13,184","26,458","17,873"
2021,9,70,"41,816","4,538","8,631","7,787","13,385","7,475"
2021,9,80,"15,005","2,049","3,096","2,861","4,582","2,417"
2021,9,90,"1,306",200,276,240,372,218
2021,9,100,30,8,4,7,5,6
2021,10,총,"713,483","51,016","142,908","103,318","212,370","203,871"
2021,10,0,"58,829","3,762","10,528","8,653","16,450","19,436"
2021,10,10,"79,143","3,709","15,860","11,324","21,880","26,370"
2021,10,20,"108,373","7,668","22,859","14,183","32,422","31,241"
2021,10,30,"93,104","6,948","17,918","12,528","28,536","27,174"
2021,10,40,"117,445","7,319","22,784","16,829","33,153","37,360"
2021,10,50,"116,640","7,701","24,204","15,616","34,983","34,136"
2021,10,60,"81,641","7,115","16,740","13,255","26,529","18,002"
2021,10,70,"41,862","4,525","8,628","7,805","13,421","7,483"
2021,10,80,"15,104","2,060","3,110","2,875","4,613","2,446"
2021,10,90,"1,311",202,273,243,377,216
2021,10,100,31,7,4,7,6,7
2021,11,총,"713,292","51,002","142,783","103,559","212,180","203,768"
2021,11,0,"58,648","3,752","10,478","8,697","16,397","19,324"
2021,11,10,"79,085","3,715","15,822","11,354","21,840","26,354"
2021,11,20,"108,068","7,639","22,811","14,148","32,310","31,160"
2021,11,30,"92,992","6,947","17,882","12,548","28,514","27,101"
2021,11,40,"117,398","7,335","22,760","16,898","33,113","37,292"
2021,11,50,"116,779","7,677","24,195","15,651","34,961","34,295"
2021,11,60,"81,849","7,118","16,800","13,290","26,568","18,073"
2021,11,70,"41,904","4,547","8,625","7,821","13,441","7,470"
2021,11,80,"15,232","2,066","3,134","2,903","4,648","2,481"
2021,11,90,"1,307",199,273,242,380,213
2021,11,100,30,7,3,7,8,5
2021,12,총,"713,015","51,046","142,721","103,542","211,999","203,707"
2021,12,0,"58,516","3,775","10,423","8,699","16,375","19,244"
2021,12,10,"78,857","3,709","15,742","11,345","21,770","26,291"
2021,12,20,"107,781","7,640","22,837","14,094","32,157","31,053"
2021,12,30,"92,783","6,925","17,822","12,515","28,456","27,065"
2021,12,40,"117,383","7,394","22,778","16,861","33,096","37,254"
2021,12,50,"116,983","7,666","24,204","15,697","34,959","34,457"
2021,12,60,"82,025","7,112","16,843","13,319","26,636","18,115"
2021,12,70,"42,016","4,550","8,644","7,827","13,488","7,507"
2021,12,80,"15,333","2,074","3,151","2,935","4,671","2,502"
2021,12,90,"1,316",197,275,244,385,215
2021,12,100,22,4,2,6,6,4
