년도,월,나이,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020,9,60,"9,930","1,042","1,071","1,347","1,510",705,298,620,"1,214",539,991,593
2020,9,70,"6,655",630,767,955,954,450,213,450,849,282,614,491
2020,9,80,"2,806",300,305,412,314,239,100,244,324,94,275,199
2020,9,90,439,53,53,48,44,23,17,38,57,24,52,30
2020,9,100,73,10,11,6,11,0,1,6,8,5,6,9
2020,10,총,"62,802","7,150","6,276","7,915","10,784","3,796","1,709","3,030","8,152","4,070","6,826","3,094"
2020,10,0,"3,859",486,267,371,874,142,97,86,515,311,604,106
2020,10,10,"5,107",611,497,630,924,221,114,175,728,416,581,210
2020,10,20,"6,646",780,726,812,"1,208",421,173,280,842,468,622,314
2020,10,30,"6,988",818,573,792,"1,486",371,179,227,924,486,880,252
2020,10,40,"10,094","1,221",912,"1,239","1,818",527,267,387,"1,392",730,"1,170",431
2020,10,50,"10,154","1,190","1,081","1,296","1,631",696,254,521,"1,287",714,"1,029",455
2020,10,60,"9,955","1,045","1,081","1,350","1,515",702,296,620,"1,222",540,992,592
2020,10,70,"6,675",635,767,961,959,450,209,449,846,285,622,492
2020,10,80,"2,809",303,305,410,314,243,102,245,331,91,267,198
2020,10,90,442,51,56,48,44,23,17,34,57,24,53,35
2020,10,100,73,10,11,6,11,0,1,6,8,5,6,9
2020,11,총,"62,747","7,146","6,254","7,915","10,786","3,775","1,702","3,022","8,092","4,154","6,802","3,099"
2020,11,0,"3,812",474,266,373,865,141,97,83,500,308,596,109
2020,11,10,"5,094",610,486,632,927,222,114,172,719,436,576,200
2020,11,20,"6,645",787,726,811,"1,210",415,172,277,838,468,619,322
2020,11,30,"6,927",807,562,782,"1,477",364,175,226,904,513,869,248
2020,11,40,"10,086","1,221",910,"1,234","1,834",524,263,385,"1,380",735,"1,169",431
2020,11,50,"10,165","1,187","1,080","1,299","1,617",691,254,518,"1,288",737,"1,036",458
2020,11,60,"9,987","1,063","1,080","1,362","1,515",702,298,622,"1,223",547,981,594
2020,11,70,"6,698",637,768,958,969,452,210,452,845,290,628,489
2020,11,80,"2,821",301,310,409,317,241,102,247,330,92,269,203
2020,11,90,439,49,55,48,44,23,16,34,58,23,53,36
2020,11,100,73,10,11,7,11,0,1,6,7,5,6,9
2020,12,총,"62,542","7,151","6,229","7,855","10,704","3,749","1,686","3,005","8,008","4,301","6,761","3,093"
2020,12,0,"3,742",465,258,363,846,139,93,84,479,320,585,110
2020,12,10,"5,029",608,491,619,914,218,111,174,693,431,570,200
2020,12,20,"6,640",782,720,806,"1,205",400,173,276,832,503,619,324
2020,12,30,"6,863",808,549,766,"1,452",363,167,221,891,549,851,246
2020,12,40,"9,993","1,216",898,"1,224","1,807",519,260,386,"1,347",746,"1,167",423
2020,12,50,"10,171","1,190","1,084","1,290","1,623",688,254,507,"1,287",755,"1,035",458
2020,12,60,"10,028","1,079","1,076","1,361","1,511",702,297,624,"1,230",574,986,588
2020,12,70,"6,710",642,772,954,972,454,212,445,846,297,623,493
2020,12,80,"2,846",302,315,415,319,241,102,246,338,96,265,207
2020,12,90,447,49,55,50,44,25,16,36,58,25,54,35
2020,12,100,73,10,11,7,11,0,1,6,7,5,6,9
2021,1,총,"62,485","7,134","6,210","7,842","10,655","3,725","1,677","2,991","8,005","4,412","6,750","3,084"
2021,1,0,"3,690",453,253,355,849,135,87,85,471,322,574,106
2021,1,10,"5,005",609,485,617,903,218,112,166,680,441,573,201
2021,1,20,"6,628",773,718,803,"1,191",397,177,278,837,524,620,310
2021,1,30,"6,826",796,540,768,"1,438",351,162,224,894,568,843,242
2021,1,40,"9,953","1,216",887,"1,218","1,788",512,258,372,"1,321",776,"1,173",432
2021,1,50,"10,181","1,198","1,080","1,287","1,613",689,252,509,"1,305",778,"1,021",449
2021,1,60,"10,082","1,082","1,087","1,364","1,516",701,299,625,"1,245",572,999,592
2021,1,70,"6,730",643,776,950,977,455,213,447,850,302,619,498
2021,1,80,"2,875",303,319,422,324,244,100,246,339,99,268,211
2021,1,90,441,51,54,51,45,23,16,32,56,25,54,34
2021,1,100,74,10,11,7,11,0,1,7,7,5,6,9
2021,2,총,"62,381","7,121","6,190","7,819","10,645","3,721","1,680","2,955","7,999","4,439","6,740","3,072"
2021,2,0,"3,649",447,245,346,842,135,84,84,467,328,565,106
2021,2,10,"4,996",611,489,609,897,220,114,152,681,447,578,198
2021,2,20,"6,580",763,706,802,"1,186",399,180,270,836,522,615,301
2021,2,30,"6,772",792,528,761,"1,428",345,161,226,881,568,838,244
2021,2,40,"9,938","1,214",886,"1,211","1,787",508,255,366,"1,322",786,"1,173",430
2021,2,50,"10,141","1,188","1,076","1,274","1,619",688,256,502,"1,289",780,"1,020",449
2021,2,60,"10,152","1,097","1,098","1,382","1,525",700,300,624,"1,260",577,999,590
2021,2,70,"6,711",641,777,944,976,452,206,446,850,301,621,497
2021,2,80,"2,921",307,319,431,328,251,106,246,350,100,270,213
2021,2,90,446,50,55,52,46,23,17,32,56,24,55,36
2021,2,100,75,11,11,7,11,0,1,7,7,6,6,8
2021,3,총,"61,755","7,043","6,088","7,742","10,611","3,667","1,653","2,891","7,984","4,407","6,672","2,997"
2021,3,0,"3,625",441,244,338,843,131,87,83,460,325,570,103
2021,3,10,"4,962",607,476,610,900,214,113,148,680,448,572,194
2021,3,20,"6,546",770,703,794,"1,177",397,177,270,835,525,610,288
2021,3,30,"6,712",784,521,744,"1,426",334,160,220,875,576,830,242
2021,3,40,"9,805","1,202",850,"1,186","1,785",496,250,358,"1,315",778,"1,159",426
2021,3,50,"10,032","1,174","1,064","1,276","1,603",680,253,485,"1,292",761,"1,003",441
2021,3,60,"10,128","1,096","1,084","1,381","1,528",707,296,620,"1,266",580,994,576
2021,3,70,"6,608",623,773,926,972,440,201,433,851,299,609,481
2021,3,80,"2,881",299,318,434,327,245,102,241,347,95,262,211
2021,3,90,422,46,52,50,45,23,13,29,56,18,57,33
2021,3,100,34,1,3,3,5,0,1,4,7,2,6,2
2021,4,총,"61,680","7,056","6,068","7,713","10,582","3,653","1,650","2,878","7,971","4,427","6,677","3,005"
2021,4,0,"3,606",435,245,337,834,127,84,80,465,324,570,105
2021,4,10,"4,969",619,471,612,891,216,114,152,679,444,577,194
2021,4,20,"6,520",765,703,779,"1,173",382,176,263,837,534,618,290
2021,4,30,"6,678",784,515,737,"1,423",337,161,219,871,569,815,247
2021,4,40,"9,786","1,204",841,"1,188","1,768",495,253,361,"1,307",789,"1,158",422
2021,4,50,"9,990","1,175","1,058","1,257","1,596",675,250,478,"1,292",766,"1,003",440
2021,4,60,"10,173","1,101","1,090","1,379","1,541",717,297,621,"1,263",583,"1,000",581
2021,4,70,"6,597",625,768,928,980,439,198,428,847,297,605,482
2021,4,80,"2,907",301,323,440,327,244,103,242,346,101,269,211
2021,4,90,419,46,51,53,44,21,13,30,57,17,56,31
2021,4,100,35,1,3,3,5,0,1,4,7,3,6,2
2021,5,총,"61,530","7,048","6,046","7,693","10,583","3,632","1,625","2,858","7,929","4,442","6,674","3,000"
2021,5,0,"3,569",437,239,332,845,126,81,75,448,321,559,106
2021,5,10,"4,952",613,464,613,889,207,112,154,673,451,580,196
2021,5,20,"6,484",763,698,774,"1,172",381,171,258,842,525,615,285
2021,5,30,"6,636",782,514,723,"1,419",334,161,217,867,577,799,243
2021,5,40,"9,746","1,197",835,"1,183","1,777",483,247,356,"1,285",789,"1,167",427
2021,5,50,"9,978","1,187","1,064","1,258","1,585",670,245,468,"1,291",772,"1,002",436
2021,5,60,"10,191","1,096","1,082","1,374","1,539",721,296,632,"1,275",585,"1,009",582
2021,5,70,"6,575",621,768,924,973,441,195,424,840,302,604,483
2021,5,80,"2,943",306,327,455,334,246,103,241,344,101,276,210
2021,5,90,418,45,52,54,45,22,13,29,56,16,56,30
2021,5,100,38,1,3,3,5,1,1,4,8,3,7,2
2021,6,총,"61,436","7,025","6,003","7,697","10,583","3,615","1,618","2,842","7,893","4,561","6,617","2,982"
2021,6,0,"3,550",431,239,329,841,125,79,76,442,330,553,105
2021,6,10,"4,930",605,456,614,887,202,112,153,677,459,572,193
2021,6,20,"6,453",755,685,775,"1,173",375,168,258,825,552,605,282
2021,6,30,"6,630",783,511,713,"1,417",334,157,214,856,621,783,241
2021,6,40,"9,721","1,190",833,"1,191","1,766",476,247,352,"1,280",798,"1,164",424
2021,6,50,"9,928","1,178","1,058","1,252","1,580",656,243,468,"1,279",786,992,436
2021,6,60,"10,260","1,103","1,079","1,382","1,560",736,299,627,"1,293",595,"1,008",578
2021,6,70,"6,569",624,769,927,974,443,193,423,834,302,600,480
2021,6,80,"2,943",310,322,457,334,244,106,238,347,97,278,210
2021,6,90,414,45,48,54,46,23,13,29,52,18,55,31
2021,6,100,38,1,3,3,5,1,1,4,8,3,7,2
2021,7,총,"62,258","6,971","5,979","7,702","10,549","3,579","1,605","2,838","7,786","5,725","6,562","2,962"
2021,7,0,"3,599",423,233,325,824,117,80,75,422,457,538,105
2021,7,10,"4,956",595,449,613,886,196,108,151,653,546,570,189
2021,7,20,"6,565",746,681,778,"1,171",373,165,256,812,706,599,278
2021,7,30,"6,877",772,503,708,"1,390",335,154,215,833,953,774,240
2021,7,40,"9,830","1,162",831,"1,191","1,761",464,244,355,"1,264",986,"1,149",423
2021,7,50,"10,043","1,183","1,063","1,256","1,590",651,238,462,"1,269",910,990,431
2021,7,60,"10,354","1,110","1,075","1,382","1,564",732,302,627,"1,289",698,"1,006",569
2021,7,70,"6,623",625,770,935,984,440,191,425,838,337,596,482
2021,7,80,"2,951",308,323,456,328,246,108,238,345,110,277,212
2021,7,90,422,46,48,55,46,24,14,30,53,19,56,31
2021,7,100,38,1,3,3,5,1,1,4,8,3,7,2
2021,8,총,"62,410","6,949","5,975","7,646","10,529","3,577","1,600","2,790","7,736","6,123","6,506","2,979"
2021,8,0,"3,606",420,229,322,811,114,81,73,415,502,530,109
2021,8,10,"4,971",592,460,601,880,196,106,147,652,574,575,188
2021,8,20,"6,558",740,667,762,"1,176",378,168,250,802,735,598,282
2021,8,30,"6,931",770,505,708,"1,370",320,153,211,823,"1,057",776,238
2021,8,40,"9,854","1,166",828,"1,171","1,755",467,240,346,"1,250","1,071","1,135",425
2021,8,50,"10,040","1,173","1,065","1,259","1,576",650,239,455,"1,258",962,977,426
2021,8,60,"10,416","1,111","1,080","1,379","1,586",737,300,619,"1,289",735,998,582
2021,8,70,"6,603",625,768,934,985,438,191,420,835,344,583,480
2021,8,80,"2,969",303,321,452,340,252,108,234,351,121,272,215
2021,8,90,425,48,49,56,45,24,13,31,53,19,55,32
2021,8,100,37,1,3,2,5,1,1,4,8,3,7,2
2021,9,총,"62,244","6,940","5,980","7,616","10,491","3,572","1,601","2,773","7,709","6,178","6,427","2,957"
2021,9,0,"3,570",414,227,316,796,111,81,75,411,514,520,105
2021,9,10,"4,960",588,461,605,878,199,111,147,652,573,566,180
2021,9,20,"6,515",739,667,749,"1,169",369,163,249,799,744,586,281
2021,9,30,"6,911",775,505,701,"1,364",325,151,212,806,"1,076",758,238
2021,9,40,"9,787","1,144",831,"1,163","1,743",471,243,342,"1,250","1,074","1,116",410
2021,9,50,"10,028","1,180","1,066","1,253","1,574",640,236,454,"1,248",971,976,430
2021,9,60,"10,453","1,129","1,084","1,364","1,592",742,304,615,"1,302",737,"1,000",584
2021,9,70,"6,584",621,767,940,985,437,186,409,826,350,574,489
2021,9,80,"2,959",303,317,465,335,251,112,235,351,116,268,206
2021,9,90,440,46,52,58,50,26,13,31,56,20,56,32
2021,9,100,37,1,3,2,5,1,1,4,8,3,7,2
2021,10,총,"61,977","6,928","5,965","7,608","10,450","3,573","1,596","2,756","7,663","6,160","6,344","2,934"
2021,10,0,"3,536",418,223,311,783,108,82,73,402,517,516,103
2021,10,10,"4,948",586,463,603,879,198,109,148,647,571,566,178
2021,10,20,"6,440",735,666,740,"1,161",368,160,247,792,737,557,277
2021,10,30,"6,866",762,492,709,"1,344",329,155,212,795,"1,084",752,232
2021,10,40,"9,758","1,143",838,"1,156","1,742",468,237,338,"1,252","1,066","1,112",406
2021,10,50,"9,990","1,184","1,063","1,237","1,571",640,240,450,"1,241",965,968,431
2021,10,60,"10,451","1,128","1,082","1,378","1,598",745,302,609,"1,296",743,990,580
2021,10,70,"6,546",619,763,945,973,439,184,414,826,341,553,489
2021,10,80,"2,972",307,320,468,345,251,112,232,356,112,265,204
2021,10,90,440,45,52,59,49,26,14,29,54,21,58,33
2021,10,100,30,1,3,2,5,1,1,4,2,3,7,1
2021,11,총,"61,716","6,936","5,945","7,613","10,413","3,573","1,583","2,732","7,609","6,127","6,263","2,922"
2021,11,0,"3,507",426,219,309,773,106,80,70,392,522,509,101
2021,11,10,"4,910",578,451,610,869,196,109,147,644,569,567,170
2021,11,20,"6,407",726,666,742,"1,167",367,156,242,789,732,542,278
2021,11,30,"6,819",763,487,705,"1,324",330,149,212,776,"1,090",756,227
2021,11,40,"9,701","1,134",833,"1,158","1,736",466,236,329,"1,246","1,064","1,096",403
2021,11,50,"9,958","1,192","1,072","1,232","1,570",635,238,451,"1,239",947,945,437
2021,11,60,"10,455","1,130","1,087","1,388","1,600",747,300,603,"1,293",738,987,582
2021,11,70,"6,517",625,757,933,974,444,187,415,821,333,545,483
2021,11,80,"2,974",313,317,476,349,254,112,227,355,109,255,207
2021,11,90,448,48,54,60,51,27,15,32,52,21,54,34
2021,11,100,20,1,2,0,0,1,1,4,2,2,7,0
2021,12,총,"61,486","6,940","5,929","7,597","10,394","3,561","1,571","2,722","7,529","6,132","6,203","2,908"
2021,12,0,"3,473",428,215,300,764,105,81,70,381,522,506,101
2021,12,10,"4,905",570,452,602,871,193,107,150,643,579,567,171
2021,12,20,"6,381",734,661,752,"1,156",363,154,246,780,724,535,276
2021,12,30,"6,750",755,485,687,"1,318",327,144,204,763,"1,089",750,228
2021,12,40,"9,698","1,135",827,"1,158","1,739",469,234,333,"1,245","1,067","1,092",399
2021,12,50,"9,953","1,200","1,066","1,230","1,578",634,237,457,"1,224",952,933,442
2021,12,60,"10,397","1,133","1,089","1,384","1,587",746,301,601,"1,275",732,975,574
2021,12,70,"6,487",622,752,941,973,440,187,404,808,335,545,480
2021,12,80,"2,980",314,326,484,358,254,109,221,355,108,247,204
2021,12,90,450,48,54,59,50,29,16,35,53,22,51,33
2021,12,100,12,1,2,0,0,1,1,1,2,2,2,0
