년도,월,나이,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020,8,20,"4,531",740,373,289,"1,910",136,422,190,90,245,136
2020,8,30,"4,895",520,521,218,"2,764",104,262,170,85,141,110
2020,8,40,"6,910",780,697,364,"3,544",167,424,301,130,319,184
2020,8,50,"6,888",967,743,682,"1,963",349,639,516,193,483,353
2020,8,60,"5,275",744,641,612,730,302,648,497,248,519,334
2020,8,70,"3,475",441,495,395,266,258,396,387,163,450,224
2020,8,80,"1,243",146,171,124,72,121,160,148,55,172,74
2020,8,90,96,9,16,11,4,11,10,14,6,9,6
2020,8,100,4,0,0,1,1,0,0,0,0,0,2
2020,9,총,"42,377","5,305","5,388","2,932","16,383","1,543","3,298","2,385","1,052","2,543","1,548"
2020,9,0,"3,897",376,675,91,"2,415",18,110,67,35,71,39
2020,9,10,"4,646",593,451,152,"2,771",81,226,97,46,141,88
2020,9,20,"4,601",736,449,287,"1,925",134,418,186,89,243,134
2020,9,30,"5,061",509,760,211,"2,713",106,261,166,85,141,109
2020,9,40,"7,026",774,871,360,"3,498",164,425,304,132,317,181
2020,9,50,"6,957",972,814,681,"1,971",349,639,511,190,478,352
2020,9,60,"5,328",743,671,620,740,300,652,498,250,518,336
2020,9,70,"3,510",444,508,394,275,260,395,392,162,453,227
2020,9,80,"1,251",149,171,126,71,119,162,150,57,172,74
2020,9,90,96,9,18,9,3,12,10,14,6,9,6
2020,9,100,4,0,0,1,1,0,0,0,0,0,2
2020,10,총,"42,640","5,323","5,771","2,927","16,274","1,539","3,286","2,380","1,048","2,542","1,550"
2020,10,0,"3,931",375,759,87,"2,368",18,109,67,37,71,40
2020,10,10,"4,663",594,510,152,"2,746",80,217,95,45,137,87
2020,10,20,"4,663",742,487,287,"1,925",136,425,188,89,246,138
2020,10,30,"5,088",501,853,206,"2,675",102,262,163,83,137,106
2020,10,40,"7,052",781,927,358,"3,485",163,417,298,131,312,180
2020,10,50,"6,989",975,849,680,"1,968",346,639,510,190,481,351
2020,10,60,"5,383",752,682,629,758,305,648,502,249,521,337
2020,10,70,"3,515",443,512,392,275,259,397,395,162,452,228
2020,10,80,"1,256",151,174,126,70,118,162,148,56,176,75
2020,10,90,95,9,18,9,3,11,10,14,6,9,6
2020,10,100,5,0,0,1,1,1,0,0,0,0,2
2020,11,총,"42,829","5,320","6,078","2,913","16,192","1,547","3,279","2,366","1,044","2,548","1,542"
2020,11,0,"3,946",367,852,84,"2,305",19,108,67,37,71,36
2020,11,10,"4,677",590,551,154,"2,725",82,216,95,44,134,86
2020,11,20,"4,704",741,498,286,"1,959",135,427,184,87,247,140
2020,11,30,"5,110",491,929,193,"2,648",105,255,166,82,136,105
2020,11,40,"7,085",784,990,361,"3,459",165,414,291,133,314,174
2020,11,50,"7,023",987,861,674,"1,991",345,643,506,187,477,352
2020,11,60,"5,393",753,693,636,757,300,643,497,250,527,337
2020,11,70,"3,528",448,512,387,274,266,397,396,162,458,228
2020,11,80,"1,261",150,174,127,70,118,167,150,56,173,76
2020,11,90,97,9,18,10,3,11,9,14,6,11,6
2020,11,100,5,0,0,1,1,1,0,0,0,0,2
2020,12,총,"43,254","5,332","6,461","2,909","16,226","1,550","3,286","2,361","1,041","2,540","1,548"
2020,12,0,"4,009",366,954,83,"2,267",19,110,68,37,70,35
2020,12,10,"4,694",587,573,154,"2,727",82,213,94,42,134,88
2020,12,20,"4,774",750,520,285,"1,988",133,434,189,88,246,141
2020,12,30,"5,221",486,"1,032",191,"2,661",103,257,163,85,137,106
2020,12,40,"7,153",783,"1,079",357,"3,456",165,411,284,132,311,175
2020,12,50,"7,060",997,884,671,"1,993",348,645,509,185,479,349
2020,12,60,"5,434",749,702,641,781,305,641,496,247,529,343
2020,12,70,"3,537",450,521,386,280,264,397,397,163,453,226
2020,12,80,"1,271",155,178,131,69,118,168,148,56,171,77
2020,12,90,96,9,18,9,3,12,10,13,6,10,6
2020,12,100,5,0,0,1,1,1,0,0,0,0,2
2021,1,총,"43,659","5,316","6,860","2,905","16,282","1,563","3,268","2,361","1,036","2,525","1,543"
2021,1,0,"4,061",360,"1,065",81,"2,223",22,109,64,37,66,34
2021,1,10,"4,724",584,635,150,"2,706",84,206,93,43,137,86
2021,1,20,"4,809",732,542,285,"2,036",136,430,183,82,242,141
2021,1,30,"5,307",492,"1,099",190,"2,665",101,260,169,84,140,107
2021,1,40,"7,254",777,"1,170",359,"3,484",169,403,280,135,304,173
2021,1,50,"7,088",994,910,663,"2,014",347,643,512,182,477,346
2021,1,60,"5,485",758,714,650,788,310,641,498,250,530,346
2021,1,70,"3,549",451,529,386,293,265,396,398,160,446,225
2021,1,80,"1,278",159,179,131,68,117,168,149,57,173,77
2021,1,90,98,9,17,9,4,11,12,14,6,10,6
2021,1,100,6,0,0,1,1,1,0,1,0,0,2
2021,2,총,"43,952","5,288","7,312","2,908","16,163","1,555","3,269","2,366","1,032","2,526","1,533"
2021,2,0,"4,106",354,"1,177",79,"2,170",20,107,62,37,67,33
2021,2,10,"4,774",580,722,152,"2,680",77,206,90,44,138,85
2021,2,20,"4,832",725,561,284,"2,041",141,436,193,77,237,137
2021,2,30,"5,361",489,"1,182",192,"2,642",101,257,167,85,140,106
2021,2,40,"7,316",769,"1,284",362,"3,435",170,408,279,129,308,172
2021,2,50,"7,099",986,928,661,"2,032",342,641,512,185,470,342
2021,2,60,"5,520",766,728,652,796,312,637,502,248,533,346
2021,2,70,"3,549",452,532,381,290,261,398,393,164,449,229
2021,2,80,"1,290",158,181,135,71,119,167,153,57,174,75
2021,2,90,99,9,17,9,5,11,12,14,6,10,6
2021,2,100,6,0,0,1,1,1,0,1,0,0,2
2021,3,총,"44,133","5,313","7,524","2,885","16,203","1,544","3,256","2,359","1,026","2,505","1,518"
2021,3,0,"4,150",360,"1,220",79,"2,172",19,107,62,35,63,33
2021,3,10,"4,764",583,761,150,"2,644",71,203,85,46,137,84
2021,3,20,"4,841",721,565,286,"2,062",143,429,195,76,232,132
2021,3,30,"5,421",502,"1,244",187,"2,652",104,251,164,76,137,104
2021,3,40,"7,337",775,"1,314",357,"3,442",162,400,273,135,308,171
2021,3,50,"7,115",985,954,652,"2,046",344,633,513,186,461,341
2021,3,60,"5,584",770,741,657,811,314,656,509,246,536,344
2021,3,70,"3,522",450,524,376,297,258,395,393,162,443,224
2021,3,80,"1,299",159,184,133,71,119,169,151,57,178,78
2021,3,90,97,8,17,8,5,9,13,14,7,10,6
2021,3,100,3,0,0,0,1,1,0,0,0,0,1
2021,4,총,"44,252","5,300","7,631","2,872","16,228","1,548","3,270","2,359","1,031","2,493","1,520"
2021,4,0,"4,139",363,"1,233",77,"2,148",20,107,60,37,61,33
2021,4,10,"4,754",579,778,151,"2,630",67,201,86,45,136,81
2021,4,20,"4,869",713,575,282,"2,098",145,426,194,76,228,132
2021,4,30,"5,437",504,"1,262",184,"2,648",104,262,163,77,129,104
2021,4,40,"7,353",771,"1,332",350,"3,451",161,405,272,135,305,171
2021,4,50,"7,138",983,972,651,"2,058",347,630,512,185,461,339
2021,4,60,"5,627",765,752,662,811,318,662,515,246,543,353
2021,4,70,"3,522",451,525,371,304,257,396,389,165,443,221
2021,4,80,"1,310",163,185,137,74,118,167,153,58,177,78
2021,4,90,100,8,17,7,5,10,14,15,7,10,7
2021,4,100,3,0,0,0,1,1,0,0,0,0,1
2021,5,총,"44,409","5,309","7,706","2,869","16,323","1,549","3,266","2,352","1,029","2,497","1,509"
2021,5,0,"4,135",365,"1,238",73,"2,153",19,101,60,36,61,29
2021,5,10,"4,773",579,787,148,"2,639",70,202,85,47,134,82
2021,5,20,"4,902",716,584,287,"2,127",141,423,189,77,229,129
2021,5,30,"5,430",499,"1,261",185,"2,647",104,264,162,75,132,101
2021,5,40,"7,380",773,"1,360",343,"3,473",161,399,270,134,299,168
2021,5,50,"7,158",983,977,651,"2,073",343,628,515,186,465,337
2021,5,60,"5,656",765,765,667,819,320,663,515,244,545,353
2021,5,70,"3,547",456,529,372,309,260,404,391,165,438,223
2021,5,80,"1,325",165,187,135,76,120,168,151,59,185,79
2021,5,90,100,8,18,8,6,10,14,14,6,9,7
2021,5,100,3,0,0,0,1,1,0,0,0,0,1
2021,6,총,"44,566","5,379","7,752","2,864","16,421","1,545","3,253","2,340","1,017","2,490","1,505"
2021,6,0,"4,136",377,"1,242",73,"2,145",19,101,56,31,61,31
2021,6,10,"4,780",584,792,147,"2,647",70,196,87,45,130,82
2021,6,20,"4,922",719,589,280,"2,163",139,420,186,75,226,125
2021,6,30,"5,470",516,"1,271",187,"2,665",103,265,157,74,133,99
2021,6,40,"7,388",770,"1,373",345,"3,480",164,395,267,132,297,165
2021,6,50,"7,160",994,974,638,"2,089",339,625,513,187,464,337
2021,6,60,"5,722",781,778,681,833,325,661,519,243,548,353
2021,6,70,"3,559",462,533,371,315,256,408,390,165,434,225
2021,6,80,"1,326",168,183,134,76,119,167,152,59,188,80
2021,6,90,100,8,17,8,7,10,15,13,6,9,7
2021,6,100,3,0,0,0,1,1,0,0,0,0,1
2021,7,총,"44,817","5,444","7,825","2,859","16,600","1,551","3,244","2,321","1,008","2,475","1,490"
2021,7,0,"4,162",382,"1,254",74,"2,159",19,101,54,29,61,29
2021,7,10,"4,796",583,798,142,"2,671",69,196,84,46,126,81
2021,7,20,"4,972",735,598,277,"2,193",141,419,185,74,228,122
2021,7,30,"5,501",524,"1,281",185,"2,697",102,252,152,75,134,99
2021,7,40,"7,429",781,"1,394",345,"3,506",165,394,263,127,292,162
2021,7,50,"7,219","1,011",985,638,"2,131",340,626,510,185,460,333
2021,7,60,"5,745",787,780,682,843,328,665,521,241,547,351
2021,7,70,"3,553",467,526,373,315,256,410,388,166,427,225
2021,7,80,"1,340",166,194,135,77,120,166,152,59,191,80
2021,7,90,97,8,15,8,7,10,15,12,6,9,7
2021,7,100,3,0,0,0,1,1,0,0,0,0,1
2021,8,총,"45,064","5,455","7,931","2,855","16,747","1,551","3,242","2,321","1,007","2,470","1,485"
2021,8,0,"4,170",382,"1,266",74,"2,160",18,102,52,28,59,29
2021,8,10,"4,845",585,807,143,"2,704",71,199,83,45,126,82
2021,8,20,"5,003",740,605,276,"2,217",144,417,184,77,225,118
2021,8,30,"5,536",522,"1,305",182,"2,726",100,247,149,72,133,100
2021,8,40,"7,479",781,"1,426",344,"3,528",165,394,266,128,288,159
2021,8,50,"7,249","1,014",991,634,"2,151",340,624,514,184,464,333
2021,8,60,"5,767",790,789,678,855,329,666,519,242,549,350
2021,8,70,"3,566",467,529,379,320,251,412,388,167,428,225
2021,8,80,"1,345",166,197,137,78,121,165,154,58,189,80
2021,8,90,101,8,16,8,7,11,16,12,6,9,8
2021,8,100,3,0,0,0,1,1,0,0,0,0,1
2021,9,총,"45,280","5,461","8,045","2,843","16,890","1,544","3,254","2,309","1,001","2,456","1,477"
2021,9,0,"4,194",378,"1,279",76,"2,175",17,102,51,28,59,29
2021,9,10,"4,866",583,821,141,"2,714",71,200,81,45,125,85
2021,9,20,"5,025",746,606,274,"2,247",142,422,179,73,220,116
2021,9,30,"5,587",517,"1,336",177,"2,767",98,245,147,72,131,97
2021,9,40,"7,480",785,"1,451",338,"3,528",164,393,257,121,287,156
2021,9,50,"7,311","1,019","1,006",636,"2,184",332,631,522,188,461,332
2021,9,60,"5,797",793,804,676,862,335,667,519,246,547,348
2021,9,70,"3,567",467,528,382,324,249,413,388,164,428,224
2021,9,80,"1,344",165,195,135,81,124,165,152,58,188,81
2021,9,90,106,8,19,8,7,11,16,13,6,10,8
2021,9,100,3,0,0,0,1,1,0,0,0,0,1
2021,10,총,"45,431","5,477","8,127","2,841","16,956","1,545","3,254","2,309",994,"2,450","1,478"
2021,10,0,"4,208",384,"1,293",78,"2,166",18,103,51,28,58,29
2021,10,10,"4,883",582,834,137,"2,730",69,203,77,45,121,85
2021,10,20,"5,041",741,616,275,"2,271",143,415,180,69,216,115
2021,10,30,"5,618",520,"1,338",180,"2,786",98,244,151,71,134,96
2021,10,40,"7,485",791,"1,473",335,"3,527",160,397,257,113,279,153
2021,10,50,"7,364","1,020","1,018",632,"2,200",338,635,521,196,465,339
2021,10,60,"5,798",795,807,677,865,332,665,518,243,548,348
2021,10,70,"3,577",470,533,383,322,248,414,390,166,428,223
2021,10,80,"1,351",166,196,136,82,127,163,152,57,191,81
2021,10,90,104,8,19,8,6,12,15,12,6,10,8
2021,10,100,2,0,0,0,1,0,0,0,0,0,1
2021,11,총,"45,682","5,478","8,170","2,852","17,143","1,543","3,260","2,310",991,"2,452","1,483"
2021,11,0,"4,219",383,"1,301",76,"2,181",19,98,48,27,59,27
2021,11,10,"4,909",580,833,140,"2,748",70,206,82,45,120,85
2021,11,20,"5,094",752,620,276,"2,319",142,412,177,70,214,112
2021,11,30,"5,644",515,"1,331",185,"2,818",94,246,152,69,134,100
2021,11,40,"7,557",787,"1,506",339,"3,561",163,398,253,113,282,155
2021,11,50,"7,389","1,027","1,023",629,"2,227",332,637,519,195,461,339
2021,11,60,"5,813",789,806,683,868,333,663,524,244,552,351
2021,11,70,"3,604",473,537,380,330,252,419,389,166,433,225
2021,11,80,"1,352",165,195,138,85,126,166,154,56,187,80
2021,11,90,100,7,18,6,6,12,15,12,6,10,8
2021,11,100,1,0,0,0,0,0,0,0,0,0,1
2021,12,총,"45,753","5,488","8,185","2,877","17,201","1,542","3,256","2,292",992,"2,448","1,472"
2021,12,0,"4,221",387,"1,303",77,"2,180",19,97,47,26,59,26
2021,12,10,"4,914",582,830,142,"2,760",70,206,76,46,118,84
2021,12,20,"5,091",743,617,279,"2,333",142,413,174,65,213,112
2021,12,30,"5,626",512,"1,326",190,"2,810",91,246,153,67,133,98
2021,12,40,"7,590",790,"1,519",342,"3,585",163,396,246,114,282,153
2021,12,50,"7,408","1,030","1,031",630,"2,238",337,638,515,199,457,333
2021,12,60,"5,824",792,811,686,872,330,654,527,244,554,354
2021,12,70,"3,609",478,533,384,333,253,422,389,163,431,223
2021,12,80,"1,369",167,197,141,84,126,168,153,62,191,80
2021,12,90,100,7,18,6,6,11,16,12,6,10,8
2021,12,100,1,0,0,0,0,0,0,0,0,0,1
