년도,월,나이,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020,2,30,"45,105","2,513","3,024","2,539","3,195","5,920","3,559","2,000","1,945","2,906","3,610","2,665","4,120","2,595","4,514"
2020,2,40,"48,319","2,992","2,763","2,598","1,990","5,551","3,904","2,339","2,178","3,485","4,245","3,138","4,441","3,409","5,286"
2020,2,50,"49,616","3,065","2,841","3,037","2,012","5,548","4,123","2,782","2,614","4,034","4,664","2,213","4,093","3,017","5,573"
2020,2,60,"37,186","2,131","1,741","2,372","1,383","4,218","3,201","2,268","1,862","3,188","3,590","1,591","3,070","2,115","4,456"
2020,2,70,"24,282","1,473","1,037","1,389","1,019","2,963","2,001","1,602","1,247","1,984","2,228",980,"2,061","1,368","2,930"
2020,2,80,"10,730",769,444,666,477,"1,349",863,781,539,908,"1,018",421,859,553,"1,083"
2020,2,90,"1,561",102,72,128,84,191,125,92,77,137,144,53,145,78,133
2020,2,100,281,30,27,36,25,28,13,21,5,19,20,15,22,11,9
2020,3,총,"312,642","18,249","17,040","17,768","18,770","37,853","24,620","16,085","14,359","23,060","27,445","16,270","29,058","18,841","33,224"
2020,3,0,"20,674","1,335","1,489",779,814,"1,819","1,680",816,872,"1,455","1,429","2,239","2,608","1,530","1,809"
2020,3,10,"24,633","1,570","1,150","1,212",994,"2,672","1,986","1,201","1,147","1,897","2,322","1,450","2,422","1,997","2,613"
2020,3,20,"49,530","2,311","2,454","2,997","6,814","7,706","3,202","2,182","1,874","2,961","4,183","1,619","4,127","2,213","4,887"
2020,3,30,"45,358","2,500","3,040","2,553","3,176","5,877","3,552","2,009","1,938","2,931","3,605","2,655","4,468","2,568","4,486"
2020,3,40,"48,394","2,974","2,773","2,582","1,981","5,498","3,877","2,321","2,166","3,495","4,227","3,090","4,787","3,391","5,232"
2020,3,50,"49,654","3,039","2,811","3,029","2,007","5,533","4,112","2,764","2,610","4,056","4,646","2,191","4,289","3,006","5,561"
2020,3,60,"37,358","2,142","1,743","2,384","1,383","4,210","3,206","2,301","1,872","3,189","3,613","1,567","3,154","2,121","4,473"
2020,3,70,"24,350","1,481","1,038","1,400","1,013","2,967","1,998","1,593","1,254","1,994","2,228",971,"2,126","1,366","2,921"
2020,3,80,"10,818",763,443,668,476,"1,350",866,785,541,927,"1,022",420,906,558,"1,093"
2020,3,90,"1,591",104,72,128,87,192,128,93,80,136,149,53,149,81,139
2020,3,100,282,30,27,36,25,29,13,20,5,19,21,15,22,10,10
2020,4,총,"312,809","18,236","17,040","17,814","18,851","37,805","24,570","16,045","14,386","23,049","27,322","16,231","29,553","18,760","33,147"
2020,4,0,"20,662","1,340","1,487",779,813,"1,792","1,662",810,872,"1,464","1,412","2,229","2,692","1,513","1,797"
2020,4,10,"24,532","1,563","1,151","1,198",989,"2,666","1,978","1,190","1,147","1,889","2,291","1,454","2,445","1,988","2,583"
2020,4,20,"49,833","2,304","2,455","3,074","6,906","7,771","3,193","2,170","1,880","2,947","4,187","1,624","4,210","2,203","4,909"
2020,4,30,"45,332","2,503","3,024","2,556","3,176","5,824","3,541","2,007","1,940","2,947","3,601","2,636","4,566","2,550","4,461"
2020,4,40,"48,237","2,956","2,775","2,555","1,987","5,482","3,865","2,309","2,154","3,484","4,173","3,094","4,850","3,362","5,191"
2020,4,50,"49,621","3,042","2,813","3,018","1,998","5,518","4,093","2,750","2,619","4,045","4,618","2,181","4,376","3,011","5,539"
2020,4,60,"37,490","2,134","1,747","2,401","1,388","4,206","3,218","2,309","1,892","3,204","3,622","1,559","3,181","2,126","4,503"
2020,4,70,"24,346","1,486","1,039","1,400","1,008","2,962","2,001","1,597","1,255","1,982","2,224",966,"2,143","1,364","2,919"
2020,4,80,"10,876",772,448,669,474,"1,359",879,789,539,930,"1,024",422,919,554,"1,098"
2020,4,90,"1,599",106,74,129,87,196,127,94,83,138,149,51,149,79,137
2020,4,100,281,30,27,35,25,29,13,20,5,19,21,15,22,10,10
2020,5,총,"312,869","18,219","17,004","17,865","18,919","37,822","24,529","16,023","14,383","23,065","27,315","16,186","29,734","18,706","33,099"
2020,5,0,"20,633","1,345","1,480",771,818,"1,791","1,646",812,869,"1,471","1,401","2,218","2,719","1,497","1,795"
2020,5,10,"24,405","1,558","1,143","1,195",968,"2,655","1,976","1,183","1,137","1,873","2,278","1,445","2,440","1,991","2,563"
2020,5,20,"49,970","2,292","2,454","3,104","6,971","7,784","3,168","2,173","1,886","2,967","4,207","1,626","4,236","2,193","4,909"
2020,5,30,"45,318","2,507","3,004","2,566","3,186","5,854","3,528","2,011","1,940","2,942","3,591","2,613","4,598","2,534","4,444"
2020,5,40,"48,072","2,945","2,767","2,563","1,998","5,454","3,845","2,278","2,133","3,463","4,148","3,088","4,890","3,341","5,159"
2020,5,50,"49,692","3,034","2,817","3,028","1,990","5,526","4,108","2,749","2,623","4,069","4,631","2,178","4,380","3,012","5,547"
2020,5,60,"37,550","2,140","1,753","2,404","1,384","4,203","3,214","2,303","1,900","3,192","3,635","1,551","3,224","2,136","4,511"
2020,5,70,"24,410","1,485","1,040","1,396","1,014","2,959","2,018","1,605","1,265","1,999","2,220",976,"2,148","1,364","2,921"
2020,5,80,"10,940",773,446,675,477,"1,370",888,797,543,930,"1,036",424,926,549,"1,106"
2020,5,90,"1,597",110,73,125,88,197,126,92,83,140,147,52,151,79,134
2020,5,100,282,30,27,38,25,29,12,20,4,19,21,15,22,10,10
2020,6,총,"312,720","18,192","17,019","17,859","19,016","37,764","24,525","15,973","14,403","23,002","27,252","16,091","29,895","18,668","33,061"
2020,6,0,"20,526","1,340","1,483",764,814,"1,776","1,633",798,866,"1,482","1,394","2,191","2,720","1,489","1,776"
2020,6,10,"24,301","1,549","1,136","1,199",963,"2,653","1,981","1,174","1,140","1,847","2,251","1,451","2,442","1,974","2,541"
2020,6,20,"50,162","2,291","2,456","3,119","7,061","7,817","3,155","2,173","1,889","2,962","4,228","1,624","4,279","2,195","4,913"
2020,6,30,"45,224","2,491","2,993","2,562","3,194","5,825","3,523","2,007","1,944","2,930","3,574","2,579","4,620","2,526","4,456"
2020,6,40,"47,981","2,927","2,765","2,560","2,004","5,435","3,858","2,258","2,136","3,445","4,125","3,066","4,929","3,331","5,142"
2020,6,50,"49,544","3,039","2,818","3,013","2,000","5,486","4,102","2,740","2,608","4,053","4,592","2,174","4,393","2,996","5,530"
2020,6,60,"37,735","2,163","1,782","2,404","1,382","4,220","3,220","2,304","1,928","3,203","3,660","1,549","3,245","2,159","4,516"
2020,6,70,"24,418","1,480","1,042","1,398","1,013","2,960","2,018","1,610","1,262","1,990","2,222",967,"2,163","1,360","2,933"
2020,6,80,"10,949",772,444,676,476,"1,363",896,799,543,929,"1,039",424,932,549,"1,107"
2020,6,90,"1,596",110,72,126,85,199,127,90,83,142,146,51,149,79,137
2020,6,100,284,30,28,38,24,30,12,20,4,19,21,15,23,10,10
2020,7,총,"312,264","18,159","16,977","17,870","18,963","37,657","24,513","15,964","14,390","23,006","27,239","16,043","29,904","18,646","32,933"
2020,7,0,"20,368","1,329","1,471",763,783,"1,756","1,618",809,870,"1,487","1,355","2,178","2,717","1,489","1,743"
2020,7,10,"24,204","1,542","1,140","1,195",944,"2,632","1,971","1,162","1,132","1,851","2,256","1,441","2,436","1,985","2,517"
2020,7,20,"50,100","2,282","2,446","3,132","7,076","7,821","3,175","2,149","1,878","2,955","4,243","1,617","4,273","2,183","4,870"
2020,7,30,"45,126","2,491","2,973","2,561","3,184","5,794","3,517","2,012","1,941","2,932","3,562","2,580","4,630","2,503","4,446"
2020,7,40,"47,846","2,913","2,751","2,571","1,992","5,399","3,840","2,263","2,138","3,447","4,104","3,049","4,932","3,336","5,111"
2020,7,50,"49,530","3,048","2,828","2,996","2,000","5,482","4,116","2,733","2,597","4,044","4,602","2,174","4,388","3,000","5,522"
2020,7,60,"37,767","2,160","1,784","2,414","1,380","4,226","3,211","2,308","1,933","3,204","3,674","1,546","3,258","2,149","4,520"
2020,7,70,"24,481","1,479","1,042","1,399","1,014","2,967","2,027","1,623","1,261","1,997","2,229",967,"2,166","1,359","2,951"
2020,7,80,"10,947",777,439,672,477,"1,347",901,796,552,933,"1,047",419,934,551,"1,102"
2020,7,90,"1,612",108,75,130,89,202,125,89,84,138,146,57,147,81,141
2020,7,100,283,30,28,37,24,31,12,20,4,18,21,15,23,10,10
2020,8,총,"312,632","18,032","16,853","18,913","19,056","37,508","24,501","15,906","14,377","22,891","27,182","15,993","29,969","18,590","32,861"
2020,8,0,"20,389","1,298","1,465",932,780,"1,751","1,606",805,861,"1,474","1,338","2,163","2,705","1,475","1,736"
2020,8,10,"24,072","1,525","1,116","1,263",932,"2,600","1,956","1,159","1,121","1,826","2,224","1,440","2,450","1,970","2,490"
2020,8,20,"50,313","2,286","2,424","3,264","7,197","7,839","3,184","2,118","1,877","2,928","4,240","1,606","4,307","2,186","4,857"
2020,8,30,"45,164","2,466","2,944","2,791","3,171","5,764","3,511","2,019","1,943","2,913","3,542","2,558","4,623","2,479","4,440"
2020,8,40,"47,845","2,888","2,724","2,746","1,999","5,350","3,852","2,240","2,124","3,446","4,086","3,052","4,941","3,325","5,072"
2020,8,50,"49,484","3,026","2,807","3,140","1,999","5,436","4,083","2,719","2,590","4,013","4,591","2,178","4,400","2,996","5,506"
2020,8,60,"38,019","2,165","1,799","2,496","1,380","4,231","3,245","2,305","1,951","3,213","3,710","1,541","3,265","2,171","4,547"
2020,8,70,"24,436","1,466","1,035","1,419","1,006","2,956","2,017","1,631","1,260","1,993","2,231",959,"2,172","1,344","2,947"
2020,8,80,"11,009",773,432,693,482,"1,348",908,803,561,925,"1,053",425,938,557,"1,111"
2020,8,90,"1,617",110,79,131,86,202,127,87,85,142,145,55,145,78,145
2020,8,100,284,29,28,38,24,31,12,20,4,18,22,16,23,9,10
2020,9,총,"313,212","17,968","16,747","20,169","19,184","37,101","24,456","15,882","14,325","22,840","27,148","15,981","30,016","18,568","32,827"
2020,9,0,"20,518","1,296","1,457","1,162",772,"1,733","1,593",799,855,"1,464","1,331","2,164","2,692","1,469","1,731"
2020,9,10,"23,946","1,510","1,092","1,346",917,"2,549","1,924","1,148","1,092","1,813","2,207","1,448","2,444","1,975","2,481"
2020,9,20,"50,508","2,284","2,412","3,381","7,324","7,804","3,193","2,119","1,883","2,909","4,243","1,598","4,322","2,181","4,855"
2020,9,30,"45,239","2,448","2,920","3,093","3,191","5,682","3,489","1,999","1,941","2,895","3,541","2,531","4,640","2,447","4,422"
2020,9,40,"47,815","2,877","2,683","2,952","1,993","5,266","3,848","2,229","2,100","3,443","4,048","3,080","4,909","3,323","5,064"
2020,9,50,"49,583","3,018","2,816","3,284","2,001","5,396","4,073","2,727","2,581","4,015","4,600","2,158","4,430","3,008","5,476"
2020,9,60,"38,237","2,162","1,799","2,621","1,389","4,205","3,276","2,305","1,958","3,223","3,721","1,542","3,288","2,169","4,579"
2020,9,70,"24,390","1,461","1,032","1,446","1,002","2,900","2,004","1,635","1,262","1,995","2,235",963,"2,172","1,339","2,944"
2020,9,80,"11,057",774,427,706,486,"1,332",917,815,563,926,"1,053",424,948,569,"1,117"
2020,9,90,"1,635",109,81,140,86,203,127,86,86,139,147,57,147,79,148
2020,9,100,284,29,28,38,23,31,12,20,4,18,22,16,24,9,10
2020,10,총,"312,781","17,888","16,696","20,575","19,252","36,663","24,405","15,887","14,268","22,797","27,110","15,948","30,034","18,518","32,740"
2020,10,0,"20,361","1,277","1,447","1,214",754,"1,711","1,575",796,840,"1,454","1,312","2,143","2,681","1,450","1,707"
2020,10,10,"23,827","1,493","1,105","1,362",901,"2,503","1,904","1,147","1,080","1,800","2,199","1,458","2,440","1,974","2,461"
2020,10,20,"50,437","2,277","2,398","3,414","7,356","7,741","3,176","2,128","1,885","2,901","4,257","1,578","4,298","2,184","4,844"
2020,10,30,"45,232","2,451","2,916","3,187","3,236","5,654","3,501","1,999","1,924","2,898","3,520","2,515","4,636","2,409","4,386"
2020,10,40,"47,649","2,842","2,696","3,020","1,997","5,181","3,826","2,231","2,061","3,411","4,034","3,083","4,910","3,317","5,040"
2020,10,50,"49,526","3,012","2,776","3,345","2,021","5,329","4,069","2,714","2,594","4,001","4,598","2,155","4,438","2,999","5,475"
2020,10,60,"38,338","2,174","1,790","2,671","1,393","4,128","3,284","2,308","1,965","3,252","3,743","1,549","3,318","2,184","4,579"
2020,10,70,"24,338","1,449","1,029","1,462",991,"2,850","2,006","1,632","1,259","1,986","2,225",970,"2,190","1,336","2,953"
2020,10,80,"11,138",776,428,719,492,"1,328",921,826,569,935,"1,057",424,951,577,"1,135"
2020,10,90,"1,646",107,83,142,88,207,131,86,87,141,141,57,148,79,149
2020,10,100,289,30,28,39,23,31,12,20,4,18,24,16,24,9,11
2020,11,총,"312,325","17,856","16,672","20,699","19,232","36,539","24,363","15,855","14,223","22,759","27,046","15,918","30,045","18,492","32,626"
2020,11,0,"20,220","1,267","1,439","1,239",736,"1,712","1,567",782,831,"1,435","1,300","2,134","2,657","1,433","1,688"
2020,11,10,"23,717","1,484","1,095","1,357",883,"2,486","1,896","1,144","1,071","1,790","2,187","1,456","2,443","1,978","2,447"
2020,11,20,"50,391","2,291","2,404","3,417","7,376","7,755","3,155","2,127","1,867","2,901","4,236","1,565","4,297","2,189","4,811"
2020,11,30,"45,139","2,434","2,889","3,255","3,257","5,653","3,485","1,971","1,936","2,904","3,506","2,492","4,619","2,409","4,329"
2020,11,40,"47,528","2,817","2,689","3,031","1,982","5,142","3,807","2,226","2,045","3,412","4,024","3,086","4,924","3,299","5,044"
2020,11,50,"49,468","3,024","2,792","3,341","2,011","5,285","4,087","2,724","2,572","3,978","4,596","2,160","4,437","3,006","5,455"
2020,11,60,"38,374","2,176","1,783","2,688","1,392","4,104","3,279","2,312","1,979","3,262","3,744","1,547","3,333","2,184","4,591"
2020,11,70,"24,366","1,456","1,037","1,470",991,"2,844","2,010","1,635","1,259","1,980","2,228",975,"2,200","1,328","2,953"
2020,11,80,"11,179",770,433,721,493,"1,323",932,829,572,937,"1,057",430,959,577,"1,146"
2020,11,90,"1,648",107,83,139,88,204,132,84,87,141,143,57,152,80,151
2020,11,100,295,30,28,41,23,31,13,21,4,19,25,16,24,9,11
2020,12,총,"312,173","17,784","16,637","20,807","19,264","36,311","24,340","15,819","14,228","23,013","26,992","15,894","30,054","18,440","32,590"
2020,12,0,"20,175","1,262","1,438","1,235",727,"1,678","1,560",761,834,"1,485","1,276","2,149","2,655","1,426","1,689"
2020,12,10,"23,622","1,467","1,086","1,370",869,"2,469","1,890","1,138","1,076","1,788","2,188","1,456","2,432","1,966","2,427"
2020,12,20,"50,356","2,277","2,379","3,436","7,412","7,704","3,166","2,123","1,859","2,926","4,244","1,553","4,300","2,169","4,808"
2020,12,30,"45,109","2,420","2,899","3,273","3,278","5,621","3,449","1,971","1,922","3,000","3,488","2,483","4,602","2,402","4,301"
2020,12,40,"47,487","2,809","2,681","3,057","1,983","5,114","3,796","2,205","2,048","3,462","4,004","3,085","4,925","3,278","5,040"
2020,12,50,"49,367","3,009","2,775","3,356","2,002","5,256","4,096","2,714","2,569","3,980","4,595","2,132","4,427","3,019","5,437"
2020,12,60,"38,558","2,191","1,805","2,699","1,403","4,102","3,285","2,327","1,995","3,283","3,744","1,558","3,367","2,180","4,619"
2020,12,70,"24,304","1,441","1,024","1,473",984,"2,813","2,013","1,636","1,251","1,977","2,224",975,"2,209","1,334","2,950"
2020,12,80,"11,246",772,442,728,496,"1,317",938,837,582,954,"1,061",429,958,573,"1,159"
2020,12,90,"1,651",107,80,139,86,206,133,85,88,138,143,58,154,84,150
2020,12,100,298,29,28,41,24,31,14,22,4,20,25,16,25,9,10
2021,1,총,"311,720","17,748","16,633","20,806","19,207","36,249","24,326","15,739","14,190","23,088","26,935","15,854","29,939","18,429","32,577"
2021,1,0,"20,039","1,261","1,424","1,223",709,"1,668","1,545",751,806,"1,506","1,268","2,127","2,642","1,428","1,681"
2021,1,10,"23,502","1,458","1,096","1,367",859,"2,455","1,888","1,116","1,076","1,784","2,168","1,452","2,411","1,957","2,415"
2021,1,20,"50,031","2,248","2,348","3,419","7,336","7,692","3,160","2,112","1,861","2,902","4,215","1,537","4,250","2,148","4,803"
2021,1,30,"45,057","2,419","2,906","3,287","3,318","5,621","3,444","1,962","1,898","3,013","3,485","2,456","4,579","2,394","4,275"
2021,1,40,"47,321","2,799","2,691","3,038","1,988","5,059","3,782","2,182","2,048","3,479","3,992","3,071","4,895","3,265","5,032"
2021,1,50,"49,362","3,014","2,777","3,369","1,996","5,256","4,091","2,704","2,573","3,978","4,590","2,151","4,414","3,013","5,436"
2021,1,60,"38,789","2,204","1,803","2,713","1,410","4,135","3,307","2,335","2,010","3,311","3,743","1,572","3,390","2,207","4,649"
2021,1,70,"24,317","1,431","1,029","1,478",980,"2,806","2,022","1,631","1,248","1,980","2,224",978,"2,215","1,341","2,954"
2021,1,80,"11,338",777,449,732,501,"1,321",940,837,577,971,"1,082",434,963,581,"1,173"
2021,1,90,"1,660",108,82,138,86,204,132,87,88,144,142,60,154,86,149
2021,1,100,304,29,28,42,24,32,15,22,5,20,26,16,26,9,10
2021,2,총,"311,132","17,642","16,581","20,877","19,207","36,072","24,207","15,704","14,163","23,059","26,865","15,833","29,984","18,417","32,521"
2021,2,0,"19,854","1,228","1,413","1,217",706,"1,640","1,531",752,785,"1,501","1,238","2,116","2,645","1,420","1,662"
2021,2,10,"23,509","1,450","1,096","1,367",890,"2,446","1,870","1,107","1,080","1,772","2,165","1,456","2,424","1,958","2,428"
2021,2,20,"49,787","2,204","2,335","3,440","7,348","7,662","3,131","2,098","1,842","2,873","4,177","1,518","4,243","2,135","4,781"
2021,2,30,"44,851","2,382","2,864","3,314","3,300","5,600","3,422","1,955","1,894","3,019","3,469","2,435","4,542","2,396","4,259"
2021,2,40,"47,157","2,805","2,684","3,040","1,985","4,987","3,750","2,183","2,047","3,454","3,978","3,065","4,904","3,257","5,018"
2021,2,50,"49,371","3,012","2,772","3,379","1,993","5,251","4,071","2,685","2,566","3,983","4,587","2,173","4,457","3,015","5,427"
2021,2,60,"38,975","2,214","1,830","2,736","1,410","4,131","3,324","2,344","2,036","3,331","3,760","1,579","3,404","2,221","4,655"
2021,2,70,"24,258","1,430","1,026","1,464",963,"2,794","2,019","1,628","1,248","1,986","2,223",977,"2,220","1,332","2,948"
2021,2,80,"11,384",775,452,740,504,"1,322",944,843,571,971,"1,101",435,964,584,"1,178"
2021,2,90,"1,680",112,81,138,84,207,129,87,89,149,141,63,155,90,155
2021,2,100,306,30,28,42,24,32,16,22,5,20,26,16,26,9,10
2021,3,총,"308,482","17,366","16,366","20,597","19,229","35,723","24,004","15,576","14,003","22,867","26,772","15,634","29,704","18,330","32,311"
2021,3,0,"19,749","1,212","1,411","1,219",703,"1,622","1,515",755,781,"1,484","1,236","2,112","2,652","1,406","1,641"
2021,3,10,"23,426","1,440","1,084","1,369",935,"2,430","1,864","1,096","1,070","1,773","2,164","1,448","2,400","1,956","2,397"
2021,3,20,"49,827","2,182","2,320","3,442","7,464","7,659","3,140","2,093","1,829","2,863","4,161","1,507","4,249","2,149","4,769"
2021,3,30,"44,608","2,351","2,851","3,308","3,309","5,605","3,384","1,956","1,875","2,996","3,463","2,414","4,503","2,373","4,220"
2021,3,40,"46,700","2,781","2,665","3,028","1,953","4,876","3,712","2,145","2,019","3,436","3,925","3,047","4,871","3,245","4,997"
2021,3,50,"48,922","2,994","2,755","3,313","1,973","5,209","4,040","2,643","2,534","3,942","4,579","2,153","4,397","3,017","5,373"
2021,3,60,"38,675","2,189","1,796","2,660","1,401","4,105","3,298","2,315","2,031","3,327","3,757","1,553","3,370","2,212","4,661"
2021,3,70,"23,739","1,375",985,"1,421",920,"2,718","1,990","1,615","1,224","1,938","2,211",924,"2,178","1,313","2,927"
2021,3,80,"11,201",749,431,705,492,"1,296",940,851,559,969,"1,108",414,944,578,"1,165"
2021,3,90,"1,526",88,63,122,75,193,118,85,76,133,141,58,138,79,157
2021,3,100,109,5,5,10,4,10,3,22,5,6,27,4,2,2,4
2021,4,총,"307,825","17,281","16,274","20,566","19,326","35,601","23,931","15,536","13,972","22,823","26,731","15,635","29,706","18,277","32,166"
2021,4,0,"19,629","1,204","1,400","1,214",703,"1,617","1,498",756,769,"1,476","1,231","2,106","2,633","1,408","1,614"
2021,4,10,"23,293","1,440","1,068","1,359",931,"2,395","1,852","1,082","1,058","1,767","2,160","1,461","2,408","1,934","2,378"
2021,4,20,"49,676","2,137","2,309","3,446","7,524","7,644","3,128","2,080","1,811","2,857","4,139","1,497","4,225","2,132","4,747"
2021,4,30,"44,594","2,364","2,845","3,306","3,344","5,603","3,356","1,954","1,882","3,006","3,477","2,389","4,482","2,388","4,198"
2021,4,40,"46,526","2,750","2,647","3,008","1,962","4,858","3,702","2,131","2,012","3,417","3,913","3,075","4,880","3,220","4,951"
2021,4,50,"48,770","2,981","2,737","3,303","1,960","5,191","4,046","2,642","2,518","3,927","4,569","2,141","4,395","3,011","5,349"
2021,4,60,"38,799","2,192","1,799","2,680","1,410","4,089","3,304","2,315","2,050","3,334","3,754","1,562","3,408","2,215","4,687"
2021,4,70,"23,641","1,369",973,"1,418",914,"2,699","1,973","1,612","1,229","1,924","2,204",929,"2,169","1,313","2,915"
2021,4,80,"11,259",751,430,701,499,"1,299",953,854,562,975,"1,111",414,965,576,"1,169"
2021,4,90,"1,528",88,61,121,75,196,116,88,76,134,144,57,139,78,155
2021,4,100,110,5,5,10,4,10,3,22,5,6,29,4,2,2,3
2021,5,총,"307,406","17,243","16,249","20,589","19,371","35,466","23,943","15,497","13,927","22,783","26,657","15,611","29,732","18,244","32,094"
2021,5,0,"19,517","1,185","1,394","1,213",713,"1,610","1,488",747,769,"1,465","1,209","2,098","2,644","1,382","1,600"
2021,5,10,"23,195","1,431","1,055","1,355",923,"2,381","1,856","1,084","1,039","1,756","2,127","1,463","2,404","1,942","2,379"
2021,5,20,"49,572","2,150","2,308","3,436","7,558","7,613","3,126","2,072","1,810","2,835","4,138","1,487","4,216","2,124","4,699"
2021,5,30,"44,546","2,352","2,847","3,310","3,370","5,586","3,348","1,943","1,863","3,018","3,486","2,381","4,484","2,369","4,189"
2021,5,40,"46,297","2,725","2,628","3,009","1,960","4,828","3,682","2,125","1,991","3,390","3,880","3,070","4,876","3,210","4,923"
2021,5,50,"48,706","2,973","2,725","3,306","1,961","5,165","4,053","2,644","2,522","3,931","4,544","2,131","4,401","2,998","5,352"
2021,5,60,"38,966","2,207","1,815","2,695","1,398","4,092","3,327","2,308","2,071","3,340","3,781","1,576","3,418","2,236","4,702"
2021,5,70,"23,646","1,373",973,"1,422",908,"2,689","1,985","1,608","1,218","1,925","2,207",922,"2,180","1,324","2,912"
2021,5,80,"11,309",755,435,708,502,"1,295",955,855,561,984,"1,108",424,967,578,"1,182"
2021,5,90,"1,540",87,64,125,74,197,120,87,78,134,147,55,140,79,153
2021,5,100,112,5,5,10,4,10,3,24,5,5,30,4,2,2,3
2021,6,총,"307,070","17,248","16,193","20,586","19,434","35,362","23,903","15,475","13,881","22,770","26,611","15,605","29,798","18,211","31,993"
2021,6,0,"19,452","1,190","1,395","1,201",695,"1,610","1,475",744,773,"1,457","1,216","2,099","2,658","1,372","1,567"
2021,6,10,"23,065","1,425","1,045","1,346",920,"2,366","1,855","1,077","1,028","1,749","2,119","1,461","2,381","1,932","2,361"
2021,6,20,"49,525","2,145","2,304","3,435","7,622","7,577","3,116","2,059","1,786","2,845","4,128","1,484","4,231","2,123","4,670"
2021,6,30,"44,493","2,347","2,836","3,327","3,385","5,558","3,345","1,948","1,865","3,014","3,474","2,364","4,497","2,350","4,183"
2021,6,40,"46,171","2,728","2,611","3,002","1,964","4,826","3,657","2,106","1,966","3,382","3,864","3,076","4,879","3,201","4,909"
2021,6,50,"48,627","2,978","2,711","3,301","1,953","5,142","4,046","2,648","2,517","3,905","4,533","2,141","4,416","2,997","5,339"
2021,6,60,"39,141","2,221","1,818","2,721","1,408","4,105","3,336","2,308","2,084","3,371","3,792","1,571","3,442","2,252","4,712"
2021,6,70,"23,559","1,362",968,"1,412",906,"2,673","1,982","1,621","1,212","1,917","2,196",920,"2,164","1,319","2,907"
2021,6,80,"11,390",760,437,705,506,"1,298",968,854,568,988,"1,114",430,989,583,"1,190"
2021,6,90,"1,535",87,63,126,70,197,120,86,78,137,145,55,139,80,152
2021,6,100,112,5,5,10,5,10,3,24,4,5,30,4,2,2,3
2021,7,총,"306,839","17,207","16,173","20,568","19,496","35,275","23,892","15,458","13,864","22,747","26,660","15,586","29,778","18,178","31,957"
2021,7,0,"19,383","1,176","1,395","1,204",697,"1,593","1,484",735,771,"1,467","1,215","2,097","2,642","1,360","1,547"
