년도,월,나이,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2020,4,20,"17,226",558,520,"2,712","1,194","1,414","1,658","1,601",188,"1,126",265,264,"3,305","2,083",338
2020,4,30,"24,134",589,566,"3,475","1,265","1,600","1,766","2,599",233,"1,538",274,277,"5,267","3,867",818
2020,4,40,"25,700",618,484,"3,681","1,215","1,362","2,204","2,941",219,"1,877",364,310,"4,355","5,368",702
2020,4,50,"20,146",845,645,"3,412","1,413","1,759","1,999","1,795",316,"1,378",483,446,"2,361","2,831",463
2020,4,60,"15,853",775,466,"3,097","1,248","1,565","1,555","1,145",295,939,426,398,"1,474","2,151",319
2020,4,70,"7,564",304,210,"1,629",618,698,797,485,123,325,194,158,768,"1,117",138
2020,4,80,"1,886",90,69,432,164,160,223,132,44,50,88,52,158,187,37
2020,4,90,216,12,4,44,15,11,28,23,7,11,4,3,20,25,9
2020,4,100,32,2,2,4,3,3,1,10,2,0,2,0,0,2,1
2020,5,총,"141,301","4,234","3,366","22,566","8,264","9,796","12,714","14,675","1,573","9,351","2,274","2,102","22,185","23,816","4,385"
2020,5,0,"15,367",186,158,"1,965",505,595,"1,145","2,349",60,"1,269",67,91,"2,567","3,662",748
2020,5,10,"12,405",231,221,"2,075",629,635,"1,351","1,444",82,870,110,102,"1,781","2,498",376
2020,5,20,"17,327",558,521,"2,716","1,205","1,414","1,649","1,626",188,"1,110",266,273,"3,316","2,082",403
2020,5,30,"24,288",595,582,"3,480","1,242","1,600","1,759","2,611",237,"1,519",277,269,"5,320","3,853",944
2020,5,40,"25,865",621,490,"3,678","1,220","1,344","2,202","2,993",222,"1,878",357,305,"4,383","5,381",791
2020,5,50,"20,257",844,641,"3,427","1,421","1,757","1,987","1,817",314,"1,378",482,449,"2,375","2,844",521
2020,5,60,"15,985",787,464,"3,096","1,241","1,575","1,567","1,176",293,943,424,401,"1,485","2,159",374
2020,5,70,"7,660",306,215,"1,645",619,701,802,492,123,324,198,157,780,"1,121",177
2020,5,80,"1,902",92,69,435,163,161,223,136,45,49,87,53,158,189,42
2020,5,90,212,12,3,44,16,11,28,21,7,11,4,2,20,25,8
2020,5,100,33,2,2,5,3,3,1,10,2,0,2,0,0,2,1
2020,6,총,"142,312","4,246","3,403","22,644","8,286","9,844","12,727","14,894","1,588","9,320","2,287","2,127","22,361","23,841","4,744"
2020,6,0,"15,438",182,160,"1,975",512,603,"1,165","2,365",56,"1,265",71,93,"2,572","3,646",773
2020,6,10,"12,435",230,222,"2,072",623,628,"1,343","1,444",83,873,110,99,"1,794","2,523",391
2020,6,20,"17,509",565,527,"2,727","1,209","1,422","1,648","1,655",195,"1,097",267,276,"3,347","2,091",483
2020,6,30,"24,506",600,596,"3,496","1,249","1,606","1,757","2,673",242,"1,496",279,279,"5,360","3,813","1,060"
2020,6,40,"26,047",620,490,"3,687","1,223","1,354","2,201","3,021",226,"1,883",356,306,"4,432","5,399",849
2020,6,50,"20,325",836,643,"3,418","1,425","1,756","1,984","1,857",313,"1,374",482,455,"2,394","2,847",541
2020,6,60,"16,159",800,469,"3,129","1,244","1,593","1,574","1,207",292,949,431,402,"1,489","2,176",404
2020,6,70,"7,729",308,218,"1,653",620,705,803,503,128,324,197,161,792,"1,126",191
2020,6,80,"1,920",91,72,439,163,162,224,138,44,50,88,54,161,192,42
2020,6,90,210,12,4,42,15,12,27,21,7,9,4,2,20,26,9
2020,6,100,34,2,2,6,3,3,1,10,2,0,2,0,0,2,1
2020,7,총,"142,973","4,279","3,437","22,662","8,299","9,894","12,786","14,981","1,603","9,336","2,271","2,142","22,539","23,846","4,898"
2020,7,0,"15,424",182,156,"1,970",508,606,"1,168","2,361",57,"1,264",71,89,"2,582","3,633",777
2020,7,10,"12,451",237,223,"2,068",621,624,"1,335","1,456",84,878,110,100,"1,799","2,531",385
2020,7,20,"17,637",561,541,"2,736","1,211","1,425","1,664","1,661",196,"1,100",263,274,"3,394","2,086",525
2020,7,30,"24,633",607,600,"3,476","1,255","1,624","1,758","2,693",246,"1,485",275,285,"5,410","3,800","1,119"
2020,7,40,"26,201",629,503,"3,706","1,221","1,360","2,221","3,042",230,"1,906",352,315,"4,447","5,402",867
2020,7,50,"20,376",847,645,"3,412","1,418","1,765","1,982","1,873",321,"1,369",481,451,"2,418","2,849",545
2020,7,60,"16,291",801,468,"3,148","1,263","1,599","1,589","1,220",289,956,428,413,"1,500","2,190",427
2020,7,70,"7,764",311,221,"1,655",618,711,813,505,128,322,196,159,799,"1,129",197
2020,7,80,"1,950",91,73,443,166,165,229,139,43,48,89,53,170,196,45
2020,7,90,211,11,5,42,15,12,26,21,7,8,4,3,19,28,10
2020,7,100,35,2,2,6,3,3,1,10,2,0,2,0,1,2,1
2020,8,총,"143,555","4,284","3,470","22,651","8,290","9,901","12,834","14,992","1,612","9,349","2,266","2,138","22,961","23,828","4,979"
2020,8,0,"15,360",179,160,"1,959",505,609,"1,171","2,341",55,"1,263",69,88,"2,576","3,609",776
2020,8,10,"12,477",234,224,"2,060",617,628,"1,330","1,459",86,893,109,99,"1,816","2,530",392
2020,8,20,"17,776",567,541,"2,727","1,213","1,414","1,666","1,660",199,"1,091",262,271,"3,543","2,083",539
2020,8,30,"24,753",596,605,"3,480","1,254","1,627","1,764","2,696",252,"1,478",273,293,"5,529","3,775","1,131"
2020,8,40,"26,332",637,514,"3,701","1,216","1,360","2,218","3,052",232,"1,908",352,312,"4,510","5,424",896
2020,8,50,"20,405",845,648,"3,405","1,400","1,755","2,006","1,875",320,"1,367",482,443,"2,465","2,844",550
2020,8,60,"16,427",807,476,"3,172","1,282","1,602","1,598","1,234",284,964,429,417,"1,521","2,204",437
2020,8,70,"7,809",312,223,"1,657",617,721,817,504,132,327,194,161,811,"1,132",201
2020,8,80,"1,971",92,74,441,167,169,237,140,43,50,90,51,171,201,45
2020,8,90,213,13,3,43,16,13,26,21,7,8,4,3,19,26,11
2020,8,100,32,2,2,6,3,3,1,10,2,0,2,0,0,0,1
2020,9,총,"144,433","4,322","3,478","22,631","8,250","9,896","12,817","14,994","1,618","9,353","2,289","2,138","23,601","23,793","5,253"
2020,9,0,"15,373",187,158,"1,946",500,604,"1,160","2,339",52,"1,275",71,87,"2,603","3,596",795
2020,9,10,"12,497",234,225,"2,049",613,624,"1,325","1,459",86,892,111,98,"1,842","2,538",401
2020,9,20,"17,947",567,552,"2,736","1,202","1,410","1,654","1,654",198,"1,073",274,273,"3,718","2,078",558
2020,9,30,"24,949",610,601,"3,471","1,253","1,631","1,763","2,676",253,"1,482",272,297,"5,729","3,737","1,174"
2020,9,40,"26,507",653,512,"3,700","1,201","1,362","2,220","3,082",231,"1,914",351,303,"4,600","5,439",939
2020,9,50,"20,475",845,651,"3,400","1,396","1,736","2,003","1,875",322,"1,365",483,444,"2,533","2,834",588
2020,9,60,"16,597",810,480,"3,184","1,278","1,620","1,611","1,238",288,967,435,423,"1,551","2,213",499
2020,9,70,"7,861",304,221,"1,655",623,720,814,501,133,328,194,160,838,"1,131",239
2020,9,80,"1,973",97,73,438,167,172,240,138,46,48,92,50,166,198,48
2020,9,90,222,13,3,46,14,14,26,22,7,9,4,3,21,29,11
2020,9,100,32,2,2,6,3,3,1,10,2,0,2,0,0,0,1
2020,10,총,"145,167","4,315","3,459","22,616","8,233","9,870","12,820","14,984","1,614","9,324","2,288","2,143","24,162","23,765","5,574"
2020,10,0,"15,307",190,157,"1,955",500,598,"1,152","2,310",51,"1,259",71,88,"2,614","3,559",803
2020,10,10,"12,584",235,223,"2,043",615,620,"1,326","1,469",82,901,112,97,"1,878","2,573",410
2020,10,20,"18,097",562,550,"2,732","1,190","1,409","1,661","1,655",202,"1,072",273,275,"3,859","2,067",590
2020,10,30,"25,057",616,595,"3,459","1,249","1,638","1,759","2,657",251,"1,467",272,306,"5,886","3,677","1,225"
2020,10,40,"26,652",651,515,"3,697","1,189","1,355","2,210","3,093",236,"1,910",347,304,"4,719","5,446",980
2020,10,50,"20,586",843,643,"3,395","1,395","1,739","2,013","1,882",323,"1,366",487,439,"2,578","2,850",633
2020,10,60,"16,724",805,481,"3,181","1,284","1,603","1,616","1,235",287,961,437,423,"1,596","2,230",585
2020,10,70,"7,917",300,219,"1,657",626,719,816,514,129,329,191,158,844,"1,138",277
2020,10,80,"1,992",98,71,445,168,171,241,138,44,50,92,50,167,199,58
2020,10,90,219,13,3,46,14,15,25,21,7,9,4,3,21,26,12
2020,10,100,32,2,2,6,3,3,1,10,2,0,2,0,0,0,1
2020,11,총,"146,255","4,310","3,483","22,576","8,240","9,823","12,813","15,012","1,603","9,352","2,271","2,128","24,556","23,738","6,350"
2020,11,0,"15,384",186,159,"1,959",504,593,"1,148","2,307",49,"1,261",69,88,"2,615","3,525",921
2020,11,10,"12,689",232,217,"2,031",608,614,"1,328","1,480",84,918,114,92,"1,891","2,600",480
2020,11,20,"18,315",579,549,"2,722","1,189","1,398","1,668","1,660",201,"1,067",269,273,"3,975","2,058",707
2020,11,30,"25,216",608,611,"3,435","1,250","1,642","1,752","2,641",242,"1,474",273,305,"6,011","3,638","1,334"
2020,11,40,"26,820",642,513,"3,689","1,187","1,342","2,210","3,107",236,"1,894",343,301,"4,805","5,461","1,090"
2020,11,50,"20,746",842,648,"3,388","1,397","1,730","2,019","1,882",321,"1,379",482,436,"2,600","2,861",761
2020,11,60,"16,835",808,484,"3,186","1,284","1,597","1,610","1,243",286,964,434,422,"1,616","2,226",675
2020,11,70,"7,988",299,225,"1,667",630,721,816,522,131,335,190,156,855,"1,141",300
2020,11,80,"2,010",99,73,448,175,168,236,139,43,50,92,52,167,201,67
2020,11,90,220,13,2,45,13,15,25,21,8,10,3,3,21,27,14
2020,11,100,32,2,2,6,3,3,1,10,2,0,2,0,0,0,1
2020,12,총,"147,424","4,300","3,468","22,558","8,247","9,830","12,807","15,043","1,598","9,368","2,271","2,135","24,940","23,738","7,121"
2020,12,0,"15,438",182,152,"1,955",504,582,"1,138","2,305",47,"1,271",69,92,"2,606","3,504","1,031"
2020,12,10,"12,835",233,216,"2,041",611,617,"1,313","1,488",80,927,110,91,"1,905","2,616",587
2020,12,20,"18,535",568,552,"2,695","1,191","1,406","1,665","1,677",204,"1,061",275,277,"4,079","2,050",835
2020,12,30,"25,406",612,601,"3,444","1,256","1,642","1,745","2,630",242,"1,473",270,313,"6,143","3,619","1,416"
2020,12,40,"26,999",639,512,"3,688","1,184","1,339","2,207","3,121",233,"1,900",340,299,"4,854","5,460","1,223"
2020,12,50,"20,897",848,651,"3,369","1,381","1,727","2,020","1,883",319,"1,368",480,438,"2,644","2,866",903
2020,12,60,"16,960",808,485,"3,182","1,297","1,603","1,626","1,243",287,968,439,415,"1,647","2,240",720
2020,12,70,"8,076",296,224,"1,686",634,724,828,526,135,337,191,155,870,"1,146",324
2020,12,80,"2,024",99,70,447,173,173,238,138,41,53,92,52,171,210,67
2020,12,90,221,13,3,45,13,14,26,21,8,10,3,3,21,27,14
2020,12,100,33,2,2,6,3,3,1,11,2,0,2,0,0,0,1
2021,1,총,"148,229","4,308","3,481","22,503","8,230","9,828","12,819","15,060","1,578","9,376","2,275","2,117","25,170","23,769","7,715"
2021,1,0,"15,437",180,154,"1,923",508,578,"1,142","2,281",46,"1,266",65,88,"2,593","3,481","1,132"
2021,1,10,"12,933",236,218,"2,035",604,610,"1,306","1,501",77,944,113,89,"1,921","2,627",652
2021,1,20,"18,633",568,547,"2,690","1,194","1,411","1,663","1,677",202,"1,044",276,278,"4,131","2,059",893
2021,1,30,"25,437",604,603,"3,409","1,242","1,624","1,739","2,606",239,"1,456",271,302,"6,216","3,586","1,540"
2021,1,40,"27,217",639,517,"3,676","1,175","1,351","2,209","3,137",228,"1,923",336,296,"4,898","5,494","1,338"
2021,1,50,"21,024",849,649,"3,382","1,371","1,710","2,021","1,901",317,"1,366",491,437,"2,674","2,879",977
2021,1,60,"17,114",815,487,"3,191","1,314","1,626","1,639","1,258",286,980,433,415,"1,663","2,248",759
2021,1,70,"8,128",302,228,"1,696",627,723,830,531,132,334,194,154,882,"1,157",338
2021,1,80,"2,048",100,72,449,180,178,243,136,40,53,91,54,172,209,71
2021,1,90,224,13,4,46,12,14,26,20,9,10,3,4,20,29,14
2021,1,100,34,2,2,6,3,3,1,12,2,0,2,0,0,0,1
2021,2,총,"149,595","4,292","3,467","22,486","8,197","9,789","12,777","14,994","1,576","9,674","2,279","2,104","25,291","23,655","9,014"
2021,2,0,"15,546",175,151,"1,926",500,568,"1,132","2,260",46,"1,280",66,86,"2,571","3,433","1,352"
2021,2,10,"13,090",231,217,"2,016",587,602,"1,286","1,501",75,"1,001",117,89,"1,933","2,628",807
2021,2,20,"18,765",571,539,"2,678","1,193","1,415","1,658","1,675",208,"1,067",278,274,"4,122","2,041","1,046"
2021,2,30,"25,615",602,599,"3,404","1,246","1,614","1,720","2,566",234,"1,494",269,300,"6,253","3,511","1,803"
2021,2,40,"27,586",626,519,"3,664","1,164","1,348","2,212","3,127",226,"2,010",327,292,"4,944","5,517","1,610"
2021,2,50,"21,190",850,640,"3,387","1,359","1,702","2,026","1,919",318,"1,393",500,434,"2,700","2,874","1,088"
2021,2,60,"17,278",818,493,"3,207","1,327","1,626","1,644","1,251",287,"1,015",430,416,"1,680","2,245",839
2021,2,70,"8,196",304,232,"1,696",623,722,831,531,130,347,194,155,892,"1,167",372
2021,2,80,"2,068",100,70,454,184,176,242,134,41,57,92,54,173,211,80
2021,2,90,231,13,5,48,11,13,25,22,9,10,4,4,23,28,16
2021,2,100,30,2,2,6,3,3,1,8,2,0,2,0,0,0,1
2021,3,총,"150,678","4,218","3,430","22,344","8,115","9,754","12,764","14,906","1,539","9,937","2,258","2,073","25,348","23,636","10,356"
2021,3,0,"15,658",167,152,"1,912",498,568,"1,138","2,241",45,"1,303",66,82,"2,560","3,400","1,526"
2021,3,10,"13,198",226,213,"1,990",575,595,"1,275","1,499",75,"1,010",114,88,"1,936","2,650",952
2021,3,20,"18,933",557,533,"2,663","1,179","1,406","1,659","1,674",206,"1,122",274,271,"4,124","2,040","1,225"
2021,3,30,"25,749",601,593,"3,361","1,240","1,611","1,724","2,542",229,"1,549",267,301,"6,251","3,490","1,990"
2021,3,40,"27,779",620,513,"3,636","1,150","1,329","2,210","3,108",223,"2,039",321,283,"4,962","5,519","1,866"
2021,3,50,"21,371",821,632,"3,367","1,347","1,690","2,036","1,909",315,"1,418",496,425,"2,714","2,875","1,326"
2021,3,60,"17,463",816,492,"3,220","1,313","1,644","1,627","1,253",280,"1,063",431,413,"1,711","2,248",952
2021,3,70,"8,219",301,228,"1,693",619,717,828,523,121,361,194,153,893,"1,178",410
2021,3,80,"2,062",93,69,453,178,182,243,132,38,61,89,53,173,207,91
2021,3,90,231,13,5,46,13,10,24,23,7,11,5,4,24,29,17
2021,3,100,15,3,0,3,3,2,0,2,0,0,1,0,0,0,1
2021,4,총,"151,429","4,228","3,421","22,266","8,107","9,749","12,810","14,901","1,545","10,117","2,246","2,071","25,410","23,635","10,923"
2021,4,0,"15,665",169,153,"1,917",502,564,"1,131","2,223",45,"1,317",67,77,"2,551","3,375","1,574"
2021,4,10,"13,263",222,214,"1,952",576,589,"1,276","1,500",74,"1,031",111,91,"1,945","2,668","1,014"
2021,4,20,"19,015",550,518,"2,652","1,180","1,394","1,683","1,663",207,"1,143",273,274,"4,123","2,039","1,316"
2021,4,30,"25,794",606,595,"3,352","1,239","1,614","1,718","2,529",232,"1,565",263,297,"6,263","3,471","2,050"
2021,4,40,"27,944",623,519,"3,610","1,154","1,333","2,216","3,136",224,"2,086",320,285,"4,971","5,510","1,957"
2021,4,50,"21,554",822,615,"3,364","1,337","1,680","2,057","1,905",315,"1,448",490,429,"2,730","2,905","1,457"
2021,4,60,"17,627",823,506,"3,237","1,303","1,658","1,633","1,271",281,"1,083",433,404,"1,736","2,250","1,009"
2021,4,70,"8,238",301,228,"1,678",621,721,832,519,121,368,195,157,891,"1,173",433
2021,4,80,"2,087",97,68,457,181,183,241,130,39,65,89,53,175,214,95
2021,4,90,228,12,5,44,12,11,23,23,7,11,4,4,25,30,17
2021,4,100,14,3,0,3,2,2,0,2,0,0,1,0,0,0,1
2021,5,총,"151,874","4,222","3,438","22,250","8,101","9,714","12,823","14,925","1,544","10,260","2,229","2,076","25,445","23,640","11,207"
2021,5,0,"15,630",169,151,"1,911",506,567,"1,122","2,216",48,"1,333",64,81,"2,532","3,338","1,592"
2021,5,10,"13,317",214,213,"1,938",576,580,"1,275","1,507",74,"1,049",108,87,"1,955","2,700","1,041"
2021,5,20,"18,992",543,527,"2,629","1,179","1,373","1,688","1,658",207,"1,144",269,272,"4,112","2,039","1,352"
2021,5,30,"25,827",610,600,"3,358","1,221","1,609","1,719","2,520",227,"1,584",260,297,"6,277","3,432","2,113"
2021,5,40,"28,020",618,518,"3,619","1,148","1,336","2,211","3,142",223,"2,119",314,285,"4,969","5,524","1,994"
2021,5,50,"21,650",836,620,"3,342","1,347","1,672","2,062","1,911",315,"1,458",495,427,"2,734","2,916","1,515"
2021,5,60,"17,778",821,507,"3,262","1,308","1,650","1,649","1,279",283,"1,112",432,410,"1,762","2,259","1,044"
2021,5,70,"8,293",296,229,"1,687",620,728,824,535,119,378,196,159,900,"1,180",442
2021,5,80,"2,123",99,68,457,182,185,249,132,40,71,86,54,180,223,97
2021,5,90,230,13,5,44,12,12,24,23,8,12,4,4,24,29,16
2021,5,100,14,3,0,3,2,2,0,2,0,0,1,0,0,0,1
2021,6,총,"153,427","4,222","3,432","22,210","8,085","9,698","12,820","14,908","1,544","11,350","2,214","2,080","25,392","23,573","11,899"
2021,6,0,"15,830",170,153,"1,899",507,559,"1,111","2,212",49,"1,506",61,80,"2,499","3,304","1,720"
2021,6,10,"13,513",212,209,"1,931",570,580,"1,272","1,501",75,"1,182",108,91,"1,954","2,714","1,114"
2021,6,20,"19,137",543,525,"2,624","1,186","1,350","1,681","1,653",206,"1,292",265,270,"4,093","2,038","1,411"
2021,6,30,"25,970",609,598,"3,347","1,209","1,618","1,705","2,501",228,"1,710",254,304,"6,251","3,381","2,255"
2021,6,40,"28,346",616,520,"3,611","1,147","1,331","2,219","3,144",225,"2,335",312,284,"4,973","5,502","2,127"
2021,6,50,"21,897",833,610,"3,326","1,340","1,666","2,072","1,921",310,"1,665",497,423,"2,734","2,933","1,567"
2021,6,60,"17,982",825,511,"3,273","1,311","1,663","1,660","1,280",285,"1,184",431,410,"1,779","2,264","1,106"
2021,6,70,"8,354",301,233,"1,692",617,732,820,540,118,388,193,160,902,"1,181",477
2021,6,80,"2,154",97,68,461,184,185,256,130,40,75,88,55,183,226,106
2021,6,90,230,13,5,43,12,12,24,24,8,13,4,3,24,30,15
2021,6,100,14,3,0,3,2,2,0,2,0,0,1,0,0,0,1
2021,7,총,"154,574","4,209","3,441","22,157","8,067","9,684","12,807","14,910","1,539","12,190","2,215","2,063","25,394","23,532","12,366"
2021,7,0,"15,997",165,152,"1,889",511,546,"1,105","2,200",48,"1,634",67,80,"2,492","3,297","1,811"
2021,7,10,"13,687",211,212,"1,917",559,572,"1,272","1,517",73,"1,325",107,88,"1,953","2,709","1,172"
2021,7,20,"19,184",543,529,"2,607","1,165","1,344","1,680","1,638",209,"1,384",266,271,"4,071","2,038","1,439"
2021,7,30,"26,028",605,597,"3,337","1,207","1,616","1,707","2,473",218,"1,809",252,298,"6,240","3,336","2,333"
2021,7,40,"28,613",609,522,"3,603","1,148","1,337","2,226","3,153",223,"2,517",308,280,"4,985","5,479","2,223"
2021,7,50,"22,065",825,603,"3,305","1,343","1,658","2,055","1,939",314,"1,804",497,417,"2,751","2,945","1,609"
2021,7,60,"18,149",837,518,"3,290","1,316","1,669","1,662","1,286",288,"1,224",431,411,"1,789","2,286","1,142"
2021,7,70,"8,416",301,235,"1,700",615,737,818,543,118,399,192,159,908,"1,183",508
2021,7,80,"2,190",96,68,464,188,191,259,135,39,80,89,56,181,230,114
2021,7,90,233,14,5,42,14,12,23,24,9,14,5,3,24,29,15
2021,7,100,12,3,0,3,1,2,0,2,0,0,1,0,0,0,0
2021,8,총,"155,478","4,197","3,421","22,303","8,045","9,667","12,779","14,853","1,532","12,432","2,219","2,046","26,026","23,454","12,504"
2021,8,0,"16,075",167,154,"1,904",513,538,"1,094","2,160",47,"1,672",66,81,"2,582","3,266","1,831"
2021,8,10,"13,826",211,206,"1,923",549,572,"1,254","1,525",71,"1,360",109,89,"2,060","2,706","1,191"
2021,8,20,"19,226",542,520,"2,606","1,158","1,331","1,681","1,633",208,"1,409",265,268,"4,134","2,030","1,441"
2021,8,30,"26,079",600,602,"3,372","1,206","1,618","1,730","2,443",218,"1,852",251,292,"6,268","3,305","2,322"
2021,8,40,"28,776",609,513,"3,637","1,137","1,329","2,216","3,158",211,"2,544",311,275,"5,135","5,445","2,256"
2021,8,50,"22,257",817,594,"3,301","1,339","1,656","2,037","1,944",323,"1,844",497,414,"2,872","2,973","1,646"
2021,8,60,"18,316",837,524,"3,337","1,320","1,673","1,668","1,282",288,"1,251",433,411,"1,844","2,280","1,168"
2021,8,70,"8,448",302,235,"1,701",618,745,818,547,118,402,192,157,918,"1,184",511
2021,8,80,"2,223",96,68,475,190,191,257,136,39,84,89,56,186,234,122
2021,8,90,240,13,5,44,14,12,24,23,9,14,5,3,27,31,16
2021,8,100,12,3,0,3,1,2,0,2,0,0,1,0,0,0,0
2021,9,총,"156,333","4,151","3,386","22,940","8,019","9,612","12,675","14,813","1,531","12,573","2,212","2,038","26,449","23,408","12,526"
2021,9,0,"16,136",158,146,"2,044",504,537,"1,071","2,140",46,"1,692",65,74,"2,597","3,225","1,837"
2021,9,10,"13,936",208,196,"1,981",546,565,"1,241","1,528",72,"1,370",107,90,"2,123","2,723","1,186"
2021,9,20,"19,208",532,511,"2,623","1,152","1,314","1,655","1,619",203,"1,409",264,272,"4,182","2,023","1,449"
2021,9,30,"26,249",597,604,"3,553","1,214","1,607","1,727","2,431",222,"1,886",248,287,"6,286","3,285","2,302"
2021,9,40,"28,902",599,502,"3,758","1,124","1,332","2,184","3,168",209,"2,560",309,270,"5,219","5,413","2,255"
2021,9,50,"22,434",811,593,"3,373","1,333","1,621","2,033","1,920",319,"1,862",492,412,"3,010","2,990","1,665"
2021,9,60,"18,473",835,528,"3,370","1,323","1,677","1,671","1,300",293,"1,278",442,416,"1,869","2,289","1,182"
2021,9,70,"8,491",300,235,"1,702",618,748,820,549,118,416,189,155,938,"1,190",513
2021,9,80,"2,251",95,65,488,190,198,249,133,40,86,90,59,198,239,121
2021,9,90,241,13,6,45,14,11,24,23,9,14,5,3,27,31,16
2021,9,100,12,3,0,3,1,2,0,2,0,0,1,0,0,0,0
2021,10,총,"157,644","4,126","3,388","23,136","7,990","9,575","12,646","14,781","1,538","13,117","2,201","2,019","26,542","23,391","13,194"
2021,10,0,"16,461",156,151,"2,070",492,536,"1,064","2,125",48,"1,869",62,71,"2,588","3,208","2,021"
