년도,월,나이,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020,7,총,"26,646","10,696","2,403","3,666",969,877,685,"1,210","1,159","2,018","2,606",250,107
2020,7,0,"1,942","1,063",93,352,46,49,23,44,51,66,143,6,6
2020,7,10,"2,226","1,222",138,275,97,38,27,110,45,77,188,7,2
2020,7,20,"2,825","1,291",231,492,90,63,48,94,70,157,268,18,3
2020,7,30,"2,550","1,115",165,514,78,59,64,79,74,156,227,13,6
2020,7,40,"3,800","1,714",306,518,119,99,71,173,120,260,344,57,19
2020,7,50,"4,746","1,741",490,656,167,165,139,249,205,374,480,56,24
2020,7,60,"4,195","1,351",421,451,185,180,155,201,229,450,482,63,27
2020,7,70,"3,046",877,372,298,126,136,107,170,212,364,341,24,19
2020,7,80,"1,214",293,170,105,52,81,47,83,147,105,124,6,1
2020,7,90,98,29,14,4,9,7,4,7,6,9,9,0,0
2020,7,100,4,0,3,1,0,0,0,0,0,0,0,0,0
2020,8,총,"26,601","10,709","2,391","3,643",975,874,685,"1,197","1,164","2,007","2,597",251,108
2020,8,0,"1,949","1,071",93,346,50,51,22,41,51,68,144,6,6
2020,8,10,"2,214","1,219",135,273,97,36,27,110,45,78,185,7,2
2020,8,20,"2,801","1,278",228,492,88,61,48,95,70,153,267,18,3
2020,8,30,"2,533","1,119",162,507,76,59,64,74,76,154,224,12,6
2020,8,40,"3,790","1,722",305,509,123,99,70,165,120,261,339,57,20
2020,8,50,"4,737","1,747",485,655,166,163,137,250,205,371,476,58,24
2020,8,60,"4,213","1,355",424,454,186,180,157,202,230,447,489,63,26
2020,8,70,"3,047",876,375,300,128,136,108,168,213,360,339,24,20
2020,8,80,"1,213",293,167,102,52,81,48,85,147,105,126,6,1
2020,8,90,101,29,14,5,9,8,4,7,7,10,8,0,0
2020,8,100,3,0,3,0,0,0,0,0,0,0,0,0,0
2020,9,총,"26,573","10,733","2,377","3,642",970,873,685,"1,190","1,159","1,999","2,591",246,108
2020,9,0,"1,947","1,075",93,347,47,52,22,40,48,68,143,6,6
2020,9,10,"2,201","1,221",133,270,95,36,26,107,46,75,183,7,2
2020,9,20,"2,800","1,285",224,494,90,60,49,95,67,155,261,17,3
2020,9,30,"2,523","1,111",160,511,79,59,62,73,73,153,224,12,6
2020,9,40,"3,761","1,721",300,499,119,100,70,164,122,254,338,53,21
2020,9,50,"4,738","1,763",485,654,162,160,134,246,203,374,476,58,23
2020,9,60,"4,215","1,349",424,453,185,181,162,202,235,445,491,62,26
2020,9,70,"3,064",884,371,306,132,137,108,169,213,361,339,25,19
2020,9,80,"1,218",294,169,103,52,80,48,87,145,104,128,6,2
2020,9,90,103,30,15,5,9,8,4,7,7,10,8,0,0
2020,9,100,3,0,3,0,0,0,0,0,0,0,0,0,0
2020,10,총,"26,539","10,735","2,371","3,639",962,868,688,"1,184","1,159","1,985","2,590",247,111
2020,10,0,"1,942","1,075",93,346,44,50,25,38,47,66,146,6,6
2020,10,10,"2,170","1,209",130,267,89,36,25,107,45,75,178,7,2
2020,10,20,"2,805","1,297",221,493,92,59,50,92,68,153,260,16,4
2020,10,30,"2,519","1,111",162,509,80,57,61,73,72,149,225,14,6
2020,10,40,"3,742","1,713",297,499,118,100,72,163,120,255,334,49,22
2020,10,50,"4,734","1,761",487,652,162,158,134,249,204,367,477,61,22
2020,10,60,"4,230","1,358",425,459,185,183,160,199,236,445,491,61,28
2020,10,70,"3,075",889,369,308,130,137,108,169,215,362,342,27,19
2020,10,80,"1,215",293,169,101,52,79,49,87,145,103,129,6,2
2020,10,90,104,29,15,5,10,9,4,7,7,10,8,0,0
2020,10,100,3,0,3,0,0,0,0,0,0,0,0,0,0
2020,11,총,"26,517","10,734","2,362","3,643",965,864,683,"1,175","1,159","1,981","2,590",248,113
2020,11,0,"1,927","1,069",88,347,44,49,25,35,46,66,146,6,6
2020,11,10,"2,174","1,212",131,270,86,36,25,104,46,74,181,7,2
2020,11,20,"2,816","1,301",218,495,99,58,50,91,69,155,258,16,6
2020,11,30,"2,518","1,119",161,504,81,55,61,75,70,147,225,14,6
2020,11,40,"3,720","1,696",296,501,116,101,70,158,120,257,335,48,22
2020,11,50,"4,720","1,757",485,650,163,156,132,251,206,359,479,60,22
2020,11,60,"4,257","1,370",426,464,186,186,159,194,238,449,493,64,28
2020,11,70,"3,067",892,370,303,129,136,109,170,215,361,336,27,19
2020,11,80,"1,209",289,168,104,51,78,48,89,141,103,130,6,2
2020,11,90,106,29,16,5,10,9,4,8,8,10,7,0,0
2020,11,100,3,0,3,0,0,0,0,0,0,0,0,0,0
2020,12,총,"26,468","10,735","2,349","3,625",968,864,686,"1,172","1,158","1,979","2,572",248,112
2020,12,0,"1,926","1,066",91,345,41,49,25,37,46,69,144,7,6
2020,12,10,"2,147","1,202",127,268,88,36,24,102,45,74,172,7,2
2020,12,20,"2,813","1,297",215,493,96,59,52,93,71,152,262,17,6
2020,12,30,"2,508","1,119",158,498,85,56,62,73,72,145,221,13,6
2020,12,40,"3,702","1,702",290,500,116,98,70,153,120,255,329,48,21
2020,12,50,"4,711","1,757",483,642,168,157,134,253,203,355,478,60,21
2020,12,60,"4,261","1,372",424,465,186,185,157,198,238,455,491,62,28
2020,12,70,"3,075",893,375,305,129,136,109,166,216,360,339,27,20
2020,12,80,"1,215",297,168,103,50,79,49,89,139,103,129,7,2
2020,12,90,107,30,15,6,9,9,4,8,8,11,7,0,0
2020,12,100,3,0,3,0,0,0,0,0,0,0,0,0,0
2021,1,총,"26,446","10,765","2,338","3,601",946,869,689,"1,172","1,161","1,982","2,567",245,111
2021,1,0,"1,919","1,057",93,340,40,49,28,39,47,72,142,6,6
2021,1,10,"2,163","1,234",123,261,80,38,25,101,48,76,168,7,2
2021,1,20,"2,803","1,298",212,490,91,61,50,96,70,150,263,16,6
2021,1,30,"2,485","1,106",154,500,81,54,61,72,70,147,224,12,4
2021,1,40,"3,680","1,706",288,491,110,98,71,153,120,248,327,46,22
2021,1,50,"4,704","1,767",480,637,170,159,132,249,201,357,471,61,20
2021,1,60,"4,264","1,372",427,463,184,186,157,200,240,455,491,61,28
2021,1,70,"3,086",889,373,309,131,135,112,167,217,363,340,29,21
2021,1,80,"1,232",306,171,104,50,79,49,87,140,103,134,7,2
2021,1,90,107,30,14,6,9,10,4,8,8,11,7,0,0
2021,1,100,3,0,3,0,0,0,0,0,0,0,0,0,0
2021,2,총,"26,399","10,743","2,323","3,610",944,863,686,"1,173","1,156","1,974","2,568",247,112
2021,2,0,"1,909","1,046",90,347,40,47,29,39,46,72,141,6,6
2021,2,10,"2,165","1,241",125,257,80,36,25,99,50,75,168,7,2
2021,2,20,"2,758","1,277",202,488,87,61,50,98,69,147,256,17,6
2021,2,30,"2,478","1,100",156,507,85,53,59,74,67,142,219,12,4
2021,2,40,"3,652","1,691",289,483,103,96,69,153,120,245,334,46,23
2021,2,50,"4,729","1,778",476,640,172,160,135,248,203,361,475,62,19
2021,2,60,"4,272","1,384",426,465,184,186,155,201,236,453,492,61,29
2021,2,70,"3,083",887,369,306,133,136,112,167,217,365,341,29,21
2021,2,80,"1,240",308,172,110,51,79,48,86,139,103,135,7,2
2021,2,90,110,31,15,7,9,9,4,8,9,11,7,0,0
2021,2,100,3,0,3,0,0,0,0,0,0,0,0,0,0
2021,3,총,"26,333","10,709","2,311","3,614",938,855,684,"1,163","1,151","1,976","2,585",233,114
2021,3,0,"1,901","1,041",89,346,39,46,29,39,47,72,140,6,7
2021,3,10,"2,160","1,239",124,257,78,37,24,93,50,76,174,5,3
2021,3,20,"2,775","1,283",206,493,87,59,52,97,69,143,263,18,5
2021,3,30,"2,470","1,102",156,504,83,53,58,71,65,141,221,12,4
2021,3,40,"3,628","1,677",283,483,98,94,68,155,115,248,339,45,23
2021,3,50,"4,692","1,758",477,644,173,157,131,245,206,359,462,60,20
2021,3,60,"4,298","1,385",428,463,187,187,159,203,239,458,503,57,29
2021,3,70,"3,055",883,361,307,131,136,112,166,211,365,337,25,21
2021,3,80,"1,244",311,172,110,53,77,47,86,140,103,138,5,2
2021,3,90,110,30,15,7,9,9,4,8,9,11,8,0,0
2021,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,4,총,"26,299","10,703","2,320","3,596",937,857,686,"1,163","1,134","1,969","2,587",233,114
2021,4,0,"1,873","1,029",90,338,39,46,28,38,44,71,137,6,7
2021,4,10,"2,169","1,242",131,258,78,36,25,93,49,76,173,5,3
2021,4,20,"2,766","1,280",206,491,86,61,51,100,66,139,263,18,5
2021,4,30,"2,478","1,109",160,500,84,51,59,71,65,139,224,12,4
2021,4,40,"3,590","1,664",279,479,95,96,69,149,112,248,331,45,23
2021,4,50,"4,702","1,759",477,641,176,157,130,246,206,360,470,60,20
2021,4,60,"4,316","1,396",431,467,187,187,159,206,238,459,499,58,29
2021,4,70,"3,040",879,356,305,127,135,114,164,208,366,342,24,20
2021,4,80,"1,255",316,175,110,56,79,47,88,137,100,139,5,3
2021,4,90,110,29,15,7,9,9,4,8,9,11,9,0,0
2021,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,5,총,"26,288","10,693","2,315","3,593",931,865,683,"1,164","1,138","1,967","2,593",233,113
2021,5,0,"1,886","1,035",93,339,39,48,28,39,43,72,137,6,7
2021,5,10,"2,160","1,234",130,261,73,38,26,91,50,77,172,5,3
2021,5,20,"2,750","1,270",200,491,85,63,48,102,68,137,263,18,5
2021,5,30,"2,447","1,098",158,487,85,50,58,69,64,137,225,12,4
2021,5,40,"3,581","1,656",277,487,94,99,71,149,112,241,330,43,22
2021,5,50,"4,716","1,774",477,636,173,159,127,247,210,364,468,61,20
2021,5,60,"4,332","1,396",434,468,192,187,157,207,239,458,506,59,29
2021,5,70,"3,031",882,352,305,126,134,116,162,206,369,336,24,19
2021,5,80,"1,275",320,179,112,55,78,47,90,137,101,147,5,4
2021,5,90,110,28,15,7,9,9,5,8,9,11,9,0,0
2021,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6,총,"26,217","10,626","2,308","3,595",928,864,684,"1,162","1,148","1,957","2,598",233,114
2021,6,0,"1,887","1,029",97,337,39,48,29,40,43,73,139,6,7
2021,6,10,"2,150","1,214",129,258,74,38,24,90,62,77,176,5,3
2021,6,20,"2,725","1,259",198,488,83,64,50,103,65,132,260,18,5
2021,6,30,"2,441","1,089",159,493,83,49,58,69,64,135,226,12,4
2021,6,40,"3,572","1,644",277,489,98,97,71,146,112,243,331,43,21
2021,6,50,"4,679","1,773",465,635,169,156,126,246,209,361,460,58,21
2021,6,60,"4,334","1,387",437,471,192,189,155,207,240,455,510,61,30
2021,6,70,"3,033",884,348,303,127,135,119,163,206,367,337,25,19
2021,6,80,"1,287",321,182,115,54,79,47,90,137,103,150,5,4
2021,6,90,109,26,16,6,9,9,5,8,10,11,9,0,0
2021,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,총,"26,195","10,642","2,301","3,589",924,858,680,"1,160","1,140","1,955","2,595",236,115
2021,7,0,"1,869","1,022",96,336,39,46,29,36,42,70,140,6,7
2021,7,10,"2,148","1,222",126,253,72,38,23,90,60,81,175,5,3
2021,7,20,"2,721","1,257",197,497,80,61,50,102,65,131,259,17,5
2021,7,30,"2,429","1,091",158,487,85,47,59,70,63,134,219,12,4
2021,7,40,"3,550","1,638",274,482,98,97,70,146,111,240,329,44,21
2021,7,50,"4,672","1,779",466,636,167,155,126,244,206,356,461,56,20
2021,7,60,"4,367","1,399",435,471,193,190,154,212,240,462,514,65,32
2021,7,70,"3,030",884,351,306,126,136,116,162,204,366,335,25,19
2021,7,80,"1,300",323,183,116,55,78,48,90,139,104,154,6,4
2021,7,90,109,27,15,5,9,10,5,8,10,11,9,0,0
2021,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,총,"26,129","10,651","2,301","3,548",907,860,676,"1,159","1,136","1,937","2,604",234,116
2021,8,0,"1,858","1,020",95,324,39,48,29,39,43,68,140,6,7
2021,8,10,"2,138","1,218",124,253,62,39,25,90,58,79,182,5,3
2021,8,20,"2,707","1,268",194,483,80,62,48,101,62,127,258,18,6
2021,8,30,"2,402","1,092",158,475,84,48,58,65,63,127,217,11,4
2021,8,40,"3,518","1,626",267,482,95,97,68,144,113,237,327,42,20
2021,8,50,"4,672","1,781",473,630,163,154,127,247,204,355,461,56,21
2021,8,60,"4,390","1,410",439,472,197,191,151,210,240,461,521,66,32
2021,8,70,"3,039",885,350,308,126,135,117,165,204,368,337,25,19
2021,8,80,"1,293",323,184,116,54,76,48,90,139,102,152,5,4
2021,8,90,112,28,17,5,7,10,5,8,10,13,9,0,0
2021,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,9,총,"26,032","10,624","2,287","3,537",902,855,670,"1,162","1,132","1,934","2,577",238,114
2021,9,0,"1,848","1,009",95,323,39,48,29,39,43,71,139,6,7
2021,9,10,"2,114","1,216",121,248,60,39,25,86,58,77,176,5,3
2021,9,20,"2,667","1,256",192,477,80,58,46,103,57,123,252,18,5
2021,9,30,"2,387","1,095",157,469,82,48,55,69,63,124,210,11,4
2021,9,40,"3,480","1,607",256,477,99,96,65,141,114,237,326,43,19
2021,9,50,"4,696","1,800",477,636,159,150,131,250,203,356,457,57,20
2021,9,60,"4,400","1,412",440,475,195,194,148,212,244,461,519,67,33
2021,9,70,"3,027",880,348,307,126,135,117,163,200,370,338,25,18
2021,9,80,"1,303",324,184,120,55,77,49,91,139,102,151,6,5
2021,9,90,110,25,17,5,7,10,5,8,11,13,9,0,0
2021,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10,총,"26,039","10,636","2,273","3,535",909,859,668,"1,168","1,132","1,936","2,567",241,115
2021,10,0,"1,843","1,006",91,323,37,50,30,42,43,70,138,6,7
2021,10,10,"2,099","1,211",116,249,60,39,24,88,55,76,173,5,3
2021,10,20,"2,681","1,264",194,474,82,58,46,103,60,126,252,17,5
2021,10,30,"2,378","1,096",150,468,82,50,55,69,62,122,208,12,4
2021,10,40,"3,471","1,596",259,471,102,96,65,143,115,236,327,42,19
2021,10,50,"4,690","1,807",469,641,161,149,128,251,200,351,452,60,21
2021,10,60,"4,416","1,419",445,477,194,195,148,211,241,468,517,68,33
2021,10,70,"3,033",883,348,305,129,135,116,163,202,370,339,25,18
2021,10,80,"1,315",327,184,121,55,77,51,90,143,104,152,6,5
2021,10,90,113,27,17,6,7,10,5,8,11,13,9,0,0
2021,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,11,총,"25,979","10,626","2,279","3,514",912,855,665,"1,159","1,138","1,916","2,560",242,113
2021,11,0,"1,830","1,007",90,325,37,49,27,41,44,64,133,6,7
2021,11,10,"2,083","1,208",114,244,57,39,21,84,55,79,175,5,2
2021,11,20,"2,676","1,263",195,467,84,57,48,102,60,126,251,17,6
2021,11,30,"2,359","1,087",154,462,85,50,54,69,61,116,205,12,4
2021,11,40,"3,460","1,593",254,472,102,96,65,143,114,234,325,43,19
2021,11,50,"4,700","1,814",473,639,161,151,129,250,199,345,459,60,20
2021,11,60,"4,423","1,424",447,474,194,193,149,210,247,471,513,68,33
2021,11,70,"3,014",878,346,299,129,131,116,161,205,365,341,25,18
2021,11,80,"1,319",325,188,126,55,78,51,92,142,102,150,6,4
2021,11,90,115,27,18,6,8,11,5,7,11,14,8,0,0
2021,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,12,총,"25,959","10,678","2,267","3,477",913,854,671,"1,161","1,130","1,920","2,537",238,113
2021,12,0,"1,825","1,012",91,316,40,50,28,37,43,64,131,6,7
2021,12,10,"2,084","1,218",112,240,60,39,22,85,53,80,168,5,2
2021,12,20,"2,647","1,249",191,461,83,57,50,102,60,127,245,16,6
2021,12,30,"2,359","1,104",155,452,80,51,53,71,59,113,205,12,4
2021,12,40,"3,459","1,603",247,473,105,95,65,142,113,234,320,43,19
2021,12,50,"4,682","1,821",468,636,159,149,128,247,194,344,459,57,20
2021,12,60,"4,435","1,429",452,473,193,192,152,213,249,473,510,67,32
2021,12,70,"3,024",880,345,297,130,133,115,165,206,365,344,25,19
2021,12,80,"1,328",333,187,124,55,77,53,92,143,106,147,7,4
2021,12,90,116,29,19,5,8,11,5,7,10,14,8,0,0
2021,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0
