년도,월,나이,강릉시,주문진읍,성산면,왕산면,구정면,강동면,옥계면,사천면,연곡면,홍제동,중앙동,옥천동,교1동,교2동,포남1동,포남2동,초당동,송정동,내곡동,강남동,성덕동,경포동
2020,4,0,"13,857",623,123,31,201,109,128,194,390,"1,440",187,104,"1,862",400,467,625,301,782,"1,513","1,004","2,620",753
2020,4,10,"19,714","1,021",195,45,279,208,169,231,495,"1,551",316,175,"3,218",656,794,"1,280",435,945,"1,651","1,678","3,593",779
2020,4,20,"25,086","1,469",306,103,345,432,273,432,503,"1,809",613,308,"3,480",921,"1,295","1,703",595,"1,002","2,625","2,021","3,461","1,390"
2020,4,30,"22,006","1,169",208,77,330,305,244,387,601,"2,135",452,291,"2,638",770,950,"1,299",540,"1,135","2,269","1,724","3,445","1,037"
2020,4,40,"32,668","2,037",403,124,477,461,339,581,979,"2,652",637,429,"4,629","1,086","1,469","1,988",759,"1,484","2,662","2,702","5,352","1,418"
2020,4,50,"36,746","3,074",697,345,734,808,726,837,"1,174","2,401",826,614,"4,438","1,445","2,028","2,537",967,"1,456","2,521","3,200","4,591","1,327"
2020,4,60,"32,315","3,345",673,446,848,929,822,940,"1,275","1,850",985,687,"3,044","1,400","1,905","2,226",687,"1,216","2,026","2,827","3,147","1,037"
2020,4,70,"19,393","2,256",445,282,512,669,567,534,758,"1,057",674,539,"1,765",805,"1,152","1,089",360,554,994,"2,074","1,700",607
2020,4,80,"9,569","1,116",307,140,294,392,314,312,388,488,331,217,843,370,465,483,208,283,480,991,882,265
2020,4,90,"1,581",198,51,21,65,73,41,57,55,77,83,27,127,58,66,85,36,54,73,141,129,64
2020,4,100,102,22,4,0,5,7,3,3,4,4,6,0,6,8,5,0,1,1,3,14,6,0
2020,5,총,"212,929","16,290","3,402","1,605","4,102","4,365","3,604","4,510","6,625","15,436","5,116","3,388","26,116","7,904","10,565","13,297","4,863","8,975","16,840","18,337","28,905","8,684"
2020,5,0,"13,819",611,127,31,202,105,123,200,396,"1,436",188,103,"1,862",393,460,617,306,787,"1,513","1,000","2,617",742
2020,5,10,"19,592","1,011",190,44,279,208,168,225,498,"1,537",307,175,"3,203",653,790,"1,265",422,942,"1,643","1,664","3,588",780
2020,5,20,"25,082","1,453",304,100,349,423,263,427,504,"1,801",610,308,"3,514",917,"1,311","1,707",585,"1,021","2,635","2,022","3,428","1,400"
2020,5,30,"21,971","1,166",200,74,328,299,241,387,601,"2,130",461,292,"2,654",764,933,"1,292",541,"1,142","2,266","1,711","3,452","1,037"
2020,5,40,"32,537","2,016",400,121,480,453,334,578,977,"2,653",642,426,"4,620","1,079","1,454","1,978",741,"1,486","2,676","2,684","5,329","1,410"
2020,5,50,"36,745","3,058",699,340,736,803,721,844,"1,168","2,388",817,610,"4,454","1,446","2,029","2,537",964,"1,480","2,520","3,212","4,585","1,334"
2020,5,60,"32,465","3,363",676,449,853,935,829,943,"1,284","1,859",991,685,"3,054","1,411","1,908","2,241",698,"1,226","2,030","2,824","3,162","1,044"
2020,5,70,"19,428","2,261",443,285,512,667,567,535,753,"1,059",676,546,"1,771",812,"1,145","1,084",357,554,992,"2,073","1,731",605
2020,5,80,"9,606","1,129",308,140,293,392,315,310,385,495,334,216,852,364,464,490,213,284,489,991,874,268
2020,5,90,"1,580",199,50,21,64,73,40,58,55,74,85,27,125,57,66,86,35,52,74,143,132,64
2020,5,100,104,23,5,0,6,7,3,3,4,4,5,0,7,8,5,0,1,1,2,13,7,0
2020,6,총,"212,863","16,234","3,395","1,601","4,102","4,342","3,585","4,521","6,639","15,428","5,089","3,370","26,015","7,883","10,519","13,164","4,820","9,622","16,772","18,281","28,783","8,698"
2020,6,0,"13,790",604,124,31,200,106,117,196,394,"1,433",186,101,"1,841",388,458,620,301,861,"1,499",993,"2,591",746
2020,6,10,"19,472",997,193,43,277,199,169,223,507,"1,534",304,171,"3,167",651,778,"1,220",416,"1,009","1,622","1,645","3,575",772
2020,6,20,"25,047","1,447",304,102,347,419,262,425,508,"1,787",606,297,"3,500",922,"1,318","1,700",570,"1,102","2,614","2,007","3,412","1,398"
2020,6,30,"21,964","1,162",198,75,325,301,235,387,597,"2,131",460,286,"2,632",754,927,"1,276",537,"1,242","2,256","1,706","3,436","1,041"
2020,6,40,"32,497","2,005",399,122,482,443,329,580,984,"2,648",640,422,"4,605","1,077","1,447","1,931",738,"1,608","2,674","2,658","5,279","1,426"
2020,6,50,"36,634","3,018",691,332,736,804,714,844,"1,161","2,393",803,615,"4,443","1,433","2,009","2,514",948,"1,589","2,501","3,189","4,567","1,330"
2020,6,60,"32,700","3,390",684,450,857,937,840,959,"1,288","1,866",993,685,"3,070","1,417","1,906","2,240",707,"1,288","2,051","2,849","3,175","1,048"
2020,6,70,"19,449","2,254",434,287,513,668,565,535,758,"1,060",679,550,"1,776",813,"1,143","1,088",357,573,990,"2,070","1,727",609
2020,6,80,"9,619","1,129",313,137,294,388,310,311,384,497,329,215,849,361,460,490,211,295,489,"1,010",880,267
2020,6,90,"1,585",205,50,22,65,70,41,59,54,74,84,28,125,59,68,85,35,53,74,140,133,61
2020,6,100,106,23,5,0,6,7,3,2,4,5,5,0,7,8,5,0,0,2,2,14,8,0
2020,7,총,"212,978","16,235","3,400","1,598","4,096","4,336","3,601","4,510","6,620","15,409","5,090","3,353","25,969","7,872","10,489","13,109","4,825","9,879","16,727","18,274","28,832","8,754"
2020,7,0,"13,760",603,125,32,199,106,118,194,391,"1,417",184,98,"1,829",387,453,604,299,898,"1,492","1,001","2,582",748
2020,7,10,"19,383",998,194,42,274,198,168,225,507,"1,531",304,167,"3,142",652,767,"1,215",408,"1,031","1,595","1,618","3,573",774
2020,7,20,"25,048","1,436",302,99,346,413,270,413,497,"1,778",604,297,"3,495",907,"1,316","1,693",575,"1,142","2,612","2,020","3,436","1,397"
2020,7,30,"21,877","1,155",197,75,327,297,235,387,593,"2,125",460,281,"2,614",749,920,"1,257",540,"1,282","2,230","1,698","3,408","1,047"
2020,7,40,"32,530","2,006",395,121,482,445,326,575,979,"2,652",640,416,"4,592","1,083","1,449","1,933",736,"1,649","2,680","2,635","5,299","1,437"
2020,7,50,"36,699","3,017",691,332,731,800,720,845,"1,165","2,397",811,614,"4,438","1,429","2,014","2,498",947,"1,626","2,505","3,191","4,583","1,345"
2020,7,60,"32,837","3,396",691,454,860,946,843,961,"1,289","1,867",996,685,"3,080","1,421","1,894","2,249",709,"1,325","2,059","2,861","3,193","1,058"
2020,7,70,"19,481","2,260",436,284,512,671,564,537,751,"1,061",677,552,"1,779",815,"1,144","1,084",364,571,989,"2,082","1,730",618
2020,7,80,"9,663","1,137",312,137,292,384,313,313,391,497,326,217,863,363,462,490,212,297,490,"1,014",885,268
2020,7,90,"1,594",204,52,22,67,69,41,58,53,79,83,26,129,58,65,86,35,56,73,140,136,62
2020,7,100,106,23,5,0,6,7,3,2,4,5,5,0,8,8,5,0,0,2,2,14,7,0
2020,8,총,"212,935","16,198","3,383","1,596","4,128","4,328","3,590","4,515","6,651","15,416","5,076","3,353","25,958","7,879","10,492","13,104","4,819","9,942","16,712","18,268","28,748","8,779"
2020,8,0,"13,710",590,123,32,200,106,116,197,399,"1,417",181,98,"1,827",383,446,606,293,907,"1,493",990,"2,552",754
2020,8,10,"19,281",986,191,40,277,197,169,222,502,"1,531",302,166,"3,106",648,765,"1,210",405,"1,042","1,587","1,617","3,551",767
2020,8,20,"25,069","1,443",307,98,353,406,266,406,502,"1,774",596,300,"3,510",913,"1,313","1,687",579,"1,141","2,614","2,024","3,433","1,404"
2020,8,30,"21,815","1,151",191,76,328,301,230,395,598,"2,098",459,280,"2,601",745,924,"1,260",542,"1,302","2,208","1,680","3,396","1,050"
2020,8,40,"32,400","1,978",384,121,492,438,324,565,979,"2,648",633,413,"4,586","1,081","1,448","1,918",729,"1,658","2,676","2,633","5,266","1,430"
2020,8,50,"36,782","3,015",691,330,735,803,723,855,"1,170","2,413",821,614,"4,452","1,434","2,011","2,507",943,"1,624","2,506","3,203","4,576","1,356"
2020,8,60,"32,970","3,398",694,456,868,943,839,960,"1,301","1,885",998,676,"3,099","1,428","1,904","2,253",712,"1,349","2,059","2,862","3,216","1,070"
2020,8,70,"19,508","2,269",433,280,510,674,565,544,751,"1,064",673,557,"1,766",814,"1,153","1,090",370,565,"1,001","2,086","1,727",616
2020,8,80,"9,683","1,140",312,142,290,385,313,313,394,502,326,223,869,365,457,486,212,296,489,"1,012",887,270
2020,8,90,"1,611",205,52,21,69,68,42,56,51,79,82,26,134,60,67,87,34,56,77,146,137,62
2020,8,100,106,23,5,0,6,7,3,2,4,5,5,0,8,8,4,0,0,2,2,15,7,0
2020,9,총,"213,055","16,176","3,413","1,602","4,148","4,313","3,570","4,502","6,646","15,456","5,072","3,387","26,025","7,875","10,497","13,066","4,850","9,988","16,710","18,206","28,753","8,800"
2020,9,0,"13,647",599,127,31,197,102,118,190,392,"1,407",180,99,"1,823",373,435,598,296,915,"1,484",986,"2,542",753
2020,9,10,"19,242",981,196,38,289,195,163,221,505,"1,541",306,171,"3,089",654,763,"1,214",404,"1,042","1,579","1,591","3,543",757
2020,9,20,"25,053","1,423",305,96,364,406,262,399,499,"1,763",590,310,"3,546",910,"1,309","1,672",581,"1,139","2,611","2,017","3,437","1,414"
2020,9,30,"21,741","1,147",191,79,325,299,228,394,595,"2,094",459,284,"2,599",752,903,"1,261",543,"1,320","2,187","1,662","3,374","1,045"
2020,9,40,"32,371","1,982",385,121,489,436,322,560,974,"2,663",636,415,"4,558","1,066","1,470","1,900",735,"1,650","2,698","2,612","5,254","1,445"
2020,9,50,"36,838","2,993",706,329,736,788,713,862,"1,168","2,435",815,617,"4,486","1,447","2,006","2,491",948,"1,636","2,513","3,195","4,590","1,364"
2020,9,60,"33,126","3,412",698,460,873,949,839,958,"1,308","1,894",993,676,"3,125","1,426","1,921","2,260",722,"1,354","2,066","2,883","3,241","1,068"
2020,9,70,"19,555","2,268",434,282,514,676,563,550,749,"1,069",682,563,"1,769",810,"1,156","1,091",371,574,"1,012","2,078","1,731",613
2020,9,80,"9,740","1,147",314,145,286,385,316,311,396,505,324,227,888,368,457,489,214,299,481,"1,022",890,276
2020,9,90,"1,636",201,52,21,69,70,43,55,56,80,82,25,134,61,73,90,36,57,77,145,144,65
2020,9,100,106,23,5,0,6,7,3,2,4,5,5,0,8,8,4,0,0,2,2,15,7,0
2020,10,총,"213,070","16,139","3,422","1,602","4,151","4,308","3,570","4,504","6,609","15,432","5,050","3,373","26,073","7,874","10,509","13,091","4,842","9,990","16,727","18,169","28,767","8,868"
2020,10,0,"13,568",594,124,31,199,100,118,192,388,"1,390",173,95,"1,826",370,432,600,290,910,"1,484",968,"2,530",754
2020,10,10,"19,168",965,200,37,289,192,164,211,500,"1,549",301,167,"3,066",656,767,"1,226",408,"1,039","1,563","1,581","3,534",753
2020,10,20,"25,078","1,423",301,98,364,403,262,412,494,"1,756",594,311,"3,567",906,"1,303","1,673",580,"1,132","2,586","2,019","3,454","1,440"
2020,10,30,"21,679","1,142",199,80,327,300,224,395,585,"2,079",445,286,"2,606",752,900,"1,257",543,"1,305","2,202","1,643","3,355","1,054"
2020,10,40,"32,335","1,972",385,119,487,433,323,569,964,"2,658",635,402,"4,566","1,061","1,462","1,897",730,"1,665","2,715","2,598","5,238","1,456"
2020,10,50,"36,772","2,969",699,326,723,785,697,850,"1,158","2,441",811,613,"4,486","1,458","2,012","2,481",937,"1,638","2,526","3,197","4,592","1,373"
2020,10,60,"33,355","3,432",709,463,882,953,852,965,"1,315","1,899","1,001",680,"3,150","1,423","1,928","2,272",736,"1,363","2,074","2,898","3,282","1,078"
2020,10,70,"19,565","2,270",432,281,511,676,561,544,749,"1,068",677,561,"1,775",806,"1,162","1,104",371,575,"1,015","2,082","1,729",616
2020,10,80,"9,809","1,148",318,145,292,390,323,315,398,503,325,233,892,373,466,490,210,302,485,"1,022",901,278
2020,10,90,"1,633",201,50,22,71,69,43,49,54,84,82,25,131,61,73,91,37,58,75,146,145,66
2020,10,100,108,23,5,0,6,7,3,2,4,5,6,0,8,8,4,0,0,3,2,15,7,0
2020,11,총,"213,189","16,102","3,434","1,594","4,142","4,300","3,565","4,550","6,620","15,403","5,032","3,385","26,201","7,880","10,538","13,057","4,841","10,034","16,717","18,151","28,775","8,868"
2020,11,0,"13,527",598,127,29,196,100,120,200,392,"1,370",165,99,"1,842",367,439,602,290,911,"1,475",951,"2,502",752
2020,11,10,"19,076",942,202,35,285,185,165,217,489,"1,554",295,165,"3,063",646,763,"1,212",407,"1,045","1,555","1,575","3,530",746
2020,11,20,"25,151","1,440",303,99,361,409,260,412,505,"1,747",595,315,"3,599",919,"1,305","1,661",568,"1,142","2,575","2,018","3,482","1,436"
2020,11,30,"21,665","1,133",201,78,331,297,217,403,589,"2,052",449,291,"2,623",759,909,"1,265",545,"1,303","2,180","1,647","3,337","1,056"
2020,11,40,"32,354","1,967",384,114,486,432,323,580,957,"2,663",632,407,"4,604","1,054","1,463","1,885",730,"1,670","2,724","2,582","5,236","1,461"
2020,11,50,"36,703","2,943",698,325,713,775,695,850,"1,168","2,441",808,602,"4,472","1,452","2,010","2,480",941,"1,651","2,526","3,192","4,586","1,375"
2020,11,60,"33,547","3,438",717,464,893,958,856,975,"1,315","1,913",996,685,"3,183","1,434","1,938","2,255",743,"1,372","2,092","2,921","3,315","1,084"
2020,11,70,"19,585","2,275",431,282,509,675,561,544,756,"1,071",678,558,"1,782",806,"1,157","1,113",371,575,"1,016","2,083","1,732",610
2020,11,80,"9,835","1,137",318,145,292,393,321,317,389,501,324,238,896,376,477,493,210,303,498,"1,020",904,283
2020,11,90,"1,637",206,48,23,71,69,44,50,55,85,84,25,129,59,72,91,36,59,74,148,144,65
2020,11,100,109,23,5,0,5,7,3,2,5,6,6,0,8,8,5,0,0,3,2,14,7,0
2020,12,총,"213,321","16,208","3,436","1,590","4,130","4,310","3,553","4,547","6,596","15,424","5,022","3,395","26,171","7,911","10,527","13,058","4,860","10,082","16,700","18,134","28,746","8,921"
2020,12,0,"13,488",605,130,27,196,104,118,195,388,"1,378",165,98,"1,832",367,434,601,288,908,"1,464",945,"2,493",752
2020,12,10,"18,974",953,200,35,270,181,164,215,476,"1,551",286,169,"3,037",643,761,"1,193",410,"1,055","1,549","1,561","3,515",750
2020,12,20,"25,201","1,439",295,95,349,419,262,422,509,"1,748",600,321,"3,604",946,"1,305","1,671",578,"1,146","2,552","2,004","3,478","1,458"
2020,12,30,"21,691","1,157",208,79,340,301,216,400,571,"2,051",445,285,"2,610",758,914,"1,262",547,"1,312","2,179","1,651","3,340","1,065"
2020,12,40,"32,357","1,983",381,112,486,442,320,575,964,"2,664",633,411,"4,587","1,049","1,450","1,885",729,"1,681","2,724","2,582","5,232","1,467"
2020,12,50,"36,652","2,948",697,324,715,766,682,839,"1,166","2,447",803,596,"4,484","1,459","2,002","2,482",942,"1,651","2,523","3,189","4,560","1,377"
2020,12,60,"33,706","3,450",727,470,902,958,863,990,"1,311","1,919","1,002",684,"3,189","1,432","1,955","2,252",749,"1,387","2,104","2,933","3,334","1,095"
2020,12,70,"19,586","2,289",431,277,496,670,557,542,758,"1,071",677,559,"1,787",807,"1,156","1,118",372,582,"1,021","2,082","1,725",609
2020,12,80,"9,908","1,159",312,148,299,392,324,316,390,498,322,246,905,382,475,498,211,301,506,"1,022",917,285
2020,12,90,"1,649",203,50,23,71,70,44,51,58,91,83,26,128,60,70,96,34,56,76,151,145,63
2020,12,100,109,22,5,0,6,7,3,2,5,6,6,0,8,8,5,0,0,3,2,14,7,0
2021,1,총,"213,412","16,335","3,439","1,595","4,116","4,300","3,552","4,590","6,559","15,398","5,018","3,387","26,231","7,908","10,543","13,058","4,848","10,113","16,662","18,120","28,743","8,897"
2021,1,0,"13,428",622,129,27,197,105,116,200,383,"1,351",164,97,"1,834",371,434,597,289,904,"1,448",936,"2,488",736
2021,1,10,"18,925",961,200,37,257,184,166,220,466,"1,572",283,162,"3,027",636,767,"1,174",406,"1,059","1,548","1,561","3,494",745
2021,1,20,"25,113","1,441",297,95,348,415,262,432,505,"1,731",601,321,"3,611",941,"1,287","1,677",574,"1,145","2,500","1,987","3,495","1,448"
2021,1,30,"21,660","1,170",203,81,336,297,216,404,573,"2,019",440,286,"2,619",766,915,"1,263",542,"1,320","2,177","1,646","3,327","1,060"
2021,1,40,"32,330","2,011",377,108,483,444,323,577,947,"2,668",639,409,"4,582","1,045","1,461","1,878",727,"1,668","2,719","2,585","5,198","1,481"
2021,1,50,"36,624","2,949",693,319,707,758,683,846,"1,159","2,443",793,588,"4,499","1,452","2,004","2,490",941,"1,653","2,516","3,163","4,594","1,374"
2021,1,60,"33,929","3,476",732,477,914,957,856,995,"1,309","1,939","1,008",686,"3,208","1,430","1,967","2,264",751,"1,412","2,127","2,960","3,361","1,100"
2021,1,70,"19,649","2,301",440,277,495,670,566,542,758,"1,071",677,567,"1,802",810,"1,153","1,125",371,584,"1,031","2,087","1,713",609
2021,1,80,"9,982","1,177",312,151,302,394,316,319,395,503,323,243,913,386,484,494,213,309,515,"1,029",922,282
2021,1,90,"1,662",205,51,23,71,69,45,53,59,95,84,28,128,63,66,95,34,56,79,152,144,62
2021,1,100,110,22,5,0,6,7,3,2,5,6,6,0,8,8,5,1,0,3,2,14,7,0
2021,2,총,"213,231","16,349","3,427","1,597","4,143","4,302","3,541","4,591","6,552","15,401","5,024","3,408","26,241","7,886","10,458","13,076","4,830","10,128","16,600","18,052","28,705","8,920"
2021,2,0,"13,369",617,130,27,205,103,118,194,381,"1,341",165,100,"1,832",370,423,601,287,910,"1,422",929,"2,477",737
2021,2,10,"18,853",959,195,38,261,187,160,225,465,"1,571",287,161,"3,018",630,747,"1,165",406,"1,058","1,544","1,541","3,485",750
2021,2,20,"24,968","1,426",288,96,347,417,259,426,498,"1,706",596,323,"3,614",939,"1,269","1,686",564,"1,136","2,478","1,986","3,454","1,460"
2021,2,30,"21,508","1,167",203,79,329,294,215,398,567,"2,010",436,286,"2,593",752,890,"1,274",551,"1,328","2,155","1,627","3,307","1,047"
2021,2,40,"32,260","2,011",376,108,498,441,324,576,948,"2,656",651,412,"4,581","1,047","1,431","1,861",713,"1,668","2,707","2,567","5,199","1,485"
2021,2,50,"36,609","2,959",681,317,703,756,675,846,"1,154","2,459",793,589,"4,522","1,448","1,999","2,481",940,"1,648","2,520","3,149","4,597","1,373"
2021,2,60,"34,179","3,496",745,482,922,960,861,"1,006","1,317","1,973","1,010",690,"3,216","1,440","1,985","2,288",754,"1,424","2,130","2,969","3,395","1,116"
2021,2,70,"19,648","2,305",437,278,493,672,565,540,761,"1,073",677,569,"1,793",804,"1,150","1,128",366,588,"1,042","2,083","1,714",610
2021,2,80,"10,050","1,180",315,149,303,393,314,325,396,510,320,249,936,385,494,494,214,307,523,"1,036",925,282
2021,2,90,"1,678",208,52,23,76,72,47,53,59,96,82,28,128,64,65,97,35,58,77,152,146,60
2021,2,100,109,21,5,0,6,7,3,2,6,6,7,1,8,7,5,1,0,3,2,13,6,0
2021,3,총,"212,909","16,408","3,426","1,594","4,153","4,245","3,541","4,611","6,559","15,417","5,008","3,380","26,189","7,871","10,389","13,014","4,819","10,103","16,623","18,056","28,569","8,934"
2021,3,0,"13,309",640,131,27,208,102,116,197,371,"1,344",161,98,"1,809",367,426,582,287,915,"1,412",942,"2,443",731
2021,3,10,"18,753",940,196,38,267,181,149,231,473,"1,565",296,152,"2,998",619,737,"1,154",403,"1,035","1,546","1,544","3,473",756
2021,3,20,"24,929","1,432",290,93,345,415,265,418,499,"1,711",589,333,"3,623",939,"1,260","1,667",561,"1,130","2,471","1,984","3,453","1,451"
2021,3,30,"21,424","1,183",199,79,327,289,214,403,571,"1,985",440,284,"2,600",766,880,"1,266",542,"1,331","2,150","1,632","3,234","1,049"
2021,3,40,"32,155","2,009",375,105,498,432,322,569,952,"2,656",649,407,"4,559","1,043","1,406","1,849",727,"1,650","2,714","2,553","5,192","1,488"
2021,3,50,"36,466","2,969",675,318,697,754,666,849,"1,132","2,479",792,581,"4,480","1,436","1,995","2,456",932,"1,655","2,518","3,120","4,582","1,380"
2021,3,60,"34,391","3,518",749,486,932,950,869,"1,028","1,341","1,976",998,686,"3,259","1,441","1,985","2,305",750,"1,433","2,157","3,007","3,401","1,120"
2021,3,70,"19,631","2,295",436,278,489,666,571,537,766,"1,083",674,564,"1,790",806,"1,131","1,135",371,587,"1,047","2,076","1,719",610
2021,3,80,"10,087","1,190",318,145,308,388,320,325,393,517,319,246,939,383,503,501,213,307,524,"1,041",920,287
2021,3,90,"1,677",213,51,25,77,65,48,53,57,94,81,28,127,66,63,98,33,57,82,151,146,62
2021,3,100,87,19,6,0,5,3,1,1,4,7,9,1,5,5,3,1,0,3,2,6,6,0
2021,4,총,"212,890","16,381","3,428","1,586","4,159","4,256","3,559","4,605","6,529","15,450","4,947","3,384","26,229","7,859","10,391","12,953","4,814","10,134","16,586","18,056","28,586","8,998"
2021,4,0,"13,235",640,134,26,208,102,116,192,366,"1,351",156,94,"1,793",364,433,565,289,916,"1,398",929,"2,423",740
2021,4,10,"18,699",947,193,39,274,183,148,235,468,"1,557",289,156,"2,979",614,734,"1,140",402,"1,030","1,543","1,536","3,477",755
2021,4,20,"24,920","1,449",286,91,337,416,264,420,500,"1,718",565,331,"3,622",934,"1,260","1,649",553,"1,141","2,459","2,003","3,453","1,469"
2021,4,30,"21,424","1,189",201,80,332,284,220,396,567,"1,988",433,286,"2,615",768,881,"1,266",541,"1,337","2,128","1,618","3,232","1,062"
2021,4,40,"32,108","2,012",372,103,494,435,328,567,946,"2,655",642,399,"4,565","1,041","1,403","1,836",733,"1,644","2,701","2,534","5,192","1,506"
2021,4,50,"36,443","2,961",674,315,692,761,668,847,"1,107","2,490",778,590,"4,485","1,425","1,983","2,453",927,"1,662","2,528","3,133","4,587","1,377"
2021,4,60,"34,572","3,513",759,486,947,959,869,"1,036","1,352","1,989","1,000",683,"3,293","1,448","1,999","2,317",755,"1,434","2,169","3,015","3,420","1,129"
