년도,월,나이,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020,10,40,"9,267",239,371,192,272,307,352,129,577,"1,056","1,230",960,800,789,901,"1,092"
2020,10,50,"10,571",158,570,209,345,307,492,236,743,"1,126","1,366","1,151",991,941,906,"1,030"
2020,10,60,"8,693",127,625,224,299,243,460,276,509,918,"1,236",932,633,716,732,763
2020,10,70,"4,792",54,296,118,167,168,282,114,313,554,712,453,355,348,430,428
2020,10,80,"1,802",18,141,37,64,72,80,39,102,187,296,224,115,147,116,164
2020,10,90,277,3,36,7,16,10,19,8,14,18,44,25,16,19,18,24
2020,10,100,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020,11,총,"61,363","1,016","2,739","1,255","2,087","2,366","2,709","1,100","3,838","6,950","8,099","6,665","5,143","5,138","6,003","6,255"
2020,11,0,"3,532",91,110,54,100,99,72,25,120,305,546,386,293,408,381,542
2020,11,10,"3,452",34,87,57,93,146,102,13,154,450,497,449,283,430,257,400
2020,11,20,"8,877",91,226,158,374,667,380,83,641,"1,167","1,020",982,769,716,890,713
2020,11,30,"10,037",202,258,202,349,347,452,179,667,"1,177","1,149","1,098",886,618,"1,374","1,079"
2020,11,40,"9,252",236,370,191,272,307,359,131,572,"1,054","1,232",955,797,784,899,"1,093"
2020,11,50,"10,553",158,571,207,351,303,497,229,737,"1,121","1,362","1,149",989,938,906,"1,035"
2020,11,60,"8,690",129,615,219,299,246,455,271,516,913,"1,230",940,636,719,734,768
2020,11,70,"4,832",54,304,120,167,170,288,118,315,556,721,452,359,352,429,427
2020,11,80,"1,793",17,141,37,63,71,79,39,98,186,294,226,115,147,115,165
2020,11,90,280,3,37,7,16,10,19,8,15,18,44,25,16,22,18,22
2020,11,100,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020,12,총,"61,222","1,027","2,720","1,242","2,083","2,359","2,704","1,096","3,849","6,907","8,066","6,668","5,122","5,143","6,004","6,232"
2020,12,0,"3,505",92,109,52,101,99,69,23,122,297,544,388,287,408,383,531
2020,12,10,"3,408",35,82,58,94,141,102,14,148,443,490,441,277,432,257,394
2020,12,20,"8,851",91,226,159,370,673,380,85,652,"1,153","1,013",980,775,709,874,711
2020,12,30,"10,027",204,253,195,344,347,457,175,666,"1,180","1,143","1,104",884,621,"1,380","1,074"
2020,12,40,"9,222",241,365,188,275,302,357,128,573,"1,048","1,227",955,787,781,900,"1,095"
2020,12,50,"10,508",159,570,206,346,300,496,232,744,"1,099","1,353","1,145",986,940,907,"1,025"
2020,12,60,"8,714",131,609,219,302,250,451,271,514,922,"1,232",938,636,724,737,778
2020,12,70,"4,839",55,307,117,166,168,289,117,309,558,722,462,359,353,432,425
2020,12,80,"1,800",15,142,38,66,69,79,39,103,186,294,227,115,147,116,164
2020,12,90,283,3,37,7,16,10,18,8,15,18,44,25,16,24,18,24
2020,12,100,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2021,1,총,"61,122","1,030","2,716","1,243","2,104","2,322","2,710","1,086","3,864","6,900","8,040","6,635","5,119","5,143","6,001","6,209"
2021,1,0,"3,467",89,108,51,100,96,70,22,123,292,532,386,290,404,383,521
2021,1,10,"3,400",37,82,56,97,140,99,13,152,433,489,437,274,435,259,397
2021,1,20,"8,786",95,226,161,362,648,393,85,636,"1,155","1,012",970,770,711,866,696
2021,1,30,"9,993",199,250,199,350,339,451,175,676,"1,188","1,134","1,087",861,626,"1,381","1,077"
2021,1,40,"9,183",240,367,189,282,307,359,126,569,"1,039","1,217",946,794,769,890,"1,089"
2021,1,50,"10,509",159,559,205,352,298,486,227,749,"1,103","1,345","1,149",990,949,912,"1,026"
2021,1,60,"8,773",136,615,219,302,250,464,271,523,920,"1,243",940,645,723,743,779
2021,1,70,"4,844",53,308,115,174,166,285,117,312,560,722,464,359,350,433,426
2021,1,80,"1,817",17,144,38,65,69,78,38,106,188,298,228,120,148,117,163
2021,1,90,285,4,37,7,17,9,19,8,15,19,44,25,16,24,17,24
2021,1,100,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2021,2,총,"61,018","1,035","2,734","1,243","2,098","2,302","2,722","1,087","3,837","6,864","8,030","6,602","5,119","5,133","6,016","6,196"
2021,2,0,"3,431",85,110,48,102,98,70,22,113,286,530,384,284,399,381,519
2021,2,10,"3,361",35,82,58,94,133,101,14,147,428,483,434,274,424,262,392
2021,2,20,"8,740",92,232,164,357,621,398,89,626,"1,154","1,003",958,776,713,869,688
2021,2,30,"9,978",206,252,200,348,343,459,175,675,"1,166","1,141","1,075",861,624,"1,377","1,076"
2021,2,40,"9,183",247,370,186,284,307,355,127,567,"1,047","1,216",938,788,764,904,"1,083"
2021,2,50,"10,445",161,562,202,349,300,482,223,741,"1,085","1,336","1,143",984,949,906,"1,022"
2021,2,60,"8,849",132,616,219,305,252,472,270,530,928,"1,257",946,654,734,747,787
2021,2,70,"4,832",55,308,116,172,169,280,115,314,550,717,468,357,351,432,428
2021,2,80,"1,845",17,143,40,68,70,80,40,106,197,298,227,125,148,121,165
2021,2,90,288,4,38,7,16,9,19,8,15,20,45,26,16,23,17,25
2021,2,100,66,1,21,3,3,0,6,4,3,3,4,3,0,4,0,11
2021,3,총,"60,851","1,050","2,714","1,251","2,080","2,298","2,734","1,076","3,823","6,856","7,989","6,587","5,104","5,125","6,025","6,139"
2021,3,0,"3,418",85,108,48,104,96,69,19,108,288,529,381,278,406,382,517
2021,3,10,"3,341",40,80,59,94,135,97,15,143,425,482,431,274,420,258,388
2021,3,20,"8,709",95,237,166,356,613,417,84,625,"1,152",977,960,762,711,872,682
2021,3,30,"9,941",211,248,207,343,349,466,174,665,"1,150","1,134","1,075",857,624,"1,368","1,070"
2021,3,40,"9,156",252,365,187,285,303,351,126,572,"1,044","1,211",938,793,760,904,"1,065"
2021,3,50,"10,373",157,554,204,339,297,482,222,730,"1,093","1,329","1,129",977,947,911,"1,002"
2021,3,60,"8,890",133,616,216,300,254,469,270,546,924,"1,265",951,659,736,761,790
2021,3,70,"4,825",56,304,114,173,170,279,116,310,554,715,466,362,347,432,427
2021,3,80,"1,848",16,142,40,68,72,79,37,107,203,297,228,127,148,120,164
2021,3,90,284,4,39,7,16,9,19,9,13,20,46,25,15,22,17,23
2021,3,100,66,1,21,3,2,0,6,4,4,3,4,3,0,4,0,11
2021,4,총,"60,787","1,068","2,695","1,258","2,086","2,303","2,738","1,070","3,813","6,839","7,978","6,573","5,087","5,115","6,033","6,131"
2021,4,0,"3,399",84,107,50,103,94,69,19,103,288,523,379,281,399,379,521
2021,4,10,"3,334",41,81,61,92,136,93,15,139,424,479,429,269,424,258,393
2021,4,20,"8,652",100,231,166,359,607,423,86,620,"1,134",969,949,760,697,874,677
2021,4,30,"9,970",221,252,214,339,356,478,172,665,"1,157","1,142","1,067",845,630,"1,372","1,060"
2021,4,40,"9,146",256,366,184,287,302,344,125,573,"1,039","1,188",937,795,766,916,"1,068"
2021,4,50,"10,362",155,546,205,342,300,480,222,733,"1,087","1,336","1,134",973,945,902,"1,002"
2021,4,60,"8,916",135,611,216,307,257,465,269,546,933,"1,276",956,660,738,764,783
2021,4,70,"4,793",53,298,111,169,169,278,114,311,552,716,464,362,341,430,425
2021,4,80,"1,867",18,143,41,70,73,84,35,107,202,298,232,128,148,123,165
2021,4,90,281,4,39,7,16,9,18,9,12,20,47,23,14,23,15,25
2021,4,100,67,1,21,3,2,0,6,4,4,3,4,3,0,4,0,12
2021,5,총,"60,106","1,065","2,551","1,238","2,099","2,301","2,670","1,042","3,778","6,775","7,903","6,519","5,051","5,073","5,985","6,056"
2021,5,0,"3,379",86,107,49,101,93,69,18,103,286,514,378,284,391,381,519
2021,5,10,"3,323",41,81,60,95,135,89,16,136,427,474,427,265,425,257,395
2021,5,20,"8,611",96,228,164,367,607,425,85,616,"1,116",977,942,758,691,867,672
2021,5,30,"9,942",222,248,212,342,359,476,177,666,"1,145","1,142","1,066",836,631,"1,371","1,049"
2021,5,40,"9,086",258,359,184,284,301,343,120,574,"1,027","1,186",931,792,754,908,"1,065"
2021,5,50,"10,287",151,547,202,340,302,472,217,723,"1,075","1,323","1,125",976,946,896,992
2021,5,60,"8,837",136,609,213,311,258,453,258,545,932,"1,253",956,652,737,759,765
2021,5,70,"4,642",52,264,110,172,165,255,110,300,547,699,453,354,331,412,418
2021,5,80,"1,761",18,94,39,68,72,75,34,102,198,293,220,122,144,122,160
2021,5,90,222,5,14,4,17,9,12,7,11,21,40,20,12,20,12,18
2021,5,100,16,0,0,1,2,0,1,0,2,1,2,1,0,3,0,3
2021,6,총,"60,019","1,063","2,554","1,237","2,090","2,318","2,659","1,041","3,781","6,781","7,889","6,505","5,049","5,045","5,988","6,019"
2021,6,0,"3,363",83,106,47,101,94,65,19,105,286,511,374,282,386,388,516
2021,6,10,"3,320",47,86,59,95,134,88,16,132,425,481,430,264,423,250,390
2021,6,20,"8,575",95,229,166,365,619,420,88,615,"1,111",973,939,752,685,858,660
2021,6,30,"9,934",223,245,209,347,355,479,177,666,"1,149","1,135","1,067",829,622,"1,386","1,045"
2021,6,40,"9,065",262,360,182,279,303,343,114,579,"1,022","1,185",920,794,754,895,"1,073"
2021,6,50,"10,243",149,542,206,339,299,465,219,722,"1,073","1,319","1,117",982,939,903,969
2021,6,60,"8,873",137,613,212,306,266,458,259,548,938,"1,251",959,655,739,761,771
2021,6,70,"4,652",50,265,111,173,166,257,109,298,558,696,454,355,332,411,417
2021,6,80,"1,756",14,94,40,67,73,72,33,102,197,297,221,123,143,122,158
2021,6,90,222,3,14,4,16,9,11,7,12,21,39,23,13,19,14,17
2021,6,100,16,0,0,1,2,0,1,0,2,1,2,1,0,3,0,3
2021,7,총,"59,945","1,052","2,545","1,242","2,074","2,320","2,671","1,050","3,783","6,779","7,881","6,484","5,051","5,033","5,976","6,004"
2021,7,0,"3,352",82,105,49,100,95,65,19,108,284,510,373,287,382,384,509
2021,7,10,"3,296",40,87,61,97,131,87,16,128,428,474,425,263,420,246,393
2021,7,20,"8,541",92,232,166,360,621,416,100,611,"1,112",972,921,751,683,851,653
2021,7,30,"9,968",227,243,214,350,356,490,176,673,"1,158","1,147","1,062",830,621,"1,392","1,029"
2021,7,40,"8,995",258,356,181,265,304,349,117,578,"1,002","1,175",916,792,748,892,"1,062"
2021,7,50,"10,226",147,536,204,340,298,463,217,716,"1,078","1,315","1,114",980,939,906,973
2021,7,60,"8,900",139,608,213,305,268,460,258,556,932,"1,253",971,651,739,758,789
2021,7,70,"4,665",50,269,110,172,165,258,106,298,565,697,453,356,334,412,420
2021,7,80,"1,765",14,95,39,66,74,71,34,101,199,296,226,127,146,121,156
2021,7,90,221,3,14,4,17,8,11,7,12,20,40,22,14,18,14,17
2021,7,100,16,0,0,1,2,0,1,0,2,1,2,1,0,3,0,3
2021,8,총,"59,868","1,063","2,530","1,246","2,057","2,336","2,671","1,044","3,774","6,772","7,846","6,461","5,050","5,034","5,975","6,009"
2021,8,0,"3,324",82,101,48,95,91,66,17,105,284,502,372,282,385,383,511
2021,8,10,"3,272",38,90,59,94,132,85,17,124,427,470,417,264,418,247,390
2021,8,20,"8,554",96,230,167,355,639,435,101,612,"1,114",965,917,743,672,846,662
2021,8,30,"9,945",224,242,216,353,357,489,176,672,"1,151","1,131","1,060",843,629,"1,391","1,011"
2021,8,40,"8,973",262,352,185,251,302,345,117,576,995,"1,179",912,786,743,904,"1,064"
2021,8,50,"10,204",151,531,201,344,298,454,209,712,"1,082","1,312","1,111",978,938,902,981
2021,8,60,"8,920",141,606,216,308,268,455,260,562,934,"1,253",970,657,745,750,795
2021,8,70,"4,654",52,269,110,171,166,256,105,295,562,696,449,355,333,414,421
2021,8,80,"1,787",14,96,39,68,75,74,35,102,202,297,230,127,150,123,155
2021,8,90,219,3,13,4,16,8,11,7,12,20,39,22,15,18,15,16
2021,8,100,16,0,0,1,2,0,1,0,2,1,2,1,0,3,0,3
2021,9,총,"59,853","1,067","2,534","1,258","2,062","2,355","2,672","1,075","3,780","6,749","7,840","6,430","5,052","5,011","5,962","6,006"
2021,9,0,"3,320",82,103,51,93,92,64,18,107,277,501,375,279,377,387,514
2021,9,10,"3,255",38,95,58,95,133,86,18,122,417,479,413,263,418,238,382
2021,9,20,"8,519",92,230,169,353,637,442,106,603,"1,114",965,898,737,655,852,666
2021,9,30,"9,955",231,241,215,351,365,489,184,680,"1,142","1,126","1,057",846,629,"1,389","1,010"
2021,9,40,"8,959",266,355,186,257,302,344,120,581,988,"1,176",907,792,738,890,"1,057"
2021,9,50,"10,219",148,529,208,342,306,457,214,708,"1,083","1,315","1,106",975,936,906,986
2021,9,60,"8,941",139,603,216,310,269,449,264,570,938,"1,250",972,664,751,749,797
2021,9,70,"4,649",53,269,111,174,167,257,109,294,563,691,451,349,332,412,417
2021,9,80,"1,800",15,96,39,69,75,73,35,101,206,296,229,131,154,124,157
2021,9,90,219,3,12,4,16,9,10,7,12,20,39,21,16,18,15,17
2021,9,100,17,0,1,1,2,0,1,0,2,1,2,1,0,3,0,3
2021,10,총,"59,802","1,065","2,518","1,255","2,049","2,358","2,676","1,067","3,790","6,750","7,819","6,436","5,056","5,006","5,971","5,986"
2021,10,0,"3,310",86,102,51,91,92,65,19,106,277,496,374,279,376,387,509
2021,10,10,"3,239",37,93,57,96,129,83,17,126,419,478,414,261,412,241,376
2021,10,20,"8,498",93,231,162,354,639,442,106,598,"1,111",952,898,733,651,865,663
2021,10,30,"9,958",227,235,219,352,367,496,183,682,"1,144","1,122","1,057",856,630,"1,384","1,004"
2021,10,40,"8,924",265,348,180,249,297,337,123,581,991,"1,173",907,799,733,883,"1,058"
2021,10,50,"10,191",146,523,210,341,313,460,208,707,"1,085","1,311","1,102",968,933,906,978
2021,10,60,"8,978",141,601,221,304,269,452,264,574,934,"1,259",978,663,759,756,803
2021,10,70,"4,656",52,274,111,174,166,259,104,298,561,689,453,353,337,409,416
2021,10,80,"1,808",15,98,37,69,76,72,36,104,205,300,230,128,154,125,159
2021,10,90,223,3,12,6,17,10,9,7,11,22,38,22,16,18,15,17
2021,10,100,17,0,1,1,2,0,1,0,3,1,1,1,0,3,0,3
2021,11,총,"59,743","1,079","2,503","1,255","2,041","2,367","2,682","1,061","3,773","6,740","7,806","6,439","5,052","4,978","5,990","5,977"
2021,11,0,"3,278",88,97,48,91,91,64,15,108,266,498,373,278,372,384,505
2021,11,10,"3,220",38,96,58,96,130,83,18,122,419,476,414,253,400,237,380
2021,11,20,"8,492",93,231,166,345,644,442,102,600,"1,109",949,895,744,650,864,658
2021,11,30,"9,942",229,236,214,357,363,506,180,668,"1,150","1,111","1,060",855,626,"1,399",988
2021,11,40,"8,928",267,345,182,249,297,341,123,573,985,"1,174",906,789,721,901,"1,075"
2021,11,50,"10,167",152,517,209,340,321,451,207,704,"1,088","1,307","1,095",964,932,899,981
2021,11,60,"9,024",141,600,221,302,268,459,270,582,934,"1,260",986,676,768,755,802
2021,11,70,"4,638",53,268,114,171,168,255,102,299,558,691,454,350,335,411,409
2021,11,80,"1,818",15,100,37,72,75,71,38,103,208,301,233,127,153,125,160
2021,11,90,220,3,12,5,16,10,9,6,11,23,38,22,16,18,15,16
2021,11,100,16,0,1,1,2,0,1,0,3,0,1,1,0,3,0,3
2021,12,총,"59,630","1,077","2,488","1,262","2,045","2,351","2,688","1,048","3,782","6,712","7,750","6,438","5,051","4,956","5,997","5,985"
2021,12,0,"3,265",88,93,50,90,87,67,15,108,263,494,374,274,369,379,514
2021,12,10,"3,206",38,95,57,97,127,82,16,119,414,475,414,251,399,234,388
2021,12,20,"8,477",88,228,170,345,650,445,103,604,"1,093",941,894,747,648,875,646
2021,12,30,"9,909",230,233,214,354,349,506,175,669,"1,150","1,092","1,065",850,624,"1,405",993
2021,12,40,"8,898",266,348,179,254,296,341,120,569,975,"1,166",898,784,718,904,"1,080"
2021,12,50,"10,166",154,506,212,340,315,450,205,713,"1,091","1,304","1,097",979,931,894,975
2021,12,60,"9,023",142,603,221,306,274,460,267,579,936,"1,247",992,678,759,759,800
2021,12,70,"4,633",53,268,115,169,168,255,103,304,558,691,450,342,339,409,409
2021,12,80,"1,821",15,102,38,74,73,72,37,103,209,301,233,130,150,123,161
2021,12,90,221,3,11,5,16,12,9,7,11,23,38,20,16,19,15,16
