년도,월,나이,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020,3,총,"14,614","4,098",981,841,"1,257",708,985,631,"2,254","1,256",891,712
2020,3,0,584,238,34,18,26,13,17,16,127,38,37,20
2020,3,10,995,332,61,34,69,24,40,39,235,100,36,25
2020,3,20,"1,141",369,51,37,77,32,67,31,275,93,54,55
2020,3,30,824,336,38,23,58,22,42,21,165,49,38,32
2020,3,40,"1,407",512,77,60,93,45,73,37,269,145,47,49
2020,3,50,"2,242",610,149,127,189,119,163,89,348,183,146,119
2020,3,60,"2,323",614,183,150,213,118,179,109,304,176,139,138
2020,3,70,"2,534",583,205,186,235,164,204,139,276,229,190,123
2020,3,80,"2,160",421,163,168,248,147,159,129,221,205,168,131
2020,3,90,395,80,18,38,48,23,41,21,34,38,35,19
2020,3,100,9,3,2,0,1,1,0,0,0,0,1,1
2020,4,총,"14,563","4,091",975,841,"1,257",707,985,630,"2,225","1,247",893,712
2020,4,0,576,237,35,18,25,12,16,16,125,35,37,20
2020,4,10,989,331,61,33,69,25,41,39,227,100,36,27
2020,4,20,"1,116",372,49,38,74,31,65,31,257,92,53,54
2020,4,30,812,326,37,22,57,24,42,21,163,50,39,31
2020,4,40,"1,400",517,77,60,92,44,71,37,268,139,46,49
2020,4,50,"2,235",605,146,126,191,116,165,89,349,185,145,118
2020,4,60,"2,342",617,182,154,216,121,181,109,306,175,143,138
2020,4,70,"2,515",582,207,184,232,161,199,138,275,227,187,123
2020,4,80,"2,170",421,160,168,251,149,164,129,221,206,170,131
2020,4,90,399,80,19,38,49,23,41,21,34,38,36,20
2020,4,100,9,3,2,0,1,1,0,0,0,0,1,1
2020,5,총,"14,522","4,085",976,841,"1,248",706,993,624,"2,206","1,250",884,709
2020,5,0,567,234,35,18,24,12,16,15,123,37,33,20
2020,5,10,976,332,59,33,67,24,43,39,215,99,38,27
2020,5,20,"1,106",367,50,38,73,29,66,29,258,92,51,53
2020,5,30,809,327,39,20,54,24,43,21,162,49,39,31
2020,5,40,"1,398",520,76,60,93,46,71,36,262,141,46,47
2020,5,50,"2,228",608,146,126,187,116,166,85,349,184,144,117
2020,5,60,"2,339",611,181,155,218,120,183,108,308,176,139,140
2020,5,70,"2,504",583,202,182,227,160,200,140,273,225,189,123
2020,5,80,"2,189",421,167,171,256,151,164,130,221,209,170,129
2020,5,90,397,79,19,38,48,23,41,21,35,38,34,21
2020,5,100,9,3,2,0,1,1,0,0,0,0,1,1
2020,6,총,"14,504","4,075",975,846,"1,245",709,995,617,"2,199","1,250",890,703
2020,6,0,560,233,36,17,23,12,18,14,117,37,33,20
2020,6,10,977,337,59,34,66,25,43,37,209,101,39,27
2020,6,20,"1,101",365,47,37,74,29,66,29,259,90,54,51
2020,6,30,811,323,41,20,53,25,43,19,166,52,39,30
2020,6,40,"1,385",516,76,60,93,46,72,35,255,137,49,46
2020,6,50,"2,220",604,144,127,183,114,167,86,352,182,144,117
2020,6,60,"2,351",614,181,159,222,122,183,106,310,174,140,140
2020,6,70,"2,507",583,203,184,228,159,197,140,276,225,188,124
2020,6,80,"2,181",416,167,168,255,153,165,130,218,212,170,127
2020,6,90,402,81,19,40,47,23,41,21,37,40,33,20
2020,6,100,9,3,2,0,1,1,0,0,0,0,1,1
2020,7,총,"14,446","4,071",972,843,"1,244",700,987,609,"2,187","1,252",879,702
2020,7,0,550,231,35,18,23,11,16,12,115,37,32,20
2020,7,10,964,338,60,34,66,24,41,36,204,97,37,27
2020,7,20,"1,090",362,47,35,75,29,64,28,257,93,50,50
2020,7,30,812,328,39,21,53,23,38,18,168,53,39,32
2020,7,40,"1,375",507,75,59,92,44,74,35,255,140,47,47
2020,7,50,"2,205",603,145,127,184,112,163,85,346,181,142,117
2020,7,60,"2,343",613,179,158,218,120,186,107,311,172,143,136
2020,7,70,"2,511",580,204,186,230,161,197,140,276,226,188,123
2020,7,80,"2,184",422,167,167,256,153,165,127,217,212,170,128
2020,7,90,403,84,19,38,46,22,43,21,38,41,30,21
2020,7,100,9,3,2,0,1,1,0,0,0,0,1,1
2020,8,총,"14,447","4,082",971,843,"1,245",702,995,608,"2,175","1,250",873,703
2020,8,0,548,229,35,19,26,11,15,12,114,36,32,19
2020,8,10,956,341,60,34,64,24,42,33,199,96,36,27
2020,8,20,"1,089",360,45,37,73,31,67,29,258,92,47,50
2020,8,30,817,328,40,21,55,23,38,19,168,52,41,32
2020,8,40,"1,378",512,74,58,93,44,77,34,249,142,47,48
2020,8,50,"2,203",606,143,129,187,113,166,84,347,176,138,114
2020,8,60,"2,350",612,180,157,217,120,185,107,311,177,143,141
2020,8,70,"2,506",583,203,184,229,158,197,142,277,225,188,120
2020,8,80,"2,178",421,169,166,255,153,163,127,213,212,169,130
2020,8,90,410,86,20,37,45,23,45,21,39,42,31,21
2020,8,100,12,4,2,1,1,2,0,0,0,0,1,1
2020,9,총,"14,421","4,069",967,844,"1,244",697,997,611,"2,161","1,251",875,705
2020,9,0,546,228,36,19,26,11,15,14,114,35,30,18
2020,9,10,945,338,59,34,64,24,42,33,192,95,37,27
2020,9,20,"1,081",354,44,37,69,31,68,29,255,93,51,50
2020,9,30,811,325,39,21,56,23,40,19,164,52,41,31
2020,9,40,"1,369",513,74,57,94,40,76,35,247,139,46,48
2020,9,50,"2,196",607,141,128,183,113,165,83,345,178,135,118
2020,9,60,"2,369",615,180,156,218,122,190,107,316,179,145,141
2020,9,70,"2,499",586,199,186,229,156,197,140,275,224,188,119
2020,9,80,"2,179",413,172,170,257,151,159,129,215,212,169,132
2020,9,90,415,86,21,36,47,24,45,22,38,44,32,20
2020,9,100,11,4,2,0,1,2,0,0,0,0,1,1
2020,10,총,"14,382","4,056",964,842,"1,248",693,995,606,"2,153","1,250",867,708
2020,10,0,538,225,36,16,27,11,14,14,111,35,30,19
2020,10,10,936,331,59,36,63,24,43,32,187,97,37,27
2020,10,20,"1,084",354,43,37,71,31,67,28,257,94,51,51
2020,10,30,808,323,38,21,55,22,41,19,168,51,39,31
2020,10,40,"1,357",511,74,56,93,39,76,35,240,138,47,48
2020,10,50,"2,184",606,140,126,183,112,164,83,344,177,131,118
2020,10,60,"2,379",620,180,157,219,123,189,105,316,180,146,144
2020,10,70,"2,481",583,199,185,231,152,194,142,274,219,186,116
2020,10,80,"2,194",413,172,172,258,154,162,127,219,217,168,132
2020,10,90,408,85,21,36,47,22,45,21,37,42,31,21
2020,10,100,13,5,2,0,1,3,0,0,0,0,1,1
2020,11,총,"14,344","4,045",962,844,"1,241",693,988,602,"2,155","1,242",864,708
2020,11,0,534,224,38,15,26,11,14,14,110,33,30,19
2020,11,10,927,326,59,36,61,24,43,31,188,96,37,26
2020,11,20,"1,087",358,42,38,71,30,65,28,257,93,52,53
2020,11,30,810,321,38,22,55,22,41,19,171,50,39,32
2020,11,40,"1,332",502,76,52,90,38,75,34,237,136,46,46
2020,11,50,"2,188",608,139,128,186,112,162,83,344,177,130,119
2020,11,60,"2,385",623,178,160,217,124,189,107,315,181,145,146
2020,11,70,"2,475",584,201,185,227,152,193,138,272,219,188,116
2020,11,80,"2,186",409,168,171,260,155,162,126,222,217,167,129
2020,11,90,409,85,22,37,48,22,44,22,38,40,30,21
2020,11,100,11,5,1,0,0,3,0,0,1,0,0,1
2020,12,총,"14,332","4,048",962,851,"1,234",694,980,604,"2,142","1,246",862,709
2020,12,0,529,227,36,15,27,8,13,13,111,32,29,18
2020,12,10,911,318,58,36,57,24,41,33,182,97,38,27
2020,12,20,"1,093",364,44,40,71,30,65,29,252,94,54,50
2020,12,30,800,323,37,21,51,23,39,18,166,49,40,33
2020,12,40,"1,326",497,75,54,89,36,74,33,239,137,45,47
2020,12,50,"2,199",608,138,133,187,115,160,85,344,180,127,122
2020,12,60,"2,384",627,179,155,216,126,188,107,315,183,144,144
2020,12,70,"2,472",581,200,186,227,153,198,134,270,214,190,119
2020,12,80,"2,197",412,172,172,261,154,161,130,224,221,163,127
2020,12,90,410,86,22,39,48,22,41,22,38,39,32,21
2020,12,100,11,5,1,0,0,3,0,0,1,0,0,1
2021,1,총,"14,305","4,061",957,849,"1,238",685,979,605,"2,127","1,243",859,702
2021,1,0,522,230,36,16,27,6,14,13,106,32,25,17
2021,1,10,914,318,58,36,58,24,40,31,185,97,41,26
2021,1,20,"1,057",360,41,37,69,30,64,31,236,91,49,49
2021,1,30,801,325,36,23,52,21,39,17,165,48,42,33
2021,1,40,"1,327",502,72,51,91,37,73,32,238,137,46,48
2021,1,50,"2,196",605,137,131,189,108,162,86,351,182,127,118
2021,1,60,"2,405",636,182,158,220,129,189,106,314,180,146,145
2021,1,70,"2,452",576,200,183,221,152,193,136,271,215,187,118
2021,1,80,"2,198",413,170,175,262,153,162,131,222,220,164,126
2021,1,90,421,90,24,39,49,22,43,22,38,41,32,21
2021,1,100,12,6,1,0,0,3,0,0,1,0,0,1
2021,2,총,"14,277","4,057",958,851,"1,245",686,983,600,"2,093","1,234",866,704
2021,2,0,522,227,35,18,30,6,15,13,104,32,25,17
2021,2,10,894,309,59,36,57,23,40,27,185,92,40,26
2021,2,20,"1,039",358,40,36,67,29,64,32,221,93,49,50
2021,2,30,801,328,37,21,53,22,39,17,161,46,43,34
2021,2,40,"1,335",504,73,53,97,38,72,30,231,138,48,51
2021,2,50,"2,192",608,136,129,191,105,164,87,342,183,130,117
2021,2,60,"2,417",641,184,161,218,133,188,105,318,177,147,145
2021,2,70,"2,427",568,195,181,219,149,194,137,270,210,188,116
2021,2,80,"2,209",417,175,175,264,154,164,130,222,220,164,124
2021,2,90,429,91,23,41,49,24,43,22,38,43,32,23
2021,2,100,12,6,1,0,0,3,0,0,1,0,0,1
2021,3,총,"14,240","4,046",959,850,"1,246",681,981,590,"2,099","1,228",861,699
2021,3,0,519,226,36,17,29,6,15,12,106,32,24,16
2021,3,10,893,309,59,37,56,23,39,25,187,91,40,27
2021,3,20,"1,019",355,39,36,64,28,63,31,216,91,47,49
2021,3,30,796,330,38,21,53,20,39,17,155,45,45,33
2021,3,40,"1,335",504,73,51,97,37,74,25,239,139,47,49
2021,3,50,"2,184",598,134,130,191,107,162,88,343,182,130,119
2021,3,60,"2,419",644,185,162,219,130,188,106,322,176,145,142
2021,3,70,"2,406",559,195,180,221,147,191,136,268,207,185,117
2021,3,80,"2,220",423,175,176,266,156,166,128,222,220,166,122
2021,3,90,436,92,24,40,50,24,44,22,40,45,32,23
2021,3,100,13,6,1,0,0,3,0,0,1,0,0,2
2021,4,총,"14,242","4,043",954,853,"1,239",681,986,588,"2,099","1,233",863,703
2021,4,0,512,225,32,16,29,6,15,12,106,31,24,16
2021,4,10,887,307,58,36,54,23,40,25,188,89,40,27
2021,4,20,"1,022",352,43,36,64,28,62,32,215,96,45,49
2021,4,30,792,329,37,21,52,20,39,17,154,44,45,34
2021,4,40,"1,334",509,72,51,96,36,78,25,234,138,48,47
2021,4,50,"2,188",596,132,133,190,107,161,85,348,184,131,121
2021,4,60,"2,428",650,186,164,217,130,190,105,320,179,143,144
2021,4,70,"2,404",552,196,179,222,148,191,135,271,205,188,117
2021,4,80,"2,224",427,174,176,265,157,165,129,221,221,167,122
2021,4,90,439,91,23,41,50,23,45,23,41,46,32,24
2021,4,100,12,5,1,0,0,3,0,0,1,0,0,2
2021,5,총,"14,242","4,039",951,855,"1,232",680,987,585,"2,123","1,235",855,700
2021,5,0,504,223,30,16,29,6,15,12,104,31,22,16
2021,5,10,902,304,59,35,50,23,40,24,212,89,40,26
2021,5,20,"1,033",353,45,38,64,28,61,31,223,98,43,49
2021,5,30,789,326,37,22,52,20,41,18,154,43,44,32
2021,5,40,"1,322",503,73,51,93,36,77,26,232,137,48,46
2021,5,50,"2,178",599,128,135,190,106,164,82,342,183,129,120
2021,5,60,"2,430",653,181,161,218,130,189,104,321,184,145,144
2021,5,70,"2,389",545,198,179,217,148,187,136,271,204,186,118
2021,5,80,"2,233",433,176,175,267,156,169,128,221,221,165,122
2021,5,90,450,95,23,43,52,24,44,24,42,45,33,25
2021,5,100,12,5,1,0,0,3,0,0,1,0,0,2
2021,6,총,"14,219","4,042",954,852,"1,231",679,981,580,"2,118","1,227",855,700
2021,6,0,500,227,28,16,27,6,16,11,103,32,20,14
2021,6,10,907,308,60,34,50,23,38,24,212,91,40,27
2021,6,20,"1,025",348,45,38,64,27,60,29,224,97,44,49
2021,6,30,780,325,38,23,51,20,41,19,148,39,45,31
2021,6,40,"1,317",501,73,49,95,35,75,25,233,137,48,46
2021,6,50,"2,143",593,129,134,188,103,158,81,335,177,127,118
2021,6,60,"2,462",663,179,163,222,136,192,102,327,186,145,147
2021,6,70,"2,379",541,197,177,214,146,187,138,272,202,186,119
2021,6,80,"2,244",436,181,175,269,156,170,129,221,219,167,121
2021,6,90,450,95,23,43,51,24,44,22,42,47,33,26
2021,6,100,12,5,1,0,0,3,0,0,1,0,0,2
2021,7,총,"14,175","4,032",954,847,"1,227",681,979,579,"2,098","1,221",859,698
2021,7,0,495,228,28,16,26,6,15,11,101,31,20,13
2021,7,10,886,303,59,34,50,24,39,24,198,89,39,27
2021,7,20,"1,015",341,46,37,63,30,58,28,226,95,45,46
2021,7,30,783,325,39,23,51,20,41,20,146,40,45,33
2021,7,40,"1,307",498,72,48,98,35,74,24,232,133,48,45
2021,7,50,"2,134",594,126,131,189,103,158,79,332,181,126,115
2021,7,60,"2,475",667,183,162,219,132,192,105,328,186,149,152
2021,7,70,"2,370",538,197,177,213,147,185,137,271,202,186,117
2021,7,80,"2,248",442,180,175,266,156,172,129,220,217,168,123
2021,7,90,449,91,23,44,52,25,44,22,43,47,33,25
2021,7,100,13,5,1,0,0,3,1,0,1,0,0,2
2021,8,총,"14,135","4,024",952,851,"1,224",680,976,578,"2,088","1,213",850,699
2021,8,0,486,227,27,16,26,6,15,9,99,31,18,12
2021,8,10,878,297,59,35,50,24,37,26,196,88,39,27
2021,8,20,"1,009",345,46,33,63,29,60,27,223,94,44,45
2021,8,30,779,323,38,25,51,20,41,20,146,40,41,34
2021,8,40,"1,303",499,71,49,98,34,71,24,235,131,46,45
2021,8,50,"2,123",594,127,131,188,102,157,79,324,179,125,117
2021,8,60,"2,479",665,181,162,218,134,192,104,334,185,150,154
2021,8,70,"2,354",534,198,177,211,146,181,136,268,203,185,115
2021,8,80,"2,251",443,180,177,267,156,174,131,217,216,168,122
2021,8,90,459,92,24,46,51,26,47,22,45,46,34,26
2021,8,100,14,5,1,0,1,3,1,0,1,0,0,2
2021,9,총,"14,077","4,018",950,848,"1,217",674,972,579,"2,071","1,202",850,696
2021,9,0,489,227,28,16,25,5,15,9,101,34,17,12
2021,9,10,865,294,59,35,50,23,37,26,189,85,40,27
2021,9,20,979,342,44,34,59,27,59,29,210,88,44,43
2021,9,30,777,325,39,25,49,20,41,21,144,40,40,33
2021,9,40,"1,291",492,69,49,97,34,70,24,237,128,45,46
2021,9,50,"2,124",593,127,131,187,101,158,79,326,182,126,114
2021,9,60,"2,479",671,180,158,217,134,191,103,330,188,150,157
2021,9,70,"2,345",532,198,174,213,145,181,135,267,199,185,116
2021,9,80,"2,245",444,180,179,267,156,172,131,219,212,165,120
2021,9,90,469,93,25,47,52,26,47,22,47,46,38,26
2021,9,100,14,5,1,0,1,3,1,0,1,0,0,2
2021,10,총,"14,051","4,028",945,846,"1,215",662,975,579,"2,065","1,196",847,693
2021,10,0,479,223,27,16,25,5,15,9,99,32,16,12
2021,10,10,865,297,59,34,49,21,36,26,192,84,42,25
2021,10,20,986,353,44,34,58,26,59,29,208,88,44,43
2021,10,30,767,322,37,25,46,20,40,20,143,41,41,32
2021,10,40,"1,284",492,67,49,99,31,69,25,236,126,43,47
2021,10,50,"2,113",593,126,130,186,98,155,79,325,183,125,113
2021,10,60,"2,484",674,180,156,217,133,197,105,326,187,153,156
2021,10,70,"2,340",530,197,176,214,143,182,135,267,195,187,114
2021,10,80,"2,252",445,182,178,268,157,174,129,222,215,160,122
2021,10,90,466,94,25,48,52,26,47,22,46,45,34,27
2021,10,100,15,5,1,0,1,2,1,0,1,0,2,2
2021,11,총,"14,024","4,017",940,845,"1,217",664,969,580,"2,061","1,193",846,692
2021,11,0,467,217,26,16,25,5,14,9,97,30,16,12
2021,11,10,864,298,59,34,49,21,36,26,192,84,41,24
2021,11,20,979,349,46,33,58,25,58,29,206,89,43,43
2021,11,30,766,321,36,28,49,20,37,18,144,43,39,31
2021,11,40,"1,286",492,66,49,98,32,70,26,236,123,45,49
2021,11,50,"2,108",589,122,131,185,99,155,82,322,184,127,112
2021,11,60,"2,491",679,181,155,219,134,195,105,328,188,152,155
2021,11,70,"2,333",526,195,174,215,143,185,134,266,195,186,114
2021,11,80,"2,252",447,183,179,265,157,173,129,223,214,159,123
2021,11,90,466,95,25,46,53,26,46,22,46,43,37,27
2021,11,100,12,4,1,0,1,2,0,0,1,0,1,2
2021,12,총,"13,995","4,021",937,847,"1,209",663,963,579,"2,054","1,183",849,690
2021,12,0,461,213,28,16,23,4,13,9,99,29,15,12
2021,12,10,863,303,59,34,48,19,35,26,189,83,42,25
2021,12,20,973,345,43,33,61,27,59,28,201,89,45,42
2021,12,30,762,321,33,28,49,22,36,19,142,41,39,32
2021,12,40,"1,283",490,65,50,97,32,68,26,241,122,44,48
2021,12,50,"2,100",596,120,132,184,99,154,80,320,179,127,109
2021,12,60,"2,499",680,182,156,216,137,195,105,324,193,155,156
2021,12,70,"2,312",521,197,170,216,142,182,134,263,190,182,115
2021,12,80,"2,257",452,183,182,256,155,175,128,228,213,161,124
2021,12,90,474,96,26,46,58,24,46,24,46,44,38,26
2021,12,100,11,4,1,0,1,2,0,0,1,0,1,1
