년도,월,나이,경주시,감포읍,안강읍,건천읍,외동읍,양북면,양남면,내남면,산내면,서면,현곡면,강동면,천북면,중부동,황오동,성건동,황남동,선도동,월성동,용강동,황성동,동천동,불국동,보덕동,문무대왕면
2020,2,10,"21,799",222,"2,196",518,"1,102",208,348,223,88,137,"2,521",376,366,334,376,937,222,"1,812",350,"2,462","3,898","2,409",595,99,
2020,2,20,"27,647",404,"2,595",803,"1,867",465,619,309,161,206,"2,400",537,548,597,696,"2,104",394,"1,914",515,"2,466","3,822","3,168",889,168,
2020,2,30,"26,302",358,"1,969",726,"2,064",512,518,275,148,175,"3,103",435,543,555,575,"1,393",336,"1,598",564,"3,112","3,447","2,509","1,238",149,
2020,2,40,"37,746",652,"3,564","1,092","2,592",415,762,449,210,343,"3,854",785,704,694,813,"1,925",550,"2,671",784,"3,884","5,550","3,928","1,296",229,
2020,2,50,"47,046","1,047","5,181","1,758","3,853",678,"1,336",946,628,589,"3,469","1,312","1,070",961,"1,246","2,497",915,"2,740","1,064","3,662","5,390","4,564","1,800",340,
2020,2,60,"39,192","1,228","4,276","2,012","3,289",797,"1,238","1,104",914,745,"2,228","1,294","1,016","1,047","1,442","2,636","1,097","1,702","1,114","1,996","2,801","3,180","1,656",380,
2020,2,70,"24,002",947,"2,873","1,433","1,833",610,736,812,648,646,"1,132",895,720,731,977,"1,715",860,909,778,866,"1,141","1,462","1,016",262,
2020,2,80,"12,641",499,"1,569",811,"1,062",422,380,558,368,352,603,567,372,320,422,624,501,474,417,422,595,634,558,111,
2020,2,90,"1,612",73,162,103,138,61,70,61,57,31,78,77,45,30,53,76,59,60,55,65,85,66,85,22,
2020,2,100,91,2,11,8,6,2,1,3,3,2,2,2,2,8,10,2,8,2,1,5,3,1,5,2,
2020,3,총,"254,441","5,587","25,611","9,620","18,929","4,390","6,315","4,839","3,271","3,287","21,868","6,457","5,662","5,475","6,814","14,308","5,006","15,076","5,998","21,629","29,473","23,262","9,740","1,824",
2020,3,0,"16,710",159,"1,302",374,"1,038",241,297,101,57,70,"2,436",201,253,220,206,494,106,"1,250",375,"2,665","2,746","1,382",666,71,
2020,3,10,"21,618",222,"2,181",504,"1,103",209,343,220,86,138,"2,511",374,364,330,371,918,216,"1,789",351,"2,442","3,883","2,372",596,95,
2020,3,20,"27,482",402,"2,565",799,"1,874",458,620,300,155,199,"2,383",534,542,592,690,"2,074",381,"1,909",509,"2,483","3,819","3,161",859,174,
2020,3,30,"26,182",356,"1,941",713,"2,087",507,518,275,145,170,"3,124",430,578,551,586,"1,373",336,"1,587",554,"3,082","3,415","2,495","1,217",142,
2020,3,40,"37,579",649,"3,521","1,090","2,593",415,753,446,207,338,"3,855",778,705,684,811,"1,901",536,"2,644",781,"3,891","5,542","3,915","1,298",226,
2020,3,50,"46,933","1,051","5,174","1,760","3,856",668,"1,335",935,622,593,"3,486","1,303","1,059",959,"1,238","2,455",907,"2,732","1,050","3,674","5,402","4,561","1,778",335,
2020,3,60,"39,469","1,227","4,295","2,012","3,331",797,"1,255","1,117",915,748,"2,254","1,297","1,012","1,043","1,437","2,665","1,092","1,720","1,122","2,034","2,844","3,201","1,670",381,
2020,3,70,"24,064",944,"2,877","1,441","1,837",608,739,820,657,645,"1,137",891,728,735,990,"1,722",862,905,778,860,"1,135","1,481","1,010",262,
2020,3,80,"12,677",503,"1,580",817,"1,060",424,381,563,367,349,603,570,373,322,418,628,502,479,416,429,599,626,555,113,
2020,3,90,"1,637",72,164,102,144,61,73,59,57,35,77,77,46,31,57,76,60,60,61,65,85,67,85,23,
2020,3,100,90,2,11,8,6,2,1,3,3,2,2,2,2,8,10,2,8,1,1,4,3,1,6,2,
2020,4,총,"254,225","5,576","25,524","9,614","19,016","4,368","6,293","4,815","3,283","3,273","21,976","6,458","5,686","5,460","6,791","14,265","4,983","15,076","5,973","21,577","29,410","23,244","9,744","1,820",
2020,4,0,"16,697",158,"1,295",381,"1,046",244,301,101,54,71,"2,451",202,260,214,205,484,103,"1,239",370,"2,668","2,739","1,373",673,65,
2020,4,10,"21,499",218,"2,163",504,"1,103",206,335,219,94,140,"2,511",366,362,328,359,914,217,"1,777",349,"2,434","3,852","2,365",588,95,
2020,4,20,"27,380",397,"2,549",781,"1,875",451,609,294,153,197,"2,375",540,535,590,679,"2,059",370,"1,928",505,"2,466","3,821","3,161",864,181,
2020,4,30,"26,099",351,"1,927",709,"2,110",498,510,269,144,166,"3,143",432,586,550,583,"1,367",333,"1,568",550,"3,067","3,413","2,469","1,215",139,
2020,4,40,"37,466",649,"3,491","1,081","2,580",416,751,441,208,337,"3,879",775,706,686,807,"1,882",535,"2,646",777,"3,879","5,502","3,919","1,301",218,
2020,4,50,"46,902","1,051","5,159","1,759","3,883",656,"1,321",930,621,580,"3,505","1,299","1,067",945,"1,239","2,453",898,"2,757","1,042","3,669","5,404","4,559","1,766",339,
2020,4,60,"39,596","1,227","4,300","2,022","3,356",807,"1,265","1,112",930,750,"2,281","1,304","1,015","1,049","1,436","2,665","1,087","1,710","1,118","2,029","2,862","3,209","1,679",383,
2020,4,70,"24,110",946,"2,887","1,438","1,845",599,743,817,658,644,"1,139",892,732,729,993,"1,731",863,908,782,866,"1,135","1,493","1,009",261,
2020,4,80,"12,732",507,"1,573",828,"1,067",428,381,568,361,352,612,568,375,331,420,630,508,482,417,429,597,627,557,114,
2020,4,90,"1,653",70,169,103,145,60,75,61,57,34,78,78,46,30,60,78,61,60,62,66,83,68,86,23,
2020,4,100,91,2,11,8,6,3,2,3,3,2,2,2,2,8,10,2,8,1,1,4,2,1,6,2,
2020,5,총,"254,035","5,585","25,453","9,580","19,139","4,352","6,283","4,808","3,291","3,277","22,007","6,432","5,702","5,436","6,790","14,238","4,961","15,085","5,958","21,551","29,350","23,193","9,736","1,828",
2020,5,0,"16,693",161,"1,283",377,"1,072",247,299,103,54,69,"2,469",203,268,211,205,481,101,"1,237",367,"2,671","2,708","1,365",674,68,
2020,5,10,"21,346",218,"2,143",500,"1,111",198,336,218,94,138,"2,498",362,356,327,357,897,213,"1,767",339,"2,425","3,821","2,349",584,95,
2020,5,20,"27,272",394,"2,508",771,"1,884",454,600,285,148,198,"2,372",523,539,589,666,"2,080",366,"1,941",513,"2,445","3,814","3,139",864,179,
2020,5,30,"26,070",356,"1,923",702,"2,137",496,514,267,148,166,"3,151",426,592,546,594,"1,349",329,"1,566",545,"3,047","3,394","2,466","1,213",143,
2020,5,40,"37,319",648,"3,478","1,077","2,584",407,746,432,206,330,"3,866",768,700,673,799,"1,867",531,"2,648",770,"3,893","5,498","3,888","1,293",217,
2020,5,50,"46,927","1,038","5,154","1,756","3,891",646,"1,319",932,624,589,"3,534","1,300","1,076",943,"1,242","2,464",895,"2,755","1,044","3,662","5,415","4,545","1,766",337,
2020,5,60,"39,667","1,240","4,312","2,020","3,380",808,"1,266","1,108",935,748,"2,278","1,305","1,017","1,042","1,438","2,660","1,080","1,708","1,117","2,039","2,873","3,233","1,673",387,
2020,5,70,"24,214",949,"2,893","1,434","1,858",601,742,827,658,650,"1,150",894,732,734,994,"1,729",867,919,781,873,"1,143","1,508","1,017",261,
2020,5,80,"12,770",510,"1,578",832,"1,073",429,385,572,364,354,612,570,375,334,422,629,509,478,417,424,599,630,559,115,
2020,5,90,"1,666",69,170,103,143,63,74,61,57,33,75,79,45,29,63,80,62,65,64,68,83,69,87,24,
2020,5,100,91,2,11,8,6,3,2,3,3,2,2,2,2,8,10,2,8,1,1,4,2,1,6,2,
2020,6,총,"253,758","5,571","25,375","9,577","19,236","4,353","6,297","4,797","3,283","3,275","22,020","6,407","5,708","5,426","6,741","14,230","4,928","15,044","5,961","21,563","29,285","23,141","9,734","1,806",
2020,6,0,"16,591",158,"1,273",370,"1,070",246,297,104,52,66,"2,478",199,271,212,201,476,100,"1,224",367,"2,658","2,685","1,347",673,64,
2020,6,10,"21,315",223,"2,141",502,"1,109",198,341,217,95,139,"2,495",354,352,329,351,898,213,"1,758",338,"2,429","3,809","2,352",578,94,
2020,6,20,"27,113",386,"2,477",759,"1,885",448,593,281,140,197,"2,365",521,537,584,659,"2,087",363,"1,936",507,"2,440","3,801","3,111",857,179,
2020,6,30,"25,973",353,"1,914",704,"2,140",503,512,263,142,164,"3,155",419,603,543,585,"1,345",321,"1,562",541,"3,016","3,375","2,458","1,214",141,
2020,6,40,"37,208",640,"3,460","1,072","2,616",404,748,431,205,329,"3,859",766,701,669,795,"1,843",529,"2,625",774,"3,904","5,468","3,863","1,295",212,
2020,6,50,"46,844","1,033","5,137","1,754","3,901",651,"1,319",920,622,592,"3,540","1,286","1,074",929,"1,218","2,471",882,"2,764","1,039","3,664","5,429","4,527","1,757",335,
2020,6,60,"39,904","1,248","4,328","2,029","3,425",807,"1,279","1,114",940,750,"2,291","1,315","1,016","1,051","1,441","2,660","1,084","1,707","1,135","2,068","2,884","3,266","1,683",383,
2020,6,70,"24,271",947,"2,892","1,440","1,864",603,747,830,665,648,"1,147",895,734,735,997,"1,739",860,927,776,882,"1,152","1,509","1,022",260,
2020,6,80,"12,785",512,"1,572",834,"1,075",428,384,574,363,355,616,573,374,335,422,630,509,475,419,428,596,636,562,113,
2020,6,90,"1,661",69,169,105,145,62,75,60,56,33,72,77,43,31,62,79,59,65,64,70,84,71,87,23,
2020,6,100,93,2,12,8,6,3,2,3,3,2,2,2,3,8,10,2,8,1,1,4,2,1,6,2,
2020,7,총,"253,674","5,568","25,297","9,586","19,412","4,350","6,294","4,786","3,279","3,271","22,010","6,392","5,734","5,397","6,729","14,206","4,909","15,035","5,937","21,601","29,255","23,085","9,743","1,798",
2020,7,0,"16,530",158,"1,258",375,"1,087",245,301,103,50,64,"2,472",198,282,208,200,469,101,"1,221",361,"2,649","2,658","1,331",677,62,
2020,7,10,"21,228",218,"2,128",498,"1,110",193,339,217,94,139,"2,492",352,347,329,350,884,208,"1,747",340,"2,430","3,804","2,341",576,92,
2020,7,20,"27,041",385,"2,447",756,"1,892",449,590,284,140,195,"2,362",521,546,577,663,"2,092",360,"1,933",501,"2,427","3,803","3,089",852,177,
2020,7,30,"25,888",355,"1,881",698,"2,175",497,517,262,138,168,"3,147",404,611,540,578,"1,340",324,"1,556",533,"3,021","3,352","2,440","1,211",140,
2020,7,40,"37,157",636,"3,450","1,074","2,669",403,745,425,202,325,"3,862",769,696,660,785,"1,851",527,"2,614",770,"3,910","5,442","3,832","1,302",208,
2020,7,50,"46,881","1,046","5,133","1,747","3,937",653,"1,304",913,616,585,"3,542","1,288","1,076",927,"1,214","2,450",870,"2,776","1,040","3,683","5,455","4,540","1,750",336,
2020,7,60,"39,994","1,239","4,334","2,030","3,435",807,"1,290","1,114",952,744,"2,305","1,316","1,022","1,041","1,442","2,657","1,082","1,713","1,139","2,088","2,892","3,285","1,685",382,
2020,7,70,"24,383",950,"2,906","1,457","1,877",607,744,832,663,661,"1,143",895,733,740,"1,004","1,748",863,930,774,883,"1,158","1,515","1,037",263,
2020,7,80,"12,801",512,"1,578",834,"1,076",430,387,571,366,352,611,571,375,337,421,633,508,480,415,433,604,633,561,113,
2020,7,90,"1,680",67,170,109,148,63,75,62,55,36,73,76,44,30,62,80,58,64,63,73,85,78,86,23,
2020,7,100,91,2,12,8,6,3,2,3,3,2,1,2,2,8,10,2,8,1,1,4,2,1,6,2,
2020,8,총,"253,460","5,552","25,193","9,578","19,521","4,337","6,298","4,759","3,275","3,260","21,969","6,378","5,738","5,404","6,721","14,155","4,885","15,041","5,949","21,650","29,203","23,043","9,757","1,794",
2020,8,0,"16,490",160,"1,254",378,"1,091",241,295,102,49,64,"2,479",196,278,213,203,459,101,"1,219",366,"2,649","2,638","1,328",668,59,
2020,8,10,"21,115",215,"2,100",496,"1,110",191,340,210,95,134,"2,468",350,343,325,343,874,208,"1,743",339,"2,431","3,798","2,319",591,92,
2020,8,20,"26,944",381,"2,418",747,"1,896",441,590,284,138,193,"2,339",514,553,575,675,"2,082",355,"1,928",505,"2,417","3,781","3,098",853,181,
2020,8,30,"25,788",349,"1,853",702,"2,201",494,516,265,135,162,"3,145",397,606,538,572,"1,318",316,"1,551",537,"3,014","3,341","2,433","1,204",139,
2020,8,40,"37,012",636,"3,433","1,062","2,682",396,736,418,199,323,"3,834",766,696,654,774,"1,846",524,"2,612",765,"3,917","5,429","3,797","1,306",207,
2020,8,50,"46,855","1,043","5,114","1,752","3,943",660,"1,313",902,614,586,"3,547","1,281","1,077",925,"1,207","2,428",876,"2,788","1,036","3,702","5,454","4,521","1,751",335,
2020,8,60,"40,225","1,236","4,345","2,033","3,477",806,"1,293","1,115",958,746,"2,331","1,323","1,033","1,057","1,452","2,672","1,073","1,721","1,142","2,113","2,918","3,310","1,690",381,
2020,8,70,"24,426",948,"2,915","1,456","1,890",615,746,828,664,661,"1,136",901,735,742,998,"1,762",857,927,779,885,"1,157","1,527","1,036",261,
2020,8,80,"12,814",512,"1,581",833,"1,075",428,390,569,366,350,615,571,371,336,423,632,510,486,413,445,600,632,562,114,
2020,8,90,"1,698",70,168,111,149,62,76,63,54,39,74,77,44,31,64,80,57,65,66,73,85,77,90,23,
2020,8,100,93,2,12,8,7,3,3,3,3,2,1,2,2,8,10,2,8,1,1,4,2,1,6,2,
2020,9,총,"253,396","5,543","25,141","9,565","19,690","4,334","6,293","4,754","3,266","3,257","21,964","6,351","5,750","5,396","6,697","14,147","4,864","15,015","5,957","21,649","29,174","23,013","9,777","1,799",
2020,9,0,"16,445",159,"1,239",364,"1,117",244,295,102,53,62,"2,478",196,279,219,198,459,104,"1,211",367,"2,644","2,601","1,320",676,58,
2020,9,10,"21,042",215,"2,081",503,"1,105",190,335,203,96,132,"2,467",350,336,319,342,866,205,"1,726",339,"2,433","3,796","2,312",599,92,
2020,9,20,"26,865",379,"2,419",740,"1,918",431,584,290,128,193,"2,317",503,555,571,661,"2,073",350,"1,940",499,"2,414","3,784","3,078",855,183,
2020,9,30,"25,690",348,"1,844",685,"2,231",488,510,261,137,158,"3,132",396,606,545,574,"1,316",312,"1,541",535,"2,976","3,328","2,431","1,193",143,
2020,9,40,"36,964",632,"3,415","1,063","2,696",398,737,416,195,320,"3,828",748,698,648,775,"1,846",515,"2,607",768,"3,931","5,424","3,786","1,310",208,
2020,9,50,"46,802","1,029","5,082","1,749","3,973",661,"1,304",901,605,575,"3,561","1,283","1,067",920,"1,199","2,426",872,"2,784","1,034","3,717","5,456","4,516","1,754",334,
2020,9,60,"40,458","1,246","4,365","2,034","3,510",811,"1,312","1,123",964,758,"2,349","1,321","1,055","1,054","1,459","2,677","1,078","1,730","1,147","2,122","2,936","3,325","1,698",384,
2020,9,70,"24,427",950,"2,915","1,464","1,896",617,746,819,657,665,"1,136",905,732,741,984,"1,761",849,929,784,888,"1,163","1,535","1,033",258,
2020,9,80,"12,894",511,"1,601",842,"1,085",429,391,572,375,352,618,569,376,339,428,640,513,483,416,444,597,632,564,117,
2020,9,90,"1,717",72,168,113,152,62,76,64,53,40,78,78,45,32,66,81,58,63,67,76,87,77,89,20,
2020,9,100,92,2,12,8,7,3,3,3,3,2,0,2,1,8,11,2,8,1,1,4,2,1,6,2,
2020,10,총,"253,282","5,534","25,131","9,550","19,869","4,335","6,286","4,729","3,272","3,243","21,989","6,340","5,759","5,389","6,664","14,119","4,831","15,009","5,956","21,657","29,093","22,946","9,800","1,781",
2020,10,0,"16,357",158,"1,231",360,"1,139",246,288,100,54,62,"2,469",195,281,223,193,449,101,"1,208",358,"2,640","2,555","1,317",675,55,
2020,10,10,"20,935",213,"2,076",505,"1,101",187,331,198,96,128,"2,457",344,338,318,336,853,203,"1,711",347,"2,423","3,770","2,306",600,94,
2020,10,20,"26,888",377,"2,407",736,"1,939",439,590,290,129,191,"2,338",500,549,560,652,"2,090",354,"1,949",504,"2,420","3,796","3,049",858,171,
2020,10,30,"25,542",350,"1,832",678,"2,247",486,504,259,139,156,"3,106",393,610,544,570,"1,305",301,"1,537",533,"2,952","3,293","2,421","1,185",141,
2020,10,40,"36,835",635,"3,396","1,063","2,700",395,734,405,197,314,"3,853",742,707,650,770,"1,830",511,"2,594",761,"3,935","5,370","3,751","1,314",208,
2020,10,50,"46,779","1,016","5,073","1,743","4,017",656,"1,307",898,597,572,"3,563","1,288","1,060",911,"1,186","2,412",869,"2,779","1,039","3,727","5,483","4,493","1,760",330,
2020,10,60,"40,711","1,253","4,389","2,040","3,561",818,"1,314","1,126",971,754,"2,364","1,328","1,064","1,060","1,462","2,683","1,069","1,753","1,146","2,145","2,955","3,358","1,713",385,
2020,10,70,"24,477",946,"2,937","1,465","1,912",617,744,815,658,665,"1,139",904,724,744,990,"1,766",842,928,782,890,"1,179","1,537","1,037",256,
2020,10,80,"12,934",511,"1,611",838,"1,091",427,392,570,377,358,620,564,381,338,427,645,515,486,417,446,604,636,561,119,
2020,10,90,"1,734",73,166,114,155,61,79,65,53,41,80,80,44,33,67,84,58,63,68,75,86,77,92,20,
2020,10,100,90,2,13,8,7,3,3,3,1,2,0,2,1,8,11,2,8,1,1,4,2,1,5,2,
2020,11,총,"253,468","5,517","25,076","9,511","20,150","4,317","6,295","4,730","3,270","3,233","22,001","6,335","5,739","5,324","6,635","14,121","4,815","14,999","5,967","22,067","28,919","22,870","9,788","1,789",
2020,11,0,"16,295",153,"1,206",350,"1,158",240,291,99,55,61,"2,461",194,280,215,182,446,97,"1,209",358,"2,708","2,517","1,295",666,54,
2020,11,10,"20,868",211,"2,073",503,"1,112",185,330,196,89,124,"2,456",336,339,315,336,843,200,"1,713",347,"2,441","3,747","2,278",599,95,
2020,11,20,"26,953",374,"2,387",729,"1,982",439,589,284,135,194,"2,347",508,546,550,643,"2,078",352,"1,955",505,"2,483","3,783","3,053",860,177,
2020,11,30,"25,530",345,"1,826",669,"2,315",480,501,259,137,153,"3,101",387,605,524,569,"1,303",307,"1,519",531,"3,021","3,253","2,416","1,171",138,
2020,11,40,"36,763",624,"3,374","1,056","2,734",387,727,401,195,310,"3,851",747,698,651,764,"1,829",507,"2,593",759,"4,000","5,327","3,708","1,310",211,
2020,11,50,"46,846","1,015","5,070","1,728","4,073",654,"1,316",896,590,570,"3,569","1,288","1,058",900,"1,181","2,426",863,"2,776","1,045","3,787","5,451","4,497","1,764",329,
2020,11,60,"40,906","1,262","4,406","2,049","3,597",826,"1,320","1,137",976,755,"2,375","1,318","1,068","1,047","1,458","2,688","1,070","1,761","1,152","2,201","2,964","3,377","1,716",383,
2020,11,70,"24,522",945,"2,926","1,468","1,920",617,743,819,659,663,"1,144",911,725,750,997,"1,776",838,929,785,889,"1,183","1,528","1,046",261,
2020,11,80,"12,946",512,"1,625",836,"1,093",424,395,570,381,358,617,561,378,332,427,646,514,479,418,457,606,639,560,118,
2020,11,90,"1,748",74,170,115,158,62,80,66,52,43,80,83,41,32,67,84,59,64,66,76,86,78,91,21,
2020,11,100,91,2,13,8,8,3,3,3,1,2,0,2,1,8,11,2,8,1,1,4,2,1,5,2,
2020,12,총,"253,502","5,501","25,017","9,502","20,431","4,327","6,322","4,712","3,268","3,219","21,947","6,323","5,730","5,308","6,567","14,047","4,779","14,914","5,925","22,521","28,837","22,753","9,771","1,781",
2020,12,0,"16,196",146,"1,190",346,"1,189",228,285,95,52,59,"2,452",195,282,211,172,443,91,"1,205",357,"2,739","2,494","1,260",652,53,
2020,12,10,"20,836",213,"2,063",502,"1,117",189,334,199,91,123,"2,428",335,331,323,327,841,202,"1,692",343,"2,494","3,738","2,266",592,93,
2020,12,20,"26,921",375,"2,383",729,"2,029",445,606,278,138,188,"2,349",501,544,550,645,"2,062",348,"1,924",488,"2,532","3,754","3,022",856,175,
2020,12,30,"25,460",341,"1,798",672,"2,361",480,511,262,135,152,"3,077",388,601,514,551,"1,288",298,"1,494",530,"3,112","3,222","2,382","1,157",134,
2020,12,40,"36,687",611,"3,356","1,043","2,772",387,716,401,201,307,"3,828",734,700,645,744,"1,823",501,"2,579",754,"4,078","5,314","3,681","1,302",210,
2020,12,50,"46,852","1,024","5,051","1,727","4,137",662,"1,322",885,585,562,"3,569","1,291","1,047",883,"1,176","2,402",853,"2,776","1,037","3,842","5,441","4,499","1,756",325,
2020,12,60,"41,169","1,251","4,422","2,053","3,635",829,"1,325","1,140",983,757,"2,398","1,328","1,080","1,056","1,452","2,677","1,079","1,773","1,147","2,270","2,997","3,382","1,747",388,
2020,12,70,"24,523",946,"2,940","1,470","1,931",615,743,816,648,665,"1,144",906,720,753,989,"1,773",827,927,778,911,"1,179","1,535","1,047",260,
2020,12,80,"13,012",517,"1,623",843,"1,096",426,399,572,384,362,619,559,380,332,433,651,512,478,424,465,607,647,564,119,
2020,12,90,"1,754",74,178,109,156,63,78,61,50,42,83,84,44,33,67,85,60,65,66,74,89,78,93,22,
2020,12,100,92,3,13,8,8,3,3,3,1,2,0,2,1,8,11,2,8,1,1,4,2,1,5,2,
2021,1,총,"253,475","5,485","24,954","9,532","20,675","4,325","6,306","4,697","3,276","3,201","21,897","6,320","5,733","5,269","6,553","14,011","4,746","14,871","5,906","22,828","28,691","22,671","9,752","1,776",
2021,1,0,"16,097",143,"1,174",348,"1,224",224,281,92,52,58,"2,423",193,284,206,164,446,88,"1,192",356,"2,761","2,453","1,246",640,49,
2021,1,10,"20,859",213,"2,055",515,"1,144",187,327,200,91,123,"2,449",334,328,317,329,845,196,"1,690",337,"2,530","3,703","2,258",594,94,
2021,1,20,"26,785",372,"2,345",719,"2,066",452,603,275,140,178,"2,312",506,535,534,635,"2,023",347,"1,918",488,"2,558","3,764","2,993",846,176,
2021,1,30,"25,322",331,"1,792",675,"2,388",471,512,257,133,149,"3,037",379,590,506,552,"1,291",288,"1,466",522,"3,176","3,179","2,361","1,138",129,
2021,1,40,"36,596",611,"3,356","1,054","2,808",384,712,396,194,301,"3,813",723,704,638,736,"1,810",510,"2,572",747,"4,115","5,267","3,624","1,310",211,
2021,1,50,"46,852","1,015","5,048","1,715","4,159",665,"1,313",875,587,558,"3,591","1,286","1,052",877,"1,168","2,387",841,"2,774","1,033","3,908","5,425","4,504","1,747",324,
2021,1,60,"41,412","1,267","4,422","2,068","3,668",838,"1,333","1,140",995,759,"2,414","1,344","1,089","1,063","1,459","2,681","1,069","1,785","1,140","2,306","3,014","3,413","1,755",390,
2021,1,70,"24,600",931,"2,937","1,470","1,945",612,744,821,644,663,"1,153",903,724,754,993,"1,786",824,931,791,924,"1,184","1,547","1,059",260,
2021,1,80,"13,100",526,"1,637",850,"1,107",425,400,576,388,368,622,566,381,331,436,653,516,478,425,474,610,645,566,120,
2021,1,90,"1,762",73,176,111,158,64,79,62,51,42,83,84,45,36,69,87,59,64,66,71,90,79,92,21,
2021,1,100,90,3,12,7,8,3,2,3,1,2,0,2,1,7,12,2,8,1,1,5,2,1,5,2,
2021,2,총,"253,579","5,510","24,864","9,552","21,057","4,298","6,282","4,711","3,280","3,221","21,830","6,300","5,714","5,268","6,538","13,932","4,722","14,788","5,876","23,131","28,587","22,604","9,741","1,773",
2021,2,0,"16,056",144,"1,163",343,"1,276",208,278,98,52,61,"2,402",192,281,202,164,437,91,"1,160",351,"2,811","2,429","1,217",647,49,
2021,2,10,"20,826",229,"2,021",529,"1,176",192,328,197,89,129,"2,423",329,318,317,327,831,200,"1,667",335,"2,562","3,686","2,250",596,95,
2021,2,20,"26,574",376,"2,321",717,"2,098",444,593,273,137,178,"2,309",501,534,540,629,"1,983",338,"1,884",478,"2,552","3,717","2,974",822,176,
2021,2,30,"25,217",330,"1,783",670,"2,455",466,505,254,132,155,"2,984",370,579,501,544,"1,266",280,"1,455",511,"3,244","3,157","2,321","1,130",125,
2021,2,40,"36,661",613,"3,320","1,060","2,882",378,703,398,192,299,"3,817",718,708,641,745,"1,802",512,"2,544",751,"4,191","5,249","3,616","1,310",212,
2021,2,50,"46,885","1,005","5,043","1,703","4,225",665,"1,304",868,593,561,"3,609","1,272","1,046",872,"1,166","2,372",829,"2,795","1,019","3,943","5,420","4,509","1,747",319,
2021,2,60,"41,659","1,274","4,441","2,085","3,704",841,"1,339","1,145","1,001",759,"2,421","1,351","1,092","1,064","1,447","2,690","1,073","1,796","1,146","2,349","3,044","3,439","1,762",396,
2021,2,70,"24,632",932,"2,937","1,468","1,963",607,747,829,646,662,"1,153",908,724,750,998,"1,796",809,939,791,931,"1,181","1,547","1,056",258,
2021,2,80,"13,198",530,"1,642",857,"1,110",427,405,581,386,370,628,573,385,339,439,664,523,482,429,476,610,649,573,120,
2021,2,90,"1,776",74,181,113,160,66,78,65,51,45,83,84,46,35,67,89,58,65,63,68,92,80,92,21,
2021,2,100,95,3,12,7,8,4,2,3,1,2,1,2,1,7,12,2,9,1,2,4,2,2,6,2,
2021,3,총,"252,911","5,437","24,688","9,434","21,400","4,278","6,284","4,708","3,254","3,187","21,783","6,220","5,708","5,182","6,468","13,894","4,673","14,776","5,829","23,282","28,507","22,469","9,708","1,742",
2021,3,0,"16,013",143,"1,140",338,"1,308",214,268,97,51,58,"2,387",193,274,200,169,430,96,"1,156",357,"2,813","2,419","1,204",652,46,
2021,3,10,"20,705",227,"2,017",520,"1,186",186,325,199,86,131,"2,419",316,318,315,321,821,197,"1,653",324,"2,578","3,655","2,225",592,94,
