년도,월,나이,강동구,강일동,상일동,명일제1동,명일제2동,고덕제1동,고덕제2동,암사제1동,암사제2동,암사제3동,천호제1동,천호제2동,천호제3동,성내제1동,성내제2동,성내제3동,길동,둔촌제1동,둔촌제2동,상일제1동,상일제2동
2020,3,10,"20,850","2,293","1,454","1,410","1,407","1,990",980,"1,447",530,"1,005","1,011","1,034",702,936,613,"1,157","1,655",4,"1,222",,
2020,3,20,"30,204","1,976","1,560","1,667","1,140","1,398","1,259","2,556",997,"1,007","1,962","2,399","1,874","1,351","1,828","1,869","3,348",10,"2,003",,
2020,3,30,"35,312","1,553","2,089","2,133",928,"1,830","1,794","2,915","1,444","1,240","2,167","3,253","2,423","1,616","2,254","1,821","3,780",15,"2,057",,
2020,3,40,"36,687","2,666","2,449","2,054","1,422","2,765","1,809","2,893","1,216","1,642","2,179","2,653","2,050","1,690","1,883","1,793","3,491",25,"2,007",,
2020,3,50,"35,363","2,477","1,956","1,958","1,378","1,805","1,637","3,044","1,086","1,289","2,284","3,060","2,298","1,444","1,947","1,905","3,574",19,"2,202",,
2020,3,60,"28,525","1,742","1,558","1,626","1,175","1,306","1,311","2,312",844,"1,119","2,035","2,335","1,914","1,168","1,653","1,392","3,141",25,"1,869",,
2020,3,70,"14,162",933,605,749,481,518,536,"1,206",512,501,"1,074","1,258",975,632,906,793,"1,585",15,883,,
2020,3,80,"3,659",328,122,189,107,165,125,300,125,129,264,346,260,166,257,169,381,7,219,,
2020,3,90,379,42,10,24,18,22,19,36,12,11,19,27,17,22,18,19,36,1,26,,
2020,3,100,61,4,1,2,0,11,3,5,2,4,4,7,5,0,4,3,4,1,1,,
2020,4,총,"224,321","15,353","15,178","12,883","8,603","13,454","10,732","17,858","7,532","9,018","13,743","17,320","13,173","9,832","11,971","11,593","22,448",127,"13,503",,
2020,4,0,"18,103","1,326","2,026","1,097",608,"1,725","1,240","1,163",734,"1,076",778,980,751,834,631,713,"1,364",5,"1,052",,
2020,4,10,"20,847","2,293","1,555","1,394","1,389","1,980",980,"1,445",527,"1,003","1,007","1,017",704,923,609,"1,139","1,655",4,"1,223",,
2020,4,20,"30,303","1,997","1,767","1,659","1,127","1,382","1,248","2,555",997,997,"1,948","2,384","1,868","1,351","1,814","1,873","3,338",10,"1,988",,
2020,4,30,"35,599","1,562","2,387","2,120",929,"1,804","1,798","2,907","1,454","1,246","2,163","3,250","2,395","1,622","2,258","1,806","3,830",15,"2,053",,
2020,4,40,"36,835","2,654","2,679","2,052","1,413","2,752","1,822","2,898","1,215","1,636","2,171","2,646","2,050","1,675","1,871","1,790","3,486",24,"2,001",,
2020,4,50,"35,446","2,473","2,176","1,970","1,362","1,784","1,636","3,018","1,095","1,290","2,283","3,051","2,265","1,436","1,929","1,892","3,565",20,"2,201",,
2020,4,60,"28,782","1,743","1,749","1,621","1,170","1,313","1,322","2,320",854,"1,118","2,033","2,339","1,893","1,169","1,680","1,392","3,177",25,"1,864",,
2020,4,70,"14,261",931,684,752,478,517,539,"1,205",518,507,"1,074","1,268",968,635,900,793,"1,602",15,875,,
2020,4,80,"3,700",328,141,191,109,164,124,306,124,130,263,351,256,165,256,173,392,7,220,,
2020,4,90,383,42,12,25,18,22,20,36,12,11,19,27,18,22,19,19,35,1,25,,
2020,4,100,62,4,2,2,0,11,3,5,2,4,4,7,5,0,4,3,4,1,1,,
2020,5,총,"224,869","15,358","15,724","12,898","8,600","13,435","10,752","17,809","7,549","8,993","13,717","17,298","13,125","9,798","11,959","11,575","22,705",127,"13,447",,
2020,5,0,"18,105","1,302","2,086","1,104",603,"1,714","1,235","1,150",746,"1,066",784,974,737,839,622,703,"1,388",4,"1,048",,
2020,5,10,"20,814","2,295","1,604","1,388","1,393","1,976",981,"1,434",511,"1,002",989,"1,022",696,917,603,"1,126","1,657",5,"1,215",,
2020,5,20,"30,332","2,016","1,829","1,653","1,111","1,389","1,240","2,534",997,985,"1,940","2,381","1,855","1,338","1,816","1,885","3,384",10,"1,969",,
2020,5,30,"35,737","1,560","2,475","2,122",939,"1,789","1,811","2,903","1,454","1,243","2,178","3,241","2,390","1,618","2,269","1,798","3,889",15,"2,043",,
2020,5,40,"36,898","2,654","2,766","2,066","1,401","2,742","1,834","2,901","1,222","1,619","2,165","2,645","2,027","1,666","1,858","1,778","3,522",24,"2,008",,
2020,5,50,"35,537","2,477","2,258","1,964","1,367","1,797","1,626","3,017","1,092","1,293","2,273","3,042","2,264","1,429","1,924","1,904","3,610",19,"2,181",,
2020,5,60,"28,930","1,744","1,834","1,628","1,171","1,317","1,325","2,325",866,"1,126","2,029","2,336","1,898","1,162","1,684","1,387","3,207",26,"1,865",,
2020,5,70,"14,360",938,715,754,486,516,549,"1,199",523,514,"1,070","1,271",978,640,904,797,"1,617",15,874,,
2020,5,80,"3,710",326,141,194,110,162,128,304,124,130,267,350,258,167,257,175,392,7,218,,
2020,5,90,384,42,13,23,19,23,20,37,12,11,18,29,17,22,18,19,35,1,25,,
2020,5,100,62,4,3,2,0,10,3,5,2,4,4,7,5,0,4,3,4,1,1,,
2020,6,총,"225,206","15,316","16,066","12,940","8,606","13,425","10,770","17,797","7,558","8,985","13,674","17,290","13,100","9,818","11,950","11,591","22,784",125,"13,411",,
2020,6,0,"18,089","1,284","2,137","1,115",605,"1,688","1,235","1,143",747,"1,058",780,972,735,835,611,706,"1,386",4,"1,048",,
2020,6,10,"20,778","2,287","1,634","1,367","1,381","1,994",976,"1,436",510,"1,000",982,"1,017",691,921,604,"1,110","1,644",5,"1,219",,
2020,6,20,"30,399","2,001","1,875","1,667","1,118","1,389","1,234","2,536",992,987,"1,925","2,399","1,867","1,336","1,806","1,890","3,416",10,"1,951",,
2020,6,30,"35,846","1,567","2,535","2,145",940,"1,780","1,812","2,887","1,456","1,239","2,181","3,241","2,392","1,634","2,269","1,810","3,910",13,"2,035",,
2020,6,40,"36,927","2,634","2,833","2,057","1,395","2,742","1,844","2,902","1,228","1,618","2,167","2,642","2,027","1,664","1,843","1,775","3,521",25,"2,010",,
2020,6,50,"35,439","2,470","2,288","1,964","1,370","1,793","1,622","3,013","1,080","1,297","2,236","3,002","2,238","1,432","1,927","1,900","3,631",19,"2,157",,
2020,6,60,"29,131","1,759","1,875","1,647","1,175","1,330","1,340","2,329",879,"1,126","2,042","2,353","1,891","1,160","1,700","1,408","3,222",25,"1,870",,
2020,6,70,"14,425",941,728,755,493,512,556,"1,207",526,514,"1,075","1,275",982,644,908,796,"1,622",15,876,,
2020,6,80,"3,726",326,145,199,111,164,128,303,126,130,264,353,255,169,259,176,394,7,217,,
2020,6,90,384,43,13,22,18,23,20,36,12,12,18,29,17,23,19,17,34,1,27,,
2020,6,100,62,4,3,2,0,10,3,5,2,4,4,7,5,0,4,3,4,1,1,,
2020,7,총,"225,170","15,305","16,137","12,915","8,597","13,421","10,776","17,784","7,540","8,973","13,633","17,251","13,105","9,814","11,969","11,580","22,851",125,"13,394",,
2020,7,0,"18,017","1,262","2,153","1,113",593,"1,679","1,243","1,141",748,"1,052",763,959,732,831,619,700,"1,390",4,"1,035",,
2020,7,10,"20,686","2,303","1,637","1,349","1,382","1,992",976,"1,419",509,"1,008",974,"1,004",685,920,595,"1,098","1,619",5,"1,211",,
2020,7,20,"30,381","1,986","1,872","1,669","1,121","1,379","1,221","2,540",993,979,"1,917","2,405","1,862","1,332","1,804","1,896","3,443",10,"1,952",,
2020,7,30,"35,776","1,567","2,522","2,130",935,"1,765","1,813","2,867","1,437","1,226","2,181","3,240","2,403","1,631","2,280","1,808","3,917",13,"2,041",,
2020,7,40,"36,923","2,633","2,863","2,052","1,393","2,758","1,843","2,901","1,223","1,616","2,150","2,630","2,012","1,652","1,850","1,775","3,539",25,"2,008",,
2020,7,50,"35,413","2,475","2,280","1,972","1,367","1,795","1,630","3,007","1,075","1,306","2,225","2,976","2,243","1,440","1,920","1,891","3,648",19,"2,144",,
2020,7,60,"29,250","1,764","1,900","1,637","1,172","1,339","1,345","2,348",889,"1,122","2,057","2,363","1,902","1,161","1,706","1,411","3,232",25,"1,877",,
2020,7,70,"14,538",943,748,770,506,520,556,"1,216",525,513,"1,077","1,285",988,652,912,805,"1,625",14,883,,
2020,7,80,"3,744",327,146,199,110,161,126,305,127,135,266,352,257,172,260,176,401,8,216,,
2020,7,90,379,41,13,22,18,23,20,35,12,12,19,29,16,23,19,17,33,1,26,,
2020,7,100,63,4,3,2,0,10,3,5,2,4,4,8,5,0,4,3,4,1,1,,
2020,8,총,"225,103","15,273","16,208","12,923","8,587","13,400","10,771","17,757","7,525","8,962","13,614","17,274","13,100","9,845","11,960","11,571","22,873",124,"13,336",,
2020,8,0,"17,961","1,247","2,167","1,117",585,"1,673","1,242","1,139",747,"1,045",760,956,723,841,617,698,"1,375",4,"1,025",,
2020,8,10,"20,634","2,303","1,635","1,350","1,386","1,991",981,"1,409",501,"1,005",958,"1,000",686,928,590,"1,083","1,624",5,"1,199",,
2020,8,20,"30,350","1,983","1,875","1,653","1,125","1,372","1,217","2,535",984,989,"1,923","2,411","1,871","1,336","1,800","1,896","3,440",10,"1,930",,
2020,8,30,"35,698","1,552","2,524","2,138",921,"1,747","1,793","2,836","1,434","1,214","2,182","3,252","2,408","1,634","2,269","1,809","3,937",13,"2,035",,
2020,8,40,"36,929","2,629","2,883","2,058","1,393","2,761","1,854","2,898","1,231","1,613","2,152","2,635","2,000","1,651","1,833","1,779","3,534",25,"2,000",,
2020,8,50,"35,313","2,470","2,288","1,960","1,365","1,800","1,614","2,995","1,072","1,300","2,216","2,952","2,249","1,444","1,922","1,884","3,638",18,"2,126",,
2020,8,60,"29,377","1,764","1,919","1,650","1,175","1,342","1,349","2,360",893,"1,128","2,052","2,389","1,895","1,162","1,720","1,421","3,250",25,"1,883",,
2020,8,70,"14,613",946,753,769,507,518,567,"1,236",518,519,"1,082","1,290",993,652,917,804,"1,635",14,893,,
2020,8,80,"3,778",332,148,204,112,161,130,308,131,133,266,352,255,172,268,176,403,8,219,,
2020,8,90,386,43,13,22,18,25,21,36,12,12,19,29,15,25,19,18,33,1,25,,
2020,8,100,64,4,3,2,0,10,3,5,2,4,4,8,5,0,5,3,4,1,1,,
2020,9,총,"225,396","15,603","16,276","12,924","8,598","13,353","11,029","17,704","7,512","8,978","13,605","17,263","13,093","9,850","11,879","11,541","22,805",123,"13,260",,
2020,9,0,"17,999","1,313","2,187","1,118",589,"1,649","1,284","1,138",753,"1,049",756,942,728,842,600,696,"1,357",4,994,,
2020,9,10,"20,607","2,311","1,648","1,344","1,400","2,004","1,007","1,393",493,"1,005",949,"1,000",685,922,591,"1,066","1,606",4,"1,179",,
2020,9,20,"30,297","1,999","1,868","1,658","1,113","1,358","1,228","2,537",976,991,"1,938","2,392","1,862","1,348","1,782","1,877","3,418",10,"1,942",,
2020,9,30,"35,794","1,713","2,522","2,131",916,"1,730","1,879","2,789","1,438","1,207","2,168","3,249","2,420","1,624","2,254","1,803","3,931",13,"2,007",,
2020,9,40,"37,001","2,665","2,905","2,053","1,404","2,760","1,905","2,895","1,214","1,611","2,156","2,660","1,985","1,654","1,824","1,772","3,523",25,"1,990",,
2020,9,50,"35,292","2,479","2,290","1,958","1,358","1,797","1,629","2,999","1,078","1,307","2,215","2,928","2,247","1,439","1,911","1,887","3,627",16,"2,127",,
2020,9,60,"29,483","1,782","1,933","1,656","1,177","1,335","1,366","2,355",894,"1,138","2,057","2,414","1,884","1,172","1,713","1,436","3,259",27,"1,885",,
2020,9,70,"14,657",958,758,775,511,524,577,"1,247",516,518,"1,081","1,286","1,003",648,914,804,"1,633",13,891,,
2020,9,80,"3,806",334,150,208,112,160,130,310,134,136,261,355,258,175,269,179,409,9,217,,
2020,9,90,396,45,12,21,18,26,21,36,14,12,20,29,16,26,17,18,37,1,27,,
2020,9,100,64,4,3,2,0,10,3,5,2,4,4,8,5,0,4,3,5,1,1,,
2020,10,총,"225,664","15,861","16,331","12,881","8,624","13,356","11,250","17,633","7,486","8,974","13,601","17,194","13,096","9,847","11,854","11,546","22,781",123,"13,226",,
2020,10,0,"18,001","1,353","2,185","1,115",598,"1,635","1,322","1,117",750,"1,042",750,936,718,845,595,691,"1,352",4,993,,
2020,10,10,"20,574","2,326","1,653","1,333","1,396","2,020","1,025","1,384",491,"1,003",933,996,679,916,590,"1,059","1,604",4,"1,162",,
2020,10,20,"30,275","2,013","1,864","1,647","1,115","1,347","1,259","2,538",971,990,"1,931","2,375","1,862","1,350","1,787","1,880","3,399",10,"1,937",,
2020,10,30,"35,824","1,797","2,505","2,116",912,"1,715","1,918","2,767","1,433","1,213","2,172","3,232","2,428","1,630","2,259","1,805","3,895",13,"2,014",,
2020,10,40,"37,064","2,714","2,951","2,037","1,409","2,762","1,950","2,867","1,214","1,610","2,156","2,645","1,988","1,646","1,804","1,768","3,542",24,"1,977",,
2020,10,50,"35,271","2,500","2,293","1,949","1,363","1,798","1,659","2,985","1,072","1,308","2,225","2,913","2,237","1,431","1,889","1,895","3,626",17,"2,111",,
2020,10,60,"29,670","1,807","1,947","1,675","1,183","1,352","1,380","2,367",891,"1,138","2,065","2,423","1,898","1,176","1,717","1,443","3,287",27,"1,894",,
2020,10,70,"14,708",967,766,780,516,530,577,"1,258",512,520,"1,081","1,283","1,002",655,924,804,"1,627",13,893,,
2020,10,80,"3,818",338,152,206,114,161,135,310,136,134,263,353,263,172,268,181,407,9,216,,
2020,10,90,397,43,13,21,18,26,22,35,14,12,21,30,16,26,17,17,37,1,28,,
2020,10,100,62,3,2,2,0,10,3,5,2,4,4,8,5,0,4,3,5,1,1,,
2020,11,총,"225,631","15,967","16,337","12,853","8,640","13,288","11,307","17,627","7,485","9,002","13,555","17,171","13,054","9,864","11,861","11,543","22,769",119,"13,189",,
2020,11,0,"17,910","1,382","2,181","1,114",596,"1,619","1,315","1,106",740,"1,048",736,922,705,851,587,679,"1,346",2,981,,
2020,11,10,"20,527","2,322","1,660","1,325","1,403","2,028","1,022","1,372",490,"1,008",924,992,665,910,595,"1,061","1,585",3,"1,162",,
2020,11,20,"30,274","2,023","1,867","1,630","1,117","1,329","1,281","2,545",970,991,"1,926","2,369","1,874","1,345","1,803","1,886","3,389",11,"1,918",,
2020,11,30,"35,800","1,810","2,473","2,107",918,"1,683","1,940","2,763","1,433","1,207","2,169","3,248","2,416","1,650","2,248","1,810","3,906",11,"2,008",,
2020,11,40,"37,019","2,740","2,953","2,037","1,400","2,757","1,957","2,858","1,215","1,624","2,151","2,621","1,975","1,634","1,802","1,765","3,533",23,"1,974",,
2020,11,50,"35,256","2,510","2,299","1,944","1,365","1,786","1,660","2,987","1,077","1,309","2,218","2,902","2,229","1,449","1,892","1,892","3,614",18,"2,105",,
2020,11,60,"29,790","1,821","1,966","1,683","1,190","1,361","1,386","2,375",889,"1,145","2,066","2,437","1,904","1,168","1,724","1,437","3,303",27,"1,908",,
2020,11,70,"14,730",970,769,783,518,535,587,"1,264",518,520,"1,072","1,284",998,654,916,806,"1,635",13,888,,
2020,11,80,"3,867",343,154,206,114,157,133,317,137,135,269,357,268,177,272,187,416,9,216,,
2020,11,90,396,43,13,22,19,23,23,35,14,11,20,31,15,26,18,17,37,1,28,,
2020,11,100,62,3,2,2,0,10,3,5,2,4,4,8,5,0,4,3,5,1,1,,
2020,12,총,"226,216","17,178","16,379","12,826","8,663","13,193","11,356","17,554","7,480","8,991","13,511","17,061","12,992","9,820","11,926","11,537","22,705",118,"12,926",,
2020,12,0,"17,977","1,552","2,176","1,117",595,"1,615","1,324","1,084",745,"1,049",725,894,699,840,599,671,"1,334",2,956,,
2020,12,10,"20,486","2,398","1,680","1,312","1,392","2,004","1,034","1,379",486,"1,004",919,970,659,903,586,"1,048","1,572",3,"1,137",,
2020,12,20,"30,322","2,135","1,861","1,635","1,133","1,318","1,292","2,531",965,980,"1,932","2,353","1,864","1,345","1,810","1,884","3,398",11,"1,875",,
2020,12,30,"35,940","2,063","2,451","2,087",936,"1,663","1,956","2,738","1,445","1,199","2,153","3,243","2,407","1,651","2,261","1,821","3,893",11,"1,962",,
2020,12,40,"37,147","2,893","2,993","2,039","1,401","2,745","1,975","2,865","1,212","1,630","2,156","2,607","1,973","1,610","1,815","1,763","3,501",23,"1,946",,
2020,12,50,"35,183","2,645","2,286","1,941","1,359","1,772","1,659","2,944","1,069","1,300","2,194","2,873","2,209","1,439","1,901","1,893","3,618",15,"2,066",,
2020,12,60,"29,989","2,006","1,989","1,682","1,194","1,355","1,379","2,387",890,"1,154","2,069","2,445","1,900","1,174","1,727","1,443","3,300",29,"1,866",,
2020,12,70,"14,798","1,084",774,779,518,529,580,"1,264",511,523,"1,067","1,276",990,656,930,800,"1,627",13,877,,
2020,12,80,"3,919",355,155,210,116,160,132,323,139,135,271,363,271,177,275,194,421,9,213,,
2020,12,90,391,44,12,22,19,22,21,34,16,13,20,29,15,25,18,17,36,1,27,,
2020,12,100,64,3,2,2,0,10,4,5,2,4,5,8,5,0,4,3,5,1,1,,
2021,1,총,"226,893","17,979","16,823","12,805","8,670","13,108","11,416","17,499","7,468","8,965","13,486","16,961","13,011","9,809","11,918","11,549","22,694",116,"12,616",,
2021,1,0,"18,035","1,672","2,241","1,108",580,"1,598","1,329","1,077",738,"1,036",720,884,704,841,584,673,"1,321",2,927,,
2021,1,10,"20,535","2,450","1,745","1,314","1,383","1,996","1,046","1,370",484,"1,011",927,960,649,889,581,"1,050","1,564",3,"1,113",,
2021,1,20,"30,246","2,221","1,883","1,628","1,145","1,289","1,286","2,518",959,982,"1,921","2,326","1,851","1,354","1,796","1,879","3,378",11,"1,819",,
2021,1,30,"36,019","2,203","2,528","2,067",947,"1,639","1,975","2,718","1,435","1,174","2,151","3,210","2,430","1,627","2,292","1,825","3,884",10,"1,904",,
2021,1,40,"37,265","3,014","3,099","2,034","1,397","2,743","1,987","2,860","1,220","1,629","2,130","2,592","1,978","1,610","1,798","1,736","3,502",22,"1,914",,
2021,1,50,"35,232","2,723","2,322","1,945","1,351","1,763","1,672","2,938","1,063","1,303","2,201","2,865","2,190","1,439","1,890","1,914","3,610",17,"2,026",,
2021,1,60,"30,204","2,127","2,054","1,688","1,199","1,356","1,370","2,386",899,"1,145","2,067","2,448","1,921","1,182","1,742","1,454","3,329",27,"1,810",,
2021,1,70,"14,923","1,140",782,784,531,532,587,"1,269",511,531,"1,073","1,278",996,662,932,801,"1,639",13,862,,
2021,1,80,"3,983",377,156,212,118,161,139,323,142,138,272,363,272,181,281,197,428,9,214,,
2021,1,90,386,49,11,23,19,21,21,35,15,12,19,27,15,23,18,17,34,1,26,,
2021,1,100,65,3,2,2,0,10,4,5,2,4,5,8,5,1,4,3,5,1,1,,
2021,2,총,"228,256","18,769","17,897","12,761","8,670","13,004","11,411","17,497","7,470","8,940","13,444","16,922","12,971","9,804","11,899","11,528","22,646",116,"12,507",,
2021,2,0,"18,293","1,820","2,456","1,103",584,"1,591","1,340","1,076",720,"1,031",705,880,693,833,575,654,"1,301",2,929,,
2021,2,10,"20,657","2,507","1,895","1,300","1,388","1,981","1,032","1,363",487,"1,011",912,951,644,882,580,"1,058","1,557",3,"1,106",,
2021,2,20,"30,264","2,275","1,953","1,623","1,146","1,262","1,273","2,516",956,977,"1,917","2,319","1,863","1,362","1,779","1,872","3,363",11,"1,797",,
2021,2,30,"36,149","2,425","2,664","2,043",929,"1,609","1,955","2,719","1,436","1,151","2,125","3,198","2,404","1,613","2,295","1,807","3,879",8,"1,889",,
2021,2,40,"37,581","3,129","3,359","2,039","1,394","2,729","1,995","2,862","1,211","1,633","2,126","2,583","1,965","1,616","1,783","1,732","3,508",24,"1,893",,
2021,2,50,"35,379","2,775","2,438","1,949","1,359","1,758","1,663","2,931","1,075","1,304","2,192","2,851","2,196","1,449","1,899","1,926","3,586",17,"2,011",,
2021,2,60,"30,429","2,196","2,146","1,680","1,203","1,349","1,381","2,396",904,"1,143","2,090","2,464","1,923","1,182","1,756","1,466","3,345",27,"1,778",,
2021,2,70,"14,999","1,195",816,785,532,534,598,"1,259",519,534,"1,073","1,273",987,663,924,790,"1,642",13,862,,
2021,2,80,"4,041",389,156,214,117,160,149,334,145,140,279,368,274,180,286,203,424,9,214,,
2021,2,90,399,55,12,23,18,21,21,36,15,12,20,27,17,23,18,17,36,1,27,,
2021,2,100,65,3,2,2,0,10,4,5,2,4,5,8,5,1,4,3,5,1,1,,
2021,3,총,"228,609","19,511","18,692","12,695","8,635","12,893","11,371","17,359","7,429","8,878","13,367","16,723","12,937","9,782","11,813","11,477","22,547",76,"12,424",,
2021,3,0,"18,432","1,962","2,571","1,088",588,"1,554","1,338","1,066",717,"1,012",706,882,694,825,565,649,"1,294",2,919,,
2021,3,10,"20,661","2,532","1,969","1,290","1,380","1,972","1,029","1,340",482,"1,012",908,944,640,881,584,"1,050","1,536",3,"1,109",,
2021,3,20,"30,344","2,347","2,032","1,609","1,143","1,268","1,276","2,527",956,969,"1,889","2,297","1,860","1,367","1,783","1,879","3,357",10,"1,775",,
2021,3,30,"36,290","2,700","2,763","2,044",920,"1,563","1,930","2,695","1,432","1,142","2,132","3,170","2,396","1,601","2,263","1,788","3,865",8,"1,878",,
2021,3,40,"37,583","3,221","3,518","2,014","1,383","2,697","1,998","2,835","1,205","1,622","2,117","2,534","1,953","1,616","1,766","1,727","3,504",11,"1,862",,
2021,3,50,"35,322","2,837","2,532","1,940","1,349","1,750","1,660","2,898","1,066","1,297","2,178","2,818","2,181","1,444","1,885","1,914","3,559",11,"2,003",,
2021,3,60,"30,571","2,248","2,276","1,688","1,204","1,365","1,379","2,388",900,"1,137","2,081","2,436","1,941","1,184","1,746","1,456","3,351",19,"1,772",,
2021,3,70,"14,956","1,219",850,783,535,534,594,"1,239",516,527,"1,066","1,255",979,657,916,792,"1,629",6,859,,
2021,3,80,"4,046",389,168,215,116,159,150,337,146,146,275,363,274,182,286,202,414,5,219,,
2021,3,90,375,55,12,23,16,21,16,33,9,12,15,24,17,24,16,18,36,1,27,,
2021,3,100,29,1,1,1,1,10,1,1,0,2,0,0,2,1,3,2,2,0,1,,
2021,4,총,"228,768","19,875","18,869","12,703","8,614","12,838","11,357","17,337","7,425","8,851","13,335","16,590","12,943","9,799","11,783","11,456","22,500",76,"12,417",,
2021,4,0,"18,439","2,011","2,592","1,099",579,"1,545","1,328","1,069",718,"1,007",698,859,695,822,562,648,"1,293",2,912,,
2021,4,10,"20,618","2,545","1,986","1,285","1,377","1,969","1,046","1,332",486,"1,007",907,928,639,880,576,"1,033","1,520",3,"1,099",,
2021,4,20,"30,315","2,376","2,047","1,610","1,129","1,263","1,260","2,526",948,969,"1,874","2,276","1,866","1,370","1,773","1,891","3,354",10,"1,773",,
2021,4,30,"36,289","2,807","2,761","2,028",927,"1,547","1,923","2,696","1,431","1,135","2,122","3,141","2,394","1,607","2,262","1,773","3,844",7,"1,884",,
2021,4,40,"37,612","3,271","3,566","2,013","1,361","2,680","2,004","2,830","1,208","1,621","2,114","2,518","1,960","1,626","1,751","1,723","3,484",12,"1,870",,
2021,4,50,"35,290","2,868","2,567","1,943","1,355","1,758","1,650","2,880","1,063","1,290","2,173","2,784","2,165","1,430","1,894","1,902","3,553",11,"2,004",,
2021,4,60,"30,694","2,298","2,300","1,698","1,211","1,353","1,381","2,394",897,"1,132","2,088","2,438","1,957","1,195","1,746","1,461","3,360",19,"1,766",,
2021,4,70,"15,008","1,246",863,789,536,531,594,"1,230",517,531,"1,065","1,260",972,657,912,802,"1,637",6,860,,
2021,4,80,"4,098",395,175,214,121,160,154,346,146,146,280,362,277,188,289,203,416,5,221,,
2021,4,90,376,57,11,23,17,22,16,33,11,11,14,24,16,23,15,18,37,1,27,,
2021,4,100,29,1,1,1,1,10,1,1,0,2,0,0,2,1,3,2,2,0,1,,
