년도,월,나이,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020,10,60,"9,639","3,722",453,456,582,354,389,200,307,261,233,783,385,712,802
2020,10,70,"6,773","2,189",321,379,385,311,311,201,227,186,201,506,348,565,643
2020,10,80,"4,208","1,092",185,231,231,235,235,145,201,180,148,279,243,351,452
2020,10,90,625,152,28,37,40,35,45,19,32,36,25,42,31,52,51
2020,10,100,18,9,0,0,1,1,0,0,1,1,2,0,1,1,1
2020,11,총,"51,442","24,543","1,768","1,854","2,745","1,598","1,692",863,"1,442","1,135","1,011","3,615","1,771","3,078","4,327"
2020,11,0,"2,592","1,892",40,26,99,25,32,16,36,28,28,143,23,60,144
2020,11,10,"4,148","2,697",87,102,184,66,66,29,61,69,34,281,49,141,282
2020,11,20,"3,933","2,269",82,93,246,85,91,45,99,69,49,260,89,171,285
2020,11,30,"3,889","2,406",88,88,186,64,73,38,85,46,41,245,72,158,299
2020,11,40,"6,414","3,766",177,148,305,138,137,44,129,76,67,421,168,291,547
2020,11,50,"9,157","4,340",302,297,490,278,305,123,264,181,181,646,357,575,818
2020,11,60,"9,682","3,728",457,454,579,361,397,200,310,263,236,788,392,712,805
2020,11,70,"6,743","2,183",318,378,381,310,306,203,224,187,199,508,344,563,639
2020,11,80,"4,233","1,099",189,232,233,233,238,145,199,179,149,282,245,354,456
2020,11,90,633,154,28,36,41,37,47,20,34,36,25,41,31,52,51
2020,11,100,18,9,0,0,1,1,0,0,1,1,2,0,1,1,1
2020,12,총,"51,361","24,493","1,759","1,848","2,760","1,591","1,689",858,"1,439","1,129","1,010","3,605","1,764","3,088","4,328"
2020,12,0,"2,570","1,869",39,27,99,25,35,14,38,25,28,142,23,63,143
2020,12,10,"4,157","2,704",85,102,184,65,66,27,59,70,33,283,51,143,285
2020,12,20,"3,906","2,255",79,90,257,79,85,45,102,68,51,260,82,174,279
2020,12,30,"3,850","2,379",88,91,191,63,74,35,80,43,39,242,70,159,296
2020,12,40,"6,374","3,756",170,143,300,137,133,44,129,76,64,420,168,284,550
2020,12,50,"9,135","4,333",305,292,492,278,300,121,263,183,177,637,356,582,816
2020,12,60,"9,735","3,742",458,455,581,363,407,204,309,263,243,793,393,713,811
2020,12,70,"6,740","2,193",314,380,380,310,303,201,227,186,200,505,343,560,638
2020,12,80,"4,242","1,105",193,232,234,234,236,146,196,180,148,284,242,356,456
2020,12,90,632,147,28,36,41,36,50,21,35,34,25,39,35,53,52
2020,12,100,20,10,0,0,1,1,0,0,1,1,2,0,1,1,2
2021,1,총,"51,372","24,499","1,764","1,849","2,761","1,590","1,682",862,"1,443","1,123","1,019","3,607","1,753","3,096","4,324"
2021,1,0,"2,547","1,850",39,27,100,23,36,14,37,25,27,143,22,66,138
2021,1,10,"4,157","2,700",85,102,182,66,65,27,55,70,35,286,51,143,290
2021,1,20,"3,903","2,257",81,87,256,79,83,44,105,67,50,258,83,176,277
2021,1,30,"3,826","2,378",88,90,188,61,74,32,75,43,40,238,69,159,291
2021,1,40,"6,333","3,731",170,141,301,134,128,50,131,73,68,417,161,281,547
2021,1,50,"9,136","4,347",300,292,490,281,298,118,265,182,177,637,356,581,812
2021,1,60,"9,798","3,767",461,456,588,362,408,209,316,263,245,792,394,719,818
2021,1,70,"6,758","2,207",316,384,374,311,303,202,225,184,200,510,342,563,637
2021,1,80,"4,259","1,107",196,233,242,235,235,146,198,182,148,284,238,355,460
2021,1,90,635,146,27,37,39,37,52,20,35,33,27,42,36,52,52
2021,1,100,20,9,1,0,1,1,0,0,1,1,2,0,1,1,2
2021,2,총,"51,283","24,449","1,767","1,850","2,750","1,590","1,672",858,"1,450","1,123","1,025","3,587","1,750","3,107","4,305"
2021,2,0,"2,519","1,823",40,27,101,23,34,14,42,24,29,138,23,67,134
2021,2,10,"4,130","2,681",84,100,182,62,62,25,55,72,35,286,52,147,287
2021,2,20,"3,879","2,254",84,91,243,78,82,44,102,63,49,259,82,174,274
2021,2,30,"3,763","2,332",87,88,192,61,74,33,75,42,41,231,69,157,281
2021,2,40,"6,312","3,728",171,143,296,133,121,50,133,75,66,405,163,283,545
2021,2,50,"9,123","4,343",296,295,489,279,299,118,260,177,180,635,352,588,812
2021,2,60,"9,841","3,800",462,451,589,371,408,206,320,269,244,796,394,716,815
2021,2,70,"6,786","2,219",318,384,376,311,303,202,227,185,203,507,342,568,641
2021,2,80,"4,264","1,107",195,234,241,235,234,146,198,182,148,288,238,355,463
2021,2,90,645,152,29,37,40,36,55,20,37,33,28,42,34,51,51
2021,2,100,21,10,1,0,1,1,0,0,1,1,2,0,1,1,2
2021,3,총,"51,035","24,310","1,755","1,857","2,722","1,592","1,668",855,"1,437","1,119","1,021","3,590","1,738","3,067","4,304"
2021,3,0,"2,495","1,806",41,25,100,24,35,14,40,24,27,142,19,63,135
2021,3,10,"4,159","2,682",80,113,177,65,63,24,54,72,34,308,53,149,285
2021,3,20,"3,838","2,247",84,87,233,76,78,44,101,60,50,255,79,169,275
2021,3,30,"3,719","2,309",87,87,190,62,73,33,74,41,40,226,64,152,281
2021,3,40,"6,239","3,698",167,143,293,132,124,47,123,74,65,396,164,276,537
2021,3,50,"9,010","4,291",292,290,481,276,293,116,259,178,178,629,342,573,812
2021,3,60,"9,881","3,812",457,455,592,373,410,207,323,273,247,797,401,713,821
