년도,월,나이,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면,강원도 영월군 산솔면
2020,4,10,"1,589","1,184",17,25,41,37,56,31,35,123,40,
2020,4,20,"1,885","1,300",31,44,55,83,73,67,63,122,47,
2020,4,30,"1,598","1,038",29,44,31,65,83,48,84,128,48,
2020,4,40,"2,652","1,586",75,84,94,132,148,89,118,213,113,
2020,4,50,"4,085","2,050",135,194,233,261,249,171,203,387,202,
2020,4,60,"4,021","1,610",130,211,241,290,340,162,218,515,304,
2020,4,70,"2,232",912,92,111,136,155,157,83,134,271,181,
2020,4,80,915,365,44,43,47,77,62,39,60,130,48,
2020,4,90,93,34,3,4,4,4,9,3,10,15,7,
2020,4,100,14,5,1,1,0,3,2,0,0,2,0,
2020,5,총,"19,996","10,812",568,774,902,"1,123","1,194",712,945,"1,950","1,016",
2020,5,0,920,725,14,12,17,16,23,21,24,47,21,
2020,5,10,"1,578","1,179",17,25,41,37,55,29,35,120,40,
2020,5,20,"1,891","1,315",29,44,55,81,69,69,63,121,45,
2020,5,30,"1,578","1,023",29,43,33,65,82,47,82,124,50,
2020,5,40,"2,630","1,582",69,82,94,131,144,90,116,208,114,
2020,5,50,"4,085","2,055",138,198,228,257,246,167,201,393,202,
2020,5,60,"4,055","1,614",132,209,246,296,345,163,221,520,309,
2020,5,70,"2,226",912,91,112,134,154,157,84,134,269,179,
2020,5,80,925,369,45,44,49,78,62,39,59,131,49,
2020,5,90,94,33,3,4,5,5,9,3,10,15,7,
2020,5,100,14,5,1,1,0,3,2,0,0,2,0,
2020,6,총,"20,054","10,852",568,777,905,"1,129","1,190",714,945,"1,955","1,019",
2020,6,0,919,722,14,12,17,16,22,22,25,47,22,
2020,6,10,"1,622","1,224",16,25,41,35,54,28,35,123,41,
2020,6,20,"1,878","1,312",25,44,56,82,70,67,59,120,43,
2020,6,30,"1,562","1,017",28,43,32,63,81,49,79,121,49,
2020,6,40,"2,628","1,577",70,79,96,130,144,90,119,208,115,
2020,6,50,"4,091","2,047",140,202,226,260,250,167,202,395,202,
2020,6,60,"4,088","1,631",134,211,248,303,342,165,221,524,309,
2020,6,70,"2,230",913,92,112,135,154,155,84,135,269,181,
2020,6,80,926,370,44,44,49,78,61,39,60,131,50,
2020,6,90,96,34,4,4,5,5,9,3,10,15,7,
2020,6,100,14,5,1,1,0,3,2,0,0,2,0,
2020,7,총,"20,048","10,855",567,775,904,"1,135","1,193",709,940,"1,948","1,022",
2020,7,0,913,718,15,12,16,16,21,22,25,47,21,
2020,7,10,"1,608","1,212",16,24,41,35,53,28,33,123,43,
2020,7,20,"1,896","1,327",25,45,56,82,71,68,61,118,43,
2020,7,30,"1,564","1,017",29,43,33,65,80,48,77,123,49,
2020,7,40,"2,607","1,563",68,79,93,131,145,87,120,203,118,
2020,7,50,"4,090","2,058",139,200,227,260,250,166,201,390,199,
2020,7,60,"4,103","1,640",134,212,248,307,343,166,218,526,309,
2020,7,70,"2,226",913,91,112,135,153,159,82,135,266,180,
2020,7,80,931,368,45,43,50,78,60,39,60,135,53,
2020,7,90,96,34,4,4,5,5,9,3,10,15,7,
2020,7,100,14,5,1,1,0,3,2,0,0,2,0,
2020,8,총,"20,023","10,835",562,772,903,"1,136","1,192",714,941,"1,948","1,020",
2020,8,0,908,716,15,12,15,15,20,22,25,47,21,
2020,8,10,"1,599","1,195",17,25,40,36,54,29,33,127,43,
2020,8,20,"1,900","1,330",24,45,57,82,72,70,61,118,41,
2020,8,30,"1,559","1,008",28,40,33,66,81,49,80,124,50,
2020,8,40,"2,578","1,554",66,78,92,130,143,86,116,199,114,
2020,8,50,"4,093","2,062",139,197,224,261,248,166,200,392,204,
2020,8,60,"4,119","1,647",133,214,251,304,344,169,222,528,307,
2020,8,70,"2,218",914,91,112,134,155,158,83,135,260,176,
2020,8,80,940,370,45,44,52,79,61,37,59,136,57,
2020,8,90,94,34,3,4,5,5,9,3,10,14,7,
2020,8,100,15,5,1,1,0,3,2,0,0,3,0,
2020,9,총,"19,987","10,799",571,768,901,"1,129","1,195",713,940,"1,947","1,024",
2020,9,0,906,713,14,12,15,17,20,22,25,47,21,
2020,9,10,"1,577","1,179",18,24,40,36,54,29,32,123,42,
2020,9,20,"1,886","1,319",25,44,56,80,75,68,58,120,41,
2020,9,30,"1,557","1,002",29,43,33,64,81,48,82,123,52,
2020,9,40,"2,556","1,535",67,76,90,131,140,88,118,197,114,
2020,9,50,"4,095","2,067",138,195,225,262,249,165,199,392,203,
2020,9,60,"4,139","1,659",139,212,251,302,346,168,223,531,308,
2020,9,70,"2,207",914,92,109,134,153,157,84,132,258,174,
2020,9,80,955,374,45,48,52,76,62,38,60,139,61,
2020,9,90,93,31,3,4,5,5,9,3,11,14,8,
2020,9,100,16,6,1,1,0,3,2,0,0,3,0,
2020,10,총,"20,002","10,799",570,769,897,"1,132","1,197",712,947,"1,948","1,031",
2020,10,0,907,710,14,12,15,19,20,21,26,48,22,
2020,10,10,"1,563","1,165",17,22,40,36,56,28,32,125,42,
2020,10,20,"1,910","1,337",26,45,56,82,74,69,58,121,42,
2020,10,30,"1,531",986,30,41,31,59,81,49,84,119,51,
2020,10,40,"2,555","1,538",67,76,90,132,141,82,120,193,116,
2020,10,50,"4,091","2,065",135,193,220,265,248,170,196,395,204,
2020,10,60,"4,159","1,669",140,215,255,301,342,169,224,533,311,
2020,10,70,"2,211",914,92,110,134,151,162,84,133,257,174,
2020,10,80,965,377,45,49,51,79,63,37,63,140,61,
2020,10,90,94,32,3,5,5,5,8,3,11,14,8,
2020,10,100,16,6,1,1,0,3,2,0,0,3,0,
2020,11,총,"19,997","10,813",570,765,897,"1,128","1,194",712,946,"1,938","1,034",
2020,11,0,899,708,14,11,16,18,20,20,27,43,22,
2020,11,10,"1,549","1,158",16,20,39,36,56,28,32,122,42,
2020,11,20,"1,916","1,333",29,46,57,82,75,67,60,123,44,
2020,11,30,"1,518",985,30,38,32,60,76,48,85,113,51,
2020,11,40,"2,541","1,537",68,74,86,129,139,82,121,192,113,
2020,11,50,"4,091","2,074",132,194,218,259,247,172,194,397,204,
2020,11,60,"4,194","1,684",139,217,257,304,348,169,224,539,313,
2020,11,70,"2,205",915,92,109,136,153,158,86,128,253,175,
2020,11,80,973,380,46,50,51,79,65,37,64,139,62,
2020,11,90,95,33,3,5,5,5,8,3,11,14,8,
2020,11,100,16,6,1,1,0,3,2,0,0,3,0,
2020,12,총,"19,986","10,791",570,766,896,"1,141","1,192",702,948,"1,944","1,036",
2020,12,0,889,693,14,12,16,19,19,20,27,48,21,
2020,12,10,"1,536","1,147",16,21,37,41,56,28,31,115,44,
2020,12,20,"1,918","1,329",30,45,57,89,75,63,59,128,43,
2020,12,30,"1,518",985,28,39,33,59,75,50,87,111,51,
2020,12,40,"2,535","1,530",67,75,87,130,137,79,123,195,112,
2020,12,50,"4,071","2,066",133,190,215,259,247,168,195,396,202,
2020,12,60,"4,224","1,705",138,220,257,305,349,169,223,542,316,
2020,12,70,"2,191",912,92,106,135,151,160,84,128,247,176,
2020,12,80,989,384,48,52,54,79,64,38,63,145,62,
2020,12,90,99,34,3,5,5,6,8,3,12,14,9,
2020,12,100,16,6,1,1,0,3,2,0,0,3,0,
2021,1,총,"19,935","10,742",568,771,894,"1,134","1,193",695,952,"1,944","1,042",
2021,1,0,892,692,14,12,17,19,19,20,31,47,21,
2021,1,10,"1,513","1,127",16,24,38,39,59,27,28,112,43,
2021,1,20,"1,891","1,301",30,44,56,88,74,64,62,127,45,
2021,1,30,"1,513",992,27,40,34,56,75,46,86,107,50,
2021,1,40,"2,502","1,508",68,74,86,129,136,74,121,195,111,
2021,1,50,"4,060","2,063",130,192,212,256,246,171,192,394,204,
2021,1,60,"4,239","1,712",138,219,253,308,344,168,228,552,317,
2021,1,70,"2,212",917,93,108,137,150,166,84,130,248,179,
2021,1,80,998,389,48,52,56,80,64,38,63,145,63,
2021,1,90,99,35,3,5,5,6,8,3,11,14,9,
2021,1,100,16,6,1,1,0,3,2,0,0,3,0,
2021,2,총,"19,863","10,700",565,766,894,"1,124","1,191",687,948,"1,945","1,043",
2021,2,0,881,683,12,11,17,20,19,19,31,47,22,
2021,2,10,"1,519","1,127",17,26,38,38,59,24,29,116,45,
2021,2,20,"1,848","1,270",30,43,53,83,73,66,59,125,46,
2021,2,30,"1,493",977,25,40,35,59,75,45,82,108,47,
2021,2,40,"2,491","1,506",69,72,84,125,138,70,123,195,109,
2021,2,50,"4,038","2,065",128,186,213,250,246,168,192,386,204,
2021,2,60,"4,262","1,723",138,222,256,308,341,169,227,558,320,
2021,2,70,"2,207",914,94,107,135,151,166,85,130,249,176,
2021,2,80,"1,005",394,48,52,58,81,64,38,64,142,64,
2021,2,90,102,35,3,6,5,6,8,3,10,16,10,
2021,2,100,17,6,1,1,0,3,2,0,1,3,0,
2021,3,총,"19,895","10,765",559,760,892,"1,112","1,190",687,940,"1,943","1,047",
2021,3,0,864,672,11,11,15,19,19,21,31,46,19,
2021,3,10,"1,596","1,198",16,24,39,38,58,24,28,125,46,
2021,3,20,"1,855","1,291",31,44,48,78,71,64,57,123,48,
2021,3,30,"1,481",965,25,39,35,60,75,44,84,106,48,
2021,3,40,"2,468","1,497",67,70,84,125,137,71,123,186,108,
2021,3,50,"4,026","2,057",128,184,212,246,250,168,188,387,206,
2021,3,60,"4,286","1,737",139,225,263,306,341,168,226,558,323,
2021,3,70,"2,206",914,93,106,133,153,166,86,126,254,175,
2021,3,80,"1,001",394,48,51,58,77,64,38,65,140,66,
2021,3,90,102,38,1,6,5,7,7,3,11,16,8,
2021,3,100,10,2,0,0,0,3,2,0,1,2,0,
2021,4,총,"19,859","10,767",560,757,893,"1,106","1,183",686,931,"1,930","1,046",
2021,4,0,858,671,12,11,14,17,19,21,28,45,20,
2021,4,10,"1,584","1,195",16,23,38,38,58,24,27,121,44,
2021,4,20,"1,837","1,276",32,45,49,80,69,63,54,121,48,
2021,4,30,"1,477",969,25,37,34,57,76,42,82,107,48,
2021,4,40,"2,459","1,495",67,70,83,120,135,71,125,185,108,
2021,4,50,"4,010","2,062",121,181,208,245,250,166,186,385,206,
2021,4,60,"4,316","1,745",146,227,270,309,338,171,227,557,326,
2021,4,70,"2,197",909,92,106,134,154,166,87,124,252,173,
2021,4,80,"1,011",404,48,51,58,76,63,39,66,141,65,
2021,4,90,101,39,1,6,5,7,7,2,11,15,8,
2021,4,100,9,2,0,0,0,3,2,0,1,1,0,
2021,5,총,"19,743","10,693",555,750,892,"1,105","1,186",692,915,"1,915","1,040",
2021,5,0,854,668,13,11,14,17,19,22,27,44,19,
2021,5,10,"1,573","1,185",16,22,39,38,58,24,25,122,44,
2021,5,20,"1,830","1,268",30,44,51,80,69,65,57,117,49,
2021,5,30,"1,467",967,23,36,32,58,77,43,82,103,46,
2021,5,40,"2,399","1,466",67,70,83,119,130,69,114,176,105,
2021,5,50,"3,990","2,053",117,179,207,244,256,168,175,388,203,
2021,5,60,"4,336","1,746",151,227,272,312,336,172,236,559,325,
2021,5,70,"2,185",906,89,104,132,151,167,87,122,253,174,
2021,5,80,"1,005",397,48,51,57,76,65,40,65,139,67,
2021,5,90,96,36,1,6,5,7,7,2,11,13,8,
2021,5,100,8,1,0,0,0,3,2,0,1,1,0,
2021,6,총,"19,711","10,675",550,752,888,"1,102","1,191",688,911,"1,913","1,041",
2021,6,0,844,659,12,12,14,17,19,21,27,42,21,
2021,6,10,"1,562","1,180",17,24,40,38,56,24,24,118,41,
2021,6,20,"1,822","1,261",30,44,51,79,71,64,58,117,47,
2021,6,30,"1,468",969,24,36,31,59,78,40,83,103,45,
2021,6,40,"2,381","1,457",67,69,81,119,130,68,110,175,105,
2021,6,50,"3,975","2,052",114,177,204,240,250,166,175,394,203,
2021,6,60,"4,371","1,755",150,231,272,313,345,176,239,558,332,
2021,6,70,"2,175",906,87,99,133,151,169,86,119,251,174,
2021,6,80,"1,008",398,48,54,57,76,64,41,64,140,66,
2021,6,90,97,37,1,6,5,7,7,2,11,14,7,
2021,6,100,8,1,0,0,0,3,2,0,1,1,0,
2021,7,총,"19,724","10,670",546,753,894,"1,101","1,194",685,911,"1,929","1,041",
2021,7,0,838,656,12,12,13,17,18,21,27,43,19,
2021,7,10,"1,548","1,163",17,24,40,36,54,24,24,124,42,
2021,7,20,"1,838","1,271",31,43,53,80,76,63,57,118,46,
2021,7,30,"1,462",965,22,35,32,60,76,41,84,103,44,
2021,7,40,"2,372","1,449",69,68,82,118,131,65,109,177,104,
2021,7,50,"3,966","2,054",112,177,202,244,249,164,173,389,202,
2021,7,60,"4,401","1,768",150,234,276,311,347,177,240,566,332,
2021,7,70,"2,182",909,85,100,134,148,168,87,121,252,178,
2021,7,80,"1,012",398,47,54,57,77,65,41,64,142,67,
2021,7,90,97,36,1,6,5,7,8,2,11,14,7,
2021,7,100,8,1,0,0,0,3,2,0,1,1,0,
2021,8,총,"19,719","10,687",545,752,884,"1,107","1,196",678,906,"1,925","1,039",
2021,8,0,835,655,12,10,12,17,20,21,25,44,19,
2021,8,10,"1,532","1,151",17,24,40,36,54,25,23,119,43,
2021,8,20,"1,851","1,283",33,44,52,80,76,60,57,121,45,
2021,8,30,"1,459",968,19,35,31,61,76,40,84,101,44,
2021,8,40,"2,360","1,445",68,68,83,118,127,66,106,177,102,
2021,8,50,"3,963","2,054",111,178,200,243,253,162,173,390,199,
2021,8,60,"4,417","1,786",152,235,272,316,348,176,238,564,330,
2021,8,70,"2,178",908,85,98,132,147,168,84,123,251,182,
2021,8,80,"1,018",398,47,54,57,80,64,42,64,144,68,
2021,8,90,98,38,1,6,5,6,8,2,12,13,7,
2021,8,100,8,1,0,0,0,3,2,0,1,1,0,
2021,9,총,"19,673","10,676",544,753,880,"1,100","1,189",673,895,"1,926","1,037",
2021,9,0,837,659,12,10,12,16,17,21,26,46,18,
2021,9,10,"1,516","1,138",18,26,40,32,53,25,23,118,43,
2021,9,20,"1,824","1,263",34,42,51,79,73,60,55,121,46,
2021,9,30,"1,454",980,18,36,31,57,73,37,82,98,42,
2021,9,40,"2,346","1,443",68,68,78,117,129,66,104,172,101,
2021,9,50,"3,959","2,049",110,182,202,246,251,159,170,392,198,
2021,9,60,"4,445","1,800",153,231,275,316,354,177,236,571,332,
2021,9,70,"2,160",895,84,98,130,149,164,84,123,251,182,
2021,9,80,"1,027",409,46,53,57,79,65,42,65,143,68,
2021,9,90,97,39,1,7,4,6,8,2,10,13,7,
2021,9,100,8,1,0,0,0,3,2,0,1,1,0,
2021,10,총,"19,669","10,665",538,754,883,"1,101","1,187",677,897,"1,923","1,044",
2021,10,0,836,658,12,9,12,16,16,21,27,45,20,
2021,10,10,"1,507","1,130",19,26,40,32,51,26,22,117,44,
2021,10,20,"1,821","1,263",34,40,51,77,73,62,57,119,45,
2021,10,30,"1,440",972,18,36,30,57,73,36,81,95,42,
2021,10,40,"2,343","1,442",66,68,75,116,132,65,104,173,102,
2021,10,50,"3,960","2,054",109,184,203,248,245,159,167,389,202,
2021,10,60,"4,473","1,806",153,233,281,318,356,179,239,576,332,
2021,10,70,"2,158",888,83,98,131,150,166,85,123,252,182,
2021,10,80,"1,025",411,43,53,56,78,65,42,66,143,68,
2021,10,90,98,40,1,7,4,6,8,2,10,13,7,
2021,10,100,8,1,0,0,0,3,2,0,1,1,0,
2021,11,총,"19,631","10,651",536,0,885,"1,096","1,182",677,897,"1,912","1,043",752
2021,11,0,834,659,12,0,11,16,15,18,27,46,21,9
2021,11,10,"1,500","1,126",17,0,41,33,52,26,19,116,44,26
2021,11,20,"1,809","1,251",33,0,51,76,71,62,60,118,46,41
2021,11,30,"1,433",969,19,0,31,55,70,37,81,93,42,36
2021,11,40,"2,336","1,449",64,0,76,113,132,64,103,172,98,65
2021,11,50,"3,957","2,049",108,0,199,247,244,162,168,389,204,187
2021,11,60,"4,482","1,810",155,0,285,321,358,175,240,573,335,230
2021,11,70,"2,154",889,84,0,132,149,167,87,122,249,176,99
2021,11,80,"1,024",408,43,0,55,78,65,44,66,143,70,52
2021,11,90,98,41,1,0,4,6,8,2,10,12,7,7
2021,11,100,4,0,0,0,0,2,0,0,1,1,0,0
2021,12,총,"19,626","10,637",531,,880,"1,097","1,187",678,897,"1,914","1,046",759
2021,12,0,820,648,12,,10,15,14,17,26,47,21,10
2021,12,10,"1,489","1,117",18,,42,34,54,28,18,110,42,26
2021,12,20,"1,818","1,261",31,,51,75,71,61,60,121,45,42
2021,12,30,"1,429",961,17,,29,57,73,36,81,94,43,38
2021,12,40,"2,332","1,448",63,,76,108,133,65,104,172,98,65
2021,12,50,"3,950","2,043",107,,194,252,242,163,169,387,202,191
2021,12,60,"4,506","1,816",157,,287,320,362,177,238,577,342,230
2021,12,70,"2,148",892,81,,133,150,165,85,122,248,173,99
2021,12,80,"1,029",411,44,,53,78,64,44,68,143,74,50
2021,12,90,101,40,1,,5,6,9,2,10,14,6,8
2021,12,100,4,0,0,,0,2,0,0,1,1,0,0
