년도,월,나이,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020,12,10,"1,822","1,432",64,29,35,24,66,83,39,50
2020,12,20,"1,895","1,396",76,23,39,28,55,116,74,88
2020,12,30,"1,854","1,378",78,29,29,39,61,108,56,76
2020,12,40,"2,887","2,205",119,34,58,40,91,140,63,137
2020,12,50,"4,163","2,411",280,132,127,198,225,352,176,262
2020,12,60,"4,832","2,213",388,163,248,301,405,483,262,369
2020,12,70,"3,427","1,487",251,130,183,226,325,372,207,246
2020,12,80,"2,475",796,224,119,176,260,271,303,165,161
2020,12,90,423,144,37,27,30,34,32,59,24,36
2020,12,100,21,5,1,0,5,3,3,1,0,3
2021,1,총,"25,021","14,475","1,558",705,946,"1,165","1,561","2,065","1,086","1,460"
2021,1,0,"1,230","1,009",37,17,16,12,30,54,24,31
2021,1,10,"1,822","1,432",63,30,37,24,66,83,39,48
2021,1,20,"1,870","1,382",74,22,38,29,56,113,69,87
2021,1,30,"1,854","1,374",81,30,28,36,62,109,56,78
2021,1,40,"2,874","2,193",120,34,59,41,90,139,63,135
2021,1,50,"4,158","2,413",281,131,130,200,220,349,172,262
2021,1,60,"4,861","2,234",389,163,247,297,412,484,266,369
2021,1,70,"3,426","1,490",250,131,180,228,323,368,207,249
2021,1,80,"2,478",798,226,120,178,258,265,306,165,162
2021,1,90,427,145,36,27,28,36,35,59,25,36
2021,1,100,21,5,1,0,5,4,2,1,0,3
2021,2,총,"25,043","14,527","1,559",706,946,"1,167","1,560","2,054","1,078","1,446"
2021,2,0,"1,234","1,012",40,17,16,12,29,54,23,31
2021,2,10,"1,801","1,414",63,30,37,25,64,81,39,48
2021,2,20,"1,858","1,390",71,21,36,28,57,107,67,81
2021,2,30,"1,853","1,378",84,28,29,38,61,106,56,73
2021,2,40,"2,882","2,212",117,35,59,43,87,134,62,133
2021,2,50,"4,144","2,405",281,128,129,197,219,351,170,264
2021,2,60,"4,905","2,265",390,168,248,297,414,488,265,370
2021,2,70,"3,410","1,487",251,131,181,228,318,367,202,245
2021,2,80,"2,497",812,224,121,179,256,273,304,167,161
2021,2,90,438,147,37,27,27,39,36,61,27,37
2021,2,100,21,5,1,0,5,4,2,1,0,3
2021,3,총,"24,959","14,508","1,555",704,930,"1,173","1,540","2,028","1,080","1,441"
2021,3,0,"1,232","1,009",43,18,17,12,29,54,22,28
2021,3,10,"1,801","1,410",63,29,37,28,62,81,40,51
2021,3,20,"1,844","1,389",70,20,34,25,56,103,66,81
2021,3,30,"1,850","1,375",84,27,30,40,57,103,57,77
2021,3,40,"2,857","2,202",120,33,54,43,85,130,61,129
2021,3,50,"4,085","2,385",275,126,123,199,207,337,172,261
2021,3,60,"4,941","2,291",390,169,247,298,414,491,266,375
2021,3,70,"3,402","1,479",252,131,181,231,321,366,200,241
2021,3,80,"2,495",815,221,124,177,253,272,304,166,163
2021,3,90,438,151,35,27,27,40,36,59,30,33
2021,3,100,14,2,2,0,3,4,1,0,0,2
2021,4,총,"24,963","14,530","1,547",707,931,"1,177","1,538","2,018","1,075","1,440"
2021,4,0,"1,236","1,012",40,19,17,15,30,53,22,28
2021,4,10,"1,797","1,404",63,30,34,28,63,81,41,53
2021,4,20,"1,843","1,392",71,20,33,25,56,103,62,81
2021,4,30,"1,843","1,372",80,26,31,41,57,104,57,75
2021,4,40,"2,857","2,213",120,34,52,45,78,125,59,131
2021,4,50,"4,060","2,371",268,128,127,197,206,334,171,258
2021,4,60,"4,961","2,302",395,170,250,299,414,491,265,375
2021,4,70,"3,397","1,486",251,129,177,227,323,364,200,240
2021,4,80,"2,513",822,221,123,180,257,274,305,166,165
2021,4,90,444,154,37,28,27,40,36,58,32,32
2021,4,100,12,2,1,0,3,3,1,0,0,2
2021,5,총,"24,962","14,532","1,558",703,930,"1,172","1,539","2,019","1,075","1,434"
2021,5,0,"1,231","1,010",41,18,16,15,29,53,21,28
2021,5,10,"1,784","1,397",63,29,32,26,64,81,42,50
2021,5,20,"1,832","1,390",69,21,33,25,57,100,60,77
2021,5,30,"1,850","1,376",81,25,30,40,57,106,59,76
2021,5,40,"2,815","2,181",116,34,53,44,77,124,57,129
2021,5,50,"4,066","2,379",275,124,128,190,207,331,173,259
2021,5,60,"5,001","2,326",394,173,250,304,413,497,266,378
2021,5,70,"3,400","1,495",253,128,179,223,323,365,194,240
2021,5,80,"2,518",820,225,125,179,260,272,305,169,163
2021,5,90,453,155,40,26,28,42,39,57,34,32
2021,5,100,12,3,1,0,2,3,1,0,0,2
2021,6,총,"24,934","14,523","1,558",700,926,"1,175","1,537","2,019","1,067","1,429"
2021,6,0,"1,229","1,008",42,18,16,16,29,52,20,28
2021,6,10,"1,780","1,396",62,29,30,26,63,81,42,51
2021,6,20,"1,818","1,381",68,19,33,26,57,101,58,75
2021,6,30,"1,833","1,369",79,25,30,40,54,106,57,73
2021,6,40,"2,827","2,193",122,34,50,44,80,124,56,124
2021,6,50,"4,044","2,363",266,125,132,189,206,326,175,262
2021,6,60,"5,032","2,339",399,173,251,310,414,501,267,378
2021,6,70,"3,387","1,496",252,126,176,220,323,365,191,238
2021,6,80,"2,517",818,226,124,177,261,273,308,166,164
2021,6,90,455,157,41,27,29,40,37,55,35,34
2021,6,100,12,3,1,0,2,3,1,0,0,2
2021,7,총,"24,962","14,545","1,565",701,926,"1,176","1,533","2,015","1,067","1,434"
2021,7,0,"1,214",993,43,18,16,16,29,52,20,27
2021,7,10,"1,792","1,406",64,28,30,28,63,79,41,53
2021,7,20,"1,801","1,369",67,21,32,25,55,101,58,73
2021,7,30,"1,834","1,371",81,26,30,40,52,102,58,74
2021,7,40,"2,833","2,196",125,34,50,44,80,124,55,125
2021,7,50,"4,044","2,376",264,120,130,187,203,327,177,260
2021,7,60,"5,051","2,347",401,175,253,313,415,498,267,382
2021,7,70,"3,394","1,503",251,127,176,223,324,363,189,238
2021,7,80,"2,528",824,226,123,178,256,275,313,166,167
2021,7,90,459,157,42,29,29,41,36,56,36,33
2021,7,100,12,3,1,0,2,3,1,0,0,2
2021,8,총,"24,954","14,557","1,567",702,928,"1,181","1,533","1,994","1,061","1,431"
2021,8,0,"1,203",985,40,18,17,17,29,50,18,29
2021,8,10,"1,779","1,399",64,29,31,29,66,74,38,49
2021,8,20,"1,815","1,385",69,20,32,25,57,101,56,70
2021,8,30,"1,819","1,367",81,24,30,41,51,95,56,74
2021,8,40,"2,824","2,193",123,37,50,44,80,122,54,121
2021,8,50,"4,049","2,372",266,116,132,187,202,331,178,265
2021,8,60,"5,063","2,358",401,177,253,316,413,496,265,384
2021,8,70,"3,390","1,511",251,128,174,222,320,361,188,235
2021,8,80,"2,543",826,228,125,179,256,279,309,172,169
2021,8,90,457,158,43,28,28,41,35,55,36,33
2021,8,100,12,3,1,0,2,3,1,0,0,2
2021,9,총,"24,932","14,552","1,568",699,928,"1,185","1,529","1,988","1,053","1,430"
2021,9,0,"1,192",974,41,18,17,18,29,49,17,29
2021,9,10,"1,772","1,399",61,29,30,30,66,74,36,47
2021,9,20,"1,810","1,389",67,20,33,25,54,99,54,69
2021,9,30,"1,808","1,356",83,24,31,41,48,94,56,75
2021,9,40,"2,821","2,195",117,37,51,44,82,121,55,119
2021,9,50,"4,053","2,368",277,115,131,188,203,329,177,265
2021,9,60,"5,070","2,373",397,175,255,313,410,493,267,387
2021,9,70,"3,388","1,508",252,129,172,223,319,360,189,236
2021,9,80,"2,540",828,228,123,179,258,280,311,167,166
2021,9,90,467,159,44,29,28,42,37,58,35,35
2021,9,100,11,3,1,0,1,3,1,0,0,2
2021,10,총,"24,920","14,534","1,573",698,934,"1,187","1,538","1,982","1,053","1,421"
2021,10,0,"1,184",971,42,17,18,18,28,46,17,27
2021,10,10,"1,767","1,394",58,31,32,30,67,74,35,46
2021,10,20,"1,801","1,381",70,18,33,26,52,100,53,68
2021,10,30,"1,800","1,354",81,25,30,40,49,91,56,74
2021,10,40,"2,806","2,188",117,36,52,44,83,118,52,116
2021,10,50,"4,064","2,372",274,116,132,192,207,329,176,266
2021,10,60,"5,086","2,379",403,174,256,311,417,493,267,386
2021,10,70,"3,388","1,507",253,129,172,224,314,358,193,238
2021,10,80,"2,544",826,231,122,180,259,282,312,169,163
2021,10,90,468,159,43,30,28,39,38,61,35,35
2021,10,100,12,3,1,0,1,4,1,0,0,2
2021,11,총,"24,897","14,548","1,572",700,930,"1,180","1,533","1,973","1,042","1,419"
2021,11,0,"1,179",968,42,17,17,19,27,46,16,27
2021,11,10,"1,760","1,394",58,31,32,28,65,70,36,46
2021,11,20,"1,787","1,374",71,17,33,26,48,99,52,67
2021,11,30,"1,796","1,355",80,25,31,40,50,89,53,73
2021,11,40,"2,792","2,175",117,35,52,45,86,117,51,114
2021,11,50,"4,071","2,383",277,119,129,189,203,328,175,268
2021,11,60,"5,108","2,393",405,173,258,310,417,495,267,390
2021,11,70,"3,392","1,515",252,130,171,222,315,358,193,236
2021,11,80,"2,534",828,227,122,181,259,281,309,167,160
2021,11,90,466,160,42,31,25,39,39,62,32,36
2021,11,100,12,3,1,0,1,3,2,0,0,2
2021,12,총,"24,851","14,523","1,566",699,931,"1,178","1,534","1,965","1,043","1,412"
2021,12,0,"1,162",963,38,18,16,20,25,42,14,26
2021,12,10,"1,760","1,393",56,31,32,27,64,73,37,47
2021,12,20,"1,774","1,356",76,17,33,26,49,99,51,67
2021,12,30,"1,782","1,345",76,26,31,42,47,90,53,72
2021,12,40,"2,787","2,172",118,35,53,45,85,113,55,111
2021,12,50,"4,071","2,394",276,118,129,188,199,330,171,266
2021,12,60,"5,106","2,389",403,174,259,305,423,494,269,390
2021,12,70,"3,382","1,515",254,127,167,225,314,353,193,234
2021,12,80,"2,550",832,224,122,185,258,287,311,169,162
2021,12,90,465,161,44,31,25,39,39,60,31,35
2021,12,100,12,3,1,0,1,3,2,0,0,2
