년도,월,나이,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020,5,90,156,15,2,19,1,13,13,8,9,4,11,14,9,7,13,2,16
2020,5,100,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020,6,총,"35,101","2,832",563,"1,546",419,"1,322","1,530","1,153","1,383",984,"1,712","1,206","2,896","3,448","4,571","1,563","7,973"
2020,6,0,"2,140",102,21,48,9,31,44,30,34,45,41,37,210,221,368,53,846
2020,6,10,"3,141",183,30,91,25,219,77,76,63,39,81,46,239,313,512,89,"1,058"
2020,6,20,"3,457",255,44,99,12,81,121,140,99,57,117,72,312,357,538,120,"1,033"
2020,6,30,"3,179",215,29,88,22,67,94,61,75,55,139,79,332,365,429,143,986
2020,6,40,"4,776",343,61,150,43,111,168,115,152,112,199,124,396,468,711,204,"1,419"
2020,6,50,"6,238",557,133,278,94,203,272,210,291,185,349,249,465,577,778,309,"1,288"
2020,6,60,"6,303",566,130,379,119,284,347,273,312,275,362,302,501,603,671,323,856
2020,6,70,"4,017",430,75,258,65,189,259,153,236,139,289,199,313,406,393,237,376
2020,6,80,"1,684",162,38,137,29,124,135,87,111,73,122,82,119,129,158,83,95
2020,6,90,151,15,2,18,1,13,13,8,8,4,9,14,9,7,12,2,16
2020,6,100,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020,7,총,"34,984","2,836",564,"1,554",417,"1,308","1,523","1,138","1,376",986,"1,701","1,201","2,886","3,441","4,545","1,566","7,942"
2020,7,0,"2,139",103,20,50,9,32,44,27,32,45,42,38,211,221,365,55,845
2020,7,10,"3,100",182,31,91,24,207,75,77,63,39,76,45,231,306,513,89,"1,051"
2020,7,20,"3,446",255,44,101,12,77,118,133,95,59,119,69,314,362,533,121,"1,034"
2020,7,30,"3,136",213,28,89,24,68,95,58,75,56,130,78,327,361,420,138,976
2020,7,40,"4,741",339,62,148,42,109,164,113,150,111,197,119,391,469,708,205,"1,414"
2020,7,50,"6,244",558,132,281,93,205,277,207,291,184,350,252,476,576,765,312,"1,285"
2020,7,60,"6,293",572,131,376,118,283,344,277,310,275,361,304,494,605,673,320,850
2020,7,70,"4,030",431,77,261,66,191,259,150,238,137,291,198,314,402,397,240,378
2020,7,80,"1,688",164,37,137,28,123,135,89,111,75,121,83,119,131,158,84,93
2020,7,90,152,15,2,20,1,13,12,7,9,5,10,13,9,6,12,2,16
2020,7,100,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020,8,총,"34,890","2,817",561,"1,554",420,"1,294","1,510","1,140","1,365",988,"1,695","1,192","2,871","3,435","4,520","1,565","7,963"
2020,8,0,"2,129",102,20,49,9,30,44,26,31,46,42,37,212,223,359,55,844
2020,8,10,"3,069",182,32,93,24,199,70,77,60,39,71,45,229,305,508,86,"1,049"
2020,8,20,"3,433",249,43,97,11,78,118,132,93,56,119,68,310,359,527,121,"1,052"
2020,8,30,"3,093",212,26,86,21,62,90,57,74,54,129,76,324,357,417,136,972
2020,8,40,"4,727",331,62,147,45,109,165,113,145,113,196,122,384,467,705,205,"1,418"
2020,8,50,"6,217",552,131,286,96,204,275,210,290,185,348,243,475,571,757,311,"1,283"
2020,8,60,"6,337",574,131,379,119,287,345,280,312,276,364,310,494,609,682,322,853
2020,8,70,"4,024",430,76,259,67,191,252,147,237,139,291,196,313,406,395,241,384
2020,8,80,"1,691",167,38,138,27,122,139,91,111,75,121,80,122,128,155,85,92
2020,8,90,155,14,2,20,1,12,12,7,10,5,10,13,8,8,14,3,16
2020,8,100,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020,9,총,"34,869","2,825",565,"1,548",424,"1,294","1,504","1,147","1,358",994,"1,687","1,199","2,882","3,423","4,504","1,569","7,946"
2020,9,0,"2,131",102,20,48,9,30,43,24,30,45,42,38,216,229,357,56,842
2020,9,10,"3,056",182,34,96,24,194,68,76,60,41,71,48,228,297,507,87,"1,043"
2020,9,20,"3,424",249,44,94,11,80,116,133,91,57,118,69,315,359,514,124,"1,050"
2020,9,30,"3,058",208,27,86,20,63,88,60,72,53,128,74,322,348,417,135,957
2020,9,40,"4,719",339,61,143,47,110,163,110,145,113,195,121,386,467,705,207,"1,407"
2020,9,50,"6,223",546,133,289,100,204,278,217,288,188,338,241,476,572,751,310,"1,292"
2020,9,60,"6,357",580,130,378,118,287,346,281,310,279,371,315,492,606,686,318,860
2020,9,70,"4,031",429,77,256,65,192,252,148,237,138,290,198,314,408,397,243,387
2020,9,80,"1,696",169,37,137,29,122,138,91,113,75,120,80,125,127,155,85,93
