년도,월,나이,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020,4,70,"13,173","6,931",665,256,262,245,231,147,266,171,334,166,394,452,445,572,506,970,849,"6,242","1,111",535,495,432,535,421,330,480,323,403,380,487,310,,
2020,4,80,"5,000","2,688",296,108,118,122,94,92,141,95,117,64,127,189,134,185,182,339,285,"2,312",456,205,230,195,178,119,110,185,124,102,126,188,94,,
2020,4,90,479,254,26,11,16,9,7,5,16,9,11,12,14,10,13,16,23,37,19,225,37,21,19,32,15,12,16,14,12,14,12,13,8,,
2020,4,100,44,21,0,0,0,0,1,0,1,1,4,0,2,2,2,4,1,2,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020,5,총,"333,991","131,186","12,369","2,243","2,177","2,237","1,714","1,259","3,241","1,162","2,944","1,955","4,659","4,908","8,925","12,381","23,045","27,984","17,983","202,805","12,919","11,637","10,571","4,677","8,611","13,777","7,043","18,927","9,292","20,537","34,773","21,477","28,564",,
2020,5,0,"32,412","10,914",931,81,61,73,43,29,129,16,94,49,250,155,540,"1,203","2,611","3,193","1,456","21,498",711,"1,009",740,162,431,542,506,"1,819",753,"2,991","5,417","1,852","4,565",,
2020,5,10,"35,945","13,918","1,503",128,119,126,91,52,187,54,165,91,425,399,765,"1,696","3,115","3,600","1,402","22,027","1,275","1,258","1,015",324,546,764,648,"2,723","1,312","2,949","4,724","2,049","2,440",,
2020,5,20,"49,989","18,808","1,518",244,209,232,148,119,503,86,302,257,635,657,"1,428","1,674","3,368","3,810","3,618","31,181","1,623","1,431","1,439",568,"1,335","3,246","1,276","3,127","1,432","2,679","4,353","4,594","4,078",,
2020,5,30,"56,405","17,852","1,346",193,165,196,130,116,363,61,297,249,510,573,"1,299","1,288","3,741","4,374","2,951","38,553","1,281","1,680","1,618",470,"1,324","3,412","1,053","2,682","1,206","3,501","7,488","4,500","8,338",,
2020,5,40,"57,507","22,266","2,406",289,252,287,212,164,433,126,409,281,675,729,"1,484","2,330","4,567","5,060","2,562","35,241","2,189","2,272","2,013",683,"1,392","2,143",980,"3,221","1,550","3,931","6,715","3,463","4,689",,
