년도,월,나이,속초시,영랑동,동명동,금호동,교동,노학동,조양동,청호동,대포동
2020,6,100,34,3,2,4,4,7,6,5,3
2020,7,총,"82,211","4,581","3,812","6,251","9,672","21,224","29,009","4,497","3,165"
2020,7,0,"5,905",179,255,239,553,"1,385","2,974",242,78
2020,7,10,"7,562",269,274,454,913,"2,246","3,029",247,130
2020,7,20,"8,946",431,323,644,"1,050","2,404","3,443",393,258
2020,7,30,"9,261",421,379,474,980,"2,179","4,090",504,234
2020,7,40,"12,529",548,512,781,"1,425","3,444","4,932",541,346
2020,7,50,"15,156",919,759,"1,307","1,785","4,016","4,830",869,671
2020,7,60,"12,321","1,008",659,"1,182","1,643","3,031","3,217",848,733
2020,7,70,"6,761",522,435,727,853,"1,603","1,659",497,465
2020,7,80,"3,139",237,186,356,385,764,714,287,210
2020,7,90,597,44,28,83,81,146,114,64,37
2020,7,100,34,3,2,4,4,6,7,5,3
2020,8,총,"82,343","4,579","3,803","6,270","9,649","21,220","29,188","4,487","3,147"
2020,8,0,"5,903",179,255,239,543,"1,366","3,008",239,74
2020,8,10,"7,534",267,271,457,905,"2,241","3,019",246,128
2020,8,20,"8,971",432,323,645,"1,048","2,409","3,480",385,249
2020,8,30,"9,278",425,376,474,976,"2,189","4,105",500,233
2020,8,40,"12,532",541,514,780,"1,421","3,421","4,972",543,340
2020,8,50,"15,138",917,755,"1,304","1,771","4,006","4,853",861,671
2020,8,60,"12,440","1,010",663,"1,193","1,661","3,062","3,258",859,734
2020,8,70,"6,766",524,432,732,852,"1,605","1,658",497,466
2020,8,80,"3,147",237,184,359,386,769,714,288,210
2020,8,90,600,44,28,83,82,146,114,64,39
2020,8,100,34,3,2,4,4,6,7,5,3
2020,9,총,"82,457","4,575","3,798","6,255","9,654","21,224","29,303","4,509","3,139"
2020,9,0,"5,885",175,254,240,544,"1,371","2,990",243,68
2020,9,10,"7,529",262,272,457,893,"2,230","3,040",247,128
2020,9,20,"8,983",444,326,637,"1,062","2,397","3,486",384,247
2020,9,30,"9,266",415,368,472,974,"2,187","4,117",507,226
2020,9,40,"12,500",526,516,781,"1,405","3,410","4,983",542,337
2020,9,50,"15,191",931,744,"1,297","1,776","4,012","4,898",860,673
2020,9,60,"12,529","1,018",668,"1,196","1,673","3,091","3,286",860,737
2020,9,70,"6,772",523,430,728,849,"1,604","1,663",507,468
2020,9,80,"3,157",235,191,360,391,770,708,288,214
2020,9,90,612,43,27,83,83,147,125,66,38
2020,9,100,33,3,2,4,4,5,7,5,3
2020,10,총,"82,538","4,559","3,812","6,241","9,674","21,178","29,414","4,515","3,145"
2020,10,0,"5,882",173,256,236,551,"1,356","2,998",243,69
2020,10,10,"7,511",259,272,458,886,"2,221","3,035",252,128
2020,10,20,"9,013",443,327,631,"1,082","2,387","3,513",382,248
2020,10,30,"9,219",411,371,466,984,"2,159","4,100",501,227
2020,10,40,"12,494",516,515,775,"1,398","3,408","5,002",544,336
2020,10,50,"15,205",932,739,"1,293","1,782","3,993","4,932",863,671
2020,10,60,"12,612","1,011",678,"1,211","1,662","3,118","3,331",867,734
2020,10,70,"6,784",532,431,722,851,"1,607","1,659",503,479
2020,10,80,"3,176",236,194,363,391,778,715,288,211
2020,10,90,610,43,27,82,83,147,122,67,39
2020,10,100,32,3,2,4,4,4,7,5,3
2020,11,총,"82,636","4,544","3,790","6,233","9,739","21,189","29,511","4,507","3,123"
2020,11,0,"5,900",171,244,237,558,"1,367","3,013",241,69
2020,11,10,"7,487",258,269,455,894,"2,207","3,034",248,122
2020,11,20,"9,026",434,326,628,"1,104","2,377","3,521",382,254
2020,11,30,"9,208",417,367,459,989,"2,149","4,103",506,218
2020,11,40,"12,485",514,506,773,"1,401","3,396","5,025",535,335
2020,11,50,"15,197",920,739,"1,284","1,778","4,000","4,947",862,667
2020,11,60,"12,707","1,012",682,"1,222","1,692","3,141","3,351",875,732
2020,11,70,"6,794",536,432,718,844,"1,620","1,667",500,477
2020,11,80,"3,187",236,193,370,392,781,721,286,208
2020,11,90,613,43,30,82,83,147,123,67,38
2020,11,100,32,3,2,5,4,4,6,5,3
2020,12,총,"82,665","4,522","3,771","6,246","9,743","21,208","29,540","4,514","3,121"
2020,12,0,"5,859",168,244,233,551,"1,358","2,998",237,70
2020,12,10,"7,478",255,271,454,893,"2,209","3,028",249,119
2020,12,20,"9,018",434,324,635,"1,105","2,366","3,520",379,255
2020,12,30,"9,199",398,366,459,999,"2,153","4,098",504,222
2020,12,40,"12,482",517,505,774,"1,406","3,396","5,012",545,327
2020,12,50,"15,176",910,741,"1,286","1,751","3,996","4,966",864,662
2020,12,60,"12,798","1,022",672,"1,236","1,706","3,177","3,378",870,737
2020,12,70,"6,804",535,428,710,849,"1,622","1,680",504,476
2020,12,80,"3,202",237,188,374,394,782,729,289,209
2020,12,90,617,43,30,80,85,145,125,68,41
2020,12,100,32,3,2,5,4,4,6,5,3
2021,1,총,"82,652","4,520","3,760","6,208","9,742","21,242","29,541","4,517","3,122"
2021,1,0,"5,820",170,245,223,543,"1,344","2,985",236,74
2021,1,10,"7,460",250,266,455,878,"2,217","3,025",252,117
2021,1,20,"8,981",433,322,623,"1,115","2,362","3,499",373,254
2021,1,30,"9,166",408,363,453,989,"2,157","4,074",499,223
2021,1,40,"12,463",508,508,769,"1,399","3,386","5,025",546,322
2021,1,50,"15,134",906,737,"1,257","1,757","3,986","4,978",865,648
2021,1,60,"12,936","1,023",672,"1,251","1,718","3,234","3,408",878,752
2021,1,70,"6,809",538,427,715,854,"1,617","1,677",506,475
2021,1,80,"3,229",239,189,373,403,789,736,288,212
2021,1,90,623,42,29,85,81,147,128,69,42
2021,1,100,31,3,2,4,5,3,6,5,3
2021,2,총,"82,531","4,504","3,770","6,200","9,714","21,215","29,524","4,482","3,122"
2021,2,0,"5,784",168,247,228,541,"1,333","2,962",227,78
2021,2,10,"7,401",250,259,453,856,"2,195","3,027",245,116
2021,2,20,"8,952",425,330,620,"1,132","2,351","3,471",374,249
2021,2,30,"9,141",406,363,458,980,"2,153","4,067",489,225
2021,2,40,"12,430",507,513,763,"1,388","3,361","5,032",548,318
2021,2,50,"15,091",904,731,"1,239","1,745","3,988","4,977",859,648
2021,2,60,"13,009","1,022",678,"1,259","1,717","3,267","3,435",877,754
2021,2,70,"6,807",539,425,708,858,"1,624","1,680",500,473
2021,2,80,"3,264",238,192,381,415,791,741,290,216
2021,2,90,619,41,30,87,76,149,126,68,42
2021,2,100,33,4,2,4,6,3,6,5,3
2021,3,총,"82,213","4,451","3,739","6,105","9,647","21,314","29,404","4,432","3,121"
2021,3,0,"5,781",160,249,227,542,"1,352","2,937",232,82
2021,3,10,"7,333",243,255,445,847,"2,192","2,998",238,115
2021,3,20,"8,927",416,331,605,"1,115","2,368","3,473",373,246
2021,3,30,"9,085",398,357,455,971,"2,159","4,040",477,228
2021,3,40,"12,324",500,509,743,"1,370","3,350","4,995",538,319
2021,3,50,"15,011",887,724,"1,217","1,732","4,018","4,946",850,637
2021,3,60,"13,095","1,023",672,"1,259","1,730","3,298","3,465",884,764
2021,3,70,"6,780",539,420,703,847,"1,626","1,688",489,468
2021,3,80,"3,255",242,192,370,419,795,737,282,218
2021,3,90,604,40,30,80,71,154,120,67,42
2021,3,100,18,3,0,1,3,2,5,2,2
2021,4,총,"82,302","4,438","3,700","6,086","9,610","21,501","29,292","4,570","3,105"
2021,4,0,"5,782",164,247,226,537,"1,364","2,913",251,80
2021,4,10,"7,324",234,249,445,840,"2,212","2,979",252,113
2021,4,20,"8,908",411,324,599,"1,117","2,393","3,441",380,243
2021,4,30,"9,082",394,351,452,964,"2,195","3,999",502,225
2021,4,40,"12,326",498,502,740,"1,366","3,382","4,964",556,318
2021,4,50,"15,006",879,713,"1,206","1,727","4,043","4,927",875,636
2021,4,60,"13,190","1,033",673,"1,257","1,727","3,333","3,496",910,761
2021,4,70,"6,783",536,417,705,843,"1,628","1,699",491,464
2021,4,80,"3,277",246,193,373,416,796,748,284,221
2021,4,90,605,40,31,82,70,153,121,66,42
2021,4,100,19,3,0,1,3,2,5,3,2
2021,5,총,"82,241","4,414","3,647","6,030","9,615","21,600","29,183","4,650","3,102"
2021,5,0,"5,759",165,245,213,528,"1,378","2,887",263,80
2021,5,10,"7,300",231,248,446,845,"2,187","2,973",257,113
2021,5,20,"8,876",405,316,590,"1,113","2,419","3,400",387,246
2021,5,30,"9,077",394,342,439,973,"2,214","3,977",517,221
2021,5,40,"12,269",494,495,730,"1,355","3,377","4,936",565,317
2021,5,50,"14,996",869,702,"1,185","1,727","4,067","4,914",898,634
2021,5,60,"13,271","1,031",672,"1,267","1,733","3,371","3,512",918,767
2021,5,70,"6,782",535,410,703,854,"1,630","1,697",492,461
2021,5,80,"3,288",249,186,373,414,805,761,282,218
2021,5,90,603,38,31,82,70,150,121,68,43
2021,5,100,20,3,0,2,3,2,5,3,2
2021,6,총,"82,254","4,391","3,653","5,984","9,600","21,652","29,148","4,722","3,104"
2021,6,0,"5,753",168,240,220,524,"1,376","2,869",273,83
2021,6,10,"7,259",228,255,435,822,"2,195","2,951",257,116
2021,6,20,"8,885",400,309,578,"1,123","2,418","3,406",404,247
2021,6,30,"9,083",391,339,441,975,"2,231","3,952",532,222
2021,6,40,"12,253",491,495,722,"1,340","3,387","4,929",572,317
2021,6,50,"14,926",861,697,"1,154","1,715","4,063","4,909",897,630
2021,6,60,"13,391","1,030",687,"1,278","1,754","3,391","3,547",939,765
2021,6,70,"6,783",532,412,699,855,"1,628","1,699",497,461
2021,6,80,"3,301",250,187,374,419,811,759,282,219
2021,6,90,599,37,32,81,70,150,122,65,42
2021,6,100,21,3,0,2,3,2,5,4,2
2021,7,총,"82,377","4,397","3,628","5,958","9,619","21,711","29,160","4,800","3,104"
2021,7,0,"5,721",166,232,222,517,"1,372","2,844",283,85
2021,7,10,"7,257",230,257,427,818,"2,195","2,954",259,117
2021,7,20,"8,928",401,308,576,"1,119","2,439","3,420",422,243
2021,7,30,"9,066",385,332,444,990,"2,218","3,938",539,220
2021,7,40,"12,236",482,496,711,"1,332","3,388","4,925",583,319
2021,7,50,"14,954",868,684,"1,155","1,719","4,074","4,920",904,630
2021,7,60,"13,491","1,039",689,"1,272","1,775","3,423","3,576",949,768
2021,7,70,"6,786",537,410,692,857,"1,626","1,697",506,461
2021,7,80,"3,319",249,188,374,419,825,760,287,217
2021,7,90,598,37,32,83,70,149,121,64,42
2021,7,100,21,3,0,2,3,2,5,4,2
2021,8,총,"82,391","4,421","3,634","5,917","9,560","21,726","29,174","4,847","3,112"
2021,8,0,"5,712",168,231,215,509,"1,372","2,834",296,87
2021,8,10,"7,225",230,257,416,807,"2,184","2,952",265,114
2021,8,20,"8,907",401,309,567,"1,112","2,430","3,419",424,245
2021,8,30,"9,058",387,337,449,972,"2,220","3,933",540,220
2021,8,40,"12,232",488,495,701,"1,321","3,379","4,936",598,314
2021,8,50,"14,946",870,683,"1,149","1,713","4,074","4,916",907,634
2021,8,60,"13,581","1,050",688,"1,266","1,775","3,465","3,608",955,774
2021,8,70,"6,785",534,414,695,861,"1,621","1,693",501,466
2021,8,80,"3,329",254,187,379,417,828,756,294,214
2021,8,90,595,36,33,78,70,151,122,63,42
2021,8,100,21,3,0,2,3,2,5,4,2
2021,9,총,"82,476","4,418","3,646","5,894","9,548","21,767","29,204","4,886","3,113"
2021,9,0,"5,688",163,233,211,496,"1,373","2,834",296,82
2021,9,10,"7,212",229,263,413,794,"2,183","2,951",264,115
2021,9,20,"8,906",402,302,558,"1,116","2,433","3,405",438,252
2021,9,30,"9,062",388,336,446,970,"2,223","3,940",549,210
2021,9,40,"12,204",480,495,695,"1,314","3,371","4,922",612,315
2021,9,50,"14,995",876,685,"1,151","1,717","4,095","4,937",906,628
2021,9,60,"13,670","1,052",694,"1,263","1,790","3,488","3,633",966,784
2021,9,70,"6,788",534,418,700,852,"1,621","1,699",497,467
2021,9,80,"3,333",255,188,377,425,825,755,292,216
2021,9,90,598,36,32,79,71,153,123,62,42
2021,9,100,20,3,0,1,3,2,5,4,2
2021,10,총,"82,579","4,423","3,644","5,890","9,518","21,813","29,278","4,901","3,112"
2021,10,0,"5,666",164,234,206,486,"1,375","2,822",298,81
2021,10,10,"7,200",227,257,413,794,"2,174","2,962",259,114
2021,10,20,"8,924",399,301,562,"1,095","2,440","3,425",449,253
2021,10,30,"9,080",389,339,445,974,"2,242","3,932",554,205
2021,10,40,"12,179",480,485,699,"1,296","3,347","4,940",618,314
2021,10,50,"15,023",881,693,"1,140","1,719","4,115","4,945",898,632
2021,10,60,"13,762","1,056",697,"1,271","1,805","3,510","3,665",976,782
2021,10,70,"6,770",528,419,694,850,"1,622","1,693",493,471
2021,10,80,"3,356",260,187,379,429,833,762,290,216
2021,10,90,599,36,32,80,68,153,125,62,43
2021,10,100,20,3,0,1,2,2,7,4,1
2021,11,총,"82,700","4,432","3,624","5,994","9,536","21,825","29,250","4,914","3,125"
2021,11,0,"5,661",172,227,210,481,"1,376","2,812",299,84
2021,11,10,"7,197",227,265,423,790,"2,176","2,946",255,115
2021,11,20,"8,904",392,296,578,"1,103","2,420","3,410",451,254
2021,11,30,"9,098",399,327,463,984,"2,239","3,928",554,204
2021,11,40,"12,166",484,485,714,"1,289","3,326","4,935",620,313
2021,11,50,"15,064",880,693,"1,148","1,722","4,136","4,947",899,639
2021,11,60,"13,858","1,054",694,"1,298","1,818","3,539","3,689",986,780
2021,11,70,"6,761",523,416,697,848,"1,620","1,690",493,474
2021,11,80,"3,367",263,188,379,429,836,766,290,216
2021,11,90,609,36,33,83,70,156,123,63,45
2021,11,100,15,2,0,1,2,1,4,4,1
2021,12,총,"82,791","4,427","3,592","6,024","9,564","21,873","29,264","4,932","3,115"
2021,12,0,"5,621",175,227,210,482,"1,361","2,786",292,88
2021,12,10,"7,220",227,261,434,802,"2,181","2,949",255,111
2021,12,20,"8,958",399,289,583,"1,104","2,455","3,407",467,254
2021,12,30,"9,112",397,324,469,997,"2,246","3,912",562,205
2021,12,40,"12,149",481,490,719,"1,296","3,308","4,929",623,303
2021,12,50,"15,068",874,686,"1,161","1,712","4,141","4,967",894,633
2021,12,60,"13,878","1,049",681,"1,302","1,820","3,549","3,708",990,779
2021,12,70,"6,770",526,412,684,845,"1,624","1,707",494,478
2021,12,80,"3,395",259,191,380,432,848,774,291,220
2021,12,90,608,38,31,82,72,159,121,61,44
2021,12,100,12,2,0,0,2,1,4,3,0
