년도,월,나이,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021,1,0,696,193,24,19,35,48,23,59,105,160,15,15
2021,1,10,"1,103",274,26,29,57,83,45,158,106,242,21,62
2021,1,20,"1,399",370,38,18,61,90,62,162,212,298,32,56
2021,1,30,"1,142",317,33,21,52,106,45,106,171,222,28,41
2021,1,40,"1,932",419,67,58,91,159,80,238,310,340,60,110
2021,1,50,"3,512",607,140,103,184,286,209,475,612,559,111,226
2021,1,60,"3,791",583,176,113,225,307,224,444,711,588,162,258
2021,1,70,"2,317",366,115,84,174,213,140,268,427,257,92,181
2021,1,80,"1,083",156,62,61,95,114,70,120,159,131,37,78
2021,1,90,108,19,9,6,6,15,5,14,8,10,5,11
2021,1,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,2,총,"17,082","3,314",688,513,978,"1,424",905,"2,055","2,816","2,793",559,"1,037"
2021,2,0,684,193,22,19,35,47,24,59,98,157,15,15
2021,2,10,"1,108",279,25,28,60,87,44,158,109,235,21,62
2021,2,20,"1,386",371,36,20,59,85,64,164,209,294,29,55
2021,2,30,"1,125",309,34,21,49,104,42,106,166,221,30,43
2021,2,40,"1,927",423,66,57,90,158,81,241,308,336,60,107
2021,2,50,"3,503",601,143,104,188,292,209,473,608,551,110,224
2021,2,60,"3,827",593,174,112,225,308,225,449,722,597,160,262
2021,2,70,"2,319",369,117,83,172,213,139,267,427,260,92,180
2021,2,80,"1,093",157,62,63,93,115,73,122,161,132,37,78
2021,2,90,108,19,9,6,6,15,4,15,8,10,5,11
2021,2,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,3,총,"17,058","3,298",682,516,980,"1,433",903,"2,050","2,811","2,793",564,"1,028"
2021,3,0,684,191,22,19,36,47,23,59,99,157,16,15
2021,3,10,"1,122",280,26,29,59,86,46,157,110,246,21,62
2021,3,20,"1,370",366,33,22,59,88,59,165,205,289,30,54
2021,3,30,"1,119",304,33,21,50,104,42,108,167,216,32,42
2021,3,40,"1,897",412,64,57,90,160,81,235,301,332,60,105
2021,3,50,"3,477",598,140,104,183,294,206,469,607,547,106,223
2021,3,60,"3,868",598,180,112,230,313,229,453,723,608,164,258
2021,3,70,"2,314",371,114,83,170,210,138,266,428,260,93,181
2021,3,80,"1,095",158,61,63,96,115,75,122,162,128,37,78
2021,3,90,110,20,9,6,6,16,4,15,9,10,5,10
2021,3,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,4,총,"17,048","3,291",679,518,980,"1,426",901,"2,060","2,816","2,782",564,"1,031"
2021,4,0,671,187,21,16,36,48,22,58,98,154,16,15
2021,4,10,"1,116",284,25,29,56,86,44,156,111,242,21,62
2021,4,20,"1,359",361,31,22,58,86,59,164,205,286,31,56
2021,4,30,"1,108",304,34,21,49,103,42,106,157,215,34,43
2021,4,40,"1,896",409,64,56,93,159,82,236,309,325,56,107
2021,4,50,"3,462",594,141,104,181,293,202,470,607,543,109,218
2021,4,60,"3,904",600,175,116,232,315,232,462,728,621,162,261
2021,4,70,"2,321",375,119,84,172,210,139,267,424,260,92,179
2021,4,80,"1,098",158,61,64,95,110,74,124,168,126,38,80
2021,4,90,111,19,8,6,7,16,5,16,9,10,5,10
2021,4,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,5,총,"17,016","3,287",682,517,979,"1,415",896,"2,057","2,817","2,778",562,"1,026"
2021,5,0,661,187,21,16,36,45,22,58,93,153,15,15
2021,5,10,"1,108",287,26,29,52,87,44,156,107,239,21,60
2021,5,20,"1,343",353,31,22,59,84,56,164,205,283,31,55
2021,5,30,"1,101",305,34,20,49,102,42,99,158,215,34,43
2021,5,40,"1,883",409,64,53,92,155,82,241,305,321,55,106
2021,5,50,"3,465",589,143,107,181,294,200,466,617,543,108,217
2021,5,60,"3,925",605,177,115,233,314,233,466,731,625,163,263
2021,5,70,"2,307",376,119,83,172,209,138,266,417,259,91,177
2021,5,80,"1,106",157,58,66,96,108,75,123,175,129,39,80
2021,5,90,115,19,9,6,8,17,4,17,9,11,5,10
2021,5,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,6,총,"16,992","3,288",682,506,978,"1,407",891,"2,060","2,817","2,784",555,"1,024"
2021,6,0,652,187,21,14,36,46,21,55,94,149,15,14
2021,6,10,"1,105",286,26,29,51,85,44,157,105,240,21,61
2021,6,20,"1,338",353,31,22,58,84,55,164,207,283,30,51
2021,6,30,"1,092",304,34,19,51,99,40,97,156,214,32,46
2021,6,40,"1,874",416,60,52,88,153,80,238,306,321,55,105
2021,6,50,"3,451",582,145,105,178,294,197,473,611,550,102,214
2021,6,60,"3,948",604,179,113,237,317,237,470,731,632,163,265
2021,6,70,"2,313",381,118,81,174,206,139,266,420,256,93,179
2021,6,80,"1,102",157,59,65,96,106,74,123,178,129,38,77
2021,6,90,115,18,9,6,8,17,4,16,9,10,6,12
2021,6,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,7,총,"16,975","3,286",695,506,968,"1,411",888,"2,069","2,811","2,770",556,"1,015"
2021,7,0,648,183,23,14,34,45,19,55,96,152,15,12
2021,7,10,"1,096",286,26,29,51,85,43,157,105,231,21,62
2021,7,20,"1,332",352,32,22,58,85,55,163,204,283,30,48
2021,7,30,"1,083",303,36,17,48,97,40,97,156,214,32,43
2021,7,40,"1,852",413,60,53,87,150,80,234,303,314,55,103
2021,7,50,"3,457",584,151,105,177,296,196,480,601,551,102,214
2021,7,60,"3,971",608,180,113,236,322,238,477,739,630,161,267
2021,7,70,"2,312",379,118,81,172,208,141,263,419,258,96,177
2021,7,80,"1,105",160,60,65,96,106,72,125,179,127,38,77
2021,7,90,117,18,9,7,8,17,4,17,9,10,6,12
2021,7,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,8,총,"16,967","3,286",698,506,966,"1,409",885,"2,064","2,811","2,762",558,"1,022"
2021,8,0,641,179,24,13,32,45,19,54,96,151,15,13
2021,8,10,"1,097",285,26,29,51,85,45,154,103,232,21,66
2021,8,20,"1,324",353,31,21,59,85,55,159,210,274,30,47
2021,8,30,"1,069",298,35,17,47,95,39,99,151,215,32,41
2021,8,40,"1,853",415,61,54,86,148,77,232,304,315,57,104
2021,8,50,"3,452",584,153,103,176,299,196,479,596,547,103,216
2021,8,60,"3,992",615,180,116,242,322,235,479,751,627,159,266
2021,8,70,"2,307",379,117,81,165,204,142,265,414,264,97,179
2021,8,80,"1,113",160,62,65,98,109,73,126,177,127,38,78
2021,8,90,116,18,9,7,9,17,4,15,9,10,6,12
2021,8,100,3,0,0,0,1,0,0,2,0,0,0,0
2021,9,총,"16,939","3,277",698,502,965,"1,401",887,"2,059","2,820","2,743",562,"1,025"
2021,9,0,626,174,25,13,31,46,19,52,92,147,14,13
2021,9,10,"1,101",285,26,28,54,84,45,157,107,226,23,66
2021,9,20,"1,303",341,30,19,60,82,54,157,209,278,29,44
2021,9,30,"1,064",298,36,17,46,96,39,93,153,212,33,41
2021,9,40,"1,836",410,59,55,87,147,78,225,303,311,57,104
2021,9,50,"3,454",590,154,102,172,293,195,480,602,543,105,218
2021,9,60,"4,015",621,182,115,242,326,239,482,754,624,160,270
2021,9,70,"2,307",379,116,81,161,201,140,270,415,269,96,179
2021,9,80,"1,116",160,61,66,102,110,74,126,176,123,39,79
2021,9,90,114,19,9,6,9,16,4,15,9,10,6,11
2021,9,100,3,0,0,0,1,0,0,2,0,0,0,0
2021,10,총,"16,935","3,272",700,507,961,"1,408",890,"2,053","2,830","2,732",559,"1,023"
2021,10,0,610,173,23,13,28,46,16,49,93,141,14,14
2021,10,10,"1,088",282,27,28,53,86,44,156,104,221,22,65
2021,10,20,"1,309",344,30,20,61,83,54,155,212,276,29,45
2021,10,30,"1,051",294,35,17,44,94,40,91,152,210,33,41
2021,10,40,"1,829",404,60,56,85,145,77,225,305,310,58,104
2021,10,50,"3,468",596,153,103,175,300,197,484,597,545,103,215
2021,10,60,"4,031",624,184,114,242,326,242,484,764,623,157,271
2021,10,70,"2,310",379,118,82,160,199,142,265,416,271,97,181
2021,10,80,"1,122",158,61,68,102,111,74,128,178,126,40,76
2021,10,90,115,18,9,6,10,18,4,15,9,9,6,11
2021,10,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,11,총,"16,923","3,263",697,508,964,"1,411",890,"2,047","2,834","2,732",557,"1,020"
2021,11,0,603,169,22,12,28,49,16,46,93,138,14,16
2021,11,10,"1,088",284,27,27,50,83,44,157,103,227,22,64
2021,11,20,"1,296",339,28,21,61,86,54,152,212,272,25,46
2021,11,30,"1,044",293,35,15,45,91,39,91,153,209,32,41
2021,11,40,"1,824",402,57,58,84,145,76,228,302,310,57,105
2021,11,50,"3,464",593,154,103,178,302,197,483,598,541,103,212
2021,11,60,"4,051",627,184,117,243,324,245,485,772,626,160,268
2021,11,70,"2,309",377,120,80,162,202,141,260,412,274,98,183
2021,11,80,"1,124",160,61,69,102,112,74,127,180,126,40,73
2021,11,90,118,19,9,6,10,17,4,17,9,9,6,12
2021,11,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,12,총,"16,931","3,276",698,509,960,"1,410",889,"2,045","2,836","2,726",557,"1,025"
2021,12,0,601,169,23,14,27,48,15,46,93,139,11,16
2021,12,10,"1,083",285,26,27,50,82,46,156,102,224,23,62
2021,12,20,"1,296",339,28,19,60,88,50,155,209,271,27,50
2021,12,30,"1,048",302,35,18,42,91,39,93,156,202,29,41
2021,12,40,"1,816",400,54,59,84,145,75,225,301,312,57,104
2021,12,50,"3,452",593,155,100,179,300,194,477,594,543,106,211
2021,12,60,"4,068",628,187,119,242,319,250,488,779,626,158,272
2021,12,70,"2,312",379,118,80,162,208,143,260,411,274,97,180
2021,12,80,"1,133",162,63,66,102,111,73,128,181,127,43,77
2021,12,90,120,19,9,7,11,18,4,16,10,8,6,12
2021,12,100,2,0,0,0,1,0,0,1,0,0,0,0
