년도,월,나이,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020,2,총,"251,949","18,260","9,552","6,666","18,535","16,928","7,356","6,799","16,139","11,202","8,905","3,974","17,585","8,626","9,746","17,424","14,611","8,690","8,763","15,994","6,844","6,756","12,594"
2020,2,0,"18,306","1,291",548,381,"1,433","1,419",545,337,"1,451",728,699,171,"1,483",480,688,"1,392","1,352",485,621,"1,086",641,427,648
2020,2,10,"23,671","1,530",767,479,"1,318","1,255",454,532,"2,045","1,150",985,298,"1,645",782,828,"1,996","2,268",634,839,"1,807",583,570,906
2020,2,20,"37,542","3,010","1,433",927,"2,892","2,643","1,083","1,003","2,353","1,619","1,354",541,"2,598","1,371","1,408","2,627","1,966","1,202","1,303","2,623",969,893,"1,724"
2020,2,30,"36,926","3,251","1,502",937,"3,607","3,418","1,208",829,"1,916","1,305","1,145",487,"2,701","1,263","1,527","2,197","1,547","1,203","1,185","2,058","1,052",840,"1,748"
2020,2,40,"40,450","2,831","1,538","1,044","2,997","2,913","1,170",977,"2,749","1,624","1,374",674,"2,713","1,323","1,322","2,882","2,824","1,388","1,412","2,622","1,019","1,052","2,002"
2020,2,50,"45,629","2,906","1,728","1,229","3,031","2,659","1,266","1,385","2,873","1,993","1,619",883,"3,247","1,695","1,753","3,358","2,668","1,542","1,600","3,145","1,081","1,349","2,619"
2020,2,60,"30,657","2,063","1,172",986,"1,968","1,612",980,"1,072","1,771","1,603","1,122",599,"2,045","1,100","1,456","1,908","1,296","1,304","1,101","1,707",975,983,"1,834"
2020,2,70,"13,796",961,662,485,938,737,473,485,751,829,430,259,848,460,578,774,510,707,525,690,396,472,826
2020,2,80,"4,496",381,177,172,314,242,166,158,207,319,165,51,282,142,162,259,165,209,159,229,117,155,265
2020,2,90,432,35,21,20,32,28,10,18,22,29,11,7,22,10,22,30,15,16,17,25,9,13,20
2020,2,100,44,1,4,6,5,2,1,3,1,3,1,4,1,0,2,1,0,0,1,2,2,2,2
2020,3,총,"251,023","18,243","9,374","6,637","18,447","16,902","7,288","6,768","16,085","11,178","8,870","3,938","17,577","8,615","9,721","17,369","14,557","8,683","8,738","15,907","6,811","6,731","12,584"
2020,3,0,"18,140","1,286",541,379,"1,413","1,404",544,336,"1,430",723,689,172,"1,472",473,686,"1,392","1,332",485,617,"1,069",635,429,633
2020,3,10,"23,500","1,513",751,477,"1,316","1,238",446,532,"2,041","1,141",976,295,"1,639",780,816,"1,985","2,250",629,837,"1,781",586,562,909
2020,3,20,"37,407","3,014","1,393",911,"2,883","2,642","1,069",997,"2,346","1,609","1,355",532,"2,596","1,388","1,408","2,621","1,964","1,209","1,298","2,611",961,885,"1,715"
2020,3,30,"36,657","3,219","1,487",940,"3,563","3,413","1,192",816,"1,909","1,294","1,137",486,"2,694","1,249","1,518","2,164","1,538","1,189","1,176","2,044","1,043",836,"1,750"
2020,3,40,"40,215","2,848","1,509","1,034","2,967","2,899","1,166",975,"2,725","1,618","1,363",664,"2,704","1,315","1,320","2,872","2,807","1,378","1,409","2,596","1,006","1,052","1,988"
2020,3,50,"45,456","2,880","1,690","1,219","3,027","2,679","1,232","1,374","2,867","1,996","1,614",878,"3,256","1,676","1,734","3,351","2,667","1,542","1,585","3,140","1,090","1,343","2,616"
2020,3,60,"30,820","2,098","1,156",986,"1,989","1,617",992,"1,068","1,772","1,607","1,125",598,"2,055","1,118","1,464","1,923","1,302","1,312","1,113","1,721",969,987,"1,848"
2020,3,70,"13,840",969,649,492,942,741,470,489,757,835,432,252,853,463,584,773,518,713,524,686,393,469,836
2020,3,80,"4,516",382,176,172,311,239,167,160,215,325,165,50,284,143,165,257,165,209,161,232,117,152,269
2020,3,90,428,33,19,21,31,29,9,18,22,27,13,7,23,10,24,30,14,16,17,25,9,14,17
2020,3,100,44,1,3,6,5,1,1,3,1,3,1,4,1,0,2,1,0,1,1,2,2,2,3
2020,4,총,"250,187","18,236","9,217","6,612","18,412","16,859","7,209","6,746","16,036","11,150","8,843","3,891","17,590","8,601","9,681","17,302","14,558","8,644","8,716","15,844","6,795","6,707","12,538"
2020,4,0,"17,983","1,281",535,370,"1,396","1,385",530,334,"1,431",720,682,169,"1,475",476,673,"1,374","1,328",481,610,"1,044",625,427,637
2020,4,10,"23,367","1,513",736,471,"1,318","1,230",444,530,"2,030","1,126",955,291,"1,639",777,812,"1,968","2,244",625,840,"1,770",584,562,902
2020,4,20,"37,213","3,011","1,369",911,"2,884","2,625","1,056",985,"2,314","1,605","1,348",531,"2,587","1,382","1,394","2,615","1,964","1,190","1,290","2,592",960,891,"1,709"
2020,4,30,"36,509","3,212","1,461",938,"3,544","3,400","1,169",814,"1,892","1,295","1,145",471,"2,707","1,249","1,510","2,151","1,540","1,182","1,168","2,058","1,044",827,"1,732"
2020,4,40,"40,040","2,840","1,491","1,030","2,973","2,897","1,155",970,"2,742","1,603","1,360",655,"2,703","1,303","1,311","2,856","2,796","1,368","1,407","2,568","1,011","1,036","1,965"
2020,4,50,"45,277","2,888","1,647","1,209","2,999","2,675","1,210","1,374","2,854","2,005","1,608",865,"3,248","1,675","1,732","3,329","2,678","1,536","1,575","3,131","1,084","1,344","2,611"
2020,4,60,"30,895","2,096","1,134",992,"2,002","1,635","1,000","1,061","1,772","1,602","1,132",595,"2,059","1,118","1,464","1,939","1,307","1,327","1,120","1,729",971,980,"1,860"
2020,4,70,"13,868",970,647,494,947,738,466,498,763,836,432,252,862,467,592,779,520,710,524,688,385,467,831
2020,4,80,"4,562",391,174,170,312,242,170,159,215,326,167,51,287,144,168,261,166,208,164,237,120,158,272
2020,4,90,428,33,20,21,32,30,8,18,22,29,13,7,22,10,23,29,15,16,17,25,9,13,16
2020,4,100,45,1,3,6,5,2,1,3,1,3,1,4,1,0,2,1,0,1,1,2,2,2,3
2020,5,총,"249,482","18,197","9,104","6,609","18,393","16,806","7,147","6,731","16,019","11,115","8,809","3,857","17,586","8,567","9,668","17,238","14,560","8,626","8,701","15,785","6,795","6,677","12,492"
2020,5,0,"17,850","1,272",525,366,"1,379","1,362",530,332,"1,440",709,673,171,"1,475",474,675,"1,362","1,313",474,602,"1,042",625,421,628
2020,5,10,"23,235","1,498",721,472,"1,321","1,227",440,527,"2,017","1,123",947,285,"1,636",770,809,"1,956","2,243",624,834,"1,743",585,555,902
2020,5,20,"37,094","3,010","1,352",915,"2,885","2,611","1,045",983,"2,303","1,575","1,348",526,"2,577","1,387","1,386","2,598","1,985","1,187","1,306","2,581",953,893,"1,688"
2020,5,30,"36,343","3,191","1,433",934,"3,529","3,406","1,156",806,"1,893","1,293","1,139",470,"2,712","1,234","1,517","2,127","1,530","1,179","1,169","2,047","1,043",819,"1,716"
2020,5,40,"39,819","2,838","1,474","1,017","2,963","2,867","1,150",970,"2,732","1,606","1,352",633,"2,695","1,292","1,297","2,835","2,798","1,357","1,390","2,558","1,005","1,025","1,965"
2020,5,50,"45,211","2,893","1,631","1,208","3,005","2,666","1,198","1,374","2,852","2,003","1,604",865,"3,239","1,673","1,728","3,334","2,679","1,539","1,569","3,115","1,087","1,339","2,610"
2020,5,60,"30,928","2,095","1,126","1,003","2,005","1,646",988,"1,055","1,777","1,606","1,132",591,"2,072","1,114","1,462","1,952","1,313","1,327","1,114","1,741",973,981,"1,855"
2020,5,70,"13,962",976,646,497,956,747,461,506,767,837,434,253,871,469,601,779,516,712,534,698,395,467,840
2020,5,80,"4,569",389,175,170,314,243,169,159,215,332,165,52,284,144,167,265,169,210,165,233,118,162,269
2020,5,90,427,34,18,21,31,29,9,16,22,28,14,7,24,10,24,29,14,16,17,25,9,13,17
2020,5,100,44,1,3,6,5,2,1,3,1,3,1,4,1,0,2,1,0,1,1,2,2,2,2
2020,6,총,"248,663","18,161","8,987","6,622","18,338","16,731","7,054","6,701","15,978","11,080","8,776","3,831","17,564","8,547","9,637","17,186","14,515","8,633","8,670","15,750","6,780","6,692","12,430"
2020,6,0,"17,719","1,270",522,366,"1,363","1,351",522,328,"1,440",704,667,169,"1,466",477,659,"1,350","1,292",477,599,"1,041",616,423,617
2020,6,10,"23,116","1,486",709,472,"1,315","1,224",427,537,"2,017","1,114",931,284,"1,635",758,808,"1,936","2,231",621,831,"1,739",590,560,891
2020,6,20,"36,890","2,990","1,330",910,"2,887","2,609","1,034",968,"2,278","1,559","1,352",518,"2,574","1,394","1,382","2,591","1,978","1,182","1,295","2,540",951,888,"1,680"
2020,6,30,"36,111","3,192","1,411",943,"3,487","3,375","1,138",795,"1,871","1,295","1,135",465,"2,701","1,215","1,517","2,115","1,516","1,179","1,160","2,068","1,024",819,"1,690"
2020,6,40,"39,667","2,833","1,455","1,018","2,952","2,849","1,139",960,"2,733","1,599","1,339",630,"2,691","1,293","1,300","2,824","2,780","1,358","1,373","2,548","1,011","1,030","1,952"
2020,6,50,"44,953","2,885","1,597","1,205","3,003","2,631","1,185","1,359","2,838","1,988","1,598",859,"3,225","1,664","1,698","3,320","2,683","1,541","1,568","3,086","1,080","1,349","2,591"
2020,6,60,"31,163","2,109","1,126","1,010","2,019","1,670",975,"1,070","1,791","1,620","1,137",589,"2,094","1,122","1,480","1,967","1,335","1,330","1,121","1,759",980,982,"1,877"
2020,6,70,"14,011",973,646,502,965,745,455,507,776,838,434,254,872,467,603,786,514,722,537,703,401,466,845
2020,6,80,"4,561",388,168,170,312,245,168,159,213,331,167,52,282,146,166,265,172,206,168,239,116,161,267
2020,6,90,429,34,20,20,30,30,10,15,20,29,15,7,23,11,22,31,14,16,17,26,9,12,18
2020,6,100,43,1,3,6,5,2,1,3,1,3,1,4,1,0,2,1,0,1,1,1,2,2,2
2020,7,총,"248,030","18,146","8,925","6,623","18,318","16,696","7,029","6,663","15,941","11,043","8,746","3,818","17,517","8,555","9,611","17,132","14,497","8,607","8,630","15,716","6,760","6,678","12,379"
2020,7,0,"17,618","1,278",519,364,"1,359","1,357",518,322,"1,432",701,651,168,"1,452",470,651,"1,333","1,285",466,604,"1,039",621,418,610
2020,7,10,"22,962","1,471",705,475,"1,296","1,211",425,530,"2,013","1,106",923,283,"1,632",759,801,"1,923","2,217",611,820,"1,737",586,549,889
2020,7,20,"36,766","2,971","1,308",917,"2,893","2,606","1,033",964,"2,264","1,562","1,352",514,"2,560","1,393","1,367","2,584","1,980","1,176","1,291","2,532",942,887,"1,670"
2020,7,30,"35,868","3,199","1,402",935,"3,460","3,341","1,131",787,"1,864","1,281","1,126",460,"2,680","1,217","1,513","2,084","1,507","1,166","1,142","2,053","1,023",818,"1,679"
2020,7,40,"39,565","2,829","1,440","1,023","2,946","2,862","1,138",949,"2,725","1,597","1,322",629,"2,703","1,294","1,292","2,822","2,759","1,354","1,360","2,546","1,010","1,030","1,935"
2020,7,50,"44,868","2,891","1,588","1,200","3,018","2,622","1,180","1,354","2,831","1,968","1,598",854,"3,207","1,667","1,692","3,318","2,703","1,545","1,554","3,073","1,074","1,350","2,581"
2020,7,60,"31,259","2,105","1,123","1,011","2,023","1,670",972,"1,068","1,806","1,626","1,148",592,"2,104","1,126","1,484","1,980","1,339","1,342","1,127","1,761",980,982,"1,890"
2020,7,70,"14,070",975,646,503,977,747,451,513,770,840,436,255,879,473,620,792,514,720,547,707,395,469,841
2020,7,80,"4,576",391,170,169,311,248,170,158,215,330,173,52,277,145,166,263,178,209,167,241,118,159,266
2020,7,90,434,35,21,20,29,30,10,15,20,29,16,7,22,11,23,32,15,17,17,26,9,14,16
2020,7,100,44,1,3,6,6,2,1,3,1,3,1,4,1,0,2,1,0,1,1,1,2,2,2
2020,8,총,"247,094","18,133","8,838","6,604","18,263","16,628","6,981","6,626","15,935","11,003","8,690","3,771","17,476","8,517","9,570","17,068","14,427","8,533","8,597","15,693","6,719","6,662","12,360"
2020,8,0,"17,468","1,268",515,357,"1,350","1,342",513,319,"1,428",688,638,160,"1,453",471,651,"1,322","1,276",456,601,"1,035",612,404,609
2020,8,10,"22,781","1,466",690,474,"1,284","1,191",421,521,"2,022","1,101",920,279,"1,624",745,786,"1,903","2,196",611,811,"1,723",577,550,886
2020,8,20,"36,571","2,970","1,298",911,"2,890","2,590","1,023",962,"2,239","1,550","1,339",506,"2,542","1,393","1,363","2,559","1,974","1,159","1,287","2,531",943,879,"1,663"
2020,8,30,"35,595","3,188","1,374",937,"3,441","3,330","1,129",784,"1,862","1,268","1,105",451,"2,683","1,209","1,480","2,059","1,479","1,141","1,132","2,041","1,013",807,"1,682"
2020,8,40,"39,398","2,829","1,425","1,023","2,943","2,868","1,121",943,"2,716","1,595","1,322",618,"2,680","1,285","1,300","2,806","2,746","1,338","1,352","2,541","1,000","1,029","1,918"
2020,8,50,"44,665","2,876","1,565","1,191","3,018","2,600","1,162","1,345","2,830","1,953","1,589",857,"3,189","1,661","1,681","3,336","2,694","1,548","1,537","3,048","1,061","1,351","2,573"
2020,8,60,"31,470","2,121","1,126","1,017","2,024","1,678",978,"1,069","1,822","1,645","1,149",589,"2,122","1,122","1,495","1,991","1,362","1,343","1,133","1,795",988,989,"1,912"
2020,8,70,"14,079",986,648,499,971,749,453,510,776,844,436,247,880,476,622,792,510,718,557,709,394,469,833
2020,8,80,"4,593",393,173,169,307,249,170,155,219,325,176,53,280,145,167,267,176,202,170,244,120,167,266
2020,8,90,431,35,21,20,29,30,10,15,20,31,15,7,22,10,23,32,14,16,16,25,9,15,16
2020,8,100,43,1,3,6,6,1,1,3,1,3,1,4,1,0,2,1,0,1,1,1,2,2,2
2020,9,총,"246,296","18,091","8,749","6,576","18,254","16,603","6,941","6,594","15,880","10,960","8,665","3,778","17,458","8,497","9,523","16,978","14,390","8,482","8,575","15,639","6,698","6,660","12,305"
2020,9,0,"17,282","1,248",504,343,"1,335","1,329",510,313,"1,427",680,632,164,"1,447",467,647,"1,291","1,278",444,598,"1,024",608,391,602
2020,9,10,"22,652","1,474",676,481,"1,287","1,194",421,518,"2,006","1,093",906,273,"1,613",746,775,"1,879","2,178",599,799,"1,733",575,554,872
2020,9,20,"36,385","2,935","1,281",898,"2,880","2,590","1,014",956,"2,229","1,536","1,344",510,"2,551","1,373","1,355","2,555","1,964","1,161","1,286","2,496",943,878,"1,650"
2020,9,30,"35,377","3,194","1,362",936,"3,433","3,295","1,121",767,"1,850","1,260","1,096",449,"2,669","1,212","1,455","2,047","1,475","1,127","1,131","2,023","1,006",798,"1,671"
2020,9,40,"39,270","2,812","1,422","1,023","2,942","2,877","1,110",942,"2,702","1,590","1,312",618,"2,677","1,280","1,306","2,786","2,733","1,335","1,343","2,522",987,"1,030","1,921"
2020,9,50,"44,532","2,882","1,537","1,185","3,019","2,601","1,157","1,339","2,815","1,942","1,589",851,"3,188","1,657","1,661","3,325","2,697","1,536","1,542","3,058","1,047","1,357","2,547"
2020,9,60,"31,609","2,133","1,132","1,015","2,040","1,692",977,"1,076","1,834","1,644","1,152",603,"2,139","1,132","1,509","1,996","1,358","1,339","1,137","1,798",999,992,"1,912"
2020,9,70,"14,092",983,638,499,971,746,449,508,772,852,443,247,869,474,623,795,516,720,552,715,399,476,845
2020,9,80,"4,622",393,174,170,311,250,171,157,225,328,174,50,283,145,167,271,176,204,169,245,123,168,268
2020,9,90,431,36,20,20,30,28,10,15,19,32,16,9,21,11,23,32,15,16,16,24,9,14,15
2020,9,100,44,1,3,6,6,1,1,3,1,3,1,4,1,0,2,1,0,1,2,1,2,2,2
2020,10,총,"245,756","18,075","8,654","6,561","18,217","16,549","6,904","6,615","15,813","10,959","8,659","3,763","17,517","8,460","9,493","16,936","14,370","8,474","8,534","15,606","6,687","6,654","12,256"
2020,10,0,"17,151","1,232",490,339,"1,322","1,318",507,324,"1,408",675,626,162,"1,459",459,638,"1,279","1,279",447,590,"1,008",605,381,603
2020,10,10,"22,591","1,479",678,475,"1,285","1,197",415,521,"2,000","1,095",917,271,"1,606",739,777,"1,867","2,171",590,797,"1,724",570,553,864
2020,10,20,"36,270","2,946","1,264",897,"2,882","2,585",998,948,"2,220","1,535","1,343",508,"2,557","1,375","1,353","2,533","1,948","1,163","1,259","2,499",947,877,"1,633"
2020,10,30,"35,112","3,160","1,331",929,"3,414","3,257","1,105",783,"1,819","1,257","1,082",446,"2,663","1,206","1,434","2,040","1,464","1,123","1,134","2,013",994,800,"1,658"
2020,10,40,"39,156","2,802","1,405","1,016","2,920","2,863","1,100",953,"2,694","1,590","1,315",614,"2,710","1,274","1,301","2,781","2,716","1,333","1,337","2,517",981,"1,022","1,912"
2020,10,50,"44,405","2,906","1,528","1,180","3,017","2,602","1,159","1,327","2,797","1,935","1,586",836,"3,172","1,643","1,653","3,313","2,704","1,530","1,538","3,053","1,045","1,353","2,528"
2020,10,60,"31,827","2,131","1,126","1,031","2,065","1,706",983,"1,074","1,853","1,653","1,150",617,"2,167","1,139","1,527","2,019","1,376","1,338","1,138","1,809","1,011","1,003","1,911"
2020,10,70,"14,125",984,638,500,970,743,458,507,771,862,445,247,871,469,614,796,522,729,554,713,398,481,853
2020,10,80,"4,651",395,172,167,308,249,168,160,231,323,178,50,290,147,171,275,177,205,170,246,125,167,277
2020,10,90,424,39,19,21,28,28,10,15,19,31,16,8,21,9,23,32,13,15,15,23,9,15,15
2020,10,100,44,1,3,6,6,1,1,3,1,3,1,4,1,0,2,1,0,1,2,1,2,2,2
2020,11,총,"245,186","18,027","8,403","6,554","18,182","16,520","6,916","6,711","15,774","10,944","8,653","3,726","17,617","8,417","9,490","16,902","14,322","8,437","8,510","15,571","6,665","6,627","12,218"
2020,11,0,"16,978","1,211",472,337,"1,317","1,302",504,337,"1,398",659,626,156,"1,462",449,626,"1,264","1,266",441,577,"1,001",597,378,598
2020,11,10,"22,510","1,473",667,474,"1,271","1,195",411,528,"1,994","1,098",910,267,"1,603",732,784,"1,865","2,160",583,793,"1,720",577,548,857
2020,11,20,"36,209","2,944","1,211",888,"2,899","2,586","1,010",961,"2,196","1,549","1,350",503,"2,578","1,376","1,347","2,523","1,951","1,155","1,255","2,492",928,878,"1,629"
2020,11,30,"34,874","3,107","1,291",920,"3,398","3,251","1,098",814,"1,802","1,243","1,068",437,"2,675","1,193","1,429","2,032","1,432","1,115","1,133","2,004",991,789,"1,652"
2020,11,40,"39,068","2,812","1,367","1,015","2,905","2,857","1,105",970,"2,698","1,592","1,314",614,"2,731","1,272","1,307","2,765","2,715","1,323","1,331","2,489",976,"1,016","1,894"
2020,11,50,"44,304","2,912","1,483","1,183","3,000","2,596","1,162","1,334","2,794","1,920","1,583",824,"3,190","1,628","1,658","3,312","2,709","1,523","1,540","3,054","1,043","1,340","2,516"
2020,11,60,"31,947","2,148","1,099","1,034","2,075","1,711",990,"1,077","1,854","1,662","1,155",616,"2,194","1,144","1,521","2,033","1,379","1,345","1,137","1,824","1,018","1,010","1,921"
2020,11,70,"14,153",988,624,508,971,746,454,511,784,864,451,246,872,466,623,797,518,725,555,715,398,483,854
2020,11,80,"4,679",392,168,168,315,247,171,161,234,322,178,50,294,149,171,278,179,211,172,248,126,166,279
2020,11,90,419,39,18,21,25,28,10,15,18,32,17,9,17,8,22,32,13,15,14,24,9,17,16
2020,11,100,45,1,3,6,6,1,1,3,2,3,1,4,1,0,2,1,0,1,3,0,2,2,2
2020,12,총,"244,713","17,988","8,116","6,526","18,145","16,461","7,235","6,756","15,758","10,919","8,632","3,728","17,552","8,378","9,437","16,871","14,287","8,367","8,713","15,453","6,613","6,587","12,191"
2020,12,0,"16,846","1,199",444,334,"1,295","1,270",543,336,"1,393",652,630,153,"1,461",438,610,"1,259","1,261",438,588,993,585,376,588
2020,12,10,"22,391","1,458",646,465,"1,272","1,190",444,528,"1,989","1,093",893,262,"1,592",721,783,"1,845","2,161",578,807,"1,701",563,547,853
2020,12,20,"36,146","2,932","1,161",885,"2,920","2,590","1,043",963,"2,190","1,556","1,353",503,"2,560","1,379","1,335","2,511","1,940","1,147","1,295","2,469",928,870,"1,616"
2020,12,30,"34,803","3,104","1,255",909,"3,383","3,254","1,173",847,"1,809","1,232","1,054",442,"2,658","1,183","1,410","2,041","1,419","1,100","1,175","1,970",978,771,"1,636"
2020,12,40,"38,950","2,811","1,310","1,005","2,896","2,834","1,159",974,"2,685","1,580","1,314",616,"2,713","1,258","1,300","2,758","2,691","1,310","1,389","2,482",973,"1,005","1,887"
2020,12,50,"44,153","2,923","1,430","1,175","2,982","2,591","1,203","1,332","2,781","1,917","1,582",817,"3,176","1,627","1,647","3,304","2,706","1,511","1,561","3,006","1,034","1,343","2,505"
2020,12,60,"32,108","2,137","1,072","1,046","2,076","1,714","1,026","1,081","1,870","1,663","1,163",627,"2,208","1,148","1,529","2,044","1,392","1,338","1,148","1,850","1,021","1,011","1,944"
2020,12,70,"14,136",987,611,509,969,747,457,514,785,865,442,245,865,470,627,799,520,715,557,715,397,479,861
2020,12,80,"4,716",396,164,171,320,245,176,163,235,328,184,50,302,146,171,275,184,212,177,243,124,166,284
2020,12,90,419,40,20,21,26,25,10,15,19,30,16,9,16,8,23,34,13,17,13,24,8,17,15
2020,12,100,45,1,3,6,6,1,1,3,2,3,1,4,1,0,2,1,0,1,3,0,2,2,2
2021,1,총,"244,412","17,952","7,923","6,521","18,103","16,372","7,374","6,785","15,709","10,884","8,612","3,733","17,546","8,369","9,410","16,829","14,280","8,357","8,980","15,361","6,591","6,553","12,168"
2021,1,0,"16,703","1,174",427,325,"1,286","1,241",559,345,"1,380",641,628,157,"1,453",434,603,"1,245","1,255",438,624,975,571,371,571
2021,1,10,"22,258","1,452",629,458,"1,250","1,178",455,527,"1,990","1,082",890,258,"1,572",711,778,"1,834","2,163",573,816,"1,686",568,541,847
2021,1,20,"36,027","2,922","1,120",887,"2,904","2,583","1,050",956,"2,162","1,560","1,354",507,"2,555","1,382","1,337","2,507","1,930","1,141","1,332","2,434",925,868,"1,611"
2021,1,30,"34,690","3,093","1,216",906,"3,374","3,221","1,201",862,"1,791","1,218","1,051",448,"2,657","1,171","1,394","2,033","1,420","1,097","1,220","1,975",955,761,"1,626"
2021,1,40,"38,818","2,799","1,295",996,"2,877","2,821","1,180",963,"2,692","1,557","1,311",606,"2,714","1,261","1,291","2,730","2,674","1,314","1,439","2,457",973,998,"1,870"
2021,1,50,"44,082","2,923","1,398","1,187","2,980","2,593","1,225","1,341","2,761","1,903","1,557",822,"3,160","1,617","1,645","3,283","2,707","1,503","1,598","2,992","1,042","1,339","2,506"
2021,1,60,"32,391","2,159","1,053","1,051","2,103","1,714","1,044","1,095","1,889","1,683","1,166",629,"2,238","1,161","1,539","2,082","1,411","1,340","1,185","1,852","1,024","1,009","1,964"
2021,1,70,"14,214",993,592,506,970,746,467,514,789,880,453,244,876,476,624,801,521,721,572,725,398,479,867
2021,1,80,"4,767",397,170,178,328,249,181,164,234,326,186,50,304,148,175,278,186,212,177,240,125,169,290
2021,1,90,415,39,20,21,24,25,11,15,19,31,15,8,16,8,21,35,13,17,14,25,8,16,14
2021,1,100,47,1,3,6,7,1,1,3,2,3,1,4,1,0,3,1,0,1,3,0,2,2,2
2021,2,총,"243,934","17,902","7,831","6,501","18,033","16,335","7,416","6,789","15,648","10,854","8,598","3,728","17,535","8,333","9,370","16,765","14,235","8,326","9,154","15,334","6,550","6,553","12,144"
2021,2,0,"16,530","1,162",414,315,"1,268","1,231",559,347,"1,369",631,625,157,"1,439",426,590,"1,224","1,234",420,630,982,570,370,567
2021,2,10,"22,182","1,453",618,463,"1,246","1,165",456,531,"1,984","1,078",892,254,"1,563",705,779,"1,810","2,156",579,847,"1,672",555,542,834
2021,2,20,"35,812","2,886","1,108",867,"2,890","2,580","1,057",950,"2,141","1,553","1,345",504,"2,536","1,371","1,316","2,508","1,916","1,130","1,347","2,420",909,865,"1,613"
2021,2,30,"34,516","3,090","1,185",907,"3,339","3,191","1,197",868,"1,772","1,197","1,051",453,"2,672","1,165","1,377","2,005","1,420","1,090","1,238","1,977",944,754,"1,624"
2021,2,40,"38,716","2,787","1,287",994,"2,863","2,822","1,195",963,"2,682","1,553","1,297",601,"2,715","1,242","1,295","2,708","2,664","1,311","1,480","2,442",971,992,"1,852"
2021,2,50,"43,998","2,927","1,393","1,182","2,976","2,590","1,231","1,335","2,753","1,903","1,554",817,"3,147","1,623","1,634","3,278","2,699","1,484","1,625","2,963","1,033","1,344","2,507"
2021,2,60,"32,657","2,166","1,044","1,060","2,113","1,724","1,057","1,093","1,899","1,695","1,174",635,"2,270","1,165","1,552","2,112","1,430","1,357","1,212","1,880","1,034","1,012","1,973"
2021,2,70,"14,244",996,585,508,974,754,468,520,791,884,460,244,867,479,626,803,519,721,574,727,399,485,860
