년도,월,나이,세종특별자치시,세종특별자치시
2021,4,60,"31,569","31,569"
2021,4,70,"14,422","14,422"
2021,4,80,"7,284","7,284"
2021,4,90,"1,251","1,251"
2021,4,100,36,36
2021,5,총,"362,036","362,036"
2021,5,0,"47,074","47,074"
2021,5,10,"43,846","43,846"
2021,5,20,"38,094","38,094"
2021,5,30,"61,318","61,318"
2021,5,40,"70,319","70,319"
2021,5,50,"46,469","46,469"
2021,5,60,"31,833","31,833"
2021,5,70,"14,457","14,457"
2021,5,80,"7,321","7,321"
2021,5,90,"1,268","1,268"
2021,5,100,37,37
2021,6,총,"362,995","362,995"
2021,6,0,"46,977","46,977"
2021,6,10,"44,072","44,072"
2021,6,20,"38,205","38,205"
2021,6,30,"61,194","61,194"
2021,6,40,"70,646","70,646"
2021,6,50,"46,583","46,583"
2021,6,60,"32,165","32,165"
2021,6,70,"14,506","14,506"
2021,6,80,"7,331","7,331"
2021,6,90,"1,278","1,278"
2021,6,100,38,38
2021,7,총,"364,364","364,364"
2021,7,0,"46,995","46,995"
2021,7,10,"44,340","44,340"
2021,7,20,"38,265","38,265"
2021,7,30,"61,176","61,176"
2021,7,40,"71,019","71,019"
2021,7,50,"46,878","46,878"
2021,7,60,"32,468","32,468"
2021,7,70,"14,554","14,554"
2021,7,80,"7,365","7,365"
2021,7,90,"1,268","1,268"
2021,7,100,36,36
2021,8,총,"365,309","365,309"
2021,8,0,"46,951","46,951"
2021,8,10,"44,563","44,563"
2021,8,20,"38,185","38,185"
2021,8,30,"61,164","61,164"
2021,8,40,"71,243","71,243"
2021,8,50,"47,168","47,168"
2021,8,60,"32,723","32,723"
2021,8,70,"14,593","14,593"
2021,8,80,"7,423","7,423"
2021,8,90,"1,259","1,259"
2021,8,100,37,37
2021,9,총,"366,560","366,560"
2021,9,0,"46,960","46,960"
2021,9,10,"44,826","44,826"
2021,9,20,"38,131","38,131"
2021,9,30,"61,187","61,187"
2021,9,40,"71,533","71,533"
2021,9,50,"47,566","47,566"
2021,9,60,"32,942","32,942"
2021,9,70,"14,652","14,652"
2021,9,80,"7,442","7,442"
2021,9,90,"1,283","1,283"
2021,9,100,38,38
2021,10,총,"368,276","368,276"
2021,10,0,"46,988","46,988"
2021,10,10,"45,193","45,193"
2021,10,20,"38,180","38,180"
2021,10,30,"61,258","61,258"
2021,10,40,"71,910","71,910"
2021,10,50,"48,087","48,087"
2021,10,60,"33,152","33,152"
2021,10,70,"14,694","14,694"
2021,10,80,"7,488","7,488"
2021,10,90,"1,287","1,287"
2021,10,100,39,39
2021,11,총,"369,465","369,465"
2021,11,0,"46,913","46,913"
2021,11,10,"45,439","45,439"
2021,11,20,"38,251","38,251"
2021,11,30,"61,298","61,298"
2021,11,40,"72,186","72,186"
2021,11,50,"48,474","48,474"
2021,11,60,"33,344","33,344"
2021,11,70,"14,704","14,704"
2021,11,80,"7,533","7,533"
2021,11,90,"1,285","1,285"
2021,11,100,38,38
2021,12,총,"371,895","371,895"
2021,12,0,"47,063","47,063"
2021,12,10,"45,794","45,794"
2021,12,20,"38,510","38,510"
2021,12,30,"61,719","61,719"
2021,12,40,"72,764","72,764"
2021,12,50,"48,876","48,876"
2021,12,60,"33,522","33,522"
2021,12,70,"14,775","14,775"
2021,12,80,"7,557","7,557"
2021,12,90,"1,288","1,288"
2021,12,100,27,27
