년도,월,나이,중구,소공동,회현동,명동,필동,장충동,광희동,을지로동,신당동,다산동,약수동,청구동,신당제5동,동화동,황학동,중림동
2020,3,0,"3,541",91,93,38,89,89,68,24,162,298,631,406,319,364,361,508
2020,3,10,"3,613",83,126,91,83,181,91,20,148,419,506,462,302,451,270,380
2020,3,20,"9,576",122,279,185,328,543,371,115,686,"1,215","1,027","1,015",879,770,"1,252",789
2020,3,30,"10,187",235,280,204,271,315,333,120,606,"1,107","1,354","1,122",865,749,"1,425","1,201"
2020,3,40,"9,078",220,304,257,216,277,278,66,512,"1,068","1,274","1,071",784,838,935,978
2020,3,50,"10,313",150,403,302,272,294,380,104,654,"1,217","1,552","1,229",885,"1,029",897,945
2020,3,60,"8,601",101,430,297,319,258,408,127,488,"1,042","1,382",983,654,673,763,676
2020,3,70,"5,765",56,273,215,182,217,252,86,335,677,920,710,468,430,449,495
2020,3,80,"2,940",28,148,103,111,110,117,38,146,308,493,374,214,268,225,257
2020,3,90,591,7,51,18,37,22,20,15,37,60,106,63,32,40,35,48
2020,3,100,131,4,23,6,6,3,9,6,5,10,6,4,11,11,9,18
2020,4,총,"64,356","1,095","2,414","1,717","1,923","2,309","2,344",723,"3,787","7,416","9,246","7,426","5,444","5,596","6,623","6,293"
2020,4,0,"3,524",89,93,38,91,89,71,26,162,299,624,399,315,359,358,511
2020,4,10,"3,601",83,127,92,79,179,92,21,147,411,508,458,299,448,276,381
2020,4,20,"9,613",124,286,185,337,546,374,112,689,"1,228","1,037","1,019",891,758,"1,250",777
2020,4,30,"10,175",232,278,204,274,314,337,117,606,"1,098","1,349","1,122",875,737,"1,432","1,200"
2020,4,40,"9,047",216,303,251,212,278,278,70,515,"1,060","1,264","1,072",778,838,930,982
2020,4,50,"10,312",153,401,305,271,295,381,105,642,"1,219","1,550","1,216",901,"1,030",895,948
2020,4,60,"8,621",103,424,301,323,259,412,127,494,"1,043","1,380",993,657,676,755,674
2020,4,70,"5,785",55,279,213,182,212,245,86,342,679,927,704,472,428,460,501
2020,4,80,"2,949",29,149,104,112,111,124,39,147,307,495,374,213,269,223,253
2020,4,90,596,7,50,18,36,23,21,14,38,62,106,64,32,42,35,48
2020,4,100,133,4,24,6,6,3,9,6,5,10,6,5,11,11,9,18
2020,5,총,"64,373","1,090","2,416","1,726","1,931","2,308","2,365",724,"3,802","7,404","9,196","7,442","5,463","5,599","6,622","6,285"
2020,5,0,"3,503",90,95,38,91,88,72,26,161,287,615,395,316,357,359,513
2020,5,10,"3,579",81,119,95,82,180,99,22,145,404,506,456,299,439,276,376
2020,5,20,"9,643",127,289,188,344,551,381,112,696,"1,243","1,026","1,031",892,760,"1,236",767
2020,5,30,"10,148",222,282,202,274,315,342,115,615,"1,089","1,327","1,119",879,732,"1,441","1,194"
2020,5,40,"9,065",220,299,254,209,273,279,69,509,"1,060","1,271","1,069",777,846,940,990
2020,5,50,"10,295",153,398,304,270,295,378,107,642,"1,218","1,532","1,219",905,"1,037",883,954
2020,5,60,"8,631",102,429,303,321,259,410,127,502,"1,041","1,384",993,653,676,758,673
2020,5,70,"5,826",55,281,211,186,211,250,88,341,681,924,718,481,431,466,502
2020,5,80,"2,956",29,150,106,112,111,126,39,147,309,498,374,216,268,220,251
2020,5,90,595,7,50,19,36,22,19,13,39,62,108,63,33,43,35,46
2020,5,100,132,4,24,6,6,3,9,6,5,10,5,5,12,10,8,19
2020,6,총,"64,395","1,084","2,420","1,721","1,933","2,321","2,375",715,"3,811","7,427","9,197","7,435","5,455","5,597","6,620","6,284"
2020,6,0,"3,496",88,90,37,93,90,71,26,158,289,614,394,315,355,360,516
2020,6,10,"3,560",80,119,94,88,175,96,23,144,404,496,457,296,444,269,375
2020,6,20,"9,654",125,287,191,340,569,392,108,707,"1,235","1,030","1,032",887,751,"1,239",761
2020,6,30,"10,174",225,288,198,272,316,345,116,620,"1,102","1,329","1,114",874,731,"1,452","1,192"
2020,6,40,"9,037",217,299,251,211,275,280,68,499,"1,065","1,264","1,053",778,855,938,984
2020,6,50,"10,276",151,403,302,269,292,374,104,649,"1,220","1,525","1,220",904,"1,027",875,961
2020,6,60,"8,660",103,426,302,321,258,410,123,504,"1,039","1,398","1,002",659,688,757,670
2020,6,70,"5,851",55,282,214,186,212,250,90,339,689,928,718,482,428,470,508
2020,6,80,"2,956",29,151,106,113,109,129,38,147,312,498,375,214,266,218,251
2020,6,90,598,7,51,20,34,22,19,13,39,62,110,65,34,42,34,46
2020,6,100,133,4,24,6,6,3,9,6,5,10,5,5,12,10,8,20
2020,7,총,"64,326","1,074","2,426","1,711","1,938","2,315","2,384",726,"3,824","7,387","9,167","7,419","5,467","5,579","6,624","6,285"
2020,7,0,"3,488",85,93,38,93,87,71,27,160,286,609,391,318,354,356,520
2020,7,10,"3,542",81,120,91,87,169,97,22,145,397,492,457,292,441,273,378
2020,7,20,"9,667",127,281,191,346,573,403,111,709,"1,237","1,028","1,028",890,743,"1,245",755
2020,7,30,"10,142",219,290,199,271,318,340,122,620,"1,092","1,319","1,107",879,725,"1,443","1,198"
2020,7,40,"9,009",217,301,251,213,271,278,70,497,"1,048","1,261","1,053",785,852,933,979
2020,7,50,"10,276",153,405,295,268,291,375,103,653,"1,217","1,525","1,221",901,"1,022",884,963
2020,7,60,"8,648",101,421,301,322,258,407,122,509,"1,039","1,392",996,666,693,754,667
2020,7,70,"5,854",52,286,214,184,215,256,91,342,687,927,718,477,426,474,505
2020,7,80,"2,966",28,154,105,114,108,128,39,145,312,497,378,213,271,220,254
2020,7,90,599,7,51,20,33,22,20,13,39,61,112,65,33,43,34,46
2020,7,100,135,4,24,6,7,3,9,6,5,11,5,5,13,9,8,20
2020,8,총,"64,339","1,066","2,428","1,695","1,947","2,320","2,393",728,"3,817","7,403","9,144","7,424","5,471","5,584","6,619","6,300"
2020,8,0,"3,466",81,91,39,93,86,68,25,157,287,606,389,314,354,357,519
2020,8,10,"3,512",80,118,87,85,166,97,22,146,396,486,453,282,439,274,381
2020,8,20,"9,683",128,279,183,345,578,415,117,705,"1,245","1,022","1,032",909,742,"1,237",746
2020,8,30,"10,159",221,290,198,282,315,337,122,625,"1,094","1,306","1,109",874,727,"1,452","1,207"
2020,8,40,"8,965",209,303,250,211,270,282,70,485,"1,048","1,262","1,043",781,852,925,974
2020,8,50,"10,259",157,398,290,271,293,372,97,653,"1,219","1,519","1,225",899,"1,015",881,970
2020,8,60,"8,711",99,430,305,322,263,407,124,508,"1,039","1,400","1,009",676,696,759,674
2020,8,70,"5,861",52,289,211,185,213,256,92,346,687,928,714,480,430,470,508
2020,8,80,"2,982",27,155,106,112,111,131,40,146,315,496,380,212,277,220,254
2020,8,90,606,8,51,20,34,22,19,13,41,62,114,65,31,43,36,47
2020,8,100,135,4,24,6,7,3,9,6,5,11,5,5,13,9,8,20
2020,9,총,"64,274","1,062","2,429","1,691","1,949","2,325","2,403",736,"3,807","7,399","9,129","7,425","5,448","5,557","6,619","6,295"
2020,9,0,"3,432",76,89,38,92,86,68,25,154,286,600,395,311,347,353,512
2020,9,10,"3,459",82,119,81,80,165,98,22,141,393,480,441,275,437,270,375
2020,9,20,"9,678",127,277,188,351,581,426,114,700,"1,243","1,021","1,035",903,736,"1,225",751
2020,9,30,"10,164",224,290,199,288,314,333,125,627,"1,094","1,297","1,127",867,726,"1,454","1,199"
2020,9,40,"8,938",211,304,242,210,270,287,70,484,"1,045","1,263","1,031",784,834,926,977
2020,9,50,"10,257",152,402,294,269,295,367,102,646,"1,227","1,519","1,224",895,"1,014",889,962
2020,9,60,"8,719",99,426,306,322,262,407,128,513,"1,035","1,402","1,006",677,695,758,683
2020,9,70,"5,879",54,290,209,186,215,258,91,351,679,926,718,481,436,475,510
2020,9,80,"2,991",27,156,108,110,112,129,40,143,322,500,378,209,278,224,255
2020,9,90,621,6,52,20,34,22,21,12,43,64,116,65,33,45,37,51
2020,9,100,136,4,24,6,7,3,9,7,5,11,5,5,13,9,8,20
2020,10,총,"64,209","1,050","2,433","1,683","1,954","2,320","2,439",735,"3,812","7,394","9,125","7,411","5,410","5,544","6,617","6,282"
2020,10,0,"3,393",78,88,36,89,86,68,25,153,284,598,395,296,342,352,503
2020,10,10,"3,440",80,116,76,80,159,96,22,132,390,478,444,276,439,272,380
2020,10,20,"9,723",132,281,194,362,583,454,111,709,"1,240","1,018","1,035",901,732,"1,222",749
2020,10,30,"10,114",217,293,197,277,312,342,130,630,"1,091","1,293","1,116",853,720,"1,458","1,185"
2020,10,40,"8,901",207,304,241,213,269,288,70,482,"1,035","1,256","1,020",777,826,928,985
2020,10,50,"10,225",147,401,290,266,294,369,98,650,"1,228","1,508","1,220",894,"1,018",883,959
2020,10,60,"8,764",101,427,307,325,266,407,130,512,"1,045","1,424","1,009",676,698,759,678
2020,10,70,"5,891",51,293,210,188,214,256,89,353,679,929,719,482,438,474,516
2020,10,80,"3,004",27,155,106,113,113,129,41,143,327,503,383,210,276,223,255
2020,10,90,619,6,52,21,34,21,21,12,43,64,113,64,32,46,38,52
2020,10,100,135,4,23,5,7,3,9,7,5,11,5,6,13,9,8,20
2020,11,총,"64,142","1,047","2,427","1,671","1,962","2,315","2,484",734,"3,833","7,376","9,100","7,398","5,410","5,529","6,579","6,277"
2020,11,0,"3,354",76,92,34,89,85,63,25,155,281,588,393,291,337,353,492
2020,11,10,"3,402",80,114,72,78,151,96,23,135,385,469,442,274,436,268,379
2020,11,20,"9,757",128,281,194,369,585,488,110,714,"1,234","1,022","1,043",897,727,"1,213",752
2020,11,30,"10,080",218,290,190,279,316,353,129,636,"1,090","1,288","1,100",856,724,"1,428","1,183"
2020,11,40,"8,867",207,304,243,211,266,282,67,483,"1,031","1,254","1,014",773,822,931,979
2020,11,50,"10,191",148,401,289,268,294,378,99,652,"1,218","1,495","1,218",893,"1,009",870,959
2020,11,60,"8,822",103,425,311,325,265,405,129,510,"1,055","1,436","1,016",682,701,776,683
2020,11,70,"5,896",51,294,205,185,215,259,90,355,681,922,724,485,439,473,518
2020,11,80,"3,016",26,151,107,117,114,130,42,145,326,511,376,212,278,222,259
2020,11,90,620,6,52,20,34,21,21,13,43,64,110,66,34,47,37,52
2020,11,100,137,4,23,6,7,3,9,7,5,11,5,6,13,9,8,21
2020,12,총,"64,018","1,042","2,416","1,672","1,951","2,305","2,520",720,"3,843","7,336","9,062","7,388","5,405","5,513","6,579","6,266"
2020,12,0,"3,331",74,90,31,90,84,62,25,154,283,574,388,289,335,354,498
2020,12,10,"3,365",78,113,73,76,149,98,23,140,378,468,441,271,423,260,374
2020,12,20,"9,735",128,285,198,356,583,516,105,715,"1,224","1,009","1,034",901,725,"1,214",742
2020,12,30,"10,080",215,284,192,278,317,362,126,642,"1,081","1,281","1,108",863,723,"1,423","1,185"
2020,12,40,"8,789",208,300,241,218,262,281,69,482,"1,018","1,237",998,761,816,931,967
2020,12,50,"10,194",148,399,290,264,294,377,95,650,"1,217","1,492","1,226",891,"1,016",874,961
2020,12,60,"8,837",104,427,308,322,266,400,127,511,"1,058","1,445","1,013",686,702,779,689
2020,12,70,"5,894",51,294,206,185,211,262,90,356,678,923,729,482,439,474,514
2020,12,80,"3,036",25,150,106,119,116,130,40,145,324,519,381,215,278,225,263
2020,12,90,617,7,51,21,36,20,23,13,43,64,109,63,33,46,36,52
2020,12,100,140,4,23,6,7,3,9,7,5,11,5,7,13,10,9,21
2021,1,총,"63,916","1,047","2,400","1,665","1,959","2,289","2,560",722,"3,851","7,328","8,995","7,359","5,405","5,507","6,583","6,246"
2021,1,0,"3,273",75,87,33,93,83,61,24,154,275,559,377,285,325,354,488
2021,1,10,"3,366",79,110,69,76,151,96,23,140,378,459,440,266,434,265,380
2021,1,20,"9,708",131,287,196,357,572,551,110,698,"1,222","1,003","1,028",903,717,"1,200",733
2021,1,30,"10,041",216,280,194,280,309,363,128,658,"1,077","1,249","1,106",863,718,"1,427","1,173"
2021,1,40,"8,777",212,297,237,224,266,285,69,482,"1,008","1,236",987,757,815,935,967
2021,1,50,"10,188",147,399,289,262,290,380,92,646,"1,226","1,488","1,231",892,"1,020",872,954
2021,1,60,"8,875",101,424,306,321,267,400,126,522,"1,061","1,443","1,018",691,706,787,702
2021,1,70,"5,886",51,291,205,186,212,264,91,352,679,923,725,485,438,473,511
2021,1,80,"3,048",25,152,109,119,115,129,38,149,327,524,378,218,278,220,267
2021,1,90,613,6,50,21,34,21,22,14,45,64,106,61,33,46,40,50
2021,1,100,141,4,23,6,7,3,9,7,5,11,5,8,12,10,10,21
2021,2,총,"63,818","1,077","2,399","1,668","1,965","2,256","2,597",730,"3,859","7,318","8,951","7,329","5,396","5,484","6,587","6,202"
2021,2,0,"3,222",80,87,32,89,85,62,24,150,266,548,370,281,316,355,477
2021,2,10,"3,376",81,112,69,80,149,104,24,149,376,459,439,270,433,260,371
2021,2,20,"9,710",134,286,199,361,546,569,113,723,"1,229",996,"1,023",895,705,"1,213",718
2021,2,30,"9,986",224,276,196,285,309,372,136,647,"1,070","1,231","1,091",861,716,"1,417","1,155"
2021,2,40,"8,742",218,296,236,223,261,286,72,473,999,"1,234",986,753,811,931,963
2021,2,50,"10,174",152,405,290,259,287,379,90,642,"1,233","1,484","1,214",894,"1,018",867,960
2021,2,60,"8,908",101,417,307,322,266,398,124,521,"1,064","1,447","1,028",693,713,798,709
2021,2,70,"5,877",50,294,203,187,211,263,90,349,678,920,728,479,438,474,513
2021,2,80,"3,067",27,152,110,118,117,133,36,154,332,521,382,225,276,220,264
2021,2,90,614,6,50,20,34,22,22,14,46,60,106,60,33,48,42,51
2021,2,100,142,4,24,6,7,3,9,7,5,11,5,8,12,10,10,21
2021,3,총,"63,701","1,093","2,400","1,679","1,935","2,268","2,609",720,"3,857","7,285","8,931","7,307","5,397","5,461","6,588","6,171"
2021,3,0,"3,193",76,84,34,86,89,63,24,151,259,536,367,284,311,349,480
2021,3,10,"3,388",83,115,73,86,147,103,23,147,373,463,440,271,430,264,370
2021,3,20,"9,741",146,282,197,372,550,579,113,731,"1,230","1,003","1,002",896,704,"1,230",706
2021,3,30,"9,933",221,279,203,277,309,382,135,637,"1,051","1,222","1,086",862,711,"1,405","1,153"
2021,3,40,"8,690",223,296,234,208,268,285,72,479,997,"1,224",978,749,798,926,953
2021,3,50,"10,129",155,403,289,252,286,375,86,634,"1,223","1,482","1,221",892,"1,014",866,951
2021,3,60,"8,945",102,422,309,306,266,397,125,525,"1,072","1,455","1,030",699,721,805,711
2021,3,70,"5,856",50,292,202,187,213,262,89,345,674,912,729,475,435,480,511
2021,3,80,"3,088",27,153,111,120,117,131,36,157,332,524,389,229,279,217,266
2021,3,90,615,6,50,21,34,20,23,13,47,63,105,59,34,49,42,49
2021,3,100,123,4,24,6,7,3,9,4,4,11,5,6,6,9,4,21
2021,4,총,"63,690","1,125","2,401","1,680","1,932","2,272","2,615",708,"3,857","7,262","8,936","7,320","5,385","5,443","6,580","6,174"
2021,4,0,"3,189",76,85,34,84,87,63,24,148,254,532,371,283,309,350,489
2021,4,10,"3,365",83,119,72,85,140,103,20,149,369,469,436,267,429,260,364
2021,4,20,"9,724",149,276,195,369,559,577,110,737,"1,232","1,003","1,003",898,696,"1,217",703
2021,4,30,"9,967",245,281,199,288,312,385,133,631,"1,051","1,225","1,085",856,710,"1,409","1,157"
2021,4,40,"8,692",226,295,241,205,269,290,72,476,991,"1,221",978,748,797,926,957
2021,4,50,"10,095",151,399,291,252,291,373,82,637,"1,210","1,480","1,221",894,"1,010",861,943
2021,4,60,"8,965",106,422,308,304,266,395,126,526,"1,075","1,462","1,037",693,721,813,711
2021,4,70,"5,846",52,294,201,183,206,264,88,347,669,908,733,478,431,480,512
2021,4,80,"3,094",27,156,110,119,119,131,36,155,338,524,388,229,282,215,265
2021,4,90,629,6,50,22,36,20,25,13,47,62,107,62,33,49,45,52
2021,4,100,124,4,24,7,7,3,9,4,4,11,5,6,6,9,4,21
2021,5,총,"63,027","1,135","2,294","1,621","1,945","2,241","2,548",674,"3,801","7,218","8,912","7,247","5,334","5,381","6,563","6,113"
2021,5,0,"3,160",72,85,34,85,86,59,22,147,252,524,362,284,309,351,488
2021,5,10,"3,341",83,117,73,84,136,101,21,149,363,467,436,265,424,261,361
2021,5,20,"9,753",160,268,195,370,557,588,114,731,"1,244","1,025",993,895,686,"1,227",700
2021,5,30,"9,994",248,280,198,294,311,389,129,636,"1,035","1,250","1,088",860,711,"1,416","1,149"
2021,5,40,"8,632",231,299,235,210,264,294,65,469,988,"1,213",972,743,782,911,956
2021,5,50,"10,003",148,396,279,251,293,363,79,626,"1,207","1,471","1,199",883,"1,005",867,936
2021,5,60,"8,845",105,419,292,306,263,371,120,514,"1,063","1,448","1,039",676,719,799,711
2021,5,70,"5,685",54,261,194,182,195,248,78,343,662,892,709,471,418,476,502
2021,5,80,"2,997",26,129,101,121,119,116,36,149,335,514,386,221,277,209,258
2021,5,90,573,6,39,17,35,16,18,10,37,60,107,62,33,44,45,44
2021,5,100,44,2,1,3,7,1,1,0,0,9,1,1,3,6,1,8
2021,6,총,"62,997","1,146","2,298","1,610","1,967","2,242","2,538",668,"3,807","7,191","8,954","7,235","5,315","5,375","6,565","6,086"
2021,6,0,"3,142",75,87,33,83,85,59,22,148,251,523,358,278,308,349,483
2021,6,10,"3,343",83,117,72,88,133,105,21,152,362,470,432,270,427,254,357
2021,6,20,"9,748",156,263,200,376,562,581,115,735,"1,224","1,036",984,896,684,"1,234",702
2021,6,30,"9,947",257,283,188,305,308,382,129,634,"1,034","1,259","1,088",828,697,"1,410","1,145"
2021,6,40,"8,673",239,303,232,212,268,294,64,473,980,"1,218",976,757,785,912,960
2021,6,50,"9,960",153,392,278,249,293,358,76,625,"1,201","1,473","1,183",876,"1,006",877,920
2021,6,60,"8,883",99,425,293,309,264,374,118,513,"1,059","1,457","1,052",683,721,803,713
2021,6,70,"5,668",53,257,193,181,194,248,76,340,668,892,709,468,418,470,501
2021,6,80,"3,013",25,131,100,122,117,118,37,150,341,516,390,224,280,210,252
2021,6,90,577,5,39,18,35,17,18,10,37,62,109,62,32,43,45,45
2021,6,100,43,1,1,3,7,1,1,0,0,9,1,1,3,6,1,8
2021,7,총,"63,006","1,143","2,309","1,604","1,987","2,244","2,539",673,"3,815","7,174","8,966","7,211","5,324","5,374","6,547","6,096"
2021,7,0,"3,118",75,86,34,82,85,60,22,147,247,521,350,279,306,345,479
2021,7,10,"3,346",83,118,69,90,134,102,22,156,361,470,435,270,427,252,357
2021,7,20,"9,764",158,263,201,385,560,588,115,732,"1,207","1,063",978,891,689,"1,231",703
2021,7,30,"9,973",259,287,187,314,306,378,131,646,"1,045","1,260","1,073",841,699,"1,401","1,146"
2021,7,40,"8,629",235,308,233,212,271,295,68,472,970,"1,205",961,751,780,908,960
2021,7,50,"9,965",152,391,273,249,293,360,77,621,"1,194","1,472","1,197",883,994,884,925
2021,7,60,"8,892",102,431,287,308,264,371,116,511,"1,063","1,452","1,056",683,733,799,716
2021,7,70,"5,668",47,258,198,183,196,249,73,341,670,890,708,471,412,470,502
2021,7,80,"3,024",26,127,101,122,115,118,39,152,346,518,389,223,284,210,254
2021,7,90,584,5,39,18,35,19,17,10,37,62,114,63,29,44,46,46
2021,7,100,43,1,1,3,7,1,1,0,0,9,1,1,3,6,1,8
2021,8,총,"62,984","1,160","2,318","1,608","1,986","2,252","2,548",670,"3,805","7,185","8,950","7,187","5,314","5,368","6,535","6,098"
2021,8,0,"3,095",78,88,33,81,86,61,20,143,251,514,342,268,305,348,477
2021,8,10,"3,330",82,119,71,91,132,99,21,156,362,464,429,276,423,250,355
2021,8,20,"9,790",162,264,207,387,560,603,119,731,"1,197","1,072",984,901,685,"1,216",702
2021,8,30,"9,970",267,295,183,312,315,373,129,654,"1,051","1,243","1,066",839,695,"1,402","1,146"
2021,8,40,"8,596",235,304,233,209,269,294,66,467,971,"1,207",955,746,780,901,959
2021,8,50,"9,949",156,394,277,248,291,356,75,607,"1,193","1,467","1,194",880,991,890,930
2021,8,60,"8,931",101,430,286,309,266,379,121,517,"1,066","1,452","1,058",684,741,800,721
2021,8,70,"5,646",47,255,197,185,196,248,70,340,673,891,702,461,415,469,497
2021,8,80,"3,045",26,128,98,121,117,117,39,152,350,527,393,227,283,211,256
2021,8,90,588,5,40,20,36,19,17,10,38,62,111,63,29,44,47,47
2021,8,100,44,1,1,3,7,1,1,0,0,9,2,1,3,6,1,8
2021,9,총,"63,005","1,164","2,328","1,622","1,997","2,249","2,534",677,"3,859","7,148","8,954","7,192","5,326","5,334","6,522","6,099"
2021,9,0,"3,076",80,91,34,80,87,60,21,151,249,498,340,267,290,345,483
2021,9,10,"3,337",82,119,71,92,130,99,22,161,363,467,429,285,415,248,354
2021,9,20,"9,799",160,267,212,389,559,599,118,752,"1,175","1,072",985,903,690,"1,214",704
2021,9,30,"9,988",268,295,186,320,317,367,134,665,"1,053","1,243","1,064",838,685,"1,408","1,145"
2021,9,40,"8,563",235,307,235,207,272,294,66,467,954,"1,217",949,749,774,894,943
2021,9,50,"9,942",161,395,276,251,283,348,74,605,"1,191","1,473","1,208",878,984,884,931
2021,9,60,"8,967",97,429,289,309,267,387,123,527,"1,063","1,456","1,057",685,749,802,727
2021,9,70,"5,624",48,256,196,184,190,244,68,342,673,886,697,465,412,465,498
2021,9,80,"3,072",27,129,98,122,124,118,40,152,356,530,395,226,284,211,260
2021,9,90,593,5,39,22,36,19,17,11,37,62,110,67,27,45,50,46
2021,9,100,44,1,1,3,7,1,1,0,0,9,2,1,3,6,1,8
2021,10,총,"62,979","1,170","2,320","1,619","1,994","2,259","2,555",692,"3,881","7,119","8,922","7,190","5,326","5,323","6,537","6,072"
2021,10,0,"3,060",80,90,32,78,87,60,22,150,247,491,345,269,281,350,478
2021,10,10,"3,317",88,119,70,94,127,96,22,158,365,461,423,283,415,243,353
2021,10,20,"9,791",158,264,212,381,570,607,120,760,"1,166","1,064",979,899,686,"1,226",699
2021,10,30,"10,005",270,295,188,326,312,389,139,679,"1,042","1,226","1,071",837,680,"1,421","1,130"
2021,10,40,"8,550",236,308,232,206,271,291,73,468,945,"1,218",946,755,766,891,944
2021,10,50,"9,914",158,391,276,252,287,348,74,607,"1,185","1,466","1,205",868,987,881,929
2021,10,60,"9,000",99,429,293,307,269,385,125,525,"1,071","1,456","1,069",691,751,799,731
2021,10,70,"5,617",48,255,193,183,190,245,67,340,673,886,693,466,415,465,498
2021,10,80,"3,097",27,129,97,124,125,116,40,155,357,541,394,229,289,213,261
2021,10,90,590,5,39,24,36,20,17,10,39,60,111,64,27,47,47,44
2021,10,100,38,1,1,2,7,1,1,0,0,8,2,1,2,6,1,5
2021,11,총,"62,930","1,172","2,314","1,612","1,981","2,265","2,553",692,"3,880","7,098","8,924","7,168","5,330","5,316","6,579","6,046"
2021,11,0,"3,053",84,84,32,78,86,61,20,147,244,496,344,268,284,352,473
2021,11,10,"3,288",87,118,70,96,125,97,19,155,365,460,420,276,412,242,346
2021,11,20,"9,809",158,268,210,381,575,613,123,754,"1,161","1,055",968,907,685,"1,257",694
2021,11,30,"9,993",267,293,186,322,313,389,141,688,"1,048","1,232","1,064",841,671,"1,419","1,119"
2021,11,40,"8,532",242,307,229,204,273,282,69,468,935,"1,220",945,747,768,897,946
2021,11,50,"9,900",154,389,273,251,286,348,77,604,"1,176","1,463","1,202",872,987,885,933
2021,11,60,"9,023",98,432,296,304,270,387,123,529,"1,075","1,463","1,073",693,748,800,732
2021,11,70,"5,598",50,252,189,181,191,242,69,336,673,885,686,467,414,469,494
2021,11,80,"3,118",26,131,100,123,126,116,41,160,356,542,402,230,295,211,259
2021,11,90,584,5,40,25,34,19,17,10,39,62,106,63,27,46,46,45
2021,11,100,32,1,0,2,7,1,1,0,0,3,2,1,2,6,1,5
2021,12,총,"62,869","1,173","2,296","1,622","1,978","2,239","2,567",690,"3,891","7,086","8,926","7,150","5,312","5,310","6,579","6,050"
2021,12,0,"3,034",84,83,33,80,83,65,17,147,241,498,338,265,281,342,477
2021,12,10,"3,268",84,118,69,96,120,97,20,151,360,460,422,272,412,243,344
2021,12,20,"9,832",163,264,214,382,573,615,129,769,"1,175","1,051",958,903,684,"1,259",693
2021,12,30,"9,977",271,287,189,321,305,390,137,682,"1,045","1,231","1,064",841,675,"1,417","1,122"
2021,12,40,"8,481",238,300,227,205,265,282,64,468,924,"1,213",933,743,769,903,947
2021,12,50,"9,877",151,385,277,250,287,350,76,605,"1,174","1,459","1,209",867,983,883,921
2021,12,60,"9,060",101,428,298,303,268,388,124,529,"1,079","1,473","1,077",694,753,801,744
2021,12,70,"5,588",49,257,191,181,194,247,72,337,665,881,684,468,407,465,490
2021,12,80,"3,146",26,132,101,125,126,116,41,164,358,550,399,228,300,219,261
2021,12,90,591,5,41,23,35,18,17,10,39,63,108,65,29,46,45,47
2021,12,100,15,1,1,0,0,0,0,0,0,2,2,1,2,0,2,4
