년도,월,나이,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020,4,90,791,132,39,36,44,60,38,38,75,47,45,65,56,56,60
2020,4,100,41,2,2,2,4,2,1,1,5,5,4,5,2,2,4
2020,5,총,"69,588","24,891","2,994","3,296","2,889","6,270","2,862","2,047","3,081","2,200","2,456","4,931","3,883","4,134","3,654"
2020,5,0,"4,247","2,403",107,144,79,312,107,51,106,81,87,203,212,211,144
2020,5,10,"5,415","2,998",153,156,150,385,177,105,175,92,124,263,197,239,201
2020,5,20,"5,621","2,685",221,202,159,480,184,116,203,100,151,299,265,274,282
2020,5,30,"5,329","2,697",189,222,138,431,150,89,141,108,113,292,270,255,234
2020,5,40,"8,250","3,852",284,328,269,669,258,189,337,213,238,404,409,408,392
2020,5,50,"11,873","4,095",555,541,509,"1,124",470,336,530,335,434,912,659,741,632
2020,5,60,"12,052","3,116",614,658,630,"1,172",579,405,556,448,466,"1,112",714,835,747
2020,5,70,"10,025","1,987",511,634,562,"1,036",562,423,566,417,474,835,708,722,588
2020,5,80,"5,932",921,319,374,343,597,335,294,385,353,321,539,391,391,369
2020,5,90,801,135,39,35,46,61,39,38,76,48,44,67,56,56,61
2020,5,100,43,2,2,2,4,3,1,1,6,5,4,5,2,2,4
2020,6,총,"69,465","24,858","2,996","3,290","2,876","6,264","2,867","2,039","3,068","2,188","2,448","4,931","3,860","4,125","3,655"
2020,6,0,"4,223","2,391",107,142,76,311,107,50,105,83,88,205,208,203,147
2020,6,10,"5,382","2,981",153,154,148,381,175,105,172,90,126,262,197,235,203
2020,6,20,"5,599","2,672",225,199,156,483,187,114,200,100,150,295,258,279,281
2020,6,30,"5,310","2,688",190,220,136,428,149,86,144,109,111,291,265,260,233
2020,6,40,"8,219","3,845",288,325,268,663,259,183,338,208,233,411,403,404,391
2020,6,50,"11,796","4,075",545,538,503,"1,125",469,337,521,330,435,902,652,736,628
2020,6,60,"12,104","3,136",619,662,630,"1,171",586,408,557,447,465,"1,115",718,837,753
2020,6,70,"10,059","2,010",515,637,565,"1,035",559,421,565,416,473,846,707,723,587
2020,6,80,"5,938",924,313,378,344,602,337,296,384,353,319,536,393,390,369
2020,6,90,790,134,39,33,46,62,38,38,76,47,44,63,57,56,57
2020,6,100,45,2,2,2,4,3,1,1,6,5,4,5,2,2,6
2020,7,총,"69,399","24,871","2,978","3,302","2,863","6,253","2,873","2,041","3,063","2,193","2,441","4,907","3,843","4,118","3,653"
2020,7,0,"4,202","2,389",101,144,73,311,106,47,106,82,89,202,206,200,146
2020,7,10,"5,374","2,979",156,156,148,379,172,109,167,89,127,259,199,232,202
2020,7,20,"5,591","2,676",224,201,155,483,189,113,202,102,144,291,254,281,276
2020,7,30,"5,288","2,681",185,217,136,428,147,87,143,111,108,288,258,260,239
2020,7,40,"8,192","3,837",282,327,269,659,259,181,341,206,235,410,399,404,383
2020,7,50,"11,778","4,091",547,545,495,"1,117",465,337,517,333,435,892,648,728,628
2020,7,60,"12,112","3,133",620,661,625,"1,177",593,406,557,444,461,"1,114",721,842,758
2020,7,70,"10,091","2,032",513,639,568,"1,024",565,425,567,416,475,852,704,724,587
2020,7,80,"5,940",915,308,377,345,614,339,298,380,358,318,536,393,390,369
2020,7,90,786,136,40,34,45,58,37,37,76,47,45,58,59,55,59
2020,7,100,45,2,2,1,4,3,1,1,7,5,4,5,2,2,6
2020,8,총,"69,274","24,874","2,956","3,290","2,864","6,232","2,870","2,031","3,049","2,186","2,443","4,886","3,836","4,107","3,650"
2020,8,0,"4,174","2,378",99,145,74,308,107,47,99,81,89,199,204,200,144
2020,8,10,"5,348","2,971",157,156,149,375,171,106,168,84,123,254,199,232,203
2020,8,20,"5,579","2,687",213,198,156,486,184,116,201,99,144,290,249,279,277
2020,8,30,"5,244","2,673",185,212,141,411,145,86,138,111,108,282,261,249,242
2020,8,40,"8,166","3,834",280,327,268,657,259,178,328,204,237,407,396,405,386
2020,8,50,"11,735","4,089",544,538,494,"1,114",466,332,522,334,431,888,640,724,619
2020,8,60,"12,157","3,149",614,667,625,"1,184",589,409,562,446,468,"1,117",722,846,759
2020,8,70,"10,070","2,028",512,636,564,"1,016",570,423,561,416,475,847,712,726,584
2020,8,80,"5,962",927,309,378,343,618,340,298,388,356,319,537,389,389,371
2020,8,90,794,137,41,32,46,60,38,35,74,50,45,60,62,55,59
2020,8,100,45,1,2,1,4,3,1,1,8,5,4,5,2,2,6
2020,9,총,"69,153","24,898","2,948","3,273","2,845","6,215","2,857","2,020","3,033","2,180","2,443","4,887","3,822","4,087","3,645"
2020,9,0,"4,146","2,375",98,137,68,306,104,46,100,84,88,199,201,200,140
2020,9,10,"5,326","2,965",156,157,145,374,173,105,166,80,124,250,200,228,203
2020,9,20,"5,558","2,694",213,195,156,478,182,116,199,92,141,294,246,279,273
2020,9,30,"5,221","2,674",178,209,137,403,143,84,135,115,109,284,261,248,241
2020,9,40,"8,122","3,829",280,322,262,653,255,177,331,204,235,401,393,394,386
2020,9,50,"11,694","4,097",542,533,497,"1,111",464,325,510,325,430,882,633,726,619
2020,9,60,"12,211","3,165",610,666,625,"1,191",584,412,566,450,474,"1,134",728,840,766
2020,9,70,"10,062","2,024",518,638,567,"1,014",573,421,559,420,471,843,707,725,582
2020,9,80,"5,955",934,309,382,337,620,338,297,384,355,319,533,392,386,369
2020,9,90,812,140,42,33,47,62,40,36,76,50,47,62,58,59,60
2020,9,100,46,1,2,1,4,3,1,1,7,5,5,5,3,2,6
2020,10,총,"69,118","24,970","2,939","3,269","2,846","6,195","2,841","2,025","3,036","2,174","2,438","4,873","3,818","4,059","3,635"
2020,10,0,"4,118","2,383",96,137,68,300,99,46,99,82,84,196,196,190,142
2020,10,10,"5,319","2,970",155,151,145,370,174,105,165,79,123,250,201,227,204
2020,10,20,"5,556","2,717",211,194,153,474,179,117,204,87,141,289,248,271,271
2020,10,30,"5,209","2,682",175,207,135,402,145,86,131,114,113,281,259,241,238
2020,10,40,"8,106","3,831",278,318,260,646,248,181,333,207,236,397,393,391,387
2020,10,50,"11,660","4,084",544,536,501,"1,116",465,321,512,317,429,879,620,721,615
2020,10,60,"12,263","3,196",606,673,627,"1,193",581,410,560,455,474,"1,136",739,846,767
2020,10,70,"10,066","2,030",521,635,566,"1,008",573,421,567,419,467,843,706,729,581
2020,10,80,"5,965",936,308,385,340,621,336,298,385,360,320,534,395,382,365
2020,10,90,810,140,43,32,47,62,40,39,73,49,46,63,58,59,59
2020,10,100,46,1,2,1,4,3,1,1,7,5,5,5,3,2,6
2020,11,총,"68,966","24,936","2,932","3,263","2,839","6,173","2,845","2,020","3,030","2,165","2,416","4,855","3,814","4,049","3,629"
2020,11,0,"4,058","2,365",93,131,62,293,97,44,95,81,79,190,196,191,141
2020,11,10,"5,300","2,964",153,154,145,364,172,103,165,80,126,246,198,227,203
2020,11,20,"5,547","2,721",212,196,151,469,181,118,203,85,138,289,249,269,266
2020,11,30,"5,136","2,642",175,204,135,400,145,82,126,111,114,270,257,236,239
2020,11,40,"8,100","3,849",276,318,257,637,247,179,332,208,230,400,394,390,383
2020,11,50,"11,605","4,063",545,534,498,"1,113",468,321,511,313,425,873,615,713,613
2020,11,60,"12,323","3,226",604,675,628,"1,203",582,412,569,453,468,"1,141",744,850,768
2020,11,70,"10,069","2,025",522,634,567,"1,011",578,425,565,421,465,840,703,732,581
2020,11,80,"5,958",939,305,386,344,615,333,295,385,357,319,537,397,379,367
2020,11,90,824,141,45,30,48,65,41,40,73,51,47,63,58,60,62
2020,11,100,46,1,2,1,4,3,1,1,6,5,5,6,3,2,6
2020,12,총,"68,806","24,912","2,915","3,244","2,835","6,154","2,823","2,016","3,019","2,160","2,406","4,856","3,795","4,046","3,625"
2020,12,0,"4,004","2,348",91,126,65,288,93,44,91,82,79,187,185,191,134
2020,12,10,"5,273","2,956",152,146,144,362,169,100,161,80,125,246,198,230,204
2020,12,20,"5,546","2,719",212,197,147,474,180,120,202,84,139,285,252,268,267
2020,12,30,"5,076","2,621",165,200,133,399,140,82,127,110,107,271,251,233,237
2020,12,40,"8,057","3,841",269,320,254,628,242,178,329,204,233,398,387,389,385
2020,12,50,"11,582","4,054",549,531,494,"1,108",469,319,510,313,423,870,619,715,608
2020,12,60,"12,356","3,250",604,670,638,"1,200",579,413,564,453,467,"1,154",745,845,774
2020,12,70,"10,057","2,029",520,635,561,"1,007",580,422,568,419,466,841,697,731,581
2020,12,80,"5,987",949,306,388,348,622,330,296,388,357,316,537,399,382,369
2020,12,90,823,144,45,30,47,63,40,41,73,53,46,61,59,60,61
2020,12,100,45,1,2,1,4,3,1,1,6,5,5,6,3,2,5
2021,1,총,"68,736","24,927","2,925","3,224","2,808","6,151","2,817","2,017","3,019","2,154","2,409","4,847","3,782","4,040","3,616"
2021,1,0,"3,962","2,325",94,125,63,288,93,45,87,81,78,182,186,187,128
2021,1,10,"5,263","2,961",153,139,142,361,170,96,157,77,123,250,197,235,202
2021,1,20,"5,536","2,732",209,192,143,472,175,126,207,82,137,285,252,260,264
2021,1,30,"5,007","2,584",166,199,129,391,137,78,127,107,109,270,249,233,228
2021,1,40,"8,055","3,843",273,311,244,637,248,169,333,209,234,398,379,389,388
2021,1,50,"11,569","4,080",548,531,494,"1,100",460,331,505,304,420,857,615,712,612
2021,1,60,"12,448","3,279",609,670,638,"1,209",587,410,570,462,473,"1,163",749,848,781
2021,1,70,"10,001","2,019",520,639,555,"1,001",575,423,558,418,463,835,695,727,573
2021,1,80,"6,014",957,302,385,349,626,332,295,396,354,317,541,400,387,373
2021,1,90,836,146,49,32,46,63,39,43,73,55,50,60,58,60,62
2021,1,100,45,1,2,1,5,3,1,1,6,5,5,6,2,2,5
2021,2,총,"68,589","24,848","2,919","3,227","2,808","6,126","2,815","2,017","3,011","2,153","2,415","4,845","3,777","4,027","3,601"
2021,2,0,"3,909","2,287",95,127,62,281,93,44,86,79,77,179,184,184,131
2021,2,10,"5,221","2,939",150,139,141,359,170,93,158,81,122,242,196,232,199
2021,2,20,"5,511","2,720",208,194,147,466,175,129,202,81,137,283,246,264,259
2021,2,30,"4,967","2,556",161,198,129,381,134,79,130,105,109,271,249,235,230
2021,2,40,"8,026","3,832",277,308,244,640,247,164,325,212,235,396,379,382,385
2021,2,50,"11,543","4,098",548,526,490,"1,087",462,333,506,301,422,852,615,696,607
2021,2,60,"12,469","3,288",601,673,637,"1,214",587,411,568,465,473,"1,168",748,859,777
2021,2,70,"9,993","2,021",525,638,556,996,575,424,558,414,465,838,695,718,570
2021,2,80,"6,055",958,301,388,350,631,332,298,402,353,319,551,404,392,376
2021,2,90,849,148,51,35,47,68,39,41,69,57,51,59,59,63,62
2021,2,100,46,1,2,1,5,3,1,1,7,5,5,6,2,2,5
2021,3,총,"68,291","24,750","2,909","3,207","2,790","6,078","2,811","2,012","2,974","2,121","2,419","4,845","3,748","4,026","3,601"
2021,3,0,"3,876","2,270",92,126,62,277,93,44,85,73,78,178,180,188,130
2021,3,10,"5,174","2,917",148,136,133,353,172,91,156,84,120,241,192,232,199
2021,3,20,"5,510","2,738",216,196,145,458,175,125,195,80,142,286,243,262,249
2021,3,30,"4,916","2,514",155,194,128,385,133,78,126,106,112,266,252,239,228
2021,3,40,"7,974","3,846",265,296,240,628,243,165,315,205,231,405,371,380,384
2021,3,50,"11,454","4,065",555,517,485,"1,067",467,333,493,291,423,840,608,694,616
2021,3,60,"12,485","3,293",605,677,635,"1,216",585,419,569,462,471,"1,172",742,861,778
2021,3,70,"9,943","1,998",522,639,554,990,574,420,549,411,464,836,698,718,570
2021,3,80,"6,078",959,300,389,356,637,331,296,410,354,321,556,401,389,379
2021,3,90,841,148,49,37,47,64,37,40,69,54,52,60,60,61,63
2021,3,100,40,2,2,0,5,3,1,1,7,1,5,5,1,2,5
2021,4,총,"68,229","24,734","2,915","3,200","2,784","6,092","2,808","2,005","2,960","2,122","2,411","4,833","3,747","4,013","3,605"
2021,4,0,"3,845","2,249",91,126,64,275,92,42,84,72,75,177,181,185,132
2021,4,10,"5,143","2,909",146,131,130,359,168,91,151,82,122,237,192,231,194
2021,4,20,"5,499","2,737",219,196,141,453,175,125,195,82,140,290,237,263,246
2021,4,30,"4,903","2,511",153,193,126,383,130,77,124,102,113,266,255,235,235
2021,4,40,"7,950","3,831",265,291,240,629,245,162,311,208,227,405,372,383,381
2021,4,50,"11,440","4,074",554,514,482,"1,072",467,331,496,288,421,836,609,684,612
2021,4,60,"12,534","3,312",612,679,637,"1,222",586,420,571,465,470,"1,170",743,863,784
2021,4,70,"9,897","1,996",522,639,556,983,570,415,540,408,461,829,694,710,574
2021,4,80,"6,118",965,301,391,354,645,337,301,412,360,324,554,404,395,375
2021,4,90,859,148,50,39,49,68,37,40,69,54,53,64,59,62,67
2021,4,100,41,2,2,1,5,3,1,1,7,1,5,5,1,2,5
2021,5,총,"68,153","24,712","2,904","3,198","2,779","6,085","2,798","1,996","2,950","2,123","2,417","4,829","3,745","4,013","3,604"
2021,5,0,"3,832","2,235",89,125,63,276,90,42,84,72,74,182,181,185,134
2021,5,10,"5,113","2,895",145,127,127,355,167,89,150,81,123,237,194,231,192
2021,5,20,"5,508","2,749",215,197,146,456,173,126,192,86,138,287,231,262,250
2021,5,30,"4,848","2,481",148,193,123,375,127,74,123,102,111,270,252,238,231
2021,5,40,"7,881","3,796",265,288,236,629,241,160,306,202,229,409,374,374,372
2021,5,50,"11,445","4,091",553,516,482,"1,056",470,330,494,294,423,825,610,686,615
2021,5,60,"12,584","3,333",614,678,632,"1,236",581,421,575,463,474,"1,174",744,869,790
2021,5,70,"9,880","2,005",520,640,560,979,564,415,536,407,461,820,690,708,575
2021,5,80,"6,147",975,303,393,356,651,344,298,413,361,326,550,409,395,373
2021,5,90,874,150,50,40,49,69,40,41,70,54,53,70,59,63,66
2021,5,100,41,2,2,1,5,3,1,0,7,1,5,5,1,2,6
2021,6,총,"68,055","24,689","2,905","3,189","2,782","6,080","2,795","1,995","2,955","2,110","2,405","4,816","3,741","4,001","3,592"
2021,6,0,"3,788","2,218",86,121,63,276,92,42,80,68,72,179,177,186,128
2021,6,10,"5,084","2,886",145,125,126,350,164,88,149,80,123,238,192,225,193
2021,6,20,"5,531","2,762",215,201,146,461,176,127,200,84,136,285,234,258,246
2021,6,30,"4,804","2,464",151,187,123,370,127,74,120,100,104,266,253,237,228
2021,6,40,"7,847","3,778",261,285,232,627,242,161,308,195,233,405,376,374,370
2021,6,50,"11,423","4,099",552,519,482,"1,057",463,330,492,291,417,820,609,681,611
2021,6,60,"12,627","3,354",621,676,633,"1,236",584,417,580,469,473,"1,175",747,869,793
2021,6,70,"9,882","2,009",519,641,563,982,557,412,538,406,460,825,687,708,575
2021,6,80,"6,146",969,301,395,358,647,348,302,411,362,326,548,405,398,376
2021,6,90,882,148,52,38,51,71,41,42,70,54,56,70,60,63,66
2021,6,100,41,2,2,1,5,3,1,0,7,1,5,5,1,2,6
2021,7,총,"67,917","24,657","2,908","3,173","2,771","6,073","2,786","1,976","2,946","2,109","2,393","4,802","3,735","4,001","3,587"
2021,7,0,"3,758","2,207",88,120,63,273,91,38,78,69,70,181,172,185,123
2021,7,10,"5,055","2,869",144,121,125,356,164,86,150,79,124,234,193,223,187
2021,7,20,"5,518","2,781",215,200,145,455,177,122,193,84,130,281,229,257,249
2021,7,30,"4,773","2,453",153,182,127,367,120,72,121,98,104,265,253,234,224
2021,7,40,"7,772","3,760",254,280,224,612,243,155,303,197,229,394,379,372,370
2021,7,50,"11,427","4,110",550,517,481,"1,058",459,330,499,288,410,819,609,685,612
2021,7,60,"12,630","3,351",623,675,630,"1,241",584,409,574,472,477,"1,180",746,869,799
2021,7,70,"9,888","2,011",524,640,560,982,555,416,539,402,460,825,690,711,573
2021,7,80,"6,173",970,304,397,361,653,349,305,414,365,326,547,401,401,380
2021,7,90,882,143,51,40,51,73,43,43,68,54,58,71,61,62,64
2021,7,100,41,2,2,1,4,3,1,0,7,1,5,5,2,2,6
2021,8,총,"67,797","24,626","2,910","3,162","2,771","6,067","2,787","1,961","2,935","2,108","2,386","4,792","3,721","3,988","3,583"
2021,8,0,"3,722","2,188",91,115,66,275,89,35,76,70,67,178,171,179,122
2021,8,10,"5,026","2,859",144,118,125,353,164,82,149,79,125,232,190,219,187
2021,8,20,"5,511","2,775",214,203,144,454,176,123,190,83,131,280,226,261,251
2021,8,30,"4,726","2,433",155,178,125,364,121,70,121,98,101,264,246,231,219
2021,8,40,"7,748","3,755",258,274,228,608,240,153,298,196,228,394,376,371,369
2021,8,50,"11,419","4,112",542,524,478,"1,061",456,327,500,290,411,816,603,674,625
2021,8,60,"12,638","3,355",621,672,630,"1,243",589,410,572,472,475,"1,173",757,871,798
2021,8,70,"9,884","2,020",526,636,557,977,555,414,540,396,460,832,682,716,573
2021,8,80,"6,194",982,305,403,363,657,350,306,414,369,324,544,405,401,371
2021,8,90,887,145,52,38,51,71,46,41,68,54,59,74,63,63,62
2021,8,100,42,2,2,1,4,4,1,0,7,1,5,5,2,2,6
2021,9,총,"67,576","24,561","2,901","3,150","2,770","6,048","2,769","1,950","2,925","2,087","2,374","4,766","3,725","3,971","3,579"
2021,9,0,"3,689","2,179",85,111,62,272,86,35,79,68,65,177,172,176,122
2021,9,10,"5,006","2,850",140,115,127,349,164,79,150,79,125,234,187,220,187
2021,9,20,"5,419","2,735",209,197,147,440,176,123,190,75,130,266,225,258,248
2021,9,30,"4,690","2,427",156,177,123,364,113,69,117,96,95,265,243,227,218
2021,9,40,"7,707","3,741",253,273,227,608,240,151,295,191,225,390,379,365,369
2021,9,50,"11,391","4,104",546,519,477,"1,062",447,322,502,290,409,815,605,671,622
2021,9,60,"12,649","3,365",621,674,634,"1,246",593,412,562,468,474,"1,164",758,877,801
2021,9,70,"9,896","2,026",530,637,560,977,551,413,541,394,461,836,686,710,574
2021,9,80,"6,188",983,301,407,359,656,353,305,413,370,324,539,405,402,371
2021,9,90,900,149,58,39,50,70,45,41,71,55,60,75,63,63,61
2021,9,100,41,2,2,1,4,4,1,0,5,1,6,5,2,2,6
2021,10,총,"67,425","24,519","2,897","3,153","2,765","6,029","2,764","1,945","2,943","2,092","2,348","4,742","3,702","3,965","3,561"
2021,10,0,"3,643","2,163",83,115,61,266,86,35,80,68,63,171,160,169,123
2021,10,10,"4,983","2,841",140,111,124,346,163,77,151,80,128,230,187,221,184
2021,10,20,"5,414","2,728",201,197,152,443,175,121,194,78,131,265,222,257,250
2021,10,30,"4,644","2,411",156,177,120,359,112,70,123,92,94,261,234,222,213
2021,10,40,"7,659","3,723",251,270,225,605,235,149,294,194,224,385,379,358,367
2021,10,50,"11,383","4,113",547,516,476,"1,053",450,320,505,290,406,806,607,675,619
2021,10,60,"12,672","3,364",628,683,636,"1,253",590,411,568,473,465,"1,171",756,882,792
2021,10,70,"9,879","2,032",522,637,556,971,554,415,540,388,461,835,682,712,574
2021,10,80,"6,206",991,309,406,359,658,353,305,412,374,317,538,408,403,373
2021,10,90,906,151,58,40,52,71,46,42,71,53,58,75,65,64,60
2021,10,100,36,2,2,1,4,4,0,0,5,2,1,5,2,2,6
2021,11,총,"67,328","24,501","2,900","3,142","2,762","6,020","2,766","1,944","2,929","2,100","2,342","4,733","3,695","3,957","3,537"
2021,11,0,"3,617","2,157",78,115,61,265,81,36,81,65,61,168,163,170,116
2021,11,10,"4,991","2,849",141,110,124,345,162,76,152,82,128,231,185,221,185
2021,11,20,"5,380","2,715",203,193,151,438,176,122,189,79,131,265,217,255,246
2021,11,30,"4,623","2,399",159,180,120,357,112,64,122,92,92,258,232,227,209
2021,11,40,"7,631","3,718",251,273,219,607,236,150,292,195,219,384,372,352,363
2021,11,50,"11,378","4,110",548,514,479,"1,053",452,321,504,297,411,800,606,672,611
2021,11,60,"12,704","3,378",627,680,635,"1,258",592,416,563,473,467,"1,173",765,883,794
2021,11,70,"9,860","2,023",524,632,559,965,553,410,539,391,458,835,679,712,580
2021,11,80,"6,216","1,003",311,405,361,661,356,308,413,374,315,534,407,401,367
2021,11,90,897,147,56,39,51,68,46,41,71,50,59,80,67,62,60
2021,11,100,31,2,2,1,2,3,0,0,3,2,1,5,2,2,6
2021,12,총,"67,166","24,523","2,882","3,130","2,759","6,004","2,767","1,949","2,925","2,096","2,339","4,645","3,674","3,939","3,534"
2021,12,0,"3,598","2,148",78,116,59,262,80,44,81,64,59,167,162,162,116
2021,12,10,"4,971","2,847",138,112,122,348,159,71,147,81,127,229,186,222,182
2021,12,20,"5,379","2,736",203,186,152,430,178,124,190,79,130,263,213,247,248
2021,12,30,"4,585","2,370",157,179,116,361,113,67,121,93,92,254,230,224,208
2021,12,40,"7,606","3,738",243,268,217,599,238,152,287,191,213,375,373,352,360
2021,12,50,"11,350","4,117",543,519,477,"1,047",448,318,505,304,412,781,596,669,614
2021,12,60,"12,704","3,379",628,676,642,"1,262",595,415,568,475,472,"1,151",764,886,791
2021,12,70,"9,829","2,027",527,634,557,959,550,409,533,387,459,822,675,708,582
2021,12,80,"6,232","1,011",310,400,364,664,360,308,420,372,315,528,410,403,367
2021,12,90,888,148,53,39,51,69,46,41,70,48,59,75,62,64,63
2021,12,100,24,2,2,1,2,3,0,0,3,2,1,0,3,2,3
