년도,월,나이,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020,6,100,116,6,14,11,15,11,16,18,4,9,12
2020,7,총,"114,372","9,676","20,512","9,446","12,296","7,827","16,971","11,406","5,637","10,607","9,994"
2020,7,0,"6,403",370,"1,594",478,494,307,976,817,290,594,483
2020,7,10,"7,428",353,"1,190",587,708,507,"1,088","1,101",381,774,739
2020,7,20,"17,960","2,937","3,698","1,332","1,932","1,180","2,450","1,218",702,"1,325","1,186"
2020,7,30,"15,816","1,903","3,781","1,170","1,571",904,"2,230","1,296",662,"1,224","1,075"
2020,7,40,"15,973","1,019","2,846","1,327","1,617","1,102","2,504","1,822",764,"1,541","1,431"
2020,7,50,"20,220","1,228","3,058","1,908","2,463","1,622","3,042","2,015","1,049","2,058","1,777"
2020,7,60,"16,488","1,030","2,337","1,502","1,961","1,238","2,458","1,630",989,"1,711","1,632"
2020,7,70,"9,551",581,"1,391",783,"1,043",680,"1,508",992,547,950,"1,076"
2020,7,80,"3,813",211,532,298,414,236,597,417,214,375,519
2020,7,90,601,38,71,50,76,40,102,80,35,45,64
2020,7,100,119,6,14,11,17,11,16,18,4,10,12
2020,8,총,"114,516","10,013","20,525","9,427","12,238","7,799","16,939","11,407","5,634","10,572","9,962"
2020,8,0,"6,332",372,"1,585",468,485,313,958,806,288,581,476
2020,8,10,"7,404",356,"1,186",580,708,504,"1,085","1,104",374,766,741
2020,8,20,"18,157","3,172","3,703","1,334","1,915","1,166","2,447","1,211",698,"1,320","1,191"
2020,8,30,"15,815","1,975","3,767","1,161","1,557",891,"2,238","1,293",657,"1,212","1,064"
2020,8,40,"15,908","1,030","2,842","1,313","1,613","1,101","2,478","1,811",764,"1,530","1,426"
2020,8,50,"20,191","1,224","3,078","1,905","2,458","1,603","3,040","2,009","1,049","2,053","1,772"
2020,8,60,"16,565","1,043","2,350","1,517","1,954","1,248","2,465","1,653","1,000","1,716","1,619"
2020,8,70,"9,586",580,"1,396",790,"1,038",684,"1,511","1,003",549,958,"1,077"
2020,8,80,"3,830",215,533,298,415,237,600,417,215,380,520
2020,8,90,610,40,71,50,78,41,101,83,36,46,64
2020,8,100,118,6,14,11,17,11,16,17,4,10,12
2020,9,총,"114,668","10,262","20,506","9,420","12,214","7,776","16,966","11,397","5,622","10,560","9,945"
2020,9,0,"6,296",374,"1,584",463,480,313,946,803,282,576,475
2020,9,10,"7,365",360,"1,180",583,699,502,"1,088","1,099",369,753,732
2020,9,20,"18,348","3,364","3,696","1,333","1,928","1,153","2,457","1,218",688,"1,316","1,195"
2020,9,30,"15,836","2,026","3,758","1,154","1,568",888,"2,230","1,281",653,"1,219","1,059"
2020,9,40,"15,840","1,039","2,837","1,309","1,588","1,094","2,483","1,794",758,"1,525","1,413"
2020,9,50,"20,171","1,217","3,073","1,911","2,449","1,599","3,041","2,019","1,061","2,043","1,758"
2020,9,60,"16,628","1,049","2,357","1,518","1,957","1,250","2,482","1,660","1,004","1,727","1,624"
2020,9,70,"9,599",575,"1,397",793,"1,029",689,"1,510","1,001",552,967,"1,086"
2020,9,80,"3,840",210,536,294,421,236,609,421,212,373,528
2020,9,90,626,42,74,51,78,40,104,84,39,51,63
2020,9,100,119,6,14,11,17,12,16,17,4,10,12
2020,10,총,"114,744","10,363","20,507","9,430","12,223","7,773","16,975","11,383","5,602","10,546","9,942"
2020,10,0,"6,243",371,"1,578",459,476,311,931,795,275,574,473
2020,10,10,"7,346",361,"1,177",584,703,500,"1,091","1,093",364,751,722
2020,10,20,"18,387","3,425","3,691","1,346","1,920","1,154","2,459","1,214",682,"1,298","1,198"
2020,10,30,"15,883","2,049","3,742","1,154","1,580",891,"2,236","1,282",658,"1,224","1,067"
2020,10,40,"15,775","1,039","2,830","1,307","1,586","1,081","2,474","1,783",755,"1,510","1,410"
2020,10,50,"20,181","1,224","3,085","1,903","2,434","1,600","3,057","2,012","1,060","2,053","1,753"
2020,10,60,"16,683","1,051","2,376","1,523","1,974","1,255","2,488","1,670","1,000","1,725","1,621"
2020,10,70,"9,616",584,"1,403",797,"1,023",691,"1,499",999,555,968,"1,097"
2020,10,80,"3,876",212,535,294,430,237,619,434,210,381,524
2020,10,90,637,41,76,53,80,41,105,84,39,52,66
2020,10,100,117,6,14,10,17,12,16,17,4,10,11
2020,11,총,"114,639","10,409","20,504","9,408","12,223","7,726","16,967","11,379","5,608","10,503","9,912"
2020,11,0,"6,175",367,"1,580",452,468,310,911,784,275,557,471
2020,11,10,"7,331",362,"1,172",579,710,498,"1,090","1,092",364,747,717
2020,11,20,"18,363","3,439","3,663","1,347","1,929","1,136","2,461","1,221",677,"1,298","1,192"
2020,11,30,"15,881","2,061","3,751","1,143","1,585",890,"2,252","1,272",661,"1,211","1,055"
2020,11,40,"15,716","1,040","2,832","1,304","1,574","1,069","2,464","1,772",758,"1,503","1,400"
2020,11,50,"20,145","1,233","3,084","1,887","2,425","1,601","3,043","2,022","1,057","2,042","1,751"
2020,11,60,"16,747","1,062","2,390","1,540","1,977","1,244","2,501","1,679","1,005","1,732","1,617"
2020,11,70,"9,635",586,"1,411",798,"1,024",687,"1,507",998,554,965,"1,105"
2020,11,80,"3,884",213,531,294,431,237,614,437,214,387,526
2020,11,90,644,40,76,53,83,42,108,85,39,51,67
2020,11,100,118,6,14,11,17,12,16,17,4,10,11
2020,12,총,"114,507","10,455","20,460","9,403","12,228","7,709","16,900","11,375","5,606","10,489","9,882"
2020,12,0,"6,126",367,"1,567",449,466,307,903,772,278,549,468
2020,12,10,"7,290",355,"1,160",568,705,498,"1,078","1,104",357,745,720
2020,12,20,"18,412","3,500","3,657","1,359","1,940","1,125","2,469","1,205",676,"1,303","1,178"
2020,12,30,"15,817","2,056","3,723","1,144","1,574",886,"2,230","1,267",670,"1,213","1,054"
2020,12,40,"15,634","1,036","2,828","1,286","1,572","1,060","2,451","1,777",753,"1,482","1,389"
2020,12,50,"20,079","1,230","3,078","1,900","2,410","1,594","3,030","2,015","1,039","2,043","1,740"
2020,12,60,"16,851","1,067","2,418","1,537","2,000","1,256","2,496","1,699","1,023","1,737","1,618"
2020,12,70,"9,624",584,"1,407",799,"1,023",692,"1,504",988,549,965,"1,113"
2020,12,80,"3,906",212,531,299,437,240,607,443,220,391,526
2020,12,90,649,42,77,51,84,39,116,87,37,51,65
2020,12,100,119,6,14,11,17,12,16,18,4,10,11
2021,1,총,"114,493","10,499","20,472","9,386","12,256","7,714","16,889","11,342","5,575","10,480","9,880"
2021,1,0,"6,057",363,"1,554",439,465,303,888,769,271,543,462
2021,1,10,"7,234",353,"1,170",556,702,498,"1,067","1,085",353,737,713
2021,1,20,"18,426","3,525","3,630","1,363","1,959","1,127","2,468","1,201",669,"1,298","1,186"
2021,1,30,"15,837","2,071","3,726","1,139","1,591",898,"2,227","1,266",661,"1,209","1,049"
2021,1,40,"15,586","1,028","2,841","1,282","1,567","1,049","2,448","1,762",745,"1,478","1,386"
2021,1,50,"20,033","1,238","3,078","1,888","2,403","1,599","3,015","2,015","1,032","2,031","1,734"
2021,1,60,"16,978","1,075","2,434","1,556","2,006","1,257","2,529","1,710","1,031","1,756","1,624"
2021,1,70,"9,642",582,"1,420",797,"1,022",693,"1,499",988,551,974,"1,116"
2021,1,80,"3,928",214,527,306,441,242,612,441,221,392,532
2021,1,90,652,44,79,49,83,36,120,86,37,52,66
2021,1,100,120,6,13,11,17,12,16,19,4,10,12
2021,2,총,"114,340","10,523","20,457","9,363","12,260","7,723","16,807","11,318","5,583","10,460","9,846"
2021,2,0,"5,960",349,"1,530",428,459,303,876,760,271,539,445
2021,2,10,"7,206",356,"1,179",552,700,495,"1,053","1,072",352,733,714
2021,2,20,"18,399","3,542","3,637","1,352","1,974","1,120","2,443","1,204",662,"1,295","1,170"
2021,2,30,"15,860","2,093","3,728","1,155","1,589",902,"2,228","1,249",667,"1,203","1,046"
2021,2,40,"15,470","1,023","2,824","1,256","1,550","1,052","2,402","1,766",745,"1,470","1,382"
2021,2,50,"19,969","1,232","3,070","1,891","2,396","1,601","3,001","2,006","1,032","2,022","1,718"
2021,2,60,"17,104","1,087","2,444","1,559","2,032","1,262","2,547","1,729","1,039","1,769","1,636"
2021,2,70,"9,626",575,"1,423",797,"1,009",693,"1,504",990,552,967,"1,116"
2021,2,80,"3,962",215,528,312,449,246,616,440,222,396,538
2021,2,90,663,45,81,50,85,37,121,83,36,56,69
2021,2,100,121,6,13,11,17,12,16,19,5,10,12
2021,3,총,"113,522","10,539","20,409","9,301","12,197","7,623","16,641","11,164","5,505","10,377","9,766"
2021,3,0,"5,906",347,"1,513",419,453,299,871,764,266,532,442
2021,3,10,"7,195",365,"1,191",547,694,490,"1,046","1,073",347,735,707
2021,3,20,"18,464","3,574","3,689","1,352","2,012","1,097","2,429","1,189",648,"1,300","1,174"
2021,3,30,"15,845","2,101","3,749","1,153","1,591",907,"2,217","1,234",663,"1,195","1,035"
2021,3,40,"15,230","1,010","2,783","1,243","1,524","1,024","2,354","1,759",721,"1,450","1,362"
2021,3,50,"19,788","1,225","3,044","1,877","2,374","1,581","2,999","1,961","1,024","1,999","1,704"
2021,3,60,"17,048","1,087","2,424","1,559","2,030","1,261","2,531","1,717","1,040","1,769","1,630"
2021,3,70,"9,456",571,"1,411",791,990,688,"1,468",951,537,950,"1,099"
2021,3,80,"3,927",214,522,310,445,241,613,434,223,394,531
2021,3,90,631,43,76,48,81,33,112,80,35,52,71
2021,3,100,32,2,7,2,3,2,1,2,1,1,11
2021,4,총,"113,428","10,570","20,437","9,297","12,174","7,624","16,612","11,149","5,488","10,336","9,741"
2021,4,0,"5,854",349,"1,503",407,447,305,868,753,258,525,439
2021,4,10,"7,155",363,"1,184",538,694,486,"1,045","1,066",350,725,704
2021,4,20,"18,474","3,577","3,707","1,360","2,007","1,100","2,419","1,183",640,"1,294","1,187"
2021,4,30,"15,833","2,122","3,747","1,153","1,583",903,"2,213","1,235",658,"1,195","1,024"
2021,4,40,"15,200","1,005","2,798","1,234","1,529","1,019","2,341","1,760",731,"1,431","1,352"
2021,4,50,"19,691","1,217","3,030","1,863","2,362","1,575","2,985","1,950","1,016","1,994","1,699"
2021,4,60,"17,153","1,105","2,451","1,576","2,035","1,266","2,549","1,724","1,039","1,777","1,631"
2021,4,70,"9,439",569,"1,412",793,987,692,"1,465",951,539,946,"1,085"
2021,4,80,"3,958",218,521,322,443,245,618,440,222,393,536
2021,4,90,637,43,77,48,84,31,108,84,34,55,73
2021,4,100,34,2,7,3,3,2,1,3,1,1,11
2021,5,총,"113,531","10,588","20,644","9,295","12,170","7,603","16,589","11,111","5,475","10,325","9,731"
2021,5,0,"5,805",351,"1,517",398,439,300,853,742,257,517,431
2021,5,10,"7,126",353,"1,188",534,690,482,"1,041","1,063",345,730,700
2021,5,20,"18,556","3,582","3,761","1,365","2,018","1,101","2,411","1,184",644,"1,306","1,184"
2021,5,30,"15,867","2,128","3,812","1,148","1,584",895,"2,217","1,221",653,"1,185","1,024"
2021,5,40,"15,171","1,011","2,805","1,232","1,522","1,013","2,338","1,762",724,"1,423","1,341"
2021,5,50,"19,656","1,213","3,067","1,855","2,367","1,559","2,957","1,933","1,012","1,982","1,711"
2021,5,60,"17,226","1,109","2,468","1,590","2,030","1,277","2,577","1,730","1,046","1,777","1,622"
2021,5,70,"9,464",576,"1,415",797,987,697,"1,460",949,535,950,"1,098"
2021,5,80,"3,981",220,526,324,443,243,625,442,225,399,534
2021,5,90,645,43,79,49,87,34,108,82,33,55,75
2021,5,100,34,2,6,3,3,2,2,3,1,1,11
2021,6,총,"113,677","10,586","20,902","9,305","12,117","7,620","16,594","11,089","5,463","10,307","9,694"
2021,6,0,"5,808",348,"1,544",396,439,305,838,743,253,513,429
2021,6,10,"7,094",351,"1,185",532,679,477,"1,044","1,057",343,732,694
2021,6,20,"18,598","3,583","3,823","1,364","2,001","1,110","2,426","1,177",644,"1,291","1,179"
2021,6,30,"15,944","2,135","3,886","1,161","1,576",903,"2,218","1,217",651,"1,188","1,009"
2021,6,40,"15,149","1,001","2,834","1,238","1,503","1,004","2,328","1,757",721,"1,424","1,339"
2021,6,50,"19,610","1,213","3,097","1,848","2,343","1,554","2,951","1,927","1,008","1,969","1,700"
2021,6,60,"17,323","1,109","2,494","1,592","2,056","1,289","2,589","1,739","1,047","1,781","1,627"
2021,6,70,"9,467",579,"1,429",795,987,700,"1,460",940,530,953,"1,094"
2021,6,80,"3,997",222,528,326,441,242,630,442,232,399,535
2021,6,90,654,43,76,50,89,34,108,87,33,56,78
2021,6,100,33,2,6,3,3,2,2,3,1,1,10
2021,7,총,"113,966","10,599","21,269","9,309","12,092","7,622","16,541","11,086","5,454","10,317","9,677"
2021,7,0,"5,811",354,"1,566",392,438,303,835,735,251,510,427
2021,7,10,"7,047",346,"1,196",530,672,471,"1,026","1,053",344,725,684
2021,7,20,"18,658","3,552","3,910","1,362","1,998","1,122","2,416","1,176",646,"1,303","1,173"
2021,7,30,"16,047","2,157","3,988","1,169","1,561",897,"2,211","1,217",653,"1,182","1,012"
2021,7,40,"15,139","1,015","2,868","1,240","1,504",992,"2,312","1,745",710,"1,420","1,333"
2021,7,50,"19,631","1,207","3,150","1,833","2,333","1,559","2,953","1,928","1,011","1,963","1,694"
2021,7,60,"17,436","1,112","2,546","1,597","2,070","1,297","2,582","1,749","1,042","1,799","1,642"
2021,7,70,"9,482",584,"1,435",803,985,701,"1,464",948,529,952,"1,081"
2021,7,80,"4,026",227,526,329,446,241,633,445,234,405,540
2021,7,90,657,43,78,51,83,37,107,87,33,57,81
2021,7,100,32,2,6,3,2,2,2,3,1,1,10
2021,8,총,"114,045","10,622","21,406","9,301","12,081","7,608","16,534","11,091","5,452","10,282","9,668"
2021,8,0,"5,791",347,"1,574",392,440,298,830,730,253,502,425
2021,8,10,"7,011",349,"1,188",528,663,468,"1,017","1,054",345,713,686
2021,8,20,"18,673","3,556","3,966","1,349","1,997","1,118","2,424","1,160",639,"1,302","1,162"
2021,8,30,"16,118","2,180","4,030","1,180","1,570",894,"2,202","1,214",650,"1,184","1,014"
2021,8,40,"15,106","1,023","2,886","1,231","1,483",995,"2,305","1,743",711,"1,404","1,325"
2021,8,50,"19,587","1,193","3,158","1,832","2,324","1,538","2,945","1,936","1,006","1,959","1,696"
2021,8,60,"17,498","1,119","2,553","1,597","2,083","1,306","2,593","1,764","1,039","1,799","1,645"
2021,8,70,"9,509",581,"1,439",805,988,706,"1,469",952,538,951,"1,080"
2021,8,80,"4,058",227,529,332,447,244,640,449,236,410,544
2021,8,90,661,45,77,51,84,39,107,86,34,57,81
2021,8,100,33,2,6,4,2,2,2,3,1,1,10
2021,9,총,"114,056","10,651","21,559","9,272","12,085","7,576","16,485","11,059","5,455","10,262","9,652"
2021,9,0,"5,764",343,"1,583",385,446,295,821,714,255,504,418
2021,9,10,"6,971",348,"1,185",525,664,461,998,"1,047",350,710,683
2021,9,20,"18,710","3,581","4,013","1,343","1,995","1,110","2,420","1,161",635,"1,295","1,157"
2021,9,30,"16,131","2,179","4,073","1,171","1,575",898,"2,195","1,201",640,"1,189","1,010"
2021,9,40,"15,084","1,029","2,902","1,211","1,469",981,"2,292","1,740",718,"1,403","1,339"
2021,9,50,"19,551","1,186","3,173","1,835","2,325","1,539","2,938","1,924","1,006","1,952","1,673"
2021,9,60,"17,537","1,123","2,566","1,612","2,078","1,294","2,600","1,776","1,041","1,794","1,653"
2021,9,70,"9,505",583,"1,435",802,997,708,"1,456",958,537,947,"1,082"
2021,9,80,"4,115",232,546,332,448,247,657,455,239,411,548
2021,9,90,654,45,77,52,86,40,106,80,33,56,79
2021,9,100,34,2,6,4,2,3,2,3,1,1,10
2021,10,총,"114,152","10,733","21,687","9,251","12,071","7,573","16,495","11,036","5,435","10,234","9,637"
2021,10,0,"5,727",340,"1,581",383,437,290,821,711,249,503,412
2021,10,10,"6,932",345,"1,182",522,651,461,995,"1,051",351,698,676
2021,10,20,"18,761","3,638","4,054","1,348","1,995","1,088","2,409","1,154",635,"1,285","1,155"
2021,10,30,"16,237","2,198","4,145","1,156","1,575",927,"2,202","1,205",629,"1,191","1,009"
2021,10,40,"15,008","1,036","2,912","1,203","1,465",966,"2,299","1,718",709,"1,385","1,315"
2021,10,50,"19,556","1,194","3,178","1,824","2,319","1,545","2,920","1,933","1,008","1,953","1,682"
2021,10,60,"17,581","1,121","2,574","1,621","2,088","1,293","2,612","1,764","1,044","1,806","1,658"
2021,10,70,"9,521",582,"1,430",802,"1,005",713,"1,464",959,534,944,"1,088"
2021,10,80,"4,132",230,546,334,447,246,662,459,243,412,553
2021,10,90,663,47,79,54,87,41,109,79,32,56,79
2021,10,100,34,2,6,4,2,3,2,3,1,1,10
2021,11,총,"114,265","10,760","21,802","9,250","12,058","7,561","16,513","11,036","5,444","10,232","9,609"
2021,11,0,"5,693",333,"1,591",388,430,285,811,704,249,493,409
2021,11,10,"6,916",342,"1,177",517,644,467,"1,003","1,056",347,690,673
2021,11,20,"18,820","3,658","4,114","1,345","2,014","1,086","2,400","1,150",632,"1,273","1,148"
2021,11,30,"16,285","2,215","4,185","1,160","1,563",917,"2,213","1,203",628,"1,190","1,011"
2021,11,40,"15,003","1,036","2,923","1,202","1,456",962,"2,315","1,717",706,"1,387","1,299"
2021,11,50,"19,576","1,195","3,174","1,827","2,323","1,544","2,904","1,944","1,017","1,969","1,679"
2021,11,60,"17,590","1,120","2,580","1,625","2,084","1,294","2,621","1,761","1,051","1,811","1,643"
2021,11,70,"9,542",583,"1,425",799,"1,005",716,"1,478",956,538,944,"1,098"
2021,11,80,"4,147",230,545,331,448,249,661,460,247,417,559
2021,11,90,662,46,84,52,89,38,106,82,29,56,80
2021,11,100,31,2,4,4,2,3,1,3,0,2,10
2021,12,총,"114,284","10,806","21,883","9,241","12,046","7,551","16,500","11,018","5,432","10,219","9,588"
2021,12,0,"5,658",328,"1,593",388,425,282,804,704,248,487,399
2021,12,10,"6,898",342,"1,174",513,642,467,996,"1,064",346,681,673
2021,12,20,"18,863","3,680","4,169","1,345","2,003","1,080","2,391","1,139",632,"1,269","1,155"
2021,12,30,"16,333","2,234","4,212","1,163","1,573",926,"2,226","1,194",621,"1,187",997
2021,12,40,"14,964","1,046","2,932","1,198","1,450",945,"2,312","1,711",702,"1,385","1,283"
2021,12,50,"19,586","1,189","3,163","1,827","2,323","1,545","2,908","1,949","1,020","1,974","1,688"
2021,12,60,"17,588","1,133","2,588","1,619","2,085","1,300","2,611","1,750","1,046","1,810","1,646"
2021,12,70,"9,541",580,"1,420",797,"1,010",716,"1,484",957,535,942,"1,100"
2021,12,80,"4,175",228,546,334,446,249,665,464,253,427,563
2021,12,90,655,45,83,53,87,38,101,83,29,55,81
2021,12,100,23,1,3,4,2,3,2,3,0,2,3
