년도,월,나이,평택시,팽성읍,안중읍,포승읍,청북읍,진위면,서탄면,고덕면,오성면,현덕면,중앙동,서정동,송탄동,지산동,송북동,신장1동,신장2동,신평동,원평동,통복동,비전1동,비전2동,용이동,세교동,동삭동,고덕동
2020,3,총,"267,360","14,021","22,369","14,206","13,620","6,246","1,999","9,338","3,574","2,856","22,421","13,238","9,969","6,325","10,948","3,456","2,901","11,625","5,564","2,159","38,265","26,263","12,806","13,191",,
2020,3,0,"24,795",814,"2,104","1,050","2,189",265,58,"1,034",185,89,"1,625",754,"1,178",368,838,278,102,614,297,65,"5,011","2,900","1,833","1,144",,
2020,3,10,"27,360",896,"3,037","1,076","1,484",463,124,760,266,165,"2,725","1,285",909,470,"1,142",259,159,944,383,126,"4,403","3,334","1,549","1,401",,
2020,3,20,"38,230","1,705","3,048","1,876","1,230",907,210,"1,415",405,260,"3,837","2,049","1,341","1,239","1,626",523,389,"2,098",886,341,"5,235","3,765","1,697","2,148",,
2020,3,30,"41,838","1,680","3,109","2,613","2,550",870,229,"1,671",378,234,"2,937","1,769","1,707","1,224","1,328",628,378,"1,621",882,238,"7,385","4,095","2,423","1,889",,
2020,3,40,"48,217","2,221","4,485","3,008","2,837","1,003",288,"1,588",537,392,"3,901","2,306","1,902","1,104","1,931",608,480,"1,830",824,310,"7,376","4,474","2,640","2,172",,
2020,3,50,"44,227","2,803","3,644","2,399","1,587","1,170",404,"1,400",763,610,"4,080","2,501","1,622",976,"2,064",547,534,"2,175","1,039",453,"5,179","4,168","1,689","2,420",,
2020,3,60,"25,267","2,079","1,773","1,324","1,006",907,380,860,549,559,"2,031","1,479",842,558,"1,237",351,445,"1,362",705,342,"2,386","2,191",656,"1,245",,
2020,3,70,"12,145","1,190",818,631,542,485,212,427,331,373,930,759,335,269,523,167,271,683,390,209,933,897,238,532,,
2020,3,80,"4,714",570,312,210,169,164,89,167,138,159,312,290,115,107,226,78,117,268,139,67,327,399,74,217,,
2020,3,90,494,48,38,19,25,11,4,13,22,15,35,38,16,9,27,12,17,27,15,8,27,38,7,23,,
2020,3,100,73,15,1,0,1,1,1,3,0,0,8,8,2,1,6,5,9,3,4,0,3,2,0,0,,
2020,4,총,"268,331","14,046","22,410","14,263","13,649","6,251","1,992","9,647","3,575","2,856","22,483","13,195","10,034","6,359","10,958","3,516","2,913","11,664","5,547","2,182","38,384","26,331","12,862","13,214",,
2020,4,0,"24,756",813,"2,090","1,046","2,176",268,57,"1,062",186,86,"1,616",744,"1,171",361,846,281,99,614,295,67,"4,982","2,915","1,832","1,149",,
2020,4,10,"27,367",905,"3,035","1,073","1,502",464,125,784,257,165,"2,696","1,282",917,469,"1,136",262,164,940,377,127,"4,428","3,317","1,553","1,389",,
2020,4,20,"38,520","1,709","3,075","1,900","1,232",898,206,"1,485",412,262,"3,888","2,039","1,343","1,248","1,611",533,396,"2,119",872,349,"5,273","3,794","1,714","2,162",,
2020,4,30,"42,042","1,685","3,096","2,617","2,552",865,226,"1,762",375,233,"2,948","1,768","1,746","1,226","1,345",643,382,"1,632",880,240,"7,406","4,097","2,432","1,886",,
2020,4,40,"48,250","2,208","4,474","3,012","2,843","1,005",293,"1,628",531,394,"3,889","2,294","1,905","1,114","1,928",617,475,"1,825",824,305,"7,394","4,471","2,647","2,174",,
2020,4,50,"44,399","2,804","3,675","2,412","1,595","1,172",399,"1,431",769,610,"4,094","2,494","1,632",992,"2,055",560,539,"2,172","1,035",460,"5,197","4,183","1,694","2,425",,
2020,4,60,"25,503","2,099","1,788","1,334","1,011",914,382,878,553,556,"2,057","1,475",850,562,"1,250",356,444,"1,381",713,348,"2,413","2,216",670,"1,253",,
2020,4,70,"12,192","1,192",823,641,547,486,211,433,331,377,938,759,339,270,530,169,271,678,388,210,938,893,237,531,,
2020,4,80,"4,730",568,313,209,165,167,88,167,139,158,314,293,115,107,223,78,116,272,144,68,324,404,76,222,,
2020,4,90,498,48,40,19,25,11,4,14,22,15,35,39,14,9,28,12,18,28,15,8,26,39,7,22,,
2020,4,100,74,15,1,0,1,1,1,3,0,0,8,8,2,1,6,5,9,3,4,0,3,2,0,1,,
2020,5,총,"269,109","14,052","22,419","14,295","13,632","6,240","1,985","10,076","3,577","2,860","22,525","13,101","10,074","6,387","10,978","3,590","2,915","11,685","5,547","2,184","38,570","26,285","12,884","13,248",,
2020,5,0,"24,754",813,"2,093","1,037","2,157",273,53,"1,120",183,85,"1,608",737,"1,178",356,845,282,100,615,285,66,"4,999","2,898","1,827","1,144",,
2020,5,10,"27,255",906,"3,018","1,078","1,502",456,122,815,255,163,"2,671","1,256",908,465,"1,127",262,161,939,374,124,"4,418","3,289","1,548","1,398",,
2020,5,20,"38,709","1,714","3,068","1,906","1,233",905,211,"1,569",412,267,"3,929","2,023","1,343","1,253","1,619",560,397,"2,109",882,353,"5,293","3,775","1,721","2,167",,
2020,5,30,"42,252","1,680","3,114","2,625","2,532",859,225,"1,866",374,228,"2,956","1,749","1,770","1,237","1,346",660,387,"1,651",878,243,"7,465","4,091","2,430","1,886",,
2020,5,40,"48,330","2,197","4,445","3,006","2,849",996,296,"1,708",534,395,"3,886","2,269","1,917","1,117","1,935",633,480,"1,817",826,305,"7,418","4,472","2,664","2,165",,
2020,5,50,"44,608","2,811","3,704","2,417","1,602","1,173",395,"1,472",767,609,"4,120","2,483","1,628",996,"2,066",571,533,"2,184","1,035",457,"5,239","4,198","1,700","2,448",,
2020,5,60,"25,646","2,099","1,802","1,351","1,023",909,382,900,559,559,"2,060","1,477",860,573,"1,252",355,443,"1,386",713,350,"2,436","2,223",666,"1,268",,
2020,5,70,"12,241","1,196",824,646,546,491,210,440,334,381,940,769,337,273,529,171,269,677,390,209,949,889,245,526,,
2020,5,80,"4,739",572,315,210,161,165,86,170,138,157,313,289,117,106,225,79,118,275,145,69,322,408,76,223,,
2020,5,90,503,49,36,19,26,12,4,13,21,16,34,41,14,10,28,12,18,29,15,8,29,40,7,22,,
2020,5,100,72,15,0,0,1,1,1,3,0,0,8,8,2,1,6,5,9,3,4,0,2,2,0,1,,
2020,6,총,"270,183","14,113","22,448","14,338","13,708","6,237","1,991","10,492","3,581","2,859","22,537","13,068","10,137","6,446","10,970","3,629","2,926","11,669","5,557","2,178","38,794","26,386","12,871","13,248",,
2020,6,0,"24,774",828,"2,074","1,028","2,152",270,54,"1,163",183,85,"1,591",722,"1,192",349,839,289,97,611,284,67,"5,015","2,916","1,818","1,147",,
2020,6,10,"27,259",915,"3,013","1,077","1,526",454,123,851,255,162,"2,639","1,257",902,459,"1,130",265,161,925,373,122,"4,432","3,278","1,539","1,401",,
2020,6,20,"38,937","1,696","3,098","1,916","1,239",915,214,"1,639",411,270,"3,956","2,017","1,355","1,266","1,602",570,397,"2,111",881,353,"5,327","3,813","1,731","2,160",,
2020,6,30,"42,413","1,693","3,098","2,629","2,531",850,220,"1,988",376,225,"2,974","1,747","1,780","1,246","1,347",662,386,"1,656",888,241,"7,484","4,083","2,416","1,893",,
2020,6,40,"48,529","2,205","4,453","3,018","2,880",994,297,"1,772",535,395,"3,892","2,252","1,922","1,137","1,937",646,489,"1,816",830,299,"7,466","4,476","2,670","2,148",,
2020,6,50,"44,741","2,823","3,702","2,427","1,618","1,172",396,"1,517",766,606,"4,105","2,489","1,647","1,005","2,061",569,537,"2,177","1,021",460,"5,284","4,213","1,695","2,451",,
2020,6,60,"25,898","2,116","1,825","1,368","1,029",908,385,924,558,558,"2,083","1,479",870,591,"1,263",363,443,"1,394",727,350,"2,461","2,255",679,"1,269",,
2020,6,70,"12,311","1,206",833,644,546,497,211,449,336,387,942,768,334,274,531,168,271,676,390,209,969,899,241,530,,
2020,6,80,"4,744",568,316,212,160,164,85,173,139,153,317,286,119,107,226,79,118,271,144,69,325,410,75,228,,
2020,6,90,505,48,36,19,26,12,5,13,22,18,31,42,14,11,28,13,18,29,15,8,29,41,7,20,,
2020,6,100,72,15,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,0,2,2,0,1,,
2020,7,총,"271,051","14,122","22,501","14,357","13,784","6,233","1,991","10,737","3,571","2,838","22,524","13,038","10,198","6,512","10,983","3,660","2,930","11,689","5,545","2,180","39,061","26,462","12,850","13,285",,
2020,7,0,"24,806",825,"2,073","1,018","2,155",264,55,"1,191",178,84,"1,578",709,"1,199",348,837,298,96,599,286,63,"5,074","2,915","1,810","1,151",,
2020,7,10,"27,252",919,"3,006","1,074","1,543",459,124,862,249,162,"2,603","1,253",916,454,"1,126",263,159,937,363,122,"4,435","3,281","1,540","1,402",,
2020,7,20,"39,121","1,697","3,106","1,948","1,238",899,214,"1,688",412,266,"3,940","2,023","1,371","1,285","1,602",570,401,"2,110",883,353,"5,378","3,838","1,731","2,168",,
2020,7,30,"42,519","1,684","3,114","2,612","2,538",854,211,"2,050",374,217,"2,992","1,752","1,769","1,272","1,360",682,392,"1,636",895,247,"7,482","4,094","2,400","1,892",,
2020,7,40,"48,693","2,208","4,444","3,019","2,908",997,297,"1,821",530,395,"3,902","2,243","1,942","1,138","1,934",642,480,"1,825",817,299,"7,545","4,490","2,671","2,146",,
2020,7,50,"44,845","2,823","3,730","2,418","1,630","1,177",398,"1,558",771,603,"4,098","2,476","1,653","1,019","2,055",571,539,"2,194","1,017",457,"5,302","4,206","1,690","2,460",,
2020,7,60,"26,095","2,121","1,832","1,388","1,035",918,388,928,558,559,"2,096","1,477",881,598,"1,278",366,445,"1,407",729,351,"2,494","2,282",684,"1,280",,
2020,7,70,"12,370","1,216",842,645,545,487,212,449,339,380,960,763,333,277,532,171,272,677,392,212,986,904,244,532,,
2020,7,80,"4,773",565,319,215,164,165,86,174,135,154,317,291,118,109,226,79,119,273,145,68,333,411,74,233,,
2020,7,90,504,49,35,20,27,12,5,13,25,18,31,42,14,11,27,13,18,28,14,7,30,39,6,20,,
2020,7,100,73,15,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1,,
2020,8,총,"271,992","14,107","22,506","14,356","13,811","6,205","2,007","10,882","3,594","2,822","22,505","12,997","10,239","6,607","11,020","3,692","2,926","11,691","5,564","2,180","39,661","26,488","12,888","13,244",,
2020,8,0,"24,831",830,"2,062","1,018","2,138",259,52,"1,201",180,84,"1,573",698,"1,207",354,844,293,95,590,283,63,"5,141","2,923","1,795","1,148",,
2020,8,10,"27,232",902,"3,018","1,055","1,558",450,129,853,252,155,"2,595","1,241",910,453,"1,121",265,159,933,363,123,"4,485","3,275","1,553","1,384",,
2020,8,20,"39,259","1,695","3,088","1,939","1,259",895,219,"1,728",419,268,"3,927","2,016","1,376","1,316","1,607",571,402,"2,119",889,352,"5,449","3,825","1,748","2,152",,
2020,8,30,"42,702","1,671","3,101","2,623","2,522",839,214,"2,108",379,214,"2,977","1,746","1,777","1,286","1,362",686,388,"1,639",888,255,"7,630","4,101","2,404","1,892",,
2020,8,40,"48,825","2,206","4,441","3,023","2,920","1,004",296,"1,825",532,386,"3,898","2,247","1,951","1,160","1,925",654,472,"1,815",823,294,"7,642","4,491","2,679","2,141",,
2020,8,50,"45,014","2,815","3,755","2,426","1,623","1,172",399,"1,580",765,601,"4,093","2,464","1,652","1,037","2,074",582,543,"2,192","1,028",453,"5,404","4,203","1,692","2,461",,
2020,8,60,"26,325","2,141","1,836","1,392","1,052",918,390,944,564,560,"2,126","1,483",891,600,"1,285",371,450,"1,420",728,353,"2,542","2,306",694,"1,279",,
2020,8,70,"12,403","1,220",844,645,545,487,216,451,339,382,954,760,338,279,540,172,270,679,399,210,993,907,240,533,,
2020,8,80,"4,824",565,326,212,166,168,86,176,139,155,324,292,121,111,227,80,120,275,145,69,342,416,77,232,,
2020,8,90,503,46,35,23,27,12,5,13,25,17,31,41,14,10,29,13,18,26,14,7,31,39,6,21,,
2020,8,100,74,16,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1,,
2020,9,총,"273,077","14,074","22,485","14,368","13,892","6,200","2,010","11,085","3,590","2,802","22,528","12,969","10,281","6,656","11,028","3,706","2,926","11,708","5,534","2,172","40,440","26,502","12,906","13,215",,
2020,9,0,"24,820",815,"2,043","1,011","2,137",257,53,"1,216",180,81,"1,561",684,"1,204",351,845,294,95,585,277,62,"5,254","2,899","1,781","1,135",,
2020,9,10,"27,268",894,"2,997","1,058","1,575",444,123,866,250,154,"2,576","1,234",912,451,"1,128",264,161,925,360,125,"4,548","3,281","1,556","1,386",,
2020,9,20,"39,449","1,697","3,090","1,936","1,270",898,224,"1,784",418,266,"3,948","2,009","1,389","1,331","1,604",577,396,"2,131",890,350,"5,520","3,833","1,761","2,127",,
2020,9,30,"42,843","1,650","3,085","2,615","2,525",831,216,"2,142",375,209,"2,976","1,739","1,787","1,313","1,354",689,381,"1,631",878,257,"7,817","4,072","2,409","1,892",,
2020,9,40,"49,076","2,208","4,446","3,028","2,952",997,296,"1,878",535,383,"3,886","2,244","1,967","1,160","1,914",664,479,"1,827",826,288,"7,790","4,499","2,673","2,136",,
2020,9,50,"45,190","2,801","3,757","2,433","1,640","1,180",395,"1,602",764,591,"4,122","2,460","1,655","1,046","2,087",578,544,"2,192","1,018",449,"5,512","4,211","1,692","2,461",,
2020,9,60,"26,596","2,159","1,864","1,400","1,056",927,393,957,569,566,"2,140","1,492",897,601,"1,289",370,455,"1,432",727,352,"2,615","2,330",713,"1,292",,
2020,9,70,"12,399","1,219",840,647,538,485,216,449,334,380,954,762,334,279,547,171,270,680,392,211,"1,007",914,240,530,,
2020,9,80,"4,853",567,329,216,170,167,88,176,140,155,327,294,120,113,226,81,119,276,148,69,343,421,75,233,,
2020,9,90,509,48,34,24,28,13,5,12,25,17,31,42,14,10,28,13,17,26,14,8,32,40,6,22,,
2020,9,100,74,16,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1,,
2020,10,총,"274,461","14,049","22,454","14,414","13,909","6,247","2,024","11,432","3,565","2,805","22,471","12,953","10,305","6,688","11,011","3,723","2,921","11,679","5,520","2,158","41,496","26,519","12,935","13,183",,
2020,10,0,"24,834",812,"2,035","1,004","2,121",254,50,"1,241",168,80,"1,526",678,"1,187",348,841,299,89,581,265,60,"5,384","2,898","1,781","1,132",,
2020,10,10,"27,416",875,"2,996","1,052","1,590",478,127,882,245,152,"2,567","1,229",916,447,"1,123",264,170,921,349,126,"4,663","3,292","1,568","1,384",,
2020,10,20,"39,621","1,703","3,081","1,937","1,270",894,230,"1,883",416,268,"3,949","2,016","1,402","1,343","1,594",578,398,"2,095",895,351,"5,633","3,795","1,770","2,120",,
2020,10,30,"43,130","1,639","3,072","2,627","2,515",832,209,"2,226",368,208,"2,966","1,738","1,773","1,312","1,345",694,384,"1,631",885,263,"8,095","4,064","2,400","1,884",,
2020,10,40,"49,315","2,200","4,431","3,027","2,981","1,009",303,"1,944",534,388,"3,864","2,220","1,979","1,178","1,907",665,473,"1,838",822,283,"7,968","4,510","2,673","2,118",,
2020,10,50,"45,436","2,808","3,761","2,457","1,642","1,180",392,"1,636",766,588,"4,132","2,459","1,672","1,053","2,080",581,532,"2,203","1,021",437,"5,657","4,218","1,696","2,465",,
2020,10,60,"26,829","2,167","1,880","1,417","1,051",933,402,977,569,569,"2,150","1,504",906,604,"1,303",373,458,"1,420",728,351,"2,687","2,356",726,"1,298",,
2020,10,70,"12,420","1,217",834,648,543,488,216,454,331,380,948,764,329,281,556,172,270,684,384,210,"1,029",923,239,520,,
2020,10,80,"4,882",564,331,221,170,165,89,174,143,156,330,293,126,112,228,79,121,278,152,68,347,421,76,238,,
2020,10,90,504,48,33,24,25,13,5,12,25,16,32,43,13,9,28,13,17,25,15,8,31,40,6,23,,
2020,10,100,74,16,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1,,
2020,11,총,"275,968","14,063","22,469","14,381","13,977","6,232","2,016","11,844","3,566","2,792","22,500","12,936","10,292","6,711","10,988","3,734","2,917","11,689","5,530","2,142","42,400","26,618","12,981","13,190",,
2020,11,0,"24,902",804,"2,024",981,"2,103",251,50,"1,294",169,82,"1,517",665,"1,170",343,826,300,93,569,258,63,"5,499","2,927","1,783","1,131",,
2020,11,10,"27,426",882,"2,970","1,055","1,610",460,128,900,244,153,"2,553","1,226",916,445,"1,118",263,163,916,347,121,"4,732","3,285","1,566","1,373",,
2020,11,20,"39,989","1,698","3,095","1,939","1,277",901,226,"1,964",414,262,"3,968","2,015","1,415","1,361","1,597",590,400,"2,128",905,354,"5,781","3,789","1,792","2,118",,
2020,11,30,"43,385","1,638","3,075","2,611","2,507",835,202,"2,350",366,209,"2,967","1,730","1,761","1,315","1,332",695,384,"1,631",883,254,"8,276","4,067","2,398","1,899",,
2020,11,40,"49,603","2,210","4,427","3,024","3,025","1,004",306,"1,993",539,389,"3,854","2,220","1,979","1,173","1,908",666,474,"1,830",828,283,"8,152","4,522","2,689","2,108",,
2020,11,50,"45,606","2,806","3,771","2,451","1,649","1,181",386,"1,701",758,568,"4,153","2,453","1,666","1,058","2,069",580,526,"2,201","1,019",434,"5,762","4,243","1,695","2,476",,
2020,11,60,"27,095","2,177","1,904","1,427","1,062",934,405,982,577,578,"2,166","1,514",916,608,"1,308",371,461,"1,417",733,349,"2,772","2,391",738,"1,305",,
2020,11,70,"12,457","1,213",833,646,546,489,218,469,328,379,953,764,327,285,564,168,269,692,387,205,"1,039",926,238,519,,
2020,11,80,"4,925",571,336,223,172,163,89,176,147,156,329,297,127,113,231,83,121,277,152,70,353,428,76,235,,
2020,11,90,506,48,34,24,25,13,5,12,24,16,33,43,13,9,29,13,17,25,14,8,32,38,6,25,,
2020,11,100,74,16,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1,,
2020,12,총,"277,617","14,138","22,449","14,361","14,106","6,245","2,020","12,173","3,581","2,792","22,573","12,896","10,353","6,734","10,984","3,721","2,927","11,725","5,546","2,137","43,224","26,641","13,024","13,267",,
2020,12,0,"25,032",802,"1,992",959,"2,114",246,52,"1,341",171,90,"1,502",659,"1,182",338,818,304,92,562,259,62,"5,623","2,934","1,783","1,147",,
2020,12,10,"27,450",893,"2,956","1,054","1,612",455,123,923,247,149,"2,547","1,216",907,438,"1,120",257,166,928,341,119,"4,792","3,263","1,572","1,372",,
2020,12,20,"40,268","1,711","3,119","1,953","1,300",905,227,"2,037",408,260,"3,986","1,995","1,422","1,372","1,597",575,407,"2,141",910,356,"5,892","3,785","1,794","2,116",,
2020,12,30,"43,848","1,674","3,060","2,592","2,547",845,207,"2,439",370,208,"2,994","1,742","1,777","1,323","1,314",692,384,"1,631",885,253,"8,488","4,071","2,419","1,933",,
2020,12,40,"49,886","2,198","4,419","3,020","3,048",998,305,"2,038",543,387,"3,866","2,205","1,996","1,182","1,910",668,474,"1,836",837,275,"8,312","4,541","2,696","2,132",,
2020,12,50,"45,684","2,810","3,761","2,443","1,658","1,184",386,"1,730",754,567,"4,159","2,438","1,667","1,060","2,065",588,531,"2,195","1,016",433,"5,836","4,239","1,698","2,466",,
2020,12,60,"27,424","2,204","1,936","1,448","1,075",942,406,996,585,579,"2,195","1,522",930,613,"1,328",370,462,"1,435",737,356,"2,827","2,413",740,"1,325",,
2020,12,70,"12,461","1,211",827,645,550,483,218,475,326,376,952,766,327,282,563,167,264,690,391,207,"1,060",927,242,512,,
2020,12,80,"4,989",569,346,223,176,173,90,179,153,160,332,301,130,116,233,83,122,278,152,67,361,433,74,238,,
2020,12,90,502,50,33,24,26,13,5,12,24,16,33,43,13,9,30,12,15,26,14,8,31,34,6,25,,
2020,12,100,73,16,0,0,0,1,1,3,0,0,7,9,2,1,6,5,10,3,4,1,2,1,0,1,,
2021,1,총,"279,690","14,198","22,444","14,440","14,200","6,240","2,019","12,434","3,582","2,783","22,595","12,898","10,402","6,803","11,013","3,718","2,930","11,726","5,576","2,155","43,845","26,719","13,096","13,874",,
2021,1,0,"25,144",801,"1,979",947,"2,109",245,52,"1,352",169,86,"1,488",656,"1,175",338,819,296,92,548,259,64,"5,724","2,932","1,774","1,239",,
2021,1,10,"27,558",908,"2,934","1,057","1,643",444,124,935,249,147,"2,519","1,207",906,429,"1,118",256,166,922,336,119,"4,863","3,268","1,594","1,414",,
2021,1,20,"40,620","1,716","3,125","1,983","1,315",906,227,"2,119",411,256,"4,011","1,996","1,436","1,382","1,598",580,402,"2,148",923,354,"5,917","3,802","1,808","2,205",,
2021,1,30,"44,259","1,678","3,052","2,606","2,539",851,205,"2,483",372,201,"2,990","1,745","1,789","1,346","1,321",692,387,"1,644",887,260,"8,655","4,051","2,424","2,081",,
2021,1,40,"50,182","2,211","4,407","3,020","3,084",990,304,"2,088",534,391,"3,859","2,194","2,003","1,202","1,908",663,476,"1,823",836,285,"8,408","4,561","2,712","2,223",,
2021,1,50,"45,999","2,805","3,791","2,459","1,663","1,186",383,"1,764",751,567,"4,180","2,442","1,672","1,069","2,058",595,537,"2,192","1,023",433,"5,936","4,260","1,703","2,530",,
2021,1,60,"27,797","2,228","1,946","1,474","1,096",947,407,"1,012",593,584,"2,211","1,540",947,622,"1,357",365,461,"1,449",746,355,"2,876","2,437",756,"1,388",,
2021,1,70,"12,522","1,219",823,648,548,482,219,485,322,375,963,762,327,285,565,171,264,698,395,208,"1,064",933,243,523,,
2021,1,80,"5,032",565,353,220,179,174,92,180,157,160,334,305,132,121,233,83,121,274,153,67,369,438,76,246,,
2021,1,90,503,50,34,26,24,14,5,13,24,16,33,42,13,8,30,12,14,25,14,9,31,36,6,24,,
2021,1,100,74,17,0,0,0,1,1,3,0,0,7,9,2,1,6,5,10,3,4,1,2,1,0,1,,
2021,2,총,"281,521","14,326","22,430","14,465","14,284","6,253","2,013","12,597","3,596","2,790","22,670","12,900","10,468","6,877","11,040","3,730","2,915","11,746","5,595","2,164","44,174","26,804","13,227","14,457",,
2021,2,0,"25,188",804,"1,955",930,"2,097",242,54,"1,361",175,87,"1,479",657,"1,182",338,814,292,89,541,253,60,"5,734","2,938","1,793","1,313",,
2021,2,10,"27,686",916,"2,919","1,046","1,657",437,124,940,251,148,"2,518","1,197",916,434,"1,116",253,167,912,336,123,"4,924","3,281","1,610","1,461",,
2021,2,20,"40,871","1,736","3,118","2,008","1,334",902,220,"2,164",403,261,"4,033","1,997","1,438","1,414","1,591",578,396,"2,152",927,356,"5,951","3,773","1,841","2,278",,
2021,2,30,"44,623","1,713","3,045","2,612","2,536",866,206,"2,528",377,195,"3,009","1,748","1,787","1,345","1,336",691,381,"1,673",889,268,"8,688","4,052","2,449","2,229",,
2021,2,40,"50,529","2,229","4,372","3,016","3,115",993,299,"2,105",544,394,"3,881","2,186","2,028","1,225","1,916",671,469,"1,816",840,278,"8,494","4,610","2,729","2,319",,
2021,2,50,"46,254","2,810","3,835","2,477","1,689","1,180",387,"1,784",741,562,"4,175","2,437","1,683","1,081","2,058",598,535,"2,190","1,021",431,"5,992","4,263","1,711","2,614",,
2021,2,60,"28,148","2,263","1,969","1,484","1,104",956,408,"1,031",605,588,"2,237","1,557",956,620,"1,372",372,469,"1,454",760,360,"2,918","2,472",762,"1,431",,
2021,2,70,"12,551","1,215",828,644,544,487,218,483,319,381,965,753,330,291,570,171,263,703,394,205,"1,069",934,250,534,,
2021,2,80,"5,081",572,354,220,183,174,90,184,156,157,332,316,133,120,232,87,122,277,157,73,371,442,76,253,,
2021,2,90,516,51,35,28,25,15,6,14,25,17,34,43,13,8,29,12,14,25,14,9,31,38,6,24,,
2021,2,100,74,17,0,0,0,1,1,3,0,0,7,9,2,1,6,5,10,3,4,1,2,1,0,1,,
