년도,월,나이,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020,3,40,"78,221","36,203",803,"5,323","10,032",352,"1,319",330,187,"3,484","2,305","1,515",539,361,"5,210","4,443","42,018","6,285",239,507,212,423,138,44,106,"2,028","2,809","2,586","3,379","4,946","3,322","13,306","1,688"
2020,3,50,"91,389","42,287","1,505","6,111","8,413",751,"1,857",727,362,"4,745","3,518","2,524",891,520,"5,616","4,747","49,102","7,078",501,923,489,924,410,119,209,"2,881","3,528","3,585","4,273","6,093","4,577","11,996","1,516"
2020,3,60,"74,903","35,199","1,891","3,963","5,929",884,"1,737",962,448,"4,950","4,070","3,102",949,385,"3,560","2,369","39,704","5,451",713,"1,070",621,"1,203",577,192,339,"3,266","2,438","4,050","3,908","4,073","3,384","7,056","1,363"
2020,3,70,"35,907","16,747","1,351","1,607","2,458",520,"1,110",853,386,"2,263","2,074","1,665",571,185,855,849,"19,160","2,901",498,849,468,892,414,101,255,"2,008",924,"2,236","1,811","1,632","1,319","2,274",578
2020,3,80,"14,783","6,449",666,645,"1,050",230,481,597,218,562,564,524,187,73,286,366,"8,334","1,441",386,499,312,623,302,52,180,750,317,715,642,621,488,830,176
2020,3,90,"2,043",856,89,74,116,36,66,87,29,84,67,77,22,7,54,48,"1,187",211,52,73,54,94,46,15,24,100,53,92,89,82,53,124,25
2020,3,100,103,52,5,7,14,1,3,5,1,0,5,5,2,0,2,2,51,8,2,2,1,2,0,0,2,10,3,6,5,3,2,3,2
2020,4,총,"505,209","232,620","7,771","31,157","54,683","3,603","9,974","4,180","1,930","25,357","17,657","12,812","4,853","2,960","30,703","24,980","272,589","40,612","2,870","4,891","2,554","5,030","2,129",602,"1,286","15,977","17,433","19,988","22,647","32,034","22,460","72,467","9,609"
2020,4,0,"41,207","18,299",163,"2,558","5,995",86,591,77,37,"1,286",657,451,239,178,"3,690","2,291","22,908","4,046",73,123,37,109,35,7,23,614,"1,292",847,"1,560","3,098","1,552","8,538",954
2020,4,10,"47,596","21,621",270,"3,780","5,812",161,804,138,76,"1,589",856,745,277,207,"3,823","3,083","25,975","3,632",90,231,87,205,57,18,39,843,"1,943","1,028","2,163","3,107","2,465","8,905","1,162"
2020,4,20,"57,375","26,792",527,"3,729","6,244",305,"1,034",216,107,"3,318","1,794","1,115",621,694,"3,635","3,453","30,583","4,232",178,321,171,311,76,35,53,"1,678","2,186","2,363","2,453","3,980","2,899","8,730",917
2020,4,30,"61,240","28,040",487,"3,346","8,536",281,950,190,85,"3,079","1,741","1,105",557,365,"3,993","3,325","33,200","5,269",134,290,111,250,76,14,58,"1,787","1,916","2,447","2,390","4,409","2,289","10,522","1,238"
2020,4,40,"78,041","36,087",790,"5,304","10,050",350,"1,325",329,181,"3,472","2,288","1,503",536,353,"5,183","4,423","41,954","6,296",228,500,204,407,135,42,105,"2,005","2,794","2,588","3,346","4,921","3,329","13,378","1,676"
2020,4,50,"91,371","42,209","1,511","6,105","8,424",743,"1,853",725,357,"4,721","3,504","2,495",885,512,"5,614","4,760","49,162","7,085",502,920,486,924,406,122,207,"2,878","3,523","3,566","4,269","6,076","4,621","12,062","1,515"
2020,4,60,"75,301","35,366","1,898","3,997","5,971",888,"1,745",964,451,"4,966","4,084","3,115",953,382,"3,571","2,381","39,935","5,464",721,"1,077",620,"1,205",575,193,340,"3,277","2,467","4,073","3,923","4,103","3,424","7,109","1,364"
2020,4,70,"35,998","16,769","1,350","1,606","2,459",519,"1,115",846,387,"2,273","2,084","1,668",573,190,853,846,"19,229","2,913",498,853,469,897,419,104,253,"2,022",936,"2,254","1,801","1,621","1,334","2,276",579
2020,4,80,"14,900","6,518",679,652,"1,058",233,485,604,220,569,578,530,187,73,284,366,"8,382","1,453",390,502,312,622,303,52,182,760,320,722,646,635,487,819,177
2020,4,90,"2,077",868,91,73,120,36,69,87,28,84,66,80,23,6,55,50,"1,209",214,54,72,56,98,47,15,24,103,52,94,91,81,58,125,25
2020,4,100,103,51,5,7,14,1,3,4,1,0,5,5,2,0,2,2,52,8,2,2,1,2,0,0,2,10,4,6,5,3,2,3,2
2020,5,총,"504,829","232,216","7,746","31,052","54,687","3,596","9,942","4,156","1,922","25,285","17,632","12,757","4,841","2,944","30,613","25,043","272,613","40,637","2,866","4,884","2,554","5,018","2,126",603,"1,288","15,953","17,375","19,998","22,584","31,945","22,585","72,592","9,605"
2020,5,0,"41,051","18,179",162,"2,537","5,945",85,580,77,34,"1,275",657,449,241,177,"3,671","2,289","22,872","4,037",75,122,36,108,36,7,23,614,"1,277",838,"1,559","3,059","1,582","8,545",954
2020,5,10,"47,402","21,544",262,"3,773","5,817",159,803,134,78,"1,582",845,744,276,204,"3,798","3,069","25,858","3,632",89,227,89,200,57,17,39,833,"1,919","1,024","2,136","3,070","2,459","8,910","1,157"
2020,5,20,"57,136","26,659",517,"3,697","6,264",298,"1,019",211,105,"3,291","1,781","1,100",610,683,"3,620","3,463","30,477","4,198",177,320,171,312,74,36,52,"1,673","2,189","2,359","2,443","3,972","2,905","8,676",920
2020,5,30,"61,152","27,935",485,"3,307","8,481",279,954,187,88,"3,063","1,745","1,094",551,364,"3,958","3,379","33,217","5,264",130,286,108,244,75,14,59,"1,792","1,904","2,445","2,382","4,373","2,339","10,567","1,235"
2020,5,40,"77,843","35,978",788,"5,287","10,056",347,"1,312",319,178,"3,452","2,258","1,489",540,355,"5,187","4,410","41,865","6,289",226,499,200,397,132,43,104,"1,996","2,773","2,595","3,321","4,910","3,345","13,364","1,671"
2020,5,50,"91,331","42,140","1,516","6,098","8,441",737,"1,836",725,353,"4,695","3,500","2,478",874,508,"5,605","4,774","49,191","7,106",496,915,488,920,406,119,209,"2,869","3,516","3,556","4,258","6,061","4,621","12,143","1,508"
2020,5,60,"75,646","35,492","1,898","4,019","6,011",895,"1,763",963,453,"4,996","4,084","3,106",956,382,"3,582","2,384","40,154","5,505",727,"1,087",627,"1,220",571,195,342,"3,287","2,470","4,088","3,930","4,143","3,443","7,150","1,369"
2020,5,70,"36,114","16,828","1,339","1,609","2,466",527,"1,114",847,383,"2,283","2,102","1,685",578,189,854,852,"19,286","2,927",498,853,469,892,419,105,253,"2,009",948,"2,259","1,809","1,632","1,341","2,289",583
2020,5,80,"14,968","6,540",682,648,"1,069",232,487,601,221,564,590,531,190,76,280,369,"8,428","1,457",393,501,308,626,309,53,181,766,324,733,650,640,488,817,182
2020,5,90,"2,084",870,92,71,123,36,71,88,28,83,65,76,23,6,56,52,"1,214",214,53,72,57,97,47,14,24,104,51,96,91,82,60,128,24
2020,5,100,102,51,5,6,14,1,3,4,1,1,5,5,2,0,2,2,51,8,2,2,1,2,0,0,2,10,4,5,5,3,2,3,2
2020,6,총,"504,461","231,837","7,721","30,940","54,694","3,572","9,938","4,137","1,916","25,138","17,567","12,708","4,816","2,941","30,523","25,226","272,624","40,676","2,884","4,879","2,544","5,001","2,131",601,"1,292","15,884","17,359","19,905","22,511","31,933","22,761","72,676","9,587"
2020,6,0,"40,861","18,055",161,"2,519","5,892",76,581,77,33,"1,266",661,454,228,177,"3,660","2,270","22,806","4,032",72,124,36,103,36,7,23,595,"1,275",821,"1,540","3,043","1,608","8,539",952
2020,6,10,"47,309","21,518",259,"3,760","5,858",156,790,132,78,"1,562",838,739,279,204,"3,786","3,077","25,791","3,634",88,225,89,192,57,17,39,827,"1,903","1,012","2,125","3,070","2,466","8,899","1,148"
2020,6,20,"56,998","26,576",514,"3,669","6,273",294,"1,017",207,106,"3,242","1,771","1,086",600,683,"3,593","3,521","30,422","4,200",186,313,169,314,74,35,51,"1,658","2,192","2,337","2,428","3,956","2,941","8,661",907
2020,6,30,"60,979","27,772",482,"3,280","8,401",279,958,184,85,"3,049","1,721","1,086",550,357,"3,943","3,397","33,207","5,245",128,289,104,246,73,14,58,"1,773","1,900","2,421","2,364","4,368","2,383","10,615","1,226"
2020,6,40,"77,719","35,917",786,"5,264","10,079",335,"1,296",315,176,"3,426","2,248","1,487",539,353,"5,174","4,439","41,802","6,291",227,492,200,389,129,42,105,"1,985","2,766","2,596","3,319","4,888","3,352","13,344","1,677"
2020,6,50,"90,977","41,927","1,501","6,050","8,411",738,"1,841",726,354,"4,640","3,452","2,444",872,501,"5,568","4,829","49,050","7,088",497,911,489,911,408,119,212,"2,855","3,514","3,521","4,215","6,031","4,639","12,146","1,494"
2020,6,60,"76,143","35,699","1,898","4,042","6,075",898,"1,768",966,453,"5,014","4,115","3,102",956,394,"3,605","2,413","40,444","5,565",736,"1,095",621,"1,224",571,193,345,"3,291","2,479","4,087","3,959","4,200","3,469","7,223","1,386"
2020,6,70,"36,275","16,886","1,346","1,628","2,479",528,"1,123",838,384,"2,291","2,104","1,682",579,191,858,855,"19,389","2,936",501,856,471,894,423,106,253,"2,024",953,"2,279","1,815","1,642","1,349","2,303",584
2020,6,80,"15,015","6,571",679,648,"1,093",231,490,600,219,565,588,543,189,75,280,371,"8,444","1,461",393,500,309,627,312,54,179,763,321,731,651,646,492,818,187
2020,6,90,"2,084",865,90,75,119,36,72,88,27,80,64,80,22,6,54,52,"1,219",216,54,72,55,99,48,14,25,104,52,95,90,86,60,125,24
2020,6,100,101,51,5,5,14,1,2,4,1,3,5,5,2,0,2,2,50,8,2,2,1,2,0,0,2,9,4,5,5,3,2,3,2
2020,7,총,"504,230","231,533","7,689","30,827","54,670","3,557","9,950","4,120","1,918","25,062","17,507","12,683","4,779","2,909","30,526","25,336","272,697","40,732","2,893","4,856","2,534","4,986","2,129",598,"1,294","15,824","17,290","19,843","22,452","32,024","22,948","72,717","9,577"
2020,7,0,"40,718","17,995",159,"2,491","5,868",73,583,74,35,"1,255",653,454,217,172,"3,667","2,294","22,723","4,014",68,117,36,102,35,6,21,584,"1,265",810,"1,530","3,041","1,636","8,517",941
2020,7,10,"47,204","21,429",249,"3,744","5,842",153,794,130,77,"1,553",823,735,277,202,"3,786","3,064","25,775","3,645",85,225,87,192,58,16,41,819,"1,892","1,007","2,105","3,090","2,469","8,888","1,156"
2020,7,20,"56,870","26,511",508,"3,663","6,278",292,"1,009",200,106,"3,237","1,758","1,078",593,663,"3,583","3,543","30,359","4,168",186,316,165,305,72,36,52,"1,645","2,172","2,324","2,423","3,941","2,974","8,678",902
2020,7,30,"60,815","27,631",478,"3,234","8,375",281,958,187,85,"3,021","1,699","1,074",540,357,"3,924","3,418","33,184","5,254",132,281,106,244,71,13,56,"1,760","1,890","2,397","2,340","4,382","2,430","10,611","1,217"
2020,7,40,"77,634","35,841",780,"5,241","10,060",329,"1,295",311,179,"3,410","2,244","1,485",539,347,"5,192","4,429","41,793","6,296",220,496,200,383,129,42,103,"1,987","2,747","2,583","3,321","4,905","3,363","13,341","1,677"
2020,7,50,"90,860","41,864","1,487","6,047","8,431",730,"1,849",712,350,"4,613","3,443","2,425",863,497,"5,551","4,866","48,996","7,099",503,893,485,915,404,118,212,"2,840","3,494","3,504","4,201","6,045","4,678","12,117","1,488"
2020,7,60,"76,442","35,798","1,909","4,042","6,093",897,"1,781",976,457,"5,021","4,114","3,111",955,398,"3,612","2,432","40,644","5,624",742,"1,095",621,"1,224",573,192,349,"3,288","2,489","4,092","3,968","4,217","3,481","7,289","1,400"
2020,7,70,"36,431","16,967","1,346","1,634","2,492",536,"1,119",833,380,"2,308","2,114","1,693",580,192,873,867,"19,464","2,940",507,858,471,894,429,108,253,"2,025",957,"2,288","1,810","1,653","1,359","2,329",583
2020,7,80,"15,071","6,591",681,653,"1,098",229,487,604,221,564,594,541,193,74,282,370,"8,480","1,464",390,501,310,629,311,53,179,764,327,734,661,657,494,818,188
2020,7,90,"2,080",852,86,73,119,36,73,89,27,77,58,82,20,7,54,51,"1,228",219,58,72,52,96,47,14,26,103,53,99,88,90,62,126,23
2020,7,100,105,54,6,5,14,1,2,4,1,3,7,5,2,0,2,2,51,9,2,2,1,2,0,0,2,9,4,5,5,3,2,3,2
2020,8,총,"503,883","231,180","7,667","30,730","54,686","3,536","9,961","4,113","1,911","25,005","17,438","12,656","4,753","2,878","30,456","25,390","272,703","40,759","2,892","4,846","2,538","4,974","2,131",597,"1,296","15,781","17,278","19,819","22,385","32,107","23,039","72,713","9,548"
2020,8,0,"40,509","17,863",158,"2,466","5,840",66,585,72,32,"1,229",642,449,213,170,"3,663","2,278","22,646","4,014",65,117,34,98,34,6,22,574,"1,256",811,"1,508","3,036","1,653","8,487",931
2020,8,10,"47,036","21,346",246,"3,712","5,843",154,784,128,75,"1,549",810,734,274,195,"3,772","3,070","25,690","3,644",85,215,91,193,59,15,39,802,"1,880",984,"2,090","3,100","2,458","8,887","1,148"
2020,8,20,"56,701","26,404",502,"3,655","6,289",287,"1,009",202,105,"3,232","1,735","1,066",584,652,"3,544","3,542","30,297","4,132",183,314,166,310,72,36,53,"1,649","2,173","2,331","2,399","3,940","2,978","8,657",904
2020,8,30,"60,622","27,484",470,"3,203","8,314",275,978,186,83,"3,006","1,679","1,065",531,345,"3,920","3,429","33,138","5,248",131,280,106,240,72,14,58,"1,747","1,888","2,389","2,310","4,401","2,450","10,595","1,209"
2020,8,40,"77,512","35,789",781,"5,212","10,072",321,"1,282",306,178,"3,406","2,241","1,492",535,347,"5,191","4,425","41,723","6,292",218,483,198,380,127,42,102,"1,985","2,736","2,565","3,316","4,904","3,349","13,352","1,674"
2020,8,50,"90,758","41,764","1,473","6,024","8,459",723,"1,843",713,344,"4,573","3,425","2,405",861,496,"5,523","4,902","48,994","7,122",497,897,485,908,404,118,211,"2,818","3,485","3,507","4,198","6,051","4,714","12,096","1,483"
2020,8,60,"76,887","35,968","1,921","4,077","6,123",903,"1,798",974,462,"5,044","4,113","3,127",955,399,"3,626","2,446","40,919","5,674",754,"1,113",623,"1,227",576,191,352,"3,298","2,510","4,097","3,987","4,259","3,506","7,348","1,404"
2020,8,70,"36,570","17,045","1,345","1,647","2,506",539,"1,122",833,383,"2,321","2,123","1,683",588,195,886,874,"19,525","2,941",507,851,477,900,429,109,252,"2,033",963,"2,294","1,820","1,666","1,363","2,337",583
2020,8,80,"15,094","6,612",678,656,"1,106",230,485,605,222,567,607,546,189,72,275,374,"8,482","1,459",390,503,305,619,313,52,177,763,329,737,664,656,504,823,188
2020,8,90,"2,088",850,87,73,119,37,73,90,26,75,56,84,21,7,54,48,"1,238",224,60,70,52,97,45,14,28,104,54,99,88,91,62,128,22
2020,8,100,106,55,6,5,15,1,2,4,1,3,7,5,2,0,2,2,51,9,2,3,1,2,0,0,2,8,4,5,5,3,2,3,2
2020,9,총,"503,731","230,967","7,654","30,711","54,723","3,516","9,941","4,101","1,906","24,947","17,394","12,619","4,724","2,842","30,449","25,440","272,764","40,755","2,906","4,849","2,526","4,985","2,131",599,"1,291","15,782","17,243","19,817","22,333","32,158","23,119","72,707","9,563"
2020,9,0,"40,326","17,765",158,"2,440","5,811",64,580,75,31,"1,206",639,449,205,164,"3,661","2,282","22,561","4,003",66,113,35,98,35,6,22,567,"1,245",798,"1,498","3,037","1,664","8,444",930
2020,9,10,"46,947","21,324",244,"3,731","5,840",149,787,126,75,"1,554",801,725,272,196,"3,765","3,059","25,623","3,639",88,214,90,196,59,15,37,796,"1,876",974,"2,070","3,089","2,454","8,874","1,152"
2020,9,20,"56,635","26,326",489,"3,645","6,297",282,"1,008",199,105,"3,232","1,724","1,055",575,633,"3,537","3,545","30,309","4,118",180,321,166,312,70,36,53,"1,654","2,157","2,344","2,394","3,930","2,973","8,701",900
2020,9,30,"60,329","27,276",464,"3,156","8,286",270,968,180,84,"2,982","1,649","1,064",521,335,"3,893","3,424","33,053","5,223",129,278,103,237,72,15,60,"1,746","1,885","2,379","2,287","4,430","2,486","10,511","1,212"
2020,9,40,"77,412","35,756",778,"5,215","10,080",318,"1,283",304,182,"3,376","2,225","1,481",537,345,"5,207","4,425","41,656","6,297",220,477,195,379,126,40,101,"1,986","2,722","2,545","3,312","4,884","3,349","13,338","1,685"
2020,9,50,"90,644","41,705","1,461","6,029","8,502",722,"1,814",711,336,"4,557","3,423","2,389",847,493,"5,497","4,924","48,939","7,122",495,896,482,912,398,119,207,"2,811","3,469","3,501","4,165","6,034","4,720","12,130","1,478"
2020,9,60,"77,385","36,172","1,932","4,101","6,151",901,"1,815",971,468,"5,063","4,134","3,134",963,401,"3,663","2,475","41,213","5,707",760,"1,117",620,"1,225",588,190,351,"3,309","2,534","4,128","4,020","4,320","3,534","7,405","1,405"
2020,9,70,"36,647","17,069","1,345","1,655","2,509",538,"1,120",831,375,"2,332","2,123","1,682",589,197,895,878,"19,578","2,938",512,860,482,905,425,111,255,"2,027",968,"2,298","1,816","1,679","1,368","2,348",586
2020,9,80,"15,185","6,661",688,661,"1,111",233,489,610,222,566,613,550,192,72,275,379,"8,524","1,466",394,502,301,621,312,53,175,771,330,741,676,662,506,825,189
2020,9,90,"2,112",858,89,73,122,38,75,90,27,76,56,85,21,6,54,46,"1,254",233,60,68,51,98,46,14,27,106,53,104,89,90,63,128,24
2020,9,100,109,55,6,5,14,1,2,4,1,3,7,5,2,0,2,3,54,9,2,3,1,2,0,0,3,9,4,5,6,3,2,3,2
2020,10,총,"503,456","230,800","7,636","30,680","54,770","3,520","9,923","4,111","1,899","24,884","17,336","12,587","4,710","2,838","30,499","25,407","272,656","40,706","2,891","4,853","2,509","4,947","2,118",594,"1,293","15,742","17,225","19,799","22,353","32,215","23,158","72,683","9,570"
2020,10,0,"40,108","17,674",157,"2,419","5,773",66,579,78,32,"1,203",624,442,205,165,"3,668","2,263","22,434","3,965",67,112,32,95,35,6,22,564,"1,247",798,"1,476","3,026","1,676","8,385",928
2020,10,10,"46,889","21,319",245,"3,719","5,862",149,779,124,71,"1,544",798,724,266,196,"3,791","3,051","25,570","3,634",86,218,90,192,59,15,38,796,"1,867",951,"2,079","3,090","2,453","8,848","1,154"
2020,10,20,"56,539","26,227",482,"3,648","6,279",281,"1,008",198,106,"3,209","1,699","1,052",582,624,"3,524","3,535","30,312","4,099",181,328,161,307,67,33,53,"1,635","2,155","2,348","2,409","3,943","2,969","8,736",888
2020,10,30,"60,119","27,187",453,"3,130","8,277",266,959,178,80,"2,979","1,631","1,050",516,342,"3,904","3,422","32,932","5,194",128,270,102,233,71,15,60,"1,735","1,885","2,359","2,269","4,429","2,491","10,480","1,211"
2020,10,40,"77,218","35,690",778,"5,206","10,073",317,"1,274",306,180,"3,364","2,210","1,477",537,346,"5,213","4,409","41,528","6,271",219,483,192,373,125,40,101,"1,974","2,693","2,535","3,314","4,874","3,332","13,318","1,684"
2020,10,50,"90,502","41,622","1,453","6,011","8,533",722,"1,818",716,331,"4,530","3,417","2,362",830,491,"5,489","4,919","48,880","7,129",480,893,482,901,391,114,207,"2,792","3,464","3,487","4,154","6,041","4,725","12,129","1,491"
2020,10,60,"77,846","36,351","1,933","4,135","6,195",907,"1,818",970,473,"5,062","4,150","3,154",967,401,"3,684","2,502","41,495","5,765",766,"1,118",614,"1,222",594,193,352,"3,322","2,551","4,144","4,043","4,373","3,563","7,474","1,401"
2020,10,70,"36,753","17,101","1,346","1,660","2,527",536,"1,119",838,374,"2,341","2,127","1,679",591,196,893,874,"19,652","2,935",510,858,484,905,419,112,256,"2,031",971,"2,321","1,838","1,682","1,373","2,358",599
