년도,월,나이,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020,8,10,"148,434","20,240","22,382","50,423","38,465","16,924"
2020,8,20,"212,919","30,298","31,235","74,259","52,865","24,262"
2020,8,30,"196,687","26,215","26,818","67,263","56,911","19,480"
2020,8,40,"239,441","34,216","37,456","79,459","60,866","27,444"
2020,8,50,"242,755","37,043","40,068","78,089","54,176","33,379"
2020,8,60,"175,168","31,924","33,100","53,723","32,688","23,733"
2020,8,70,"90,599","19,028","20,533","25,741","13,347","11,950"
2020,8,80,"39,872","8,179","9,078","11,161","6,280","5,174"
2020,8,90,"5,776","1,116","1,256","1,665","1,067",672
2020,8,100,365,99,83,91,57,35
2020,9,총,"1,469,099","223,368","237,425","480,780","352,604","174,922"
2020,9,0,"116,775","15,234","15,615","39,020","35,659","11,247"
2020,9,10,"148,077","20,165","22,312","50,265","38,445","16,890"
2020,9,20,"212,956","30,252","31,157","74,347","52,903","24,297"
2020,9,30,"196,294","26,058","26,694","66,985","56,858","19,699"
2020,9,40,"239,098","34,199","37,380","79,298","60,822","27,399"
2020,9,50,"242,735","36,919","40,015","78,112","54,171","33,518"
2020,9,60,"176,174","32,048","33,236","53,973","32,945","23,972"
2020,9,70,"90,737","19,058","20,549","25,792","13,354","11,984"
2020,9,80,"40,070","8,218","9,117","11,218","6,315","5,202"
2020,9,90,"5,819","1,121","1,265","1,679","1,076",678
2020,9,100,364,96,85,91,56,36
2020,10,총,"1,467,556","222,850","236,825","479,806","352,231","175,844"
2020,10,0,"116,012","15,094","15,483","38,686","35,421","11,328"
2020,10,10,"147,489","20,039","22,176","50,071","38,338","16,865"
2020,10,20,"212,830","30,203","31,106","74,236","52,880","24,405"
2020,10,30,"195,531","25,850","26,476","66,610","56,632","19,963"
2020,10,40,"238,518","34,106","37,232","79,031","60,763","27,386"
2020,10,50,"242,641","36,807","39,925","78,067","54,175","33,667"
2020,10,60,"177,135","32,182","33,355","54,210","33,144","24,244"
2020,10,70,"90,995","19,083","20,581","25,887","13,414","12,030"
2020,10,80,"40,209","8,272","9,128","11,240","6,333","5,236"
2020,10,90,"5,834","1,118","1,279","1,679","1,075",683
2020,10,100,362,96,84,89,56,37
2020,11,총,"1,465,893","222,446","236,492","478,872","351,790","176,293"
2020,11,0,"115,090","14,978","15,356","38,318","35,132","11,306"
2020,11,10,"147,075","19,943","22,141","49,890","38,303","16,798"
2020,11,20,"212,799","30,124","31,102","74,193","52,861","24,519"
2020,11,30,"194,743","25,713","26,290","66,271","56,375","20,094"
2020,11,40,"237,874","34,036","37,105","78,782","60,631","27,320"
2020,11,50,"242,533","36,743","39,911","77,956","54,169","33,754"
2020,11,60,"178,117","32,329","33,454","54,466","33,409","24,459"
2020,11,70,"91,142","19,080","20,610","25,979","13,407","12,066"
2020,11,80,"40,310","8,283","9,170","11,249","6,365","5,243"
2020,11,90,"5,846","1,122","1,269","1,678","1,082",695
2020,11,100,364,95,84,90,56,39
2020,12,총,"1,463,882","223,021","235,550","477,880","351,047","176,384"
2020,12,0,"114,529","15,010","15,174","38,092","34,946","11,307"
2020,12,10,"146,436","19,901","21,987","49,693","38,155","16,700"
2020,12,20,"212,488","30,186","30,940","74,090","52,744","24,528"
2020,12,30,"194,088","25,852","26,091","65,899","56,069","20,177"
2020,12,40,"237,216","34,080","36,905","78,525","60,445","27,261"
2020,12,50,"241,921","36,736","39,694","77,731","54,074","33,686"
2020,12,60,"179,153","32,564","33,603","54,755","33,611","24,620"
2020,12,70,"91,320","19,150","20,588","26,027","13,453","12,102"
2020,12,80,"40,519","8,315","9,214","11,304","6,411","5,275"
2020,12,90,"5,841","1,129","1,269","1,672","1,082",689
2020,12,100,371,98,85,92,57,39
2021,1,총,"1,463,291","223,727","235,164","477,326","350,875","176,199"
2021,1,0,"113,762","15,041","15,033","37,774","34,697","11,217"
2021,1,10,"145,937","19,868","21,876","49,470","38,129","16,594"
2021,1,20,"212,178","30,188","30,828","73,979","52,673","24,510"
2021,1,30,"193,830","26,005","25,984","65,733","55,991","20,117"
2021,1,40,"236,679","34,143","36,730","78,243","60,403","27,160"
2021,1,50,"241,468","36,796","39,557","77,563","53,935","33,617"
2021,1,60,"180,804","32,875","33,859","55,276","33,975","24,819"
2021,1,70,"91,576","19,185","20,639","26,157","13,482","12,113"
2021,1,80,"40,750","8,392","9,276","11,342","6,430","5,310"
2021,1,90,"5,932","1,137","1,296","1,696","1,101",702
2021,1,100,375,97,86,93,59,40
2021,2,총,"1,462,064","224,103","234,654","476,945","350,374","175,988"
2021,2,0,"113,038","15,010","14,839","37,628","34,435","11,126"
2021,2,10,"145,510","19,971","21,768","49,273","38,001","16,497"
2021,2,20,"211,623","30,133","30,806","73,777","52,519","24,388"
2021,2,30,"193,082","25,967","25,834","65,617","55,662","20,002"
2021,2,40,"236,454","34,241","36,578","78,138","60,367","27,130"
2021,2,50,"241,208","36,789","39,461","77,428","53,979","33,551"
2021,2,60,"182,044","33,079","33,975","55,653","34,283","25,054"
2021,2,70,"91,636","19,176","20,656","26,176","13,521","12,107"
2021,2,80,"41,101","8,485","9,343","11,456","6,436","5,381"
2021,2,90,"5,988","1,154","1,307","1,704","1,113",710
2021,2,100,380,98,87,95,58,42
2021,3,총,"1,458,463","223,469","233,601","475,685","350,136","175,572"
2021,3,0,"112,297","14,943","14,722","37,336","34,261","11,035"
2021,3,10,"145,010","19,971","21,695","49,026","37,931","16,387"
2021,3,20,"211,498","30,220","30,652","73,642","52,588","24,396"
2021,3,30,"192,338","25,851","25,704","65,406","55,473","19,904"
2021,3,40,"235,062","34,027","36,309","77,632","60,212","26,882"
2021,3,50,"240,184","36,513","39,189","77,080","53,950","33,452"
2021,3,60,"183,343","33,183","34,091","56,130","34,617","25,322"
2021,3,70,"91,414","19,102","20,597","26,142","13,504","12,069"
2021,3,80,"41,193","8,503","9,312","11,529","6,461","5,388"
2021,3,90,"5,920","1,117","1,284","1,701","1,107",711
2021,3,100,204,39,46,61,32,26
2021,4,총,"1,457,619","223,358","233,213","475,622","350,017","175,409"
2021,4,0,"111,757","14,869","14,648","37,149","34,125","10,966"
2021,4,10,"144,580","19,927","21,578","48,899","37,875","16,301"
2021,4,20,"211,361","30,180","30,590","73,706","52,506","24,379"
2021,4,30,"192,055","25,790","25,608","65,395","55,391","19,871"
2021,4,40,"234,618","33,994","36,173","77,468","60,183","26,800"
2021,4,50,"239,844","36,404","39,109","77,024","53,978","33,329"
2021,4,60,"184,422","33,423","34,221","56,471","34,803","25,504"
2021,4,70,"91,427","19,072","20,572","26,176","13,523","12,084"
2021,4,80,"41,422","8,540","9,368","11,572","6,504","5,438"
2021,4,90,"5,932","1,120","1,298","1,703","1,103",708
2021,4,100,201,39,48,59,26,29
2021,5,총,"1,457,161","223,353","233,067","475,406","350,046","175,289"
2021,5,0,"111,167","14,792","14,571","36,951","33,968","10,885"
2021,5,10,"144,225","19,873","21,506","48,810","37,813","16,223"
2021,5,20,"211,313","30,295","30,543","73,607","52,518","24,350"
2021,5,30,"191,713","25,709","25,555","65,300","55,283","19,866"
2021,5,40,"233,876","33,926","36,063","77,217","60,041","26,629"
2021,5,50,"239,909","36,343","39,097","77,009","54,118","33,342"
2021,5,60,"185,594","33,606","34,385","56,894","35,064","25,645"
2021,5,70,"91,503","19,042","20,555","26,210","13,566","12,130"
2021,5,80,"41,696","8,598","9,436","11,627","6,551","5,484"
2021,5,90,"5,963","1,130","1,308","1,721","1,097",707
2021,5,100,202,39,48,60,27,28
2021,6,총,"1,456,107","223,245","232,841","474,934","349,927","175,160"
2021,6,0,"110,671","14,731","14,503","36,743","33,869","10,825"
2021,6,10,"143,914","19,811","21,449","48,761","37,724","16,169"
2021,6,20,"210,976","30,225","30,529","73,505","52,404","24,313"
2021,6,30,"191,188","25,622","25,481","65,140","55,147","19,798"
2021,6,40,"233,637","33,962","35,988","77,054","60,045","26,588"
2021,6,50,"239,229","36,226","38,943","76,766","54,043","33,251"
2021,6,60,"186,847","33,790","34,547","57,331","35,385","25,794"
2021,6,70,"91,567","19,035","20,561","26,193","13,611","12,167"
2021,6,80,"41,935","8,677","9,490","11,680","6,575","5,513"
2021,6,90,"5,941","1,128","1,301","1,703","1,096",713
2021,6,100,202,38,49,58,28,29
2021,7,총,"1,455,300","223,198","232,627","474,653","349,836","174,986"
2021,7,0,"110,138","14,688","14,459","36,515","33,750","10,726"
2021,7,10,"143,598","19,766","21,364","48,699","37,640","16,129"
2021,7,20,"210,655","30,134","30,475","73,477","52,293","24,276"
2021,7,30,"190,813","25,603","25,442","64,984","55,037","19,747"
2021,7,40,"233,122","33,884","35,854","76,916","59,986","26,482"
2021,7,50,"239,271","36,232","38,945","76,750","54,100","33,244"
2021,7,60,"187,703","33,944","34,627","57,578","35,633","25,921"
2021,7,70,"91,741","19,051","20,600","26,243","13,663","12,184"
2021,7,80,"42,113","8,729","9,510","11,736","6,603","5,535"
2021,7,90,"5,937","1,128","1,300","1,694","1,102",713
2021,7,100,209,39,51,61,29,29
2021,8,총,"1,454,679","223,206","232,309","474,504","349,809","174,851"
2021,8,0,"109,542","14,590","14,353","36,331","33,589","10,679"
2021,8,10,"143,384","19,730","21,311","48,630","37,635","16,078"
2021,8,20,"210,407","30,171","30,374","73,367","52,291","24,204"
2021,8,30,"190,417","25,527","25,353","64,914","54,917","19,706"
2021,8,40,"232,653","33,845","35,749","76,768","59,862","26,429"
2021,8,50,"239,536","36,275","39,008","76,794","54,248","33,211"
2021,8,60,"188,339","34,070","34,674","57,825","35,767","26,003"
2021,8,70,"91,868","19,060","20,579","26,288","13,727","12,214"
2021,8,80,"42,321","8,753","9,547","11,807","6,641","5,573"
2021,8,90,"6,000","1,143","1,310","1,718","1,102",727
2021,8,100,212,42,51,62,30,27
2021,9,총,"1,455,058","223,409","232,077","474,444","350,337","174,791"
2021,9,0,"108,994","14,495","14,273","36,159","33,448","10,619"
2021,9,10,"143,141","19,730","21,228","48,564","37,602","16,017"
2021,9,20,"211,021","30,350","30,367","73,480","52,643","24,181"
2021,9,30,"190,288","25,540","25,306","64,911","54,834","19,697"
2021,9,40,"232,111","33,745","35,602","76,531","59,913","26,320"
2021,9,50,"239,841","36,327","39,039","76,873","54,338","33,264"
2021,9,60,"188,867","34,147","34,705","57,938","36,000","26,077"
2021,9,70,"91,998","19,106","20,576","26,336","13,744","12,236"
2021,9,80,"42,541","8,771","9,602","11,870","6,678","5,620"
2021,9,90,"6,044","1,155","1,328","1,722","1,107",732
2021,9,100,212,43,51,60,30,28
2021,10,총,"1,454,228","223,384","231,852","474,046","350,284","174,662"
2021,10,0,"108,388","14,423","14,188","35,981","33,275","10,521"
2021,10,10,"142,897","19,687","21,144","48,439","37,651","15,976"
2021,10,20,"210,578","30,372","30,295","73,248","52,495","24,168"
2021,10,30,"190,062","25,493","25,262","64,815","54,852","19,640"
2021,10,40,"231,511","33,661","35,467","76,387","59,804","26,192"
2021,10,50,"240,082","36,401","39,072","76,926","54,402","33,281"
2021,10,60,"189,446","34,191","34,809","58,097","36,181","26,168"
2021,10,70,"92,247","19,136","20,599","26,423","13,777","12,312"
2021,10,80,"42,726","8,814","9,645","11,935","6,704","5,628"
2021,10,90,"6,093","1,164","1,331","1,737","1,112",749
2021,10,100,198,42,40,58,31,27
2021,11,총,"1,453,675","223,038","231,306","473,952","351,049","174,330"
2021,11,0,"107,912","14,302","14,056","35,892","33,210","10,452"
2021,11,10,"142,601","19,589","21,064","48,332","37,744","15,872"
2021,11,20,"210,148","30,294","30,196","73,110","52,454","24,094"
2021,11,30,"189,983","25,440","25,188","64,807","54,927","19,621"
2021,11,40,"231,153","33,546","35,384","76,314","59,829","26,080"
2021,11,50,"240,267","36,396","38,996","76,970","54,663","33,242"
2021,11,60,"190,076","34,284","34,827","58,289","36,458","26,218"
2021,11,70,"92,291","19,134","20,561","26,449","13,838","12,309"
2021,11,80,"42,957","8,853","9,680","11,977","6,774","5,673"
2021,11,90,"6,098","1,159","1,315","1,758","1,123",743
2021,11,100,189,41,39,54,29,26
2021,12,총,"1,452,251","222,222","230,341","473,365","351,277","175,046"
2021,12,0,"107,548","14,156","13,883","35,861","33,129","10,519"
2021,12,10,"142,175","19,474","20,948","48,149","37,818","15,786"
2021,12,20,"209,397","30,090","30,051","72,847","52,312","24,097"
2021,12,30,"189,669","25,243","24,970","64,713","54,802","19,941"
2021,12,40,"231,018","33,446","35,204","76,261","59,950","26,157"
2021,12,50,"240,017","36,280","38,869","76,797","54,745","33,326"
2021,12,60,"190,514","34,291","34,798","58,390","36,673","26,362"
2021,12,70,"92,390","19,154","20,521","26,485","13,867","12,363"
2021,12,80,"43,199","8,880","9,735","12,047","6,816","5,721"
2021,12,90,"6,155","1,174","1,326","1,766","1,141",748
2021,12,100,169,34,36,49,24,26
