년도,월,나이,춘천시,신북읍,동면,동산면,신동면,남면,서면,사북면,북산면,동내면,남산면,교동,조운동,약사명동,근화동,소양동,후평1동,후평2동,후평3동,효자1동,효자2동,효자3동,석사동,퇴계동,강남동,신사우동
2020,3,60,"17,499",709,"1,095",223,276,134,503,321,171,"1,008",438,235,239,201,507,605,847,750,"1,285",302,806,310,"1,821","2,468","1,129","1,116"
2020,3,70,"9,242",436,466,107,139,93,282,192,98,450,273,173,155,118,302,344,491,408,639,189,490,181,863,"1,086",612,655
2020,3,80,"3,996",199,175,61,76,54,128,84,35,182,88,68,57,61,136,156,198,167,251,89,239,99,414,497,211,271
2020,3,90,419,22,16,2,3,9,20,9,4,20,10,6,8,7,22,18,19,27,30,12,12,8,33,50,24,28
2020,3,100,48,2,1,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,1,1,13
2020,4,총,"138,867","3,919","9,772",818,"1,336",594,"1,992","1,259",533,"8,631","1,874","1,812","1,437","1,145","4,514","4,861","5,929","7,294","10,153","2,341","6,310","2,321","17,578","23,866","8,296","10,282"
2020,4,0,"11,311",178,"1,199",11,60,16,64,37,11,816,52,74,41,50,505,396,299,687,891,178,216,84,"1,364","2,338",682,"1,062"
2020,4,10,"14,351",255,"1,253",44,65,18,109,89,7,864,97,107,76,70,385,423,463,804,"1,036",232,396,119,"2,327","3,204",728,"1,180"
2020,4,20,"19,666",474,"1,039",74,162,31,134,108,22,"1,128",139,423,214,158,569,663,993,"1,137","1,361",307,"1,533",514,"2,684","3,242","1,171","1,386"
2020,4,30,"17,546",372,"1,205",59,113,41,130,65,27,"1,257",159,238,162,124,753,655,765,"1,087","1,483",266,756,349,"2,011","3,048","1,132","1,289"
2020,4,40,"21,172",502,"1,771",78,153,56,214,113,40,"1,489",219,212,208,140,620,723,813,"1,058","1,509",376,809,302,"2,928","3,973","1,193","1,673"
2020,4,50,"23,500",774,"1,547",159,285,137,401,239,114,"1,414",395,276,273,210,717,869,"1,045","1,160","1,654",387,"1,040",353,"3,113","3,938","1,400","1,600"
2020,4,60,"17,611",711,"1,101",221,276,139,506,323,172,"1,012",443,233,245,204,505,609,844,758,"1,295",304,810,310,"1,833","2,492","1,138","1,127"
2020,4,70,"9,218",428,464,107,143,92,282,191,99,443,270,172,151,121,301,347,488,406,638,190,489,181,865,"1,081",618,651
2020,4,80,"4,020",201,177,63,75,56,129,85,37,187,87,69,58,59,136,154,199,168,255,88,242,100,417,499,206,273
2020,4,90,424,22,15,2,3,8,19,9,4,20,11,6,8,7,22,18,19,28,30,13,13,8,34,50,27,28
2020,4,100,48,2,1,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,1,1,13
2020,5,총,"138,877","3,912","9,764",820,"1,332",597,"1,981","1,254",533,"8,655","1,864","1,824","1,443","1,143","4,535","4,842","5,908","7,280","10,143","2,335","6,325","2,320","17,586","23,926","8,288","10,267"
2020,5,0,"11,291",178,"1,196",12,60,18,63,36,12,810,49,72,44,49,516,398,296,692,884,180,216,85,"1,364","2,330",678,"1,053"
2020,5,10,"14,240",248,"1,260",44,64,20,107,86,7,865,95,106,76,68,381,415,458,795,"1,033",231,392,118,"2,304","3,181",712,"1,174"
2020,5,20,"19,692",465,"1,032",74,161,29,128,108,22,"1,123",138,437,216,158,569,657,988,"1,136","1,356",312,"1,540",505,"2,689","3,257","1,184","1,408"
2020,5,30,"17,550",376,"1,181",59,114,42,128,65,27,"1,266",163,236,162,125,758,658,764,"1,078","1,482",260,765,355,"2,021","3,063","1,128","1,274"
2020,5,40,"21,115",498,"1,773",78,153,56,215,111,39,"1,493",215,214,210,142,629,716,809,"1,055","1,516",372,811,303,"2,902","3,975","1,177","1,653"
2020,5,50,"23,551",782,"1,559",158,283,135,399,238,113,"1,422",393,276,272,211,719,866,"1,034","1,158","1,644",383,"1,039",352,"3,142","3,971","1,394","1,608"
2020,5,60,"17,705",712,"1,108",222,273,141,506,323,174,"1,018",443,232,244,203,508,605,856,762,"1,299",310,810,310,"1,844","2,508","1,160","1,134"
2020,5,70,"9,203",425,460,107,145,92,286,190,97,449,269,176,153,120,291,350,483,407,642,182,491,180,860,"1,087",614,647
2020,5,80,"4,049",203,179,64,75,56,125,88,39,188,86,68,55,58,138,154,201,168,257,92,242,102,422,503,212,274
2020,5,90,433,23,15,2,3,8,20,9,3,20,11,5,10,7,25,19,18,28,29,13,13,9,36,50,28,29
2020,5,100,48,2,1,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,1,1,13
2020,6,총,"138,835","3,898","9,734",819,"1,331",597,"1,991","1,258",527,"8,662","1,864","1,827","1,441","1,148","4,534","4,853","5,907","7,265","10,142","2,324","6,341","2,307","17,561","23,947","8,279","10,278"
2020,6,0,"11,236",175,"1,177",12,62,18,64,37,11,803,49,71,45,49,513,407,293,676,897,175,214,81,"1,359","2,335",674,"1,039"
2020,6,10,"14,214",249,"1,261",44,65,20,107,86,7,871,93,107,76,67,379,411,457,787,"1,028",230,396,121,"2,305","3,170",709,"1,168"
2020,6,20,"19,672",459,"1,038",74,160,29,131,108,22,"1,110",134,436,210,163,563,659,983,"1,132","1,351",312,"1,540",508,"2,679","3,267","1,187","1,417"
2020,6,30,"17,474",380,"1,161",57,111,44,127,61,26,"1,268",159,235,163,124,758,659,762,"1,083","1,466",254,768,354,"1,996","3,050","1,127","1,281"
2020,6,40,"21,099",495,"1,767",77,152,57,217,115,37,"1,498",219,216,208,140,630,719,807,"1,060","1,526",373,811,299,"2,893","3,965","1,172","1,646"
2020,6,50,"23,566",772,"1,564",158,286,133,405,239,110,"1,420",394,275,273,211,717,871,"1,035","1,155","1,642",381,"1,040",348,"3,146","3,985","1,385","1,621"
2020,6,60,"17,833",715,"1,117",222,269,141,507,326,174,"1,029",448,235,246,206,519,606,864,761,"1,305",312,817,307,"1,860","2,534","1,169","1,144"
2020,6,70,"9,179",426,453,110,147,91,285,188,98,452,268,177,153,120,290,342,480,413,640,182,491,179,857,"1,084",612,641
2020,6,80,"4,074",201,181,63,75,56,124,89,39,188,85,68,56,59,138,156,207,169,257,93,245,100,426,504,216,279
2020,6,90,441,24,15,2,3,8,20,9,3,22,13,5,10,7,26,19,18,28,29,12,13,9,38,52,27,29
2020,6,100,47,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,1,1,13
2020,7,총,"138,901","3,894","9,774",812,"1,331",590,"1,986","1,263",528,"8,684","1,880","1,826","1,453","1,132","4,514","4,835","5,921","7,235","10,132","2,313","6,341","2,291","17,578","24,018","8,282","10,288"
2020,7,0,"11,211",175,"1,177",12,61,19,63,37,10,800,50,71,47,45,510,410,291,668,890,173,214,82,"1,348","2,357",666,"1,035"
2020,7,10,"14,155",246,"1,266",43,63,19,106,87,7,874,92,106,76,68,368,409,459,781,"1,030",231,383,118,"2,295","3,147",714,"1,167"
2020,7,20,"19,715",456,"1,047",74,159,28,129,110,21,"1,126",142,435,212,159,561,653,984,"1,135","1,335",306,"1,560",499,"2,686","3,290","1,183","1,425"
2020,7,30,"17,469",372,"1,166",56,108,39,129,63,24,"1,264",163,235,165,120,771,652,769,"1,072","1,469",252,767,355,"1,998","3,049","1,127","1,284"
2020,7,40,"21,103",500,"1,773",74,149,58,212,114,37,"1,496",224,218,214,139,624,715,813,"1,042","1,519",370,806,292,"2,900","3,985","1,181","1,648"
2020,7,50,"23,553",771,"1,573",158,293,126,407,235,110,"1,415",393,276,270,207,711,866,"1,033","1,164","1,649",382,"1,032",348,"3,135","3,993","1,376","1,630"
2020,7,60,"17,928",716,"1,125",223,271,147,508,333,179,"1,045",449,235,248,208,519,608,858,762,"1,309",312,820,306,"1,883","2,550","1,177","1,137"
2020,7,70,"9,174",429,454,108,145,90,284,188,98,448,268,174,152,118,285,342,485,411,646,181,496,179,856,"1,084",612,641
2020,7,80,"4,098",203,179,62,78,56,122,87,39,193,84,69,57,58,137,155,209,171,255,93,244,102,437,509,220,279
2020,7,90,449,24,14,2,3,8,22,9,3,22,13,5,11,8,27,21,19,28,29,13,13,9,38,54,25,29
2020,7,100,46,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,0,1,13
2020,8,총,"139,086","3,892","9,806",814,"1,336",590,"1,998","1,276",531,"8,701","1,873","1,829","1,437","1,120","4,508","4,853","5,930","7,223","10,157","2,317","6,360","2,297","17,601","24,054","8,298","10,285"
2020,8,0,"11,197",172,"1,175",12,61,18,63,38,8,800,49,67,46,44,509,408,287,674,894,173,213,83,"1,349","2,353",669,"1,032"
2020,8,10,"14,109",241,"1,277",43,64,21,105,90,10,874,93,104,73,67,367,414,457,775,"1,026",228,374,117,"2,284","3,138",710,"1,157"
2020,8,20,"19,773",451,"1,049",74,161,26,133,114,21,"1,122",138,441,210,157,557,657,990,"1,123","1,337",309,"1,574",509,"2,685","3,303","1,190","1,442"
2020,8,30,"17,487",376,"1,166",60,107,40,133,62,25,"1,276",164,238,160,118,767,659,765,"1,075","1,479",254,782,354,"2,010","3,027","1,118","1,272"
2020,8,40,"21,063",498,"1,772",74,147,58,216,114,36,"1,486",217,216,212,139,623,708,814,"1,038","1,523",372,800,289,"2,904","3,987","1,181","1,639"
2020,8,50,"23,592",768,"1,578",159,297,125,398,237,113,"1,426",391,275,269,201,709,868,"1,033","1,168","1,652",380,"1,029",349,"3,134","4,015","1,381","1,637"
2020,8,60,"18,065",724,"1,147",224,272,150,517,334,179,"1,052",453,235,247,208,525,613,870,761,"1,311",314,823,304,"1,893","2,575","1,185","1,149"
2020,8,70,"9,168",432,449,105,146,90,285,190,94,444,268,176,150,117,283,342,482,407,647,178,497,180,862,"1,092",615,637
2020,8,80,"4,127",204,177,61,76,55,122,88,42,196,85,69,58,59,140,159,211,174,257,95,249,102,440,508,222,278
2020,8,90,459,24,16,2,4,7,22,9,3,24,13,6,11,8,27,21,20,27,30,14,13,9,38,56,26,29
2020,8,100,46,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,0,1,13
2020,9,총,"139,184","3,870","9,770",812,"1,328",586,"1,989","1,273",529,"8,714","1,869","1,837","1,428","1,103","4,513","4,834","5,907","7,219","10,121","2,310","6,366","2,283","17,504","23,946","8,675","10,398"
2020,9,0,"11,198",170,"1,151",12,60,18,57,37,7,794,49,64,46,39,518,406,289,670,897,173,221,82,"1,339","2,328",713,"1,058"
2020,9,10,"14,073",235,"1,286",42,65,18,108,87,10,875,94,106,73,66,371,416,449,776,"1,004",224,367,117,"2,268","3,109",751,"1,156"
2020,9,20,"19,798",451,"1,044",77,158,27,132,112,20,"1,118",135,443,207,153,550,651,988,"1,113","1,346",308,"1,590",500,"2,676","3,299","1,233","1,467"
2020,9,30,"17,463",370,"1,154",56,104,39,134,60,25,"1,266",163,239,158,115,767,657,766,"1,075","1,476",252,779,352,"1,990","2,998","1,194","1,274"
2020,9,40,"21,050",488,"1,773",76,142,57,209,115,37,"1,496",216,217,212,135,622,705,798,"1,038","1,518",367,800,287,"2,860","3,964","1,258","1,660"
2020,9,50,"23,609",774,"1,561",159,298,125,398,237,114,"1,427",392,278,265,205,708,859,"1,038","1,167","1,632",380,"1,032",348,"3,127","4,010","1,426","1,649"
2020,9,60,"18,149",721,"1,158",222,274,151,516,331,177,"1,064",451,235,248,203,526,613,864,769,"1,313",318,822,304,"1,900","2,587","1,216","1,166"
2020,9,70,"9,182",428,451,102,147,88,287,194,94,447,270,176,147,116,284,345,487,402,649,177,492,180,866,"1,081",633,639
2020,9,80,"4,145",208,175,64,75,57,122,91,42,199,85,70,60,61,139,157,207,180,253,97,244,102,439,508,223,287
2020,9,90,471,23,17,2,4,6,22,9,3,27,12,7,11,8,27,21,20,28,32,14,13,10,37,62,27,29
2020,9,100,46,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,0,1,13
2020,10,총,"139,320","3,854","9,719",804,"1,330",591,"1,990","1,268",528,"8,641","1,873","1,821","1,394","1,099","4,478","4,799","5,894","7,166","10,080","2,303","6,348","2,267","17,414","23,814","9,183","10,662"
2020,10,0,"11,181",168,"1,150",12,58,19,58,35,6,782,48,65,44,40,510,396,279,657,891,169,212,80,"1,319","2,306",783,"1,094"
2020,10,10,"14,046",235,"1,272",42,63,18,112,86,11,870,89,101,67,65,374,408,453,776,997,223,358,116,"2,252","3,099",798,"1,161"
2020,10,20,"19,792",450,"1,039",74,156,26,130,110,19,"1,112",135,441,200,155,539,653,985,"1,102","1,337",307,"1,580",490,"2,673","3,284","1,281","1,514"
2020,10,30,"17,483",361,"1,137",55,108,40,130,61,27,"1,222",162,234,161,114,764,650,764,"1,070","1,457",250,782,345,"1,977","2,947","1,316","1,349"
2020,10,40,"21,017",477,"1,755",74,144,56,211,115,36,"1,485",220,214,206,135,617,699,792,"1,025","1,523",364,802,291,"2,809","3,934","1,348","1,685"
2020,10,50,"23,659",773,"1,551",159,299,128,396,236,111,"1,427",390,276,256,205,706,857,"1,034","1,154","1,625",377,"1,030",345,"3,140","3,988","1,498","1,698"
2020,10,60,"18,256",725,"1,171",221,275,152,514,330,179,"1,070",457,236,244,198,525,611,869,768,"1,313",326,829,304,"1,894","2,606","1,255","1,184"
2020,10,70,"9,183",429,451,101,147,88,292,194,93,447,270,175,142,116,276,342,487,400,648,174,489,180,868,"1,080",651,643
2020,10,80,"4,189",210,176,64,74,58,122,92,43,199,88,70,62,61,138,158,211,186,257,99,248,104,443,511,223,292
2020,10,90,468,24,17,2,5,6,21,9,3,26,12,7,11,8,28,21,20,27,31,14,13,11,37,59,27,29
2020,10,100,46,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,0,1,1,0,5,1,2,0,3,13
2020,11,총,"139,428","3,833","9,731",802,"1,321",586,"1,989","1,258",529,"8,639","1,853","1,831","1,390","1,091","4,479","4,738","5,880","7,150","10,062","2,299","6,348","2,279","17,379","23,776","9,305","10,880"
2020,11,0,"11,132",165,"1,151",11,55,19,57,34,6,767,47,65,46,39,506,377,273,656,890,170,204,80,"1,311","2,293",795,"1,115"
2020,11,10,"14,040",231,"1,266",41,63,17,112,83,11,872,87,101,64,65,377,411,449,776,987,220,352,115,"2,244","3,087",815,"1,194"
2020,11,20,"19,839",439,"1,036",75,153,26,132,112,19,"1,124",131,452,199,155,535,645,991,"1,095","1,344",302,"1,604",497,"2,662","3,277","1,297","1,537"
2020,11,30,"17,466",362,"1,143",55,105,37,126,61,27,"1,211",152,231,160,112,768,645,757,"1,068","1,446",253,773,345,"1,962","2,931","1,334","1,402"
2020,11,40,"21,004",473,"1,764",75,143,56,214,111,36,"1,496",222,210,199,133,619,688,789,"1,020","1,521",367,802,290,"2,791","3,899","1,367","1,719"
2020,11,50,"23,675",767,"1,559",157,298,125,390,235,111,"1,422",387,277,264,204,701,846,"1,028","1,152","1,612",376,"1,027",349,"3,143","4,009","1,513","1,723"
2020,11,60,"18,343",737,"1,171",221,279,153,519,331,180,"1,068",454,236,244,195,535,611,867,774,"1,320",325,829,306,"1,910","2,620","1,261","1,197"
2020,11,70,"9,186",422,448,101,144,90,294,191,91,450,268,176,140,117,272,333,491,395,647,171,487,182,873,"1,084",667,652
2020,11,80,"4,224",210,176,64,75,57,121,92,45,201,91,74,62,61,137,153,215,186,262,102,251,103,446,514,226,300
2020,11,90,472,25,17,2,5,6,20,8,2,27,12,7,11,8,28,25,20,27,32,13,14,11,35,62,27,28
2020,11,100,47,2,0,0,1,0,4,0,1,1,2,2,1,2,1,4,0,1,1,0,5,1,2,0,3,13
2020,12,총,"139,576","3,848","9,736",803,"1,328",586,"1,985","1,260",530,"8,644","1,851","1,846","1,370","1,093","4,458","4,722","5,871","7,159","10,074","2,289","6,382","2,263","17,340","23,783","9,369","10,986"
2020,12,0,"11,116",167,"1,147",11,57,19,54,33,6,768,47,66,45,39,502,380,273,654,889,172,200,81,"1,294","2,288",800,"1,124"
2020,12,10,"13,987",231,"1,269",40,57,17,112,85,11,875,88,103,58,64,377,406,448,776,989,211,353,115,"2,226","3,060",822,"1,194"
2020,12,20,"19,930",437,"1,037",76,161,26,130,108,21,"1,107",130,462,194,156,535,646,990,"1,097","1,348",301,"1,630",490,"2,671","3,312","1,304","1,561"
2020,12,30,"17,487",363,"1,136",57,106,34,129,63,27,"1,218",150,226,162,115,758,642,755,"1,071","1,449",257,778,343,"1,943","2,941","1,345","1,419"
2020,12,40,"20,992",477,"1,774",76,137,55,212,114,35,"1,501",222,216,197,130,609,694,783,"1,026","1,513",360,811,284,"2,779","3,872","1,381","1,734"
2020,12,50,"23,596",764,"1,553",156,303,124,387,233,111,"1,417",383,272,258,204,699,828,"1,017","1,142","1,611",374,"1,021",345,"3,134","4,005","1,518","1,737"
2020,12,60,"18,484",745,"1,180",221,280,157,520,334,181,"1,075",459,237,245,196,541,615,877,779,"1,334",327,824,306,"1,926","2,637","1,270","1,218"
2020,12,70,"9,214",425,447,99,145,92,293,190,89,450,264,181,138,118,271,330,496,398,647,170,496,182,878,"1,090",671,654
2020,12,80,"4,251",211,176,65,76,57,124,92,46,206,93,74,62,61,137,154,213,189,260,103,250,105,450,516,227,304
2020,12,90,470,26,17,2,5,5,20,8,2,26,13,7,10,8,28,22,19,26,32,14,14,11,37,62,28,28
2020,12,100,49,2,0,0,1,0,4,0,1,1,2,2,1,2,1,5,0,1,2,0,5,1,2,0,3,13
2021,1,총,"139,534","3,848","9,737",800,"1,327",576,"1,965","1,257",531,"8,652","1,852","1,833","1,368","1,097","4,434","4,699","5,873","7,139","10,073","2,287","6,353","2,270","17,300","23,781","9,370","11,112"
2021,1,0,"11,041",166,"1,136",11,55,18,51,32,6,771,47,65,44,38,493,373,269,647,888,168,191,83,"1,273","2,275",796,"1,145"
2021,1,10,"13,998",234,"1,276",40,56,16,111,84,12,880,87,97,67,64,380,409,445,762,986,211,347,114,"2,225","3,064",823,"1,208"
2021,1,20,"19,874",438,"1,019",74,158,23,129,109,21,"1,105",135,451,186,160,521,640,994,"1,099","1,351",298,"1,604",495,"2,667","3,322","1,303","1,572"
2021,1,30,"17,437",355,"1,127",57,104,31,126,61,27,"1,218",147,228,165,115,758,634,748,"1,074","1,439",252,789,345,"1,925","2,936","1,338","1,438"
2021,1,40,"20,959",474,"1,782",74,136,54,202,114,35,"1,489",221,215,201,129,609,688,787,"1,012","1,505",366,808,281,"2,764","3,860","1,390","1,763"
2021,1,50,"23,573",764,"1,560",151,305,124,387,229,107,"1,410",377,271,248,206,697,823,"1,012","1,142","1,609",371,"1,021",342,"3,147","4,000","1,521","1,749"
2021,1,60,"18,641",751,"1,190",226,284,157,518,338,183,"1,094",465,239,246,194,539,625,888,785,"1,355",332,831,313,"1,934","2,655","1,267","1,232"
2021,1,70,"9,198",426,448,100,147,92,294,191,90,454,261,184,137,120,263,325,494,401,635,169,492,176,879,"1,090",672,658
2021,1,80,"4,293",211,182,65,76,56,124,91,46,203,97,74,63,61,145,155,216,189,272,106,252,109,448,519,228,305
2021,1,90,470,27,17,2,5,5,19,8,3,27,13,7,10,8,27,22,20,27,31,14,13,11,36,60,29,29
2021,1,100,50,2,0,0,1,0,4,0,1,1,2,2,1,2,2,5,0,1,2,0,5,1,2,0,3,13
2021,2,총,"139,756","3,857","9,783",799,"1,328",580,"1,958","1,254",532,"8,645","1,848","1,870","1,364","1,087","4,412","4,679","5,883","7,147","10,085","2,273","6,354","2,273","17,288","23,899","9,353","11,205"
2021,2,0,"11,035",163,"1,130",10,56,18,50,32,6,770,47,65,47,38,492,369,271,648,893,163,194,83,"1,255","2,282",796,"1,157"
2021,2,10,"14,004",237,"1,274",39,56,15,114,83,11,884,86,99,65,62,378,407,450,767,979,209,351,115,"2,217","3,070",815,"1,221"
2021,2,20,"19,903",439,"1,045",75,155,22,121,109,22,"1,091",131,484,187,159,516,637,984,"1,101","1,342",298,"1,606",488,"2,672","3,345","1,288","1,586"
2021,2,30,"17,438",352,"1,131",57,103,33,125,63,26,"1,209",144,229,167,113,752,631,748,"1,075","1,450",250,780,343,"1,911","2,950","1,339","1,457"
2021,2,40,"20,932",472,"1,782",75,142,53,201,110,33,"1,477",224,211,199,126,602,682,796,"1,005","1,507",361,800,284,"2,748","3,882","1,394","1,766"
2021,2,50,"23,585",764,"1,571",152,298,126,384,230,111,"1,421",373,275,249,210,697,822,"1,000","1,131","1,605",374,"1,020",348,"3,145","4,015","1,513","1,751"
2021,2,60,"18,797",757,"1,195",226,290,158,524,337,182,"1,109",470,238,242,192,539,627,899,800,"1,366",332,841,313,"1,964","2,674","1,270","1,252"
2021,2,70,"9,217",428,453,98,146,94,291,193,91,451,259,188,134,117,262,321,498,404,633,170,492,176,882,"1,094",674,668
2021,2,80,"4,317",214,183,64,76,55,125,90,45,204,100,72,63,60,145,155,217,189,277,102,252,111,453,529,232,304
2021,2,90,478,29,19,3,5,6,19,7,4,28,12,7,10,8,27,23,20,26,31,14,13,11,39,58,29,30
2021,2,100,50,2,0,0,1,0,4,0,1,1,2,2,1,2,2,5,0,1,2,0,5,1,2,0,3,13
2021,3,총,"139,420","3,832","9,777",799,"1,319",580,"1,940","1,255",519,"8,641","1,828","1,851","1,350","1,062","4,385","4,609","5,853","7,120","10,099","2,257","6,337","2,247","17,251","23,916","9,343","11,250"
2021,3,0,"10,990",158,"1,117",10,57,18,49,32,6,755,47,65,47,37,495,358,266,652,901,163,197,85,"1,222","2,272",800,"1,181"
2021,3,10,"13,917",239,"1,272",38,55,16,109,81,11,895,83,103,68,61,372,402,443,758,967,210,348,113,"2,209","3,039",813,"1,212"
2021,3,20,"19,902",430,"1,048",73,153,21,124,114,21,"1,107",125,482,182,155,518,640,983,"1,087","1,353",299,"1,636",473,"2,659","3,351","1,276","1,592"
2021,3,30,"17,406",348,"1,125",60,103,34,121,64,24,"1,208",142,223,165,104,756,616,745,"1,070","1,443",249,783,332,"1,896","2,970","1,342","1,483"
2021,3,40,"20,824",474,"1,785",74,138,52,198,108,33,"1,464",219,208,195,128,595,673,785,"1,006","1,493",353,783,282,"2,755","3,886","1,376","1,761"
2021,3,50,"23,483",748,"1,563",150,290,127,380,232,108,"1,406",373,271,249,207,680,811,989,"1,127","1,612",376,"1,000",341,"3,165","4,016","1,508","1,754"
2021,3,60,"18,941",768,"1,217",230,298,156,528,338,180,"1,124",466,235,237,188,541,628,911,799,"1,383",326,842,324,"1,964","2,706","1,284","1,268"
2021,3,70,"9,177",428,448,98,144,95,290,191,90,449,258,187,134,117,256,310,494,405,637,166,486,174,886,"1,088",675,671
