년도,월,나이,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020,7,총,"99,826","15,902","19,566","11,461","8,098","11,575","9,379","12,855","10,990"
2020,7,0,"7,549","2,251","1,353",831,373,832,377,704,828
2020,7,10,"8,973","1,145","1,972","1,105",588,"1,385",648,"1,016","1,114"
2020,7,20,"13,355","1,705","2,753","1,612","1,075","1,505","1,462","1,807","1,436"
2020,7,30,"13,302","3,245","2,376","1,434",939,"1,331","1,022","1,533","1,422"
2020,7,40,"16,623","2,616","3,442","1,977","1,154","2,148","1,347","1,832","2,107"
2020,7,50,"18,232","2,232","3,763","2,115","1,614","2,022","1,964","2,596","1,926"
2020,7,60,"11,816","1,648","2,027","1,258","1,239","1,318","1,380","1,834","1,112"
2020,7,70,"6,424",719,"1,184",734,705,653,782,977,670
2020,7,80,"2,997",283,597,347,337,325,333,462,313
2020,7,90,501,55,95,44,60,51,57,84,55
2020,7,100,54,3,4,4,14,5,7,10,7
2020,8,총,"99,627","15,893","19,504","11,461","8,085","11,545","9,325","12,845","10,969"
2020,8,0,"7,522","2,248","1,338",835,375,825,371,701,829
2020,8,10,"8,897","1,141","1,951","1,094",578,"1,378",631,"1,010","1,114"
2020,8,20,"13,303","1,711","2,742","1,607","1,070","1,494","1,447","1,806","1,426"
2020,8,30,"13,256","3,231","2,366","1,433",938,"1,326","1,025","1,537","1,400"
2020,8,40,"16,584","2,613","3,425","1,981","1,151","2,136","1,333","1,830","2,115"
2020,8,50,"18,188","2,231","3,756","2,110","1,605","2,026","1,950","2,592","1,918"
2020,8,60,"11,877","1,653","2,039","1,266","1,250","1,329","1,387","1,837","1,116"
2020,8,70,"6,429",720,"1,190",734,704,652,783,973,673
2020,8,80,"3,018",287,598,351,340,323,336,467,316
2020,8,90,499,56,95,46,60,51,55,81,55
2020,8,100,54,2,4,4,14,5,7,11,7
2020,9,총,"99,714","15,856","19,405","11,857","8,056","11,540","9,273","12,806","10,921"
2020,9,0,"7,508","2,231","1,329",883,372,825,369,684,815
2020,9,10,"8,882","1,141","1,927","1,130",580,"1,375",623,"1,002","1,104"
2020,9,20,"13,286","1,697","2,721","1,655","1,063","1,487","1,435","1,804","1,424"
2020,9,30,"13,244","3,201","2,337","1,527",924,"1,322","1,016","1,536","1,381"
2020,9,40,"16,584","2,634","3,393","2,035","1,153","2,131","1,318","1,819","2,101"
2020,9,50,"18,213","2,232","3,742","2,166","1,598","2,037","1,939","2,583","1,916"
2020,9,60,"11,944","1,656","2,062","1,302","1,244","1,323","1,390","1,841","1,126"
2020,9,70,"6,444",717,"1,194",746,706,656,776,972,677
2020,9,80,"3,050",289,599,361,343,323,344,474,317
2020,9,90,502,55,97,48,58,56,56,80,52
2020,9,100,57,3,4,4,15,5,7,11,8
2020,10,총,"99,636","15,857","19,349","12,002","8,027","11,521","9,190","12,815","10,875"
2020,10,0,"7,413","2,230","1,301",882,357,818,350,670,805
2020,10,10,"8,876","1,132","1,921","1,146",582,"1,378",615,998,"1,104"
2020,10,20,"13,262","1,689","2,715","1,675","1,051","1,483","1,436","1,801","1,412"
2020,10,30,"13,187","3,171","2,325","1,555",916,"1,314","1,006","1,540","1,360"
2020,10,40,"16,566","2,652","3,372","2,057","1,155","2,129","1,296","1,818","2,087"
2020,10,50,"18,186","2,235","3,741","2,182","1,596","2,017","1,915","2,593","1,907"
2020,10,60,"12,060","1,675","2,076","1,334","1,241","1,346","1,392","1,857","1,139"
2020,10,70,"6,465",722,"1,197",756,710,655,772,971,682
2020,10,80,"3,059",294,595,363,348,318,344,476,321
2020,10,90,506,54,102,48,56,58,57,80,51
2020,10,100,56,3,4,4,15,5,7,11,7
2020,11,총,"99,575","15,883","19,341","12,014","8,043","11,494","9,113","12,822","10,865"
2020,11,0,"7,366","2,226","1,299",874,356,815,340,664,792
2020,11,10,"8,839","1,143","1,905","1,148",581,"1,367",601,990,"1,104"
2020,11,20,"13,289","1,696","2,716","1,677","1,063","1,485","1,420","1,814","1,418"
2020,11,30,"13,139","3,162","2,316","1,555",922,"1,298",999,"1,533","1,354"
2020,11,40,"16,526","2,664","3,370","2,057","1,147","2,121","1,286","1,805","2,076"
2020,11,50,"18,180","2,232","3,740","2,181","1,584","2,019","1,897","2,605","1,922"
2020,11,60,"12,107","1,684","2,088","1,339","1,251","1,353","1,397","1,858","1,137"
2020,11,70,"6,488",726,"1,204",758,713,660,763,983,681
2020,11,80,"3,076",293,598,371,353,316,346,478,321
2020,11,90,510,55,101,50,58,55,57,81,53
2020,11,100,55,2,4,4,15,5,7,11,7
2020,12,총,"99,515","15,842","19,360","12,018","8,064","11,495","9,054","12,848","10,834"
2020,12,0,"7,347","2,219","1,308",872,362,804,334,662,786
2020,12,10,"8,785","1,127","1,880","1,140",575,"1,371",599,"1,001","1,092"
2020,12,20,"13,305","1,691","2,729","1,678","1,074","1,484","1,412","1,816","1,421"
2020,12,30,"13,103","3,138","2,311","1,560",919,"1,299",982,"1,544","1,350"
2020,12,40,"16,463","2,675","3,358","2,049","1,141","2,094","1,287","1,798","2,061"
2020,12,50,"18,175","2,225","3,762","2,192","1,591","2,031","1,870","2,590","1,914"
2020,12,60,"12,191","1,697","2,097","1,343","1,255","1,370","1,404","1,879","1,146"
2020,12,70,"6,494",725,"1,204",759,719,657,759,988,683
2020,12,80,"3,083",289,608,371,351,324,343,477,320
2020,12,90,514,54,99,49,62,56,57,82,55
2020,12,100,55,2,4,5,15,5,7,11,6
2021,1,총,"99,381","15,842","19,309","12,023","8,043","11,485","8,977","12,887","10,815"
2021,1,0,"7,275","2,210","1,286",866,352,788,332,661,780
2021,1,10,"8,761","1,135","1,876","1,128",566,"1,369",590,"1,009","1,088"
2021,1,20,"13,261","1,675","2,729","1,686","1,076","1,478","1,391","1,807","1,419"
2021,1,30,"13,039","3,128","2,281","1,553",912,"1,294",978,"1,557","1,336"
2021,1,40,"16,379","2,676","3,334","2,038","1,136","2,083","1,272","1,791","2,049"
2021,1,50,"18,175","2,228","3,778","2,207","1,580","2,034","1,846","2,583","1,919"
2021,1,60,"12,341","1,722","2,113","1,356","1,276","1,392","1,406","1,915","1,161"
2021,1,70,"6,485",727,"1,199",759,718,662,753,990,677
2021,1,80,"3,092",284,611,376,353,323,344,479,322
2021,1,90,517,56,98,49,58,57,58,84,57
2021,1,100,56,1,4,5,16,5,7,11,7
2021,2,총,"99,084","15,800","19,219","11,987","8,013","11,435","8,932","12,903","10,795"
2021,2,0,"7,212","2,192","1,264",860,347,775,335,664,775
2021,2,10,"8,686","1,142","1,842","1,127",561,"1,352",581,"1,001","1,080"
2021,2,20,"13,181","1,662","2,712","1,670","1,066","1,467","1,386","1,798","1,420"
2021,2,30,"12,950","3,082","2,277","1,541",907,"1,280",963,"1,565","1,335"
2021,2,40,"16,293","2,698","3,297","2,029","1,129","2,058","1,267","1,786","2,029"
2021,2,50,"18,123","2,214","3,776","2,200","1,573","2,043","1,832","2,575","1,910"
2021,2,60,"12,463","1,732","2,145","1,374","1,284","1,409","1,407","1,938","1,174"
2021,2,70,"6,482",734,"1,187",763,706,670,746,994,682
2021,2,80,"3,124",286,615,370,368,321,350,487,327
2021,2,90,513,57,100,48,56,55,58,84,55
2021,2,100,57,1,4,5,16,5,7,11,8
2021,3,총,"98,620","15,736","19,194","11,917","8,003","11,384","8,768","12,869","10,749"
2021,3,0,"7,152","2,178","1,252",847,349,765,330,662,769
2021,3,10,"8,635","1,151","1,830","1,134",554,"1,331",566,992,"1,077"
2021,3,20,"13,140","1,661","2,714","1,661","1,051","1,469","1,373","1,794","1,417"
2021,3,30,"12,794","3,033","2,263","1,523",902,"1,263",948,"1,557","1,305"
2021,3,40,"16,243","2,724","3,285","2,022","1,139","2,050","1,244","1,761","2,018"
2021,3,50,"18,007","2,180","3,774","2,176","1,551","2,042","1,796","2,570","1,918"
2021,3,60,"12,571","1,746","2,167","1,395","1,303","1,414","1,395","1,967","1,184"
2021,3,70,"6,431",727,"1,196",747,710,665,720,990,676
2021,3,80,"3,116",284,607,366,370,327,342,493,327
2021,3,90,496,52,102,45,58,54,52,79,54
2021,3,100,35,0,4,1,16,4,2,4,4
2021,4,총,"98,424","15,696","19,187","11,927","8,007","11,319","8,671","12,849","10,768"
2021,4,0,"7,115","2,168","1,246",847,343,763,326,662,760
2021,4,10,"8,600","1,155","1,824","1,134",554,"1,311",556,984,"1,082"
2021,4,20,"13,099","1,658","2,706","1,664","1,051","1,458","1,353","1,792","1,417"
2021,4,30,"12,720","2,997","2,244","1,518",900,"1,254",941,"1,553","1,313"
2021,4,40,"16,200","2,740","3,278","2,016","1,141","2,039","1,229","1,761","1,996"
2021,4,50,"17,937","2,155","3,768","2,172","1,551","2,031","1,777","2,548","1,935"
2021,4,60,"12,670","1,764","2,189","1,414","1,317","1,420","1,388","1,977","1,201"
2021,4,70,"6,425",729,"1,207",748,707,662,705,987,680
2021,4,80,"3,133",278,619,369,368,327,344,502,326
2021,4,90,492,52,102,44,59,51,51,79,54
2021,4,100,33,0,4,1,16,3,1,4,4
2021,5,총,"98,198","15,672","19,218","11,924","8,034","11,333","8,405","12,862","10,750"
2021,5,0,"7,084","2,163","1,241",851,344,763,320,657,745
2021,5,10,"8,561","1,159","1,811","1,132",550,"1,304",546,967,"1,092"
2021,5,20,"13,039","1,639","2,722","1,654","1,051","1,464","1,312","1,793","1,404"
2021,5,30,"12,667","2,983","2,254","1,519",910,"1,251",906,"1,543","1,301"
2021,5,40,"16,121","2,744","3,252","2,004","1,144","2,038","1,190","1,754","1,995"
2021,5,50,"17,877","2,147","3,785","2,170","1,546","2,018","1,728","2,560","1,923"
2021,5,60,"12,753","1,778","2,218","1,429","1,332","1,443","1,331","2,002","1,220"
2021,5,70,"6,430",731,"1,209",748,706,668,692,996,680
2021,5,80,"3,146",276,622,372,374,331,334,506,331
2021,5,90,486,52,100,44,59,50,45,81,55
2021,5,100,34,0,4,1,18,3,1,3,4
2021,6,총,"97,932","15,644","19,194","11,924","8,051","11,351","8,106","12,906","10,756"
2021,6,0,"7,053","2,150","1,251",846,341,763,312,650,740
2021,6,10,"8,534","1,169","1,794","1,136",556,"1,304",523,961,"1,091"
2021,6,20,"12,987","1,626","2,718","1,653","1,061","1,460","1,252","1,805","1,412"
2021,6,30,"12,612","2,957","2,250","1,516",907,"1,255",879,"1,545","1,303"
2021,6,40,"16,071","2,761","3,238","2,011","1,149","2,032","1,148","1,743","1,989"
2021,6,50,"17,765","2,135","3,779","2,166","1,532","2,016","1,660","2,554","1,923"
2021,6,60,"12,830","1,784","2,237","1,436","1,345","1,462","1,288","2,047","1,231"
2021,6,70,"6,407",734,"1,195",747,707,670,675,"1,006",673
2021,6,80,"3,149",275,625,370,378,334,323,509,335
2021,6,90,492,53,103,42,58,52,45,83,56
2021,6,100,32,0,4,1,17,3,1,3,3
2021,7,총,"97,727","15,632","19,174","11,927","8,055","11,340","7,873","12,949","10,777"
2021,7,0,"7,026","2,144","1,226",849,346,749,319,649,744
2021,7,10,"8,505","1,169","1,802","1,128",550,"1,306",512,963,"1,075"
2021,7,20,"12,889","1,617","2,689","1,651","1,055","1,450","1,203","1,800","1,424"
2021,7,30,"12,575","2,950","2,233","1,502",912,"1,256",865,"1,556","1,301"
2021,7,40,"16,036","2,776","3,251","2,011","1,147","2,022","1,120","1,732","1,977"
2021,7,50,"17,752","2,130","3,775","2,171","1,537","2,031","1,613","2,560","1,935"
2021,7,60,"12,876","1,786","2,258","1,455","1,349","1,468","1,248","2,065","1,247"
2021,7,70,"6,381",731,"1,198",747,703,668,635,"1,023",676
2021,7,80,"3,157",275,632,373,382,336,312,509,338
2021,7,90,498,53,106,39,57,51,45,89,58
2021,7,100,32,1,4,1,17,3,1,3,2
2021,8,총,"97,588","15,623","19,141","11,932","8,043","11,288","7,843","12,921","10,797"
2021,8,0,"6,983","2,129","1,221",840,347,734,342,639,731
2021,8,10,"8,492","1,190","1,798","1,116",543,"1,293",513,963,"1,076"
2021,8,20,"12,843","1,608","2,674","1,671","1,050","1,442","1,188","1,785","1,425"
2021,8,30,"12,534","2,918","2,221","1,504",918,"1,247",882,"1,541","1,303"
2021,8,40,"15,974","2,788","3,220","2,010","1,127","2,013","1,115","1,725","1,976"
2021,8,50,"17,731","2,128","3,785","2,162","1,533","2,026","1,604","2,546","1,947"
2021,8,60,"12,955","1,801","2,279","1,467","1,363","1,480","1,229","2,081","1,255"
2021,8,70,"6,355",727,"1,195",746,700,664,616,"1,026",681
2021,8,80,"3,189",278,638,375,386,337,309,523,343
2021,8,90,500,55,106,40,59,49,44,89,58
2021,8,100,32,1,4,1,17,3,1,3,2
2021,9,총,"97,444","15,588","19,095","11,937","7,984","11,266","7,800","12,837","10,937"
2021,9,0,"6,946","2,123","1,221",828,339,727,346,626,736
2021,9,10,"8,452","1,185","1,785","1,117",541,"1,292",504,951,"1,077"
2021,9,20,"12,795","1,588","2,657","1,680","1,027","1,428","1,175","1,772","1,468"
2021,9,30,"12,553","2,891","2,209","1,510",920,"1,253",888,"1,538","1,344"
2021,9,40,"15,893","2,809","3,184","2,011","1,119","1,993","1,108","1,708","1,961"
2021,9,50,"17,759","2,128","3,794","2,163","1,538","2,036","1,601","2,541","1,958"
2021,9,60,"12,987","1,808","2,307","1,466","1,353","1,483","1,226","2,079","1,265"
2021,9,70,"6,327",727,"1,182",746,689,660,607,"1,012",704
2021,9,80,"3,206",275,646,373,386,343,300,523,360
2021,9,90,495,53,106,42,56,48,44,84,62
2021,9,100,31,1,4,1,16,3,1,3,2
2021,10,총,"97,267","15,570","19,078","11,923","7,978","11,242","7,789","12,749","10,938"
2021,10,0,"6,869","2,104","1,213",818,336,721,346,612,719
2021,10,10,"8,470","1,203","1,784","1,125",545,"1,297",506,942,"1,068"
2021,10,20,"12,716","1,562","2,657","1,672","1,021","1,414","1,166","1,762","1,462"
2021,10,30,"12,547","2,879","2,206","1,496",932,"1,259",890,"1,520","1,365"
2021,10,40,"15,806","2,816","3,156","2,015","1,103","1,975","1,100","1,691","1,950"
2021,10,50,"17,742","2,129","3,801","2,157","1,536","2,036","1,600","2,525","1,958"
2021,10,60,"13,035","1,815","2,310","1,479","1,364","1,486","1,231","2,073","1,277"
2021,10,70,"6,350",737,"1,187",741,688,656,611,"1,023",707
2021,10,80,"3,213",271,653,378,384,347,296,516,368
2021,10,90,489,52,107,42,53,48,42,83,62
2021,10,100,30,2,4,0,16,3,1,2,2
2021,11,총,"97,032","15,514","19,013","11,923","7,955","11,239","7,783","12,687","10,918"
2021,11,0,"6,832","2,088","1,209",816,330,729,336,610,714
2021,11,10,"8,445","1,212","1,761","1,124",544,"1,293",507,942,"1,062"
2021,11,20,"12,651","1,538","2,635","1,658","1,012","1,426","1,171","1,751","1,460"
2021,11,30,"12,493","2,842","2,214","1,507",929,"1,248",889,"1,499","1,365"
2021,11,40,"15,720","2,823","3,129","2,019","1,098","1,958","1,089","1,684","1,920"
2021,11,50,"17,741","2,122","3,798","2,155","1,540","2,045","1,594","2,518","1,969"
2021,11,60,"13,053","1,819","2,324","1,475","1,349","1,487","1,249","2,064","1,286"
2021,11,70,"6,349",742,"1,176",742,692,656,612,"1,024",705
2021,11,80,"3,227",276,652,385,387,344,295,513,375
2021,11,90,491,50,111,42,58,50,41,79,60
2021,11,100,30,2,4,0,16,3,0,3,2
2021,12,총,"96,776","15,492","18,934","11,900","7,910","11,232","7,807","12,644","10,857"
2021,12,0,"6,742","2,059","1,191",798,327,724,342,610,691
2021,12,10,"8,439","1,225","1,757","1,121",541,"1,287",507,941,"1,060"
2021,12,20,"12,595","1,535","2,609","1,663","1,007","1,427","1,176","1,734","1,444"
2021,12,30,"12,458","2,826","2,219","1,494",928,"1,239",896,"1,498","1,358"
2021,12,40,"15,638","2,824","3,091","2,008","1,092","1,959","1,082","1,671","1,911"
2021,12,50,"17,747","2,139","3,794","2,158","1,549","2,052","1,595","2,504","1,956"
2021,12,60,"13,082","1,816","2,334","1,485","1,333","1,489","1,258","2,074","1,293"
2021,12,70,"6,331",740,"1,172",744,685,659,609,"1,016",706
2021,12,80,"3,246",277,657,387,388,343,299,517,378
2021,12,90,485,49,109,42,57,50,43,77,58
2021,12,100,13,2,1,0,3,3,0,2,2
