년도,월,나이,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020,8,10,"7,747",509,60,171,151,38,119,236,72,80,157,73,39,109,145,68,10,156,48,19,91,104,40,"1,364",858,806,842,362,"1,020"
2020,8,20,"8,265",426,72,195,173,54,155,212,83,106,168,103,36,107,168,76,14,120,43,13,111,104,49,"1,334","1,005",762,857,327,"1,392"
2020,8,30,"7,603",469,76,218,133,35,163,203,86,108,125,81,45,111,175,77,12,156,36,8,109,70,34,"1,287","1,109",727,771,289,890
2020,8,40,"11,686",755,107,327,271,72,224,313,120,141,252,173,58,180,260,114,26,302,91,26,170,194,69,"1,817","1,385","1,148","1,208",519,"1,364"
2020,8,50,"16,974","1,125",236,653,534,206,427,649,311,399,515,336,161,380,535,266,66,508,177,70,315,323,163,"2,094","1,563","1,372","1,543",627,"1,420"
2020,8,60,"17,989","1,296",315,857,643,217,628,987,365,477,628,420,182,449,587,273,103,595,286,70,508,428,189,"1,841","1,395","1,183","1,257",630,"1,180"
2020,8,70,"12,732",990,310,693,564,159,487,759,303,331,387,281,114,354,418,187,59,467,269,77,446,432,138,"1,121",705,751,831,473,626
2020,8,80,"8,289",673,180,550,427,167,360,499,233,234,234,204,86,216,306,134,37,341,158,78,322,313,104,512,386,468,437,261,369
2020,8,90,"1,246",93,27,76,79,15,60,78,40,36,30,23,12,47,39,22,5,49,25,10,55,65,25,80,55,60,52,35,53
2020,8,100,58,8,0,3,6,2,3,2,0,0,3,1,0,0,2,2,0,4,2,0,1,1,1,7,0,1,4,3,2
2020,9,총,"97,689","6,619","1,417","3,853","3,077",995,"2,703","3,998","1,671","1,956","2,593","1,755",750,"2,014","2,762","1,246",339,"2,777","1,158",377,"2,161","2,083",833,"12,381","9,210","7,845","8,364","3,686","9,066"
2020,9,0,"5,266",280,40,106,105,29,91,83,58,55,97,61,23,67,136,36,6,90,21,6,37,60,24,949,737,561,562,185,761
2020,9,10,"7,692",508,60,169,148,38,114,228,70,77,156,72,40,109,145,67,11,159,49,19,92,98,42,"1,349",865,802,833,356,"1,016"
2020,9,20,"8,213",429,69,200,172,54,155,207,85,106,163,103,32,106,164,72,14,122,46,12,110,104,48,"1,325","1,002",757,856,314,"1,386"
2020,9,30,"7,579",475,75,215,132,35,163,201,85,108,125,82,44,108,180,75,11,154,34,9,106,72,33,"1,287","1,099",732,768,283,888
2020,9,40,"11,642",745,104,330,270,73,220,310,120,137,253,175,58,176,260,115,26,294,92,27,167,192,69,"1,809","1,394","1,150","1,207",512,"1,357"
2020,9,50,"16,892","1,125",238,650,526,204,425,645,308,397,508,335,159,383,517,264,66,499,176,70,318,319,162,"2,081","1,562","1,375","1,533",627,"1,420"
2020,9,60,"18,090","1,299",316,860,645,218,629,986,372,478,634,419,182,453,598,273,105,597,285,69,511,426,189,"1,859","1,404","1,184","1,275",629,"1,195"
2020,9,70,"12,673",983,307,689,564,156,478,757,299,330,389,278,114,349,417,186,58,464,268,77,439,431,136,"1,115",707,752,833,479,618
2020,9,80,"8,319",669,181,554,428,171,365,500,233,235,235,205,86,216,300,134,37,342,159,78,325,316,103,521,384,470,439,262,371
2020,9,90,"1,262",98,27,77,81,15,59,79,41,33,29,24,12,47,43,22,5,52,26,10,55,63,26,79,56,60,54,36,53
2020,9,100,61,8,0,3,6,2,4,2,0,0,4,1,0,0,2,2,0,4,2,0,1,2,1,7,0,2,4,3,1
2020,10,총,"97,633","6,623","1,417","3,852","3,070",988,"2,692","3,993","1,669","1,950","2,585","1,750",757,"2,008","2,770","1,240",338,"2,758","1,155",380,"2,161","2,081",823,"12,380","9,180","7,864","8,373","3,694","9,082"
2020,10,0,"5,248",280,41,106,96,30,89,82,61,56,94,56,22,66,137,35,6,84,20,4,37,60,23,952,727,576,564,183,761
2020,10,10,"7,655",507,58,167,150,37,109,226,69,75,156,73,40,106,145,67,11,159,49,19,95,97,39,"1,340",872,801,834,357,997
2020,10,20,"8,222",429,72,200,174,52,155,207,83,105,161,106,34,106,163,71,15,122,46,12,104,101,50,"1,334",987,756,853,317,"1,407"
2020,10,30,"7,536",478,74,212,130,34,158,197,85,108,126,81,46,108,182,72,11,149,34,8,108,73,31,"1,273","1,087",731,771,284,885
2020,10,40,"11,592",737,107,335,267,73,219,305,121,131,249,172,57,171,257,114,25,288,90,28,169,194,67,"1,813","1,379","1,150","1,202",513,"1,359"
2020,10,50,"16,839","1,123",237,642,523,202,420,649,303,398,503,334,158,381,518,264,66,499,166,71,310,315,162,"2,081","1,562","1,371","1,535",625,"1,421"
2020,10,60,"18,190","1,313",314,865,646,219,639,987,374,478,640,423,185,457,604,271,104,594,294,73,514,426,184,"1,858","1,417","1,190","1,278",636,"1,207"
2020,10,70,"12,673",983,305,685,566,156,473,756,300,336,389,276,116,350,415,186,57,464,265,76,441,432,137,"1,116",708,751,837,478,619
2020,10,80,"8,344",667,182,556,431,168,366,503,233,233,233,203,87,214,303,136,38,344,162,79,325,317,103,527,385,477,441,260,371
2020,10,90,"1,273",98,27,81,81,15,60,79,40,30,30,25,12,49,44,22,5,51,27,10,57,64,26,79,56,59,54,38,54
2020,10,100,61,8,0,3,6,2,4,2,0,0,4,1,0,0,2,2,0,4,2,0,1,2,1,7,0,2,4,3,1
2020,11,총,"97,483","6,619","1,416","3,847","3,061",988,"2,682","3,980","1,671","1,944","2,579","1,744",758,"1,995","2,782","1,235",338,"2,748","1,150",381,"2,141","2,076",819,"12,348","9,194","7,834","8,363","3,682","9,108"
2020,11,0,"5,225",275,42,106,96,30,86,87,60,56,97,56,24,64,145,33,5,85,20,5,37,61,23,942,718,572,564,181,755
2020,11,10,"7,656",519,61,168,150,37,108,218,69,74,155,72,40,108,146,66,12,161,47,19,94,96,35,"1,347",879,797,828,356,994
2020,11,20,"8,206",424,69,198,173,48,156,207,82,105,160,104,33,101,161,71,16,121,48,12,103,99,50,"1,325",989,736,851,315,"1,449"
2020,11,30,"7,485",467,74,210,132,34,162,194,85,104,127,80,46,105,186,72,10,145,33,8,103,73,29,"1,269","1,097",726,762,281,871
2020,11,40,"11,568",747,108,336,260,74,215,306,125,128,244,174,55,172,254,115,25,293,86,28,167,195,67,"1,811","1,374","1,141","1,206",503,"1,359"
2020,11,50,"16,759","1,108",238,639,522,201,420,639,295,394,503,331,158,377,527,260,66,488,167,71,305,315,159,"2,070","1,569","1,374","1,520",629,"1,414"
2020,11,60,"18,245","1,328",313,865,649,221,631,986,379,483,638,420,187,459,602,274,105,598,292,73,516,427,188,"1,853","1,418","1,200","1,293",635,"1,212"
2020,11,70,"12,673",974,303,685,566,154,476,759,301,336,387,278,116,348,414,185,57,463,264,74,439,428,139,"1,121",709,754,834,481,628
2020,11,80,"8,328",673,182,554,426,170,363,502,235,235,234,203,86,212,305,135,37,339,165,80,319,317,102,522,384,473,443,262,370
2020,11,90,"1,277",95,26,83,81,17,61,80,40,29,30,25,13,49,41,22,5,51,26,11,57,63,26,81,57,59,58,36,55
2020,11,100,61,9,0,3,6,2,4,2,0,0,4,1,0,0,1,2,0,4,2,0,1,2,1,7,0,2,4,3,1
2020,12,총,"97,228","6,564","1,414","3,853","3,070",992,"2,673","3,956","1,668","1,960","2,570","1,753",754,"1,993","2,784","1,233",332,"2,730","1,146",380,"2,145","2,060",827,"12,259","9,143","7,935","8,340","3,670","9,024"
2020,12,0,"5,200",278,43,101,96,29,84,88,61,56,95,58,25,64,140,31,5,85,19,7,37,64,26,921,713,576,563,186,749
2020,12,10,"7,541",500,60,166,158,35,108,202,69,87,152,69,38,106,149,64,11,155,47,19,93,91,35,"1,307",865,817,815,349,974
2020,12,20,"8,163",424,69,196,168,53,152,206,82,106,156,106,32,104,158,71,15,119,47,12,101,98,48,"1,320",972,747,851,317,"1,433"
2020,12,30,"7,445",464,74,211,130,34,157,192,87,98,126,82,47,103,182,72,10,145,32,8,103,70,31,"1,251","1,085",748,766,276,861
2020,12,40,"11,490",735,106,336,261,72,215,302,124,136,243,171,55,170,256,115,25,291,85,26,166,191,64,"1,797","1,364","1,151","1,194",491,"1,348"
2020,12,50,"16,728","1,091",239,639,523,201,426,641,294,387,499,330,155,382,526,259,66,487,171,71,307,311,165,"2,075","1,569","1,381","1,518",624,"1,391"
2020,12,60,"18,318","1,329",312,877,655,226,626,983,379,491,638,426,188,456,609,277,100,600,289,73,522,424,189,"1,855","1,425","1,216","1,294",643,"1,216"
2020,12,70,"12,639",968,302,680,566,153,476,750,301,332,390,281,115,347,412,186,57,460,262,74,438,426,139,"1,123",707,758,828,485,623
2020,12,80,"8,366",670,184,559,426,171,366,509,231,239,236,204,86,211,309,135,38,333,166,79,322,319,103,523,388,480,445,262,372
2020,12,90,"1,276",96,25,85,81,16,59,81,40,28,31,25,13,49,42,21,5,51,26,11,55,64,26,80,55,59,62,34,56
2020,12,100,62,9,0,3,6,2,4,2,0,0,4,1,0,1,1,2,0,4,2,0,1,2,1,7,0,2,4,3,1
2021,1,총,"97,159","6,621","1,407","3,862","3,063",989,"2,674","3,944","1,659","1,970","2,568","1,748",753,"1,989","2,759","1,237",331,"2,731","1,140",381,"2,142","2,066",823,"12,194","9,094","8,023","8,341","3,647","9,003"
2021,1,0,"5,201",279,41,103,96,29,82,89,59,59,98,58,26,63,136,30,5,85,20,9,39,63,25,914,709,589,564,174,757
2021,1,10,"7,499",521,59,168,160,34,109,194,65,91,148,68,38,105,145,64,11,157,45,19,93,92,35,"1,301",852,817,803,349,956
2021,1,20,"8,075",424,71,194,168,53,147,197,81,105,154,104,29,104,153,71,14,120,42,12,101,98,47,"1,296",973,751,857,304,"1,405"
2021,1,30,"7,430",463,72,217,129,35,157,197,84,95,127,84,49,102,173,71,9,141,31,8,100,72,32,"1,240","1,079",771,759,268,865
2021,1,40,"11,477",758,104,336,256,72,217,295,125,140,242,165,53,168,253,115,25,293,85,25,171,190,63,"1,780","1,343","1,177","1,186",494,"1,346"
2021,1,50,"16,668","1,080",238,633,521,198,428,633,286,384,498,331,154,380,525,258,66,487,166,71,306,313,164,"2,084","1,559","1,381","1,513",622,"1,389"
2021,1,60,"18,417","1,343",311,879,653,226,628,994,386,496,639,427,190,460,606,279,101,602,294,72,523,425,190,"1,840","1,430","1,238","1,306",650,"1,229"
2021,1,70,"12,627",969,294,678,565,152,477,748,299,331,392,276,113,346,417,187,56,458,262,75,436,426,140,"1,121",707,760,831,486,625
2021,1,80,"8,416",678,193,566,428,172,366,514,233,239,235,208,88,210,309,139,39,333,167,79,315,320,100,530,385,482,452,263,373
2021,1,90,"1,285",97,24,84,81,16,59,81,41,30,31,26,13,50,41,21,5,51,26,11,57,65,26,81,57,55,66,33,57
2021,1,100,64,9,0,4,6,2,4,2,0,0,4,1,0,1,1,2,0,4,2,0,1,2,1,7,0,2,4,4,1
2021,2,총,"96,942","6,572","1,406","3,860","3,049",993,"2,652","3,949","1,654","1,970","2,572","1,746",756,"1,988","2,744","1,232",332,"2,724","1,142",377,"2,137","2,056",820,"12,160","9,096","8,055","8,321","3,619","8,960"
2021,2,0,"5,163",279,41,106,91,30,83,90,59,57,96,57,24,65,133,30,5,89,20,9,36,62,25,901,709,596,556,166,748
2021,2,10,"7,449",520,59,165,159,33,104,193,66,91,146,69,39,105,145,65,11,152,43,19,94,87,34,"1,300",853,812,788,343,954
2021,2,20,"7,960",402,72,194,164,52,142,194,75,102,152,99,28,99,146,70,13,123,44,12,98,99,46,"1,285",971,746,856,306,"1,370"
2021,2,30,"7,354",459,69,211,126,36,152,198,83,96,128,89,46,103,168,68,9,141,29,9,102,71,32,"1,233","1,045",792,747,255,857
2021,2,40,"11,427",741,106,331,253,72,207,297,127,141,244,164,57,166,251,111,25,285,81,24,169,187,64,"1,772","1,376","1,176","1,177",488,"1,335"
2021,2,50,"16,650","1,071",237,632,514,200,431,634,287,382,503,329,151,386,519,260,67,486,168,70,303,305,160,"2,089","1,546","1,390","1,513",620,"1,397"
2021,2,60,"18,533","1,348",309,890,658,229,631,994,383,502,647,432,197,454,615,278,101,600,300,73,530,436,190,"1,846","1,446","1,237","1,316",651,"1,240"
2021,2,70,"12,564",959,294,675,558,150,469,749,298,331,384,275,111,349,413,188,57,452,258,71,427,420,141,"1,119",704,760,840,484,628
2021,2,80,"8,477",683,194,567,437,171,369,518,234,238,238,201,91,213,312,138,39,339,170,80,320,321,101,527,391,487,459,268,371
2021,2,90,"1,301",101,25,85,83,18,60,79,42,30,30,30,12,47,41,22,5,53,27,10,57,66,26,81,55,56,66,35,59
2021,2,100,64,9,0,4,6,2,4,3,0,0,4,1,0,1,1,2,0,4,2,0,1,2,1,7,0,3,3,3,1
2021,3,총,"96,855","6,539","1,408","3,871","3,025",998,"2,639","3,978","1,659","1,958","2,576","1,738",760,"1,986","2,765","1,226",332,"2,721","1,143",378,"2,123","2,048",821,"12,113","9,071","8,068","8,291","3,592","9,028"
2021,3,0,"5,133",283,40,108,89,29,85,93,58,56,95,57,25,65,138,28,5,91,21,9,34,60,28,882,704,589,562,162,737
2021,3,10,"7,515",537,59,163,156,34,97,220,65,84,150,66,39,100,145,65,10,151,43,19,94,86,33,"1,292",849,820,770,341,"1,027"
2021,3,20,"7,895",388,68,196,157,51,140,188,75,102,152,96,27,99,142,66,14,120,42,12,96,92,46,"1,278",964,746,856,295,"1,387"
2021,3,30,"7,323",446,71,211,122,37,152,200,85,95,128,91,45,105,175,65,9,142,30,9,97,69,34,"1,223","1,031",809,736,256,850
2021,3,40,"11,350",725,106,331,253,75,198,302,127,135,248,154,59,169,256,112,24,283,81,24,165,192,63,"1,759","1,366","1,177","1,161",479,"1,326"
2021,3,50,"16,609","1,059",237,632,504,200,432,629,287,376,498,329,151,384,522,260,68,480,166,70,297,301,163,"2,086","1,550","1,386","1,523",620,"1,399"
2021,3,60,"18,632","1,356",312,900,665,235,636,995,386,510,652,436,200,456,622,280,101,603,302,75,538,437,190,"1,865","1,451","1,238","1,309",646,"1,236"
2021,3,70,"12,515",948,296,668,553,149,469,747,297,331,384,274,109,348,412,186,54,454,254,69,414,422,139,"1,117",708,750,846,481,636
2021,3,80,"8,520",687,194,571,442,167,366,521,238,240,234,203,93,213,314,141,42,344,174,80,330,322,99,524,392,493,460,271,365
2021,3,90,"1,321",103,24,88,82,21,62,81,41,28,32,32,12,47,39,21,5,51,28,11,57,65,26,85,56,57,65,38,64
2021,3,100,42,7,1,3,2,0,2,2,0,1,3,0,0,0,0,2,0,2,2,0,1,2,0,2,0,3,3,3,1
2021,4,총,"96,793","6,515","1,414","3,870","3,016","1,004","2,636","3,992","1,657","1,946","2,581","1,746",757,"1,978","2,774","1,222",331,"2,703","1,136",379,"2,134","2,050",830,"12,102","9,026","8,120","8,263","3,587","9,024"
2021,4,0,"5,090",276,41,103,86,29,86,95,55,51,96,59,23,62,144,26,5,86,20,9,32,58,30,878,709,583,562,160,726
2021,4,10,"7,503",533,60,165,156,34,96,226,66,80,149,66,39,98,146,63,10,149,44,19,94,86,33,"1,291",835,851,757,339,"1,018"
2021,4,20,"7,863",382,67,193,158,52,141,188,76,101,152,96,26,98,143,65,14,117,42,10,95,93,45,"1,267",965,751,846,295,"1,385"
2021,4,30,"7,285",442,74,211,120,37,149,199,81,95,130,90,45,105,175,66,9,139,30,9,96,68,36,"1,224","1,008",815,737,253,842
2021,4,40,"11,328",718,105,331,248,76,197,303,131,132,248,149,61,165,255,113,24,279,80,23,169,190,64,"1,768","1,364","1,181","1,147",476,"1,331"
2021,4,50,"16,576","1,060",237,631,500,202,427,629,285,376,502,332,147,381,517,257,67,477,163,72,298,303,164,"2,077","1,539","1,389","1,524",618,"1,402"
2021,4,60,"18,747","1,363",312,906,671,237,639,995,386,513,653,443,200,464,630,282,101,606,303,76,541,439,192,"1,878","1,459","1,247","1,312",654,"1,245"
2021,4,70,"12,483",946,295,662,552,150,464,751,298,326,383,276,111,344,410,186,53,451,251,71,414,417,141,"1,113",704,751,848,479,636
2021,4,80,"8,537",686,197,574,436,167,373,520,237,244,232,202,94,213,318,141,43,345,175,79,336,327,98,521,387,493,458,271,370
2021,4,90,"1,340",104,25,90,86,20,62,84,42,27,33,33,11,48,36,21,5,52,26,11,58,67,27,84,56,56,69,39,68
2021,4,100,41,5,1,4,3,0,2,2,0,1,3,0,0,0,0,2,0,2,2,0,1,2,0,1,0,3,3,3,1
2021,5,총,"96,337","6,472","1,403","3,859","2,965",997,"2,621","3,957","1,655","1,923","2,566","1,746",756,"1,962","2,772","1,218",331,"2,699","1,133",377,"2,126","2,031",811,"12,004","9,015","8,128","8,219","3,569","9,022"
