년도,월,나이,동두천시,생연1동,생연2동,중앙동,보산동,불현동,송내동,소요동,상패동
2020,3,90,409,27,43,43,17,95,92,52,40
2020,3,100,63,3,6,17,2,10,3,17,5
2020,4,총,"47,176","3,504","5,820","2,491","1,661","14,083","13,115","4,130","2,372"
2020,4,0,"3,199",229,349,62,88,"1,048","1,156",190,77
2020,4,10,"4,385",303,598,114,113,"1,396","1,513",220,128
2020,4,20,"5,105",344,568,238,149,"1,610","1,594",394,208
2020,4,30,"5,033",388,574,180,151,"1,561","1,615",364,200
2020,4,40,"7,116",470,915,256,192,"2,185","2,361",470,267
2020,4,50,"7,716",608,929,463,298,"2,359","1,877",739,443
2020,4,60,"6,463",530,803,507,268,"1,804","1,323",778,450
2020,4,70,"5,069",387,697,379,259,"1,342","1,064",586,355
2020,4,80,"2,616",214,336,232,126,670,517,321,200
2020,4,90,411,28,45,43,15,98,92,51,39
2020,4,100,63,3,6,17,2,10,3,17,5
2020,5,총,"47,151","3,489","5,786","2,503","1,653","14,077","13,139","4,140","2,364"
2020,5,0,"3,182",229,342,64,86,"1,046","1,150",192,73
2020,5,10,"4,372",298,594,113,113,"1,386","1,518",220,130
2020,5,20,"5,093",336,562,239,147,"1,601","1,608",395,205
2020,5,30,"5,011",386,564,181,150,"1,562","1,605",360,203
2020,5,40,"7,078",464,908,256,192,"2,175","2,358",468,257
2020,5,50,"7,729",605,925,469,293,"2,354","1,895",743,445
2020,5,60,"6,485",539,802,505,268,"1,819","1,325",781,446
2020,5,70,"5,093",384,697,383,259,"1,348","1,073",589,360
2020,5,80,"2,629",215,343,232,128,678,511,324,198
2020,5,90,417,30,43,44,15,99,93,51,42
2020,5,100,62,3,6,17,2,9,3,17,5
2020,6,총,"47,192","3,491","5,807","2,499","1,653","14,045","13,091","4,154","2,452"
2020,6,0,"3,157",227,341,64,86,"1,035","1,127",192,85
2020,6,10,"4,366",299,595,112,112,"1,381","1,508",221,138
2020,6,20,"5,109",340,561,237,144,"1,590","1,611",393,233
2020,6,30,"5,021",385,569,181,148,"1,550","1,599",361,228
2020,6,40,"7,027",456,904,254,194,"2,158","2,333",470,258
2020,6,50,"7,743",603,930,470,286,"2,360","1,905",739,450
2020,6,60,"6,542",544,807,508,277,"1,833","1,327",795,451
2020,6,70,"5,100",389,702,379,257,"1,352","1,076",589,356
2020,6,80,"2,640",216,349,232,129,678,508,322,206
2020,6,90,424,29,44,44,18,99,94,55,41
2020,6,100,63,3,5,18,2,9,3,17,6
2020,7,총,"47,081","3,482","5,794","2,494","1,654","13,974","13,023","4,162","2,498"
2020,7,0,"3,136",229,336,61,84,"1,021","1,119",190,96
2020,7,10,"4,333",296,589,106,113,"1,365","1,499",222,143
2020,7,20,"5,107",339,555,235,145,"1,594","1,607",393,239
2020,7,30,"4,977",380,568,187,147,"1,524","1,568",363,240
2020,7,40,"7,002",449,902,253,193,"2,133","2,326",483,263
2020,7,50,"7,709",603,926,469,289,"2,353","1,888",734,447
2020,7,60,"6,578",548,812,506,276,"1,847","1,337",796,456
2020,7,70,"5,109",387,705,380,258,"1,352","1,083",587,357
2020,7,80,"2,645",219,351,234,129,675,502,325,210
2020,7,90,422,29,45,45,18,101,91,52,41
2020,7,100,63,3,5,18,2,9,3,17,6
2020,8,총,"47,056","3,479","5,781","2,486","1,655","13,970","12,996","4,177","2,512"
2020,8,0,"3,122",229,336,63,86,"1,016","1,105",188,99
2020,8,10,"4,299",299,580,105,112,"1,336","1,495",230,142
2020,8,20,"5,118",338,557,230,140,"1,618","1,603",389,243
2020,8,30,"4,947",378,564,185,146,"1,515","1,549",360,250
2020,8,40,"6,994",445,894,256,196,"2,134","2,313",489,267
2020,8,50,"7,725",601,927,458,288,"2,366","1,908",734,443
2020,8,60,"6,607",549,815,506,279,"1,851","1,347",804,456
2020,8,70,"5,098",388,701,382,258,"1,349","1,082",584,354
2020,8,80,"2,658",221,357,236,129,673,502,330,210
2020,8,90,425,28,45,47,19,103,89,52,42
2020,8,100,63,3,5,18,2,9,3,17,6
2020,9,총,"47,038","3,490","5,767","2,480","1,660","13,929","12,986","4,197","2,529"
2020,9,0,"3,106",230,339,62,93,996,"1,091",192,103
2020,9,10,"4,278",298,569,104,114,"1,314","1,502",235,142
2020,9,20,"5,109",331,558,228,136,"1,628","1,585",393,250
2020,9,30,"4,919",377,559,181,147,"1,503","1,546",353,253
2020,9,40,"6,964",450,885,255,194,"2,125","2,300",489,266
2020,9,50,"7,752",606,921,462,294,"2,369","1,915",735,450
2020,9,60,"6,627",551,813,504,272,"1,862","1,363",808,454
2020,9,70,"5,103",390,703,381,258,"1,342","1,093",582,354
2020,9,80,"2,689",226,369,237,131,678,499,339,210
2020,9,90,426,28,46,47,19,103,89,53,41
2020,9,100,65,3,5,19,2,9,3,18,6
2020,10,총,"47,069","3,494","5,758","2,475","1,657","13,967","12,981","4,205","2,532"
2020,10,0,"3,086",229,336,64,90,993,"1,078",192,104
2020,10,10,"4,270",300,569,101,112,"1,311","1,499",234,144
2020,10,20,"5,115",329,555,229,139,"1,639","1,580",394,250
2020,10,30,"4,922",378,559,181,143,"1,488","1,561",358,254
2020,10,40,"6,939",445,887,249,191,"2,122","2,295",483,267
2020,10,50,"7,756",608,914,451,302,"2,390","1,910",737,444
2020,10,60,"6,657",558,811,510,272,"1,869","1,375",807,455
2020,10,70,"5,113",390,704,382,254,"1,353","1,089",584,357
2020,10,80,"2,712",227,372,239,133,688,500,345,208
2020,10,90,434,27,46,50,19,105,91,53,43
2020,10,100,65,3,5,19,2,9,3,18,6
2020,11,총,"47,240","3,525","5,824","2,467","1,642","13,989","12,998","4,232","2,563"
2020,11,0,"3,069",234,337,63,87,979,"1,073",191,105
2020,11,10,"4,267",303,574,96,111,"1,308","1,493",236,146
2020,11,20,"5,128",336,565,232,137,"1,641","1,566",397,254
2020,11,30,"4,945",382,563,181,143,"1,495","1,565",352,264
2020,11,40,"6,940",446,893,242,190,"2,112","2,295",490,272
2020,11,50,"7,772",610,924,445,299,"2,400","1,914",736,444
2020,11,60,"6,720",566,830,516,269,"1,874","1,384",821,460
2020,11,70,"5,140",389,706,379,253,"1,367","1,106",582,358
2020,11,80,"2,749",228,381,242,132,695,506,355,210
2020,11,90,445,28,46,52,19,109,93,54,44
2020,11,100,65,3,5,19,2,9,3,18,6
2020,12,총,"47,315","3,517","5,971","2,470","1,637","13,976","12,945","4,243","2,556"
2020,12,0,"3,036",227,347,61,86,966,"1,052",191,106
2020,12,10,"4,263",300,593,98,111,"1,308","1,473",236,144
2020,12,20,"5,161",333,584,235,139,"1,650","1,572",394,254
2020,12,30,"4,941",377,581,184,139,"1,487","1,550",360,263
2020,12,40,"6,924",449,913,236,186,"2,102","2,275",492,271
2020,12,50,"7,810",610,953,448,300,"2,400","1,923",739,437
2020,12,60,"6,760",575,853,512,273,"1,882","1,389",819,457
2020,12,70,"5,134",386,706,381,252,"1,359","1,104",582,364
2020,12,80,"2,774",229,388,244,130,706,511,356,210
2020,12,90,447,28,48,52,19,107,93,56,44
2020,12,100,65,3,5,19,2,9,3,18,6
2021,1,총,"47,366","3,519","6,047","2,459","1,627","13,965","12,944","4,249","2,556"
2021,1,0,"3,013",223,352,64,82,946,"1,042",198,106
2021,1,10,"4,271",311,595,97,112,"1,310","1,467",232,147
2021,1,20,"5,146",328,587,230,134,"1,643","1,580",393,251
2021,1,30,"4,941",376,594,184,138,"1,484","1,536",367,262
2021,1,40,"6,898",451,927,232,188,"2,080","2,258",494,268
2021,1,50,"7,843",611,964,444,296,"2,414","1,946",730,438
2021,1,60,"6,803",573,872,503,274,"1,904","1,395",821,461
2021,1,70,"5,126",383,711,381,250,"1,352","1,108",583,358
2021,1,80,"2,813",232,390,252,131,719,515,359,215
2021,1,90,448,28,50,53,20,105,94,54,44
2021,1,100,64,3,5,19,2,8,3,18,6
2021,2,총,"47,313","3,515","6,065","2,455","1,622","13,926","12,905","4,256","2,569"
2021,2,0,"2,995",224,355,63,79,934,"1,027",203,110
2021,2,10,"4,228",304,585,98,110,"1,298","1,450",235,148
2021,2,20,"5,140",335,591,217,134,"1,639","1,582",384,258
2021,2,30,"4,880",375,598,185,136,"1,457","1,507",364,258
2021,2,40,"6,889",447,928,237,188,"2,074","2,246",496,273
2021,2,50,"7,846",607,968,442,297,"2,418","1,953",727,434
2021,2,60,"6,862",573,888,508,272,"1,921","1,409",825,466
2021,2,70,"5,122",387,706,374,251,"1,347","1,115",588,354
2021,2,80,"2,836",234,390,259,133,725,517,361,217
2021,2,90,451,26,51,53,20,105,96,55,45
2021,2,100,64,3,5,19,2,8,3,18,6
2021,3,총,"46,730","3,441","6,070","2,377","1,513","13,802","12,857","4,180","2,490"
2021,3,0,"2,962",224,347,64,77,923,"1,017",199,111
2021,3,10,"4,216",294,603,97,109,"1,285","1,444",238,146
2021,3,20,"5,092",338,593,215,130,"1,623","1,561",377,255
2021,3,30,"4,855",373,597,187,137,"1,449","1,498",356,258
2021,3,40,"6,792",439,934,222,180,"2,043","2,231",480,263
2021,3,50,"7,737",586,965,429,284,"2,383","1,957",712,421
2021,3,60,"6,784",561,895,492,243,"1,917","1,416",817,443
2021,3,70,"5,017",372,698,362,219,"1,339","1,109",581,337
2021,3,80,"2,828",231,387,253,120,736,530,363,208
2021,3,90,423,22,50,50,14,101,92,48,46
2021,3,100,24,1,1,6,0,3,2,9,2
2021,4,총,"46,679","3,427","6,104","2,364","1,511","13,760","12,838","4,193","2,482"
2021,4,0,"2,935",224,345,62,77,912,"1,009",196,110
2021,4,10,"4,226",300,607,98,109,"1,289","1,441",241,141
2021,4,20,"5,080",334,603,215,128,"1,610","1,555",376,259
2021,4,30,"4,807",367,601,184,135,"1,436","1,478",355,251
2021,4,40,"6,797",436,940,216,179,"2,047","2,232",482,265
2021,4,50,"7,711",581,963,424,282,"2,365","1,962",716,418
2021,4,60,"6,826",561,909,496,250,"1,914","1,428",819,449
2021,4,70,"4,997",372,690,358,216,"1,346","1,105",579,331
2021,4,80,"2,852",229,397,253,122,734,535,371,211
2021,4,90,424,22,48,52,13,104,91,49,45
2021,4,100,24,1,1,6,0,3,2,9,2
2021,5,총,"46,686","3,432","6,131","2,359","1,508","13,734","12,834","4,197","2,491"
2021,5,0,"2,925",220,347,63,78,905,"1,007",193,112
2021,5,10,"4,210",296,610,98,107,"1,286","1,430",242,141
2021,5,20,"5,095",340,606,213,133,"1,613","1,547",378,265
2021,5,30,"4,810",376,611,186,133,"1,429","1,471",351,253
2021,5,40,"6,742",425,928,209,176,"2,030","2,218",489,267
2021,5,50,"7,698",583,970,418,280,"2,351","1,970",712,414
2021,5,60,"6,885",560,919,494,252,"1,934","1,451",824,451
2021,5,70,"5,005",379,694,370,212,"1,340","1,102",577,331
2021,5,80,"2,862",230,397,249,122,738,545,371,210
2021,5,90,431,22,48,53,15,106,91,51,45
2021,5,100,23,1,1,6,0,2,2,9,2
2021,6,총,"46,728","3,452","6,121","2,359","1,506","13,717","12,867","4,235","2,471"
2021,6,0,"2,910",223,348,65,76,895,"1,001",191,111
2021,6,10,"4,198",301,603,94,109,"1,282","1,431",245,133
2021,6,20,"5,092",343,599,212,134,"1,596","1,554",387,267
2021,6,30,"4,811",374,619,182,130,"1,433","1,474",352,247
2021,6,40,"6,741",424,930,211,174,"2,032","2,215",492,263
2021,6,50,"7,707",594,964,419,279,"2,342","1,982",715,412
2021,6,60,"6,944",561,923,497,253,"1,946","1,467",841,456
2021,6,70,"4,985",374,686,372,214,"1,339","1,096",578,326
2021,6,80,"2,884",235,399,249,123,742,551,375,210
2021,6,90,433,22,49,51,14,108,94,51,44
2021,6,100,23,1,1,7,0,2,2,8,2
2021,7,총,"46,772","3,468","6,115","2,351","1,503","13,736","12,878","4,250","2,471"
2021,7,0,"2,909",218,351,64,75,891,"1,003",193,114
2021,7,10,"4,208",307,601,93,109,"1,281","1,430",250,137
2021,7,20,"5,075",344,597,212,134,"1,586","1,553",384,265
2021,7,30,"4,780",375,610,186,131,"1,442","1,445",347,244
2021,7,40,"6,739",423,934,210,166,"2,032","2,216",501,257
2021,7,50,"7,753",601,963,413,282,"2,360","2,005",719,410
2021,7,60,"6,965",566,924,494,252,"1,945","1,481",842,461
2021,7,70,"4,985",376,681,375,215,"1,347","1,089",577,325
2021,7,80,"2,901",236,404,246,125,743,558,378,211
2021,7,90,435,21,49,52,14,107,96,51,45
2021,7,100,22,1,1,6,0,2,2,8,2
2021,8,총,"46,787","3,473","6,101","2,352","1,497","13,756","12,886","4,247","2,475"
2021,8,0,"2,897",218,353,66,73,890,990,193,114
2021,8,10,"4,198",307,600,99,106,"1,282","1,417",251,136
2021,8,20,"5,080",348,592,213,132,"1,591","1,561",382,261
2021,8,30,"4,775",370,608,182,131,"1,437","1,452",350,245
2021,8,40,"6,723",430,928,211,161,"2,024","2,212",496,261
2021,8,50,"7,743",595,950,406,283,"2,373","2,012",714,410
2021,8,60,"7,010",571,932,497,255,"1,954","1,495",846,460
2021,8,70,"4,975",372,680,376,213,"1,348","1,081",575,330
2021,8,80,"2,931",241,408,245,128,747,568,383,211
2021,8,90,434,20,49,51,15,108,96,50,45
2021,8,100,21,1,1,6,0,2,2,7,2
2021,9,총,"46,818","3,458","6,078","2,353","1,497","13,708","13,008","4,246","2,470"
2021,9,0,"2,888",215,349,69,70,887,990,195,113
2021,9,10,"4,193",307,603,100,104,"1,278","1,415",250,136
2021,9,20,"5,054",343,583,211,133,"1,569","1,582",378,255
2021,9,30,"4,785",368,600,178,133,"1,437","1,480",347,242
2021,9,40,"6,724",422,926,212,165,"2,018","2,225",494,262
2021,9,50,"7,729",587,951,406,273,"2,366","2,014",720,412
2021,9,60,"7,068",582,934,501,263,"1,960","1,522",848,458
2021,9,70,"4,969",366,674,374,213,"1,342","1,095",572,333
2021,9,80,"2,957",248,409,244,128,741,590,385,212
2021,9,90,432,19,48,52,15,109,94,50,45
2021,9,100,19,1,1,6,0,1,1,7,2
2021,10,총,"46,849","3,442","6,073","2,338","1,504","13,699","13,082","4,253","2,458"
2021,10,0,"2,876",211,351,69,71,875,994,193,112
2021,10,10,"4,178",299,599,99,103,"1,279","1,414",252,133
2021,10,20,"5,048",342,579,204,133,"1,554","1,611",374,251
2021,10,30,"4,788",364,597,177,134,"1,446","1,490",340,240
2021,10,40,"6,697",414,917,214,163,"2,014","2,211",506,258
2021,10,50,"7,738",592,955,399,278,"2,367","2,016",722,409
2021,10,60,"7,123",585,942,507,266,"1,961","1,543",850,469
2021,10,70,"4,957",370,671,367,211,"1,339","1,100",570,329
2021,10,80,"2,982",244,412,244,130,754,602,387,209
2021,10,90,442,20,49,52,15,108,100,52,46
2021,10,100,20,1,1,6,0,2,1,7,2
2021,11,총,"46,856","3,443","6,064","2,344","1,511","13,689","13,110","4,240","2,455"
2021,11,0,"2,841",206,343,69,72,870,977,192,112
2021,11,10,"4,179",298,605,94,104,"1,272","1,427",245,134
2021,11,20,"5,064",339,569,204,135,"1,569","1,621",373,254
2021,11,30,"4,760",359,595,174,136,"1,429","1,489",340,238
2021,11,40,"6,703",416,917,216,163,"2,017","2,210",505,259
2021,11,50,"7,763",600,962,404,279,"2,369","2,024",720,405
2021,11,60,"7,153",586,948,511,270,"1,958","1,556",855,469
2021,11,70,"4,934",369,667,365,204,"1,339","1,098",565,327
2021,11,80,"3,003",246,412,246,133,757,608,390,211
2021,11,90,438,23,45,55,15,107,99,49,45
2021,11,100,18,1,1,6,0,2,1,6,1
2021,12,총,"46,898","3,445","6,074","2,336","1,516","13,681","13,125","4,257","2,464"
2021,12,0,"2,836",204,341,70,71,865,974,194,117
2021,12,10,"4,178",295,605,92,103,"1,277","1,422",246,138
2021,12,20,"5,082",342,573,207,139,"1,559","1,641",373,248
2021,12,30,"4,761",358,599,172,137,"1,417","1,486",352,240
2021,12,40,"6,698",417,914,219,163,"2,019","2,194",513,259
2021,12,50,"7,776",605,966,402,276,"2,380","2,032",714,401
2021,12,60,"7,175",590,950,516,276,"1,956","1,557",858,472
2021,12,70,"4,918",362,668,355,203,"1,334","1,105",566,325
2021,12,80,"3,013",249,412,248,131,761,608,387,217
2021,12,90,444,22,45,51,17,110,105,48,46
2021,12,100,17,1,1,4,0,3,1,6,1
