년도,월,나이,무주군,무주읍,무풍면,설천면,적상면,안성면,부남면
2021,2,80,"1,537",411,178,235,248,348,117
2021,2,90,258,92,28,32,30,55,21
2021,2,100,18,8,0,2,2,5,1
2021,3,총,"11,996","4,729","1,121","1,995","1,305","2,143",703
2021,3,0,541,336,24,74,32,57,18
2021,3,10,896,500,44,135,58,131,28
2021,3,20,764,393,52,144,53,101,21
2021,3,30,755,427,59,99,44,98,28
2021,3,40,"1,253",685,74,217,96,143,38
2021,3,50,"1,853",655,209,350,191,342,106
2021,3,60,"2,169",658,252,380,261,452,166
2021,3,70,"1,956",571,199,327,287,413,159
2021,3,80,"1,544",413,180,235,250,349,117
2021,3,90,248,84,28,32,31,52,21
2021,3,100,17,7,0,2,2,5,1
2021,4,총,"11,997","4,722","1,120","2,000","1,310","2,144",701
2021,4,0,535,327,23,76,33,57,19
2021,4,10,889,501,44,128,58,130,28
2021,4,20,770,391,53,151,54,100,21
2021,4,30,755,426,57,102,44,97,29
2021,4,40,"1,249",680,76,215,98,144,36
2021,4,50,"1,847",656,209,343,191,344,104
2021,4,60,"2,191",665,252,390,262,454,168
2021,4,70,"1,937",564,198,326,285,408,156
2021,4,80,"1,548",417,181,234,248,352,116
2021,4,90,258,88,27,33,35,52,23
2021,4,100,18,7,0,2,2,6,1
2021,5,총,"12,008","4,729","1,111","2,009","1,317","2,144",698
2021,5,0,531,325,23,74,33,57,19
2021,5,10,882,499,43,125,60,130,25
2021,5,20,780,393,52,158,55,100,22
2021,5,30,757,429,56,102,43,97,30
2021,5,40,"1,244",679,73,215,99,143,35
2021,5,50,"1,845",657,208,342,195,341,102
2021,5,60,"2,208",668,255,393,265,459,168
2021,5,70,"1,933",571,193,327,282,406,154
2021,5,80,"1,551",416,183,237,247,351,117
2021,5,90,259,85,25,34,36,54,25
2021,5,100,18,7,0,2,2,6,1
2021,6,총,"11,986","4,724","1,107","2,007","1,311","2,140",697
2021,6,0,525,323,22,72,33,56,19
2021,6,10,880,494,44,127,61,128,26
2021,6,20,775,400,47,159,51,97,21
2021,6,30,749,424,54,105,41,97,28
2021,6,40,"1,236",674,74,211,98,143,36
2021,6,50,"1,844",663,208,341,191,342,99
2021,6,60,"2,214",666,257,393,269,459,170
2021,6,70,"1,923",568,191,325,281,405,153
2021,6,80,"1,561",420,184,237,247,354,119
2021,6,90,261,85,26,35,37,53,25
2021,6,100,18,7,0,2,2,6,1
2021,7,총,"11,974","4,719","1,107","2,003","1,310","2,138",697
2021,7,0,512,314,21,69,33,56,19
2021,7,10,885,499,46,124,60,127,29
2021,7,20,765,395,45,161,49,96,19
2021,7,30,749,419,55,107,40,100,28
2021,7,40,"1,231",674,74,206,97,144,36
2021,7,50,"1,848",665,211,341,193,340,98
2021,7,60,"2,208",666,256,392,267,457,170
2021,7,70,"1,916",565,190,325,283,401,152
2021,7,80,"1,576",429,183,239,248,357,120
2021,7,90,265,85,26,37,38,54,25
2021,7,100,19,8,0,2,2,6,1
2021,8,총,"11,968","4,723","1,104","1,999","1,314","2,128",700
2021,8,0,509,312,21,69,32,56,19
2021,8,10,885,501,45,121,62,127,29
2021,8,20,773,403,45,163,50,93,19
2021,8,30,738,412,55,107,41,95,28
2021,8,40,"1,228",676,69,209,97,141,36
2021,8,50,"1,847",668,213,337,190,339,100
2021,8,60,"2,217",668,257,390,270,461,171
2021,8,70,"1,909",561,190,326,282,397,153
2021,8,80,"1,578",432,182,239,248,360,117
2021,8,90,266,82,27,36,40,54,27
2021,8,100,18,8,0,2,2,5,1
2021,9,총,"11,938","4,711","1,096","1,997","1,314","2,122",698
2021,9,0,508,309,20,69,34,56,20
2021,9,10,888,507,42,123,61,127,28
2021,9,20,752,385,44,162,52,88,21
2021,9,30,733,410,56,105,41,94,27
2021,9,40,"1,221",675,67,207,96,140,36
2021,9,50,"1,839",672,212,337,185,338,95
2021,9,60,"2,227",669,256,391,272,465,174
2021,9,70,"1,908",561,187,327,284,397,152
2021,9,80,"1,582",437,184,237,249,358,117
2021,9,90,262,78,28,37,38,54,27
2021,9,100,18,8,0,2,2,5,1
2021,10,총,"11,931","4,720","1,101","1,982","1,315","2,116",697
2021,10,0,496,299,20,66,34,57,20
2021,10,10,890,512,43,122,60,125,28
2021,10,20,751,387,44,160,54,85,21
2021,10,30,717,405,55,98,40,92,27
2021,10,40,"1,223",677,67,207,96,140,36
2021,10,50,"1,856",684,213,342,188,335,94
2021,10,60,"2,223",671,258,386,269,468,171
2021,10,70,"1,911",560,189,329,285,396,152
2021,10,80,"1,584",438,183,234,249,360,120
2021,10,90,262,79,29,36,38,53,27
2021,10,100,18,8,0,2,2,5,1
2021,11,총,"11,924","4,734","1,099","1,968","1,316","2,110",697
2021,11,0,494,299,19,65,35,57,19
2021,11,10,884,513,43,120,58,124,26
2021,11,20,758,392,45,160,56,84,21
2021,11,30,715,412,53,94,40,89,27
2021,11,40,"1,229",679,67,204,99,142,38
2021,11,50,"1,850",686,209,340,189,333,93
2021,11,60,"2,227",673,259,386,269,468,172
2021,11,70,"1,902",560,190,329,280,391,152
2021,11,80,"1,584",436,182,230,251,364,121
2021,11,90,264,76,32,38,37,54,27
2021,11,100,17,8,0,2,2,4,1
2021,12,총,"11,922","4,729","1,098","1,966","1,317","2,114",698
2021,12,0,495,298,20,65,36,57,19
2021,12,10,879,513,43,116,58,123,26
2021,12,20,761,389,46,161,57,88,20
2021,12,30,715,411,54,93,38,90,29
2021,12,40,"1,228",677,67,205,100,141,38
2021,12,50,"1,840",680,209,337,189,333,92
2021,12,60,"2,237",679,260,387,271,471,169
2021,12,70,"1,883",557,186,327,276,383,154
2021,12,80,"1,598",439,182,235,251,368,123
2021,12,90,268,78,31,37,39,56,27
2021,12,100,18,8,0,3,2,4,1
