년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020,2,80,"5,089",449,260,577,493,549,495,437,308,426,130,450,515
2020,2,90,633,70,39,66,49,64,59,60,30,54,23,44,75
2020,2,100,31,5,2,6,4,3,1,5,1,2,1,1,0
2020,3,총,"175,731","15,125","7,488","13,872","16,963","28,591","20,043","11,335","14,417","14,045","6,881","9,930","17,041"
2020,3,0,"11,557",738,333,795,"1,059","2,232","1,106",578,"1,797",858,543,480,"1,038"
2020,3,10,"17,381","1,062",543,"1,126","1,794","4,112","1,730",959,"1,321","1,373",661,890,"1,810"
2020,3,20,"24,591","2,377",866,"1,677","2,378","4,218","3,028","1,535","1,754","2,043","1,079","1,295","2,341"
2020,3,30,"19,917","1,644",885,"1,397","1,775","2,907","2,350","1,177","2,454","1,659","1,089",942,"1,638"
2020,3,40,"28,120","2,089","1,184","1,998","2,719","5,416","3,252","1,657","2,353","2,289","1,225","1,370","2,568"
2020,3,50,"33,522","2,931","1,414","2,712","3,217","5,533","3,814","2,232","2,327","2,682","1,184","1,972","3,504"
2020,3,60,"23,133","2,498","1,281","2,295","2,317","2,416","2,807","1,724","1,453","1,694",656,"1,563","2,429"
2020,3,70,"11,710","1,256",675,"1,215","1,160","1,132","1,393",972,613,961,294,918,"1,121"
2020,3,80,"5,125",453,266,585,490,556,505,434,313,430,127,452,514
2020,3,90,643,72,39,66,49,66,57,62,31,54,22,47,78
2020,3,100,32,5,2,6,5,3,1,5,1,2,1,1,0
2020,4,총,"175,452","15,058","7,483","13,787","16,967","28,513","20,031","11,296","14,441","14,007","6,904","9,938","17,027"
2020,4,0,"11,490",725,339,779,"1,054","2,211","1,097",569,"1,799",854,549,479,"1,035"
2020,4,10,"17,272","1,061",542,"1,114","1,780","4,079","1,727",956,"1,319","1,350",658,882,"1,804"
2020,4,20,"24,550","2,365",854,"1,666","2,378","4,234","3,028","1,517","1,753","2,044","1,080","1,307","2,324"
2020,4,30,"19,828","1,629",888,"1,369","1,768","2,888","2,332","1,171","2,470","1,648","1,092",931,"1,642"
2020,4,40,"27,975","2,072","1,169","1,981","2,712","5,371","3,254","1,652","2,340","2,272","1,231","1,370","2,551"
2020,4,50,"33,508","2,920","1,419","2,688","3,227","5,540","3,808","2,224","2,332","2,688","1,186","1,978","3,498"
2020,4,60,"23,245","2,502","1,284","2,304","2,338","2,437","2,819","1,721","1,463","1,699",661,"1,565","2,452"
2020,4,70,"11,744","1,256",680,"1,223","1,166","1,121","1,393",982,617,962,292,926,"1,126"
2020,4,80,"5,151",449,266,590,487,563,516,438,316,432,130,448,516
2020,4,90,655,74,40,67,51,67,56,60,31,56,24,51,78
2020,4,100,34,5,2,6,6,2,1,6,1,2,1,1,1
2020,5,총,"175,250","15,049","7,429","13,745","16,954","28,467","19,994","11,293","14,459","14,014","6,918","9,924","17,004"
2020,5,0,"11,427",724,328,778,"1,057","2,193","1,078",567,"1,816",839,540,481,"1,026"
2020,5,10,"17,171","1,054",537,"1,104","1,771","4,066","1,705",953,"1,317","1,352",655,882,"1,775"
2020,5,20,"24,495","2,375",837,"1,661","2,362","4,227","3,014","1,513","1,742","2,048","1,094","1,303","2,319"
2020,5,30,"19,770","1,628",881,"1,356","1,756","2,856","2,326","1,163","2,484","1,650","1,096",932,"1,642"
2020,5,40,"27,847","2,069","1,155","1,964","2,691","5,360","3,247","1,652","2,331","2,268","1,226","1,353","2,531"
2020,5,50,"33,509","2,904","1,410","2,677","3,242","5,552","3,813","2,212","2,328","2,693","1,189","1,982","3,507"
2020,5,60,"23,374","2,508","1,287","2,316","2,349","2,467","2,832","1,735","1,473","1,696",668,"1,564","2,479"
2020,5,70,"11,791","1,255",684,"1,219","1,181","1,111","1,399",992,621,972,293,929,"1,135"
2020,5,80,"5,177",452,268,597,489,565,523,439,313,436,132,447,516
2020,5,90,656,75,40,67,51,68,56,61,33,58,24,50,73
2020,5,100,33,5,2,6,5,2,1,6,1,2,1,1,1
2020,6,총,"174,882","15,042","7,401","13,525","16,939","28,431","20,012","11,269","14,441","14,001","6,913","9,922","16,986"
2020,6,0,"11,338",726,328,764,"1,050","2,185","1,074",550,"1,810",833,528,473,"1,017"
2020,6,10,"17,108","1,046",539,"1,094","1,766","4,049","1,688",952,"1,326","1,345",659,874,"1,770"
2020,6,20,"24,365","2,378",837,"1,612","2,336","4,207","3,009","1,510","1,737","2,047","1,090","1,293","2,309"
2020,6,30,"19,655","1,625",879,"1,333","1,759","2,832","2,338","1,154","2,461","1,640","1,076",924,"1,634"
2020,6,40,"27,720","2,055","1,142","1,933","2,688","5,330","3,246","1,639","2,342","2,252","1,235","1,348","2,510"
2020,6,50,"33,462","2,906","1,399","2,626","3,244","5,573","3,795","2,213","2,319","2,703","1,193","2,003","3,488"
2020,6,60,"23,495","2,512","1,287","2,289","2,359","2,487","2,865","1,749","1,476","1,709",678,"1,567","2,517"
2020,6,70,"11,872","1,261",681,"1,212","1,190","1,132","1,415",997,621,978,297,941,"1,147"
2020,6,80,"5,169",451,264,588,490,565,524,439,314,435,131,447,521
2020,6,90,664,77,43,68,52,68,57,60,34,57,25,51,72
2020,6,100,34,5,2,6,5,3,1,6,1,2,1,1,1
2020,7,총,"174,491","15,027","7,378","13,286","16,895","28,407","20,063","11,258","14,475","13,961","6,870","9,937","16,934"
2020,7,0,"11,261",721,322,752,"1,043","2,186","1,077",541,"1,809",824,514,469,"1,003"
2020,7,10,"17,021","1,035",540,"1,068","1,758","4,041","1,682",955,"1,318","1,339",645,879,"1,761"
2020,7,20,"24,297","2,380",836,"1,572","2,329","4,187","3,026","1,518","1,760","2,043","1,072","1,286","2,288"
2020,7,30,"19,559","1,611",878,"1,295","1,739","2,815","2,355","1,146","2,446","1,644","1,070",924,"1,636"
2020,7,40,"27,617","2,066","1,141","1,895","2,686","5,294","3,229","1,635","2,351","2,233","1,243","1,344","2,500"
2020,7,50,"33,389","2,888","1,389","2,571","3,224","5,614","3,795","2,208","2,329","2,702","1,193","2,009","3,467"
2020,7,60,"23,555","2,521","1,286","2,261","2,372","2,494","2,886","1,745","1,482","1,709",684,"1,584","2,531"
2020,7,70,"11,935","1,270",679,"1,209","1,198","1,138","1,429","1,009",630,978,296,944,"1,155"
2020,7,80,"5,159",451,261,589,486,567,526,438,313,430,129,446,523
2020,7,90,663,79,43,67,55,68,57,57,36,57,23,52,69
2020,7,100,35,5,3,7,5,3,1,6,1,2,1,0,1
2020,8,총,"174,237","14,992","7,386","13,166","16,925","28,375","20,056","11,239","14,494","13,962","6,852","9,892","16,898"
2020,8,0,"11,184",706,328,742,"1,038","2,171","1,069",540,"1,800",817,511,463,999
2020,8,10,"16,924","1,026",536,"1,059","1,755","4,021","1,682",941,"1,317","1,333",647,869,"1,738"
2020,8,20,"24,262","2,380",838,"1,551","2,340","4,175","3,025","1,513","1,763","2,052","1,065","1,270","2,290"
2020,8,30,"19,480","1,614",881,"1,275","1,737","2,803","2,346","1,145","2,441","1,639","1,058",917,"1,624"
2020,8,40,"27,444","2,034","1,139","1,874","2,664","5,268","3,216","1,619","2,358","2,227","1,240","1,329","2,476"
2020,8,50,"33,379","2,892","1,395","2,544","3,236","5,617","3,787","2,198","2,332","2,702","1,197","2,016","3,463"
2020,8,60,"23,733","2,525","1,287","2,255","2,397","2,533","2,903","1,773","1,502","1,722",688,"1,590","2,558"
2020,8,70,"11,950","1,279",678,"1,206","1,207","1,136","1,438","1,011",629,976,295,941,"1,154"
2020,8,80,"5,174",450,257,585,491,577,529,437,315,436,127,448,522
2020,8,90,672,81,44,68,55,71,60,56,36,56,23,49,73
2020,8,100,35,5,3,7,5,3,1,6,1,2,1,0,1
2020,9,총,"174,922","14,975","7,359","13,054","16,895","28,298","19,941","11,143","15,802","13,768","6,712","10,149","16,826"
2020,9,0,"11,247",709,328,726,"1,023","2,142","1,051",520,"1,981",794,482,508,983
2020,9,10,"16,890","1,020",536,"1,048","1,763","3,986","1,656",933,"1,424","1,305",620,878,"1,721"
2020,9,20,"24,297","2,357",838,"1,520","2,336","4,168","3,004","1,501","1,930","2,014","1,045","1,312","2,272"
2020,9,30,"19,699","1,630",877,"1,269","1,722","2,791","2,322","1,127","2,752","1,604","1,027",968,"1,610"
2020,9,40,"27,399","2,014","1,131","1,854","2,648","5,234","3,173","1,596","2,570","2,170","1,199","1,360","2,450"
2020,9,50,"33,518","2,880","1,379","2,506","3,235","5,629","3,791","2,182","2,551","2,677","1,187","2,049","3,452"
2020,9,60,"23,972","2,548","1,292","2,272","2,412","2,562","2,906","1,768","1,593","1,727",702,"1,611","2,579"
2020,9,70,"11,984","1,287",675,"1,202","1,204","1,134","1,435","1,018",634,981,297,957,"1,160"
2020,9,80,"5,202",448,256,580,493,575,537,436,328,437,129,455,528
2020,9,90,678,77,44,70,54,74,65,55,38,57,23,51,70
2020,9,100,36,5,3,7,5,3,1,7,1,2,1,0,1
2020,10,총,"175,844","14,885","7,317","12,904","16,802","28,081","19,674","11,058","16,225","13,688","6,686","11,921","16,603"
2020,10,0,"11,328",699,332,705,"1,002","2,102","1,009",512,"2,032",788,478,677,992
2020,10,10,"16,865","1,010",520,"1,044","1,750","3,949","1,626",928,"1,448","1,283",613,"1,000","1,694"
2020,10,20,"24,405","2,334",823,"1,495","2,322","4,159","2,975","1,483","1,995","2,011","1,035","1,565","2,208"
2020,10,30,"19,963","1,614",880,"1,252","1,704","2,750","2,282","1,106","2,830","1,604","1,034","1,291","1,616"
2020,10,40,"27,386","1,993","1,112","1,824","2,630","5,183","3,106","1,579","2,636","2,132","1,187","1,609","2,395"
2020,10,50,"33,667","2,850","1,381","2,474","3,217","5,585","3,747","2,162","2,623","2,674","1,176","2,422","3,356"
2020,10,60,"24,244","2,560","1,295","2,261","2,424","2,568","2,900","1,769","1,641","1,727",704,"1,817","2,578"
2020,10,70,"12,030","1,287",672,"1,201","1,200","1,131","1,425","1,021",644,968,304,"1,018","1,159"
2020,10,80,"5,236",456,253,571,492,578,539,437,335,440,130,472,533
2020,10,90,683,77,46,70,55,73,64,54,40,59,24,49,72
2020,10,100,37,5,3,7,6,3,1,7,1,2,1,1,0
2020,11,총,"176,293","14,829","7,233","12,850","16,726","28,041","19,565","11,063","16,342","13,660","6,699","12,712","16,573"
2020,11,0,"11,306",682,321,702,986,"2,090",994,507,"2,031",780,474,759,980
2020,11,10,"16,798",999,518,"1,034","1,737","3,934","1,602",926,"1,455","1,265",610,"1,042","1,676"
2020,11,20,"24,519","2,344",799,"1,484","2,315","4,158","2,973","1,489","2,010","2,013","1,038","1,674","2,222"
2020,11,30,"20,094","1,582",865,"1,261","1,679","2,761","2,262","1,106","2,855","1,611","1,032","1,473","1,607"
2020,11,40,"27,320","1,982","1,095","1,809","2,628","5,113","3,076","1,567","2,656","2,111","1,184","1,711","2,388"
2020,11,50,"33,754","2,838","1,370","2,450","3,185","5,605","3,737","2,171","2,657","2,661","1,187","2,554","3,339"
2020,11,60,"24,459","2,567","1,296","2,266","2,435","2,590","2,905","1,781","1,648","1,739",710,"1,927","2,595"
2020,11,70,"12,066","1,300",665,"1,192","1,201","1,133","1,419","1,017",647,976,310,"1,045","1,161"
2020,11,80,"5,243",453,252,573,497,580,532,437,341,442,130,477,529
2020,11,90,695,77,49,72,57,73,64,54,41,60,23,49,76
2020,11,100,39,5,3,7,6,4,1,8,1,2,1,1,0
2020,12,총,"176,384","14,775","7,180","12,782","16,671","27,921","19,594","11,053","16,475","13,686","6,683","13,076","16,488"
2020,12,0,"11,307",681,315,698,974,"2,071",988,503,"2,052",771,466,823,965
2020,12,10,"16,700",989,513,"1,021","1,718","3,921","1,600",908,"1,466","1,249",619,"1,063","1,633"
2020,12,20,"24,528","2,329",791,"1,469","2,314","4,125","2,975","1,484","2,006","2,059","1,030","1,722","2,224"
2020,12,30,"20,177","1,580",849,"1,266","1,651","2,737","2,264","1,106","2,909","1,624","1,019","1,574","1,598"
2020,12,40,"27,261","1,973","1,100","1,793","2,620","5,081","3,068","1,552","2,686","2,100","1,180","1,758","2,350"
2020,12,50,"33,686","2,815","1,353","2,427","3,183","5,591","3,747","2,177","2,658","2,651","1,180","2,582","3,322"
2020,12,60,"24,620","2,567","1,295","2,259","2,441","2,614","2,921","1,803","1,667","1,749",721,"1,970","2,613"
2020,12,70,"12,102","1,298",663,"1,191","1,208","1,129","1,420","1,020",649,983,313,"1,057","1,171"
2020,12,80,"5,275",461,248,582,500,575,547,439,338,440,131,479,535
2020,12,90,689,77,51,69,55,73,63,53,43,58,23,47,77
2020,12,100,39,5,2,7,7,4,1,8,1,2,1,1,0
2021,1,총,"176,199","14,664","7,158","12,723","16,579","27,860","19,588","11,018","16,525","13,749","6,694","13,192","16,449"
2021,1,0,"11,217",657,309,687,947,"2,055",974,496,"2,041",775,470,840,966
2021,1,10,"16,594",987,504,"1,016","1,700","3,877","1,596",898,"1,476","1,248",613,"1,066","1,613"
2021,1,20,"24,510","2,289",791,"1,459","2,310","4,110","2,981","1,487","2,006","2,095","1,033","1,735","2,214"
2021,1,30,"20,117","1,560",847,"1,257","1,624","2,725","2,243","1,104","2,926","1,627","1,020","1,605","1,579"
2021,1,40,"27,160","1,956","1,090","1,786","2,611","5,059","3,061","1,525","2,691","2,094","1,188","1,761","2,338"
2021,1,50,"33,617","2,791","1,348","2,403","3,168","5,614","3,733","2,176","2,653","2,646","1,164","2,601","3,320"
2021,1,60,"24,819","2,585","1,306","2,275","2,443","2,625","2,945","1,808","1,698","1,775",737,"1,992","2,630"
2021,1,70,"12,113","1,296",662,"1,182","1,214","1,137","1,439","1,020",643,980,308,"1,063","1,169"
2021,1,80,"5,310",460,248,583,499,579,550,442,346,447,136,479,541
2021,1,90,702,78,51,68,56,74,65,54,44,60,24,49,79
2021,1,100,40,5,2,7,7,5,1,8,1,2,1,1,0
2021,2,총,"175,988","14,608","7,142","12,670","16,532","27,763","19,588","11,034","16,505","13,754","6,672","13,282","16,438"
2021,2,0,"11,126",640,311,679,942,"2,024",976,496,"2,028",773,461,847,949
2021,2,10,"16,497",990,485,"1,007","1,683","3,855","1,580",888,"1,486","1,240",609,"1,065","1,609"
2021,2,20,"24,388","2,264",789,"1,446","2,297","4,058","2,986","1,493","1,987","2,087","1,029","1,736","2,216"
2021,2,30,"20,002","1,543",840,"1,247","1,602","2,705","2,236","1,087","2,906","1,634","1,014","1,628","1,560"
2021,2,40,"27,130","1,963","1,093","1,778","2,592","5,031","3,059","1,529","2,697","2,103","1,191","1,765","2,329"
2021,2,50,"33,551","2,774","1,344","2,375","3,165","5,629","3,707","2,180","2,637","2,631","1,162","2,621","3,326"
2021,2,60,"25,054","2,595","1,313","2,286","2,463","2,660","2,990","1,827","1,719","1,795",740,"2,017","2,649"
2021,2,70,"12,107","1,293",664,"1,186","1,215","1,139","1,427","1,021",647,980,306,"1,059","1,170"
2021,2,80,"5,381",461,250,591,508,583,561,450,351,450,137,492,547
2021,2,90,710,80,50,68,58,74,65,55,46,58,22,51,83
2021,2,100,42,5,3,7,7,5,1,8,1,3,1,1,0
2021,3,총,"175,572","14,596","7,127","12,593","16,471","27,684","19,533","11,020","16,534","13,814","6,634","13,242","16,324"
2021,3,0,"11,035",635,305,671,940,"2,004",969,494,"2,018",767,449,846,937
2021,3,10,"16,387","1,000",481,995,"1,655","3,817","1,565",877,"1,505","1,238",612,"1,052","1,590"
2021,3,20,"24,396","2,281",792,"1,445","2,292","4,059","2,992","1,497","1,990","2,101","1,024","1,727","2,196"
2021,3,30,"19,904","1,539",837,"1,241","1,583","2,678","2,223","1,089","2,899","1,656",994,"1,616","1,549"
2021,3,40,"26,882","1,934","1,078","1,763","2,568","4,971","3,017","1,513","2,706","2,101","1,189","1,745","2,297"
2021,3,50,"33,452","2,756","1,351","2,341","3,171","5,631","3,704","2,163","2,621","2,642","1,154","2,612","3,306"
2021,3,60,"25,322","2,614","1,317","2,308","2,482","2,725","3,018","1,859","1,749","1,810",740,"2,040","2,660"
2021,3,70,"12,069","1,294",664,"1,172","1,207","1,142","1,423","1,011",654,985,313,"1,044","1,160"
2021,3,80,"5,388",459,252,587,509,582,559,455,343,454,136,505,547
2021,3,90,711,80,49,68,62,72,61,55,48,58,22,54,82
2021,3,100,26,4,1,2,2,3,2,7,1,2,1,1,0
2021,4,총,"175,409","14,591","7,101","12,559","16,438","27,628","19,536","11,015","16,518","13,858","6,618","13,263","16,284"
2021,4,0,"10,966",628,301,665,936,"1,991",962,493,"1,994",769,451,846,930
2021,4,10,"16,301",999,477,989,"1,640","3,796","1,575",873,"1,513","1,230",599,"1,043","1,567"
2021,4,20,"24,379","2,276",793,"1,444","2,281","4,047","2,999","1,490","1,987","2,108","1,016","1,740","2,198"
2021,4,30,"19,871","1,552",830,"1,226","1,591","2,672","2,205","1,090","2,880","1,672",993,"1,619","1,541"
2021,4,40,"26,800","1,930","1,072","1,753","2,535","4,943","3,020","1,520","2,707","2,104","1,193","1,726","2,297"
2021,4,50,"33,329","2,721","1,341","2,341","3,163","5,615","3,702","2,140","2,614","2,649","1,152","2,620","3,271"
2021,4,60,"25,504","2,641","1,322","2,305","2,504","2,759","3,018","1,872","1,773","1,825",744,"2,058","2,683"
2021,4,70,"12,084","1,299",662,"1,181","1,208","1,133","1,414","1,016",656,989,311,"1,048","1,167"
2021,4,80,"5,438",462,254,585,515,597,574,460,344,453,138,509,547
2021,4,90,708,78,47,67,63,72,65,54,49,57,20,53,83
2021,4,100,29,5,2,3,2,3,2,7,1,2,1,1,0
2021,5,총,"175,289","14,558","7,118","12,550","16,413","27,563","19,584","11,053","16,490","13,861","6,603","13,275","16,221"
2021,5,0,"10,885",629,293,662,928,"1,979",944,489,"1,982",770,439,855,915
2021,5,10,"16,223",988,477,981,"1,643","3,776","1,578",881,"1,505","1,222",601,"1,029","1,542"
2021,5,20,"24,350","2,266",798,"1,439","2,261","4,041","3,010","1,484","1,984","2,107","1,017","1,745","2,198"
2021,5,30,"19,866","1,538",835,"1,236","1,592","2,671","2,208","1,102","2,876","1,671",999,"1,620","1,518"
2021,5,40,"26,629","1,928","1,062","1,741","2,512","4,911","2,986","1,517","2,683","2,101","1,186","1,727","2,275"
2021,5,50,"33,342","2,715","1,338","2,339","3,168","5,592","3,740","2,150","2,633","2,637","1,141","2,611","3,278"
2021,5,60,"25,645","2,641","1,337","2,310","2,515","2,779","3,057","1,872","1,773","1,843",749,"2,077","2,692"
2021,5,70,"12,130","1,304",676,"1,181","1,206","1,140","1,415","1,029",658,994,311,"1,045","1,171"
2021,5,80,"5,484",468,255,590,522,601,579,469,345,457,140,510,548
2021,5,90,707,76,45,68,64,70,66,53,50,57,19,55,84
2021,5,100,28,5,2,3,2,3,1,7,1,2,1,1,0
2021,6,총,"175,160","14,535","7,102","12,509","16,398","27,572","19,572","11,025","16,471","13,905","6,600","13,287","16,184"
2021,6,0,"10,825",621,291,657,917,"1,987",927,483,"1,971",765,440,857,909
2021,6,10,"16,169",975,477,969,"1,647","3,762","1,579",880,"1,513","1,216",599,"1,028","1,524"
2021,6,20,"24,313","2,274",801,"1,440","2,248","4,038","2,996","1,468","1,966","2,133","1,014","1,743","2,192"
2021,6,30,"19,798","1,538",821,"1,227","1,581","2,678","2,202","1,100","2,869","1,675",995,"1,618","1,494"
2021,6,40,"26,588","1,918","1,054","1,739","2,510","4,909","2,989","1,498","2,687","2,099","1,184","1,729","2,272"
2021,6,50,"33,251","2,701","1,329","2,333","3,162","5,551","3,734","2,150","2,616","2,653","1,142","2,616","3,264"
2021,6,60,"25,794","2,642","1,350","2,301","2,532","2,822","3,071","1,875","1,793","1,847",761,"2,083","2,717"
2021,6,70,"12,167","1,316",677,"1,178","1,210","1,142","1,426","1,033",664,997,308,"1,040","1,176"
2021,6,80,"5,513",468,253,594,523,608,582,477,341,460,137,517,553
2021,6,90,713,77,47,68,66,72,64,54,50,58,19,55,83
2021,6,100,29,5,2,3,2,3,2,7,1,2,1,1,0
2021,7,총,"174,986","14,514","7,069","12,488","16,394","27,562","19,561","11,000","16,420","13,959","6,593","13,268","16,158"
2021,7,0,"10,726",609,286,653,912,"1,971",908,470,"1,964",759,437,852,905
2021,7,10,"16,129",975,469,974,"1,643","3,749","1,580",880,"1,515","1,218",598,"1,019","1,509"
2021,7,20,"24,276","2,270",809,"1,426","2,239","4,046","3,002","1,453","1,946","2,159",998,"1,742","2,186"
2021,7,30,"19,747","1,537",801,"1,217","1,585","2,669","2,202","1,101","2,845","1,690",997,"1,614","1,489"
2021,7,40,"26,482","1,912","1,052","1,741","2,481","4,880","2,984","1,489","2,686","2,096","1,178","1,727","2,256"
2021,7,50,"33,244","2,686","1,329","2,329","3,171","5,575","3,729","2,142","2,601","2,659","1,151","2,616","3,256"
2021,7,60,"25,921","2,655","1,349","2,311","2,549","2,836","3,078","1,895","1,807","1,854",767,"2,088","2,732"
2021,7,70,"12,184","1,319",677,"1,171","1,220","1,151","1,427","1,024",666,"1,003",310,"1,038","1,178"
2021,7,80,"5,535",468,250,593,527,608,586,486,341,462,135,516,563
2021,7,90,713,78,45,71,65,74,63,52,48,57,21,55,84
2021,7,100,29,5,2,2,2,3,2,8,1,2,1,1,0
2021,8,총,"174,851","14,525","7,065","12,456","16,382","27,515","19,595","10,972","16,423","13,957","6,568","13,237","16,156"
2021,8,0,"10,679",605,280,643,904,"1,969",910,467,"1,973",752,427,850,899
2021,8,10,"16,078",982,470,969,"1,637","3,725","1,577",885,"1,504","1,204",601,"1,016","1,508"
2021,8,20,"24,204","2,276",809,"1,426","2,211","4,048","3,010","1,443","1,936","2,165",982,"1,728","2,170"
2021,8,30,"19,706","1,544",796,"1,214","1,590","2,624","2,212","1,089","2,846","1,680","1,004","1,602","1,505"
2021,8,40,"26,429","1,895","1,046","1,717","2,483","4,878","2,994","1,480","2,688","2,101","1,169","1,732","2,246"
2021,8,50,"33,211","2,680","1,336","2,324","3,175","5,580","3,727","2,134","2,589","2,661","1,153","2,604","3,248"
2021,8,60,"26,003","2,665","1,346","2,318","2,560","2,849","3,075","1,904","1,828","1,860",762,"2,096","2,740"
2021,8,70,"12,214","1,319",678,"1,170","1,229","1,147","1,434","1,028",664,"1,003",313,"1,046","1,183"
2021,8,80,"5,573",476,255,601,525,618,592,481,346,469,135,504,571
2021,8,90,727,78,47,72,66,75,63,53,48,60,21,58,86
2021,8,100,27,5,2,2,2,2,1,8,1,2,1,1,0
2021,9,총,"174,791","14,583","7,040","12,406","16,369","27,470","19,642","10,984","16,432","13,936","6,557","13,248","16,124"
2021,9,0,"10,619",601,280,630,896,"1,946",903,458,"1,968",757,428,855,897
2021,9,10,"16,017",988,469,969,"1,632","3,707","1,584",885,"1,507","1,181",591,"1,011","1,493"
2021,9,20,"24,181","2,306",804,"1,422","2,200","4,041","3,016","1,442","1,923","2,175",980,"1,724","2,148"
2021,9,30,"19,697","1,561",790,"1,200","1,586","2,625","2,214","1,096","2,817","1,669","1,010","1,612","1,517"
2021,9,40,"26,320","1,890","1,036","1,703","2,458","4,826","3,007","1,481","2,702","2,098","1,162","1,722","2,235"
2021,9,50,"33,264","2,670","1,336","2,323","3,191","5,613","3,729","2,138","2,601","2,654","1,161","2,609","3,239"
2021,9,60,"26,077","2,666","1,343","2,315","2,579","2,861","3,087","1,910","1,844","1,870",759,"2,094","2,749"
2021,9,70,"12,236","1,334",678,"1,166","1,230","1,148","1,437","1,030",665,"1,000",310,"1,052","1,186"
2021,9,80,"5,620",484,255,602,528,625,602,481,354,469,135,511,574
2021,9,90,732,77,47,74,67,76,62,55,50,60,21,57,86
2021,9,100,28,6,2,2,2,2,1,8,1,3,0,1,0
2021,10,총,"174,662","14,630","7,035","12,377","16,347","27,423","19,611","11,004","16,447","13,922","6,566","13,211","16,089"
2021,10,0,"10,521",602,272,622,882,"1,914",897,462,"1,957",749,425,847,892
2021,10,10,"15,976",982,477,961,"1,625","3,705","1,567",885,"1,515","1,167",590,"1,018","1,484"
2021,10,20,"24,168","2,364",807,"1,420","2,182","4,017","3,009","1,444","1,929","2,170",975,"1,713","2,138"
2021,10,30,"19,640","1,556",783,"1,204","1,589","2,610","2,221","1,094","2,797","1,670","1,010","1,599","1,507"
2021,10,40,"26,192","1,880","1,039","1,677","2,440","4,796","2,975","1,489","2,710","2,090","1,160","1,725","2,211"
2021,10,50,"33,281","2,663","1,328","2,323","3,184","5,643","3,738","2,124","2,608","2,652","1,183","2,589","3,246"
2021,10,60,"26,168","2,669","1,341","2,325","2,604","2,882","3,092","1,921","1,853","1,886",755,"2,094","2,746"
2021,10,70,"12,312","1,344",676,"1,167","1,241","1,152","1,446","1,042",674,998,312,"1,058","1,202"
2021,10,80,"5,628",485,262,603,530,626,602,481,354,476,133,505,571
2021,10,90,749,79,48,73,68,76,63,55,49,61,23,62,92
