년도,월,나이,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021,1,50,"7,444",239,215,285,317,364,104,256,149,164,220,528,183,199,484,124,952,"1,075",978,608
2021,1,60,"7,339",335,289,278,421,396,138,296,192,211,290,512,250,217,510,132,814,840,678,540
2021,1,70,"4,986",190,231,223,291,288,103,191,147,153,227,343,177,148,345,122,515,537,364,391
2021,1,80,"2,260",89,108,90,129,117,53,94,87,64,123,138,115,69,157,57,212,242,143,173
2021,1,90,265,13,6,8,24,24,6,15,10,8,9,19,6,7,26,10,28,25,11,10
2021,1,100,15,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2021,2,총,"40,756","1,358","1,233","1,356","1,802","1,879",630,"1,299",887,908,"1,270","2,555","1,101",957,"2,328",697,"5,494","6,202","5,520","3,280"
2021,2,0,"2,204",57,33,39,43,67,21,38,31,22,22,96,39,21,61,24,388,467,505,230
2021,2,10,"3,153",81,63,62,90,97,37,62,43,47,50,161,47,40,121,28,492,698,683,251
2021,2,20,"3,992",95,77,97,143,135,51,112,54,64,79,233,76,78,192,52,697,736,689,332
2021,2,30,"3,476",96,76,113,120,147,48,90,61,62,86,178,77,61,162,48,569,608,559,315
2021,2,40,"5,582",160,141,157,217,243,71,141,113,114,158,343,128,120,268,99,820,958,902,429
2021,2,50,"7,419",235,209,285,322,364,101,256,147,161,220,526,183,197,475,122,953,"1,082",977,604
2021,2,60,"7,386",339,290,281,421,396,138,300,192,212,294,519,251,216,517,133,813,845,683,546
2021,2,70,"4,983",193,231,223,291,286,104,191,147,151,227,340,177,147,345,124,515,538,366,387
2021,2,80,"2,283",89,105,90,129,119,53,94,89,66,124,140,117,70,161,57,215,245,145,175
2021,2,90,263,13,6,8,24,24,6,15,9,9,9,19,6,7,26,10,27,25,11,9
2021,2,100,15,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2021,3,총,"40,688","1,344","1,232","1,345","1,814","1,863",626,"1,301",887,912,"1,270","2,556","1,101",951,"2,327",696,"5,482","6,225","5,499","3,257"
2021,3,0,"2,193",58,33,40,45,64,22,40,31,23,22,95,40,21,62,23,391,459,497,227
2021,3,10,"3,129",74,61,63,89,93,36,62,43,45,51,162,46,40,111,28,485,715,675,250
2021,3,20,"3,966",94,77,94,148,134,51,113,52,67,77,232,78,77,191,52,687,734,681,327
2021,3,30,"3,478",95,75,110,120,144,48,90,62,61,85,179,75,61,164,44,569,614,564,318
2021,3,40,"5,544",153,141,155,215,238,68,138,111,119,158,341,128,119,265,102,819,955,897,422
2021,3,50,"7,396",233,209,281,323,362,100,255,149,157,219,519,182,193,476,118,959,"1,086",980,595
2021,3,60,"7,440",338,292,281,429,398,139,303,192,216,296,527,253,214,525,138,812,851,682,554
2021,3,70,"4,990",196,231,223,291,289,101,192,149,151,229,340,178,147,345,124,517,539,366,382
2021,3,80,"2,279",90,106,90,127,118,55,93,89,64,123,142,115,72,161,57,215,246,145,171
2021,3,90,266,13,6,8,26,22,6,15,9,9,9,19,6,7,27,10,26,26,12,10
2021,3,100,7,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1
2021,4,총,"40,661","1,340","1,230","1,338","1,814","1,855",631,"1,299",889,912,"1,267","2,562","1,102",951,"2,316",702,"5,477","6,211","5,518","3,247"
2021,4,0,"2,172",57,33,38,45,65,22,40,32,23,22,95,43,22,59,23,381,452,492,228
2021,4,10,"3,115",71,58,63,87,91,36,62,42,46,51,158,45,41,107,27,491,716,676,247
2021,4,20,"3,963",94,79,94,150,139,50,113,54,67,75,228,74,78,191,52,686,730,688,321
2021,4,30,"3,448",93,73,107,120,141,49,90,60,62,82,182,75,58,159,47,570,604,566,310
2021,4,40,"5,548",149,143,156,216,234,70,135,109,116,157,345,129,119,264,103,822,961,895,425
2021,4,50,"7,378",234,205,277,323,356,101,254,151,158,223,520,179,191,476,119,949,"1,084",986,592
2021,4,60,"7,491",339,299,284,427,401,140,304,194,215,296,531,256,217,527,141,813,859,688,560
2021,4,70,"4,989",195,229,220,293,287,100,194,149,150,229,342,178,147,347,122,522,536,370,379
2021,4,80,"2,285",95,105,90,126,119,57,92,88,66,122,142,117,71,159,57,215,244,145,175
2021,4,90,264,13,5,9,25,21,6,15,10,9,9,19,6,7,27,11,26,25,12,9
2021,4,100,8,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1
2021,5,총,"40,518","1,328","1,224","1,332","1,796","1,841",624,"1,294",877,903,"1,263","2,550","1,092",948,"2,296",696,"5,502","6,192","5,511","3,249"
2021,5,0,"2,154",54,33,38,45,64,21,38,30,22,20,97,43,22,60,22,383,445,482,235
2021,5,10,"3,105",72,56,63,87,91,36,63,40,45,50,157,44,41,103,26,498,711,673,249
2021,5,20,"3,949",94,79,93,147,136,48,111,53,63,77,229,76,80,188,51,686,723,692,323
2021,5,30,"3,441",94,74,103,120,143,50,92,57,60,78,178,76,59,157,48,571,597,575,309
2021,5,40,"5,489",148,139,158,215,228,67,133,106,115,156,337,127,113,264,99,819,958,885,422
2021,5,50,"7,360",232,202,276,319,353,100,252,153,159,225,519,175,194,471,119,953,"1,087",985,586
2021,5,60,"7,509",333,303,285,422,397,142,308,192,216,295,535,254,216,528,142,822,866,690,563
2021,5,70,"4,969",199,227,219,291,286,100,190,147,146,229,338,177,145,340,121,524,539,370,381
2021,5,80,"2,270",91,104,87,125,120,54,91,90,67,122,143,113,70,158,57,217,242,147,172
2021,5,90,266,11,6,10,24,22,6,16,9,10,10,17,7,8,27,11,27,24,12,9
2021,5,100,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021,6,총,"40,449","1,320","1,213","1,332","1,786","1,832",623,"1,293",874,906,"1,252","2,550","1,091",960,"2,296",690,"5,500","6,184","5,495","3,252"
2021,6,0,"2,137",50,33,39,45,64,21,38,30,22,20,99,42,23,59,21,383,437,477,234
2021,6,10,"3,102",71,56,63,85,87,35,62,41,45,48,157,44,39,105,28,500,708,677,251
2021,6,20,"3,945",95,78,90,142,135,49,111,52,63,77,228,75,87,187,47,695,723,688,323
2021,6,30,"3,420",91,72,104,117,148,49,91,56,59,78,184,73,61,155,47,563,598,570,304
2021,6,40,"5,470",147,138,156,217,223,65,133,105,116,151,335,126,111,259,99,825,959,878,427
2021,6,50,"7,313",227,200,277,312,351,102,252,154,161,224,513,177,194,474,118,942,"1,080",973,582
2021,6,60,"7,542",336,301,289,428,393,142,310,189,219,293,537,254,220,530,142,827,869,700,563
2021,6,70,"4,973",200,228,218,292,287,99,189,147,142,228,338,179,143,340,122,524,541,372,384
2021,6,80,"2,273",92,99,87,123,121,55,90,90,69,121,142,114,74,160,56,212,245,147,176
2021,6,90,268,11,7,9,24,22,6,17,10,10,11,17,7,8,27,10,27,24,13,8
2021,6,100,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021,7,총,"40,424","1,317","1,199","1,332","1,790","1,829",623,"1,284",879,895,"1,251","2,553","1,092",953,"2,294",694,"5,478","6,177","5,552","3,232"
2021,7,0,"2,124",46,32,37,47,64,22,34,30,22,19,98,43,23,54,22,378,436,482,235
2021,7,10,"3,091",70,57,65,80,88,35,65,42,39,48,159,42,39,108,28,488,708,681,249
2021,7,20,"3,916",95,78,90,140,133,50,108,52,63,79,226,74,83,182,48,688,721,694,312
2021,7,30,"3,414",86,71,100,118,146,49,87,57,58,76,185,74,62,153,45,568,599,574,306
2021,7,40,"5,439",147,137,156,221,218,64,131,105,113,150,332,130,109,262,100,811,949,882,422
2021,7,50,"7,337",230,194,275,312,353,102,254,155,160,219,516,176,191,474,121,948,"1,083",994,580
2021,7,60,"7,564",337,299,293,430,394,139,308,190,219,298,542,255,221,531,141,830,867,706,564
2021,7,70,"4,980",202,227,220,291,288,100,191,146,142,230,335,178,141,343,122,526,543,374,381
2021,7,80,"2,285",94,96,87,127,122,55,88,92,69,120,143,113,76,160,57,212,247,152,175
2021,7,90,268,10,7,9,23,22,7,18,10,10,11,17,7,8,27,10,27,24,13,8
2021,7,100,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021,8,총,"40,383","1,324","1,197","1,329","1,792","1,826",616,"1,269",877,893,"1,251","2,546","1,092",945,"2,288",691,"5,453","6,184","5,596","3,214"
2021,8,0,"2,103",48,33,37,46,60,21,29,30,21,19,98,44,20,53,21,367,439,487,230
2021,8,10,"3,089",70,57,65,79,91,32,62,42,40,48,156,42,38,105,29,490,708,682,253
2021,8,20,"3,886",96,74,86,142,133,49,109,52,62,78,217,72,83,179,45,671,725,708,305
2021,8,30,"3,396",85,70,99,120,144,48,87,57,57,75,185,76,57,155,45,566,604,569,297
2021,8,40,"5,414",150,136,158,219,218,62,126,102,111,149,331,127,104,258,100,811,942,889,421
2021,8,50,"7,353",235,195,274,312,351,103,252,157,157,221,517,178,197,476,122,946,"1,083","1,001",576
2021,8,60,"7,572",333,300,288,429,394,139,307,186,221,299,546,253,223,532,141,829,869,714,569
2021,8,70,"4,992",203,224,226,294,291,100,188,149,143,229,335,178,140,345,120,529,543,377,378
2021,8,80,"2,296",94,100,88,126,121,54,91,93,69,122,143,112,75,158,58,215,245,155,177
2021,8,90,276,10,7,8,24,22,8,18,9,12,10,18,10,8,27,10,27,26,14,8
2021,8,100,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021,9,총,"40,302","1,320","1,197","1,316","1,784","1,825",622,"1,261",876,891,"1,238","2,527","1,081",948,"2,292",692,"5,438","6,157","5,636","3,201"
2021,9,0,"2,080",48,34,34,45,60,21,26,28,21,18,95,43,20,55,21,362,432,491,226
2021,9,10,"3,095",68,58,65,81,91,34,57,43,39,46,153,41,38,108,29,497,710,686,251
2021,9,20,"3,852",98,74,82,143,132,47,110,53,61,74,216,68,82,169,43,660,714,729,297
2021,9,30,"3,370",83,70,98,118,143,49,88,57,56,77,179,73,56,155,46,555,607,565,295
2021,9,40,"5,370",150,131,155,215,215,66,124,100,110,146,323,124,99,262,99,810,935,890,416
2021,9,50,"7,353",234,196,276,310,350,103,249,159,159,220,518,174,202,473,121,941,"1,082","1,008",578
2021,9,60,"7,602",332,301,285,430,400,140,311,186,219,296,544,256,226,539,143,833,869,718,574
2021,9,70,"4,990",204,223,225,289,289,99,186,149,143,228,335,179,140,345,120,538,541,377,380
2021,9,80,"2,300",93,102,88,127,121,55,92,93,71,122,144,112,77,159,59,210,243,157,175
2021,9,90,284,10,7,8,25,23,8,18,8,12,10,20,11,8,27,11,30,24,15,9
2021,9,100,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021,10,총,"40,251","1,316","1,196","1,309","1,786","1,813",620,"1,256",869,887,"1,231","2,529","1,080",943,"2,283",690,"5,440","6,152","5,670","3,181"
2021,10,0,"2,071",45,32,34,45,62,21,26,28,21,17,95,43,19,56,20,361,433,492,221
2021,10,10,"3,083",67,59,65,81,87,34,55,41,36,43,154,41,38,107,29,504,709,681,252
2021,10,20,"3,851",97,73,82,143,129,46,110,53,59,73,216,68,82,170,40,656,713,747,294
2021,10,30,"3,328",84,70,91,117,134,48,84,56,56,77,178,72,54,152,47,549,607,560,292
2021,10,40,"5,358",149,131,158,215,215,66,126,98,107,142,321,125,97,260,99,807,933,896,413
2021,10,50,"7,331",236,197,270,305,352,101,248,159,162,219,520,174,196,462,120,945,"1,076","1,020",569
2021,10,60,"7,623",329,297,286,428,397,142,310,184,221,300,545,254,232,545,146,836,873,722,576
2021,10,70,"4,999",206,227,227,293,292,99,189,147,142,228,334,178,138,344,119,539,540,380,377
2021,10,80,"2,313",93,102,88,132,121,55,89,94,71,121,145,114,79,160,60,210,244,157,178
2021,10,90,287,10,7,8,26,23,8,19,9,12,10,21,11,8,26,10,31,24,15,9
2021,10,100,7,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0
2021,11,총,"40,222","1,318","1,194","1,310","1,777","1,814",622,"1,250",862,883,"1,231","2,531","1,080",949,"2,279",684,"5,420","6,140","5,714","3,164"
2021,11,0,"2,052",45,32,33,44,56,22,23,28,21,18,93,41,19,56,20,355,433,491,222
2021,11,10,"3,068",68,58,67,82,91,33,56,40,35,42,152,42,40,108,26,499,703,681,245
2021,11,20,"3,882",97,71,80,139,134,48,110,50,60,71,215,66,84,172,40,653,716,782,294
2021,11,30,"3,303",82,69,91,115,133,47,83,55,56,75,175,72,54,152,47,543,607,554,293
2021,11,40,"5,337",149,132,159,212,215,64,124,95,106,147,323,124,97,256,98,798,927,904,407
2021,11,50,"7,319",239,197,270,308,348,100,246,156,161,218,521,175,197,461,120,941,"1,079","1,022",560
2021,11,60,"7,632",330,299,286,430,397,144,313,187,220,300,547,257,230,544,144,842,864,726,572
2021,11,70,"5,003",205,227,225,289,295,99,187,146,142,226,337,179,142,342,118,543,538,383,380
2021,11,80,"2,330",93,102,89,130,122,57,90,95,72,123,144,113,78,161,61,214,249,156,181
2021,11,90,290,10,6,10,27,23,8,18,10,10,10,24,11,8,26,10,30,24,15,10
2021,11,100,6,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0
2021,12,총,"40,193","1,313","1,186","1,310","1,778","1,810",626,"1,255",861,878,"1,231","2,518","1,080",955,"2,276",685,"5,391","6,164","5,719","3,157"
2021,12,0,"2,014",44,31,31,44,53,22,23,26,18,18,91,40,20,55,20,340,432,485,221
2021,12,10,"3,069",68,57,68,83,93,35,58,40,34,42,152,40,39,101,27,501,710,675,246
