년도,월,나이,영동군,영동읍,용산면,황간면,추풍령면,매곡면,상촌면,양강면,용화면,학산면,양산면,심천면
2020,5,0,"2,468","1,598",116,177,44,56,74,111,34,97,49,112
2020,5,10,"3,519","2,200",169,266,120,96,110,187,50,99,86,136
2020,5,20,"4,512","2,755",235,312,152,114,113,334,49,157,99,192
2020,5,30,"3,464","2,057",186,284,112,82,114,180,39,133,80,197
2020,5,40,"5,530","3,094",339,449,203,157,198,288,73,214,195,320
2020,5,50,"8,578","3,557",681,821,454,359,418,645,181,531,335,596
2020,5,60,"8,829","2,904",747,931,499,461,569,657,221,672,406,762
2020,5,70,"6,486","1,958",504,684,394,322,461,502,186,512,362,601
2020,5,80,"3,865",969,351,376,251,260,282,322,122,357,224,351
2020,5,90,546,117,53,43,42,27,51,36,15,64,47,51
2020,5,100,35,13,5,5,1,1,3,1,1,4,0,1
2020,6,총,"47,736","21,148","3,376","4,345","2,266","1,941","2,395","3,273",966,"2,840","1,887","3,299"
2020,6,0,"2,457","1,585",116,178,46,57,75,114,35,95,49,107
2020,6,10,"3,495","2,179",163,266,121,97,109,190,49,101,85,135
2020,6,20,"4,487","2,722",237,311,151,116,114,343,47,157,100,189
2020,6,30,"3,436","2,050",186,284,108,76,112,179,35,134,81,191
2020,6,40,"5,488","3,083",333,442,207,158,195,283,71,212,191,313
2020,6,50,"8,550","3,551",674,819,447,361,416,646,183,530,338,585
2020,6,60,"8,901","2,920",760,938,504,467,571,662,223,677,406,773
2020,6,70,"6,480","1,956",499,684,392,323,466,502,187,508,364,599
2020,6,80,"3,865",973,350,377,251,257,283,314,118,361,226,355
2020,6,90,541,115,53,41,38,28,51,39,17,61,47,51
2020,6,100,36,14,5,5,1,1,3,1,1,4,0,1
2020,7,총,"47,702","21,159","3,367","4,336","2,260","1,945","2,402","3,243",962,"2,847","1,888","3,293"
2020,7,0,"2,436","1,577",114,174,48,57,75,110,35,93,49,104
2020,7,10,"3,475","2,169",161,267,118,98,110,183,46,105,82,136
2020,7,20,"4,484","2,732",239,305,146,118,112,335,46,155,102,194
2020,7,30,"3,394","2,028",182,275,106,75,110,178,36,135,81,188
2020,7,40,"5,479","3,091",328,444,204,158,194,276,70,215,189,310
2020,7,50,"8,548","3,557",673,823,447,362,419,641,182,525,338,581
2020,7,60,"8,940","2,933",767,938,506,467,580,663,221,685,409,771
2020,7,70,"6,506","1,967",497,683,398,323,464,505,191,509,363,606
2020,7,80,"3,867",975,351,380,250,256,284,313,116,361,228,353
2020,7,90,537,116,50,42,36,30,51,38,18,60,47,49
2020,7,100,36,14,5,5,1,1,3,1,1,4,0,1
2020,8,총,"47,706","21,155","3,368","4,324","2,260","1,943","2,403","3,261",962,"2,848","1,891","3,291"
2020,8,0,"2,433","1,580",111,174,48,57,73,113,33,90,50,104
2020,8,10,"3,447","2,134",162,267,117,98,113,182,48,111,80,135
2020,8,20,"4,492","2,738",236,300,148,119,114,343,45,155,102,192
2020,8,30,"3,383","2,027",182,269,106,74,107,179,38,132,80,189
2020,8,40,"5,463","3,093",325,439,205,157,192,282,69,212,186,303
2020,8,50,"8,552","3,559",669,824,448,362,422,635,184,522,338,589
2020,8,60,"8,989","2,941",780,944,510,466,579,670,221,690,417,771
2020,8,70,"6,507","1,970",498,681,393,322,466,503,191,513,365,605
2020,8,80,"3,871",986,352,381,247,257,282,317,114,357,226,352
2020,8,90,531,113,47,40,37,30,52,36,18,62,47,49
2020,8,100,38,14,6,5,1,1,3,1,1,4,0,2
2020,9,총,"47,679","21,117","3,360","4,360","2,261","1,948","2,395","3,257",961,"2,855","1,889","3,276"
2020,9,0,"2,427","1,577",109,173,49,58,74,111,33,88,51,104
2020,9,10,"3,465","2,114",160,309,118,97,112,181,47,114,79,134
2020,9,20,"4,474","2,738",239,296,147,116,109,334,45,159,105,186
2020,9,30,"3,348","2,002",179,271,105,75,109,179,37,125,80,186
2020,9,40,"5,444","3,090",320,433,205,157,187,280,69,222,183,298
2020,9,50,"8,524","3,552",660,814,446,367,420,634,185,518,342,586
2020,9,60,"9,039","2,959",789,960,512,466,578,673,221,695,414,772
2020,9,70,"6,521","1,970",500,680,395,326,469,508,190,516,362,605
2020,9,80,"3,870",990,352,380,246,256,283,318,114,352,225,354
2020,9,90,529,111,46,39,37,29,51,38,19,62,48,49
2020,9,100,38,14,6,5,1,1,3,1,1,4,0,2
2020,10,총,"47,603","21,049","3,341","4,369","2,263","1,949","2,400","3,253",959,"2,855","1,877","3,288"
2020,10,0,"2,397","1,551",108,173,49,57,74,110,31,87,51,106
2020,10,10,"3,436","2,096",151,310,120,94,109,181,48,113,77,137
2020,10,20,"4,483","2,742",239,295,146,119,112,330,46,158,104,192
2020,10,30,"3,309","1,976",169,269,102,76,110,183,39,125,75,185
2020,10,40,"5,411","3,078",316,430,206,155,187,275,69,220,180,295
2020,10,50,"8,518","3,547",663,816,447,366,416,629,182,518,344,590
2020,10,60,"9,091","2,971",791,970,509,471,580,680,221,705,416,777
2020,10,70,"6,519","1,974",498,680,397,322,476,511,185,514,357,605
2020,10,80,"3,870",987,353,382,249,259,281,316,118,350,224,351
2020,10,90,531,113,47,39,37,29,52,37,19,61,49,48
2020,10,100,38,14,6,5,1,1,3,1,1,4,0,2
2020,11,총,"47,561","20,996","3,325","4,361","2,277","1,954","2,390","3,242","1,004","2,860","1,866","3,286"
2020,11,0,"2,376","1,544",109,172,49,56,72,111,28,83,47,105
2020,11,10,"3,416","2,081",152,309,122,94,108,175,50,112,75,138
2020,11,20,"4,472","2,724",239,291,147,118,114,327,47,164,108,193
2020,11,30,"3,290","1,967",165,268,98,78,108,177,37,124,74,194
2020,11,40,"5,383","3,063",313,426,208,157,184,274,80,217,176,285
2020,11,50,"8,503","3,560",653,812,449,367,410,629,192,512,340,579
2020,11,60,"9,155","2,973",789,974,521,472,581,686,239,716,417,787
2020,11,70,"6,511","1,975",494,681,399,319,478,507,188,515,355,600
2020,11,80,"3,885",983,356,385,247,259,280,318,123,353,226,355
2020,11,90,531,111,49,38,36,33,52,37,19,60,48,48
2020,11,100,39,15,6,5,1,1,3,1,1,4,0,2
2020,12,총,"47,475","20,911","3,298","4,376","2,300","1,943","2,388","3,249","1,014","2,852","1,872","3,272"
2020,12,0,"2,336","1,524",105,173,49,54,67,108,29,81,44,102
2020,12,10,"3,390","2,064",147,309,124,93,104,180,51,110,77,131
2020,12,20,"4,453","2,697",236,299,148,116,117,326,46,165,111,192
2020,12,30,"3,271","1,959",158,264,95,77,105,180,38,127,74,194
2020,12,40,"5,362","3,048",308,423,212,153,186,282,82,212,177,279
2020,12,50,"8,486","3,547",654,815,453,369,411,617,193,508,342,577
2020,12,60,"9,201","2,983",788,982,532,470,585,693,244,717,415,792
2020,12,70,"6,511","1,979",493,682,403,316,477,506,186,519,355,595
2020,12,80,"3,901",984,356,386,248,262,280,319,125,351,230,360
2020,12,90,524,111,47,38,34,32,53,37,19,58,47,48
2020,12,100,40,15,6,5,2,1,3,1,1,4,0,2
2021,1,총,"47,230","20,833","3,279","4,363","2,302","1,924","2,363","3,220","1,008","2,839","1,853","3,246"
2021,1,0,"2,305","1,516",101,170,49,48,66,104,30,80,40,101
2021,1,10,"3,350","2,050",143,304,126,94,101,176,53,107,73,123
2021,1,20,"4,377","2,655",234,298,145,109,113,314,44,162,109,194
2021,1,30,"3,234","1,938",161,264,94,75,101,173,39,123,74,192
2021,1,40,"5,314","3,031",304,421,217,154,184,280,78,206,175,264
2021,1,50,"8,434","3,532",643,812,451,365,404,618,190,502,339,578
2021,1,60,"9,232","3,003",796,979,532,466,582,698,245,723,415,793
2021,1,70,"6,525","1,985",493,686,404,319,478,504,183,525,352,596
2021,1,80,"3,893",989,350,387,247,262,278,317,126,349,229,359
2021,1,90,526,117,48,37,35,31,54,35,19,58,47,45
2021,1,100,40,17,6,5,2,1,2,1,1,4,0,1
2021,2,총,"47,023","20,711","3,274","4,354","2,284","1,925","2,366","3,204",995,"2,835","1,848","3,227"
2021,2,0,"2,265","1,493",103,164,46,48,69,101,27,78,38,98
2021,2,10,"3,329","2,036",143,304,121,92,99,178,50,109,75,122
2021,2,20,"4,273","2,595",229,283,142,110,110,306,45,158,107,188
2021,2,30,"3,204","1,920",156,264,91,76,105,173,34,122,74,189
2021,2,40,"5,289","3,017",304,421,214,153,187,280,78,204,170,261
2021,2,50,"8,355","3,514",632,811,448,359,396,615,186,496,333,565
2021,2,60,"9,307","3,016",811,985,535,472,584,699,248,730,421,806
2021,2,70,"6,518","1,988",497,683,402,319,478,503,178,526,353,591
2021,2,80,"3,906",992,347,395,246,264,280,313,129,349,230,361
2021,2,90,537,123,46,39,37,31,56,35,19,59,47,45
2021,2,100,40,17,6,5,2,1,2,1,1,4,0,1
2021,3,총,"46,577","20,471","3,254","4,318","2,253","1,911","2,353","3,173",989,"2,799","1,834","3,222"
2021,3,0,"2,245","1,486",100,163,45,48,67,101,27,77,35,96
2021,3,10,"3,282","1,987",151,298,110,89,104,176,50,105,78,134
2021,3,20,"4,166","2,526",220,285,142,110,105,297,44,151,103,183
2021,3,30,"3,178","1,909",155,263,90,75,103,176,33,119,70,185
2021,3,40,"5,192","2,973",303,409,209,153,185,262,72,198,166,262
2021,3,50,"8,229","3,451",629,805,437,346,384,618,188,482,331,558
2021,3,60,"9,379","3,057",816,986,538,474,592,701,251,733,427,804
2021,3,70,"6,452","1,961",484,668,402,320,473,497,176,529,349,593
2021,3,80,"3,926","1,000",350,403,245,268,285,312,128,344,229,362
2021,3,90,515,117,44,38,35,27,53,33,19,59,46,44
2021,3,100,13,4,2,0,0,1,2,0,1,2,0,1
2021,4,총,"46,497","20,432","3,254","4,303","2,246","1,918","2,356","3,169",988,"2,795","1,826","3,210"
2021,4,0,"2,229","1,480",99,161,46,48,66,101,27,75,33,93
2021,4,10,"3,278","1,988",151,300,105,90,107,172,50,105,77,133
2021,4,20,"4,140","2,512",223,278,141,111,105,292,43,150,103,182
2021,4,30,"3,139","1,899",157,259,89,75,101,168,32,114,67,178
2021,4,40,"5,154","2,959",299,407,210,153,183,262,68,193,163,257
2021,4,50,"8,199","3,442",625,789,433,347,385,619,192,482,327,558
2021,4,60,"9,459","3,074",818,997,541,480,596,711,252,746,432,812
2021,4,70,"6,436","1,954",487,668,405,319,469,496,175,524,351,588
2021,4,80,"3,931","1,006",350,402,240,265,291,314,130,343,226,364
2021,4,90,520,114,43,42,36,29,51,34,18,61,47,45
2021,4,100,12,4,2,0,0,1,2,0,1,2,0,0
2021,5,총,"46,442","20,391","3,253","4,291","2,236","1,917","2,363","3,163",983,"2,797","1,831","3,217"
2021,5,0,"2,220","1,468",98,166,44,49,67,100,26,76,34,92
2021,5,10,"3,257","1,981",147,294,102,90,107,171,52,103,75,135
2021,5,20,"4,120","2,502",221,274,140,114,105,286,41,153,102,182
2021,5,30,"3,116","1,882",158,256,87,74,101,171,31,114,65,177
2021,5,40,"5,119","2,936",297,406,206,151,178,263,69,191,163,259
2021,5,50,"8,169","3,441",628,781,431,341,378,610,193,477,327,562
2021,5,60,"9,542","3,100",823,"1,003",544,482,613,720,248,755,433,821
2021,5,70,"6,411","1,952",483,662,406,321,467,495,173,519,353,580
2021,5,80,"3,951","1,011",350,407,239,264,293,316,131,345,230,365
2021,5,90,524,114,46,42,37,30,51,31,18,62,49,44
2021,5,100,13,4,2,0,0,1,3,0,1,2,0,0
2021,6,총,"46,316","20,324","3,257","4,281","2,233","1,915","2,361","3,156",980,"2,784","1,830","3,195"
2021,6,0,"2,211","1,469",92,166,44,50,65,100,26,73,33,93
2021,6,10,"3,243","1,964",151,292,103,89,105,172,51,103,79,134
2021,6,20,"4,081","2,483",218,270,136,113,107,279,40,150,102,183
2021,6,30,"3,079","1,860",161,252,86,71,100,168,31,117,63,170
2021,6,40,"5,102","2,925",291,408,209,150,179,263,68,187,163,259
2021,6,50,"8,097","3,425",623,771,426,337,377,601,189,464,326,558
2021,6,60,"9,623","3,121",842,"1,017",546,488,617,730,251,761,433,817
2021,6,70,"6,388","1,948",485,654,406,319,463,497,173,515,354,574
2021,6,80,"3,953","1,009",345,409,240,267,294,314,132,350,228,365
2021,6,90,526,116,47,42,37,30,51,32,18,62,49,42
2021,6,100,13,4,2,0,0,1,3,0,1,2,0,0
2021,7,총,"46,261","20,296","3,248","4,265","2,236","1,906","2,346","3,173",986,"2,778","1,828","3,199"
2021,7,0,"2,196","1,467",88,158,43,50,64,102,26,71,34,93
2021,7,10,"3,240","1,965",153,293,101,89,104,169,51,103,79,133
2021,7,20,"4,043","2,447",216,271,138,107,106,294,40,146,99,179
2021,7,30,"3,069","1,865",160,249,86,73,93,161,31,116,64,171
2021,7,40,"5,057","2,903",288,405,205,150,174,257,69,185,164,257
2021,7,50,"8,102","3,440",619,762,429,333,375,609,193,462,327,553
2021,7,60,"9,648","3,123",843,"1,023",550,488,620,732,249,769,428,823
2021,7,70,"6,400","1,956",487,653,403,320,462,498,174,512,355,580
2021,7,80,"3,964","1,014",346,409,244,263,294,318,134,350,227,365
2021,7,90,528,112,46,42,36,32,51,33,18,62,51,45
2021,7,100,14,4,2,0,1,1,3,0,1,2,0,0
2021,8,총,"46,139","20,231","3,239","4,253","2,232","1,899","2,344","3,171",984,"2,766","1,833","3,187"
2021,8,0,"2,177","1,455",89,157,41,51,62,98,27,71,35,91
2021,8,10,"3,235","1,958",154,295,100,87,103,172,51,102,81,132
2021,8,20,"3,991","2,413",215,267,139,106,104,292,41,143,95,176
2021,8,30,"3,049","1,853",157,246,84,73,93,158,29,117,66,173
2021,8,40,"5,015","2,901",284,399,201,145,168,255,68,182,161,251
2021,8,50,"8,076","3,422",616,762,427,332,374,608,192,458,332,553
2021,8,60,"9,690","3,149",846,"1,022",550,486,632,738,250,767,425,825
2021,8,70,"6,390","1,949",486,651,405,321,457,501,172,511,357,580
2021,8,80,"3,970","1,017",342,410,247,265,296,318,136,350,230,359
2021,8,90,532,111,48,44,36,32,53,31,17,63,51,46
2021,8,100,14,3,2,0,2,1,2,0,1,2,0,1
2021,9,총,"45,976","20,199","3,228","4,228","2,227","1,897","2,336","3,151",976,"2,750","1,827","3,157"
2021,9,0,"2,156","1,454",80,155,42,49,61,97,27,70,35,86
2021,9,10,"3,210","1,939",153,298,101,86,102,167,49,104,81,130
2021,9,20,"3,918","2,384",211,259,132,105,102,280,40,136,93,176
2021,9,30,"3,000","1,836",155,241,86,72,89,153,28,115,63,162
2021,9,40,"4,995","2,899",281,389,203,144,167,253,67,182,163,247
2021,9,50,"8,101","3,442",618,760,426,332,373,616,194,457,330,553
2021,9,60,"9,690","3,169",845,"1,023",545,491,634,733,245,764,423,818
2021,9,70,"6,375","1,941",490,653,405,315,456,499,171,507,359,579
2021,9,80,"3,981","1,017",345,405,249,270,296,323,137,352,230,357
2021,9,90,536,115,48,44,36,32,54,30,17,62,50,48
2021,9,100,14,3,2,1,2,1,2,0,1,1,0,1
2021,10,총,"45,938","20,216","3,235","4,222","2,226","1,889","2,319","3,143",976,"2,751","1,828","3,133"
2021,10,0,"2,141","1,456",77,153,42,49,59,91,29,70,34,81
2021,10,10,"3,209","1,948",150,298,101,86,101,168,48,101,80,128
2021,10,20,"3,892","2,362",221,258,129,104,101,281,39,138,92,167
2021,10,30,"2,985","1,836",157,236,89,73,88,148,29,110,63,156
2021,10,40,"5,001","2,906",273,392,200,144,166,256,66,186,162,250
2021,10,50,"8,082","3,442",619,754,424,332,368,612,193,457,334,547
2021,10,60,"9,703","3,188",856,"1,030",551,482,622,728,246,762,424,814
2021,10,70,"6,392","1,938",491,655,401,317,465,503,170,511,359,582
2021,10,80,"3,978","1,022",342,400,250,265,293,326,138,353,231,358
2021,10,90,541,115,47,45,36,36,54,30,17,62,49,50
2021,10,100,14,3,2,1,3,1,2,0,1,1,0,0
2021,11,총,"45,874","20,175","3,233","4,232","2,218","1,900","2,295","3,138",975,"2,750","1,816","3,142"
2021,11,0,"2,117","1,438",77,153,41,46,58,92,29,69,33,81
2021,11,10,"3,206","1,954",147,298,100,88,98,162,47,101,81,130
2021,11,20,"3,858","2,334",228,258,126,106,98,278,40,138,89,163
2021,11,30,"2,976","1,828",160,238,91,73,88,142,28,109,64,155
2021,11,40,"4,969","2,883",267,395,196,146,163,258,65,186,160,250
2021,11,50,"8,105","3,467",620,755,420,337,364,612,193,460,330,547
2021,11,60,"9,737","3,195",856,"1,032",559,484,623,733,246,760,422,827
2021,11,70,"6,385","1,942",493,652,396,319,459,504,172,509,358,581
2021,11,80,"3,975","1,019",339,404,251,265,289,325,137,358,230,358
2021,11,90,531,112,44,46,35,35,53,31,17,59,49,50
2021,11,100,15,3,2,1,3,1,2,1,1,1,0,0
2021,12,총,"45,773","20,163","3,228","4,208","2,227","1,893","2,289","3,119",973,"2,739","1,799","3,135"
2021,12,0,"2,087","1,441",71,143,41,44,57,83,27,68,32,80
2021,12,10,"3,195","1,948",147,301,101,88,98,163,48,96,76,129
2021,12,20,"3,814","2,296",230,259,126,105,96,273,39,139,89,162
2021,12,30,"2,963","1,835",157,233,90,71,87,141,31,108,60,150
2021,12,40,"4,956","2,886",271,390,197,146,159,250,61,191,155,250
2021,12,50,"8,088","3,474",611,752,422,337,364,607,192,455,332,542
2021,12,60,"9,767","3,199",859,"1,029",566,483,629,743,248,757,421,833
2021,12,70,"6,365","1,936",488,652,393,320,455,500,173,510,358,580
2021,12,80,"3,995","1,035",348,401,251,265,289,324,137,357,228,360
2021,12,90,528,110,44,47,37,33,53,34,16,57,48,49
2021,12,100,15,3,2,1,3,1,2,1,1,1,0,0
