년도,월,나이,완주군,삼례읍,봉동읍,용진읍,상관면,이서면,소양면,구이면,고산면,비봉면,운주면,화산면,동상면,경천면
2021,8,60,"7,009","1,194","1,367",651,383,795,675,579,427,189,235,260,134,120
2021,8,70,"4,970",853,887,474,274,524,423,396,378,161,205,221,70,104
2021,8,80,"3,607",635,597,323,160,311,339,317,298,138,142,197,74,76
2021,8,90,656,114,117,53,36,46,57,54,56,39,23,43,9,9
2021,8,100,23,1,2,4,2,3,3,2,0,1,1,3,0,1
2021,9,총,"44,307","6,914","12,639","3,366","2,125","7,107","2,892","2,876","2,236",905,970,"1,274",529,474
2021,9,0,"3,261",339,"1,354",182,132,815,106,100,118,26,27,37,15,10
2021,9,10,"3,878",559,"1,618",220,179,667,154,180,103,46,23,88,21,20
2021,9,20,"3,844",792,"1,158",273,158,677,206,237,127,50,42,80,31,13
2021,9,30,"4,316",496,"1,656",255,154,"1,088",161,173,151,46,32,55,33,16
2021,9,40,"6,003",893,"2,222",390,286,"1,169",234,275,210,75,72,119,28,30
2021,9,50,"6,717","1,024","1,656",553,353,"1,012",538,553,370,134,164,168,116,76
2021,9,60,"7,020","1,196","1,371",644,388,796,674,586,428,190,235,258,133,121
2021,9,70,"4,971",861,893,470,269,523,419,395,377,161,206,223,71,103
2021,9,80,"3,603",637,588,320,167,309,336,322,295,138,144,198,72,77
2021,9,90,672,116,121,55,37,48,61,53,57,38,24,45,9,8
2021,9,100,22,1,2,4,2,3,3,2,0,1,1,3,0,0
2021,10,총,"44,253","6,911","12,633","3,380","2,112","7,084","2,889","2,866","2,229",902,965,"1,279",532,471
2021,10,0,"3,238",340,"1,342",184,129,805,107,97,116,27,25,43,15,8
2021,10,10,"3,867",556,"1,608",223,179,665,153,177,107,46,24,89,21,19
2021,10,20,"3,817",781,"1,159",269,154,672,205,236,126,47,43,79,32,14
2021,10,30,"4,304",498,"1,645",257,153,"1,079",160,179,149,47,32,54,35,16
2021,10,40,"5,978",880,"2,234",388,286,"1,169",231,271,203,75,69,116,27,29
2021,10,50,"6,752","1,036","1,662",559,351,"1,014",539,555,374,132,167,170,117,76
2021,10,60,"7,036","1,203","1,377",648,388,800,677,581,426,194,232,259,132,119
2021,10,70,"4,949",858,896,465,267,517,416,392,376,157,205,224,73,103
2021,10,80,"3,612",641,587,327,168,311,336,321,296,136,143,197,70,79
2021,10,90,679,117,121,56,35,49,62,55,56,40,24,46,10,8
2021,10,100,21,1,2,4,2,3,3,2,0,1,1,2,0,0
2021,11,총,"44,290","6,927","12,649","3,387","2,103","7,082","2,898","2,859","2,231",902,959,"1,286",534,473
2021,11,0,"3,202",339,"1,329",182,126,788,107,96,116,27,25,44,15,8
2021,11,10,"3,898",553,"1,625",226,179,672,156,176,105,47,24,93,23,19
2021,11,20,"3,829",789,"1,162",276,153,669,204,236,125,46,43,79,33,14
2021,11,30,"4,259",501,"1,621",256,148,"1,060",162,175,152,47,33,53,36,15
2021,11,40,"5,985",873,"2,241",384,282,"1,181",232,275,204,76,67,114,27,29
2021,11,50,"6,764","1,044","1,665",561,350,"1,018",541,554,371,130,165,172,115,78
2021,11,60,"7,077","1,202","1,395",651,396,804,680,582,430,194,230,262,133,118
2021,11,70,"4,953",862,903,462,267,524,416,388,371,159,203,223,73,102
2021,11,80,"3,624",647,585,330,165,313,334,321,301,135,143,199,69,82
2021,11,90,679,117,121,55,36,50,62,54,56,40,25,45,10,8
2021,11,100,20,0,2,4,1,3,4,2,0,1,1,2,0,0
2021,12,총,"44,297","6,927","12,676","3,391","2,098","7,076","2,894","2,857","2,228",896,957,"1,291",532,474
2021,12,0,"3,176",333,"1,330",179,122,777,106,100,114,25,25,44,13,8
2021,12,10,"3,881",544,"1,620",224,180,677,154,172,107,46,23,91,24,19
2021,12,20,"3,841",786,"1,175",282,152,665,202,239,123,46,42,83,32,14
2021,12,30,"4,260",511,"1,621",256,146,"1,054",163,174,150,45,35,52,35,18
2021,12,40,"5,995",863,"2,250",382,281,"1,190",231,274,210,74,67,118,26,29
2021,12,50,"6,800","1,053","1,672",565,353,"1,023",542,555,371,133,164,173,118,78
2021,12,60,"7,080","1,210","1,401",652,394,794,681,580,426,196,233,262,133,118
2021,12,70,"4,926",857,897,461,266,529,417,386,367,160,196,218,72,100
2021,12,80,"3,639",651,592,331,166,313,332,320,303,132,147,203,69,80
2021,12,90,683,119,117,57,38,51,62,55,57,38,24,45,10,10
2021,12,100,16,0,1,2,0,3,4,2,0,1,1,2,0,0
