년도,월,나이,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020,12,70,"4,285",998,329,315,403,265,364,237,492,352,315,215
2020,12,80,"3,190",611,257,249,374,223,238,188,324,306,236,184
2020,12,90,506,103,29,50,56,27,48,25,52,49,40,27
2020,12,100,14,5,1,0,1,3,0,0,2,0,1,1
2021,1,총,"27,982","7,858","1,885","1,668","2,350","1,325","1,915","1,180","4,206","2,472","1,689","1,434"
2021,1,0,"1,072",472,66,28,65,17,39,31,198,69,47,40
2021,1,10,"1,935",674,131,87,128,40,92,49,390,210,81,53
2021,1,20,"2,324",768,106,97,152,81,137,80,489,199,105,110
2021,1,30,"1,722",628,94,67,112,60,83,45,354,108,96,75
2021,1,40,"3,008","1,049",175,146,201,95,160,88,504,319,153,118
2021,1,50,"4,895","1,300",306,278,429,248,350,206,754,461,297,266
2021,1,60,"5,038","1,246",391,350,437,268,407,229,649,396,319,346
2021,1,70,"4,262",995,327,313,395,264,358,236,493,352,313,216
2021,1,80,"3,195",615,257,252,373,222,239,191,321,306,237,182
2021,1,90,516,105,31,50,57,27,50,25,52,52,40,27
2021,1,100,15,6,1,0,1,3,0,0,2,0,1,1
2021,2,총,"27,952","7,848","1,886","1,669","2,361","1,336","1,913","1,176","4,162","2,458","1,702","1,441"
2021,2,0,"1,069",465,65,30,71,19,41,31,191,66,48,42
2021,2,10,"1,918",662,131,87,130,39,90,45,395,205,80,54
2021,2,20,"2,288",763,107,96,149,78,134,81,460,199,106,115
2021,2,30,"1,720",631,92,65,113,64,83,46,350,105,96,75
2021,2,40,"3,005","1,052",174,148,205,97,160,85,494,318,154,118
2021,2,50,"4,890","1,304",303,274,429,242,350,204,751,465,301,267
2021,2,60,"5,073","1,250",399,352,438,280,405,232,655,394,323,345
2021,2,70,"4,237",989,322,311,393,259,358,236,492,346,316,215
2021,2,80,"3,210",620,262,253,375,226,241,191,319,306,237,180
2021,2,90,527,106,30,53,57,29,51,25,53,54,40,29
2021,2,100,15,6,1,0,1,3,0,0,2,0,1,1
2021,3,총,"27,888","7,819","1,883","1,667","2,360","1,332","1,915","1,164","4,171","2,449","1,693","1,435"
2021,3,0,"1,055",461,64,27,70,19,41,30,194,66,45,38
2021,3,10,"1,906",657,130,87,128,37,89,43,397,199,82,57
2021,3,20,"2,260",759,104,98,146,74,132,80,458,194,102,113
2021,3,30,"1,698",628,95,65,111,63,83,44,337,103,98,71
2021,3,40,"2,994","1,044",172,146,203,96,162,77,502,320,155,117
2021,3,50,"4,889","1,288",302,277,424,246,352,206,753,467,300,274
2021,3,60,"5,093","1,258",397,354,446,279,408,237,663,393,320,338
2021,3,70,"4,215",982,323,305,397,257,354,234,490,344,310,219
2021,3,80,"3,224",629,265,257,374,229,242,188,319,307,238,176
2021,3,90,537,106,30,51,60,29,52,25,56,56,42,30
2021,3,100,17,7,1,0,1,3,0,0,2,0,1,2
2021,4,총,"27,916","7,822","1,880","1,676","2,353","1,332","1,924","1,167","4,171","2,457","1,697","1,437"
2021,4,0,"1,047",456,61,26,70,19,41,33,193,65,46,37
2021,4,10,"1,894",652,128,85,127,37,89,44,396,198,82,56
2021,4,20,"2,276",767,107,100,146,73,130,81,459,198,101,114
2021,4,30,"1,693",625,99,64,111,62,83,45,335,102,95,72
2021,4,40,"2,990","1,047",170,145,201,97,165,78,497,320,155,115
2021,4,50,"4,893","1,287",298,282,423,246,353,202,758,466,304,274
2021,4,60,"5,114","1,262",401,358,444,279,415,235,662,398,318,342
2021,4,70,"4,215",981,321,305,397,256,352,234,492,343,314,220
2021,4,80,"3,235",633,264,259,372,232,243,189,319,310,239,175
2021,4,90,543,106,30,52,61,28,53,26,58,57,42,30
2021,4,100,16,6,1,0,1,3,0,0,2,0,1,2
2021,5,총,"27,962","7,819","1,875","1,683","2,344","1,335","1,920","1,167","4,240","2,465","1,684","1,430"
2021,5,0,"1,030",450,57,27,69,19,41,33,191,63,43,37
2021,5,10,"1,953",650,132,84,122,37,88,42,460,201,82,55
2021,5,20,"2,294",760,110,104,144,73,128,84,478,203,96,114
2021,5,30,"1,681",623,99,65,111,62,85,45,331,99,93,68
2021,5,40,"2,958","1,037",170,145,197,98,159,76,491,321,152,112
2021,5,50,"4,896","1,298",289,285,424,248,359,202,750,466,303,272
2021,5,60,"5,140","1,274",401,355,448,280,411,235,668,403,322,343
2021,5,70,"4,191",971,320,306,393,255,350,232,492,342,310,220
2021,5,80,"3,249",640,266,258,372,231,247,191,318,311,239,176
2021,5,90,554,110,30,54,63,29,52,27,59,56,43,31
2021,5,100,16,6,1,0,1,3,0,0,2,0,1,2
2021,6,총,"27,916","7,828","1,871","1,674","2,336","1,328","1,908","1,161","4,233","2,460","1,684","1,433"
2021,6,0,"1,019",450,54,28,66,19,43,31,190,62,41,35
2021,6,10,"1,957",657,129,82,122,37,86,42,461,204,83,54
2021,6,20,"2,293",759,109,103,143,69,127,83,478,208,98,116
2021,6,30,"1,654",626,97,62,109,61,82,46,318,94,93,66
2021,6,40,"2,946","1,034",171,144,197,95,157,75,494,315,152,112
2021,6,50,"4,837","1,287",292,283,424,242,348,199,734,457,299,272
2021,6,60,"5,202","1,287",400,359,450,290,412,234,684,412,325,349
2021,6,70,"4,182",966,319,302,387,254,354,235,496,339,309,221
2021,6,80,"3,257",644,269,257,375,229,247,192,318,311,241,174
2021,6,90,554,112,30,54,62,29,52,24,59,58,42,32
2021,6,100,15,6,1,0,1,3,0,0,1,0,1,2
2021,7,총,"27,835","7,823","1,869","1,669","2,323","1,331","1,901","1,158","4,198","2,452","1,684","1,427"
2021,7,0,"1,014",454,53,28,66,19,42,30,189,60,40,33
2021,7,10,"1,926",647,127,81,120,38,87,43,445,202,82,54
2021,7,20,"2,270",745,110,103,144,70,125,81,471,210,99,112
2021,7,30,"1,653",630,99,61,108,63,79,47,313,92,94,67
2021,7,40,"2,941","1,036",170,143,199,96,155,74,497,312,150,109
2021,7,50,"4,812","1,285",289,281,426,239,346,197,728,459,292,270
2021,7,60,"5,223","1,300",402,357,443,287,414,235,684,414,333,354
2021,7,70,"4,164",958,319,304,381,255,354,234,493,339,308,219
2021,7,80,"3,267",655,269,256,372,231,246,193,317,309,243,176
2021,7,90,549,107,30,55,63,30,52,24,60,55,42,31
2021,7,100,16,6,1,0,1,3,1,0,1,0,1,2
2021,8,총,"27,754","7,797","1,871","1,668","2,312","1,325","1,900","1,162","4,173","2,446","1,673","1,427"
2021,8,0,"1,005",450,52,29,66,19,42,28,187,60,38,34
2021,8,10,"1,908",640,127,80,118,38,84,47,439,199,82,54
2021,8,20,"2,250",744,109,98,143,67,130,80,464,209,96,110
2021,8,30,"1,641",623,97,62,105,63,82,47,310,96,89,67
2021,8,40,"2,917","1,034",168,143,196,93,147,77,498,307,146,108
2021,8,50,"4,811","1,285",295,283,424,236,346,198,718,459,293,274
2021,8,60,"5,223","1,298",402,357,442,287,413,235,687,414,335,353
2021,8,70,"4,147",954,319,302,381,256,352,231,489,339,306,218
2021,8,80,"3,275",654,270,258,373,232,247,195,318,309,244,175
2021,8,90,560,109,31,56,62,31,56,24,62,54,43,32
2021,8,100,17,6,1,0,2,3,1,0,1,0,1,2
2021,9,총,"27,655","7,782","1,869","1,660","2,302","1,316","1,893","1,163","4,148","2,426","1,673","1,423"
2021,9,0,"1,010",449,53,29,65,20,41,28,191,63,37,34
2021,9,10,"1,882",635,126,81,117,37,85,47,423,194,83,54
2021,9,20,"2,196",731,109,97,138,63,129,80,443,202,95,109
2021,9,30,"1,634",626,95,62,99,62,84,48,311,96,86,65
2021,9,40,"2,909","1,028",165,142,197,92,147,79,501,301,148,109
2021,9,50,"4,803","1,289",297,276,423,235,343,197,723,460,293,267
2021,9,60,"5,222","1,297",399,358,442,286,411,236,684,415,335,359
2021,9,70,"4,135",954,321,298,381,254,352,229,485,337,305,219
2021,9,80,"3,272",656,271,260,375,233,244,192,322,304,243,172
2021,9,90,575,111,32,57,63,31,56,27,64,54,47,33
2021,9,100,17,6,1,0,2,3,1,0,1,0,1,2
2021,10,총,"27,616","7,791","1,863","1,658","2,300","1,304","1,895","1,159","4,141","2,417","1,670","1,418"
2021,10,0,997,444,51,29,65,20,40,28,188,62,36,34
2021,10,10,"1,876",639,126,80,115,34,84,47,423,191,86,51
2021,10,20,"2,195",740,107,93,137,63,127,79,439,204,96,110
2021,10,30,"1,625",620,94,65,96,62,81,47,313,95,88,64
2021,10,40,"2,900","1,029",163,142,200,86,148,82,496,299,146,109
2021,10,50,"4,780","1,287",293,275,420,233,339,195,726,459,291,262
2021,10,60,"5,243","1,303",403,354,445,286,420,238,682,413,339,360
2021,10,70,"4,132",951,320,304,381,253,354,228,485,333,305,218
2021,10,80,"3,279",660,273,258,376,234,247,188,325,306,238,174
2021,10,90,571,112,32,58,63,31,54,27,63,55,42,34
2021,10,100,18,6,1,0,2,2,1,0,1,0,3,2
2021,11,총,"27,581","7,783","1,852","1,657","2,304","1,310","1,889","1,160","4,134","2,415","1,666","1,411"
2021,11,0,979,436,50,29,64,19,39,28,185,59,36,34
2021,11,10,"1,871",640,125,80,115,34,82,47,422,191,84,51
2021,11,20,"2,186",736,108,92,136,63,129,76,440,205,91,110
2021,11,30,"1,622",617,94,68,99,63,78,44,311,98,87,63
2021,11,40,"2,898","1,030",161,141,200,87,146,86,496,296,146,109
2021,11,50,"4,764","1,282",285,277,417,234,339,197,720,460,294,259
2021,11,60,"5,271","1,317",404,353,452,288,419,239,687,415,340,357
2021,11,70,"4,122",948,318,300,383,254,356,226,481,334,304,218
2021,11,80,"3,282",659,274,261,372,235,248,190,328,304,237,174
2021,11,90,571,113,32,56,64,31,53,27,63,53,45,34
2021,11,100,15,5,1,0,2,2,0,0,1,0,2,2
2021,12,총,"27,535","7,788","1,852","1,667","2,293","1,307","1,882","1,155","4,110","2,400","1,670","1,411"
2021,12,0,964,428,52,29,61,16,38,27,186,58,35,34
2021,12,10,"1,859",647,125,79,112,32,80,47,412,188,85,52
2021,12,20,"2,173",735,106,94,137,64,126,73,427,206,94,111
2021,12,30,"1,619",615,90,70,99,66,79,45,309,95,87,64
2021,12,40,"2,886","1,024",160,141,197,87,143,87,500,295,146,106
2021,12,50,"4,753","1,291",283,280,417,235,339,190,715,452,294,257
2021,12,60,"5,295","1,321",408,357,454,294,418,242,684,417,343,357
2021,12,70,"4,105",941,320,297,380,252,356,227,480,332,299,221
2021,12,80,"3,288",667,274,265,365,230,250,189,333,303,237,175
2021,12,90,579,114,33,55,69,29,53,28,63,54,48,33
2021,12,100,14,5,1,0,2,2,0,0,1,0,2,1
