년도,월,나이,남구,신정1동,신정2동,신정3동,신정4동,신정5동,달동,삼산동,삼호동,무거동,옥동,대현동,수암동,선암동,야음장생포동
2020,5,80,"5,462",524,349,344,381,167,582,492,475,472,350,428,217,287,394
2020,5,90,668,54,60,53,53,22,64,67,53,64,43,40,26,29,40
2020,5,100,32,6,2,3,3,0,4,3,0,1,0,3,0,3,4
2020,6,총,"322,883","19,205","25,109","16,304","22,336","8,852","27,528","48,944","21,532","32,585","26,832","30,806","17,029","14,847","10,974"
2020,6,0,"24,576",869,"2,060","1,310","1,889",482,"1,689","3,676","1,271","2,284","2,081","3,587","1,593","1,261",524
2020,6,10,"31,309","1,142","3,174","1,225","2,415",596,"2,199","4,526","1,845","3,677","3,370","3,301","1,880","1,350",609
2020,6,20,"46,444","2,696","3,386","2,142","3,070","1,404","4,149","7,830","3,365","5,819","3,784","3,492","2,330","1,866","1,111"
2020,6,30,"43,135","2,310","2,955","2,059","2,912","1,258","3,984","7,833","2,350","3,667","3,152","4,853","2,390","2,087","1,325"
2020,6,40,"52,518","2,532","4,442","2,504","3,795","1,366","4,228","8,539","3,225","5,440","4,368","5,486","2,692","2,432","1,469"
2020,6,50,"62,377","3,886","4,802","3,286","3,951","1,772","5,423","9,289","4,795","6,670","5,489","4,929","3,272","2,732","2,081"
2020,6,60,"40,221","3,524","2,687","2,365","2,711","1,219","3,776","5,134","2,931","3,211","3,138","3,305","1,997","2,033","2,190"
2020,6,70,"16,115","1,662","1,186","1,012","1,154",568,"1,425","1,555","1,222","1,276","1,056","1,377",627,772,"1,223"
2020,6,80,"5,489",524,354,344,383,165,585,492,475,476,353,434,222,284,398
2020,6,90,666,54,61,54,53,22,66,66,53,64,41,39,26,27,40
2020,6,100,33,6,2,3,3,0,4,4,0,1,0,3,0,3,4
2020,7,총,"322,486","19,179","25,063","16,377","22,124","8,841","27,548","48,921","21,419","32,525","26,855","30,779","17,019","14,796","11,040"
2020,7,0,"24,509",866,"2,058","1,330","1,886",482,"1,690","3,660","1,257","2,259","2,077","3,581","1,588","1,240",535
2020,7,10,"31,166","1,136","3,169","1,221","2,408",597,"2,187","4,493","1,835","3,667","3,349","3,296","1,869","1,335",604
2020,7,20,"46,317","2,697","3,353","2,154","3,003","1,399","4,172","7,857","3,324","5,787","3,781","3,489","2,320","1,868","1,113"
2020,7,30,"43,057","2,292","2,946","2,078","2,902","1,240","3,981","7,839","2,329","3,661","3,169","4,797","2,387","2,061","1,375"
2020,7,40,"52,361","2,529","4,435","2,508","3,776","1,377","4,215","8,500","3,181","5,425","4,348","5,494","2,684","2,426","1,463"
2020,7,50,"62,349","3,873","4,790","3,293","3,892","1,761","5,430","9,291","4,804","6,667","5,510","4,941","3,277","2,732","2,088"
2020,7,60,"40,328","3,533","2,702","2,374","2,695","1,229","3,791","5,145","2,923","3,224","3,167","3,311","2,001","2,042","2,191"
2020,7,70,"16,200","1,668","1,188","1,016","1,142",571,"1,427","1,577","1,237","1,286","1,058","1,389",640,781,"1,220"
2020,7,80,"5,504",525,358,346,367,163,587,489,474,485,357,438,226,281,408
2020,7,90,661,54,62,54,50,21,64,66,55,63,39,40,27,27,39
2020,7,100,34,6,2,3,3,1,4,4,0,1,0,3,0,3,4
2020,8,총,"321,955","19,226","24,961","16,404","21,891","8,870","27,524","48,819","21,309","32,457","26,868","30,770","17,012","14,780","11,064"
2020,8,0,"24,394",866,"2,052","1,340","1,872",478,"1,680","3,645","1,238","2,237","2,086","3,544","1,582","1,228",546
2020,8,10,"31,034","1,147","3,154","1,219","2,375",599,"2,181","4,463","1,811","3,641","3,339","3,301","1,872","1,326",606
2020,8,20,"46,135","2,684","3,333","2,151","2,966","1,395","4,181","7,788","3,305","5,773","3,783","3,491","2,311","1,861","1,113"
2020,8,30,"42,934","2,297","2,926","2,093","2,861","1,250","3,965","7,814","2,319","3,663","3,177","4,766","2,383","2,040","1,380"
2020,8,40,"52,181","2,540","4,409","2,501","3,741","1,380","4,192","8,474","3,149","5,393","4,325","5,516","2,675","2,420","1,466"
2020,8,50,"62,213","3,869","4,766","3,288","3,851","1,765","5,411","9,304","4,772","6,651","5,498","4,933","3,280","2,752","2,073"
2020,8,60,"40,596","3,558","2,710","2,381","2,676","1,245","3,826","5,183","2,954","3,260","3,204","3,328","2,012","2,059","2,200"
2020,8,70,"16,256","1,676","1,194","1,018","1,139",573,"1,430","1,588","1,230","1,287","1,063","1,404",644,782,"1,228"
2020,8,80,"5,510",526,355,354,358,163,591,486,476,488,355,443,225,281,409
2020,8,90,668,57,61,56,49,21,62,70,55,63,38,41,28,28,39
2020,8,100,34,6,1,3,3,1,5,4,0,1,0,3,0,3,4
2020,9,총,"321,494","19,216","24,904","16,381","21,715","8,889","27,476","48,891","21,218","32,407","26,875","30,764","16,962","14,764","11,032"
2020,9,0,"24,255",854,"2,034","1,326","1,862",473,"1,676","3,613","1,235","2,215","2,085","3,549","1,562","1,231",540
2020,9,10,"30,881","1,140","3,144","1,214","2,373",610,"2,160","4,463","1,787","3,611","3,308","3,293","1,868","1,307",603
2020,9,20,"46,087","2,694","3,316","2,161","2,925","1,387","4,179","7,830","3,279","5,785","3,795","3,480","2,300","1,854","1,102"
2020,9,30,"42,730","2,276","2,907","2,079","2,825","1,259","3,935","7,802","2,330","3,635","3,184","4,717","2,369","2,034","1,378"
2020,9,40,"52,070","2,548","4,401","2,498","3,714","1,381","4,202","8,462","3,114","5,380","4,313","5,531","2,660","2,420","1,446"
2020,9,50,"62,109","3,849","4,761","3,280","3,814","1,767","5,378","9,340","4,744","6,654","5,489","4,945","3,281","2,739","2,068"
2020,9,60,"40,842","3,580","2,734","2,387","2,668","1,254","3,855","5,217","2,960","3,286","3,234","3,349","2,032","2,076","2,210"
2020,9,70,"16,274","1,677","1,186","1,026","1,124",570,"1,439","1,593","1,233","1,293","1,072","1,405",639,788,"1,229"
2020,9,80,"5,539",535,360,352,360,164,584,495,480,484,357,449,224,284,411
2020,9,90,674,57,60,55,47,23,63,74,55,63,38,43,27,28,41
2020,9,100,33,6,1,3,3,1,5,2,1,1,0,3,0,3,4
2020,10,총,"321,134","19,189","24,920","16,374","21,602","8,885","27,510","48,861","21,132","32,385","26,830","30,684","16,997","14,757","11,008"
2020,10,0,"24,112",858,"2,016","1,310","1,848",475,"1,681","3,603","1,229","2,200","2,067","3,515","1,554","1,218",538
2020,10,10,"30,803","1,134","3,159","1,215","2,351",615,"2,148","4,445","1,784","3,588","3,298","3,272","1,879","1,311",604
2020,10,20,"46,019","2,672","3,297","2,164","2,922","1,361","4,190","7,817","3,261","5,812","3,798","3,488","2,294","1,844","1,099"
2020,10,30,"42,510","2,292","2,904","2,051","2,805","1,252","3,911","7,778","2,316","3,604","3,161","4,675","2,374","2,026","1,361"
2020,10,40,"51,893","2,551","4,407","2,505","3,702","1,385","4,198","8,438","3,085","5,323","4,292","5,513","2,636","2,410","1,448"
2020,10,50,"62,123","3,825","4,763","3,287","3,797","1,763","5,391","9,339","4,722","6,688","5,498","4,948","3,298","2,744","2,060"
2020,10,60,"41,011","3,570","2,745","2,393","2,658","1,270","3,867","5,250","2,976","3,318","3,250","3,363","2,056","2,089","2,206"
2020,10,70,"16,367","1,682","1,202","1,039","1,108",577,"1,466","1,607","1,227","1,304","1,069","1,406",655,794,"1,231"
2020,10,80,"5,592",541,366,352,363,165,589,508,478,485,358,457,224,290,416
2020,10,90,671,58,60,55,45,21,64,74,53,62,39,44,27,28,41
2020,10,100,33,6,1,3,3,1,5,2,1,1,0,3,0,3,4
2020,11,총,"320,716","19,170","24,846","16,380","21,548","8,881","27,359","48,840","20,981","32,368","26,779","30,577","16,972","14,666","11,349"
2020,11,0,"24,008",856,"1,992","1,301","1,845",473,"1,648","3,587","1,211","2,197","2,073","3,495","1,540","1,200",590
2020,11,10,"30,652","1,133","3,155","1,215","2,359",609,"2,121","4,433","1,758","3,539","3,277","3,277","1,878","1,285",613
2020,11,20,"45,988","2,680","3,286","2,170","2,909","1,361","4,172","7,834","3,251","5,820","3,774","3,454","2,299","1,832","1,146"
2020,11,30,"42,356","2,289","2,862","2,037","2,773","1,257","3,895","7,728","2,296","3,605","3,152","4,629","2,356","2,019","1,458"
2020,11,40,"51,785","2,535","4,407","2,518","3,687","1,390","4,180","8,437","3,037","5,288","4,284","5,518","2,619","2,369","1,516"
2020,11,50,"61,988","3,792","4,761","3,273","3,797","1,754","5,332","9,327","4,707","6,696","5,487","4,909","3,303","2,743","2,107"
2020,11,60,"41,222","3,589","2,749","2,419","2,662","1,269","3,881","5,302","2,962","3,356","3,262","3,377","2,068","2,099","2,227"
2020,11,70,"16,396","1,693","1,208","1,026","1,108",579,"1,471","1,614","1,221","1,311","1,064","1,418",661,797,"1,225"
2020,11,80,"5,610",541,366,362,360,167,591,501,482,491,368,450,221,290,420
2020,11,90,677,56,59,56,45,21,63,75,55,64,38,47,27,29,42
2020,11,100,34,6,1,3,3,1,5,2,1,1,0,3,0,3,5
2020,12,총,"320,064","19,117","24,772","16,361","21,448","8,855","27,340","48,826","20,841","32,325","26,716","30,503","16,986","14,588","11,386"
2020,12,0,"23,877",847,"1,984","1,288","1,830",471,"1,629","3,558","1,192","2,182","2,061","3,485","1,548","1,194",608
2020,12,10,"30,560","1,132","3,160","1,212","2,350",610,"2,111","4,405","1,739","3,527","3,274","3,264","1,875","1,281",620
2020,12,20,"45,747","2,661","3,259","2,156","2,875","1,357","4,168","7,854","3,207","5,804","3,740","3,421","2,295","1,804","1,146"
2020,12,30,"42,180","2,265","2,834","2,022","2,770","1,263","3,886","7,694","2,267","3,615","3,147","4,584","2,357","2,006","1,470"
2020,12,40,"51,653","2,534","4,386","2,519","3,670","1,376","4,170","8,456","3,008","5,258","4,266","5,533","2,610","2,351","1,516"
2020,12,50,"61,818","3,759","4,769","3,277","3,770","1,739","5,331","9,313","4,699","6,672","5,471","4,881","3,302","2,724","2,111"
2020,12,60,"41,402","3,625","2,737","2,426","2,668","1,266","3,908","5,344","2,971","3,380","3,278","3,396","2,076","2,115","2,212"
2020,12,70,"16,471","1,680","1,214","1,032","1,105",580,"1,483","1,628","1,222","1,320","1,072","1,437",671,792,"1,235"
2020,12,80,"5,644",549,369,371,364,171,587,500,482,501,366,452,223,289,420
2020,12,90,678,59,59,55,43,21,62,72,53,65,41,47,29,29,43
2020,12,100,34,6,1,3,3,1,5,2,1,1,0,3,0,3,5
2021,1,총,"319,780","19,057","24,719","16,337","21,385","8,891","27,323","48,915","20,807","32,287","26,653","30,494","17,002","14,494","11,416"
2021,1,0,"23,689",842,"1,961","1,279","1,798",479,"1,603","3,525","1,181","2,161","2,062","3,453","1,546","1,174",625
2021,1,10,"30,484","1,124","3,167","1,219","2,349",608,"2,103","4,392","1,721","3,510","3,245","3,286","1,872","1,271",617
2021,1,20,"45,637","2,610","3,253","2,147","2,860","1,366","4,176","7,891","3,224","5,784","3,724","3,399","2,276","1,782","1,145"
2021,1,30,"42,107","2,275","2,803","2,011","2,747","1,275","3,866","7,730","2,264","3,602","3,138","4,581","2,366","1,971","1,478"
2021,1,40,"51,480","2,511","4,376","2,531","3,678","1,366","4,159","8,432","2,973","5,254","4,237","5,507","2,609","2,333","1,514"
2021,1,50,"61,715","3,747","4,762","3,245","3,749","1,745","5,325","9,327","4,687","6,665","5,463","4,894","3,297","2,703","2,106"
2021,1,60,"41,739","3,648","2,749","2,446","2,684","1,272","3,945","5,398","2,996","3,420","3,290","3,417","2,107","2,139","2,228"
2021,1,70,"16,552","1,682","1,222","1,032","1,105",588,"1,484","1,646","1,226","1,324","1,081","1,447",681,800,"1,234"
2021,1,80,"5,658",552,365,370,367,172,597,495,481,500,372,459,220,289,419
2021,1,90,685,60,60,54,45,19,60,77,53,66,41,48,28,29,45
2021,1,100,34,6,1,3,3,1,5,2,1,1,0,3,0,3,5
2021,2,총,"319,189","19,042","24,627","16,370","21,284","8,858","27,297","48,927","20,704","32,182","26,640","30,376","17,020","14,442","11,420"
2021,2,0,"23,595",838,"1,961","1,282","1,797",476,"1,599","3,515","1,171","2,134","2,082","3,411","1,533","1,158",638
2021,2,10,"30,216","1,120","3,143","1,222","2,326",592,"2,069","4,344","1,705","3,463","3,201","3,278","1,871","1,258",624
2021,2,20,"45,421","2,580","3,216","2,143","2,843","1,353","4,189","7,914","3,197","5,755","3,684","3,371","2,277","1,767","1,132"
2021,2,30,"42,018","2,294","2,810","2,012","2,716","1,272","3,850","7,730","2,242","3,584","3,165","4,537","2,364","1,949","1,493"
2021,2,40,"51,309","2,502","4,352","2,533","3,664","1,362","4,155","8,414","2,930","5,220","4,222","5,501","2,615","2,327","1,512"
2021,2,50,"61,540","3,713","4,737","3,252","3,728","1,731","5,304","9,318","4,668","6,654","5,467","4,875","3,302","2,705","2,086"
2021,2,60,"42,016","3,680","2,756","2,458","2,695","1,282","3,966","5,442","3,017","3,458","3,316","3,442","2,121","2,149","2,234"
2021,2,70,"16,633","1,689","1,228","1,034","1,101",587,"1,493","1,667","1,233","1,336","1,087","1,455",685,805,"1,233"
2021,2,80,"5,721",561,363,376,366,182,605,503,488,511,375,456,223,294,418
2021,2,90,685,59,60,55,45,20,62,79,52,66,41,47,27,27,45
2021,2,100,35,6,1,3,3,1,5,1,1,1,0,3,2,3,5
2021,3,총,"318,059","18,951","24,511","16,358","21,163","8,837","27,252","48,875","20,590","32,070","26,582","30,299","16,960","14,332","11,279"
2021,3,0,"23,449",835,"1,945","1,280","1,785",464,"1,593","3,498","1,162","2,099","2,086","3,383","1,534","1,155",630
2021,3,10,"29,974","1,110","3,115","1,220","2,305",599,"2,039","4,306","1,683","3,433","3,176","3,282","1,844","1,255",607
2021,3,20,"45,144","2,550","3,189","2,120","2,804","1,348","4,193","7,902","3,164","5,751","3,650","3,337","2,247","1,759","1,130"
2021,3,30,"41,864","2,298","2,806","2,028","2,709","1,265","3,854","7,711","2,229","3,564","3,140","4,506","2,357","1,930","1,467"
2021,3,40,"50,951","2,477","4,321","2,519","3,641","1,363","4,117","8,383","2,903","5,163","4,211","5,465","2,605","2,285","1,498"
2021,3,50,"61,295","3,691","4,719","3,251","3,695","1,725","5,269","9,324","4,618","6,644","5,443","4,875","3,272","2,689","2,080"
2021,3,60,"42,302","3,680","2,769","2,480","2,711","1,280","3,995","5,474","3,052","3,501","3,374","3,469","2,150","2,151","2,216"
2021,3,70,"16,641","1,688","1,230","1,032","1,106",584,"1,508","1,695","1,228","1,335","1,081","1,467",699,792,"1,196"
2021,3,80,"5,753",565,363,374,360,188,620,508,498,513,378,465,222,289,410
2021,3,90,666,55,53,53,46,20,61,74,52,67,43,47,28,26,41
2021,3,100,20,2,1,1,1,1,3,0,1,0,0,3,2,1,4
2021,4,총,"317,672","18,791","24,523","16,409","21,148","8,876","27,215","48,905","20,531","32,058","26,550","30,258","16,900","14,307","11,201"
2021,4,0,"23,328",813,"1,944","1,275","1,786",473,"1,587","3,472","1,142","2,098","2,080","3,347","1,539","1,141",631
2021,4,10,"29,835","1,099","3,089","1,232","2,289",591,"2,024","4,316","1,674","3,412","3,149","3,281","1,825","1,253",601
2021,4,20,"45,027","2,518","3,196","2,113","2,808","1,343","4,179","7,901","3,136","5,758","3,641","3,321","2,234","1,763","1,116"
2021,4,30,"41,793","2,266","2,806","2,039","2,718","1,287","3,849","7,700","2,234","3,551","3,146","4,469","2,342","1,933","1,453"
2021,4,40,"50,890","2,470","4,297","2,524","3,636","1,363","4,119","8,378","2,907","5,155","4,198","5,475","2,600","2,278","1,490"
2021,4,50,"61,178","3,652","4,734","3,268","3,695","1,724","5,253","9,319","4,598","6,620","5,441","4,874","3,256","2,675","2,069"
2021,4,60,"42,452","3,678","2,790","2,490","2,702","1,286","4,008","5,517","3,058","3,541","3,380","3,493","2,158","2,151","2,200"
2021,4,70,"16,709","1,676","1,248","1,038","1,107",594,"1,505","1,718","1,229","1,340","1,094","1,478",697,795,"1,190"
2021,4,80,"5,763",562,364,377,356,194,625,511,502,513,377,468,219,290,405
2021,4,90,677,55,54,52,50,20,63,73,50,70,44,49,28,27,42
2021,4,100,20,2,1,1,1,1,3,0,1,0,0,3,2,1,4
2021,5,총,"317,184","18,675","24,467","16,372","21,061","8,878","27,185","48,906","20,512","31,985","26,554","30,253","16,883","14,316","11,137"
2021,5,0,"23,208",806,"1,925","1,267","1,771",473,"1,583","3,452","1,129","2,066","2,085","3,342","1,542","1,135",632
2021,5,10,"29,747","1,098","3,078","1,218","2,278",594,"2,020","4,315","1,662","3,404","3,137","3,296","1,812","1,240",595
2021,5,20,"44,852","2,484","3,206","2,101","2,792","1,336","4,178","7,888","3,119","5,759","3,622","3,274","2,220","1,761","1,112"
2021,5,30,"41,663","2,255","2,792","2,043","2,695","1,281","3,827","7,674","2,238","3,548","3,154","4,451","2,336","1,935","1,434"
2021,5,40,"50,634","2,452","4,265","2,500","3,609","1,364","4,104","8,356","2,887","5,106","4,179","5,482","2,589","2,275","1,466"
2021,5,50,"61,126","3,614","4,731","3,274","3,703","1,721","5,236","9,355","4,603","6,604","5,430","4,883","3,242","2,675","2,055"
2021,5,60,"42,704","3,677","2,800","2,494","2,696","1,293","4,037","5,543","3,086","3,576","3,426","3,513","2,185","2,175","2,203"
2021,5,70,"16,767","1,677","1,246","1,043","1,111",600,"1,506","1,735","1,233","1,337","1,100","1,485",709,802,"1,183"
2021,5,80,"5,789",556,369,378,352,195,629,513,504,519,379,476,218,290,411
2021,5,90,674,54,54,53,53,20,62,75,50,66,42,48,28,27,42
2021,5,100,20,2,1,1,1,1,3,0,1,0,0,3,2,1,4
2021,6,총,"316,716","18,579","24,417","16,342","21,056","8,873","27,181","48,852","20,526","31,973","26,509","30,226","16,908","14,314","10,960"
2021,6,0,"23,090",799,"1,914","1,265","1,774",470,"1,583","3,419","1,130","2,057","2,079","3,310","1,549","1,114",627
2021,6,10,"29,650","1,088","3,064","1,213","2,280",595,"2,013","4,301","1,651","3,381","3,126","3,300","1,811","1,254",573
2021,6,20,"44,667","2,460","3,184","2,090","2,788","1,328","4,149","7,862","3,106","5,757","3,599","3,276","2,213","1,769","1,086"
2021,6,30,"41,541","2,234","2,773","2,041","2,670","1,294","3,846","7,654","2,251","3,543","3,131","4,444","2,321","1,922","1,417"
2021,6,40,"50,470","2,449","4,261","2,482","3,602","1,365","4,090","8,332","2,885","5,081","4,163","5,474","2,583","2,270","1,433"
2021,6,50,"61,013","3,578","4,716","3,260","3,711","1,709","5,220","9,347","4,586","6,617","5,456","4,864","3,249","2,681","2,019"
2021,6,60,"42,958","3,675","2,829","2,514","2,716","1,297","4,082","5,595","3,112","3,606","3,425","3,531","2,215","2,186","2,175"
2021,6,70,"16,820","1,684","1,250","1,046","1,112",597,"1,499","1,748","1,241","1,344","1,106","1,495",718,804,"1,176"
2021,6,80,"5,818",558,372,378,353,197,635,519,510,522,381,480,218,287,408
2021,6,90,670,52,53,52,49,21,61,75,53,65,43,49,29,26,42
2021,6,100,19,2,1,1,1,0,3,0,1,0,0,3,2,1,4
2021,7,총,"316,241","18,516","24,390","16,373","20,995","8,889","27,201","48,870","20,470","31,872","26,500","30,212","16,898","14,301","10,754"
2021,7,0,"23,010",795,"1,904","1,263","1,738",474,"1,592","3,410","1,117","2,043","2,081","3,312","1,549","1,105",627
2021,7,10,"29,554","1,088","3,055","1,211","2,274",593,"2,001","4,297","1,646","3,370","3,104","3,293","1,813","1,250",559
2021,7,20,"44,543","2,456","3,165","2,100","2,773","1,330","4,161","7,854","3,079","5,729","3,595","3,261","2,205","1,765","1,070"
2021,7,30,"41,408","2,220","2,758","2,050","2,657","1,290","3,857","7,670","2,236","3,519","3,126","4,422","2,310","1,913","1,380"
2021,7,40,"50,262","2,421","4,263","2,460","3,580","1,384","4,081","8,299","2,871","5,026","4,159","5,481","2,574","2,264","1,399"
2021,7,50,"60,870","3,549","4,700","3,259","3,730","1,696","5,209","9,338","4,563","6,606","5,463","4,855","3,244","2,672","1,986"
2021,7,60,"43,231","3,688","2,859","2,545","2,719","1,302","4,106","5,648","3,149","3,651","3,444","3,545","2,232","2,211","2,132"
2021,7,70,"16,844","1,692","1,257","1,053","1,115",602,"1,499","1,757","1,243","1,343","1,105","1,500",720,809,"1,149"
2021,7,80,"5,838",551,374,377,357,199,633,524,510,523,383,492,222,286,407
2021,7,90,662,54,54,54,51,19,59,73,55,62,40,48,27,25,41
2021,7,100,19,2,1,1,1,0,3,0,1,0,0,3,2,1,4
2021,8,총,"315,599","18,461","24,335","16,374","21,006","8,883","27,201","48,892","20,443","31,808","26,487","30,075","16,855","14,263","10,516"
2021,8,0,"22,903",797,"1,895","1,259","1,734",470,"1,585","3,413","1,114","2,024","2,074","3,294","1,535","1,093",616
