년도,월,나이,남구,대연제1동,대연제3동,대연제4동,대연제5동,대연제6동,용호제1동,용호제2동,용호제3동,용호제4동,용당동,감만제1동,감만제2동,우암동,문현제1동,문현제2동,문현제3동,문현제4동
2020,2,60,"40,122","2,417","3,323","1,971","2,371","1,879","6,078","2,734","2,457","1,571","1,298","2,587","1,304","2,694","2,236","1,365","2,110","1,727"
2020,2,70,"24,489","1,620","1,835","1,358","1,532","1,068","3,395","1,462","1,527",861,736,"1,599",958,"1,636","1,454","1,017","1,280","1,151"
2020,2,80,"8,988",585,727,490,568,379,"1,299",528,506,281,230,555,334,587,537,458,473,451
2020,2,90,"1,092",63,93,49,57,48,194,72,58,42,29,58,27,97,51,51,51,52
2020,2,100,131,10,16,8,6,7,8,9,7,8,2,15,2,10,5,10,2,6
2020,3,총,"272,381","16,283","33,394","12,902","17,225","15,964","45,651","17,739","12,768","8,907","8,098","14,452","7,289","13,768","14,789","9,003","14,562","9,587"
2020,3,0,"19,055",616,"2,961","1,068","1,183","1,872","3,652","1,541",566,594,505,781,354,698,901,382,956,425
2020,3,10,"24,019","1,037","3,293",872,"1,513","1,501","5,359","1,857",946,685,779,"1,052",526,964,"1,331",411,"1,261",632
2020,3,20,"35,500","3,535","6,159","1,326","2,591","1,841","5,137","1,748","1,495",962,984,"1,644",718,"1,389","1,778","1,302","1,803","1,088"
2020,3,30,"32,016","1,956","4,503","1,901","2,171","2,409","4,507","1,976","1,216","1,136",784,"1,556",741,"1,416","1,520","1,370","1,867",987
2020,3,40,"42,839","2,132","5,735","1,880","2,697","2,697","8,082","2,982","1,690","1,386","1,295","2,107","1,094","1,942","2,323","1,206","2,228","1,363"
2020,3,50,"43,919","2,320","4,725","1,962","2,490","2,303","7,898","2,805","2,285","1,366","1,442","2,468","1,232","2,321","2,639","1,424","2,532","1,707"
2020,3,60,"40,214","2,406","3,331","1,971","2,392","1,862","6,100","2,749","2,463","1,583","1,310","2,601","1,300","2,699","2,253","1,368","2,103","1,723"
2020,3,70,"24,540","1,619","1,839","1,359","1,550","1,051","3,410","1,474","1,534",865,735,"1,600",961,"1,645","1,450","1,018","1,279","1,151"
2020,3,80,"9,037",592,736,504,575,368,"1,300",526,509,278,231,569,335,584,536,459,481,454
2020,3,90,"1,109",60,97,49,57,53,198,72,57,43,31,59,26,100,53,53,50,51
2020,3,100,133,10,15,10,6,7,8,9,7,9,2,15,2,10,5,10,2,6
2020,4,총,"271,674","16,235","33,302","12,891","17,240","15,748","45,582","17,680","12,728","8,916","8,123","14,437","7,268","13,735","14,731","8,996","14,596","9,466"
2020,4,0,"18,929",608,"2,938","1,068","1,171","1,849","3,627","1,528",554,586,516,783,344,693,895,380,970,419
2020,4,10,"23,875","1,029","3,270",868,"1,516","1,477","5,331","1,844",944,690,768,"1,052",526,964,"1,315",414,"1,248",619
2020,4,20,"35,486","3,539","6,163","1,310","2,615","1,821","5,141","1,732","1,501",962,"1,007","1,637",719,"1,380","1,776","1,292","1,819","1,072"
2020,4,30,"31,746","1,946","4,484","1,890","2,150","2,350","4,476","1,971","1,205","1,126",779,"1,550",729,"1,399","1,507","1,367","1,861",956
2020,4,40,"42,757","2,120","5,731","1,881","2,707","2,689","8,056","2,973","1,683","1,388","1,292","2,098","1,091","1,951","2,316","1,211","2,223","1,347"
2020,4,50,"43,713","2,301","4,700","1,966","2,491","2,265","7,900","2,787","2,276","1,379","1,442","2,454","1,230","2,294","2,622","1,405","2,531","1,670"
2020,4,60,"40,233","2,411","3,328","1,964","2,385","1,830","6,123","2,759","2,454","1,579","1,313","2,621","1,303","2,702","2,247","1,378","2,120","1,716"
2020,4,70,"24,596","1,616","1,839","1,373","1,552","1,044","3,410","1,477","1,545",877,734,"1,600",960,"1,656","1,460","1,018","1,284","1,151"
2020,4,80,"9,088",595,736,511,590,364,"1,308",524,504,277,237,568,338,587,535,468,488,458
2020,4,90,"1,117",60,98,50,57,52,202,76,55,43,33,59,26,99,52,53,50,52
2020,4,100,134,10,15,10,6,7,8,9,7,9,2,15,2,10,6,10,2,6
2020,5,총,"271,183","16,217","33,345","12,894","17,185","15,679","45,457","17,685","12,707","8,927","8,117","14,379","7,244","13,689","14,664","8,999","14,603","9,392"
2020,5,0,"18,831",598,"2,930","1,077","1,156","1,854","3,612","1,525",547,577,512,771,345,682,881,375,973,416
2020,5,10,"23,760","1,026","3,246",863,"1,513","1,473","5,298","1,849",930,699,765,"1,042",522,958,"1,308",418,"1,240",610
2020,5,20,"35,486","3,566","6,256","1,309","2,611","1,803","5,110","1,716","1,497",963,"1,005","1,631",713,"1,381","1,752","1,283","1,824","1,066"
2020,5,30,"31,536","1,936","4,464","1,881","2,115","2,319","4,435","1,977","1,200","1,129",779,"1,519",726,"1,384","1,493","1,374","1,859",946
2020,5,40,"42,639","2,111","5,695","1,889","2,716","2,707","8,011","2,977","1,675","1,380","1,290","2,098","1,090","1,941","2,297","1,214","2,209","1,339"
2020,5,50,"43,620","2,295","4,693","1,957","2,474","2,251","7,903","2,782","2,275","1,387","1,446","2,451","1,221","2,286","2,611","1,407","2,530","1,651"
2020,5,60,"40,243","2,397","3,362","1,974","2,390","1,811","6,136","2,756","2,459","1,581","1,302","2,615","1,300","2,694","2,257","1,370","2,136","1,703"
2020,5,70,"24,667","1,622","1,841","1,371","1,552","1,042","3,421","1,483","1,554",880,744,"1,610",962,"1,664","1,458","1,025","1,285","1,153"
2020,5,80,"9,136",595,739,514,592,360,"1,323",532,509,280,236,570,338,588,545,470,494,451
2020,5,90,"1,131",60,105,49,60,52,200,79,54,42,36,57,25,101,56,53,51,51
2020,5,100,134,11,14,10,6,7,8,9,7,9,2,15,2,10,6,10,2,6
2020,6,총,"270,606","16,182","33,347","12,891","17,165","15,667","45,373","17,635","12,699","8,928","8,076","14,310","7,225","13,656","14,586","8,991","14,608","9,267"
2020,6,0,"18,722",596,"2,910","1,080","1,147","1,843","3,585","1,513",534,580,508,759,345,683,875,374,977,413
2020,6,10,"23,649","1,011","3,236",868,"1,505","1,478","5,262","1,845",937,693,761,"1,040",519,954,"1,302",422,"1,223",593
2020,6,20,"35,425","3,565","6,277","1,305","2,627","1,798","5,096","1,708","1,479",958,"1,000","1,622",711,"1,385","1,746","1,269","1,823","1,056"
2020,6,30,"31,319","1,938","4,425","1,882","2,096","2,313","4,402","1,953","1,195","1,132",767,"1,500",716,"1,365","1,473","1,383","1,849",930
2020,6,40,"42,625","2,102","5,737","1,910","2,702","2,707","7,984","2,989","1,679","1,382","1,281","2,087","1,086","1,935","2,292","1,207","2,216","1,329"
2020,6,50,"43,416","2,292","4,685","1,924","2,480","2,232","7,900","2,757","2,268","1,380","1,437","2,442","1,213","2,275","2,591","1,402","2,522","1,616"
2020,6,60,"40,343","2,393","3,368","1,983","2,395","1,828","6,162","2,773","2,476","1,591","1,301","2,609","1,310","2,689","2,251","1,374","2,153","1,687"
2020,6,70,"24,708","1,619","1,849","1,374","1,547","1,046","3,447","1,477","1,557",882,745,"1,616",961,"1,668","1,455","1,028","1,297","1,140"
2020,6,80,"9,138",594,744,509,602,363,"1,327",534,510,279,238,561,336,591,539,470,495,446
2020,6,90,"1,127",61,102,46,58,52,200,77,57,42,36,59,26,101,56,52,51,51
2020,6,100,134,11,14,10,6,7,8,9,7,9,2,15,2,10,6,10,2,6
2020,7,총,"270,125","16,138","33,298","12,819","17,108","15,652","45,329","17,626","12,666","8,894","8,092","14,296","7,198","13,618","14,525","9,012","14,677","9,177"
2020,7,0,"18,620",587,"2,899","1,061","1,122","1,838","3,573","1,518",532,566,507,754,344,680,861,373,"1,003",402
2020,7,10,"23,550",993,"3,214",865,"1,511","1,502","5,242","1,838",926,682,766,"1,041",510,947,"1,291",420,"1,217",585
2020,7,20,"35,369","3,577","6,280","1,290","2,632","1,768","5,085","1,706","1,473",956,998,"1,622",701,"1,381","1,749","1,285","1,813","1,053"
2020,7,30,"31,117","1,917","4,406","1,865","2,070","2,293","4,379","1,940","1,196","1,131",763,"1,479",710,"1,358","1,453","1,370","1,874",913
2020,7,40,"42,521","2,093","5,731","1,885","2,699","2,713","7,953","2,996","1,671","1,363","1,289","2,090","1,083","1,925","2,277","1,211","2,226","1,316"
2020,7,50,"43,293","2,285","4,687","1,912","2,465","2,237","7,881","2,753","2,244","1,383","1,440","2,434","1,209","2,261","2,585","1,397","2,526","1,594"
2020,7,60,"40,405","2,384","3,363","1,999","2,394","1,819","6,195","2,766","2,493","1,594","1,302","2,611","1,304","2,690","2,253","1,396","2,165","1,677"
2020,7,70,"24,812","1,635","1,851","1,372","1,550","1,057","3,477","1,487","1,559",888,752,"1,623",968,"1,672","1,459","1,030","1,303","1,129"
2020,7,80,"9,166",593,745,512,601,362,"1,333",538,510,280,238,567,340,593,534,469,498,453
2020,7,90,"1,136",63,108,48,58,56,203,75,55,42,35,60,26,101,57,50,50,49
2020,7,100,136,11,14,10,6,7,8,9,7,9,2,15,3,10,6,11,2,6
2020,8,총,"269,626","16,143","33,269","12,715","17,047","15,608","45,210","17,549","12,648","8,854","8,069","14,202","7,154","13,552","14,366","8,961","15,229","9,050"
2020,8,0,"18,502",579,"2,888","1,035","1,099","1,838","3,532","1,517",526,561,493,756,335,674,831,372,"1,074",392
2020,8,10,"23,433",986,"3,209",863,"1,488","1,497","5,214","1,824",927,673,770,"1,021",501,939,"1,269",410,"1,269",573
2020,8,20,"35,336","3,586","6,308","1,263","2,645","1,768","5,054","1,700","1,468",950,990,"1,618",691,"1,363","1,740","1,290","1,872","1,030"
2020,8,30,"30,892","1,915","4,381","1,826","2,039","2,278","4,344","1,903","1,181","1,111",755,"1,459",703,"1,332","1,412","1,356","1,995",902
2020,8,40,"42,376","2,095","5,706","1,880","2,688","2,705","7,927","2,981","1,670","1,360","1,287","2,068","1,070","1,905","2,226","1,189","2,339","1,280"
2020,8,50,"43,180","2,279","4,672","1,898","2,468","2,219","7,864","2,735","2,233","1,384","1,439","2,419","1,199","2,255","2,566","1,394","2,586","1,570"
2020,8,60,"40,544","2,385","3,376","2,008","2,404","1,815","6,230","2,775","2,498","1,597","1,304","2,599","1,318","2,699","2,263","1,400","2,203","1,670"
2020,8,70,"24,874","1,638","1,871","1,367","1,546","1,058","3,495","1,494","1,564",884,751,"1,619",966,"1,676","1,467","1,020","1,328","1,130"
2020,8,80,"9,218",605,738,517,605,367,"1,340",535,516,282,242,571,339,601,533,469,512,446
2020,8,90,"1,135",64,106,48,59,56,202,76,58,43,36,57,29,98,53,50,49,51
2020,8,100,136,11,14,10,6,7,8,9,7,9,2,15,3,10,6,11,2,6
2020,9,총,"269,251","16,097","33,235","12,699","16,942","15,602","45,152","17,533","12,639","8,843","8,083","14,110","7,127","13,509","14,282","8,923","15,509","8,966"
2020,9,0,"18,379",561,"2,848","1,047","1,074","1,819","3,523","1,513",520,554,494,742,326,672,819,362,"1,119",386
2020,9,10,"23,345",973,"3,194",865,"1,487","1,511","5,171","1,813",929,667,769,"1,016",501,927,"1,265",410,"1,279",568
2020,9,20,"35,382","3,597","6,358","1,252","2,621","1,765","5,062","1,695","1,478",950,990,"1,612",692,"1,359","1,724","1,291","1,907","1,029"
2020,9,30,"30,747","1,907","4,344","1,812","2,020","2,277","4,308","1,900","1,168","1,095",757,"1,438",685,"1,325","1,389","1,348","2,078",896
2020,9,40,"42,242","2,078","5,708","1,893","2,659","2,698","7,888","2,963","1,670","1,365","1,283","2,055","1,066","1,899","2,219","1,182","2,377","1,239"
2020,9,50,"43,059","2,284","4,650","1,889","2,460","2,225","7,850","2,743","2,215","1,378","1,434","2,398","1,191","2,239","2,550","1,378","2,607","1,568"
2020,9,60,"40,659","2,374","3,399","2,001","2,403","1,824","6,291","2,773","2,499","1,608","1,318","2,603","1,321","2,695","2,277","1,402","2,215","1,656"
2020,9,70,"24,893","1,638","1,875","1,361","1,545","1,061","3,506","1,509","1,577",883,758,"1,599",966,"1,675","1,447","1,019","1,357","1,117"
2020,9,80,"9,276",610,735,523,609,363,"1,347",538,516,292,244,575,345,610,530,471,515,453
2020,9,90,"1,131",64,109,46,58,52,198,77,60,42,34,57,31,98,56,48,53,48
2020,9,100,138,11,15,10,6,7,8,9,7,9,2,15,3,10,6,12,2,6
2020,10,총,"268,711","16,060","33,171","12,665","16,875","15,594","45,119","17,456","12,596","8,822","8,086","14,002","7,117","13,411","14,210","8,922","15,704","8,901"
2020,10,0,"18,249",557,"2,840","1,045","1,061","1,807","3,517","1,488",512,548,489,729,322,659,796,363,"1,144",372
2020,10,10,"23,222",961,"3,177",861,"1,465","1,531","5,161","1,817",921,657,759,"1,004",500,908,"1,245",410,"1,289",556
2020,10,20,"35,363","3,576","6,345","1,258","2,631","1,755","5,069","1,683","1,478",951,"1,003","1,597",693,"1,342","1,740","1,288","1,925","1,029"
2020,10,30,"30,498","1,894","4,316","1,807","1,981","2,267","4,276","1,866","1,166","1,074",756,"1,409",680,"1,305","1,366","1,338","2,114",883
2020,10,40,"42,125","2,072","5,713","1,877","2,637","2,719","7,860","2,951","1,660","1,361","1,259","2,042","1,065","1,890","2,197","1,199","2,411","1,212"
2020,10,50,"42,994","2,293","4,640","1,877","2,456","2,226","7,853","2,733","2,205","1,380","1,458","2,384","1,179","2,212","2,541","1,367","2,616","1,574"
2020,10,60,"40,778","2,380","3,397","2,003","2,428","1,822","6,304","2,781","2,497","1,621","1,321","2,606","1,334","2,696","2,274","1,405","2,256","1,653"
2020,10,70,"24,864","1,639","1,872","1,359","1,538","1,043","3,520","1,505","1,578",885,760,"1,581",965,"1,676","1,445","1,021","1,368","1,109"
2020,10,80,"9,348",612,748,522,615,365,"1,357",545,510,293,245,580,344,622,541,468,523,458
2020,10,90,"1,134",66,108,47,58,51,195,78,62,43,34,55,31,91,59,51,56,49
2020,10,100,136,10,15,9,5,8,7,9,7,9,2,15,4,10,6,12,2,6
2020,11,총,"268,249","16,001","33,190","12,634","16,858","15,576","45,117","17,433","12,577","8,781","8,098","13,926","7,075","13,344","14,121","8,872","15,826","8,820"
2020,11,0,"18,130",540,"2,835","1,036","1,067","1,795","3,512","1,476",504,542,488,714,312,650,784,361,"1,151",363
2020,11,10,"23,160",950,"3,166",864,"1,452","1,528","5,162","1,820",922,654,762,"1,003",495,906,"1,229",405,"1,287",555
2020,11,20,"35,288","3,573","6,368","1,247","2,614","1,763","5,049","1,686","1,468",938,"1,006","1,582",684,"1,319","1,736","1,290","1,939","1,026"
2020,11,30,"30,312","1,874","4,311","1,794","1,971","2,225","4,247","1,856","1,162","1,063",758,"1,406",663,"1,294","1,332","1,323","2,162",871
2020,11,40,"42,047","2,074","5,707","1,887","2,636","2,735","7,826","2,943","1,662","1,358","1,251","2,022","1,070","1,879","2,190","1,189","2,417","1,201"
2020,11,50,"42,881","2,271","4,655","1,862","2,451","2,230","7,873","2,733","2,179","1,378","1,460","2,361","1,163","2,192","2,527","1,353","2,638","1,555"
2020,11,60,"40,884","2,378","3,411","2,007","2,442","1,827","6,325","2,780","2,510","1,627","1,331","2,616","1,340","2,698","2,274","1,403","2,277","1,638"
2020,11,70,"24,866","1,647","1,871","1,353","1,544","1,042","3,540","1,505","1,589",882,757,"1,574",966,"1,677","1,444","1,015","1,364","1,096"
2020,11,80,"9,422",621,743,528,615,373,"1,383",548,511,290,249,581,348,627,542,468,534,461
2020,11,90,"1,123",61,108,47,61,50,193,77,63,40,34,52,30,92,58,53,55,49
2020,11,100,136,12,15,9,5,8,7,9,7,9,2,15,4,10,5,12,2,5
2020,12,총,"267,731","15,988","33,062","12,602","16,877","15,608","45,020","17,318","12,595","8,752","8,158","13,850","7,037","13,273","14,053","8,835","15,912","8,791"
2020,12,0,"18,052",537,"2,818","1,047","1,080","1,797","3,502","1,447",505,537,496,710,310,635,765,356,"1,154",356
2020,12,10,"23,035",941,"3,128",865,"1,426","1,533","5,154","1,803",926,650,758,991,489,903,"1,226",392,"1,291",559
2020,12,20,"35,239","3,592","6,371","1,233","2,631","1,762","5,026","1,671","1,456",925,"1,032","1,557",679,"1,307","1,727","1,300","1,940","1,030"
2020,12,30,"30,186","1,857","4,294","1,783","1,963","2,226","4,218","1,840","1,170","1,060",771,"1,397",653,"1,290","1,318","1,304","2,186",856
2020,12,40,"41,893","2,065","5,682","1,873","2,643","2,745","7,798","2,911","1,658","1,349","1,258","2,004","1,061","1,853","2,177","1,199","2,423","1,194"
2020,12,50,"42,799","2,263","4,636","1,868","2,455","2,233","7,848","2,728","2,175","1,374","1,457","2,346","1,154","2,182","2,518","1,347","2,659","1,556"
2020,12,60,"40,918","2,375","3,392","1,991","2,451","1,829","6,339","2,792","2,532","1,620","1,340","2,622","1,338","2,697","2,287","1,398","2,287","1,628"
2020,12,70,"24,883","1,661","1,879","1,357","1,545","1,050","3,552","1,498","1,590",892,755,"1,573",970,"1,669","1,429","1,005","1,367","1,091"
2020,12,80,"9,467",622,740,528,618,374,"1,385",543,514,296,252,584,349,634,544,469,547,468
2020,12,90,"1,122",63,107,48,59,52,191,76,63,39,37,51,30,92,57,53,56,48
2020,12,100,137,12,15,9,6,7,7,9,6,10,2,15,4,11,5,12,2,5
2021,1,총,"267,351","15,957","32,975","12,605","16,889","15,618","45,003","17,302","12,541","8,699","8,232","13,780","6,992","13,262","14,023","8,796","15,932","8,745"
2021,1,0,"17,889",531,"2,790","1,038","1,076","1,789","3,443","1,425",502,534,506,699,299,642,761,355,"1,152",347
2021,1,10,"22,959",921,"3,123",865,"1,406","1,533","5,187","1,796",917,639,758,981,484,900,"1,217",379,"1,302",551
2021,1,20,"35,072","3,584","6,312","1,245","2,658","1,748","4,996","1,675","1,430",930,"1,031","1,547",662,"1,299","1,710","1,298","1,926","1,021"
2021,1,30,"30,044","1,849","4,254","1,759","1,961","2,223","4,190","1,832","1,165","1,046",799,"1,392",652,"1,275","1,302","1,302","2,193",850
2021,1,40,"41,800","2,066","5,683","1,884","2,633","2,761","7,776","2,908","1,639","1,332","1,264","1,986","1,046","1,852","2,168","1,200","2,422","1,180"
2021,1,50,"42,784","2,254","4,640","1,864","2,465","2,254","7,857","2,714","2,178","1,357","1,464","2,346","1,152","2,178","2,509","1,330","2,669","1,553"
2021,1,60,"41,034","2,379","3,412","1,996","2,444","1,828","6,397","2,800","2,532","1,612","1,351","2,604","1,340","2,697","2,315","1,398","2,296","1,633"
2021,1,70,"24,951","1,668","1,889","1,361","1,558","1,049","3,555","1,521","1,576",900,768,"1,565",973,"1,683","1,431","1,000","1,363","1,091"
2021,1,80,"9,540",630,746,534,622,373,"1,404",542,531,299,252,592,348,630,549,470,550,468
2021,1,90,"1,144",64,112,50,60,53,192,80,65,40,37,53,32,95,56,52,57,46
2021,1,100,134,11,14,9,6,7,6,9,6,10,2,15,4,11,5,12,2,5
2021,2,총,"266,989","15,957","32,960","12,600","16,937","15,625","44,869","17,247","12,507","8,706","8,271","13,688","6,954","13,223","13,995","8,807","15,937","8,706"
2021,2,0,"17,760",529,"2,786","1,038","1,069","1,783","3,416","1,407",497,533,499,687,284,629,761,351,"1,150",341
2021,2,10,"22,896",918,"3,141",874,"1,413","1,536","5,160","1,777",911,635,773,969,490,896,"1,198",381,"1,290",534
2021,2,20,"34,995","3,601","6,280","1,233","2,696","1,744","4,948","1,660","1,426",931,"1,024","1,534",660,"1,295","1,707","1,311","1,924","1,021"
2021,2,30,"29,855","1,836","4,235","1,759","1,957","2,207","4,129","1,832","1,156","1,033",807,"1,382",638,"1,259","1,295","1,310","2,180",840
2021,2,40,"41,706","2,075","5,675","1,886","2,626","2,779","7,736","2,877","1,644","1,338","1,266","1,962","1,037","1,851","2,157","1,196","2,435","1,166"
2021,2,50,"42,761","2,249","4,630","1,855","2,479","2,256","7,884","2,722","2,152","1,367","1,479","2,328","1,151","2,156","2,516","1,328","2,664","1,545"
2021,2,60,"41,121","2,360","3,440","1,997","2,451","1,833","6,411","2,803","2,531","1,617","1,362","2,599","1,342","2,705","2,313","1,400","2,314","1,643"
2021,2,70,"24,966","1,679","1,894","1,361","1,554","1,050","3,568","1,531","1,579",892,763,"1,567",958,"1,689","1,430",996,"1,364","1,091"
2021,2,80,"9,627",635,751,537,626,376,"1,411",548,540,308,257,591,359,635,554,469,558,472
2021,2,90,"1,169",64,115,51,60,54,200,81,65,42,39,54,31,97,59,53,56,48
2021,2,100,133,11,13,9,6,7,6,9,6,10,2,15,4,11,5,12,2,5
2021,3,총,"265,759","15,940","32,953","12,543","16,884","15,575","44,764","17,067","12,468","8,653","8,235","13,555","6,913","13,098","13,878","8,655","15,918","8,660"
2021,3,0,"17,679",520,"2,767","1,036","1,065","1,781","3,398","1,399",496,521,505,668,278,633,760,358,"1,157",337
2021,3,10,"22,864",936,"3,185",883,"1,408","1,538","5,120","1,770",907,637,771,949,490,895,"1,194",375,"1,282",524
2021,3,20,"34,949","3,636","6,344","1,243","2,707","1,742","4,918","1,641","1,419",915,"1,028","1,519",655,"1,277","1,680","1,271","1,940","1,014"
2021,3,30,"29,642","1,846","4,181","1,737","1,949","2,176","4,125","1,822","1,140","1,011",811,"1,357",629,"1,249","1,292","1,316","2,167",834
2021,3,40,"41,455","2,043","5,661","1,877","2,609","2,772","7,705","2,836","1,644","1,340","1,259","1,946","1,028","1,833","2,143","1,179","2,426","1,154"
2021,3,50,"42,483","2,230","4,621","1,849","2,464","2,249","7,888","2,667","2,140","1,352","1,467","2,291","1,140","2,134","2,496","1,284","2,673","1,538"
2021,3,60,"41,023","2,334","3,449","1,997","2,437","1,834","6,435","2,789","2,532","1,625","1,342","2,595","1,352","2,697","2,284","1,383","2,302","1,636"
2021,3,70,"24,832","1,678","1,884","1,332","1,557","1,048","3,571","1,524","1,583",891,752,"1,569",941,"1,668","1,416",964,"1,356","1,098"
2021,3,80,"9,638",644,743,536,624,380,"1,405",537,546,313,260,591,367,625,558,474,562,473
2021,3,90,"1,129",63,114,51,62,54,198,76,58,40,40,55,31,84,55,48,53,47
2021,3,100,65,10,4,2,2,1,1,6,3,8,0,15,2,3,0,3,0,5
2021,4,총,"265,194","15,878","32,914","12,536","16,882","15,537","44,711","17,029","12,394","8,646","8,269","13,464","6,884","13,042","13,858","8,634","15,860","8,656"
2021,4,0,"17,540",512,"2,755","1,030","1,054","1,769","3,380","1,386",489,519,506,648,273,624,752,360,"1,146",337
2021,4,10,"22,790",936,"3,162",885,"1,408","1,545","5,091","1,768",887,637,775,948,485,896,"1,191",378,"1,268",530
2021,4,20,"34,872","3,628","6,369","1,243","2,715","1,728","4,901","1,632","1,416",907,"1,042","1,506",654,"1,264","1,675","1,256","1,932","1,004"
2021,4,30,"29,400","1,833","4,147","1,711","1,956","2,155","4,086","1,815","1,117","1,012",792,"1,336",629,"1,228","1,287","1,312","2,148",836
2021,4,40,"41,398","2,037","5,673","1,880","2,594","2,775","7,688","2,834","1,626","1,330","1,273","1,939","1,020","1,826","2,147","1,181","2,425","1,150"
2021,4,50,"42,386","2,210","4,607","1,843","2,491","2,237","7,923","2,657","2,127","1,345","1,468","2,269","1,131","2,112","2,488","1,274","2,663","1,541"
2021,4,60,"41,059","2,329","3,458","2,021","2,418","1,833","6,438","2,790","2,536","1,638","1,356","2,586","1,350","2,701","2,279","1,379","2,314","1,633"
2021,4,70,"24,859","1,670","1,895","1,332","1,558","1,053","3,584","1,526","1,584",894,756,"1,569",939,"1,674","1,418",959,"1,349","1,099"
2021,4,80,"9,691",649,731,539,625,388,"1,421",537,551,316,260,596,369,627,562,481,564,475
2021,4,90,"1,132",64,112,50,61,53,198,78,58,40,40,52,32,87,59,51,51,46
2021,4,100,67,10,5,2,2,1,1,6,3,8,1,15,2,3,0,3,0,5
2021,5,총,"264,679","15,853","32,817","12,531","16,870","15,516","44,677","16,984","12,345","8,635","8,260","13,388","6,840","13,033","13,846","8,647","15,804","8,633"
2021,5,0,"17,383",503,"2,731","1,022","1,055","1,756","3,359","1,370",482,513,505,634,268,616,743,356,"1,138",332
2021,5,10,"22,759",933,"3,152",886,"1,396","1,552","5,079","1,775",878,648,772,944,483,897,"1,189",379,"1,271",525
2021,5,20,"34,812","3,625","6,358","1,235","2,718","1,734","4,916","1,634","1,396",890,"1,039","1,478",647,"1,265","1,676","1,262","1,923","1,016"
2021,5,30,"29,144","1,818","4,106","1,709","1,950","2,126","4,052","1,783","1,101","1,009",788,"1,332",617,"1,218","1,285","1,319","2,108",823
2021,5,40,"41,275","2,033","5,669","1,882","2,591","2,769","7,671","2,825","1,626","1,335","1,270","1,924","1,007","1,816","2,135","1,172","2,418","1,132"
2021,5,50,"42,317","2,207","4,595","1,845","2,475","2,249","7,929","2,655","2,111","1,325","1,468","2,265","1,125","2,118","2,482","1,284","2,640","1,544"
2021,5,60,"41,115","2,337","3,465","2,018","2,429","1,837","6,451","2,794","2,543","1,651","1,353","2,576","1,350","2,690","2,292","1,377","2,326","1,626"
