년도,월,나이,남동구,구월1동,구월2동,구월3동,구월4동,간석1동,간석2동,간석3동,간석4동,만수1동,만수2동,만수3동,만수4동,만수5동,만수6동,장수서창동,서창2동,남촌도림동,논현1동,논현2동,논현고잔동
2020,2,20,"34,855","2,148","2,104","3,462","1,047","1,635","1,406","2,066","2,147","1,003","1,618","1,221","1,392","1,035","1,692","1,152","1,986","1,338","2,000","2,128","2,275"
2020,2,30,"37,248","2,687","2,566","2,509",820,"1,602","1,435","1,913","2,011",931,"1,602","1,140","1,419",872,"1,471","1,317","4,174","1,172","2,284","2,226","3,097"
2020,2,40,"44,432","2,726","3,558","2,089","1,167","1,765","1,913","2,117","2,273","1,130","2,150","1,425","1,805","1,029","2,071","1,774","3,354","1,710","2,924","2,866","4,586"
2020,2,50,"46,228","2,694","2,937","2,225","1,565","2,144","1,908","2,764","2,721","1,600","2,333","1,695","2,059","1,639","2,594","1,841","2,649","2,160","2,768","2,798","3,134"
2020,2,60,"31,982","1,807","2,009","1,437","1,147","1,671","1,485","1,957","1,868","1,274","1,721","1,179","1,553","1,385","1,626","1,411","1,901","1,413","1,669","1,827","1,642"
2020,2,70,"16,343",791,935,723,706,"1,018",769,"1,088",925,870,789,623,723,761,878,648,761,742,821,"1,032",740
2020,2,80,"7,884",417,353,305,342,502,339,484,472,525,333,256,409,298,523,288,338,367,397,547,389
2020,2,90,"1,535",90,86,47,57,101,69,87,93,71,72,53,75,55,120,51,65,62,99,104,78
2020,2,100,91,4,6,2,9,8,2,7,9,2,10,5,3,1,6,1,2,1,3,6,4
2020,3,총,"267,452","16,614","18,536","14,413","7,734","11,916","11,189","14,498","14,647","8,321","12,853","9,125","11,256","7,991","13,028","10,481","20,087","10,593","16,343","16,510","21,317"
2020,3,0,"21,738","1,707","1,823",762,355,667,849,880,933,378,968,693,812,351,799,890,"3,052",720,"1,508","1,306","2,285"
2020,3,10,"25,020","1,562","2,189",886,548,822,"1,019","1,139","1,209",546,"1,272",847,"1,001",538,"1,221","1,101","1,683",936,"1,820","1,671","3,010"
2020,3,20,"34,883","2,145","2,098","3,463","1,038","1,630","1,396","2,052","2,136","1,000","1,606","1,226","1,394","1,043","1,697","1,151","2,029","1,324","2,013","2,143","2,299"
2020,3,30,"37,029","2,665","2,542","2,489",814,"1,587","1,436","1,906","1,992",934,"1,579","1,117","1,416",866,"1,470","1,300","4,181","1,164","2,277","2,199","3,095"
2020,3,40,"44,326","2,716","3,546","2,083","1,139","1,740","1,912","2,109","2,275","1,117","2,148","1,422","1,795","1,025","2,064","1,775","3,385","1,694","2,924","2,854","4,603"
2020,3,50,"46,192","2,676","2,931","2,216","1,576","2,152","1,905","2,750","2,710","1,585","2,322","1,695","2,063","1,639","2,604","1,837","2,644","2,155","2,779","2,804","3,149"
2020,3,60,"32,244","1,829","2,028","1,441","1,149","1,685","1,480","1,988","1,884","1,287","1,742","1,190","1,549","1,398","1,634","1,426","1,920","1,416","1,699","1,840","1,659"
2020,3,70,"16,434",807,932,722,711,"1,023",779,"1,096",926,875,799,620,729,767,881,646,781,740,824,"1,030",746
2020,3,80,"7,955",413,353,303,341,500,342,486,476,522,336,258,417,305,533,302,343,383,400,553,389
2020,3,90,"1,537",90,87,47,54,102,69,84,97,75,70,52,77,58,119,52,66,60,96,104,78
2020,3,100,94,4,7,1,9,8,2,8,9,2,11,5,3,1,6,1,3,1,3,6,4
2020,4,총,"267,178","16,605","18,487","14,427","7,730","11,854","11,187","14,457","14,628","8,300","12,836","9,099","11,227","7,960","13,011","10,446","20,196","10,580","16,289","16,486","21,373"
2020,4,0,"21,585","1,694","1,805",765,362,642,850,884,926,377,960,677,807,338,783,885,"3,050",706,"1,480","1,303","2,291"
2020,4,10,"24,974","1,575","2,175",880,543,827,"1,018","1,125","1,193",542,"1,271",849,995,534,"1,225","1,099","1,698",933,"1,820","1,668","3,004"
2020,4,20,"34,795","2,136","2,099","3,451","1,036","1,625","1,388","2,035","2,128",986,"1,592","1,223","1,396","1,032","1,688","1,144","2,059","1,318","1,996","2,146","2,317"
2020,4,30,"36,882","2,646","2,524","2,501",811,"1,554","1,443","1,892","1,986",926,"1,566","1,109","1,406",864,"1,462","1,293","4,186","1,148","2,273","2,187","3,105"
2020,4,40,"44,248","2,711","3,545","2,089","1,123","1,731","1,901","2,109","2,261","1,108","2,143","1,436","1,789","1,016","2,066","1,758","3,420","1,688","2,895","2,842","4,617"
2020,4,50,"46,201","2,683","2,932","2,227","1,568","2,152","1,911","2,735","2,718","1,589","2,324","1,673","2,057","1,632","2,600","1,844","2,643","2,156","2,782","2,811","3,164"
2020,4,60,"32,373","1,839","2,029","1,437","1,161","1,690","1,475","2,006","1,897","1,291","1,750","1,199","1,555","1,404","1,647","1,417","1,936","1,438","1,710","1,839","1,653"
2020,4,70,"16,489",812,927,724,713,"1,023",782,"1,094",933,878,811,617,723,774,888,651,789,743,830,"1,029",748
2020,4,80,"7,985",411,360,305,349,501,349,484,478,520,340,258,418,305,526,302,342,385,403,554,395
2020,4,90,"1,551",93,84,47,55,102,68,85,99,81,68,53,78,60,120,52,70,63,97,101,75
2020,4,100,95,5,7,1,9,7,2,8,9,2,11,5,3,1,6,1,3,2,3,6,4
2020,5,총,"266,960","16,571","18,506","14,461","7,691","11,819","11,165","14,398","14,647","8,291","12,817","9,049","11,218","7,936","12,987","10,456","20,260","10,562","16,293","16,455","21,378"
2020,5,0,"21,466","1,678","1,803",753,354,640,839,880,924,381,963,668,799,333,781,886,"3,028",689,"1,490","1,291","2,286"
2020,5,10,"24,932","1,581","2,175",875,529,827,"1,025","1,113","1,197",539,"1,267",837,981,529,"1,219","1,093","1,713",936,"1,817","1,678","3,001"
2020,5,20,"34,709","2,117","2,112","3,482","1,034","1,608","1,384","2,016","2,115",980,"1,577","1,214","1,404","1,028","1,669","1,151","2,077","1,309","1,991","2,125","2,316"
2020,5,30,"36,716","2,629","2,512","2,507",796,"1,554","1,444","1,855","1,999",926,"1,558","1,087","1,395",859,"1,461","1,289","4,170","1,142","2,262","2,166","3,105"
2020,5,40,"44,164","2,708","3,538","2,077","1,106","1,726","1,894","2,113","2,256","1,099","2,133","1,437","1,780","1,005","2,053","1,770","3,446","1,681","2,899","2,840","4,603"
2020,5,50,"46,206","2,679","2,937","2,231","1,571","2,149","1,898","2,732","2,719","1,599","2,320","1,668","2,047","1,635","2,612","1,841","2,650","2,158","2,768","2,810","3,182"
2020,5,60,"32,561","1,854","2,040","1,451","1,168","1,685","1,477","2,007","1,913","1,296","1,771","1,203","1,579","1,394","1,653","1,421","1,958","1,448","1,731","1,845","1,667"
2020,5,70,"16,537",813,932,732,714,"1,023",783,"1,098",934,867,807,617,726,786,890,656,796,750,829,"1,036",748
2020,5,80,"8,025",411,367,306,352,501,350,490,487,522,338,258,427,303,527,296,348,380,406,560,396
2020,5,90,"1,548",96,82,46,58,99,68,85,94,80,72,55,77,63,117,52,72,67,97,98,70
2020,5,100,96,5,8,1,9,7,3,9,9,2,11,5,3,1,5,1,2,2,3,6,4
2020,6,총,"266,709","16,596","18,474","14,502","7,654","11,768","11,168","14,369","14,637","8,276","12,792","9,062","11,178","7,924","12,919","10,458","20,246","10,540","16,292","16,433","21,421"
2020,6,0,"21,334","1,671","1,789",753,349,632,833,869,920,384,946,673,789,335,765,884,"3,012",680,"1,494","1,283","2,273"
2020,6,10,"24,851","1,586","2,171",858,523,834,"1,030","1,106","1,187",526,"1,263",837,969,524,"1,212","1,085","1,723",930,"1,822","1,667","2,998"
2020,6,20,"34,671","2,129","2,109","3,507","1,037","1,601","1,386","2,019","2,107",971,"1,584","1,220","1,396","1,022","1,654","1,136","2,048","1,306","1,978","2,120","2,341"
2020,6,30,"36,541","2,604","2,503","2,518",775,"1,554","1,441","1,823","1,998",933,"1,543","1,082","1,395",859,"1,463","1,282","4,160","1,132","2,247","2,149","3,080"
2020,6,40,"44,155","2,717","3,540","2,089","1,099","1,705","1,892","2,115","2,255","1,088","2,136","1,439","1,763",999,"2,043","1,769","3,456","1,684","2,907","2,834","4,625"
2020,6,50,"46,075","2,681","2,930","2,227","1,555","2,143","1,893","2,733","2,705","1,576","2,311","1,661","2,042","1,618","2,587","1,852","2,650","2,144","2,762","2,813","3,192"
2020,6,60,"32,775","1,875","2,039","1,462","1,173","1,684","1,476","2,023","1,930","1,317","1,781","1,206","1,591","1,402","1,656","1,435","1,974","1,456","1,742","1,862","1,691"
2020,6,70,"16,614",815,939,731,724,"1,017",793,"1,091",946,873,810,624,729,792,889,659,803,761,831,"1,040",747
2020,6,80,"8,032",411,364,310,350,494,351,499,482,524,336,259,422,307,527,301,348,378,407,561,401
2020,6,90,"1,562",101,82,46,60,96,70,82,98,82,71,56,79,65,118,54,70,67,99,96,70
2020,6,100,99,6,8,1,9,8,3,9,9,2,11,5,3,1,5,1,2,2,3,8,3
2020,7,총,"266,237","16,525","18,457","14,500","7,655","11,725","11,163","14,331","14,644","8,209","12,781","9,045","11,158","7,895","12,899","10,431","20,209","10,510","16,230","16,425","21,445"
2020,7,0,"21,206","1,645","1,799",757,344,628,830,855,915,377,934,667,795,330,766,888,"3,000",671,"1,470","1,268","2,267"
2020,7,10,"24,745","1,580","2,163",852,519,832,"1,028","1,104","1,187",517,"1,249",832,965,519,"1,202","1,083","1,730",918,"1,811","1,649","3,005"
2020,7,20,"34,629","2,133","2,110","3,512","1,034","1,602","1,376","2,010","2,112",969,"1,581","1,227","1,388","1,020","1,650","1,117","2,031","1,311","1,964","2,123","2,359"
2020,7,30,"36,212","2,564","2,480","2,488",773,"1,537","1,432","1,799","1,979",920,"1,537","1,068","1,397",846,"1,450","1,266","4,112","1,122","2,233","2,152","3,057"
2020,7,40,"44,079","2,714","3,521","2,089","1,092","1,686","1,890","2,112","2,257","1,069","2,129","1,433","1,748","1,007","2,049","1,776","3,475","1,674","2,911","2,822","4,625"
2020,7,50,"46,050","2,678","2,928","2,230","1,562","2,138","1,905","2,726","2,706","1,571","2,316","1,666","2,034","1,602","2,574","1,841","2,642","2,149","2,757","2,819","3,206"
2020,7,60,"32,899","1,874","2,055","1,474","1,180","1,688","1,470","2,034","1,935","1,306","1,803","1,214","1,598","1,400","1,665","1,444","1,982","1,452","1,748","1,877","1,700"
2020,7,70,"16,675",818,941,735,729,"1,022",801,"1,096",958,870,814,621,728,798,890,659,808,766,830,"1,041",750
2020,7,80,"8,080",413,369,315,354,490,358,500,487,527,336,259,421,307,530,301,355,376,405,570,407
2020,7,90,"1,562",100,83,47,59,94,70,86,98,81,71,53,81,65,118,55,72,69,99,95,66
2020,7,100,100,6,8,1,9,8,3,9,10,2,11,5,3,1,5,1,2,2,2,9,3
2020,8,총,"265,772","16,470","18,398","14,439","7,605","11,678","11,152","14,290","14,695","8,595","12,743","8,987","11,072","7,865","12,852","10,376","20,185","10,476","16,165","16,310","21,419"
2020,8,0,"21,013","1,630","1,777",746,339,620,822,839,916,406,922,657,787,332,749,877,"2,979",660,"1,456","1,235","2,264"
2020,8,10,"24,650","1,571","2,161",841,511,821,"1,027","1,106","1,187",555,"1,242",823,938,518,"1,188","1,081","1,726",915,"1,794","1,635","3,010"
2020,8,20,"34,550","2,133","2,103","3,489","1,029","1,576","1,372","2,004","2,110","1,019","1,581","1,208","1,376","1,021","1,663","1,105","2,042","1,309","1,959","2,096","2,355"
2020,8,30,"35,983","2,531","2,469","2,469",756,"1,537","1,422","1,781","1,983",965,"1,535","1,065","1,387",829,"1,432","1,249","4,076","1,111","2,233","2,125","3,028"
2020,8,40,"43,988","2,697","3,512","2,087","1,079","1,687","1,885","2,108","2,269","1,139","2,121","1,429","1,728",999,"2,035","1,766","3,487","1,655","2,891","2,803","4,611"
2020,8,50,"45,952","2,674","2,911","2,225","1,544","2,131","1,909","2,705","2,707","1,647","2,303","1,651","2,015","1,596","2,563","1,826","2,627","2,147","2,746","2,817","3,208"
2020,8,60,"33,135","1,888","2,063","1,473","1,182","1,696","1,485","2,048","1,958","1,360","1,806","1,222","1,605","1,399","1,675","1,453","2,008","1,462","1,756","1,878","1,718"
2020,8,70,"16,714",826,941,745,733,"1,022",799,"1,096",964,889,815,617,727,794,892,659,807,770,831,"1,041",746
2020,8,80,"8,118",409,370,316,363,488,358,508,492,531,339,256,424,310,531,304,358,376,402,575,408
2020,8,90,"1,566",105,83,47,60,92,70,85,99,82,66,54,82,66,119,55,73,69,95,96,68
2020,8,100,103,6,8,1,9,8,3,10,10,2,13,5,3,1,5,1,2,2,2,9,3
2020,9,총,"265,447","16,441","18,337","14,410","7,556","11,627","11,135","14,244","14,697","8,904","12,687","8,941","11,015","7,867","12,850","10,324","20,149","10,456","16,104","16,317","21,386"
2020,9,0,"20,855","1,609","1,774",745,334,614,816,844,912,429,896,645,781,330,744,870,"2,956",656,"1,444","1,228","2,228"
2020,9,10,"24,586","1,574","2,152",832,504,818,"1,019","1,098","1,193",559,"1,247",817,930,504,"1,182","1,075","1,722",916,"1,782","1,635","3,027"
2020,9,20,"34,447","2,132","2,075","3,477","1,022","1,565","1,377","1,977","2,088","1,077","1,568","1,203","1,367","1,029","1,667","1,096","2,020","1,307","1,940","2,104","2,356"
2020,9,30,"35,703","2,512","2,451","2,472",744,"1,517","1,413","1,772","1,977","1,015","1,514","1,042","1,374",825,"1,410","1,227","4,037","1,101","2,208","2,101","2,991"
2020,9,40,"43,950","2,683","3,502","2,074","1,067","1,684","1,887","2,102","2,282","1,177","2,101","1,422","1,728","1,000","2,032","1,739","3,513","1,642","2,891","2,807","4,617"
2020,9,50,"45,938","2,682","2,912","2,221","1,531","2,117","1,893","2,692","2,692","1,711","2,306","1,658","1,993","1,583","2,550","1,831","2,630","2,151","2,742","2,832","3,211"
2020,9,60,"33,354","1,894","2,065","1,481","1,192","1,698","1,492","2,058","1,985","1,412","1,817","1,222","1,602","1,411","1,706","1,458","2,023","1,466","1,765","1,881","1,726"
2020,9,70,"16,780",832,942,744,737,"1,023",810,"1,096",961,895,815,620,735,801,896,664,819,764,833,"1,047",746
2020,9,80,"8,147",411,371,318,356,487,354,506,494,545,345,252,422,316,536,307,354,382,403,575,413
2020,9,90,"1,585",106,85,45,60,96,72,89,103,81,66,55,80,67,122,56,73,69,94,98,68
2020,9,100,102,6,8,1,9,8,2,10,10,3,12,5,3,1,5,1,2,2,2,9,3
2020,10,총,"265,295","16,448","18,323","14,415","7,493","11,575","11,147","14,221","14,695","8,982","12,653","8,960","11,008","7,844","12,843","10,332","20,119","10,456","16,085","16,304","21,392"
2020,10,0,"20,666","1,599","1,767",731,328,593,799,843,904,425,884,657,769,322,728,857,"2,937",649,"1,435","1,220","2,219"
2020,10,10,"24,575","1,566","2,141",834,498,824,"1,020","1,097","1,203",566,"1,255",815,928,498,"1,172","1,077","1,728",908,"1,772","1,641","3,032"
2020,10,20,"34,419","2,140","2,080","3,462","1,011","1,547","1,396","1,977","2,075","1,092","1,570","1,198","1,371","1,026","1,677","1,093","2,012","1,311","1,943","2,096","2,342"
2020,10,30,"35,514","2,501","2,438","2,487",722,"1,503","1,411","1,761","1,964","1,021","1,492","1,050","1,373",816,"1,401","1,221","4,010","1,102","2,184","2,086","2,971"
2020,10,40,"43,870","2,677","3,513","2,082","1,058","1,673","1,884","2,096","2,259","1,186","2,088","1,418","1,713","1,001","2,025","1,741","3,518","1,625","2,876","2,814","4,623"
2020,10,50,"45,956","2,689","2,901","2,215","1,520","2,115","1,901","2,678","2,702","1,727","2,307","1,663","1,995","1,584","2,545","1,833","2,628","2,154","2,759","2,823","3,217"
2020,10,60,"33,588","1,912","2,080","1,489","1,198","1,703","1,495","2,073","2,018","1,427","1,820","1,222","1,608","1,406","1,729","1,480","2,035","1,473","1,772","1,901","1,747"
2020,10,70,"16,825",835,936,748,736,"1,022",814,"1,093",962,896,816,617,743,807,900,666,824,771,844,"1,049",746
2020,10,80,"8,182",416,377,319,352,489,351,502,496,559,345,260,425,317,538,303,353,386,405,566,423
2020,10,90,"1,597",107,82,47,61,98,74,90,102,80,64,55,80,66,123,60,72,75,93,99,69
2020,10,100,103,6,8,1,9,8,2,11,10,3,12,5,3,1,5,1,2,2,2,9,3
2020,11,총,"264,914","16,432","18,248","14,422","7,473","11,523","11,144","14,196","14,707","8,973","12,638","8,955","11,035","7,830","12,801","10,293","20,113","10,428","16,053","16,303","21,347"
2020,11,0,"20,483","1,579","1,743",729,325,587,791,830,912,420,878,653,763,314,709,841,"2,927",643,"1,425","1,206","2,208"
2020,11,10,"24,485","1,569","2,128",830,489,818,"1,012","1,092","1,203",555,"1,251",804,931,495,"1,178","1,071","1,739",907,"1,770","1,630","3,013"
2020,11,20,"34,378","2,139","2,075","3,468","1,014","1,530","1,408","1,987","2,063","1,100","1,574","1,206","1,370","1,020","1,661","1,092","2,004","1,307","1,924","2,097","2,339"
2020,11,30,"35,321","2,464","2,401","2,484",724,"1,491","1,396","1,762","1,966","1,012","1,481","1,048","1,383",804,"1,388","1,200","3,996","1,105","2,179","2,078","2,959"
2020,11,40,"43,777","2,690","3,516","2,084","1,052","1,665","1,871","2,078","2,257","1,185","2,086","1,405","1,708","1,003","2,013","1,740","3,526","1,616","2,873","2,814","4,595"
2020,11,50,"45,863","2,694","2,887","2,209","1,503","2,102","1,904","2,674","2,695","1,730","2,305","1,668","2,007","1,589","2,534","1,832","2,607","2,133","2,757","2,820","3,213"
2020,11,60,"33,806","1,922","2,090","1,497","1,206","1,708","1,506","2,083","2,028","1,430","1,829","1,230","1,622","1,410","1,741","1,490","2,068","1,474","1,781","1,916","1,775"
2020,11,70,"16,849",842,937,749,733,"1,021",819,"1,085",969,900,809,618,738,813,904,662,822,777,845,"1,059",747
2020,11,80,"8,224",419,378,323,355,492,356,503,502,556,349,262,428,316,544,302,348,388,404,574,425
2020,11,90,"1,623",108,85,48,62,101,79,91,101,82,65,56,82,65,124,62,74,76,92,100,70
2020,11,100,105,6,8,1,10,8,2,11,11,3,11,5,3,1,5,1,2,2,3,9,3
2020,12,총,"264,431","16,399","18,177","14,431","7,447","11,477","11,110","14,165","14,684","8,989","12,619","8,923","11,036","7,814","12,775","10,223","20,127","10,389","16,061","16,311","21,274"
2020,12,0,"20,313","1,573","1,739",727,318,588,781,819,896,424,870,641,757,306,701,828,"2,913",634,"1,432","1,189","2,177"
2020,12,10,"24,332","1,567","2,121",820,480,805,"1,009","1,079","1,201",548,"1,252",789,921,487,"1,177","1,061","1,743",896,"1,758","1,616","3,002"
2020,12,20,"34,383","2,131","2,058","3,489","1,009","1,546","1,393","1,991","2,042","1,114","1,570","1,216","1,366","1,033","1,660","1,077","1,997","1,295","1,930","2,131","2,335"
2020,12,30,"35,132","2,444","2,385","2,495",732,"1,480","1,380","1,748","1,962","1,004","1,477","1,035","1,378",799,"1,368","1,192","3,977","1,100","2,170","2,077","2,929"
2020,12,40,"43,664","2,684","3,503","2,081","1,042","1,653","1,878","2,061","2,260","1,184","2,071","1,396","1,712",986,"2,001","1,730","3,541","1,617","2,879","2,804","4,581"
2020,12,50,"45,665","2,685","2,873","2,201","1,489","2,083","1,888","2,665","2,679","1,727","2,283","1,662","2,006","1,584","2,521","1,807","2,612","2,106","2,749","2,823","3,222"
2020,12,60,"34,060","1,938","2,095","1,497","1,212","1,699","1,516","2,105","2,039","1,445","1,845","1,244","1,644","1,417","1,766","1,502","2,091","1,498","1,798","1,927","1,782"
2020,12,70,"16,878",850,935,751,733,"1,018",828,"1,086",978,896,818,620,740,817,900,658,823,776,837,"1,066",748
2020,12,80,"8,276",411,375,323,358,493,357,512,515,561,356,260,425,320,551,305,354,388,410,574,428
2020,12,90,"1,620",110,84,46,64,103,78,88,100,83,66,55,84,64,125,62,74,77,95,95,67
2020,12,100,108,6,9,1,10,9,2,11,12,3,11,5,3,1,5,1,2,2,3,9,3
2021,1,총,"264,146","16,364","18,133","14,658","7,436","11,437","11,119","14,119","14,639","8,950","12,609","8,891","11,026","7,794","12,739","10,203","20,059","10,349","16,041","16,340","21,240"
2021,1,0,"20,095","1,546","1,714",756,309,570,772,813,881,419,864,638,750,310,691,817,"2,859",628,"1,413","1,176","2,169"
2021,1,10,"24,287","1,571","2,114",830,468,799,"1,010","1,069","1,203",537,"1,249",792,913,485,"1,180","1,058","1,755",888,"1,767","1,615","2,984"
2021,1,20,"34,287","2,135","2,053","3,526","1,015","1,535","1,399","1,967","2,034","1,110","1,568","1,208","1,364","1,027","1,650","1,072","1,975","1,289","1,901","2,140","2,319"
2021,1,30,"34,965","2,415","2,371","2,553",726,"1,473","1,370","1,741","1,944",996,"1,468","1,027","1,370",785,"1,366","1,193","3,934","1,084","2,164","2,077","2,908"
2021,1,40,"43,559","2,684","3,487","2,118","1,033","1,638","1,884","2,061","2,246","1,180","2,069","1,390","1,708",978,"1,984","1,713","3,559","1,596","2,882","2,785","4,564"
2021,1,50,"45,615","2,684","2,872","2,219","1,482","2,086","1,878","2,632","2,661","1,704","2,277","1,657","2,007","1,578","2,518","1,804","2,613","2,103","2,749","2,839","3,252"
2021,1,60,"34,339","1,954","2,118","1,525","1,227","1,701","1,527","2,133","2,067","1,454","1,851","1,247","1,651","1,432","1,767","1,513","2,102","1,503","1,821","1,949","1,797"
2021,1,70,"16,907",849,936,752,733,"1,028",833,"1,086",973,897,827,611,741,815,900,661,827,785,831,"1,070",752
2021,1,80,"8,352",409,376,333,366,494,364,515,524,565,358,262,435,315,551,311,359,391,416,581,427
2021,1,90,"1,632",110,85,45,67,104,80,91,94,85,67,54,85,68,126,60,74,79,94,99,65
2021,1,100,108,7,7,1,10,9,2,11,12,3,11,5,2,1,6,1,2,3,3,9,3
2021,2,총,"263,777","16,287","18,060","14,781","7,446","11,426","11,091","14,103","14,648","8,939","12,548","8,869","11,016","7,766","12,712","10,168","20,025","10,318","16,029","16,366","21,179"
2021,2,0,"19,887","1,517","1,693",768,311,555,774,809,882,419,849,628,742,296,683,802,"2,838",605,"1,406","1,166","2,144"
2021,2,10,"24,177","1,576","2,095",840,466,792,997,"1,062","1,193",533,"1,236",799,904,490,"1,163","1,057","1,764",893,"1,750","1,606","2,961"
2021,2,20,"34,199","2,128","2,048","3,547","1,034","1,543","1,387","1,957","2,033","1,094","1,560","1,200","1,344","1,024","1,646","1,074","1,928","1,285","1,905","2,142","2,320"
2021,2,30,"34,723","2,375","2,356","2,594",722,"1,454","1,363","1,733","1,943","1,007","1,440","1,014","1,368",782,"1,346","1,178","3,893","1,066","2,147","2,073","2,869"
2021,2,40,"43,469","2,695","3,452","2,133","1,023","1,631","1,875","2,056","2,241","1,176","2,064","1,395","1,707",962,"1,976","1,695","3,598","1,584","2,872","2,799","4,535"
2021,2,50,"45,635","2,673","2,867","2,231","1,481","2,082","1,881","2,640","2,657","1,689","2,274","1,650","1,997","1,563","2,518","1,814","2,626","2,107","2,758","2,839","3,288"
2021,2,60,"34,632","1,956","2,138","1,537","1,237","1,725","1,534","2,135","2,095","1,476","1,857","1,250","1,686","1,445","1,795","1,518","2,108","1,518","1,842","1,975","1,805"
2021,2,70,"16,904",844,936,753,728,"1,025",833,"1,088",968,892,830,610,739,812,899,663,834,786,835,"1,064",765
2021,2,80,"8,397",407,381,331,368,505,371,519,527,565,360,265,444,321,553,306,357,390,416,589,422
2021,2,90,"1,645",109,85,46,67,105,74,93,97,85,67,53,83,70,127,60,77,81,95,104,67
2021,2,100,109,7,9,1,9,9,2,11,12,3,11,5,2,1,6,1,2,3,3,9,3
2021,3,총,"263,168","16,274","18,089","14,921","7,405","11,323","11,047","14,017","14,572","8,897","12,485","8,830","10,964","7,748","12,661","10,137","19,998","10,313","16,004","16,351","21,132"
2021,3,0,"19,752","1,511","1,678",772,299,548,763,806,884,416,844,623,729,297,673,798,"2,823",603,"1,391","1,156","2,138"
2021,3,10,"24,114","1,586","2,107",856,468,772,"1,000","1,038","1,187",525,"1,230",796,890,494,"1,161","1,047","1,783",889,"1,740","1,604","2,941"
2021,3,20,"34,085","2,128","2,067","3,592","1,039","1,538","1,375","1,944","2,019","1,099","1,547","1,195","1,335","1,003","1,605","1,058","1,899","1,279","1,905","2,129","2,329"
2021,3,30,"34,591","2,367","2,361","2,629",701,"1,433","1,362","1,727","1,930","1,000","1,426","1,014","1,357",783,"1,351","1,181","3,860","1,061","2,140","2,069","2,839"
2021,3,40,"43,272","2,682","3,421","2,166","1,020","1,629","1,866","2,013","2,217","1,174","2,050","1,383","1,689",956,"1,962","1,689","3,615","1,574","2,874","2,785","4,507"
2021,3,50,"45,455","2,662","2,885","2,231","1,476","2,054","1,870","2,621","2,636","1,668","2,265","1,633","1,982","1,553","2,509","1,802","2,624","2,104","2,744","2,841","3,295"
2021,3,60,"34,896","1,978","2,163","1,538","1,246","1,727","1,533","2,158","2,104","1,477","1,861","1,258","1,705","1,455","1,824","1,535","2,114","1,546","1,857","1,999","1,818"
2021,3,70,"16,903",844,925,759,726,"1,016",831,"1,088",972,892,836,609,736,811,894,664,842,784,844,"1,064",766
2021,3,80,"8,414",404,395,329,357,506,372,528,514,564,354,264,458,323,556,300,358,387,417,597,431
2021,3,90,"1,619",108,82,48,68,97,73,88,100,81,70,52,80,71,122,62,78,83,91,100,65
2021,3,100,67,4,5,1,5,3,2,6,9,1,2,3,3,2,4,1,2,3,1,7,3
