년도,월,나이,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020,5,10,"13,235","1,551",371,"1,754",563,790,"1,535",486,"2,096",938,561,"1,496",533,561
2020,5,20,"17,595","2,196",653,"1,313","1,298",998,"2,860",709,"1,773","1,000",948,"1,844",912,"1,091"
2020,5,30,"17,096","2,241",533,"1,475","1,591",786,"2,721",710,"1,407","1,031",929,"1,671",967,"1,034"
2020,5,40,"21,149","2,512",697,"2,398","1,511","1,032","2,717",877,"2,614","1,575","1,118","2,115","1,042",941
2020,5,50,"21,406","2,510",899,"1,744","1,449","1,209","3,173",822,"2,333","1,306","1,237","2,317","1,160","1,247"
2020,5,60,"18,648","2,229",965,"1,197","1,199","1,150","2,705",633,"1,529","1,152","1,281","2,070","1,230","1,308"
2020,5,70,"10,091","1,190",580,672,716,737,"1,363",405,694,693,720,991,645,685
2020,5,80,"2,985",345,214,205,254,273,428,143,129,188,215,264,168,159
2020,5,90,238,30,17,17,24,25,31,6,13,9,17,23,14,12
2020,5,100,23,8,0,1,3,3,1,1,1,0,2,0,2,1
2020,6,총,"132,759","16,171","5,135","12,113","9,154","7,430","18,864","5,207","13,929","8,842","7,499","13,758","7,166","7,491"
2020,6,0,"10,367","1,383",203,"1,340",521,442,"1,324",426,"1,340",909,465,"1,038",523,453
2020,6,10,"13,201","1,543",368,"1,751",564,797,"1,534",485,"2,083",945,559,"1,491",524,557
2020,6,20,"17,514","2,175",646,"1,307","1,303",990,"2,865",710,"1,776",995,943,"1,814",904,"1,086"
2020,6,30,"17,037","2,242",529,"1,479","1,589",782,"2,727",697,"1,388","1,025",938,"1,651",956,"1,034"
2020,6,40,"21,164","2,497",703,"2,393","1,518","1,035","2,710",877,"2,634","1,596","1,114","2,108","1,035",944
2020,6,50,"21,349","2,509",905,"1,741","1,457","1,197","3,154",822,"2,324","1,315","1,234","2,296","1,157","1,238"
2020,6,60,"18,710","2,224",967,"1,203","1,210","1,155","2,711",632,"1,549","1,152","1,279","2,073","1,238","1,317"
2020,6,70,"10,160","1,212",584,674,715,736,"1,373",408,689,705,730,998,646,690
2020,6,80,"2,991",346,212,206,251,269,433,143,133,190,217,265,167,159
2020,6,90,243,32,18,18,23,24,32,6,12,10,18,24,14,12
2020,6,100,23,8,0,1,3,3,1,1,1,0,2,0,2,1
2020,7,총,"132,823","16,137","5,109","12,115","9,170","7,412","19,125","5,212","13,844","8,844","7,496","13,717","7,169","7,473"
2020,7,0,"10,363","1,377",199,"1,338",521,441,"1,356",428,"1,319",915,465,"1,032",527,445
2020,7,10,"13,188","1,527",360,"1,761",566,793,"1,545",473,"2,083",947,554,"1,486",526,567
2020,7,20,"17,501","2,167",644,"1,299","1,310",984,"2,907",711,"1,766",993,945,"1,803",906,"1,066"
2020,7,30,"17,032","2,227",523,"1,478","1,595",776,"2,782",713,"1,368","1,027",930,"1,634",949,"1,030"
2020,7,40,"21,154","2,491",700,"2,383","1,507","1,030","2,752",880,"2,616","1,599","1,110","2,104","1,034",948
2020,7,50,"21,333","2,503",900,"1,754","1,463","1,199","3,180",817,"2,317","1,292","1,231","2,300","1,148","1,229"
2020,7,60,"18,771","2,235",969,"1,199","1,212","1,158","2,733",629,"1,545","1,161","1,296","2,062","1,247","1,325"
2020,7,70,"10,193","1,217",582,673,715,731,"1,397",411,687,708,728,"1,004",646,694
2020,7,80,"3,023",353,213,212,254,273,438,143,131,193,218,268,170,157
2020,7,90,243,32,19,18,24,24,34,6,11,9,17,24,14,11
2020,7,100,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020,8,총,"132,551","16,069","5,072","12,094","9,142","7,408","19,202","5,198","13,816","8,833","7,459","13,674","7,151","7,433"
2020,8,0,"10,320","1,358",193,"1,345",519,436,"1,356",431,"1,314",916,462,"1,020",530,440
2020,8,10,"13,159","1,520",360,"1,748",568,794,"1,558",465,"2,076",954,549,"1,488",515,564
2020,8,20,"17,369","2,138",632,"1,286","1,290",991,"2,900",703,"1,759",992,931,"1,795",898,"1,054"
2020,8,30,"16,948","2,209",521,"1,474","1,594",770,"2,804",711,"1,356","1,016",918,"1,623",935,"1,017"
2020,8,40,"21,137","2,480",697,"2,380","1,500","1,030","2,768",880,"2,612","1,606","1,112","2,100","1,031",941
2020,8,50,"21,235","2,494",889,"1,751","1,454","1,183","3,174",808,"2,311","1,284","1,231","2,289","1,145","1,222"
2020,8,60,"18,877","2,252",969,"1,212","1,225","1,171","2,754",633,"1,564","1,156","1,295","2,060","1,256","1,330"
2020,8,70,"10,203","1,217",582,668,710,735,"1,409",416,687,703,728,"1,007",648,693
2020,8,80,"3,034",358,210,213,256,270,444,143,125,197,214,268,175,161
2020,8,90,247,35,19,17,23,25,34,7,11,9,17,24,16,10
2020,8,100,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020,9,총,"132,456","16,073","5,070","12,064","9,170","7,390","19,246","5,199","13,765","8,838","7,424","13,642","7,155","7,420"
2020,9,0,"10,290","1,351",194,"1,348",526,434,"1,359",429,"1,301",911,455,"1,006",532,444
2020,9,10,"13,115","1,513",363,"1,739",564,782,"1,551",466,"2,066",967,547,"1,479",514,564
2020,9,20,"17,335","2,142",628,"1,276","1,294",993,"2,910",703,"1,757",992,922,"1,783",895,"1,040"
2020,9,30,"16,868","2,188",524,"1,460","1,586",762,"2,810",704,"1,337","1,017",909,"1,632",933,"1,006"
2020,9,40,"21,116","2,496",691,"2,370","1,504","1,028","2,777",881,"2,612","1,599","1,101","2,081","1,027",949
2020,9,50,"21,262","2,504",893,"1,750","1,468","1,182","3,172",816,"2,298","1,289","1,227","2,292","1,149","1,222"
2020,9,60,"18,918","2,260",968,"1,211","1,233","1,178","2,768",633,"1,570","1,152","1,298","2,058","1,261","1,328"
2020,9,70,"10,218","1,214",575,674,713,734,"1,414",412,685,702,732,"1,017",650,696
2020,9,80,"3,061",362,215,217,256,269,450,146,127,200,214,270,176,159
2020,9,90,251,35,19,19,23,25,34,8,11,9,17,24,16,11
2020,9,100,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020,10,총,"132,262","16,113","5,020","12,032","9,171","7,384","19,230","5,208","13,733","8,822","7,425","13,605","7,109","7,410"
2020,10,0,"10,241","1,355",193,"1,354",522,437,"1,356",425,"1,299",896,446,988,522,448
2020,10,10,"13,107","1,516",361,"1,737",564,781,"1,530",468,"2,071",987,545,"1,479",509,559
2020,10,20,"17,308","2,146",615,"1,263","1,313",991,"2,900",709,"1,746",983,921,"1,789",891,"1,041"
2020,10,30,"16,732","2,191",513,"1,444","1,573",752,"2,809",698,"1,323",997,899,"1,612",920,"1,001"
2020,10,40,"21,084","2,512",684,"2,372","1,483","1,024","2,788",874,"2,620","1,609","1,093","2,066","1,018",941
2020,10,50,"21,237","2,485",883,"1,750","1,475","1,193","3,171",829,"2,284","1,284","1,241","2,283","1,143","1,216"
2020,10,60,"18,964","2,274",964,"1,194","1,247","1,175","2,777",634,"1,573","1,156","1,305","2,065","1,259","1,341"
2020,10,70,"10,240","1,225",573,677,711,735,"1,414",411,678,702,742,"1,029",651,692
2020,10,80,"3,076",364,216,222,258,268,450,152,127,200,214,271,177,157
2020,10,90,251,37,18,19,22,25,34,7,11,8,17,23,17,13
2020,10,100,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020,11,총,"132,022","16,088","5,000","12,046","9,159","7,379","19,210","5,182","13,696","8,806","7,379","13,595","7,088","7,394"
2020,11,0,"10,227","1,357",188,"1,358",511,437,"1,357",428,"1,314",878,442,986,527,444
2020,11,10,"13,045","1,504",357,"1,735",563,778,"1,519",466,"2,059",999,536,"1,479",499,551
2020,11,20,"17,220","2,129",615,"1,264","1,319",985,"2,887",697,"1,732",977,907,"1,785",883,"1,040"
2020,11,30,"16,646","2,187",517,"1,441","1,558",761,"2,791",695,"1,309",982,889,"1,593",929,994
2020,11,40,"21,072","2,500",670,"2,379","1,478","1,026","2,797",864,"2,626","1,617","1,097","2,065","1,013",940
2020,11,50,"21,178","2,491",883,"1,754","1,463","1,183","3,148",824,"2,284","1,278","1,226","2,289","1,134","1,221"
2020,11,60,"18,993","2,285",963,"1,185","1,270","1,174","2,795",636,"1,553","1,161","1,308","2,067","1,252","1,344"
2020,11,70,"10,270","1,222",573,686,715,734,"1,425",412,678,705,740,"1,036",653,691
2020,11,80,"3,100",367,218,225,258,272,456,152,130,201,215,271,180,155
2020,11,90,249,38,16,19,21,26,34,7,10,8,17,24,16,13
2020,11,100,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020,12,총,"131,735","16,112","4,947","12,045","9,172","7,368","19,179","5,155","13,628","8,782","7,357","13,555","7,058","7,377"
2020,12,0,"10,177","1,351",181,"1,362",510,436,"1,351",423,"1,316",878,438,980,512,439
2020,12,10,"13,001","1,505",353,"1,737",566,778,"1,519",459,"2,025","1,001",531,"1,467",499,561
2020,12,20,"17,101","2,120",604,"1,262","1,319",978,"2,849",697,"1,722",968,904,"1,774",873,"1,031"
2020,12,30,"16,579","2,195",515,"1,440","1,551",754,"2,783",691,"1,308",969,894,"1,582",921,976
2020,12,40,"21,064","2,512",664,"2,373","1,485","1,030","2,801",861,"2,615","1,617","1,080","2,067","1,006",953
2020,12,50,"21,109","2,488",871,"1,749","1,470","1,178","3,139",810,"2,275","1,271","1,232","2,272","1,139","1,215"
2020,12,60,"19,047","2,294",959,"1,193","1,271","1,175","2,826",640,"1,547","1,167","1,304","2,081","1,253","1,337"
2020,12,70,"10,262","1,226",564,685,713,735,"1,420",410,679,701,742,"1,036",656,695
2020,12,80,"3,120",375,219,225,261,276,454,156,130,202,212,272,183,155
2020,12,90,253,38,17,19,23,25,36,7,10,8,18,24,14,14
2020,12,100,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2021,1,총,"131,698","16,083","4,926","12,186","9,199","7,340","19,172","5,153","13,569","8,783","7,357","13,539","7,030","7,361"
2021,1,0,"10,118","1,330",179,"1,390",496,433,"1,344",420,"1,310",875,432,966,506,437
2021,1,10,"13,014","1,503",349,"1,755",565,771,"1,514",464,"2,024","1,004",534,"1,471",498,562
2021,1,20,"17,045","2,109",602,"1,276","1,331",963,"2,838",685,"1,712",958,911,"1,771",866,"1,023"
2021,1,30,"16,516","2,183",508,"1,442","1,570",763,"2,783",687,"1,282",966,892,"1,554",910,976
2021,1,40,"21,058","2,506",655,"2,413","1,465","1,025","2,789",862,"2,614","1,636","1,076","2,073",994,950
2021,1,50,"21,082","2,487",868,"1,760","1,484","1,172","3,131",819,"2,254","1,266","1,229","2,275","1,138","1,199"
2021,1,60,"19,158","2,306",968,"1,220","1,280","1,180","2,845",644,"1,545","1,165","1,304","2,094","1,254","1,353"
2021,1,70,"10,271","1,234",562,682,714,728,"1,430",404,682,703,742,"1,032",665,693
2021,1,80,"3,156",377,216,230,267,277,460,160,135,202,217,278,184,153
2021,1,90,258,40,19,18,24,25,37,7,10,8,18,25,13,14
2021,1,100,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2021,2,총,"131,712","16,108","4,891","12,256","9,225","7,326","19,169","5,162","13,558","8,763","7,346","13,532","7,032","7,344"
2021,2,0,"10,101","1,322",174,"1,394",499,428,"1,337",425,"1,319",878,435,955,502,433
2021,2,10,"12,991","1,507",344,"1,769",565,763,"1,506",466,"2,006","1,005",518,"1,475",503,564
2021,2,20,"16,938","2,096",603,"1,287","1,326",959,"2,809",678,"1,701",940,915,"1,749",866,"1,009"
2021,2,30,"16,479","2,200",496,"1,428","1,584",751,"2,791",689,"1,270",953,896,"1,551",898,972
2021,2,40,"21,153","2,512",651,"2,454","1,478","1,027","2,807",861,"2,624","1,646","1,063","2,076","1,003",951
2021,2,50,"21,033","2,482",865,"1,760","1,478","1,169","3,123",823,"2,249","1,262","1,227","2,274","1,128","1,193"
2021,2,60,"19,218","2,312",970,"1,229","1,281","1,191","2,851",646,"1,552","1,163","1,309","2,097","1,265","1,352"
2021,2,70,"10,311","1,248",554,684,719,728,"1,438",404,682,703,743,"1,042",666,700
2021,2,80,"3,202",381,214,233,267,283,467,161,144,205,220,286,186,155
2021,2,90,264,40,20,18,25,24,39,8,10,8,18,27,13,14
2021,2,100,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2021,3,총,"131,207","16,055","4,845","12,225","9,241","7,278","19,131","5,156","13,502","8,675","7,325","13,467","7,000","7,307"
2021,3,0,"10,033","1,310",170,"1,396",501,422,"1,328",425,"1,313",864,429,943,502,430
2021,3,10,"12,933","1,509",343,"1,768",566,752,"1,508",466,"1,990","1,002",520,"1,462",494,553
2021,3,20,"16,905","2,092",597,"1,277","1,382",962,"2,802",673,"1,692",923,911,"1,743",860,991
2021,3,30,"16,399","2,180",493,"1,419","1,590",745,"2,777",676,"1,263",932,897,"1,551",894,982
2021,3,40,"21,082","2,518",644,"2,454","1,475","1,018","2,805",861,"2,596","1,629","1,057","2,073","1,002",950
2021,3,50,"20,892","2,462",851,"1,758","1,468","1,153","3,109",826,"2,256","1,265","1,218","2,251","1,120","1,155"
2021,3,60,"19,221","2,319",958,"1,223","1,267","1,198","2,846",648,"1,562","1,160","1,308","2,093","1,262","1,377"
2021,3,70,"10,280","1,236",558,684,709,719,"1,445",408,673,692,749,"1,042",666,699
2021,3,80,"3,207",391,211,231,261,281,472,164,149,202,220,283,186,156
2021,3,90,245,37,20,15,21,25,38,8,8,6,14,26,13,14
2021,3,100,10,1,0,0,1,3,1,1,0,0,2,0,1,0
2021,4,총,"130,880","16,007","4,816","12,216","9,259","7,242","19,093","5,135","13,456","8,643","7,314","13,423","6,987","7,289"
2021,4,0,"9,950","1,295",170,"1,384",506,413,"1,321",420,"1,297",854,422,936,502,430
2021,4,10,"12,910","1,516",340,"1,765",572,745,"1,510",467,"1,980","1,005",517,"1,457",485,551
2021,4,20,"16,836","2,069",587,"1,284","1,377",955,"2,790",671,"1,694",919,910,"1,722",862,996
2021,4,30,"16,331","2,177",498,"1,410","1,600",729,"2,769",669,"1,253",922,896,"1,550",891,967
2021,4,40,"21,032","2,513",639,"2,446","1,471","1,016","2,801",861,"2,592","1,621","1,049","2,071","1,000",952
2021,4,50,"20,819","2,444",832,"1,761","1,470","1,153","3,095",819,"2,251","1,265","1,225","2,236","1,122","1,146"
2021,4,60,"19,209","2,318",962,"1,224","1,262","1,198","2,846",646,"1,561","1,156","1,309","2,094","1,249","1,384"
2021,4,70,"10,293","1,245",553,686,705,716,"1,452",406,670,693,752,"1,047",675,693
2021,4,80,"3,251",393,215,241,274,288,470,167,152,203,220,285,188,155
2021,4,90,236,36,20,15,20,25,38,8,6,5,12,25,11,15
2021,4,100,13,1,0,0,2,4,1,1,0,0,2,0,2,0
2021,5,총,"130,672","15,985","4,782","12,246","9,295","7,211","19,029","5,115","13,436","8,639","7,300","13,380","6,954","7,300"
2021,5,0,"9,904","1,299",166,"1,377",502,405,"1,324",420,"1,284",845,422,930,494,436
2021,5,10,"12,876","1,509",340,"1,777",565,737,"1,500",466,"1,976","1,004",513,"1,460",488,541
2021,5,20,"16,778","2,070",577,"1,287","1,400",956,"2,755",664,"1,693",934,902,"1,706",847,987
2021,5,30,"16,266","2,151",491,"1,394","1,609",721,"2,776",662,"1,252",918,891,"1,534",888,979
2021,5,40,"20,957","2,508",634,"2,447","1,462","1,019","2,787",848,"2,588","1,610","1,039","2,063",995,957
2021,5,50,"20,770","2,438",830,"1,783","1,483","1,147","3,068",830,"2,237","1,264","1,220","2,217","1,119","1,134"
2021,5,60,"19,271","2,322",955,"1,230","1,269","1,201","2,855",646,"1,574","1,154","1,325","2,106","1,238","1,396"
2021,5,70,"10,333","1,259",554,692,704,705,"1,454",404,672,700,751,"1,053",682,703
2021,5,80,"3,271",392,217,244,279,291,470,166,155,205,223,286,191,152
2021,5,90,233,36,18,15,20,25,39,8,5,5,12,25,10,15
2021,5,100,13,1,0,0,2,4,1,1,0,0,2,0,2,0
2021,6,총,"130,542","15,988","4,748","12,231","9,340","7,191","19,004","5,118","13,422","8,630","7,266","13,366","6,962","7,276"
2021,6,0,"9,879","1,295",170,"1,368",505,404,"1,320",415,"1,287",836,425,926,495,433
2021,6,10,"12,847","1,503",332,"1,791",572,731,"1,490",467,"1,958","1,004",509,"1,460",493,537
2021,6,20,"16,732","2,068",562,"1,275","1,416",952,"2,755",659,"1,697",946,883,"1,693",845,981
2021,6,30,"16,203","2,139",487,"1,384","1,626",713,"2,756",663,"1,259",899,888,"1,524",888,977
2021,6,40,"20,964","2,532",627,"2,437","1,463","1,012","2,795",853,"2,578","1,607","1,031","2,065","1,004",960
2021,6,50,"20,726","2,437",831,"1,785","1,487","1,150","3,057",826,"2,227","1,264","1,208","2,211","1,113","1,130"
2021,6,60,"19,328","2,325",955,"1,243","1,268","1,204","2,867",653,"1,581","1,164","1,334","2,117","1,234","1,383"
2021,6,70,"10,323","1,259",550,688,702,704,"1,446",406,676,701,747,"1,055",686,703
2021,6,80,"3,294",394,216,245,279,291,478,167,155,204,227,289,192,157
2021,6,90,233,35,18,15,20,26,39,8,4,5,12,26,10,15
2021,6,100,13,1,0,0,2,4,1,1,0,0,2,0,2,0
2021,7,총,"130,335","15,936","4,735","12,228","9,383","7,149","18,943","5,119","13,389","8,638","7,267","13,339","6,931","7,278"
2021,7,0,"9,839","1,289",166,"1,353",511,396,"1,308",409,"1,286",844,423,928,497,429
2021,7,10,"12,817","1,496",327,"1,806",565,727,"1,490",476,"1,944",999,512,"1,449",485,541
2021,7,20,"16,644","2,043",564,"1,267","1,425",944,"2,729",658,"1,695",953,875,"1,678",838,975
2021,7,30,"16,146","2,126",481,"1,375","1,659",708,"2,729",660,"1,250",891,889,"1,521",871,986
2021,7,40,"20,907","2,521",626,"2,430","1,460",994,"2,782",855,"2,570","1,602","1,031","2,061","1,013",962
2021,7,50,"20,713","2,443",833,"1,788","1,483","1,142","3,069",819,"2,226","1,273","1,206","2,204","1,102","1,125"
2021,7,60,"19,366","2,329",958,"1,261","1,268","1,211","2,871",657,"1,580","1,168","1,334","2,122","1,229","1,378"
2021,7,70,"10,350","1,256",548,685,708,703,"1,448",410,681,699,753,"1,060",690,709
2021,7,80,"3,304",399,213,247,282,294,475,166,153,204,230,290,193,158
2021,7,90,235,33,19,16,20,26,41,8,4,5,12,25,11,15
2021,7,100,14,1,0,0,2,4,1,1,0,0,2,1,2,0
2021,8,총,"130,155","15,899","4,713","12,236","9,404","7,120","18,918","5,116","13,349","8,664","7,245","13,295","6,925","7,271"
2021,8,0,"9,760","1,282",166,"1,341",507,389,"1,297",413,"1,269",838,418,918,494,428
2021,8,10,"12,807","1,501",323,"1,814",563,725,"1,481",474,"1,937","1,010",506,"1,447",488,538
2021,8,20,"16,587","2,026",559,"1,269","1,433",933,"2,732",655,"1,679",945,879,"1,667",838,972
2021,8,30,"16,052","2,096",479,"1,358","1,666",704,"2,692",657,"1,252",898,883,"1,512",870,985
2021,8,40,"20,863","2,524",621,"2,426","1,462",984,"2,793",850,"2,556","1,608","1,030","2,050","1,003",956
2021,8,50,"20,724","2,448",834,"1,798","1,488","1,151","3,051",825,"2,236","1,285","1,191","2,191","1,104","1,122"
2021,8,60,"19,403","2,332",956,"1,275","1,268","1,208","2,897",656,"1,573","1,167","1,333","2,130","1,227","1,381"
2021,8,70,"10,371","1,252",544,691,711,703,"1,452",409,689,698,749,"1,067",690,716
2021,8,80,"3,338",405,213,247,285,293,481,168,154,209,241,287,198,157
2021,8,90,236,32,18,17,19,26,42,8,4,6,12,25,11,16
2021,8,100,14,1,0,0,2,4,0,1,0,0,3,1,2,0
2021,9,총,"130,024","15,860","4,693","12,234","9,432","7,095","18,913","5,115","13,310","8,684","7,233","13,286","6,889","7,280"
2021,9,0,"9,732","1,277",168,"1,334",519,385,"1,288",408,"1,264",837,424,914,486,428
2021,9,10,"12,786","1,497",319,"1,815",565,725,"1,481",473,"1,927","1,020",502,"1,442",485,535
2021,9,20,"16,515","2,019",553,"1,266","1,424",925,"2,724",658,"1,669",951,865,"1,660",835,966
2021,9,30,"16,010","2,082",468,"1,357","1,672",705,"2,698",654,"1,248",892,887,"1,515",842,990
2021,9,40,"20,834","2,525",624,"2,422","1,473",972,"2,786",851,"2,542","1,611","1,017","2,048","1,007",956
2021,9,50,"20,722","2,447",830,"1,804","1,492","1,147","3,060",820,"2,239","1,288","1,192","2,176","1,106","1,121"
2021,9,60,"19,410","2,323",952,"1,282","1,273","1,209","2,887",659,"1,573","1,167","1,335","2,136","1,229","1,385"
2021,9,70,"10,404","1,249",548,687,710,705,"1,459",412,690,702,750,"1,082",687,723
2021,9,80,"3,353",409,213,250,282,292,487,170,153,210,244,287,198,158
2021,9,90,244,31,18,17,20,26,43,9,5,6,14,25,12,18
2021,9,100,14,1,0,0,2,4,0,1,0,0,3,1,2,0
2021,10,총,"129,758","15,850","4,661","12,192","9,393","7,080","18,916","5,103","13,274","8,685","7,216","13,263","6,850","7,275"
2021,10,0,"9,678","1,278",170,"1,318",506,385,"1,283",405,"1,254",826,423,919,480,431
2021,10,10,"12,783","1,503",309,"1,817",559,726,"1,482",473,"1,925","1,032",505,"1,434",488,530
2021,10,20,"16,406","2,001",550,"1,254","1,411",916,"2,722",658,"1,659",953,858,"1,646",816,962
2021,10,30,"15,983","2,092",464,"1,346","1,676",708,"2,707",647,"1,231",889,881,"1,522",832,988
2021,10,40,"20,770","2,516",617,"2,413","1,462",970,"2,786",847,"2,539","1,604","1,013","2,032","1,010",961
2021,10,50,"20,714","2,442",823,"1,810","1,498","1,150","3,046",816,"2,242","1,298","1,194","2,174","1,100","1,121"
2021,10,60,"19,360","2,322",949,"1,275","1,260","1,200","2,888",663,"1,571","1,163","1,329","2,141","1,222","1,377"
2021,10,70,"10,416","1,251",547,690,716,700,"1,455",413,694,701,750,"1,088",686,725
2021,10,80,"3,388",414,214,251,281,293,505,172,154,212,246,281,203,162
2021,10,90,247,31,18,18,22,28,42,8,5,7,14,25,11,18
2021,10,100,13,0,0,0,2,4,0,1,0,0,3,1,2,0
2021,11,총,"129,568","15,822","4,646","12,179","9,405","7,059","18,903","5,088","13,230","8,678","7,191","13,277","6,817","7,273"
2021,11,0,"9,663","1,270",164,"1,319",507,379,"1,285",396,"1,255",831,414,921,486,436
2021,11,10,"12,777","1,506",312,"1,814",558,726,"1,481",478,"1,924","1,036",509,"1,420",483,530
2021,11,20,"16,291","1,981",540,"1,238","1,411",911,"2,708",650,"1,637",935,861,"1,656",808,955
2021,11,30,"15,935","2,103",457,"1,337","1,679",707,"2,699",654,"1,220",888,872,"1,526",818,975
2021,11,40,"20,742","2,511",610,"2,418","1,471",967,"2,792",839,"2,535","1,602","1,000","2,019","1,006",972
2021,11,50,"20,679","2,437",825,"1,819","1,493","1,148","3,036",812,"2,231","1,305","1,191","2,184","1,083","1,115"
2021,11,60,"19,387","2,322",954,"1,277","1,258","1,200","2,901",663,"1,574","1,155","1,331","2,143","1,227","1,382"
2021,11,70,"10,437","1,247",549,689,718,697,"1,458",415,691,706,750,"1,101",692,724
2021,11,80,"3,399",413,217,250,286,294,504,172,159,209,248,281,200,166
2021,11,90,250,32,18,18,22,30,39,9,4,11,12,25,12,18
2021,11,100,8,0,0,0,2,0,0,0,0,0,3,1,2,0
2021,12,총,"129,681","15,792","4,638","12,141","9,724","7,155","18,849","5,095","13,166","8,662","7,167","13,233","6,804","7,255"
2021,12,0,"9,688","1,266",163,"1,316",533,403,"1,280",392,"1,250",831,411,916,488,439
2021,12,10,"12,748","1,501",310,"1,794",584,725,"1,476",483,"1,907","1,048",508,"1,407",482,523
2021,12,20,"16,241","1,979",540,"1,234","1,443",917,"2,691",643,"1,620",935,856,"1,644",792,947
2021,12,30,"15,926","2,096",458,"1,330","1,734",721,"2,677",668,"1,198",873,864,"1,522",811,974
2021,12,40,"20,819","2,514",608,"2,415","1,525",997,"2,783",842,"2,530","1,601","1,001","2,015","1,015",973
2021,12,50,"20,704","2,427",821,"1,826","1,554","1,162","3,032",806,"2,231","1,303","1,187","2,180","1,073","1,102"
2021,12,60,"19,392","2,310",951,"1,273","1,299","1,205","2,901",658,"1,561","1,145","1,329","2,140","1,239","1,381"
2021,12,70,"10,472","1,253",548,683,734,699,"1,464",415,704,702,747,"1,102",688,733
2021,12,80,"3,432",413,221,251,294,295,507,178,161,213,251,282,202,164
