년도,월,나이,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020,12,10,"59,174","10,738","16,170","8,240","12,333","11,693"
2020,12,20,"81,200","14,945","25,501","10,012","15,677","15,065"
2020,12,30,"80,565","13,823","22,467","12,688","17,843","13,744"
2020,12,40,"95,644","17,485","25,173","14,136","19,748","19,102"
2020,12,50,"106,610","20,616","31,077","12,746","19,992","22,179"
2020,12,60,"73,250","15,511","20,579","11,471","10,413","15,276"
2020,12,70,"28,575","6,576","7,856","4,220","3,442","6,481"
2020,12,80,"7,503","1,805","1,947",812,885,"2,054"
2020,12,90,533,110,125,51,66,181
2020,12,100,35,13,8,5,4,5
2021,1,총,"583,402","109,997","163,120","81,834","113,499","114,952"
2021,1,0,"50,226","8,502","12,187","7,553","12,907","9,077"
2021,1,10,"59,084","10,731","16,155","8,250","12,305","11,643"
2021,1,20,"80,996","14,846","25,431","9,951","15,687","15,081"
2021,1,30,"80,190","13,753","22,430","12,549","17,769","13,689"
2021,1,40,"95,574","17,430","25,152","14,172","19,821","18,999"
2021,1,50,"106,431","20,546","30,996","12,693","19,965","22,231"
2021,1,60,"73,981","15,646","20,753","11,519","10,600","15,463"
2021,1,70,"28,757","6,597","7,912","4,265","3,482","6,501"
2021,1,80,"7,589","1,826","1,970",827,895,"2,071"
2021,1,90,538,107,126,50,63,192
2021,1,100,36,13,8,5,5,5
2021,2,총,"582,190","109,644","162,809","81,652","113,324","114,761"
2021,2,0,"49,895","8,436","12,137","7,484","12,816","9,022"
2021,2,10,"58,762","10,650","16,017","8,243","12,270","11,582"
2021,2,20,"80,445","14,669","25,280","9,882","15,593","15,021"
2021,2,30,"79,809","13,689","22,441","12,422","17,644","13,613"
2021,2,40,"95,488","17,406","25,069","14,205","19,872","18,936"
2021,2,50,"106,202","20,476","30,922","12,663","19,919","22,222"
2021,2,60,"74,454","15,733","20,856","11,549","10,740","15,576"
2021,2,70,"28,894","6,625","7,950","4,311","3,494","6,514"
2021,2,80,"7,660","1,837","2,002",838,906,"2,077"
2021,2,90,544,110,127,50,64,193
2021,2,100,37,13,8,5,6,5
2021,3,총,"580,424","109,045","162,292","81,412","113,172","114,503"
2021,3,0,"49,576","8,343","12,060","7,430","12,784","8,959"
2021,3,10,"58,467","10,571","15,904","8,232","12,220","11,540"
2021,3,20,"80,049","14,572","25,108","9,843","15,547","14,979"
2021,3,30,"79,487","13,598","22,387","12,350","17,594","13,558"
2021,3,40,"95,078","17,296","24,935","14,179","19,848","18,820"
2021,3,50,"105,688","20,321","30,800","12,616","19,822","22,129"
2021,3,60,"74,951","15,785","21,012","11,568","10,865","15,721"
2021,3,70,"28,925","6,630","7,958","4,298","3,509","6,530"
2021,3,80,"7,685","1,831","2,011",845,917,"2,081"
2021,3,90,507,96,116,49,62,184
2021,3,100,11,2,1,2,4,2
2021,4,총,"579,853","108,828","162,114","81,246","113,162","114,503"
2021,4,0,"49,243","8,307","11,994","7,352","12,707","8,883"
2021,4,10,"58,389","10,575","15,805","8,237","12,239","11,533"
2021,4,20,"79,887","14,467","25,076","9,827","15,539","14,978"
2021,4,30,"79,228","13,567","22,374","12,246","17,501","13,540"
2021,4,40,"95,028","17,249","24,926","14,207","19,891","18,755"
2021,4,50,"105,402","20,205","30,733","12,561","19,787","22,116"
2021,4,60,"75,345","15,862","21,076","11,594","10,975","15,838"
2021,4,70,"29,052","6,645","7,992","4,314","3,526","6,575"
2021,4,80,"7,758","1,854","2,018",856,929,"2,101"
2021,4,90,510,95,119,50,64,182
2021,4,100,11,2,1,2,4,2
2021,5,총,"579,316","108,746","161,841","81,102","113,119","114,508"
2021,5,0,"48,966","8,250","11,919","7,288","12,653","8,856"
2021,5,10,"58,274","10,528","15,758","8,250","12,221","11,517"
2021,5,20,"79,729","14,482","24,984","9,773","15,554","14,936"
2021,5,30,"78,935","13,520","22,307","12,189","17,417","13,502"
2021,5,40,"94,749","17,206","24,833","14,153","19,854","18,703"
2021,5,50,"105,313","20,185","30,672","12,572","19,759","22,125"
2021,5,60,"75,837","15,936","21,213","11,622","11,093","15,973"
2021,5,70,"29,164","6,673","8,010","4,340","3,562","6,579"
2021,5,80,"7,823","1,869","2,024",862,934,"2,134"
2021,5,90,515,95,120,51,68,181
2021,5,100,11,2,1,2,4,2
2021,6,총,"578,924","108,776","161,614","81,003","113,009","114,522"
2021,6,0,"48,733","8,207","11,866","7,231","12,608","8,821"
2021,6,10,"58,175","10,508","15,699","8,272","12,220","11,476"
2021,6,20,"79,565","14,485","24,898","9,732","15,462","14,988"
2021,6,30,"78,655","13,539","22,238","12,104","17,340","13,434"
2021,6,40,"94,670","17,182","24,780","14,165","19,855","18,688"
2021,6,50,"105,071","20,126","30,562","12,543","19,730","22,110"
2021,6,60,"76,386","16,044","21,384","11,684","11,202","16,072"
2021,6,70,"29,261","6,711","8,028","4,347","3,578","6,597"
2021,6,80,"7,882","1,877","2,044",871,941,"2,149"
2021,6,90,515,95,114,52,69,185
2021,6,100,11,2,1,2,4,2
2021,7,총,"578,511","108,678","161,343","80,868","112,942","114,680"
2021,7,0,"48,509","8,161","11,816","7,203","12,573","8,756"
2021,7,10,"58,108","10,478","15,632","8,271","12,256","11,471"
2021,7,20,"79,327","14,447","24,835","9,645","15,351","15,049"
2021,7,30,"78,464","13,516","22,167","12,044","17,279","13,458"
2021,7,40,"94,480","17,145","24,703","14,155","19,844","18,633"
2021,7,50,"104,911","20,097","30,462","12,524","19,697","22,131"
2021,7,60,"76,866","16,112","21,507","11,718","11,325","16,204"
2021,7,70,"29,381","6,738","8,041","4,377","3,597","6,628"
2021,7,80,"7,934","1,884","2,066",876,947,"2,161"
2021,7,90,520,98,113,53,69,187
2021,7,100,11,2,1,2,4,2
2021,8,총,"577,806","108,516","160,976","80,767","112,835","114,712"
2021,8,0,"48,255","8,091","11,768","7,153","12,529","8,714"
2021,8,10,"57,997","10,452","15,576","8,284","12,236","11,449"
2021,8,20,"78,952","14,396","24,704","9,594","15,263","14,995"
2021,8,30,"78,101","13,471","22,069","11,948","17,190","13,423"
2021,8,40,"94,288","17,095","24,625","14,150","19,831","18,587"
2021,8,50,"104,905","20,066","30,391","12,547","19,704","22,197"
2021,8,60,"77,277","16,179","21,576","11,745","11,434","16,343"
2021,8,70,"29,516","6,770","8,067","4,408","3,621","6,650"
2021,8,80,"7,979","1,894","2,084",882,954,"2,165"
2021,8,90,525,100,115,54,69,187
2021,8,100,11,2,1,2,4,2
2021,9,총,"577,093","108,235","160,693","80,683","112,757","114,725"
2021,9,0,"47,994","8,024","11,710","7,136","12,482","8,642"
2021,9,10,"57,921","10,436","15,509","8,269","12,259","11,448"
2021,9,20,"78,470","14,311","24,543","9,529","15,150","14,937"
2021,9,30,"77,768","13,360","22,028","11,899","17,112","13,369"
2021,9,40,"94,168","17,021","24,565","14,177","19,827","18,578"
2021,9,50,"104,989","20,056","30,404","12,522","19,742","22,265"
2021,9,60,"77,546","16,218","21,619","11,775","11,497","16,437"
2021,9,70,"29,665","6,814","8,096","4,429","3,651","6,675"
2021,9,80,"8,026","1,891","2,098",891,963,"2,183"
2021,9,90,535,102,120,54,70,189
2021,9,100,11,2,1,2,4,2
2021,10,총,"576,723","108,103","160,481","80,618","112,783","114,738"
2021,10,0,"47,768","7,973","11,677","7,088","12,459","8,571"
2021,10,10,"57,850","10,407","15,456","8,299","12,253","11,435"
2021,10,20,"78,125","14,256","24,420","9,465","15,054","14,930"
2021,10,30,"77,521","13,319","21,964","11,824","17,088","13,326"
2021,10,40,"94,080","16,953","24,534","14,209","19,851","18,533"
2021,10,50,"105,071","20,065","30,384","12,515","19,789","22,318"
2021,10,60,"77,844","16,276","21,682","11,799","11,570","16,517"
2021,10,70,"29,827","6,836","8,125","4,466","3,671","6,729"
2021,10,80,"8,081","1,911","2,117",897,972,"2,184"
2021,10,90,545,105,121,54,72,193
2021,10,100,11,2,1,2,4,2
2021,11,총,"576,636","108,044","160,282","80,551","113,003","114,756"
2021,11,0,"47,508","7,914","11,630","7,040","12,412","8,512"
2021,11,10,"57,850","10,391","15,452","8,293","12,277","11,437"
2021,11,20,"77,901","14,253","24,304","9,418","15,012","14,914"
2021,11,30,"77,336","13,268","21,934","11,774","17,106","13,254"
2021,11,40,"94,098","16,938","24,445","14,278","19,936","18,501"
2021,11,50,"105,198","20,107","30,415","12,512","19,805","22,359"
2021,11,60,"78,076","16,282","21,719","11,796","11,683","16,596"
2021,11,70,"29,956","6,851","8,136","4,483","3,709","6,777"
2021,11,80,"8,152","1,932","2,123",904,986,"2,207"
2021,11,90,553,107,123,52,74,197
2021,11,100,8,1,1,1,3,2
2021,12,총,"576,217","107,736","160,055","80,417","113,265","114,744"
2021,12,0,"47,302","7,858","11,593","6,981","12,400","8,470"
2021,12,10,"57,743","10,332","15,408","8,295","12,289","11,419"
2021,12,20,"77,588","14,133","24,203","9,374","15,040","14,838"
2021,12,30,"77,145","13,186","21,901","11,721","17,110","13,227"
2021,12,40,"94,084","16,910","24,419","14,262","20,001","18,492"
2021,12,50,"105,062","20,049","30,324","12,480","19,842","22,367"
2021,12,60,"78,393","16,319","21,792","11,802","11,777","16,703"
2021,12,70,"30,110","6,885","8,144","4,539","3,726","6,816"
2021,12,80,"8,218","1,950","2,141",908,"1,006","2,213"
2021,12,90,568,113,130,54,73,198
2021,12,100,4,1,0,1,1,1
