년도,월,나이,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020,8,50,"1,127,677","98,157","24,661","30,774","15,617","27,105","77,790","20,814","19,490","37,486","39,178","47,858","21,588","26,270","72,473","25,576","45,014","8,641","65,343","34,935","30,408","95,748","41,062","27,336","27,350","5,299","17,652","59,154","17,131","45,502","23,687","14,308","20,405","83,170","22,252","33,260","27,658","37,426","18,299","16,528","33,462","60,662","32,052","19,803","16,119","10,565","3,858","6,085","10,732"
2020,8,60,"738,664","57,823","14,796","19,219","10,666","13,142","54,484","15,765","14,961","23,758","26,708","34,298","16,669","17,629","53,250","18,047","26,325","6,289","36,065","18,915","17,150","58,835","27,349","16,024","15,462","3,496","11,921","39,373","9,511","23,713","15,989","10,498","16,427","49,252","15,141","18,789","15,322","23,677","12,827","12,302","23,061","34,056","23,377","14,089","12,867","9,184","3,820","6,139","10,961"
2020,8,70,"344,081","25,021","6,931","7,905","5,269","4,916","26,103","7,628","6,925","11,550","13,588","14,373","7,598","6,775","21,219","8,189","12,403","3,686","13,123","7,310","5,813","26,296","13,029","6,615","6,652","1,609","5,198","20,192","4,236","8,526","6,703","4,226","7,809","29,927","7,380","11,853","10,694","12,540","5,988","6,171","11,776","14,711","10,528","7,484","5,755","4,805","2,291","3,233","6,372"
2020,8,80,"122,981","8,537","2,652","2,541","1,714","1,630","9,017","2,221","1,952","4,844","5,013","4,758","2,436","2,322","6,479","2,518","4,824","1,553","4,662","2,680","1,982","11,611","5,282","3,075","3,254",657,"1,766","6,692","1,420","2,782","2,613","1,419","1,971","11,152","2,655","4,485","4,012","5,048","2,431","2,623","3,841","4,988","3,044","2,603","2,296","1,940","1,004","1,382","2,337"
2020,8,90,"12,121",879,287,253,175,164,"1,011",224,179,608,438,498,211,287,677,256,503,170,439,261,178,"1,187",501,341,345,87,174,591,101,262,305,158,213,"1,076",259,446,371,511,228,200,340,418,276,243,222,171,115,144,228
2020,8,100,"1,131",80,21,26,24,9,133,62,50,21,46,51,26,25,59,35,74,19,29,14,15,89,56,20,13,9,25,62,13,28,23,15,32,36,13,16,7,59,18,12,19,35,24,11,30,16,15,19,15
2020,9,총,"6,736,077","598,549","138,475","186,646","88,094","185,334","466,232","122,254","109,575","234,403","225,715","273,677","120,500","153,177","407,881","150,994","273,077","46,863","334,987","177,767","157,220","526,928","234,209","145,462","147,257","30,431","98,260","353,701","118,568","257,762","136,530","81,504","144,433","534,153","132,853","217,828","183,472","233,949","113,655","96,122","232,501","439,243","194,524","116,428","78,196","56,689","22,827","32,205","59,493"
2020,9,0,"593,023","51,074","9,668","17,058","4,925","19,423","35,737","8,132","6,915","20,690","17,826","20,453","8,049","12,404","29,979","12,326","24,820","3,323","22,937","11,984","10,953","42,265","19,691","10,780","11,794","2,611","8,035","33,841","12,328","24,494","10,835","6,917","15,373","52,275","10,911","22,427","18,937","22,772","9,904","7,337","27,665","54,004","18,282","10,249","4,542","3,891","1,434","1,702","3,792"
2020,9,10,"688,200","61,851","15,199","17,557","7,193","21,902","45,334","9,068","8,710","27,556","21,974","27,449","9,945","17,504","36,760","16,109","27,268","4,357","33,390","17,621","15,769","54,242","21,294","15,450","17,498","3,261","9,460","39,874","12,724","25,659","13,871","7,642","12,497","63,849","14,409","26,302","23,138","25,030","12,446","9,634","23,966","48,944","17,311","12,304","6,547","4,965","1,700","2,493","5,289"
2020,9,20,"946,799","98,382","24,161","28,482","14,971","30,768","67,982","18,525","16,213","33,244","32,515","40,781","18,243","22,538","60,861","20,586","39,449","6,094","56,415","30,629","25,786","77,123","32,497","22,617","22,009","4,505","14,021","43,892","16,835","37,202","20,071","12,306","17,947","71,087","18,766","29,061","23,260","29,720","16,936","12,346","26,154","55,376","23,737","14,602","10,399","6,649","3,411","3,580","5,835"
2020,9,30,"984,180","93,552","17,223","30,770","13,311","32,248","69,847","19,289","16,651","33,907","30,526","39,664","17,511","22,153","60,203","21,553","42,843","5,263","46,587","23,737","22,850","70,361","33,766","18,631","17,964","4,331","13,414","44,319","21,200","40,896","20,147","11,745","24,949","72,479","17,933","29,642","24,904","35,470","16,429","12,661","36,679","78,715","30,490","14,535","8,160","6,114","2,411","3,141","5,496"
