년도,월,나이,인제군,인제읍,인제읍귀둔출장소,남면,북면,기린면,서화면,상남면
2021,4,20,"1,357",484,13,159,362,195,102,42
2021,4,30,"1,626",611,12,207,391,246,131,28
2021,4,40,"1,747",659,22,172,461,271,93,69
2021,4,50,"2,382",718,54,274,668,387,138,143
2021,4,60,"2,518",698,60,342,644,399,198,177
2021,4,70,"1,374",366,35,169,366,218,118,102
2021,4,80,997,250,22,147,263,164,82,69
2021,4,90,183,53,2,29,45,36,9,9
2021,4,100,3,1,0,1,0,0,0,1
2021,5,총,"14,517","4,709",245,"1,727","3,780","2,232","1,021",803
2021,5,0,"1,207",469,8,142,286,168,86,48
2021,5,10,"1,067",382,17,118,291,154,66,39
2021,5,20,"1,381",485,13,150,370,189,106,68
2021,5,30,"1,632",609,11,192,389,242,130,59
2021,5,40,"1,740",661,21,164,457,268,90,79
2021,5,50,"2,386",728,54,271,662,388,137,146
2021,5,60,"2,540",704,62,341,653,400,199,181
2021,5,70,"1,378",364,35,172,364,222,116,105
2021,5,80,997,253,22,145,264,164,81,68
2021,5,90,186,53,2,31,44,37,10,9
2021,5,100,3,1,0,1,0,0,0,1
2021,6,총,"14,567","4,791",243,"1,727","3,744","2,230","1,016",816
2021,6,0,"1,210",486,8,143,276,165,81,51
2021,6,10,"1,072",393,17,117,292,149,65,39
2021,6,20,"1,382",485,12,151,367,189,105,73
2021,6,30,"1,652",632,11,194,381,241,128,65
2021,6,40,"1,740",676,21,162,450,265,90,76
2021,6,50,"2,382",735,53,270,651,386,137,150
2021,6,60,"2,569",716,62,341,657,411,202,180
2021,6,70,"1,371",366,34,172,359,220,115,105
2021,6,80,"1,001",250,23,145,267,166,83,67
2021,6,90,185,51,2,31,44,38,10,9
2021,6,100,3,1,0,1,0,0,0,1
2021,7,총,"14,606","4,805",244,"1,734","3,750","2,221","1,028",824
2021,7,0,"1,222",488,9,146,275,167,86,51
2021,7,10,"1,071",397,17,117,290,147,64,39
2021,7,20,"1,382",491,12,154,363,180,110,72
2021,7,30,"1,655",632,11,197,378,242,130,65
2021,7,40,"1,743",675,21,160,453,264,89,81
2021,7,50,"2,377",736,53,264,653,384,138,149
2021,7,60,"2,586",718,62,348,660,415,202,181
2021,7,70,"1,369",367,34,171,360,219,112,106
2021,7,80,"1,012",249,23,145,272,166,87,70
2021,7,90,186,51,2,31,46,37,10,9
2021,7,100,3,1,0,1,0,0,0,1
2021,8,총,"14,656","4,832",245,"1,741","3,749","2,236","1,018",835
2021,8,0,"1,230",494,9,147,273,171,82,54
2021,8,10,"1,063",393,16,115,289,150,61,39
2021,8,20,"1,388",502,12,160,358,179,104,73
2021,8,30,"1,663",637,10,196,375,244,133,68
2021,8,40,"1,748",676,23,160,455,267,86,81
2021,8,50,"2,387",736,53,263,660,385,139,151
2021,8,60,"2,601",720,62,354,659,420,203,183
2021,8,70,"1,367",369,35,170,359,217,111,106
2021,8,80,"1,014",252,23,144,271,167,87,70
2021,8,90,192,52,2,31,50,36,12,9
2021,8,100,3,1,0,1,0,0,0,1
2021,9,총,"14,649","4,843",244,"1,748","3,732","2,224","1,018",840
2021,9,0,"1,234",499,9,150,268,172,83,53
2021,9,10,"1,073",400,16,117,292,149,61,38
2021,9,20,"1,365",497,11,161,348,174,103,71
2021,9,30,"1,657",628,10,192,371,245,135,76
2021,9,40,"1,753",683,23,162,454,262,88,81
2021,9,50,"2,364",734,53,261,654,377,137,148
2021,9,60,"2,622",725,61,360,662,425,202,187
2021,9,70,"1,364",369,36,170,359,216,108,106
2021,9,80,"1,017",254,23,143,274,165,89,69
2021,9,90,196,53,2,31,49,39,12,10
2021,9,100,4,1,0,1,1,0,0,1
2021,10,총,"14,698","4,875",244,"1,745","3,716","2,246","1,023",849
2021,10,0,"1,234",503,9,150,256,176,88,52
2021,10,10,"1,072",405,15,114,285,154,61,38
2021,10,20,"1,364",495,11,161,356,171,99,71
2021,10,30,"1,665",633,10,188,363,255,140,76
2021,10,40,"1,764",693,23,164,455,261,87,81
2021,10,50,"2,374",738,54,262,654,378,138,150
2021,10,60,"2,640",730,61,360,663,432,202,192
2021,10,70,"1,353",367,36,167,355,214,107,107
2021,10,80,"1,031",256,23,147,280,165,89,71
2021,10,90,197,54,2,31,48,40,12,10
2021,10,100,4,1,0,1,1,0,0,1
2021,11,총,"14,714","4,887",244,"1,738","3,711","2,259","1,023",852
2021,11,0,"1,242",509,9,143,256,181,91,53
2021,11,10,"1,057",402,15,110,281,152,59,38
2021,11,20,"1,380",505,11,168,353,172,102,69
2021,11,30,"1,672",639,10,186,366,261,134,76
2021,11,40,"1,750",678,24,157,453,263,91,84
2021,11,50,"2,379",748,55,260,651,378,136,151
2021,11,60,"2,646",731,60,365,667,432,201,190
2021,11,70,"1,357",368,35,167,357,214,108,108
2021,11,80,"1,032",254,23,150,278,167,88,72
2021,11,90,195,52,2,31,48,39,13,10
2021,11,100,4,1,0,1,1,0,0,1
2021,12,총,"14,704","4,889",246,"1,735","3,700","2,276","1,011",847
2021,12,0,"1,234",507,10,140,253,179,91,54
2021,12,10,"1,051",402,13,107,282,150,59,38
2021,12,20,"1,388",501,13,171,354,184,97,68
2021,12,30,"1,669",637,12,187,363,260,133,77
2021,12,40,"1,745",675,24,155,456,262,91,82
2021,12,50,"2,375",750,55,255,650,381,136,148
2021,12,60,"2,654",739,58,368,663,439,197,190
2021,12,70,"1,354",365,36,168,356,216,108,105
2021,12,80,"1,039",260,23,152,276,167,86,75
2021,12,90,192,52,2,31,46,38,13,10
2021,12,100,3,1,0,1,1,0,0,0
