년도,월,나이,태안군,태안읍,안면읍,고남면,남면,근흥면,소원면,원북면,이원면
2020,4,70,"4,020","1,297",640,192,335,465,487,394,210
2020,4,80,"1,554",443,208,80,145,200,198,169,111
2020,4,90,126,39,19,5,15,17,13,14,4
2020,4,100,4,0,2,0,1,0,0,1,0
2020,5,총,"31,354","14,817","4,297","1,144","2,263","2,778","2,656","2,243","1,156"
2020,5,0,"1,571","1,132",162,25,55,54,60,58,25
2020,5,10,"2,332","1,504",304,57,97,117,103,95,55
2020,5,20,"3,016","1,692",331,65,328,198,145,193,64
2020,5,30,"2,970","1,781",334,71,151,216,161,179,77
2020,5,40,"4,415","2,388",595,149,249,316,338,251,129
2020,5,50,"5,695","2,541",813,248,391,544,518,420,220
2020,5,60,"5,616","1,977",886,253,492,648,634,463,263
2020,5,70,"4,050","1,316",645,191,339,467,486,399,207
2020,5,80,"1,559",447,206,81,145,201,198,169,112
2020,5,90,126,39,19,4,15,17,13,15,4
2020,5,100,4,0,2,0,1,0,0,1,0
2020,6,총,"31,389","14,824","4,306","1,152","2,260","2,773","2,661","2,260","1,153"
2020,6,0,"1,568","1,129",164,25,54,53,60,59,24
2020,6,10,"2,356","1,514",314,57,101,117,102,96,55
2020,6,20,"3,024","1,705",337,62,325,196,146,189,64
2020,6,30,"2,938","1,770",322,74,148,213,155,180,76
2020,6,40,"4,421","2,387",601,148,246,318,342,249,130
2020,6,50,"5,687","2,529",808,252,395,540,523,422,218
2020,6,60,"5,635","1,984",882,253,486,650,634,481,265
2020,6,70,"4,069","1,318",649,194,348,470,486,397,207
2020,6,80,"1,563",449,208,83,142,200,200,171,110
2020,6,90,124,39,19,4,14,16,13,15,4
2020,6,100,4,0,2,0,1,0,0,1,0
2020,7,총,"31,388","14,827","4,304","1,155","2,247","2,770","2,661","2,265","1,159"
2020,7,0,"1,560","1,118",165,25,53,53,59,61,26
2020,7,10,"2,362","1,518",316,59,101,113,103,96,56
2020,7,20,"2,990","1,697",333,60,315,190,145,187,63
2020,7,30,"2,926","1,769",316,74,140,211,155,184,77
2020,7,40,"4,402","2,380",591,147,248,320,342,244,130
2020,7,50,"5,714","2,543",819,250,397,539,527,420,219
2020,7,60,"5,649","1,981",880,259,490,653,631,489,266
2020,7,70,"4,086","1,326",656,194,346,473,485,396,210
2020,7,80,"1,573",457,208,83,142,202,201,172,108
2020,7,90,122,38,18,4,14,16,13,15,4
2020,7,100,4,0,2,0,1,0,0,1,0
2020,8,총,"31,388","14,830","4,331","1,148","2,236","2,770","2,658","2,258","1,157"
2020,8,0,"1,550","1,110",164,24,52,54,57,63,26
2020,8,10,"2,361","1,516",325,57,100,113,102,92,56
2020,8,20,"2,976","1,699",344,57,301,185,147,183,60
2020,8,30,"2,909","1,756",313,75,142,210,153,184,76
2020,8,40,"4,391","2,389",582,147,249,319,338,241,126
2020,8,50,"5,722","2,542",827,247,400,543,524,416,223
2020,8,60,"5,671","1,988",886,258,489,657,634,494,265
2020,8,70,"4,102","1,333",659,195,346,472,486,398,213
2020,8,80,"1,578",458,211,84,142,202,202,171,108
2020,8,90,124,39,18,4,14,15,15,15,4
2020,8,100,4,0,2,0,1,0,0,1,0
2020,9,총,"31,426","14,872","4,333","1,149","2,231","2,766","2,662","2,252","1,161"
2020,9,0,"1,537","1,100",163,24,52,53,56,63,26
2020,9,10,"2,371","1,525",329,55,98,115,104,90,55
2020,9,20,"2,961","1,702",342,58,291,179,141,187,61
2020,9,30,"2,898","1,760",313,71,140,209,151,179,75
2020,9,40,"4,379","2,389",577,148,253,309,339,238,126
2020,9,50,"5,727","2,544",824,248,397,549,526,416,223
2020,9,60,"5,718","2,016",894,262,489,659,640,493,265
2020,9,70,"4,121","1,335",660,196,352,475,486,398,219
2020,9,80,"1,581",460,210,83,143,203,205,171,106
2020,9,90,128,41,19,4,14,15,14,16,5
2020,9,100,5,0,2,0,2,0,0,1,0
2020,10,총,"31,429","14,914","4,317","1,152","2,229","2,760","2,652","2,249","1,156"
2020,10,0,"1,535","1,097",162,26,54,52,54,64,26
2020,10,10,"2,348","1,520",319,56,94,116,101,90,52
2020,10,20,"2,965","1,715",344,58,283,176,143,183,63
2020,10,30,"2,882","1,764",308,69,140,207,145,173,76
2020,10,40,"4,370","2,391",570,150,254,307,337,236,125
2020,10,50,"5,729","2,543",826,246,399,550,526,420,219
2020,10,60,"5,748","2,037",889,261,493,662,642,497,267
2020,10,70,"4,131","1,348",664,196,351,475,485,395,217
2020,10,80,"1,591",459,213,86,145,200,206,176,106
2020,10,90,125,40,20,4,14,15,13,14,5
2020,10,100,5,0,2,0,2,0,0,1,0
2020,11,총,"31,428","14,915","4,315","1,147","2,241","2,752","2,651","2,251","1,156"
2020,11,0,"1,533","1,096",161,26,55,53,52,65,25
2020,11,10,"2,338","1,524",314,57,94,113,99,85,52
2020,11,20,"2,973","1,717",342,57,291,172,144,188,62
2020,11,30,"2,868","1,752",311,67,141,205,144,171,77
2020,11,40,"4,345","2,376",569,149,254,304,330,236,127
2020,11,50,"5,745","2,553",827,242,397,554,533,422,217
2020,11,60,"5,762","2,045",886,264,499,656,647,499,266
2020,11,70,"4,142","1,356",667,195,348,479,483,396,218
2020,11,80,"1,592",457,216,86,146,199,208,173,107
2020,11,90,125,39,20,4,14,17,11,15,5
2020,11,100,5,0,2,0,2,0,0,1,0
2020,12,총,"31,371","14,915","4,266","1,144","2,230","2,759","2,642","2,259","1,156"
2020,12,0,"1,528","1,091",163,25,54,54,53,64,24
2020,12,10,"2,300","1,522",285,60,94,111,94,83,51
2020,12,20,"2,970","1,722",334,57,284,173,142,193,65
2020,12,30,"2,865","1,751",306,68,144,208,143,170,75
2020,12,40,"4,310","2,363",558,146,252,304,325,238,124
2020,12,50,"5,739","2,555",823,240,393,551,531,425,221
2020,12,60,"5,786","2,052",888,263,501,664,652,501,265
2020,12,70,"4,161","1,368",668,196,346,480,485,398,220
2020,12,80,"1,583",451,219,85,146,198,206,172,106
2020,12,90,124,40,20,4,14,16,11,14,5
2020,12,100,5,0,2,0,2,0,0,1,0
2021,1,총,"31,274","14,884","4,245","1,143","2,214","2,742","2,639","2,251","1,156"
2021,1,0,"1,516","1,085",162,25,54,52,51,62,25
2021,1,10,"2,277","1,516",276,61,87,111,94,82,50
2021,1,20,"2,945","1,708",325,57,282,168,141,195,69
2021,1,30,"2,821","1,739",302,64,140,201,142,164,69
2021,1,40,"4,297","2,351",555,149,251,301,327,236,127
2021,1,50,"5,694","2,543",814,238,386,544,525,426,218
2021,1,60,"5,815","2,076",889,259,505,669,657,498,262
2021,1,70,"4,194","1,372",683,203,348,483,482,398,225
2021,1,80,"1,583",452,218,83,145,197,208,174,106
2021,1,90,127,42,19,4,14,16,12,15,5
2021,1,100,5,0,2,0,2,0,0,1,0
2021,2,총,"31,148","14,809","4,225","1,139","2,207","2,749","2,641","2,225","1,153"
2021,2,0,"1,493","1,078",157,23,53,51,47,59,25
2021,2,10,"2,242","1,487",276,58,84,111,95,82,49
2021,2,20,"2,872","1,671",315,58,271,166,136,184,71
2021,2,30,"2,784","1,721",295,63,144,202,138,157,64
2021,2,40,"4,287","2,339",560,150,249,300,332,230,127
2021,2,50,"5,677","2,542",809,233,391,540,525,422,215
2021,2,60,"5,871","2,095",896,263,505,682,665,501,264
2021,2,70,"4,199","1,377",681,201,347,484,483,399,227
2021,2,80,"1,588",455,215,86,147,197,207,175,106
2021,2,90,130,44,19,4,14,16,13,15,5
2021,2,100,5,0,2,0,2,0,0,1,0
2021,3,총,"31,102","14,785","4,225","1,140","2,203","2,743","2,645","2,212","1,149"
2021,3,0,"1,482","1,072",155,23,50,51,48,58,25
2021,3,10,"2,240","1,483",288,55,85,109,94,80,46
2021,3,20,"2,839","1,653",309,57,268,165,136,182,69
2021,3,30,"2,730","1,697",286,61,140,199,134,150,63
2021,3,40,"4,276","2,344",557,152,254,292,327,223,127
2021,3,50,"5,647","2,530",805,233,386,533,521,426,213
2021,3,60,"5,927","2,112",907,265,505,690,680,502,266
2021,3,70,"4,212","1,384",682,200,348,487,484,400,227
2021,3,80,"1,614",466,215,90,151,201,209,174,108
2021,3,90,130,44,19,4,14,16,12,16,5
2021,3,100,5,0,2,0,2,0,0,1,0
2021,4,총,"31,128","14,803","4,233","1,131","2,215","2,747","2,648","2,210","1,141"
2021,4,0,"1,480","1,068",153,23,51,54,50,55,26
2021,4,10,"2,241","1,477",294,53,92,108,91,81,45
2021,4,20,"2,824","1,658",308,56,265,161,133,177,66
2021,4,30,"2,718","1,686",282,61,144,196,140,147,62
2021,4,40,"4,272","2,347",557,149,253,298,322,218,128
2021,4,50,"5,631","2,526",805,228,385,534,519,429,205
2021,4,60,"5,993","2,142",912,268,510,693,685,512,271
2021,4,70,"4,218","1,388",688,197,346,489,486,398,226
2021,4,80,"1,612",466,212,91,153,198,209,176,107
2021,4,90,132,45,18,5,14,16,13,16,5
2021,4,100,7,0,4,0,2,0,0,1,0
2021,5,총,"31,149","14,824","4,248","1,125","2,210","2,743","2,645","2,206","1,148"
2021,5,0,"1,481","1,066",155,23,51,55,50,56,25
2021,5,10,"2,243","1,471",304,53,90,107,90,81,47
2021,5,20,"2,839","1,672",314,54,264,158,133,179,65
2021,5,30,"2,691","1,672",272,60,146,194,134,148,65
2021,5,40,"4,265","2,350",550,148,253,299,323,213,129
2021,5,50,"5,615","2,528",811,224,376,532,513,429,202
2021,5,60,"6,032","2,153",917,269,520,698,688,511,276
2021,5,70,"4,232","1,399",689,200,345,486,491,395,227
2021,5,80,"1,609",466,213,89,147,199,211,177,107
2021,5,90,134,47,18,5,16,15,12,16,5
2021,5,100,8,0,5,0,2,0,0,1,0
2021,6,총,"31,177","14,849","4,235","1,130","2,196","2,754","2,650","2,217","1,146"
2021,6,0,"1,476","1,059",154,23,50,56,54,55,25
2021,6,10,"2,236","1,468",300,53,91,104,93,81,46
2021,6,20,"2,831","1,679",308,54,254,160,129,182,65
2021,6,30,"2,664","1,664",267,61,141,188,129,149,65
2021,6,40,"4,272","2,354",551,146,255,302,324,211,129
2021,6,50,"5,609","2,517",811,228,370,538,515,429,201
2021,6,60,"6,090","2,192",920,272,524,697,690,517,278
2021,6,70,"4,239","1,400",690,197,344,493,493,398,224
2021,6,80,"1,614",468,211,91,148,200,210,178,108
2021,6,90,138,48,18,5,17,16,13,16,5
2021,6,100,8,0,5,0,2,0,0,1,0
2021,7,총,"31,196","14,823","4,253","1,126","2,197","2,769","2,650","2,228","1,150"
2021,7,0,"1,472","1,055",152,23,54,56,54,55,23
2021,7,10,"2,250","1,466",314,51,90,105,95,83,46
2021,7,20,"2,814","1,659",312,53,251,162,128,183,66
2021,7,30,"2,652","1,659",267,59,140,183,129,151,64
2021,7,40,"4,251","2,341",548,147,254,304,319,211,127
2021,7,50,"5,626","2,522",813,231,371,536,514,430,209
2021,7,60,"6,115","2,202",920,272,527,707,691,519,277
2021,7,70,"4,239","1,403",690,194,342,496,491,399,224
2021,7,80,"1,626",466,214,91,150,202,216,178,109
2021,7,90,143,50,18,5,16,18,13,18,5
2021,7,100,8,0,5,0,2,0,0,1,0
2021,8,총,"31,192","14,817","4,284","1,122","2,189","2,772","2,637","2,225","1,146"
2021,8,0,"1,458","1,045",152,23,54,54,54,53,23
2021,8,10,"2,269","1,462",339,49,92,105,95,82,45
2021,8,20,"2,834","1,662",329,54,246,161,128,188,66
2021,8,30,"2,618","1,646",258,56,138,184,127,148,61
2021,8,40,"4,226","2,320",549,149,251,301,321,210,125
2021,8,50,"5,630","2,534",804,227,368,541,513,430,213
2021,8,60,"6,127","2,213",927,270,528,709,685,520,275
2021,8,70,"4,237","1,414",686,195,344,490,487,397,224
2021,8,80,"1,643",471,217,93,152,208,215,178,109
2021,8,90,143,50,18,6,15,19,12,18,5
2021,8,100,7,0,5,0,1,0,0,1,0
2021,9,총,"31,154","14,842","4,267","1,115","2,170","2,764","2,635","2,221","1,140"
2021,9,0,"1,455","1,042",152,24,53,53,54,54,23
2021,9,10,"2,259","1,459",333,48,90,105,95,84,45
2021,9,20,"2,815","1,672",325,51,234,158,128,185,62
2021,9,30,"2,603","1,647",259,56,135,183,122,143,58
2021,9,40,"4,214","2,320",547,144,254,297,320,207,125
2021,9,50,"5,606","2,527",797,224,367,540,506,431,214
2021,9,60,"6,167","2,237",928,276,524,712,694,520,276
2021,9,70,"4,234","1,410",684,194,348,490,488,397,223
2021,9,80,"1,648",476,218,91,150,206,216,181,110
2021,9,90,146,52,19,7,14,20,12,18,4
2021,9,100,7,0,5,0,1,0,0,1,0
2021,10,총,"31,152","14,870","4,248","1,119","2,162","2,758","2,631","2,223","1,141"
2021,10,0,"1,450","1,044",151,25,50,52,53,52,23
2021,10,10,"2,237","1,446",325,47,91,103,94,86,45
2021,10,20,"2,806","1,682",319,52,225,158,128,182,60
2021,10,30,"2,594","1,646",255,57,134,182,121,143,56
2021,10,40,"4,195","2,300",547,145,253,298,316,210,126
2021,10,50,"5,629","2,556",797,220,370,534,503,432,217
2021,10,60,"6,199","2,249",932,276,525,717,700,524,276
2021,10,70,"4,238","1,415",680,196,351,486,490,397,223
2021,10,80,"1,644",476,218,94,147,208,212,178,111
2021,10,90,153,56,19,7,15,20,14,18,4
2021,10,100,7,0,5,0,1,0,0,1,0
2021,11,총,"31,058","14,856","4,185","1,120","2,175","2,746","2,622","2,225","1,129"
2021,11,0,"1,429","1,036",149,24,47,51,50,49,23
2021,11,10,"2,210","1,452",290,46,93,102,95,88,44
2021,11,20,"2,789","1,684",307,54,226,153,123,183,59
2021,11,30,"2,579","1,630",253,55,139,179,123,145,55
2021,11,40,"4,158","2,281",542,145,251,293,310,212,124
2021,11,50,"5,638","2,576",791,221,378,528,507,423,214
2021,11,60,"6,223","2,255",933,275,524,731,699,532,274
2021,11,70,"4,239","1,416",676,198,352,482,492,399,224
2021,11,80,"1,639",472,221,96,150,207,209,177,107
2021,11,90,149,54,18,6,15,20,14,17,5
2021,11,100,5,0,5,0,0,0,0,0,0
2021,12,총,"31,033","14,857","4,177","1,118","2,161","2,742","2,623","2,228","1,127"
2021,12,0,"1,422","1,034",146,23,46,51,50,51,21
2021,12,10,"2,199","1,452",278,47,93,101,95,89,44
2021,12,20,"2,789","1,697",298,53,225,153,122,182,59
2021,12,30,"2,560","1,614",255,57,138,177,120,145,54
2021,12,40,"4,141","2,261",549,146,244,292,314,210,125
2021,12,50,"5,638","2,580",786,218,378,531,503,428,214
2021,12,60,"6,229","2,265",938,273,516,725,706,531,275
2021,12,70,"4,235","1,414",678,199,354,481,490,398,221
2021,12,80,"1,671",489,227,96,152,212,209,177,109
2021,12,90,144,51,17,6,15,19,14,17,5
2021,12,100,5,0,5,0,0,0,0,0,0
