년도,월,나이,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020,6,0,"1,945",959,206,114,79,50,32,77,103,191,134
2020,6,10,"2,364","1,309",203,116,108,43,38,100,88,235,124
2020,6,20,"3,595","1,503",480,245,170,129,62,183,209,344,270
2020,6,30,"3,380","1,413",491,259,182,108,52,138,184,319,234
2020,6,40,"4,840","2,058",596,347,253,163,104,252,273,481,313
2020,6,50,"8,647","2,475","1,420",815,600,420,230,449,643,900,695
2020,6,60,"9,027","2,047","1,434",910,744,501,278,562,790,989,772
2020,6,70,"5,767","1,228",854,528,507,312,210,427,513,664,524
2020,6,80,"3,440",682,435,328,384,229,154,250,272,403,303
2020,6,90,457,92,61,43,64,25,17,34,50,35,36
2020,6,100,26,5,6,1,5,1,1,0,3,3,1
2020,7,총,"43,426","13,755","6,184","3,693","3,094","1,992","1,176","2,463","3,116","4,544","3,409"
2020,7,0,"1,948",960,204,115,81,52,31,76,106,188,135
2020,7,10,"2,346","1,299",201,117,108,43,38,101,86,232,121
2020,7,20,"3,574","1,493",484,237,165,126,65,184,207,341,272
2020,7,30,"3,346","1,396",491,259,182,114,52,137,179,311,225
2020,7,40,"4,816","2,054",598,346,243,167,104,247,271,476,310
2020,7,50,"8,625","2,479","1,403",804,608,418,228,449,635,901,700
2020,7,60,"9,032","2,052","1,438",913,744,497,279,558,788,984,779
2020,7,70,"5,809","1,240",861,526,514,317,209,429,522,667,524
2020,7,80,"3,443",685,435,330,380,231,151,248,270,406,307
2020,7,90,461,92,63,45,64,26,18,34,49,35,35
2020,7,100,26,5,6,1,5,1,1,0,3,3,1
2020,8,총,"43,319","13,764","6,175","3,690","3,082","1,983","1,170","2,443","3,093","4,528","3,391"
2020,8,0,"1,946",956,203,115,81,53,29,78,107,190,134
2020,8,10,"2,316","1,298",198,115,106,40,36,99,85,222,117
2020,8,20,"3,534","1,486",482,235,158,123,66,177,204,337,266
2020,8,30,"3,306","1,395",478,247,184,112,52,134,169,310,225
2020,8,40,"4,795","2,053",596,347,239,168,99,246,272,473,302
2020,8,50,"8,572","2,476","1,404",806,601,413,226,437,621,894,694
2020,8,60,"9,085","2,069","1,444",921,746,501,283,555,794,991,781
2020,8,70,"5,816","1,250",863,524,516,313,205,428,520,669,528
2020,8,80,"3,446",680,434,328,381,232,155,253,272,403,308
2020,8,90,476,95,67,51,65,27,18,36,46,36,35
2020,8,100,27,6,6,1,5,1,1,0,3,3,1
2020,9,총,"43,231","13,741","6,169","3,667","3,091","1,989","1,167","2,439","3,077","4,511","3,380"
2020,9,0,"1,925",946,202,109,83,53,29,80,104,187,132
2020,9,10,"2,296","1,289",193,113,103,39,36,103,85,220,115
2020,9,20,"3,511","1,486",478,224,157,125,67,173,201,337,263
2020,9,30,"3,277","1,389",474,250,184,108,53,133,163,303,220
2020,9,40,"4,770","2,050",587,347,235,170,96,248,267,465,305
2020,9,50,"8,556","2,473","1,409",798,606,411,226,434,616,896,687
2020,9,60,"9,115","2,081","1,448",924,749,506,279,550,797,989,792
2020,9,70,"5,816","1,255",868,517,519,314,202,428,520,669,524
2020,9,80,"3,459",671,438,333,385,235,160,254,273,404,306
2020,9,90,479,96,66,51,64,27,18,36,48,38,35
2020,9,100,27,5,6,1,6,1,1,0,3,3,1
2020,10,총,"43,205","13,715","6,175","3,660","3,096","1,988","1,161","2,451","3,066","4,506","3,387"
2020,10,0,"1,920",943,205,110,83,53,27,81,103,186,129
2020,10,10,"2,283","1,285",189,111,106,39,35,102,84,218,114
2020,10,20,"3,477","1,477",467,223,157,120,66,174,199,334,260
2020,10,30,"3,259","1,364",476,246,185,112,53,131,163,309,220
2020,10,40,"4,762","2,044",592,346,236,169,94,249,265,461,306
2020,10,50,"8,542","2,472","1,409",800,602,413,226,441,601,890,688
2020,10,60,"9,149","2,092","1,451",928,753,508,280,546,802,991,798
2020,10,70,"5,838","1,261",874,514,523,311,201,434,522,674,524
2020,10,80,"3,457",672,439,330,380,234,159,256,276,400,311
2020,10,90,491,100,67,51,65,28,19,37,48,40,36
2020,10,100,27,5,6,1,6,1,1,0,3,3,1
2020,11,총,"43,225","13,707","6,147","3,659","3,101","2,013","1,190","2,453","3,064","4,504","3,387"
2020,11,0,"1,919",934,201,110,86,57,27,81,106,185,132
2020,11,10,"2,272","1,290",185,112,104,40,36,103,84,205,113
2020,11,20,"3,483","1,481",467,221,161,121,69,175,196,334,258
2020,11,30,"3,264","1,362",471,245,189,116,56,131,163,309,222
2020,11,40,"4,742","2,038",587,345,234,168,99,245,265,454,307
2020,11,50,"8,525","2,467","1,393",791,598,423,232,442,594,900,685
2020,11,60,"9,194","2,091","1,460",937,757,511,289,549,804,996,800
2020,11,70,"5,832","1,265",871,515,521,312,202,431,519,669,527
2020,11,80,"3,475",675,438,332,379,236,158,258,281,409,309
2020,11,90,491,99,68,50,66,28,21,38,49,40,32
2020,11,100,28,5,6,1,6,1,1,0,3,3,2
2020,12,총,"43,414","13,737","6,154","3,734","3,111","2,035","1,212","2,452","3,071","4,511","3,397"
2020,12,0,"1,910",933,195,113,85,56,26,76,106,183,137
2020,12,10,"2,257","1,289",181,112,97,40,38,103,82,206,109
2020,12,20,"3,534","1,484",482,243,169,124,69,185,196,328,254
2020,12,30,"3,290","1,359",476,254,189,125,59,132,168,302,226
2020,12,40,"4,759","2,047",591,350,233,170,101,243,267,447,310
2020,12,50,"8,521","2,472","1,372",789,597,421,244,442,590,907,687
2020,12,60,"9,308","2,112","1,465",971,768,523,287,549,811,"1,014",808
2020,12,70,"5,836","1,262",881,517,520,306,209,427,519,669,526
2020,12,80,"3,482",677,434,335,381,240,159,259,281,410,306
2020,12,90,489,98,71,49,66,28,19,36,48,42,32
2020,12,100,28,4,6,1,6,2,1,0,3,3,2
2021,1,총,"43,335","13,711","6,161","3,717","3,125","2,021","1,207","2,446","3,069","4,489","3,389"
2021,1,0,"1,906",929,196,112,84,55,28,73,109,183,137
2021,1,10,"2,251","1,287",185,108,99,39,38,101,80,205,109
2021,1,20,"3,485","1,476",475,235,168,123,66,181,191,316,254
2021,1,30,"3,279","1,346",480,253,187,119,62,133,172,302,225
2021,1,40,"4,733","2,044",595,346,230,167,100,238,268,439,306
2021,1,50,"8,459","2,453","1,371",779,605,412,236,444,578,903,678
2021,1,60,"9,367","2,125","1,467",981,776,527,286,555,823,"1,015",812
2021,1,70,"5,843","1,277",880,513,523,307,211,425,518,665,524
2021,1,80,"3,486",675,434,336,380,240,160,260,278,415,308
2021,1,90,499,96,72,53,67,30,19,36,49,43,34
2021,1,100,27,3,6,1,6,2,1,0,3,3,2
2021,2,총,"43,234","13,650","6,158","3,708","3,116","2,011","1,204","2,459","3,065","4,485","3,378"
2021,2,0,"1,904",926,195,115,82,56,27,76,108,181,138
2021,2,10,"2,249","1,283",187,106,99,38,38,101,82,205,110
2021,2,20,"3,417","1,437",469,227,163,119,68,185,184,315,250
2021,2,30,"3,255","1,340",477,251,180,119,61,128,173,299,227
2021,2,40,"4,721","2,042",599,347,228,163,97,242,268,435,300
2021,2,50,"8,385","2,427","1,357",774,601,406,236,442,569,898,675
2021,2,60,"9,408","2,135","1,476",985,784,528,287,560,826,"1,020",807
2021,2,70,"5,838","1,279",882,512,512,306,208,424,524,667,524
2021,2,80,"3,524",681,438,337,392,242,163,267,278,416,310
2021,2,90,506,97,72,53,69,32,18,34,50,46,35
2021,2,100,27,3,6,1,6,2,1,0,3,3,2
2021,3,총,"43,105","13,619","6,145","3,702","3,085","2,011","1,207","2,447","3,043","4,497","3,349"
2021,3,0,"1,882",918,190,114,77,57,26,73,107,185,135
2021,3,10,"2,226","1,271",189,106,97,39,40,96,80,201,107
2021,3,20,"3,371","1,425",462,228,154,112,69,178,182,315,246
2021,3,30,"3,216","1,329",468,249,176,117,58,124,170,300,225
2021,3,40,"4,679","2,027",601,341,224,166,98,237,259,434,292
2021,3,50,"8,328","2,434","1,336",766,597,402,234,437,562,891,669
2021,3,60,"9,526","2,151","1,498",995,791,539,293,576,836,"1,034",813
2021,3,70,"5,847","1,286",882,515,512,306,207,426,523,671,519
2021,3,80,"3,518",682,442,336,393,238,163,266,272,418,308
2021,3,90,501,96,73,51,64,33,18,34,51,47,34
2021,3,100,11,0,4,1,0,2,1,0,1,1,1
2021,4,총,"43,118","13,614","6,151","3,690","3,092","2,015","1,205","2,453","3,055","4,487","3,356"
2021,4,0,"1,885",915,196,112,77,59,26,73,106,185,136
2021,4,10,"2,209","1,266",189,107,94,39,39,92,80,198,105
2021,4,20,"3,369","1,426",461,219,153,116,68,181,182,315,248
2021,4,30,"3,220","1,338",463,250,179,116,58,125,170,299,222
2021,4,40,"4,651","2,025",596,332,221,161,101,233,259,433,290
2021,4,50,"8,298","2,422","1,324",772,592,393,232,438,568,883,674
2021,4,60,"9,603","2,159","1,517",999,809,545,289,581,842,"1,045",817
2021,4,70,"5,849","1,282",890,511,510,310,210,427,525,664,520
2021,4,80,"3,520",683,437,337,393,241,163,269,272,416,309
2021,4,90,503,98,74,50,64,33,18,34,50,48,34
2021,4,100,11,0,4,1,0,2,1,0,1,1,1
2021,5,총,"43,004","13,533","6,171","3,678","3,063","2,019","1,203","2,448","3,060","4,485","3,344"
2021,5,0,"1,881",910,198,109,76,62,26,73,105,187,135
2021,5,10,"2,189","1,260",182,107,93,37,38,92,80,194,106
2021,5,20,"3,364","1,427",464,219,151,116,67,180,184,315,241
2021,5,30,"3,193","1,320",461,245,177,116,59,124,173,297,221
2021,5,40,"4,601","2,001",596,332,216,158,98,230,257,434,279
2021,5,50,"8,231","2,396","1,317",770,578,397,234,435,563,869,672
2021,5,60,"9,640","2,158","1,538",998,806,543,289,582,848,"1,054",824
2021,5,70,"5,855","1,276",898,513,506,314,212,428,521,668,519
2021,5,80,"3,539",687,438,336,396,241,162,271,277,418,313
2021,5,90,502,98,75,49,64,33,18,33,51,48,33
2021,5,100,9,0,4,0,0,2,0,0,1,1,1
2021,6,총,"42,964","13,548","6,150","3,663","3,071","2,021","1,202","2,446","3,050","4,490","3,323"
2021,6,0,"1,857",904,192,111,75,63,29,68,104,185,126
2021,6,10,"2,194","1,257",189,105,94,36,38,91,84,193,107
2021,6,20,"3,334","1,423",453,214,153,115,65,181,182,311,237
2021,6,30,"3,200","1,332",459,239,178,118,58,126,176,298,216
2021,6,40,"4,592","2,004",589,332,218,159,98,227,253,433,279
2021,6,50,"8,180","2,396","1,310",762,565,391,236,430,554,869,667
2021,6,60,"9,697","2,164","1,549",998,821,549,288,593,850,"1,061",824
2021,6,70,"5,853","1,278",895,513,506,316,210,425,517,672,521
2021,6,80,"3,534",690,434,340,396,238,161,271,279,413,312
2021,6,90,513,100,75,49,65,34,19,34,50,54,33
2021,6,100,10,0,5,0,0,2,0,0,1,1,1
2021,7,총,"42,964","13,550","6,148","3,667","3,092","2,009","1,200","2,435","3,053","4,477","3,333"
2021,7,0,"1,863",908,195,113,84,60,26,68,102,182,125
2021,7,10,"2,209","1,259",194,104,95,37,37,89,87,197,110
2021,7,20,"3,297","1,416",449,205,151,111,64,181,184,302,234
2021,7,30,"3,199","1,326",460,241,181,117,56,125,179,297,217
2021,7,40,"4,581","2,004",587,332,219,157,97,221,251,431,282
2021,7,50,"8,148","2,393","1,296",762,568,392,234,425,552,861,665
2021,7,60,"9,727","2,169","1,558","1,002",828,544,294,593,841,"1,069",829
2021,7,70,"5,864","1,283",895,517,501,318,211,428,522,668,521
2021,7,80,"3,553",691,437,341,400,237,161,270,285,415,316
2021,7,90,513,101,72,50,65,34,20,35,49,54,33
2021,7,100,10,0,5,0,0,2,0,0,1,1,1
2021,8,총,"42,880","13,533","6,132","3,653","3,089","2,006","1,195","2,426","3,048","4,469","3,329"
2021,8,0,"1,859",903,198,115,83,60,26,68,99,183,124
2021,8,10,"2,203","1,257",197,103,96,38,39,88,84,195,106
2021,8,20,"3,253","1,411",432,201,145,107,58,179,187,298,235
2021,8,30,"3,178","1,323",457,239,178,116,53,125,176,293,218
2021,8,40,"4,549","1,995",579,326,218,159,98,219,248,427,280
2021,8,50,"8,141","2,387","1,295",758,573,394,233,425,555,858,663
2021,8,60,"9,732","2,173","1,559",999,827,547,294,592,839,"1,071",831
2021,8,70,"5,877","1,283",902,523,504,309,215,424,519,675,523
2021,8,80,"3,563",699,437,338,400,241,156,270,290,416,316
2021,8,90,515,102,71,51,65,33,23,36,50,52,32
2021,8,100,10,0,5,0,0,2,0,0,1,1,1
2021,9,총,"42,782","13,485","6,109","3,638","3,107","2,007","1,189","2,421","3,042","4,455","3,329"
2021,9,0,"1,855",898,201,112,86,59,25,68,97,186,123
2021,9,10,"2,194","1,255",196,102,101,39,36,88,82,188,107
2021,9,20,"3,180","1,387",416,201,138,106,56,173,186,289,228
2021,9,30,"3,157","1,307",452,233,173,116,55,126,175,298,222
2021,9,40,"4,541","1,993",576,326,226,157,96,218,251,419,279
2021,9,50,"8,099","2,376","1,286",751,572,391,232,428,550,855,658
2021,9,60,"9,789","2,189","1,572","1,001",844,548,295,591,842,"1,073",834
2021,9,70,"5,890","1,285",904,523,503,314,217,424,518,672,530
2021,9,80,"3,551",694,431,337,399,243,154,267,291,421,314
2021,9,90,517,101,70,52,65,32,23,38,49,54,33
2021,9,100,9,0,5,0,0,2,0,0,1,0,1
2021,10,총,"42,781","13,516","6,106","3,638","3,115","2,002","1,189","2,420","3,043","4,443","3,309"
2021,10,0,"1,848",890,200,107,88,58,25,69,98,191,122
2021,10,10,"2,191","1,254",196,104,103,36,33,86,83,189,107
2021,10,20,"3,182","1,396",414,200,139,105,60,175,185,286,222
2021,10,30,"3,148","1,314",450,225,172,116,55,126,176,295,219
2021,10,40,"4,533","1,991",572,324,226,158,98,215,252,418,279
2021,10,50,"8,084","2,379","1,282",756,567,392,232,427,544,849,656
2021,10,60,"9,811","2,193","1,583","1,005",850,548,295,592,843,"1,069",833
2021,10,70,"5,892","1,297",899,525,506,308,217,426,521,670,523
2021,10,80,"3,567",701,432,338,401,244,153,268,293,422,315
2021,10,90,516,101,73,54,63,35,21,36,47,54,32
2021,10,100,9,0,5,0,0,2,0,0,1,0,1
2021,11,총,"42,766","13,492","6,124","3,637","3,108","2,009","1,190","2,419","3,038","4,429","3,320"
2021,11,0,"1,832",882,199,108,85,59,25,69,101,184,120
2021,11,10,"2,192","1,253",196,101,102,38,34,87,84,188,109
2021,11,20,"3,173","1,401",415,196,140,106,60,175,181,280,219
2021,11,30,"3,127","1,295",447,228,169,114,56,125,177,298,218
2021,11,40,"4,502","1,966",578,315,227,159,98,212,251,412,284
2021,11,50,"8,091","2,392","1,282",760,559,393,232,427,540,851,655
2021,11,60,"9,831","2,202","1,588","1,008",852,547,296,595,839,"1,066",838
2021,11,70,"5,919","1,294",905,525,511,311,218,423,527,673,532
2021,11,80,"3,572",703,435,341,403,244,151,267,291,424,313
2021,11,90,518,104,74,55,60,36,20,39,46,53,31
2021,11,100,9,0,5,0,0,2,0,0,1,0,1
2021,12,총,"42,842","13,518","6,110","3,638","3,143","2,003","1,196","2,427","3,041","4,439","3,327"
2021,12,0,"1,819",879,203,106,86,55,25,67,101,177,120
2021,12,10,"2,182","1,254",188,99,106,35,32,88,83,188,109
2021,12,20,"3,200","1,408",414,195,149,107,60,174,184,286,223
2021,12,30,"3,149","1,317",444,227,168,114,57,130,181,292,219
2021,12,40,"4,509","1,957",579,315,233,157,100,213,250,418,287
2021,12,50,"8,085","2,395","1,272",752,563,393,234,433,536,855,652
2021,12,60,"9,853","2,201","1,597","1,014",861,543,297,597,839,"1,067",837
2021,12,70,"5,935","1,293",897,534,513,316,219,420,531,678,534
2021,12,80,"3,583",711,436,341,402,244,153,265,291,426,314
2021,12,90,516,103,74,55,61,37,19,40,44,52,31
2021,12,100,11,0,6,0,1,2,0,0,1,0,1
