년도,월,나이,부평구,부평1동,부평2동,부평3동,부평4동,부평5동,부평6동,산곡1동,산곡2동,산곡3동,산곡4동,청천1동,청천2동,갈산1동,갈산2동,삼산1동,삼산2동,부개1동,부개2동,부개3동,일신동,십정1동,십정2동
2020,2,총,"256,638","19,662","9,552","6,689","18,851","17,201","7,465","6,653","16,567","11,810","9,637","3,407","17,552","8,407","10,184","18,097","15,486","8,494","9,203","17,063","6,472","6,425","11,761"
2020,2,0,"17,540","1,295",527,324,"1,400","1,391",457,299,"1,415",633,621,198,"1,381",492,663,"1,332","1,379",486,618,"1,068",549,351,661
2020,2,10,"22,033","1,548",712,418,"1,203","1,222",434,509,"1,890","1,020",957,266,"1,477",615,756,"1,874","2,171",579,825,"1,777",513,507,760
2020,2,20,"35,307","3,246","1,331",850,"2,984","2,628","1,085",798,"2,048","1,394","1,382",415,"2,381","1,215","1,285","2,370","1,855","1,059","1,273","2,546",786,791,"1,585"
2020,2,30,"34,548","3,033","1,280",814,"3,322","3,036","1,141",651,"2,146","1,274","1,117",395,"2,549","1,082","1,453","2,168","1,716","1,039","1,191","2,133",905,709,"1,394"
2020,2,40,"40,098","3,020","1,389",895,"2,782","2,598","1,026",905,"2,937","1,692","1,588",485,"2,657","1,210","1,316","3,107","3,328","1,131","1,441","3,005",912,970,"1,704"
2020,2,50,"47,259","3,246","1,739","1,286","3,188","2,873","1,333","1,331","3,028","2,256","1,850",699,"3,339","1,744","2,013","3,325","2,551","1,563","1,728","3,343","1,211","1,231","2,382"
2020,2,60,"32,140","2,326","1,354","1,041","2,193","1,879","1,046","1,116","1,745","1,728","1,165",496,"2,137","1,140","1,463","1,987","1,326","1,431","1,161","1,690",922,987,"1,807"
2020,2,70,"16,994","1,193",793,659,"1,147",988,554,618,819,"1,022",543,282,"1,011",564,693,"1,091",687,809,627,930,430,575,959
2020,2,80,"8,983",626,365,334,540,489,312,347,448,664,352,129,528,287,456,709,390,351,297,482,199,245,433
2020,2,90,"1,582",118,54,62,82,86,68,67,85,113,61,35,87,54,85,122,82,43,38,87,41,49,63
2020,2,100,154,11,8,6,10,11,9,12,6,14,1,7,5,4,1,12,1,3,4,2,4,10,13
2020,3,총,"255,659","19,664","9,383","6,654","18,827","17,174","7,407","6,619","16,512","11,795","9,603","3,373","17,531","8,372","10,160","17,991","15,382","8,489","9,193","16,976","6,445","6,403","11,706"
2020,3,0,"17,372","1,271",520,319,"1,382","1,375",457,296,"1,415",630,613,197,"1,370",486,659,"1,315","1,366",480,623,"1,044",543,351,660
2020,3,10,"21,836","1,531",697,415,"1,206","1,227",435,499,"1,865","1,006",946,266,"1,469",603,756,"1,857","2,144",581,812,"1,757",507,510,747
2020,3,20,"35,132","3,257","1,288",839,"2,978","2,617","1,083",802,"2,033","1,389","1,382",407,"2,379","1,224","1,277","2,348","1,838","1,061","1,265","2,530",782,792,"1,561"
2020,3,30,"34,230","3,022","1,254",816,"3,306","3,023","1,124",646,"2,132","1,254","1,103",395,"2,537","1,068","1,443","2,118","1,701","1,018","1,182","2,116",897,687,"1,388"
2020,3,40,"39,796","3,007","1,365",895,"2,773","2,589","1,011",896,"2,913","1,690","1,578",485,"2,642","1,201","1,299","3,094","3,279","1,123","1,443","2,956",908,967,"1,682"
2020,3,50,"47,130","3,260","1,711","1,249","3,200","2,867","1,314","1,325","3,024","2,251","1,848",687,"3,323","1,736","2,012","3,319","2,565","1,565","1,718","3,354","1,202","1,230","2,370"
2020,3,60,"32,349","2,349","1,343","1,054","2,189","1,896","1,046","1,122","1,767","1,745","1,165",494,"2,162","1,152","1,471","1,993","1,340","1,445","1,167","1,716",929,983,"1,821"
2020,3,70,"17,019","1,201",781,663,"1,155",982,557,613,820,"1,033",543,273,"1,019",559,695,"1,100",676,811,632,931,433,579,963
2020,3,80,"9,038",632,363,336,545,499,303,343,453,663,362,128,534,284,461,714,391,357,307,483,200,245,435
2020,3,90,"1,605",123,53,62,83,88,68,66,84,120,62,34,91,55,86,122,81,45,40,87,40,49,66
2020,3,100,152,11,8,6,10,11,9,11,6,14,1,7,5,4,1,11,1,3,4,2,4,10,13
2020,4,총,"255,049","19,670","9,228","6,636","18,856","17,147","7,314","6,611","16,451","11,762","9,606","3,343","17,529","8,378","10,124","17,928","15,367","8,481","9,165","16,947","6,429","6,401","11,676"
2020,4,0,"17,195","1,268",508,316,"1,371","1,349",455,284,"1,416",621,610,192,"1,356",482,657,"1,300","1,352",478,613,"1,028",535,348,656
2020,4,10,"21,739","1,535",685,416,"1,199","1,225",430,502,"1,846",990,934,264,"1,472",602,751,"1,849","2,136",582,818,"1,751",506,502,744
2020,4,20,"35,037","3,252","1,259",826,"2,993","2,630","1,067",808,"2,021","1,397","1,390",408,"2,375","1,225","1,261","2,334","1,838","1,052","1,248","2,517",787,797,"1,552"
2020,4,30,"34,033","3,017","1,238",814,"3,301","2,994","1,100",638,"2,111","1,242","1,102",389,"2,535","1,052","1,436","2,094","1,691","1,021","1,174","2,112",895,691,"1,386"
2020,4,40,"39,658","3,000","1,340",892,"2,780","2,583",985,895,"2,909","1,680","1,566",481,"2,632","1,209","1,297","3,072","3,280","1,117","1,440","2,957",899,969,"1,675"
2020,4,50,"47,016","3,271","1,675","1,241","3,192","2,869","1,313","1,319","3,004","2,245","1,854",674,"3,325","1,740","1,994","3,324","2,567","1,566","1,710","3,351","1,198","1,227","2,357"
2020,4,60,"32,496","2,353","1,321","1,056","2,216","1,909","1,043","1,135","1,784","1,757","1,168",501,"2,177","1,165","1,480","2,003","1,343","1,447","1,173","1,731",927,989,"1,818"
2020,4,70,"17,060","1,207",784,670,"1,159",982,544,609,821,"1,033",552,267,"1,025",564,705,"1,105",681,811,638,928,438,576,961
2020,4,80,"9,039",630,356,337,552,504,302,345,449,659,367,126,536,281,458,707,393,360,306,484,198,243,446
2020,4,90,"1,624",126,54,62,83,91,66,65,84,124,62,34,90,54,84,129,85,44,41,86,42,49,69
2020,4,100,152,11,8,6,10,11,9,11,6,14,1,7,6,4,1,11,1,3,4,2,4,10,12
2020,5,총,"254,464","19,637","9,104","6,671","18,807","17,096","7,274","6,583","16,429","11,749","9,580","3,326","17,550","8,360","10,103","17,874","15,360","8,442","9,128","16,926","6,411","6,409","11,645"
2020,5,0,"17,076","1,264",496,317,"1,358","1,340",463,277,"1,419",621,604,194,"1,354",473,648,"1,281","1,335",474,612,"1,014",531,349,652
2020,5,10,"21,578","1,517",667,406,"1,189","1,215",422,501,"1,843",982,924,259,"1,467",605,748,"1,823","2,140",575,803,"1,748",500,501,743
2020,5,20,"34,948","3,255","1,248",831,"2,987","2,616","1,064",807,"2,005","1,396","1,381",402,"2,391","1,222","1,255","2,330","1,840","1,039","1,242","2,523",778,802,"1,534"
2020,5,30,"33,920","2,991","1,220",823,"3,282","2,986","1,093",637,"2,108","1,236","1,100",390,"2,536","1,041","1,437","2,088","1,678","1,014","1,168","2,119",895,689,"1,389"
2020,5,40,"39,453","2,995","1,319",901,"2,767","2,563",978,884,"2,898","1,671","1,568",479,"2,617","1,204","1,288","3,059","3,277","1,110","1,426","2,935",898,955,"1,661"
2020,5,50,"46,930","3,269","1,652","1,248","3,192","2,856","1,313","1,315","2,996","2,238","1,847",667,"3,331","1,729","1,988","3,318","2,582","1,557","1,715","3,348","1,191","1,234","2,344"
2020,5,60,"32,611","2,373","1,320","1,066","2,223","1,928","1,027","1,134","1,797","1,774","1,164",504,"2,184","1,168","1,486","2,004","1,346","1,451","1,166","1,746",934,994,"1,822"
2020,5,70,"17,121","1,205",778,672,"1,163",988,538,608,828,"1,032",560,267,"1,036",574,707,"1,114",683,817,645,920,442,579,965
2020,5,80,"9,048",629,344,338,554,502,302,346,445,661,369,123,537,284,457,716,395,358,304,485,200,246,453
2020,5,90,"1,627",128,52,63,82,91,65,62,84,124,62,34,91,56,88,131,83,44,43,86,38,50,70
2020,5,100,152,11,8,6,10,11,9,12,6,14,1,7,6,4,1,10,1,3,4,2,4,10,12
2020,6,총,"253,702","19,625","8,975","6,672","18,754","17,075","7,188","6,543","16,392","11,735","9,551","3,297","17,514","8,349","10,077","17,820","15,308","8,414","9,114","16,896","6,391","6,418","11,594"
2020,6,0,"16,959","1,254",489,320,"1,353","1,327",459,273,"1,412",622,602,186,"1,351",470,644,"1,274","1,322",477,609,"1,009",517,351,638
2020,6,10,"21,490","1,513",660,404,"1,175","1,214",416,502,"1,839",975,911,262,"1,458",603,741,"1,818","2,127",573,805,"1,740",501,502,751
2020,6,20,"34,747","3,253","1,218",821,"2,986","2,615","1,054",798,"1,983","1,398","1,371",393,"2,382","1,215","1,253","2,303","1,840","1,028","1,239","2,492",771,803,"1,531"
2020,6,30,"33,679","2,983","1,191",825,"3,252","2,970","1,089",624,"2,095","1,231","1,091",388,"2,525","1,037","1,414","2,067","1,654","1,014","1,159","2,129",892,693,"1,356"
2020,6,40,"39,326","2,986","1,301",904,"2,766","2,563",963,889,"2,894","1,665","1,555",472,"2,618","1,205","1,291","3,046","3,263","1,100","1,420","2,921",897,954,"1,653"
2020,6,50,"46,670","3,255","1,623","1,249","3,169","2,842","1,285","1,299","2,994","2,222","1,861",658,"3,302","1,716","1,981","3,305","2,576","1,537","1,709","3,341","1,184","1,225","2,337"
2020,6,60,"32,830","2,397","1,321","1,065","2,241","1,941","1,013","1,129","1,805","1,796","1,167",507,"2,204","1,175","1,495","2,035","1,366","1,464","1,181","1,756",945,995,"1,832"
2020,6,70,"17,181","1,208",775,676,"1,166",993,538,611,838,"1,029",563,267,"1,042",583,710,"1,110",684,815,641,934,443,589,966
2020,6,80,"9,038",635,338,340,556,502,299,346,440,656,368,124,537,281,457,721,391,359,306,489,199,246,448
2020,6,90,"1,630",130,51,62,81,97,63,60,86,127,61,33,89,60,90,131,83,44,41,83,38,50,70
2020,6,100,152,11,8,6,9,11,9,12,6,14,1,7,6,4,1,10,2,3,4,2,4,10,12
2020,7,총,"253,098","19,634","8,925","6,673","18,681","17,015","7,150","6,488","16,345","11,707","9,536","3,282","17,474","8,337","10,075","17,823","15,303","8,411","9,055","16,836","6,392","6,405","11,551"
2020,7,0,"16,833","1,248",492,321,"1,338","1,316",454,269,"1,405",612,603,184,"1,349",464,640,"1,265","1,316",467,600,994,512,349,635
2020,7,10,"21,401","1,509",660,405,"1,160","1,215",412,495,"1,826",975,902,261,"1,446",606,735,"1,804","2,122",577,801,"1,742",501,504,743
2020,7,20,"34,625","3,243","1,191",825,"2,976","2,595","1,051",780,"1,982","1,401","1,368",390,"2,387","1,207","1,258","2,315","1,844","1,026","1,214","2,482",767,801,"1,522"
2020,7,30,"33,462","2,985","1,192",816,"3,232","2,967","1,073",624,"2,078","1,219","1,096",381,"2,503","1,037","1,397","2,049","1,647","1,000","1,142","2,107",891,685,"1,341"
2020,7,40,"39,233","2,987","1,292",907,"2,752","2,559",963,874,"2,892","1,659","1,540",478,"2,617","1,190","1,303","3,050","3,258","1,105","1,409","2,900",905,950,"1,643"
2020,7,50,"46,520","3,254","1,617","1,243","3,166","2,824","1,270","1,283","2,968","2,212","1,858",647,"3,282","1,719","1,978","3,306","2,584","1,534","1,716","3,336","1,177","1,216","2,330"
2020,7,60,"32,972","2,411","1,318","1,062","2,239","1,934","1,021","1,139","1,829","1,801","1,175",512,"2,216","1,188","1,503","2,055","1,377","1,461","1,184","1,765",950,"1,004","1,828"
2020,7,70,"17,217","1,216",771,683,"1,173",996,537,608,838,"1,032",561,265,"1,043",580,716,"1,102",685,827,637,937,445,589,976
2020,7,80,"9,048",641,330,344,556,502,300,344,436,654,367,125,536,282,453,735,387,365,308,486,201,250,446
2020,7,90,"1,635",129,54,61,80,96,60,60,85,128,65,32,89,60,91,133,81,45,40,85,39,47,75
2020,7,100,152,11,8,6,9,11,9,12,6,14,1,7,6,4,1,9,2,4,4,2,4,10,12
2020,8,총,"252,196","19,546","8,852","6,668","18,626","16,953","7,126","6,463","16,355","11,638","9,497","3,266","17,431","8,294","10,047","17,758","15,244","8,360","9,008","16,804","6,354","6,380","11,526"
2020,8,0,"16,636","1,235",488,318,"1,327","1,292",452,270,"1,393",596,593,180,"1,343",461,640,"1,247","1,284",457,591,992,504,338,635
2020,8,10,"21,230","1,506",653,403,"1,148","1,207",406,487,"1,831",975,886,265,"1,425",592,722,"1,789","2,119",560,795,"1,724",497,503,737
2020,8,20,"34,464","3,211","1,179",823,"2,973","2,592","1,054",773,"1,976","1,395","1,358",387,"2,367","1,206","1,251","2,308","1,846","1,018","1,206","2,484",755,796,"1,506"
2020,8,30,"33,214","2,956","1,178",815,"3,204","2,928","1,071",625,"2,062","1,194","1,095",374,"2,514","1,028","1,389","2,027","1,624",995,"1,129","2,112",878,679,"1,337"
2020,8,40,"38,986","2,972","1,278",909,"2,744","2,558",956,862,"2,896","1,646","1,526",479,"2,580","1,178","1,296","3,026","3,243","1,099","1,393","2,867",891,946,"1,641"
2020,8,50,"46,383","3,246","1,605","1,246","3,174","2,817","1,266","1,272","2,981","2,188","1,850",640,"3,289","1,711","1,966","3,306","2,579","1,526","1,702","3,327","1,175","1,200","2,317"
2020,8,60,"33,182","2,426","1,313","1,064","2,245","1,947","1,019","1,148","1,843","1,817","1,180",513,"2,227","1,192","1,515","2,075","1,388","1,472","1,205","1,788",960,"1,014","1,831"
2020,8,70,"17,224","1,205",768,678,"1,163",998,533,613,840,"1,035",572,264,"1,051",582,719,"1,103",688,825,634,930,446,591,986
2020,8,80,"9,061",644,328,344,557,505,300,340,441,647,368,125,540,279,456,733,388,358,307,493,205,257,446
2020,8,90,"1,665",134,54,62,82,98,60,61,86,131,68,32,89,61,92,135,83,46,42,86,39,46,78
2020,8,100,151,11,8,6,9,11,9,12,6,14,1,7,6,4,1,9,2,4,4,1,4,10,12
2020,9,총,"251,606","19,503","8,784","6,656","18,660","16,903","7,102","6,433","16,323","11,614","9,474","3,257","17,438","8,288","10,007","17,692","15,219","8,312","8,961","16,763","6,332","6,370","11,515"
2020,9,0,"16,490","1,221",480,317,"1,306","1,290",452,273,"1,385",585,590,173,"1,346",456,638,"1,230","1,283",443,579,976,503,335,629
2020,9,10,"21,089","1,499",652,404,"1,142","1,194",402,482,"1,816",962,882,266,"1,413",585,712,"1,778","2,103",558,800,"1,716",488,497,738
2020,9,20,"34,339","3,207","1,171",813,"2,985","2,578","1,040",769,"1,973","1,402","1,341",384,"2,374","1,211","1,243","2,288","1,833","1,015","1,193","2,474",751,800,"1,494"
2020,9,30,"33,063","2,938","1,157",811,"3,215","2,927","1,068",627,"2,049","1,186","1,106",367,"2,506","1,024","1,383","2,004","1,619",982,"1,111","2,105",865,669,"1,344"
2020,9,40,"38,838","2,947","1,266",907,"2,755","2,546",956,855,"2,894","1,633","1,513",484,"2,574","1,176","1,283","3,002","3,242","1,090","1,386","2,858",896,944,"1,631"
2020,9,50,"46,257","3,239","1,596","1,237","3,174","2,820","1,259","1,254","2,979","2,182","1,837",640,"3,291","1,703","1,955","3,317","2,567","1,509","1,698","3,339","1,163","1,198","2,300"
2020,9,60,"33,361","2,454","1,308","1,069","2,256","1,941","1,025","1,149","1,849","1,834","1,194",517,"2,244","1,201","1,525","2,084","1,412","1,476","1,206","1,785",966,"1,019","1,847"
2020,9,70,"17,237","1,207",759,679,"1,171",998,530,610,845,"1,036",571,259,"1,054",584,723,"1,104",689,828,638,921,451,594,986
2020,9,80,"9,106",648,334,347,557,505,304,340,442,650,371,128,540,279,450,745,384,361,305,498,206,256,456
2020,9,90,"1,670",131,53,66,90,93,57,60,85,130,68,32,90,65,94,131,85,46,40,89,39,48,78
2020,9,100,156,12,8,6,9,11,9,14,6,14,1,7,6,4,1,9,2,4,5,2,4,10,12
2020,10,총,"251,202","19,502","8,693","6,656","18,624","16,909","7,091","6,471","16,257","11,601","9,472","3,248","17,442","8,256","10,002","17,668","15,182","8,327","8,937","16,716","6,310","6,350","11,488"
2020,10,0,"16,328","1,208",482,310,"1,292","1,276",448,281,"1,376",584,585,169,"1,337",450,637,"1,210","1,258",438,577,964,497,327,622
2020,10,10,"21,017","1,509",649,411,"1,131","1,192",396,484,"1,792",964,888,261,"1,405",581,704,"1,772","2,083",560,798,"1,714",489,494,740
2020,10,20,"34,230","3,193","1,143",806,"2,975","2,587","1,043",767,"1,964","1,387","1,336",391,"2,383","1,212","1,249","2,293","1,837","1,020","1,179","2,458",736,785,"1,486"
2020,10,30,"32,876","2,940","1,141",805,"3,190","2,897","1,068",652,"2,022","1,185","1,092",359,"2,505","1,019","1,382","1,982","1,596",971,"1,112","2,091",866,670,"1,331"
2020,10,40,"38,719","2,952","1,251",911,"2,760","2,544",946,855,"2,875","1,623","1,512",484,"2,578","1,162","1,280","2,988","3,230","1,098","1,382","2,841",889,934,"1,624"
2020,10,50,"46,222","3,235","1,575","1,229","3,176","2,840","1,266","1,252","2,989","2,175","1,831",642,"3,268","1,704","1,949","3,320","2,586","1,509","1,685","3,333","1,165","1,202","2,291"
2020,10,60,"33,555","2,463","1,304","1,083","2,258","1,949","1,026","1,156","1,854","1,858","1,205",515,"2,270","1,202","1,530","2,104","1,421","1,487","1,218","1,802",967,"1,025","1,858"
2020,10,70,"17,256","1,210",753,683,"1,176","1,003",531,608,853,"1,031",576,257,"1,060",578,723,"1,116",695,832,635,909,452,589,986
2020,10,80,"9,164",648,332,347,565,511,302,341,443,650,377,130,544,280,452,742,386,363,306,511,207,266,461
2020,10,90,"1,677",132,55,65,92,99,56,61,83,130,69,32,86,64,94,132,88,45,40,91,38,48,77
2020,10,100,158,12,8,6,9,11,9,14,6,14,1,8,6,4,2,9,2,4,5,2,4,10,12
2020,11,총,"250,696","19,447","8,476","6,647","18,570","16,904","7,081","6,569","16,241","11,583","9,474","3,234","17,500","8,242","9,965","17,608","15,173","8,298","8,911","16,682","6,297","6,321","11,473"
2020,11,0,"16,191","1,189",475,310,"1,273","1,265",434,293,"1,368",585,576,167,"1,336",449,632,"1,198","1,247",438,569,957,495,319,616
2020,11,10,"20,924","1,506",640,405,"1,140","1,192",395,487,"1,784",959,885,263,"1,409",580,702,"1,756","2,079",544,792,"1,694",492,486,734
2020,11,20,"34,087","3,177","1,094",806,"2,956","2,590","1,047",775,"1,959","1,391","1,332",392,"2,373","1,207","1,244","2,287","1,836","1,008","1,182","2,441",734,784,"1,472"
2020,11,30,"32,724","2,928","1,113",799,"3,172","2,883","1,059",682,"2,007","1,177","1,102",354,"2,506","1,024","1,354","1,961","1,585",966,"1,105","2,094",859,662,"1,332"
2020,11,40,"38,622","2,946","1,235",908,"2,748","2,549",952,871,"2,858","1,615","1,503",485,"2,593","1,155","1,275","2,981","3,217","1,101","1,370","2,817",888,938,"1,617"
2020,11,50,"46,105","3,225","1,512","1,224","3,171","2,839","1,254","1,273","2,987","2,168","1,843",637,"3,277","1,695","1,949","3,309","2,590","1,502","1,673","3,335","1,167","1,184","2,291"
2020,11,60,"33,735","2,471","1,291","1,089","2,262","1,966","1,042","1,156","1,879","1,857","1,211",514,"2,301","1,208","1,535","2,120","1,443","1,489","1,225","1,825",961,"1,029","1,861"
2020,11,70,"17,279","1,211",731,688,"1,180",999,529,610,864,"1,037",584,253,"1,061",573,725,"1,113",697,833,640,905,448,594,"1,004"
2020,11,80,"9,181",650,321,348,568,511,305,341,443,650,368,128,552,281,453,742,386,367,309,518,213,267,460
2020,11,90,"1,691",132,56,65,91,99,55,67,86,131,69,33,86,65,95,132,91,46,41,93,36,48,74
2020,11,100,157,12,8,5,9,11,9,14,6,13,1,8,6,5,1,9,2,4,5,3,4,10,12
2020,12,총,"250,249","19,409","8,161","6,617","18,551","16,817","7,433","6,592","16,235","11,541","9,464","3,239","17,461","8,216","9,944","17,561","15,122","8,260","9,083","16,572","6,264","6,280","11,427"
2020,12,0,"16,059","1,185",449,298,"1,248","1,249",477,295,"1,358",583,578,168,"1,320",448,623,"1,179","1,226",429,598,939,499,306,604
2020,12,10,"20,819","1,492",613,407,"1,138","1,177",417,490,"1,790",952,886,261,"1,398",572,697,"1,751","2,061",534,808,"1,681",488,482,724
2020,12,20,"34,039","3,158","1,039",796,"2,964","2,601","1,095",776,"1,959","1,390","1,328",395,"2,365","1,213","1,238","2,285","1,829","1,012","1,199","2,420",723,778,"1,476"
2020,12,30,"32,633","2,929","1,070",791,"3,162","2,839","1,145",701,"1,997","1,168","1,100",356,"2,496","1,014","1,346","1,954","1,575",962,"1,148","2,055",846,657,"1,322"
2020,12,40,"38,466","2,928","1,186",910,"2,755","2,539",996,867,"2,852","1,601","1,499",485,"2,579","1,148","1,275","2,957","3,192","1,079","1,403","2,815",878,935,"1,587"
2020,12,50,"46,001","3,238","1,456","1,214","3,150","2,818","1,305","1,273","2,988","2,148","1,832",638,"3,270","1,692","1,945","3,313","2,612","1,504","1,697","3,294","1,157","1,172","2,285"
2020,12,60,"33,900","2,480","1,258","1,092","2,280","1,978","1,080","1,162","1,892","1,863","1,211",513,"2,327","1,209","1,541","2,128","1,449","1,491","1,234","1,841",973,"1,031","1,867"
2020,12,70,"17,251","1,199",713,689,"1,180",996,540,609,858,"1,040",590,253,"1,057",575,728,"1,109",697,828,639,907,444,593,"1,007"
2020,12,80,"9,224",651,312,345,574,510,314,337,448,646,373,130,557,281,456,744,388,372,310,523,215,268,470
2020,12,90,"1,699",137,57,70,92,98,55,68,87,137,66,32,86,59,94,132,90,45,42,94,37,48,73
2020,12,100,158,12,8,5,8,12,9,14,6,13,1,8,6,5,1,9,3,4,5,3,4,10,12
2021,1,총,"250,075","19,376","7,980","6,629","18,503","16,768","7,551","6,616","16,180","11,498","9,452","3,239","17,455","8,203","9,884","17,520","15,106","8,274","9,423","16,492","6,261","6,275","11,390"
2021,1,0,"15,910","1,168",437,296,"1,229","1,236",480,298,"1,339",578,583,171,"1,308",442,602,"1,162","1,203",428,637,925,494,303,591
2021,1,10,"20,721","1,483",601,409,"1,140","1,165",426,485,"1,791",937,864,256,"1,391",570,693,"1,743","2,049",522,840,"1,666",494,476,720
2021,1,20,"33,989","3,153","1,008",800,"2,957","2,615","1,105",785,"1,935","1,382","1,329",391,"2,356","1,199","1,225","2,286","1,836","1,021","1,244","2,402",715,785,"1,460"
2021,1,30,"32,523","2,899","1,036",788,"3,120","2,819","1,172",712,"1,967","1,158","1,103",356,"2,501","1,019","1,338","1,934","1,565",960,"1,222","2,056",844,643,"1,311"
2021,1,40,"38,351","2,927","1,169",905,"2,766","2,521","1,011",871,"2,851","1,585","1,491",477,"2,578","1,140","1,252","2,951","3,181","1,089","1,442","2,770",869,937,"1,568"
2021,1,50,"45,928","3,245","1,419","1,220","3,125","2,809","1,331","1,260","2,974","2,135","1,834",638,"3,262","1,693","1,942","3,307","2,615","1,493","1,751","3,271","1,150","1,172","2,282"
2021,1,60,"34,228","2,504","1,241","1,092","2,297","1,987","1,100","1,174","1,917","1,885","1,220",522,"2,343","1,218","1,554","2,147","1,459","1,506","1,273","1,868",992,"1,036","1,893"
2021,1,70,"17,283","1,198",703,695,"1,194",995,547,611,863,"1,037",584,256,"1,060",576,723,"1,095",715,832,646,915,448,591,999
2021,1,80,"9,286",652,302,351,571,514,317,337,449,652,376,132,563,283,462,753,390,371,323,520,215,274,479
2021,1,90,"1,697",134,56,68,95,95,53,69,87,136,67,32,88,58,92,134,90,48,40,96,36,48,75
2021,1,100,159,13,8,5,9,12,9,14,7,13,1,8,5,5,1,8,3,4,5,3,4,10,12
2021,2,총,"249,676","19,320","7,896","6,606","18,442","16,735","7,572","6,632","16,170","11,458","9,416","3,249","17,457","8,176","9,861","17,428","15,087","8,256","9,623","16,419","6,227","6,286","11,360"
2021,2,0,"15,765","1,156",428,297,"1,204","1,220",474,297,"1,342",567,580,174,"1,302",438,598,"1,129","1,201",422,647,910,488,302,589
2021,2,10,"20,623","1,470",589,406,"1,131","1,155",423,490,"1,775",946,857,253,"1,384",557,687,"1,753","2,056",516,858,"1,644",482,473,718
2021,2,20,"33,850","3,148","1,003",798,"2,955","2,637","1,111",769,"1,944","1,354","1,306",394,"2,353","1,197","1,219","2,245","1,811","1,015","1,261","2,380",705,785,"1,460"
2021,2,30,"32,339","2,862","1,009",779,"3,100","2,789","1,167",721,"1,944","1,145","1,102",356,"2,513","1,010","1,326","1,902","1,557",958,"1,256","2,063",833,646,"1,301"
2021,2,40,"38,198","2,913","1,156",901,"2,741","2,504","1,012",878,"2,846","1,576","1,481",470,"2,575","1,133","1,243","2,942","3,168","1,083","1,489","2,736",862,939,"1,550"
2021,2,50,"45,869","3,250","1,405","1,206","3,117","2,799","1,335","1,261","2,961","2,129","1,830",647,"3,264","1,690","1,940","3,294","2,619","1,488","1,786","3,257","1,147","1,172","2,272"
2021,2,60,"34,537","2,514","1,232","1,099","2,326","2,009","1,117","1,187","1,944","1,901","1,226",526,"2,366","1,222","1,571","2,171","1,474","1,512","1,302","1,892","1,007","1,045","1,894"
2021,2,70,"17,276","1,195",696,691,"1,186",997,547,603,865,"1,036",590,255,"1,051",581,724,"1,094",721,835,653,910,447,589,"1,010"
2021,2,80,"9,344",665,312,354,574,515,323,343,453,656,377,134,557,286,460,754,387,371,326,526,215,277,479
2021,2,90,"1,716",134,58,69,99,98,54,69,90,135,67,32,87,58,92,135,90,51,40,98,38,47,75
2021,2,100,159,13,8,6,9,12,9,14,6,13,0,8,5,4,1,9,3,5,5,3,3,11,12
2021,3,총,"248,553","19,235","7,782","6,492","18,374","16,621","7,608","6,569","16,078","11,450","9,396","3,264","17,465","8,112","9,818","17,371","15,018","8,179","9,668","16,373","6,151","6,231","11,298"
