년도,월,나이,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020,7,80,"5,342",360,186,218,176,327,262,186,200,159,192,276,159,118,192,108,275,322,208,532,547,211,128
2020,7,90,896,69,29,53,32,57,56,22,47,26,31,51,20,20,29,15,41,56,24,73,85,40,20
2020,7,100,44,1,0,5,0,1,3,1,3,1,2,0,2,2,2,2,0,5,1,7,2,2,2
2020,8,총,"70,013","3,564","1,453","1,525","1,235","1,664","2,009","1,565","1,718",942,"1,137","1,437",796,632,"1,103",547,"3,342","3,962","2,067","12,586","10,278","5,405","11,046"
2020,8,0,"5,135",182,60,34,25,29,70,43,43,19,33,27,19,10,19,5,100,121,65,"1,049",714,449,"2,019"
2020,8,10,"5,591",206,65,66,51,48,72,60,88,32,43,32,25,17,91,17,200,201,113,"1,485",950,500,"1,229"
2020,8,20,"6,421",242,106,98,72,70,117,121,119,73,60,88,29,28,48,15,258,351,155,"1,608",979,616,"1,168"
2020,8,30,"7,268",282,82,87,65,75,99,85,95,35,56,54,28,19,43,15,223,290,129,"1,408","1,047",578,"2,473"
2020,8,40,"9,202",373,116,119,73,94,190,114,146,68,82,74,48,42,68,40,324,387,181,"2,109","1,543",912,"2,099"
2020,8,50,"11,457",702,224,259,220,262,344,298,335,172,203,227,112,92,178,105,536,687,335,"2,119","1,966",926,"1,155"
2020,8,60,"10,980",679,323,307,293,368,425,356,384,200,252,320,164,133,224,132,820,916,451,"1,382","1,562",766,523
2020,8,70,"7,646",466,256,277,229,339,373,276,253,155,185,285,194,152,206,92,561,626,398,813,883,402,225
2020,8,80,"5,361",359,191,219,176,323,259,188,204,162,191,279,157,117,195,110,278,321,214,533,543,212,130
2020,8,90,908,72,30,54,30,55,57,23,48,25,30,51,19,20,29,14,42,57,25,73,89,42,23
2020,8,100,44,1,0,5,1,1,3,1,3,1,2,0,1,2,2,2,0,5,1,7,2,2,2
2020,9,총,"69,964","3,538","1,443","1,525","1,233","1,664","2,009","1,562","1,708",941,"1,131","1,431",796,631,"1,098",544,"3,341","3,943","2,061","12,596","10,279","5,404","11,086"
2020,9,0,"5,109",181,57,35,25,29,68,42,41,20,29,27,19,11,17,5,98,115,64,"1,043",712,447,"2,024"
2020,9,10,"5,585",206,64,66,46,49,72,60,87,30,42,32,23,17,91,16,200,204,111,"1,483",955,494,"1,237"
2020,9,20,"6,426",235,108,96,70,67,120,122,115,75,59,88,31,28,43,16,263,349,155,"1,617",980,616,"1,173"
2020,9,30,"7,226",276,80,88,67,76,99,80,95,35,55,55,27,19,43,16,222,285,128,"1,410","1,032",577,"2,461"
2020,9,40,"9,171",370,111,117,77,90,189,112,144,67,81,74,47,42,69,37,323,384,181,"2,106","1,536",905,"2,109"
2020,9,50,"11,444",689,224,258,216,264,344,296,333,173,202,224,114,90,175,105,534,685,335,"2,120","1,961",929,"1,173"
2020,9,60,"11,022",681,324,307,296,368,425,362,382,199,251,316,166,135,225,134,820,911,450,"1,392","1,580",775,523
2020,9,70,"7,629",464,254,279,226,338,372,274,256,153,187,286,191,148,209,91,552,629,391,814,885,404,226
2020,9,80,"5,383",360,192,220,179,325,261,189,203,161,194,278,158,120,195,109,286,317,220,529,542,212,133
2020,9,90,924,75,29,54,30,57,56,24,49,27,29,51,19,19,28,13,43,59,25,75,94,43,25
2020,9,100,45,1,0,5,1,1,3,1,3,1,2,0,1,2,3,2,0,5,1,7,2,2,2
2020,10,총,"69,979","3,535","1,442","1,528","1,225","1,663","2,008","1,559","1,700",937,"1,133","1,436",795,632,"1,101",542,"3,330","3,920","2,056","12,616","10,289","5,425","11,107"
2020,10,0,"5,073",185,56,33,26,25,66,42,37,17,31,27,19,10,17,5,99,107,63,"1,036",701,451,"2,020"
2020,10,10,"5,599",202,61,64,45,49,73,61,89,32,43,32,23,17,90,16,198,204,110,"1,487",958,495,"1,250"
2020,10,20,"6,432",231,111,95,70,65,120,118,115,76,58,88,30,29,44,16,259,344,159,"1,622",994,621,"1,167"
2020,10,30,"7,212",283,78,91,65,74,97,81,91,34,54,55,27,19,43,16,217,279,125,"1,414","1,033",575,"2,461"
2020,10,40,"9,165",362,108,117,75,93,191,110,144,66,82,73,47,42,70,36,322,380,184,"2,113","1,532",907,"2,111"
2020,10,50,"11,426",691,230,256,213,265,345,293,333,174,200,227,113,89,176,105,529,682,329,"2,117","1,944",934,"1,181"
2020,10,60,"11,078",678,323,311,298,371,424,364,379,200,250,316,166,137,228,130,825,912,452,"1,401","1,596",780,537
2020,10,70,"7,615",465,252,279,223,334,373,276,255,150,186,286,193,145,207,92,551,626,386,818,894,402,222
2020,10,80,"5,401",363,193,224,179,329,259,190,204,162,197,277,155,122,195,111,286,322,222,530,541,212,128
2020,10,90,932,74,30,53,30,57,57,23,50,25,30,55,21,20,28,13,44,59,25,71,94,45,28
2020,10,100,46,1,0,5,1,1,3,1,3,1,2,0,1,2,3,2,0,5,1,7,2,3,2
2020,11,총,"70,049","3,532","1,442","1,533","1,222","1,661","2,000","1,563","1,699",937,"1,131","1,432",792,635,"1,158",536,"3,327","3,906","2,050","12,659","10,276","5,432","11,126"
2020,11,0,"5,046",182,58,31,24,24,67,44,37,17,31,27,19,10,18,5,97,107,60,"1,029",693,447,"2,019"
2020,11,10,"5,659",205,58,67,47,49,72,61,88,32,44,31,24,18,146,16,199,203,109,"1,492",956,490,"1,252"
2020,11,20,"6,428",231,106,92,68,63,120,121,115,74,57,88,29,29,44,16,262,335,158,"1,633",994,627,"1,166"
2020,11,30,"7,187",279,84,87,64,74,99,79,88,34,53,54,25,18,42,16,215,275,127,"1,422","1,021",571,"2,460"
2020,11,40,"9,159",361,107,119,75,93,188,112,143,64,80,72,48,40,73,36,325,380,183,"2,106","1,528",908,"2,118"
2020,11,50,"11,442",688,232,263,213,264,343,291,335,178,204,227,111,91,175,101,525,681,320,"2,138","1,940",940,"1,182"
2020,11,60,"11,127",679,319,315,298,373,422,366,380,200,249,315,168,139,230,130,831,910,458,"1,408","1,608",779,550
2020,11,70,"7,607",472,253,278,222,329,367,272,255,149,185,286,193,146,205,91,545,628,382,822,897,408,222
2020,11,80,"5,424",361,194,224,180,333,262,195,205,163,196,278,154,123,194,111,284,324,227,533,540,215,128
2020,11,90,925,73,31,53,30,58,57,21,50,25,29,54,20,19,28,12,44,58,25,69,97,44,28
2020,11,100,45,1,0,4,1,1,3,1,3,1,3,0,1,2,3,2,0,5,1,7,2,3,1
2020,12,총,"70,023","3,530","1,455","1,520","1,223","1,658","1,994","1,551","1,690",935,"1,122","1,436",782,637,"1,152",535,"3,305","3,914","2,045","12,698","10,274","5,427","11,140"
2020,12,0,"5,021",183,60,29,22,25,68,45,36,18,30,28,19,10,15,5,97,105,58,"1,014",690,449,"2,015"
2020,12,10,"5,651",202,63,66,49,49,70,59,88,32,41,31,21,18,148,15,198,205,107,"1,493",945,491,"1,260"
2020,12,20,"6,407",229,108,89,65,59,120,113,114,69,59,86,28,30,40,16,251,344,157,"1,649",995,635,"1,151"
2020,12,30,"7,139",276,87,87,63,73,98,77,86,34,52,56,24,18,42,16,212,279,122,"1,416","1,008",564,"2,449"
2020,12,40,"9,170",361,106,123,74,92,185,109,136,66,81,70,45,40,71,36,326,373,186,"2,117","1,532",898,"2,143"
2020,12,50,"11,424",682,233,258,216,264,343,290,337,175,199,230,109,88,171,95,518,676,316,"2,147","1,938",940,"1,199"
2020,12,60,"11,203",688,322,313,299,378,425,369,378,202,250,316,171,142,233,136,828,912,464,"1,421","1,630",778,548
2020,12,70,"7,589",474,252,275,224,328,364,270,255,151,181,285,189,145,201,92,546,625,382,822,896,410,222
2020,12,80,"5,451",360,194,226,178,331,261,197,207,161,197,281,155,125,199,111,287,332,225,545,538,214,127
2020,12,90,926,74,30,50,32,58,57,21,50,26,30,53,20,19,29,12,42,59,27,67,100,45,25
2020,12,100,42,1,0,4,1,1,3,1,3,1,2,0,1,2,3,1,0,4,1,7,2,3,1
2021,1,총,"70,007","3,516","1,455","1,524","1,211","1,650","1,987","1,543","1,687",938,"1,120","1,440",785,635,"1,150",529,"3,314","3,921","2,050","12,721","10,259","5,425","11,147"
2021,1,0,"4,988",181,61,33,21,24,68,45,35,17,28,28,21,10,14,3,98,108,56,996,687,446,"2,008"
2021,1,10,"5,621",199,61,64,50,46,68,56,89,33,42,33,21,18,144,15,198,197,106,"1,500",925,490,"1,266"
2021,1,20,"6,406",228,106,86,63,58,117,112,108,67,59,83,28,30,41,15,258,347,158,"1,649","1,009",627,"1,157"
2021,1,30,"7,142",268,90,90,62,74,96,71,86,34,52,58,25,20,42,14,209,284,122,"1,414","1,005",568,"2,458"
2021,1,40,"9,134",361,109,122,69,91,181,110,134,65,78,65,43,39,70,36,323,369,181,"2,126","1,522",902,"2,138"
2021,1,50,"11,427",681,232,257,217,265,344,288,339,177,194,236,108,85,172,94,515,676,316,"2,161","1,939",934,"1,197"
2021,1,60,"11,250",682,320,318,293,373,430,371,381,203,256,319,174,143,232,136,834,910,470,"1,431","1,639",781,554
2021,1,70,"7,573",481,252,269,228,325,359,273,253,154,181,283,187,140,202,91,544,627,383,815,892,410,224
2021,1,80,"5,480",358,194,230,176,332,262,194,209,160,198,282,157,129,199,110,293,338,230,552,539,220,118
2021,1,90,943,76,30,51,31,61,59,22,50,27,30,53,20,19,31,14,42,61,27,69,100,44,26
2021,1,100,43,1,0,4,1,1,3,1,3,1,2,0,1,2,3,1,0,4,1,8,2,3,1
2021,2,총,"69,951","3,500","1,455","1,529","1,218","1,661","1,992","1,548","1,683",935,"1,117","1,425",779,638,"1,146",530,"3,300","3,902","2,051","12,738","10,212","5,433","11,159"
2021,2,0,"4,973",171,62,31,20,27,69,44,36,18,26,28,20,10,15,3,90,105,57,992,688,445,"2,016"
2021,2,10,"5,582",197,60,66,52,48,69,57,88,29,42,30,21,19,143,13,194,191,105,"1,499",908,479,"1,272"
2021,2,20,"6,385",230,103,85,62,56,117,116,108,67,60,80,27,30,40,17,254,347,159,"1,650",985,636,"1,156"
2021,2,30,"7,097",264,92,90,63,73,100,69,83,34,50,56,25,20,42,13,212,277,122,"1,411",996,558,"2,447"
2021,2,40,"9,144",361,106,121,74,93,178,109,133,66,78,64,40,40,68,37,325,368,181,"2,133","1,514",901,"2,154"
2021,2,50,"11,393",670,235,258,216,263,342,288,337,172,195,232,107,85,173,90,509,668,313,"2,173","1,937",937,"1,193"
2021,2,60,"11,327",692,323,325,296,381,436,373,382,208,255,320,175,146,233,141,833,914,474,"1,434","1,644",794,548
2021,2,70,"7,539",479,252,266,225,323,357,273,254,154,179,282,185,135,198,90,541,626,384,805,891,415,225
2021,2,80,"5,495",358,190,229,178,333,261,195,209,159,199,277,157,132,198,111,298,339,225,563,544,222,118
2021,2,90,973,77,32,54,31,63,60,23,50,27,31,56,21,19,33,14,44,63,30,70,103,43,29
2021,2,100,43,1,0,4,1,1,3,1,3,1,2,0,1,2,3,1,0,4,1,8,2,3,1
2021,3,총,"70,061","3,489","1,444","1,522","1,208","1,674","1,991","1,537","1,680",938,"1,115","1,424",777,636,"1,168",535,"3,279","3,908","2,048","12,823","10,201","5,436","11,228"
2021,3,0,"4,946",165,61,30,18,28,69,45,35,17,26,28,21,10,16,3,87,104,58,980,690,439,"2,016"
2021,3,10,"5,662",200,59,65,53,50,69,57,86,29,41,30,21,18,160,13,190,198,107,"1,547",914,477,"1,278"
2021,3,20,"6,421",229,102,82,59,56,112,113,109,65,59,80,25,28,43,17,250,344,156,"1,689",980,643,"1,180"
2021,3,30,"7,047",259,91,89,60,74,103,66,84,35,51,52,25,21,44,14,203,273,119,"1,407",983,555,"2,439"
2021,3,40,"9,141",352,104,119,74,95,183,109,130,69,79,62,40,39,66,37,322,375,189,"2,125","1,497",900,"2,175"
2021,3,50,"11,345",660,232,259,215,265,333,283,338,169,194,234,109,83,167,88,494,661,307,"2,169","1,933",938,"1,214"
2021,3,60,"11,432",702,321,325,298,384,443,373,384,211,254,325,173,147,239,146,846,921,473,"1,451","1,662",800,554
2021,3,70,"7,525",482,254,266,220,322,355,274,251,156,177,275,181,132,193,92,542,627,384,811,891,415,225
2021,3,80,"5,525",362,189,229,180,334,263,191,211,158,199,282,160,136,204,111,300,341,222,564,548,224,117
2021,3,90,989,77,31,56,30,65,60,26,49,29,33,56,21,20,33,14,45,62,32,75,102,44,29
2021,3,100,28,1,0,2,1,1,1,0,3,0,2,0,1,2,3,0,0,2,1,5,1,1,1
2021,4,총,"70,051","3,478","1,446","1,518","1,210","1,671","1,980","1,525","1,679",944,"1,109","1,421",777,636,"1,167",539,"3,268","3,918","2,040","12,841","10,202","5,432","11,250"
2021,4,0,"4,929",161,62,28,18,27,68,43,36,17,25,28,20,9,17,3,83,105,58,982,687,435,"2,017"
2021,4,10,"5,677",199,58,65,53,50,67,56,86,29,41,31,21,17,157,15,188,198,106,"1,547",930,472,"1,291"
2021,4,20,"6,396",222,101,80,60,55,108,112,107,67,59,78,27,27,44,17,256,345,154,"1,691",967,644,"1,175"
2021,4,30,"7,037",258,93,89,60,73,101,64,88,36,50,51,25,20,45,14,199,275,118,"1,401",977,566,"2,434"
2021,4,40,"9,151",349,107,116,74,97,182,106,130,70,77,61,40,38,65,38,324,382,187,"2,122","1,504",888,"2,194"
2021,4,50,"11,285",658,229,258,215,264,333,276,334,169,194,233,109,88,162,87,479,659,306,"2,168","1,926",930,"1,208"
2021,4,60,"11,507",709,324,329,298,388,443,376,387,212,252,328,171,144,240,148,855,923,474,"1,466","1,666",811,563
2021,4,70,"7,487",479,250,262,216,318,350,272,249,155,179,275,182,134,195,92,538,623,381,818,889,413,217
2021,4,80,"5,552",362,192,233,183,334,268,194,210,159,198,278,160,135,206,110,302,344,222,565,551,226,120
2021,4,90,"1,002",80,29,56,32,65,59,26,49,30,32,58,21,22,33,15,44,62,33,76,104,46,30
2021,4,100,28,1,1,2,1,0,1,0,3,0,2,0,1,2,3,0,0,2,1,5,1,1,1
2021,5,총,"70,039","3,485","1,444","1,515","1,206","1,667","1,979","1,523","1,681",948,"1,111","1,420",777,635,"1,160",539,"3,264","3,908","2,040","12,844","10,200","5,430","11,263"
2021,5,0,"4,917",161,64,28,18,27,69,43,37,17,25,28,20,9,17,3,84,103,60,981,673,436,"2,014"
2021,5,10,"5,653",197,58,66,52,51,65,56,88,29,39,29,20,17,155,15,183,191,105,"1,536",933,467,"1,301"
2021,5,20,"6,386",222,100,79,59,53,111,111,105,67,56,77,29,26,43,17,266,348,153,"1,689",969,642,"1,164"
2021,5,30,"6,989",253,91,88,59,73,102,62,87,37,51,51,25,21,44,13,199,272,118,"1,398",967,565,"2,413"
2021,5,40,"9,138",355,109,116,72,95,178,103,130,68,76,65,41,37,63,38,318,378,185,"2,117","1,505",881,"2,208"
2021,5,50,"11,286",654,226,255,215,263,325,272,331,170,196,231,107,87,162,87,477,658,302,"2,173","1,926",946,"1,223"
2021,5,60,"11,566",718,327,328,300,391,449,384,390,213,257,333,169,142,238,145,855,922,478,"1,472","1,681",802,572
2021,5,70,"7,490",480,249,259,211,318,350,270,249,155,178,273,182,134,197,93,535,622,380,830,889,420,216
2021,5,80,"5,580",363,190,238,187,331,268,195,213,161,199,274,162,137,206,113,304,349,226,566,552,223,123
2021,5,90,"1,005",81,29,56,32,65,61,27,48,31,32,59,21,23,32,15,43,63,32,76,104,47,28
2021,5,100,29,1,1,2,1,0,1,0,3,0,2,0,1,2,3,0,0,2,1,6,1,1,1
2021,6,총,"69,849","3,473","1,437","1,517","1,197","1,669","1,944","1,507","1,675",949,"1,108","1,423",775,634,"1,162",539,"3,252","3,886","2,038","12,831","10,141","5,423","11,269"
2021,6,0,"4,911",161,62,30,19,28,69,43,39,19,25,29,21,9,18,3,87,105,58,975,667,438,"2,006"
2021,6,10,"5,653",192,57,64,51,51,65,56,87,30,39,29,20,17,155,15,181,189,104,"1,561",910,469,"1,311"
2021,6,20,"6,348",218,104,81,59,54,107,106,105,68,56,75,29,25,40,17,262,342,150,"1,699",952,638,"1,161"
2021,6,30,"6,952",255,88,90,56,73,95,64,87,34,50,50,25,22,45,13,200,274,114,"1,377",971,565,"2,404"
2021,6,40,"9,091",350,108,114,72,96,170,100,127,70,75,66,41,35,63,38,316,376,183,"2,110","1,491",876,"2,214"
2021,6,50,"11,231",658,227,254,207,259,320,269,325,170,196,228,105,88,162,84,469,648,309,"2,166","1,922",939,"1,226"
2021,6,60,"11,597",719,328,330,304,394,448,381,391,214,260,340,169,142,239,147,855,919,479,"1,466","1,689",805,578
2021,6,70,"7,456",477,250,257,209,318,344,268,251,155,175,273,179,135,196,93,537,616,379,825,886,418,215
2021,6,80,"5,590",364,185,239,185,333,265,192,212,159,200,274,164,137,209,114,303,353,228,571,552,228,123
2021,6,90,990,78,27,56,34,63,60,28,48,30,30,59,21,22,32,15,42,61,33,75,100,46,30
2021,6,100,30,1,1,2,1,0,1,0,3,0,2,0,1,2,3,0,0,3,1,6,1,1,1
2021,7,총,"69,884","3,489","1,444","1,516","1,191","1,666","1,948","1,509","1,675",949,"1,104","1,421",773,626,"1,161",540,"3,248","3,884","2,032","12,832","10,146","5,415","11,315"
2021,7,0,"4,908",164,63,31,19,28,67,43,39,18,24,29,21,9,18,3,86,107,56,981,663,432,"2,007"
2021,7,10,"5,636",190,55,63,50,49,63,55,88,30,39,30,19,17,156,15,180,187,105,"1,556",903,474,"1,312"
2021,7,20,"6,357",225,109,80,59,52,110,108,105,68,57,75,29,25,38,16,260,333,147,"1,693",968,632,"1,168"
2021,7,30,"6,926",251,90,90,56,73,95,62,85,35,47,53,25,20,44,13,197,275,114,"1,378",965,558,"2,400"
2021,7,40,"9,085",355,107,113,68,93,169,99,126,70,74,67,39,35,61,40,318,381,182,"2,092","1,483",873,"2,240"
2021,7,50,"11,214",654,228,255,204,262,322,270,326,170,189,222,101,85,162,84,467,649,308,"2,168","1,915",940,"1,233"
2021,7,60,"11,652",721,327,332,306,393,447,384,386,217,268,340,174,141,241,147,857,914,480,"1,477","1,707",809,584
2021,7,70,"7,482",481,252,255,209,319,347,269,255,153,175,276,176,134,196,93,534,624,377,830,887,421,219
2021,7,80,"5,605",369,184,240,186,334,267,190,211,159,199,272,166,136,210,114,307,351,228,575,554,231,122
2021,7,90,990,78,28,55,33,63,60,29,51,29,30,57,22,22,33,15,42,60,34,76,100,44,29
2021,7,100,29,1,1,2,1,0,1,0,3,0,2,0,1,2,2,0,0,3,1,6,1,1,1
2021,8,총,"69,826","3,551","1,438","1,514","1,190","1,657","1,951","1,496","1,677",950,"1,099","1,415",767,623,"1,153",539,"3,234","3,877","2,012","12,776","10,138","5,401","11,368"
2021,8,0,"4,871",169,62,30,22,28,63,43,39,18,24,30,21,9,16,3,82,105,53,964,657,425,"2,008"
2021,8,10,"5,632",196,56,62,47,49,62,51,86,30,39,28,19,17,153,16,178,185,102,"1,552",907,473,"1,324"
2021,8,20,"6,328",234,104,79,60,49,113,108,108,66,55,76,29,24,38,15,257,334,147,"1,670",961,627,"1,174"
2021,8,30,"6,894",259,87,89,56,73,95,62,84,36,47,50,24,20,42,12,197,269,112,"1,378",955,559,"2,388"
2021,8,40,"9,092",359,109,110,70,90,167,98,126,70,74,68,38,34,60,40,321,387,175,"2,074","1,488",868,"2,266"
2021,8,50,"11,207",674,226,256,201,262,325,266,325,168,185,220,100,84,164,83,466,639,304,"2,171","1,908",940,"1,240"
